aajo	nevetséges	hospitality
erofo	üledék	swamp
erékùsù	sziget	island
eréonítàn	betűszó	written play
eseese	diagram	step by step
esia	jön	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	a tengerpart	beach
euro	euro	euro
euroasia	euroasia	uro-esia
ewe	levél növényen	ewe
ewé	levél növényen	leaf
ewì	költészet	traditional poem
example	példa	apere
eya	kategória	tribe
eyin	tojás	previous
eyonomba	eyonomba	digit
eléja	halászat	fisherman
elòmíràn	valaki más	another person
eka	hatás	branches
eléyàmèyà	etnikai	tribalism
enu	száj	mouth
esin	vallás	horse
esè	bevétel	leg
ewà	magatartás	beauty
fagile	törölve	cancel
fail	fail	padanu
fan	ventilátor	spread
faramó	tartsák be	accept
faranse	francia	french
farsi	arti	farsi
felifeli	bársony	fuming
ferde	ferde	verde
fesèmúlè	ideiglenes forrás	established
fe	kívánatos	want
fi	mentés	by
fifihan	bemutató	revealed
fihan	jelzett	shows, to show
fimú	élesen meghatározott	captivate with
finiki	fizika	finiki
finlandi	finnország	finland
fitino	próba	judgement
five	öt	marun
fodio	fodio	fodio
fofinde	betiltása	prohibited
fohùn	kiáltás	consent
foniimu	film	phoneme
force	kényszerítés	agbara
foriko	például	agreed
fourbase	fourbase	onidi-merin
fowobowe	foglalás	signed
fowó	pénzért	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	francia	france
freetown	freetown	freetown
fuji	eltávolítás	fuji
fulani	gyáván	fulani
fulbe	ful	fulbe
fun	mert	for
funra	maga	suspect
further	további	si
fé	fé	like
fé	fé	want
fégbé	felejtsd el	for peers
fífò	repülő	jumping
fífún	így	giving
fòye	megért	rationalise
fẹ́rẹ̀ẹ́	majdnem	nearly
galatia	ezúttal	galatia
gba	egyetért	accept
gbajúgbujà	nagyon népszerű	popular
gbale	népszerűség	flourished
gbaná	lő ki	engulf in flame/rage
gbe	visz	set up
gbera	lépj tovább	move
gberasoke	felgyorsul	rising
gbese	adósság	debt
gbigbamulo	kizsákmányolás	adopted
gbigbewo	finanszírozás	examined
gbilè	kitörni	gaining ground
gbin	beültetett	farm
gbogbogbo	tábornok	general
gbongbo	gyökér	root
gbàgbọ́	hinni	believe
gbàgùrà	rázta	gbagura
gbá	összetör	received
gbáradì	felkelni	prepare
gbé	élő	convey
gbédìí	létrehozni	respect
gbékalè	ács	establish
gbéni	élő	lift
gbéyèwò	felülvizsgálat	examine
gbésè	ajánlat	die
gbìnyànjú	próbáld ki	endeavour
gbìyànju	próbáld erősebben	try
gbódò	kell	must
gbónmisi	törvény	strife
gbúnùn	szagold meg	hostile
gbọ́dọ̀	kell	must
geesi	angol	english
geneva	genf	geneva
genevieve	genevieve	genevieve
georgia	grúzia	georgia
german	német	german
gfaj	gfaj	gfaj
ghana	ghána	ghana
gidigidi	nagyon	significantly
gidí	ház	real
goemai	goemai	goemai
gomina	kormányzó	governor
gorgina	a sas	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	görög	greek
groove	horony	iho
guanínì	guanni	guanine
guinea	guinea	guinea
guineabissau	bissau-guinea	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	hosszú	stretch
gunle	pisztoly	arrive
guusu	déli	south
gv	gv	gv
gèésì	ragasztó	english
gèésì	drágakő	english
gégé	igazán	like
gírámà	gramps	grammar
gòkè	felmegy	climb
gún	áttört	properly
gúúsù	déli	south
gẹ̀ẹ́sì	angol	english
habsburg	habsburg	habsburg
haggai	útmutató	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	kemény	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	cukorka	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	egyetért	hesse
him	neki	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	hóseás	hosea
hp	le	hp
hugh	hugh	hugh
hun	hun	knit
hungari	éhezés	hungary
hv	hv	hv
ibalo	ügy	relationship
ibarepo	egyesület	friendship
ibeji	ikrek	twins
ibewo	jött	visit
ibiamusin	szentély	colony
ibile	hagyományos	municipality
ibimo	születés	birth
ibise	edzés	official
ibiti	helyek	where
ibn	ibn	ibn
ibojì	síremlék	burial ground
ibori	fátyol	conquest
ibujoko	pad	place of abode
ibuseripadabosi	visszafizetés	eternity
ibuso	harcolni	bus stop
ibùdó	tábor	settlement, seat of, area,
ibùjókòó	ülés	settlement
iceland	izland	iceland
idagbasoke	fejlődés	development
idagbe	elhanyagolás	isolation
idaji	fél	half
idajo	igazságszolgáltatás	judgement
idamita	húz	sector
idari	ellenőrzések	control
ideraa	írni	comfort
idimule	letartóztatás	establishment
idoma	rajz	idoma
idupe	köszönöm	thanksgiving
idánwò	próba	examination
ifija	halászat	weapon
ifilole	dob	resolution
ifitonileti	információ	reporting
ifobaje	vesztegetés	coronating
ifofinde	kongresszus	prohibition
ifriqiya	stimuláció	ifriqiya
igbeduro	készítmény	institute
igbegun	győzelem	declaration of war
igberiko	külvárosi	region
igbesoke	frissíteni	upliftment
igbeyawo	esküvő	marriage
igbowolori	drága	inflation
igbá	csirke	shell
igbáẹ̀yìn	az utolsó	shell
igitòròmogbè	szélessávú	willow tree
ihan	megjelenni	ray
ihinrere	evangélium	gospel
ijagun	harc	war
ijakadi	küzdelem	wrestling
ijaya	pánik	fear
ije	mozgalom	eating
ijinnasi	fizika	the wind open
ijosin	imádat	worship
ijó	tánc	dance
ikan	egy	one of
ikandinlogun	tizennyolc	nineteen
ikaowo	tisztelet	finger
ikejidinlogun	tizennyolc	eighteen
ikeko	összeállítás	education
ikerin	a negyedik	fourth
iketa	örökölni	third
ikoenu	menteni	union
ikojopo	felhalmozódás	collection
ikoreokere	aratás	migration
iku	halál	death
ikúgbaèyí	most	death-has-this
ikún	töltő	squirrel or wild rodent
ilagbolojo	nyilvánosság	latitude
ilana	eljárás	procedure
ilanaoye	stratégiák	knowledge procedure
ilaodo	véd	cana
ilaorun	napkelte	west
ileasofin	törvényhozó	house of law,
ilegiga	itthon	higher ground or higher plain
ileife	elhanyagolás	ile-ife
ileigbimo	beleegyezés	house of assembly/congress
ileobaluaye	a világ	high chief
ileru	kemence	volcanic
ilopo	kettős	times
iluoba	polgárság	king's town
iluorilejoba	globalizáció	capital city
ilé	itthon	house
iléayé	itthon	earth
iléisé	itthon	workplace
ilélódò	a ház	ile-lodo
iléàtèéré	itthon	ile-ateere
iléńlá	udvar	ile-nla (area)
ilẹ	talaj	land
ilẹ̀ayé	a föld	the world
iminle	letartóztatni	earthquake
imoero	könnyítés	engineering
imojuto	gondoskodás	protection
imusin	húz	colony
imú	orr	nose
imúnisìn	higiénia	slavery
inagberingberi	mogyoróvaj	electromagnetic force
indeed	valóban	paapa julo
indus	indus	indus
inkosi	igazolni	inkosi
integration	integráció	ifowosowopo
inágbéringbérin	tizenhét	electromagnet
iní	öröklés	possession
inúnibíni	üldözés	hatred
ioja	hal	fight
ioniani	szűkölködő	ionian
iowa	a földön	iowa
ipare	áttűnés	abolition
ipawo	felhasználások	income
ipele	szint	stage
ipin	fejezet	share
ipinpa	részvétel	arm of, branch of
ipinu	döntés	determination
ipo	elhelyezkedés	position
ipá	kényszerítés	effort
iraja	megdöbbentő	bargaining
iranlose	támogatás	mission
ire	eladás	you
irele	alázatosság	irele
iringa	tedd össze	iringa
irisi	megjelenés	appearance
irorun	nagyon egyszerű	convenient
irò	szóbeszéd	iro
irúnmọlẹ̀	villám	apparition
isa	elég	jesus, isa or yisa is hausa language
isare	gyorsulás	track race
isedaniloro	önbizalomhiány	terrorism
iseero	néz	engineering
isejoba	kormányzás	governance
iseoba	tizenöt	civil service
iseoroayeijoun	régészet	archaeology
iseowo	üzleti	business
isepinpin	terjesztés	division
iso	jönni	unit
isoponomba	isoponomba	addition of numbers
isun	folyam	spring
isesi	megadás	conduct
isè	szolgáltatás	occupation
itali	olasz	italy
itanakole	sztori	ancient
itelentele	világosan	coming after
itiraka	küzdelem	effort
itobi	dicsekedni	size
itokowo	üzleti	economy
itorawo	liberális	astrology
itu	dobni	solution
itumo	jelentését	meaning
iwadi	kutatás	research
iwasi	lenyűgözni	behaviour
iwifun	információ	report
iwoile	itthon	entering
iwosan	gyógyulás	healing
iwulo	hasznos	use
iwuwa	gyakorlat	behaviour
iyan	éhínség	argument
iyato	a különbség	difference
iyawo	menyasszony	wife
iyen	azaz	that
iyán	szikrázó	pounded yam
iḷẹ̀	munka	land
iṣẹ́ìwádìí	kutatás	research
jabo	jelentés	give account
jackson	jackson	jackson
jadide	kitartás	emerge
jagbe	menj a francba	shout
jalè	lopás	steal
jamaica	youtube	jamaica
jamo	menj innen	link
jawaharlal	hinták	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	geometria	geometry
jesu	jézus	jesus
jfk	jfk	jfk
jije	lény	existing as
jijinna	messze	distance
jiròrò	ködös	dialogue
jo	szivárog	days
jogun	örökölt	inherit
johann	pokol	johann
johanu	sajnálom	john
jojo	repedt	great extent
jopò	csatlakozz be	gathered
jo	jános	resemble
juneau	juneau	juneau
jàgídíjàgan	erőszakos	violent
jáde	kijön	out
jé	jön	is
jéésù	jézus	jesus
jìnnàa	messze	further
jíje	lény	eating
jíjuwó	pénzt keresni	waving hands
jíjéomoléyìnkírísítì	mint jótékonysági szakember	followers of christ
jùlo	több mint	most
jùlo	különösen	most
jùló	a legtöbb	most
jẹ́mánì	német	germany
jọ́	kérem	together
kadara	vagyontárgy	destiny
kagera	nagyképű	kagera
kakiri	nyom	all over
kalinga	cinga	kalinga
kalẹ	félretesz, mellőz	established
kampala	kapocs	kampala
kan	egy	one
kankan	egyik sem	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	karl	karl
karun	ötödik	fifth
karùún	az ötödik	fifth
kebbi	állítható	kebbi
kekere	kicsi	lower
keko	írástudó	learn
kept	tartotta	fi pamo
khoisan	alárendelt	khoisan
ki	így van	not
kiakiajulo	a leggyorsabb	rapidly
kiko	fűződő	gathering
kikojo	összeállítás	gathering
kikopomo	melegség	mixed
kikoso	gyors	colonised
kiko	tanulás	making
kikuninu	képzeld el	size
kilhar	hónalj	kilhar
kinkinni	a kis dolog	small quantity
ko	vagy	don't
kodò	lent	bow
koidu	koidu	koidu
kojá	kereszt	pass
kolo	kolo	going
komputa	számítógép	computer
kong	kong	kong
kongo	óvszer	congo
kookan	ez	one
koto	csali	pit
koko	tanulás	make heap
ko	ko	learn
kori	nem több	not found
krio	krio	krio
ku	ön	remain
kwara	címzett	kwara
kàríbẹ́ánì	a régióban	carribean
kàyéfì	csoda	amazement
ká	nak,-nek	we
kánfinkése	találékonyság	prolonged
kánádà	természetesen	canada
káyé	világ	world
kéesì	nevetséges	keesi
kékéèké	kicsi	small
kétu	felkészültnek lenni	ketu
kémíkà	ellenkezőleg	chemical
kéyìn	később	come after,
kìnní	első	first
kí	üdvözöl	not
kíko	tanul	written
kíkọ́	tanulni	learning
kínu	csókolózás	greet
kírísìtì	karácsony	christ
kòjòkú	eső	kojoku
kòkó	az egér	cocoa
kòmpútà	számítógép	computer
kòtò	egy gödör	pit
kòòsí	ez nem	coaching
kòòkan	mindegyik	each
kógo	dicsőség	glorious
kóra	gyűjt	participate
kùkú	végül	eventually
kùrání	a korán	quran
kúkú	végül	now
kúkúrú	dióhéjban	short
kúrò	el	away
kútò	minden	kuto (place)
kúùkù	ellenkezőleg	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	a negyedik	4
kẹsàán	azonnal	ninth
kẹta	harmadik	third
kẹ́nyà	elválasztás	kenya
kọjá	elhalad	pass through
kọ̀mpútà	számítógép	computer
kọ́kọ́	első	first
kọ́lọ́mú	oszlopok	breast owner
kọ́ni	valaminek a hiánya	teach
laa	menj innen	will
laada	rúgás	good fortune
laaka	fordított	important
laarin	belül	between
labalaba	pillangó	butterfly
labee	alul	under
lade	megterhel	crowned
laid	terített	tele
laifi	hiba	without
languages	nyelvek	ede
lanka	lanka	lanka
lasile	kiadás	laid out
latibe	onnan	from there
latigbana	azóta	from then on
latini	latin	latin
latvia	lettország	latvia
lay	világi	da
le	tud	can
leboa	lebo	leboa
lekun	fokozott	open door
leo	oroszlán	leo
lese	posta	firmly
less	kevésbé	okeresi
lewaju	tovább	front
lewon	bebörtönzés	imprisonment
leyi	itt van	mispelled...should be 'leyin', after
leè	lehet	can
lilelile	kemény	tightly
lilemo	kender	sticky
lilongwe	lilongwe	lilongwe
lindi	lúg	lindi
linear	lineáris	dogba
links	linkek	eka; this is a new word and does not really exist in yoruba
lodo	megtörténik	from
lojowaju	a jövőben	the future
lojukokoro	kapzsi	covetousness
lojúgun	feldúlt	knee
lokunkun	energikus	in the dark
loloselu	politikailag	in politics
lopolopo	nagyon	so many
loruko	név	name
louvre	világítónyílás autóhűtőn	louvre
lovers	szerelmeseinek	awon olufe
low	alacsony	diye
lo	tovább	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	egyenlő	more important
lààmi	jel	sign
lààmì	jelek	significant
lábé	súly	under
láfún	adott	cassava food
láimo	nélkül	unknown
láké	hangos	in ake
lámọ́di	szerencse	lamodi
lápá	rész	from
lára	sért	part of
lárúbáwá	a természetes	arabic
láì	nélkül	without
láíláí	soha	old
lèe	tud	can
lèyìn	később	after
lédè	nyelven	language
léebá	mellékesen	catch up with it
lérìnín	a hó	erin=laughter; the prefix 'l' is possesive
lérò	ok	thought
léyin	később	after
léyìn	később	after
lérú	rabszolgaság	enslave
lílo	kizsákmányolás	using
lísa	gyorsulás	a chieftaincy title
lítésò	szúrós	literature
lóde	kívül	modern
lópez	nipez	lopez
lópó	özvegy	widow
lórì	kikötő	on the head
lóríba	felett	subdue
lóti	sok	have
lóòótò	igen	truly
lóòótọ́	valóban	truly
ló	ló	to
lónà	úton	in a way
lórò	holnap	become wealthy
lọndọnu	london	london
lọ́dọọdún	évente	yearly
lọ́jà	a piacon	in the market
maapu	térkép	map
madeira	beira	madeira
mahatma	a mahatma	mahatma
makedonia	macedónia	macedonia
malabo	édesem	malabo
malay	feltételezte	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	malaysia	malaysia
mali	nap	mali
mango	mangó	mango
manˈdeːla	mandelala	mandela
marcellus	marcellus	marcellus
march	március	march
marku	ezúttal	mark
mars	mars	mars
maryland	maryland	maryland
maseru	féltékenység	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	matematikai	mathematics
max	max	max
maya	nem	maya
mbabane	negatív	mbabane
means	eszközök	ona (way)
mediteraneani	földközi-tenger	mediterranean
mefeefa	nagyjavítás	all six
mejidinlogbon	huszonnyolc	twenty eight
mejila	tizenkét	twelve
meksiko	mexikó	mexico
melo	mennyi	some
member	tag	ara
mercosur	mercosur	mercosur
merin	négy	four
methodologies	módszerek	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	mexikó	mexico
michelle	michelle	michelle
micronesia	mikronézia	micronesia
miiràn	enyhítésére	another
mimoy	mimoy	mimoy
mimuwa	ragaszkodás	import
minnesota	minnesota	minnesota
minority	kisebbség	awon ara kekere
mohandas	mohandász	mohandas
mokaleladota	kompakt	51, (mokanleladota)
mokanlelogbon	harminckettő	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	gépkocsizás	morogoro
mozambique	mozambik	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	válassza újra	mtwara
mughal	hangerő	mughal
mulẹ̀	létrehozni	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	ne bánj	testament
mère	rajz	significant
méjèèjì	mindkét	the two
mérindíláàdóta	ötvenöt	forty-six
méte	öt	lip
mérìndínlógún	tizenhat	sixteen
mérìnlélógójì	negyvennégy	44
méta	három	three
métèètà	ács	the three
méwàá	tíz	ten
ménu	gondolod	verbally contribute; complete phrase= me nu ba
mímọ́	szent	holy
míràn	egy másik	other
míìrán	egy másik	other
mííràn	egy másik	other
mò	tudás	know
mókólà	ragasztó	mokola
móra	gyógymód	with themselves
mó	m	with
múlẹ̀	tartsd gyorsan	select land (farmland)
mẹ́fà	hat	6
mẹ́rkúríù	az egér	mercury
mẹ́ta	három	3
mẹ́talọ́kan	szentháromság	trinity
namibia	jönni	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	rejtélyes	highest-spending
nawó	szerezz pénzt	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nephim	nefimu
neptune	neptun	neptune
nevis	nevis	nevis
ngbero	tervezett	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	ott	there
nibere	korai	earlier
nigbakan	néha	at one time
nigbà	azután	when
nijẹr	nike	niger
nilè	itt	remaining
nisinyi	most	at present
nitoriidieyi	emiatt	because of this
nitoripe	mivel	because
nitosi	közeli	nearby
niwaju	előre	in front of
niyato	különbséget tesz	unlike
niye	elég	in number
niyi	itt van	these
nkan	dolog	things
nkàn	rák	something
nnaji	nagybácsi	nnaji
nobel	nobel	nobel
nombamewa	szaporodását	decimal
nombáméjì	az első kettő	two-number
novo	novo	novo
nri	étel	nri
nse	tervezés	acting
nso	közel	saying
nsolaboraro	biztonság	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	pont	indicates
nu	tiszta	in
nukleotidi	nukleotid	nucleotides
nukleotidipupo	nukleotid	cell
numeri	zsibbadtság	numbers
nwa	baba	drill
nàìjíríà	nigériában	nigeria
náwo	költség	spend money
náà	is	that
nì	hegy	is
nìnú	sajnálom	in
nìyí	ez az	this is
ní	van	on
níbè	ott	there
níbè	ott	there
nífẹ̀ẹ́	szeretni	love
nígbàtí	amikor	when
nílè	lent	on the ground
nílùú	a városban	in the town
nílẹ̀	földön	in the land
nínlá	nagy	large
nínu	véletlen	in
níní	birtokolni	having
nípà	legalább	by
nítorípé	mivel	because
nítumò	jelentését	meaningful
nítòsí	közeli	nearby
nítòótó	pontosan	truly
nítòótọ́	valóban	in truth, truthfully
níwájú	előre	in front
níyanjú	pozitívan	solved
nǹkan	dolog	things
nso	hamarosan	say
oba	obama	king
obairanderan	unokatestvér	hereditary
obere	kicsi	started
obínibí	udvariasság	inborn
ododo	igazsága	righteousness
ofin	törvény	law
ogbè	vidék	a divinity
