$ tỉ	$ miljard	$ billion
bùn	modder	mud
bùng	gloed	"(term should be ""bùng nổ"") to break out (v.)"
bú	zogen	to suck
búa	hamer	a hammer
búi	plukjes	tuft
bún	rijstnoedel	noodle
búng	flikkerde	snap
bút	pen	pseudonym
băm	gehasht	hash
băn	tobben	concerned
băng	ijs	"(term should be ""băng giá"") freezing (adj.)"
bơ	boter	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	zwemmen	swim
bơm	pomp	pump
bưu	port	post office
bước	stap	a step (n.)
bướm	vlinder	butterfly
bạ	contacten	directory
bạc	zilver	meager
bạch	wit	"(should be ""bạch tuộc"") an octopus"
bại	verliezen	defeated
bảng	bord	chart
bảo	bao	protect
bảy	zeven	seventh
bấm	druk op	press
bất	echt	"(term should be ""bất cứ"") any (adj.)"
bấy	dat	contemporary
bần	arm	poor
bầu	stemmen	vote
bầy	kudde	servant
bẩm	aangeboren	congenital
bẩn	vuil	the
bẩy	val	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	val	a trap (n.)
bậc	mate	level or class (n.)
bận	druk	busy
bật	opgewonden	outstanding
bắc	noorden	beijing
bắcnam	noord zuid	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	schieten	shoot
bắp	maïs	venter
bắt	vangst	cross
bằng	gelijk	by
bẹp	verpletteren	crush
bẻ	breken	break
bẽ	vernedering	humiliate
bến	werf	wharf
bếp	een keuken	kitchen
bề	oppervlakte	"(should be ""bề mặt"") a surface"
bền	duurzaam	enduring (v.)
bể	balg	tank
bệ	voetstuk	base
bện	gevlochten	braided (adj.)
bệnh	ziek	benh
bỉ	belgië	disgust
bỉnh	ondeugend	binh
bịch	thump	ridiculous
bịt	gedekt	cover
bọ	bug	insect
bọc	inpakken	to cover or enclose (v.)
bọn	hen	a group (n.)
bọng	wallen	bladder
bọt	schuim	foam
bỏ	intrekken	to leave (v.)
bỏng	brandwond	hot
bố	vader	"(term should be ""tuyên bố"") to declare"
bốc	bezig met laden	bốc lửa= on fire
bối	verward	messy
bốn	vier	four
bồi	een vergoeding	"(term should be ""cao bồi"") cowboy (n.)"
bổn	plicht	duty
bổng	beurs	"with word luong, means ""salary"" or ""wages"""
bỗng	plotseling	suddently
bộ	de set	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	meerdere	betray
bột	meel	powder or flour (n.)
bớ	naar boven afronden	arrest
bớt	minder	less
bờ	rand	coast
bời	kont	profuse
bở	door	profitable
bởi	door	because
bục	podium	platform
bụng	maag	abdomen
bứt	onbewust	"(term should be ""bứt phá"") power (n.)"
bừa	schrijnend	messy, careless, or topsy-turvy (adj.)
bữa	maaltijd	meal (n.)
bực	gefrustreerd	bother
ca	verschuiving	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	koolstof	carbon
cacbonat	carbonaat	carbonate
cacbua	hardmetaal	carbides, carbon ions
caesar	caesar	caesar
caffein	cafeïne	caffeine
café	koffie	coffee
cai	cai	govern
cairo	cairo	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	calculus	calculus
calvin	calvin	calvin
cam	sinaasappels	commit
cambodia	cambodja	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	cameo	cameo part
cameron	cameron	cameron
cameroon	kameroen	cameroon
camille	camille	camille
campbell	campbell	campbell
campuchia	cambodja	campuchia
canada	canada	canada
canadian	canadees	canadian
canal	kanaal	canal
canary	kanarie	canary
cancer	kanker	cancer
canterbury	canterbury	canterbury
canxi	calcium	calcium
capello	capello	capello
capra	capra	capra
carat	karaat	carat
carbine	karabijn	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	zorgzaam	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	caraïben	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	carnaval	carnaval
carol	carol	carol
caroline	caroline	(proper noun) caroline
carpathia	carpathia	carpathia
carter	voerman	carter
carxtơ	karaat	karst topography, a geological term (n.)
casa	ca sa	casa
casablanca	casablanca	casablanca
caspia	caspia	caspia
cassini	cassini	cassini
cast	gips	cast
castries	castries	castries
castro	castro	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cd-rom	cd-rom
cell	cel	cell
celtic	keltisch	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	vader	father
chai	fles	bottle
chaillot	chaillot	a name
chamberlain	kamerheer	chamberlain
champa	champa	champa
champion	kampioen	champion
chamẹ	ouders	parents
chanel	chanel	chanel
chanh	citroen	lemon or lime (n.)
chao	hoi	(proper noun) chao, a name
charles	charles	charles
charlotte	charlotte	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	jacht	chase
chay	vegetarisch	fasting
chdcnd	chdcnd	democratic republic
che	hoes	cover
chechnya	tsjetsjenië	chechnya
chen	chen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	delen	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chili	(proper noun) the country of chile
chim	vogel	bird
china	china	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	astrologisch	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	gebakken	fry
chiêng	gong	gong
chiếc	st	the
chiếm	goed voor	appropriate
chiến	strijd	war, fight
chiết	extract	literal
chiếu	mat	show
chiền	bundel	temple
chiều	p.m	length
chlamydia	chlamydia	chlamydia
chloride	chloride	chloroauric acid
chnd	chnd	chnd
choi	speel	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	gekozen	(proper noun) choson
choàng	kaap	coat
choáng	verbijsterd	dizzy
chris	chris	chris, as in chris hughes
christ	christus	christ
christian	christen	christian
christopher	christopher	christopher
chrome	chroom	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	chu	cycle
chua	zuur	tomato
chuck	chuck	(proper noun) chuck, as in chuck norris
chui	veeg	underground
chum	vriend	pot
chun	chun	chun
chung	algemeen	general
churchill	churchill	churchill
chuyên	gespecialiseerd	professional
chuyến	reis	trip
chuyền	slagen voor	volleyball
chuyển	verder gegaan	to move
chuyện	verhaal	nói chuyện= talk
chuôi	klacht	handle
chuông	klok	a bell
chuẩn	standaard-	standard
chuốc	por	incur
chuối	banaan	banana
chuốt	aansnijden	refine
chuồng	kooi	cage
chuỗi	ketting	series
chuộc	inwisselen	redeem
chuộng	begunstigd	favorite
chuột	muis	a mouse (n.)
chà	wrijven	rub
chài	vissen	fish
chàm	indigo	indigo
chàng	kerel	"(term should be ""chàng trai"") a young man (n.)"
chào	hallo	welcome
chày	basketbal	a pestle (n.)
chánh	chef	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	pap	porridge
cháu	kleinkinderen	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	brand	fire
châm	prik	motto
chân	voet	a leg
châu	europa	continental
chè	thee	tea
chèn	invoegen	insert
chém	besnoeiing	to chop
chén	kop	bowl
chéo	kruis	cross
chép	kopiëren	written
chê	verdomme	decry
chênh	verschil	difference
chì	lood	graphite
chìa	sleutel	"(term should be ""chìa khoá"") a key (n.)"
chìm	zonken	to become submerged or sink (v.)
chình	paling	eel
chí	luizen	especially
chích	steek	shoot
chín	negen	ripe
chính	hoofd	main
chít	chit	dense
chò	stikken	a type of plant, typically of the parashorea genus (n.)
chòi	cabine	hut
chòm	sterrenbeeld	constellation
chó	hond	dog
chóc	haha	killing (giet choc)
chói	schittering	bright
chóng	snel	"entire term should be ""chong mat""; means ""dizzy"""
chóp	top	the top (n.)
chôm	ramboetan	rambutan
chôn	begraven	bury
chông	man	thorn
chùa	tempel	pagoda
chùy	foelie	mace
chú	oom	uncle (n.)
chúa	god	god
chúc	wensen	will
chúi	tuu	drop
chúng	hen	they
chút	beetje	little
chăm	moeilijk	champa
chămpa	champa	champa
chăng	betaalbaar	would it
chĩa	vorken	point
chơi	speel	play
chơn	voeten	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	nog niet	not yet
chưng	dist	steamed
chương	hoofdstuk	medal
chướng	hindernisbaan	grating
chạ	promiscue	father
chạm	aanraken	touch
chạng	schemering	twilight
chạp	wankel	slow
chạy	rennen	to run (v.)
chả	broodjes	no
chảo	pan	pan
chảy	rennen	bleeding
chấm	punt	end
chấp	uitdaging	"(term should be ""chấp nhận"") to accept (v.)"
chất	er toe doen	quality
chấu	snuifje	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	blancheren	slice
chẩn	diagnostiseren	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	langzaam	slow
chận	blok	block
chật	strak	overcrowded
chậu	pot	pelvic
chắc	zeker	certainly
chằng	voorhoofd	ligament
chẵn	zelfs	even
chặn	blokkeren	prevent
chặng	been	journey
chặt	karbonade	close
chẻ	splitsen	strick
chẽ	strak	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	voorbereidende werkzaamheden	produce
chếch	speling	oblique
chết	ging dood	to die (v.)
chệch	mis	deviant
chỉ	alleen maar	just (adv.)
chỉnh	correctie	adjust
chịt	onzin	chằn chịt= complex/tangle
chịu	beer	tolerate
chọc	porren	to poke
chọi	vechten	oppose
chọn	kiezen	to choose
chỏ	elleboog	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	moment	single
chối	ontkennen	refuse
chốn	plaats	place
chống	anti	anti-
chốt	klink	important
chồi	schiet	"(term should be ""đâm chồi"") budding"
chồn	vos	anxious
chồng	man	husband
chỗ	plaats	where
chội	shit	cramped
chớ	niet doen	not
chớp	bliksem	flashing (adj.)
chờ	wacht	to wait
chở	dragen	for
chợ	markt	market
chợt	plotseling	suddenly
chục	dozijn	dozen
chụp	maak een schot	capture
chủ	meester	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	stammen	strain
chứ	liever	just or only (adv.)
chứa	bevatten	contain
chức	functie	function
chừ	brief	hesitate
chừa	weggaan	leave
chừng	sommige	about or roughly (adv.)
chử	woord	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	zwanger	pregnant
chửi	vloeken	curse
chữ	woord	a letter of the alphabet (n.)
chữa	genezen	to cure or treat (v.)
chững	nivelleren	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	assepoester	cinderrella
cip	cip	cip
circus	circus	circus
cities	steden	cities
clara	clara	clara
clark	clark	clark
claude	claude	(proper noun) claude
claudius	claudius	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	klem	clip
clips	clips	clips
clo	chloor-	chlorine
clow	clow	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	coburn	coburn
cocoa	cacao	cocoa
coen	coen	coen
coffea	coffea	coffee
cohen	cohen	cohen
coi	kijk maar	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	colleen	colleen
college	college	college
collins	collins	(proper noun) collins
collège	college	college (n.)
colombia	colombia	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	columbus	columbus
comic	grappig	comic
common	gemeenschappelijk	common
concacaf	concacaf	concacaf
concerto	concerto	concerto
concorde	concorde	concorde
condom	condoom	condom
cong	gebogen	curved or bent
congo	congo	congo
congress	congres	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	behoud	conservation
constantine	constantine	constantine
contemporary	hedendaags	contemporary
cooper	kuiper	(proper noun) cooper
copenhagen	kopenhagen	copenhagen
copernic	copernisch	corpernic
copperfield	copperfield	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	kopiëren	copy
cordyceps	cordyceps	cordyceps
core	kern	core
cornell	cornell	cornell
cosin	cosin	cosine
costa	costa	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	gek	crazy
crespo	crespo	(proper noun) crespo
crest	kam	crest
crew	bemanning	crew
crimson	karmozijn	crimson
crisis	crisis	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	kroatië	croatia
cross	kruis	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	kristal	crystal
ctc	ctc	ctc
cua	krab	crab (n.)
cullen	cullen	a name
cung	boog	circle
cunningham	cunningham	cunningham; proper name
cup	kop	cup
cuả	van	of, from, belonging to
cuốc	schoffels	hoe
cuối	laatste	last or final (adj.)
cuốn	spoel	book
cuống	stengel	throat
cuồng	gek	crazy (adj.)
cuộc	de	the
cyanide	cyanide	cyanide
cyber	cyber	cyber
cyril	cyril	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	cyworld	cyword
cà	koffie	ca
cài	installeren	install
càn	nodig hebben	raid
càng	meer	cang
cành	afdeling	branch
cào	krassen	scratch
cày	ploegen	plow
các	de	all (adv.)
cách	manier	the
cái	de	"(term should be ""con cái"") children (n.)"
cán	gerold	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	vleugel	wing
cáo	vos	report
cáopx|bình	cáopx | gemiddeld	not a word
cáp	kabel	cable (n.)
cáy	viool	fiddler
câm	stom	mute (adj.)
cân	weegschaal	weight
câu	de zin	saying
cãi	ruzie maken	argue
cò	trekker	stork
còn	nog steeds	to have left (v.)
có	hebben	have
cói	zegge	machine
cót	kinderbed	cot
cô	mevrouw	girl
côi	wees	orphaned
côn	taps toelopend	a stick (n.)
công	werk	worker
côngtenơ	container	container
cõi	rijken	entire area
cõng	meeliften	piggyback
cù	kietelen	cu
cùi	melaatsen	leprosy
cùng	en	together
cú	uil	old
cúi	boog	to bow (v.)
cúm	griep	cum
cúng	knus	worship
cúp	kop	cup (n.)
cút	eruit	to kick someone out (v.)
căm	ingeplugd	detest (cam thu)
căn	radicaal	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	uitrekken	tense
cũ	oud	old
cũi	wieg	kennel
cũng	ook	also
cơm	rijst-	rice
cư	bevolken	resident
cưa	zag	saw
cưng	mijn babe	also
cước	vracht	megaman
cưới	getrouwd	marry
cướp	beroven	to rob (v.)
cười	lach	smile
cường	sterk	strengthen
cưỡi	rijden	ride
cưỡng	gedwongen	force some body to do some thing. cưỡng dâm=rape
cạc	kaart	card (n.)
cạn	oppervlakkig	shallow
cạnh	rand	"(term should be ""khía cạnh"") an angle"
cạo	scheren	shave
cạp	schorpioen	scorpion
cả	beide	both
cải	mosterd	reform
cảm	verkoudheid	pleasure
cản	geplaagd	prevent
cảng	haven	port
cảnh	tafereel	situation
cảo	trekt	posthumous
cấm	verbieden	ban
cấn	nodig hebben	dramatic
cấp	verlenen	level or rank (n.)
cất	gedistilleerd	"(term should be ""cất giữ"") to keep safe or store"
cầm	houden	to hold (v.)
cần	nodig hebben	need
cầu	brug	request
cầy	civet	farmed
cẩn	doe voorzichtig	carefully
cẩu	kraan	"(term should be ""hải cẩu"") a seal (n.)"
cận	nadering	close
cập	teller	mention
cậu	jongen	a young man (n.)
cậy	afhangen	reliable
cắm	inpluggen	to plant (v.)
cắn	beet	to bite
cắp	stelen	steal
cắt	besnoeiing	cut
cằm	kin	chin
cằn	knorrig	exhausted (adj.)
cặp	zak	couple
cọ	wrijven	rub
cọc	stapel	pile
cọp	tijger	tiger
cỏ	gras	plant
cố	proberen	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	de beker	cereal
cối	mortier	mortar
