$	dollarni tashkil etadi	dollar
అతి	eng	ati
అతిగా	ortiqcha ovqatlanish	over
అతిధి	mehmon	guest
అతిపెద్ద	eng katta	athipeddha
అతిముఖ్యమైన	eng muhimi	very important
అతివాద	ekstremist	over arguing
అతివేగంగా	eng tezkor	with high speed
అతిశయోక్తి	juda abartılı	athisayokthi
అతిశీతల	sovuq	very
అతీతంగా	orqasida	different
అత్త	xola	mother-in-law
అత్యంత	the	special
అత్యధిక	eng yuqori	majority
అత్యధికంగా	ko&#39;pchilik	very importantly
అత్యధికులు	ko&#39;pchilik	superiors
అత్యల్ప	eng past	least
అత్యవసర	favqulodda vaziyatlar	very important
అత్యవసరం	muhim	much needed
అత్యాధునిక	murakkab	latest
అత్యుత్తమ	eng yaxshisi	extraordinary
అత్యున్నత	eng baland	highest
అత్రి	atri	athri
అదనంగా	qo&#39;shimcha,	additional
అదనపు	qo&#39;shimcha	extra
అది	bu	adi
అదిలాబాదు	adilobod	adilabad
అదీ	bu shunday	that too
అదుపు	vasiylik	control
అదుపులో	boshqaruv	in control
అదృశ్యం	yo&#39;qolish	disappeared
అదే	xuddi shu	that one only
అద్దం	ko&#39;zgu	mirror
అద్దంకి	rejalar	adanki
అద్భుత	ajoyib	wonderful
అద్భుతం	ajoyib	miracle
అద్భుతంగా	hayajonli	amazingly
అద్భుతమైన	zo&#39;r	amazing
అద్వైత	advaita	advaita
అద్వైతం	advaitham	philosphy
అధర్వణ	atharva	atharvana
అధిక	ko&#39;proq	more
అధికం	o&#39;sish	increase
అధికంగా	ko&#39;proq	mostly
అధికభాగం	ko&#39;pchilik	most part
అధికమైన	xiralik	extra
అధికార	quvvat	official
అధికారం	vakolat	power
అధికారంలో	quvvat	in power
అధికారంలోకి	quvvat	came into power
అధికారాన్ని	quvvat	its authority
అధికారాలు	vakolatlar	powers
అధికారి	xodim	officer
అధికారిక	rasmiy	official
అధికారికంగా	rasmiy ravishda	authoritarian
అధికారుల	rasmiy shaxslar	officer's
అధికారులు	rasmiy shaxslar	officials
అధినేత	boshliq	president
అధిపతి	boshliq	head of the department
అధిపత్యం	qo&#39;rg&#39;oshin	domination
అధిష్టాన	vakolat	higer
అధీనంలో	ostida	possession
అధీనంలోకి	vasiylik	in control
అధునాతన	ilg&#39;or	modern
అధ్యక్ష	prezident	president
అధ్యక్షుడిగా	prezident	head
అధ్యక్షుడు	prezident	president
అధ్యక్షులు	prezidentlar	president
అధ్యయనం	o&#39;qish	study
అధ్యయనాన్ని	o&#39;qish	exercise
అధ్యాయం	bo&#39;lim	chapter
అధ్యాయంలో	bo&#39;lim	in the chapter
అనంత	cheksizlik	infinite
అనంతం	cheksizlik	infinite
అనంతపురం	anantapur	ananthapuram
అనంతపురానికి	anantapuraniki	ananthapuram
అనంతము	cheksizlik	infinity
అనంతమైన	cheksiz	infinite
అనంతర	keyinchalik	after
అనంతరం	the	later
అనకాపల్లి	anakapalli	anakapalli
అనగా	ya&#39;ni	it means
అనడం	bu	telling
అనధికార	tasdiqlanmagan	unofficial
అనన్య	noyob	many
అనబడే	ma&#39;lum	as called
అనవచ్చును	bu nimani anglatadi	can be called
అనాదిగా	dastlab	long ago
అని	bu	it means
అనికూడా	sifatida	also
అనిన్నీ	hammasi	all
అనిపిస్తుంది	hissiyotlar	is felt
అనిబిసెంట్	enni besant	annibesant
అనిల్	anil	anil
అనీ	bu	saying
అను	anu	namely
అనుకూలంగా	mos keladi	as favorable
అనుకూలమైన	do&#39;stona	consquently
అనుగుణంగా	ga muvofiq	favourable
అనుచరులు	izdoshlar	followers
అనుత్రికము	anutrikamu	tailbone
అనునది	the	called
అనుబంధ	qo&#39;shimcha	related
అనుబంధం	qo&#39;shimcha	good relation
అనుబంధంగా	ilova qilingan	affectionate
అనుభవ	tajriba	with experience
అనుభవం	tajriba	experience
అనుభవాలను	tajribalar	experience
అనుమతి	ruxsat	anumathi
అనుమతిని	ruxsat	permission
అనుమతిస్తాయి	ruxsat bering	will allow
అనుమతిస్తుంది	ruxsat beradi	giving permission, approved
అనుమానం	shubhali	doubt
అనుయాయులు	fledglings	supporters
అనువదించాడు	tarjima qilgan:	translated
అనువర్తన	ilova	application
అనువాద	tarjima	translation
అనువాదం	tarjima	chapter
అనువాదము	tarjima	translation
అనువాదాలు	tarjimalar	translations
అనువుగా	fosh qilingan	ready
అనువైన	egiluvchan	wish
అనువైనది	ideal	convenient
అనుష్క	anushka	anushka - film actress in andhra
అనుసంధానం	integratsiya	interface
అనుసరించి	quyidagi	followed
అనుసరించే	kuzatib boring	following
అనుసరిస్తుంది	izdoshlar	following
అనుసరిస్తూ	quyidagi	following
అనెలిడా	annelid	persons name
అనే	the	said
అనేక	ko&#39;pchilik	many
అనేకమంది	ko&#39;pchilik	many people
అనేకమైన	ko&#39;pchilik	so many
అనేకానేక	ko&#39;proq va ko&#39;proq	more
అనేది	the	called
అనేవారు	edi	used to say
అనేవి	the	called
అనొచ్చు	qonunlar	may call
అనో	yoki	said
అన్న	anna	said
అన్నం	guruch	rice (food)
అన్నట్టు	- dedi	as if
అన్నట్లు	- dedi	as if
అన్నదమ్ములు	birodarlar	brothers
అన్నది	bu	said
అన్నపూర్ణ	annapurna	anapurna
అన్నమయ్య	linkreports	annamayya
అన్నమాచార్య	annamacharya	annamacharya
అన్నమాట	bu	like that
అన్నయ్య	birodar	elder brother
అన్నా	anna	anna
అన్నాడట	annadata	told
అన్నాడు	- dedi	he told
అన్నారు	- dedi	told, said
అన్ని	hammasi	all
అన్నింటికంటే	ko&#39;pchilik	best of all
అన్నింటికన్నా	ko&#39;pchilik	annitikanna
అన్నిటి	hamma narsa	all
అన్నిటికంటే	ko&#39;proq	above all
అన్నీ	hammasi	all
అన్వేషణ	qidirmoq	search
అపారమైన	juda katta	great
అపూర్వ	noyob	apoorva
అప్పటి	keyin	then
అప్పటికి	keyin	thattime
అప్పటికే	zotan	by that time
అప్పటినుండి	o&#39;shandan beri,	from then
అప్పటివరకు	shu paytgacha	till then
అప్పట్లో	vaqtida,	at that time
అప్పారావు	appa rao	appa rao
అప్పు	kredit	loan
అప్పుడప్పుడూ	ba&#39;zan	sometimes
అప్పుడు	keyin	then
అప్పుడే	the	then only
అఫ్	yuqoriga	of
అఫ్జల్	afzal	afal
అబివృద్ధి	o&#39;sish	development
అబూబక్ర్	abu bakr	abubrack
అబొరిజైన్స్	aborijainlar	aborigines
అబ్దుల్	abdul	abdul
అబ్బాయి	bola	boy
అబ్‌ఖజియా	abxaziya	abkhazia
అబ్‌ఖజియాలో	abxajiyalo	in ab-khajia
అబ్‍ఖజియా	abxaziya	ab khajiya
అభిప్రాయ	fikr	opinion
అభిప్రాయం	fikr-mulohaza	opinion
అభిప్రాయపడ్డారు	yozdi	express opinion
అభిప్రాయము	fikr	opinion
అభిప్రాయాలు	ko&#39;rishlar	opinion
అభిమాన	sevimli	fans
అభిమానాన్ని	kasal	like
అభిమానుల	muxlislar	fans
అభిమానులు	muxlislar	fans
అభిరుచి	ehtiros	good taste
అభిలాష	nafas olish	intensity
అభివర్ణించాడు	ta’riflangan	explained
అభివృద్ది	ning rivojlanishi	development
అభివృద్ధి	rivojlanish	improvment
అభివృద్ధికి	rivojlanish	development
అభివృద్ధిని	o&#39;sish	development
అభ్యర్థులు	nomzodlar	candidates
అభ్యాసం	o&#39;rganish	training
అభ్యుదయ	obodlik	popular
అమరజీవి	shahid	deathlessman
అమరాంథేసి	amaranthesi	amaranthaseae
అమరావతి	amravati	amaravathi
అమరి	baholash	adjust
అమరిక	konfiguratsiya	america (its a country)
అమర్చి	o&#39;rnatish	fix
అమలు	yugur	execute
అమలులోకి	effekt	in use
అమల్లోకి	effekt	in use
అమావాస్య	yangi oy	moonless night
అమితంగా	binge	so much
అమెరికన్	amerikalik	american
అమెరికన్లు	amerikaliklar	americans
అమెరికా	qo&#39;shma shtatlar	america
అమెరికాకు	qo&#39;shma shtatlar	to america
అమెరికాలో	qo&#39;shma shtatlar	in america
అమెరికాలోని	qo&#39;shma shtatlar	in america
అమెరికాలోనే	qo&#39;shma shtatlar	in america itself
అమ్మ	oyim	amma
అమ్మవారి	ammon	mother
అమ్మవారిని	ma&#39;buda	to mother
అమ్మా	ona	mother
అమ్మాయి	qiz	girl
అమ్మాయిలు	qizlar	girls
అమ్మే	sotaman	ammo
అయన	uning	he
అయస్కాంత	magnit	magnet
అయి	va	happen
అయింది	bu	became
అయితే	ammo,	while
అయిదు	beshta	five
అయిన	the	is
అయినది	bu bo&#39;lgandi	happened
అయిననూ	ammo,	inspite of
అయినప్పటికీ	ammo,	even though
అయినప్పుడు	qachon	that
అయినా	har qanday	still
అయోధ్యకు	ayodxya	to ayodhya
అయోమయ	shovqin	confusion
అయ్యప్ప	ayyappa	ayyappa
అయ్యర్	iyer	ayyar
అయ్యాక	qachon	after it's don
అయ్యాడు	edi	he was made
అయ్యాయి	sizlar	became
అయ్యి	bu	happen
అయ్యింది	bu	done
అయ్యే	yaroqli	that
అర	javon	half
అరటి	banan	banana
అరటిపండు	banan	banana
అరణ్య	o&#39;rmon	forest
అరత్ని	olecranon	ulna
అరబిక్	arabcha	arabic
అరబ్బీ	arabcha	arab
అరబ్బులు	arablar	arabs
అరవై	oltmish	sixty
అరిస్టాటిల్	aristotel	aristotle
అరుణ	aruna	aruna
అరుణాచల్	arunachal	arunachal
అరుదు	kamdan-kam hollarda	rare
అరుదుగా	kamdan kam	rarely
అరుదైన	kamdan kam	rare
అరెస్టు	hibsga olingan	arrest
అరేబియా	arabiston	arabia
అర్చకులు	ruhoniy	priests
అర్చన	archana	praying the god
అర్జునుడు	arjuna	arjuna
అర్జునుని	arjununi	arjuna's desire
అర్జున్	arjun	arjun
అర్థ	ma&#39;nosi	half
అర్థం	ma&#39;nosi	meaning
అర్థము	izoh	meaning
అర్ధ	yarim	economic
అర్ధం	ma&#39;nosi	internet,slum areas,hindu,muslim,lord shiva
అర్ధము	ma&#39;nosi	meaning
అర్ధాలు	ta&#39;riflar	meanings
అర్ధిక	ardhika	economic
అర్బన్	shahar	urban
అర్హత	loyiq	eligibility
అలంకరణ	bezatish	decorated
అలంకరించి	garnirlangan	decoration
అలంకరిస్తారు	bezatilgan	decoration
అలల	to&#39;lqin	waves
అలలు	tides	waves
అలవాటు	odat	habit
అలవాట్లు	ovqatlanish	habit
అలహాబాదు	allohobod	alahabad
అలా	shunday qilib	in that way
అలాంటి	bunday	like that
అలాగే	shuningdek,	alage
అలానే	shu qatorda; shu bilan birga	that tipe
అలాస్కా	alyaska	alaska (name of the place in america)
అలీ	ali	ali
అలుగు	yovvoyi o&#39;tlar	pangolin
అలెగ్జాండర్	aleksandr	alexander
అలోహం	aloham	nonmetal
అల్	al	al
అల్ప	qisqa	smaller
అల్బేనియా	albaniya	albania
అల్లం	zanjabil	ginger
అల్లసాని	allasani	allasani
అల్లు	spin	allu
అల్లుడు	o&#39;g&#39;il	son in law
అల్లూరి	uilyam	alluri
అవకాశం	imkoniyat	opportunity
అవకాశము	imkoniyat	opportunity
అవకాశాన్ని	imkoniyat	opportunity
అవగాహన	xabardorlik	knowledge
అవతరణ	shakllanishi	formation
అవతరించింది	bo&#39;ldi	born
అవతలి	boshqalar	that side
అవతారం	tasavvur	god
అవతారమని	avatar	form
అవతారాలు	avatarlar	embodiments
అవలంబించారు	qabul qilingan	following
అవశేషాలు	qoldiqlar	remains
అవసరం	ehtiyoj	need
అవసరమయ్యే	kerak	required
అవసరమైతే	agar kerak bo&#39;lsa	if required
అవసరమైన	kerak	needed
అవసరాన్ని	ehtiyoj	need
అవసరాల	talablar	necessities
అవసరాలను	talablar	needs
అవసరాలు	talablar	needs
అవార్డు	mukofot	award
అవార్డును	mukofot	award
అవార్డులు	mukofotlar	awards
అవి	ular	avi
అవినీతి	korruptsiya	uncouth, illegal
అవీ	sozlash	that
అవుట్	chiqdi	out
అవుతాయి	iroda	will become
అవుతుంది	iroda	happen
అవుతున్న	bo&#39;lish	stopping
అవును	ha	yes
అవే	uzoqda	same
అవ్వటం	sifatida	become
అశోక	ashoka	ashok
అశోకుడు	asoka	ashoka
అశోకుని	ashoka	ashoke
అశోక్	ashok	ashok
అశ్వమేధ	asvameda	aswamedha
అష్టలక్ష్మీ	astalaksmi	ashta lakshmi
అష్టాంగ	ashtanga	ashtanga
అష్టాదశ	o&#39;n sakkizda	asthadasha
అష్టోత్తర	astottara	eight
అసంతృప్తి	norozilik	notsatisfied
అసమ్మతి	qarama-qarshilik	anti group
అసలు	asli	wishes
అసలైన	aslida	original
అసాధారణ	g&#39;ayrioddiy	impossible
అసాధారణంగా	g&#39;ayrioddiy	narmel
అసాధారణమైన	istisno	immpossible
అసెంబ్లీ	majlis	lower house
అసోసియేషన్	uyushma	association
అస్సాం	assam	assam
అహమ్మదాబాదు	ahmadobod	ahmedabad
అహమ్మద్	ahmad	ahmed
అహింస	zo&#39;ravonliksiz	the avoidance of violence
ఆ	the	after
ఆంగ్ల	inglizcha	english
ఆంగ్లం	inglizcha	english
ఆంగ్లంలో	inglizcha	in english
ఆంగ్లము	inglizcha	english
ఆంగ్లేయుల	inglizcha	the english
ఆంగ్లేయులు	inglizcha	britishers
ఆంజనేయ	anjaneya	anjaneya
ఆంజనేయస్వామి	anjaneyasvami	anjaneya swamy
ఆందోళన	xavotirlaning	discomfort, fear of
ఆంధ్ర	ap	andhra
ఆంధ్రజ్యోతి	biz gaplashdik	andhra jyothi
ఆంధ్రప్రదేశ్	ap	andhra pradesh
ఆంధ్రప్రదేశ్‌లో	ap	andhrapradesh
ఆంధ్రా	andxra	andhra
ఆంధ్రుల	andhrula	andhras
ఆంధ్రులకు	ap	for andhras
ఆంధ్రులు	telugus	andhras
ఆకర్షణ	qarindoshlik	attraction
ఆకర్షణలు	diqqatga sazovor joylar	attractions
ఆకర్షణీయమైన	jozibali	attracted
ఆకర్షించడం	jozibali	attractive
ఆకర్షించింది	tutildi	attracted
ఆకర్షించే	ko&#39;zni qamashtiradigan narsa	attractive
ఆకలి	ishtaha	akali
ఆకారం	shakl	shape
ఆకారంలో	shakl	shape
ఆకారపు	shakl	shape
ఆకారాన్ని	shakl	shape
ఆకాశ	osmon	sky
ఆకాశం	osmon	sky
ఆకాశంలో	osmon	in the sky
ఆకాశవాణి	tv va radio	unknown voice from sky
ఆకు	bargi	leaf
ఆకుపచ్చ	yashil	green
ఆకుల	barglari	leaves
ఆకులను	barglari	leaves
ఆకులు	barglari	leafs
ఆకృతి	shakl	attraction
ఆక్రమణ	bosqinchilik	conquer
ఆక్రమించారు	bostirib kirdi	taken
ఆక్రమించి	ishg&#39;ol qilingan	acquired
ఆక్రమించింది	ishg&#39;ol qilingan	invasion
ఆక్సైడ్	oksid	oxide
ఆఖరి	final	last
ఆగష్టు	avgust	august
ఆగస్టు	avgust	august
ఆగుతాయి	to&#39;xta	will stop
ఆగ్నేయ	janubi-sharqda	south-east
ఆగ్నేయాన	janubi-sharqda	south-east
ఆగ్రా	agra	agra
ఆచరణలో	amaliyot	in use
ఆచరించే	amaliy	practiced
ఆచార	an&#39;anaviylik	tradition
ఆచారం	shaxsiy	culture
ఆచారాలను	bojxona	cultures
ఆచారాలు	bojxona	religious practices
ఆచార్య	acharya	scholar
ఆజాద్	azad	aazad
ఆట	o&#39;yin	game
ఆటంకం	empedans	objection
ఆటంకాలు	bezovtalik	blockades
ఆటగాడు	pleyer	player
ఆటగాళ్ళు	aktyorlar	players
ఆటను	the	game
ఆటల	sport	games
ఆటలలో	o&#39;yinlar	games
ఆటలు	o&#39;yinlar	games
ఆటలో	o&#39;yinda	in this game
ఆటో	avtomatik	auto
ఆడ	urg&#39;ochilari	female
ఆడపులి	yo&#39;lbars	female tiger
ఆడపులులు	urg&#39;ochilari	female tigers
ఆడవారు	lesbiyaliklar	ladies
ఆడిన	o&#39;ynadingiz	dance
ఆడియో	ovoz	audio
ఆడే	golf	play
ఆతని	uning	his
ఆతి	adi	more
ఆతిథ్యం	xost	salutation
ఆతిధ్య	mehmondo&#39;stlik	is a file in computer system
ఆత్మకథ	tarjimai hol	autobiography
ఆత్మకూరు	atmakur	athmakuru
ఆత్మను	ruh	sole
ఆత్మహత్య	o&#39;z joniga qasd qilish	suicide
ఆత్రేయ	atreya	athreya
ఆదమ్	odam	adam
ఆదరణ	qabul	respect
ఆదరించారు	qabul qildi	respected
ఆదర్శ	ideal	aadarsh
ఆదాము	odam	soil men
ఆదాయ	daromad	income
ఆదాయం	daromadlar	income
ఆదాయంలో	daromad	income
ఆది	quyosh	original, first
ఆదికవి	adikavi	aadi kavi (title the poet nannayya)
ఆదిత్య	aditya	aditya
ఆదిమ	mahalliy	first
ఆదిలాబాదు	adilobod	adilabad
ఆదిల్‌షా	adilsa	adilsha
ఆదివారం	yakshanba	sunday
ఆదుర్తి	bekor qilish	adurthi
ఆదేశాల	buyruqlar	orders
ఆదేశాలను	buyruqlar	orders
ఆదేశాలు	yo&#39;nalishlar	adheshalu
ఆదేశించాడు	buyurtma qilingan	ordered
ఆద్యుడు	ta&#39;sischi	main
ఆధార	manba	used
ఆధారం	dalillar	proof
ఆధారంగా	asoslangan	depending
ఆధారంగానే	asosida	depending on
ఆధారపడి	ga qarab	dependent
ఆధారపడిన	asoslangan	depending on
ఆధారముగా	asoslangan	based on
ఆధారాల	hisob ma&#39;lumotlari	proofs
ఆధారాలు	dalillar	proofs
ఆధారాలున్నాయి	ish	proofs are there
ఆధారిత	quvvatlangan	based on
ఆధిక్యత	ko&#39;pchilik	higher
ఆధిపత్యం	hukmron	domination
ఆధిపత్యము	quvvat	authority
ఆధీనంలో	egalik	in control of
ఆధీనములో	domen	in their custody
ఆధునిక	zamonaviy	new
ఆధ్యాత్మ	ma&#39;naviyat	spiritual
ఆధ్యాత్మిక	ma&#39;naviy	spiritual
ఆధ్యాత్మికత	ma&#39;naviyat	spiritual
ఆధ్వర్యంలో	ostida	in the leadership
ఆనందం	baxt	exhilaration
ఆనంద్	anand	anand
ఆనకట్ట	to&#39;g&#39;on	bridge
ఆనవాయితీ	bu odatiy	accustom
ఆనాటి	keyin	earlier
ఆనాడు	keyin	then
ఆనుకొని	qo&#39;shni	without knowing
ఆన్	yoqilgan	on
ఆన్లైన్	onlayn	online
ఆపరేటింగు	ishlamoqda	operating
ఆపరేటింగ్	ishlamoqda	operating
ఆపరేషన్	operatsiya	operation
ఆపిల్	olma	apple
ఆపై	va	after that
ఆప్	aap	of
ఆఫీసు	idora	office
ఆఫీస్	idora	office
ఆఫ్ఘనిస్తాన్	afg&#39;oniston	afghanistan
ఆఫ్ఘనిస్తాన్‌	afg&#39;oniston	afghanistan
ఆఫ్ఘనిస్తాన్‌లో	afg&#39;oniston	in afghanisthan
ఆఫ్ఘన్	afg‘on	afghan
ఆఫ్రికన్	afrika	african
ఆఫ్రికా	afrika	africa
ఆఫ్రికాలో	afrika	in africa
ఆభరణాలు	zargarlik buyumlari	jewellery
ఆమె	u	she
ఆమెకు	u	to her
ఆమెను	uning	her
ఆమోదం	tasdiqlash	granted
ఆమ్ల	kislota	acids
ఆమ్లం	kislota	acid
ఆమ్లజని	kislorod	oxygen
ఆమ్లాలు	kislotalar	acids
ఆయకట్టు	havzasi	dam
ఆయత్	co	aayat
ఆయన	uning	he
ఆయనకు	uning	he
ఆయనతో	u bilan	with him
ఆయనను	uni	him
ఆయనే	u	that person
ఆయన్ని	u	him
ఆయన్ను	u	him
ఆయా	buvan	within those
ఆయిల్	yog &#39;	oil
ఆయుధ	qurol	weapon
ఆయుధాలను	qurollar	things
ఆయుధాలు	qurollar	weapons
ఆయుర్వేద	ayurveda	ayurvedic
ఆయుర్వేదం	ayurveda	ayurveda
ఆయుర్వేదంలో	ayurveda	homeopathy
ఆరంభ	boshlang	initial
ఆరంభం	isbot	start
ఆరంభంలో	erta	in the beginning
ఆరంభమైంది	boshlandi	started
ఆరవ	oltinchidan	sixth
ఆరాధన	ibodat	adoration
ఆరాధించే	bag&#39;ishlangan	worship
ఆరాధిస్తారు	hurmat	worship
ఆరు	olti	six
ఆరుద్ర	uchish	arudra
ఆరోగ్య	sog&#39;liqni saqlash	health
ఆరోగ్యం	sog&#39;liqni saqlash	healthy
ఆరోగ్యానికి	sog&#39;liqni saqlash	for health
ఆరోజు	o&#39;sha kuni	that day
ఆర్ఎన్ఎ	rnk	rna
ఆర్కిటిక్	arktika	arctic
ఆర్కిమెడిస్	arximed	arkimedes
ఆర్గనైజేషన్	tashkilot	organisation
ఆర్టికల్	maqola	article
ఆర్టిసి	rtc	road transport corporation
ఆర్ట్	san&#39;at	arts
ఆర్థిక	iqtisodiy	economocs
ఆర్థికంగా	iqtisodiy	financially
ఆర్థికశాస్త్రం	iqtisodiyot	economics
ఆర్థ్రోపోడా	artropod	arthropoda
ఆర్ధిక	moliyaviy	economic
ఆర్ధికంగా	iqtisodiy	financially
ఆర్ధికరంగం	iqtisodiyot	finance
ఆర్ధికవ్యవస్థ	iqtisodiyot	economic system
ఆర్మీ	armiya	army
ఆర్య	arya	aryas
ఆర్యులు	aryanlar	sirs
