$ tỉ	miljarder dollar	$ billion
bú	amma	to suck
búa	hammare	a hammer
búi	knippen	tuft
bún	ris nudlar	noodle
búng	knäppt	snap
bút	penna	pseudonym
băm	hashade	hash
băn	band	concerned
băng	is	"(term should be ""băng giá"") freezing (adj.)"
bơ	smör	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	simma	swim
bơm	pump	pump
bưu	porto	post office
bước	steg	a step (n.)
bướm	fjäril	butterfly
bạ	kontakter	directory
bạc	silver-	meager
bạch	vit	"(should be ""bạch tuộc"") an octopus"
bại	slarva bort	defeated
bảng	styrelse	chart
bảo	bao	protect
bảy	sju	seventh
bấm	tryck	press
bất	verklig	"(term should be ""bất cứ"") any (adj.)"
bấy	det där	contemporary
bần	fattig	poor
bầu	rösta	vote
bầy	besättning	servant
bẩm	medfödd	congenital
bẩn	smutsig	the
bẩy	fälla	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	fälla	a trap (n.)
bậc	grad	level or class (n.)
bận	upptagen	busy
bật	påslagen	outstanding
bắc	norr	beijing
bắcnam	norr söder	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	skjuta	shoot
bắp	majs	venter
bắt	fånga	cross
bằng	likvärdig	by
bẹp	krossa	crush
bẻ	ha sönder	break
bẽ	förnedring	humiliate
bến	kaj	wharf
bếp	ett kök	kitchen
bề	yta	"(should be ""bề mặt"") a surface"
bền	hållbar	enduring (v.)
bể	bälg	tank
bệ	piedestal	base
bện	flätad	braided (adj.)
bệnh	sjuk	benh
bỉ	belgien	disgust
bỉnh	stygg	binh
bịch	dunk	ridiculous
bịt	täckt	cover
bọ	insekt	insect
bọc	slå in	to cover or enclose (v.)
bọn	dem	a group (n.)
bọng	svullnader	bladder
bọt	skum	foam
bỏ	återkalla	to leave (v.)
bỏng	bränna	hot
bố	far	"(term should be ""tuyên bố"") to declare"
bốc	läser in	bốc lửa= on fire
bối	förvirrad	messy
bốn	fyra	four
bồi	ersättning	"(term should be ""cao bồi"") cowboy (n.)"
bổn	plikt	duty
bổng	stipendium	"with word luong, means ""salary"" or ""wages"""
bỗng	plötsligt	suddently
bộ	uppsättningen	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	flera olika	betray
bột	mjöl	powder or flour (n.)
bớ	runda upp	arrest
bớt	mindre	less
bờ	kant	coast
bời	luffare	profuse
bở	förbi	profitable
bởi	förbi	because
bục	podium	platform
bụng	mage	abdomen
bứt	omedvetet	"(term should be ""bứt phá"") power (n.)"
bừa	hemsk	messy, careless, or topsy-turvy (adj.)
bữa	måltid	meal (n.)
bực	frustrerad	bother
ca	flytta	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	kol	carbon
cacbonat	karbonat	carbonate
cacbua	karbid	carbides, carbon ions
caesar	caesar	caesar
caffein	koffein	caffeine
café	kaffe	coffee
cai	cai	govern
cairo	cairo	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	calculus	calculus
calvin	calvin	calvin
cam	apelsiner	commit
cambodia	cambodia	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	skärmdel	cameo part
cameron	cameron	cameron
cameroon	cameroon	cameroon
camille	camille	camille
campbell	campbell	campbell
campuchia	kambodja	campuchia
canada	kanada	canada
canadian	kanadensisk	canadian
canal	kanal	canal
canary	kanariefågel	canary
cancer	cancer	cancer
canterbury	canterbury	canterbury
canxi	kalcium	calcium
capello	capello	capello
capra	capra	capra
carat	karat	carat
carbine	karbin	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	carey	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	karibien	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	carnaval	carnaval
carol	carol	carol
caroline	caroline	(proper noun) caroline
carpathia	carpathia	carpathia
carter	carter	carter
carxtơ	karat	karst topography, a geological term (n.)
casa	ca sa	casa
casablanca	casablanca	casablanca
caspia	caspia	caspia
cassini	cassini	cassini
cast	kasta	cast
castries	castries	castries
castro	castro	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cd-rom	cd-rom
cell	cell	cell
celtic	celtic	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	pappa	father
chai	flaska	bottle
chaillot	chaillot	a name
chamberlain	kammar	chamberlain
champa	champaen	champa
champion	mästare	champion
chamẹ	föräldrar	parents
chanel	chanel	chanel
chanh	citron-	lemon or lime (n.)
chao	hej	(proper noun) chao, a name
charles	charles	charles
charlotte	charlotte	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	jaga	chase
chay	vegetarian	fasting
chdcnd	chdcnd	democratic republic
che	omslag	cover
chechnya	chechnya	chechnya
chen	chen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	dela med sig	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chile	(proper noun) the country of chile
chim	fågel	bird
china	kina	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	astro	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	friterad	fry
chiêng	gong	gong
chiếc	st	the
chiếm	redovisning för	appropriate
chiến	bekämpa	war, fight
chiết	extrahera	literal
chiếu	matta	show
chiền	knippa	temple
chiều	pm	length
chlamydia	chlamydia	chlamydia
chloride	klorid	chloroauric acid
chnd	chnd	chnd
choi	spela	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	choson	(proper noun) choson
choàng	cape	coat
choáng	bedövad	dizzy
chris	chris	chris, as in chris hughes
christ	christ	christ
christian	kristen	christian
christopher	christopher	christopher
chrome	krom	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	chu	cycle
chua	sur	tomato
chuck	kasta	(proper noun) chuck, as in chuck norris
chui	torka	underground
chum	kamrat	pot
chun	chun	chun
chung	allmän	general
churchill	churchill	churchill
chuyên	specialiserade	professional
chuyến	resa	trip
chuyền	passera	volleyball
chuyển	flyttade vidare	to move
chuyện	berättelse	nói chuyện= talk
chuôi	gnälla	handle
chuông	klocka	a bell
chuẩn	standard	standard
chuốc	peta	incur
chuối	banan	banana
chuốt	driftning	refine
chuồng	bur	cage
chuỗi	kedja	series
chuộc	lösa in	redeem
chuộng	gynnade	favorite
chuột	mus	a mouse (n.)
chà	gnugga	rub
chài	fiske	fish
chàm	indigo	indigo
chàng	kille	"(term should be ""chàng trai"") a young man (n.)"
chào	hallå	welcome
chày	baseboll	a pestle (n.)
chánh	chef	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	gröt	porridge
cháu	barnbarn	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	brand	fire
châm	sticka	motto
chân	fot	a leg
châu	europa	continental
chè	te	tea
chèn	föra in	insert
chém	skära	to chop
chén	kopp	bowl
chéo	korsa	cross
chép	kopiera	written
chê	attans	decry
chênh	skillnad	difference
chì	leda	graphite
chìa	nyckel	"(term should be ""chìa khoá"") a key (n.)"
chìm	sjönk	to become submerged or sink (v.)
chình	ål	eel
chí	löss	especially
chích	sting	shoot
chín	nio	ripe
chính	huvud	main
chít	chit	dense
chò	sätta i halsen	a type of plant, typically of the parashorea genus (n.)
chòi	stuga	hut
chòm	konstellation	constellation
chó	hund	dog
chóc	haha	killing (giet choc)
chói	lysa skarpt	bright
chóng	snabbt	"entire term should be ""chong mat""; means ""dizzy"""
chóp	topp	the top (n.)
chôm	rambutan	rambutan
chôn	begrava	bury
chông	make	thorn
chùa	tempel	pagoda
chùy	muskotblomma	mace
chú	farbror	uncle (n.)
chúa	gud	god
chúc	att önska	will
chúi	tuu	drop
chúng	dem	they
chút	lite grann	little
chăm	hård	champa
chămpa	champa	champa
chăng	prisvärd	would it
chĩa	gafflar	point
chơi	spela	play
chơn	fötter	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	inte än	not yet
chưng	dist	steamed
chương	kapitel	medal
chướng	hinderbana	grating
chạ	promiskuös	father
chạm	rör	touch
chạng	skymning	twilight
chạp	skakig	slow
chạy	springa	to run (v.)
chả	rullar	no
chảo	panorera	pan
chảy	springa	bleeding
chấm	punkt	end
chấp	utmaning	"(term should be ""chấp nhận"") to accept (v.)"
chất	materia	quality
chấu	nypa	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	blanche	slice
chẩn	diagnostisera	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	långsam	slow
chận	blockera	block
chật	tajt	overcrowded
chậu	pott	pelvic
chắc	säker	certainly
chằng	panna	ligament
chẵn	även	even
chặn	blockera	prevent
chặng	ben	journey
chặt	hacka	close
chẻ	dela	strick
chẽ	tajt	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	preparat	produce
chếch	slak	oblique
chết	dog	to die (v.)
chệch	fel	deviant
chỉ	bara	just (adv.)
chỉnh	korrektion	adjust
chịt	skit	chằn chịt= complex/tangle
chịu	björn	tolerate
chọc	att peta	to poke
chọi	stridande	oppose
chọn	välja	to choose
chỏ	armbåge	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	ögonblick	single
chối	förneka	refuse
chốn	plats	place
chống	anti	anti-
chốt	spärr	important
chồi	skott	"(term should be ""đâm chồi"") budding"
chồn	räv	anxious
chồng	make	husband
chỗ	plats	where
chội	skit	cramped
chớ	låt bli	not
chớp	blixt-	flashing (adj.)
chờ	vänta	to wait
chở	bärande	for
chợ	marknadsföra	market
chợt	plötsligt	suddenly
chục	dussin	dozen
chụp	ta ett skott	capture
chủ	bemästra	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	stammar	strain
chứ	snarare	just or only (adv.)
chứa	innehålla	contain
chức	fungera	function
chừ	brev	hesitate
chừa	lämnar	leave
chừng	några	about or roughly (adv.)
chử	ord	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	gravid	pregnant
chửi	skälla	curse
chữ	ord	a letter of the alphabet (n.)
chữa	bota	to cure or treat (v.)
chững	utjämning	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	askungen	cinderrella
cip	cip	cip
circus	cirkus	circus
cities	städer	cities
clara	clara	clara
clark	clark	clark
claude	claude	(proper noun) claude
claudius	claudius	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	klämma	clip
clips	clips	clips
clo	klor	chlorine
clow	clow	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	coburn	coburn
cocoa	kakao	cocoa
coen	coen	coen
coffea	coffea	coffee
cohen	cohen	cohen
coi	kolla på	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	colleen	colleen
college	högskola	college
collins	collins	(proper noun) collins
collège	högskola	college (n.)
colombia	colombia	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	columbus	columbus
comic	komisk	comic
common	allmänning	common
concacaf	concacaf	concacaf
concerto	konsert	concerto
concorde	concorde	concorde
condom	kondom	condom
cong	böjd	curved or bent
congo	kongo	congo
congress	kongress	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	bevarande	conservation
constantine	constantine	constantine
contemporary	samtida	contemporary
cooper	tunnbindare	(proper noun) cooper
copenhagen	köpenhamn	copenhagen
copernic	copernic	corpernic
copperfield	copper	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	kopiera	copy
cordyceps	cordyceps	cordyceps
core	kärna	core
cornell	cornell	cornell
cosin	cosin	cosine
costa	costa	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	galen	crazy
crespo	crespo	(proper noun) crespo
crest	vapen	crest
crew	besättning	crew
crimson	djupröd	crimson
crisis	kris	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	kroatien	croatia
cross	korsa	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	kristall	crystal
ctc	ctc	ctc
cua	krabba	crab (n.)
cullen	cullen	a name
cung	rosett	circle
cunningham	cunningham	cunningham; proper name
cup	kopp	cup
cuả	av	of, from, belonging to
cuốc	hackor	hoe
cuối	sista	last or final (adj.)
cuốn	spole	book
cuống	stjälk	throat
cuồng	galen	crazy (adj.)
cuộc	de	the
cyanide	cyanid	cyanide
cyber	cyber	cyber
cyril	cyril	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	cyworld	cyword
cà	kaffe	ca
cài	installera	install
càn	behöver	raid
càng	ju mer	cang
cành	gren	branch
cào	repa	scratch
cày	plöjning	plow
các	de	all (adv.)
cách	sätt	the
cái	de	"(term should be ""con cái"") children (n.)"
cán	rullad	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	vinge	wing
cáo	räv	report
cáopx|bình	cáopx | genomsnitt	not a word
cáp	kabel-	cable (n.)
cáy	fifflare	fiddler
câm	dum	mute (adj.)
cân	skalor	weight
câu	meningen	saying
cãi	argumentera	argue
cò	avtryckare	stork
còn	fortfarande	to have left (v.)
có	ha	have
cói	starr	machine
cót	spjälsäng	cot
cô	fröken	girl
côi	föräldralösa	orphaned
côn	avsmalning	a stick (n.)
công	arbete	worker
côngtenơ	behållare	container
cõi	sfärer	entire area
cõng	piggyback	piggyback
cù	kittla	cu
cùi	spetälska	leprosy
cùng	och	together
cú	uggla	old
cúi	rosett	to bow (v.)
cúm	influensa	cum
cúng	mysigt	worship
cúp	kopp	cup (n.)
cút	gå ut	to kick someone out (v.)
căm	inkopplad	detest (cam thu)
căn	radikal	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	sträcka	tense
cũ	gammal	old
cũi	spjälsäng	kennel
cũng	också	also
cơm	ris	rice
cư	befolka	resident
cưa	fick syn på	saw
cưng	min älskling	also
cước	frakt	megaman
cưới	gift	marry
cướp	råna	to rob (v.)
cười	skratt	smile
cường	stark	strengthen
cưỡi	ridning	ride
cưỡng	tvingade	force some body to do some thing. cưỡng dâm=rape
cạc	kort	card (n.)
cạn	grund	shallow
cạnh	kant	"(term should be ""khía cạnh"") an angle"
cạo	rakning	shave
cạp	scorpion	scorpion
cả	både	both
cải	senap	reform
cảm	kall	pleasure
cản	plågat	prevent
cảng	hamn	port
cảnh	scen	situation
cảo	dragningar	posthumous
cấm	förbjuda	ban
cấn	behöver	dramatic
cấp	bevilja	level or rank (n.)
cất	destillerat	"(term should be ""cất giữ"") to keep safe or store"
cầm	håll	to hold (v.)
cần	behöver	need
cầu	bro	request
cầy	sibetkatt	farmed
cẩn	var försiktig	carefully
cẩu	kran	"(term should be ""hải cẩu"") a seal (n.)"
cận	närma sig	close
cập	disken	mention
cậu	pojke	a young man (n.)
cậy	bero	reliable
cắm	ansluta	to plant (v.)
cắn	bita	to bite
cắp	stjäla	steal
cắt	skära	cut
cằm	haka	chin
cằn	vresig	exhausted (adj.)
cặp	väska	couple
cọ	gnugga	rub
cọc	lugg	pile
cọp	tiger	tiger
cỏ	gräs	plant
cố	prova	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	koppen	cereal
cối	murbruk	mortar
cốm	nuggets	grilled rice
cống	dränera	dedicate
cồn	alkohol	i
cồng	gong	gong
cổng	port	gate
cỗ	däck	engine
cỗi	envis	barren
cộ	fordons-	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	gammal	origin
cộng	plus	to add (v.)
cột	kolumn	pole
