$	usd	dollar
bivaju	viņi ir	are
bivša	ex	ex
bivše	ex	former
bivšeg	ex	former
bivši	ex	former
bivših	ex	former
bivšoj	bijušais	ex
bića	būtnes	being
biće	būtne	being
bjelančevina	olbaltumvielas	protein
bjelorusija	baltkrievija	bjelorusija
bjelorusije	baltkrievija	belarus
bježi	skrien prom	runs
blagaj	dārgums	blagaj
blage	maiga	mild
blago	dārgums	mild
blaž	blaž	blaž
blaža	maigāks	blazo (name)
blažić	blažić	blazic
bliski	tuvu	close
bliskom	tuvu	close
blizini	tuvumā	close
blizu	tuvu	close
bliže	tuvāk	closer
blog	emuārs	blog
blok	bloķēt	bloc
bloka	bloķēt	blocks
blokova	bloki	blocks
boas	boas	boas
boban	bobans	boban
bobovac	bobovacs	bobovac
bodova	punkti	points
bog	dievs	god
boga	dievs	god
bogat	bagāts	rich
bogata	bagāts	rich
bogate	bagāts	rich
bogati	bagāts	rich
bogatih	bagāts	rich
bogatim	bagāts	rich
bogato	bagāts	rich
bogatstva	bagātība	wealth
bogatstvo	bagātība	wealth
bogatu	bagāts	rich
boginja	dieviete	goddess
bogova	no dieviem	gods
bogovi	dievi	gods
bogovima	pie dieviem	gods
bogu	dievs	god
bohemian	bohēma	bohemian
boja	krāsa	color
bojama	krāsas	colours
boje	krāsas	color
boji	krāsas	color
bojom	krāsa	color
boju	krāsa	color
boksit	boksīts	bauxite
bol	bol	pain
bola	sāpes	pain
bolesnik	pacients	patient
bolesnika	pacientiem	patients
bolest	slimība	dissease
bolesti	slimības	disease
bolestima	slimības	diseases
boleyn	sāpes	boleyn
boli	sāp	aches
bolja	labāk	better
bolje	labāk	better
bolji	labāk	better
bolnica	slimnīca	hospital
bolova	sāpes	pain
bomba	bumba	bomb
bombe	bumbas	bombs
bonaparte	bonaparte	bonaparte
bonus	bonuss	bonus
bora	bora	pine
borac	cīnītājs	borac
boraks	boraks	borax
boravak	palikt	residence
boravka	palikt	stay
borba	cīņa	fight
borbama	cīnās	fights
borbe	cīnās	fights
borbeni	apkarojošs	fighter
borbi	cīnās	battle
borbu	cīņa	battle
bore	nesa	bora
bori	cīnās	fights
borili	cīnījās	fought
borio	cīnījās	fighted
boris	boriss	boris
borić	cīņa	boric
bos	bos	bosnian
bosanci	bosnieši	bosnians
bosanska	bosniešu	bosnian
bosanske	bosniešu	bosnian
bosanski	bosniešu	bosnian
bosanskih	bosniešu	bosnian
bosanskim	bosniešu	bosnian
bosansko	bosniešu	bosnian
bosanskog	bosniešu	bosnian
bosanskoga	bosniešu	bosnian
bosanskohercegovačka	bosnija un hercegovina	bosnian-herzegovinian
bosanskohercegovačke	bosniešu	bosnia and herzegovina
bosanskohercegovački	bosniešu	bosnian-herzegovinian
bosanskohercegovačkih	no bosnijas un hercegovinas	bosnian
bosanskohercegovačkog	no bosnijas un hercegovinas	bosnian-herzegovinian
bosanskoj	bosniešu	bosnian
bosanskom	bosniešu	bosnian
bosanskome	bosniešu	bosnian
bosansku	bosniešu	bosnian
bosančica	bosniešu	bosancica
bosančicom	bosniešu	bosnian cyrillic script
bosna	bosnija	bosnia
bosne	bosnija	bosnia
bosni	bosnija	bosnia
bosnom	bosnija	bosnia
bosnu	bosnija	bosnia
bozon	bozons	boson
bočne	sānu	sideways
boško	boško	bosko
bošnjaci	bosnieši	bosnian
bošnjacima	bosnieši	bosnians
bošnjak	bosniak	bosniak
bošnjaka	bosnieši	bosniacs
bošnjake	bosnieši	bosnians
bošnjani	bosnieši	bosnians
bošnjačka	bosniak	bosniac
bošnjačke	bosniak	bosnian
bošnjački	bosniešu	bosnian
bošnjačkih	bosniak	bosnian
bošnjačko	bosniak	bosnian
bošnjačkog	bosniak	bosnian
božanstva	dievības	deity
bože	dievs	god
božiji	no dieva	gods
božić	ziemassvētki	bozic
br	nē	nr.
brak	laulība	marriage
braka	laulība	marriage
braku	laulība	marriage
brane	aizsprosts	defend
brani	aizstāvēt	defends
branislav	branislavs	branislav
branko	branko	branko
brat	brālis	brother
brata	brālis	brother
bratstvo	brālība	brotherhood
bratu	brālis	brother
bratunac	brālēns	bratunac
brazil	brazīlija	brazil
braća	brāļi	brothers
braće	brāļi	brothers
brda	kalni	hills
brdo	kalns	hill
brdski	kalnains	mountain
brdu	kalns	hill
bregović	bregović	bregović
breza	bērzs	birch
brigade	brigāde	brigade
brijeg	kalns	hill
brijegu	kalns	hill
brine	raizes	deals
britanaca	no britiem	britons
britanci	briti	british
britanija	lielbritānija	britain
britanije	lielbritānijas	britain
britaniji	lielbritānija	britain
britannica	britannica	britannica
britanska	britu	british
britanske	britu	british
britanski	britu	british
britanskih	britu	british
britanskog	britu	british
brod	kuģis	boat
broda	kuģis	ship
brodova	kuģi	ships
brodovi	kuģi	ships
brodu	kuģis	ship
broj	numuru	number
broja	numuru	number of
brojem	pēc skaita	number
brojeva	skaitļi	numbers
brojevi	skaitļi	numbers
brojevima	skaitļi	numbers
broji	skaita	counts
brojna	neskaitāmas	number of
brojne	neskaitāmas	numerous
brojni	neskaitāmas	many
brojnih	neskaitāmas	many
brojnim	neskaitāmas	numerous
brojnost	pārpilnība	number of
broju	numuru	number
bronhiole	bronhioli	bronchi
bronzanog	bronzas	bronze
bruno	bruno	giordano
brusnica	dzērvene	cranberry
bruto	bruto	gross
brz	ātri	quick
brza	ātri	quick
brze	ātri	fast
brzi	ātri	fast,quick
brzina	ātrums	speed
brzine	ātrums	speed
brzinom	ātrums	speed
brzinu	ātrums	speed
brzo	ātri	fast
brčko	brčko	brcko
brže	ātrāk	faster
brži	ātrāk	faster
bubojedi	vaboles	insectivora
bubrega	nieres	kidneys
bubrezi	nieres	kidneys
bude	būs	be
budi	būt	wake
budizam	budisms	buddhism
budu	es būšu	be
buduće	nākotne	future
budućeg	nākotnes	future
budući	nākotne	since
budućnost	nākotne	future
budućnosti	nākotnes	future
buenos	labi	buenos
bugari	bulgāri	bulgarians
bugarska	bulgārija	bulgarian
bugarske	bulgāru	bulgarian
bugarski	bulgāru	bulgarian
bugarskoj	bulgāru	bulgarian
bugarskom	bulgāru	bulgarian
bugojno	bugojno	bugojno
buha	buha	buha
buhe	buhe	fleas
bukal	bukal	bukal
bukvalno	burtiski	literally
bune	kūle	uprising
busenje	urbšana	sod
busovača	busovača	busovacha
bužim	bužim	buzim
byron	byron	byron
c	c	c (letter)
ca	ca.	ca
california	kalifornijā	california
car	auto	emperor
cara	karalis	king
carem	karalis	king
careva	imperatori	tsar`s
carevine	impērija	kingdom
carigrad	konstantinopole	constantinople
carigrada	no konstantinopoles	constantinople
carl	kārlis	carl
carske	karaliskais	royal
carski	impēriskais	regal
carstva	impērija	empires
carstvo	karaļvalsts	kingdom
carstvom	impērija	empire
carstvu	karaļvalsts	empire
cazin	kazin	cazin
cd	cd	cd
ce	būs	tse
ceca	ceca	ceca
celuloza	celuloze	cellulose
centar	centrā	center
centara	centri	centers
centar|p|	centrs | p |	center
center	centrā	center
centimetar	centimetrs	centimeter
centra	centrā	center
centralna	centrālais	central
centralne	centrālais	central
centralni	centrālais	central
centralnog	centrālais	central
centralnoj	centrālais	central
centralnom	centrālais	central
centre	centrā	centers
centri	centri	centers
centrima	centri	center
centrom	centrā	center
centru	centrā	center
ceremonija	ceremonija	ceremony
cervantes	cervantes	cervantes
cesta	ceļš	roads
ceste	ceļi	roads
cezar	cēzars	caesar
cezara	cēzars	caesar
cezijum	cēzijs	cesium
charles	charles	charles
chicago	čikago	chicago
christian	kristietis	christian
cia	cia	cia
cifara	cipars	numbers
cijela	vesela	entire
cijele	vesela	entire
cijeli	vesela	the whole
cijelim	vesela	all
cijelo	viss	whole
cijelog	viss	whole
cijeloj	viss	entire
cijelom	visā	the whole, full
cijelu	viss	the whole
cijena	cena	price
cijene	cenas	prices
cijeni	cena	price
cijev	pīpe	tube
cijevi	caurules	pipes
ciklus	cikls	cyclus
ciklusa	cikls	cycle
cilj	mērķis	goal
cilja	mērķis	goal
ciljem	mērķis	to
ciljeva	mērķus	goals , objectives, targets
ciljeve	mērķus	goals
ciljevi	mērķus	objectives
cilju	mērķis	trying
cinabarit	cinnabar	cinnabar
cink	cinks	zirconium
cinka	cinks	zinc
cirkonijum	cirkonijs	zirconium
civila	civiliedzīvotāji	civilians
civilizacija	civilizācija	civilization
civilizacije	civilizācija	civilizations
civilizaciju	civilizācija	civilization
cjelina	vesela	whole
cjeline	veseliem	unity
cjelini	vesela	globally
cjelinu	vesela	whole
cjelokupne	kopumā	entire
cjelokupnu	kopumā	whole
co	co	co
columbia	kolumbija	columbia
cpu	procesors	central processing unit
crijeva	zarnas	bowels
crijevo	šļūtene	intestine
crkava	baznīcas	churches
crkva	baznīca	church
crkve	baznīcas	church
crkvene	baznīcas	church
crkveni	baznīcas	canonical
crkvi	baznīca	church
crkvom	baznīca	church
crkvu	baznīca	church
crna	melns	crna
crne	melns	black
crni	melns	black
crnih	melns	black
crnim	melns	black
crno	melns	black
crnog	melns	black
crnogorci	melnkalnieši	montenegrins
crnogorski	melnkalnes	montenegrian
crnoj	melns	black
crnom	melns	black
crnomorskom	melnā jūra	black sea
crnu	melns	black
croatia	horvātija	croatia
crossfire	krustugunis	crossfire
crt	crt	crt
crta	līnija	line
crvena	sarkans	red
crvene	sarkans	red
crveni	sarkans	red
crvenih	sarkans	red
crvenim	sarkans	red
crvenog	sarkans	red
crvenom	sarkans	red
cu	ar	copper
cup	kauss	cup
cvijet	zieds	flower
cvijeta	zieds	flower
cvijeće	ziedi	flowers
cvjeta	zied	flowers
cvjetovi	ziedi	flowers
da	jā	yes
daje	ja tas ir	gives
daju	viņi dod	give
dajući	dodot	giving
dakle	tātad	so
dala	deva	given
daleko	tālu prom	far
dali	vai	dali
dalje	tālāk	on, beyond
daljem	tālāk	further
dalji	tālāk	further
daljnje	tālāk	further
dalmacija	dalmācija	dalmatia
dalmacije	dalmācija	dalmatia
dalmaciji	dalmācija	dalmatia
dalo	deva	gave
damir	damir	damir
dan	dienā	day
dana	dienas	days
danas	šodien	today
današnja	šodienas	todays
današnje	šodien	todays
današnjeg	šodienas	present
današnjem	šodien	todays
današnji	šodienas	today
današnjih	šodienas	today
današnjim	šodienas	today's
današnjoj	šodienas	present
dane	jā nē	days
dani	dienas	dani
daniel	daniel	daniel
danima	dienas	days
danska	dānija	denmark
danske	dāņu	denmark
danski	dāņu	danish
danskoj	dāņu	denmark
dante	dante	dante
dao	deva	gave
darko	darko	darko
darwin	darvins	darwin
dat	dat	given
date	datums	date
dati	dot	to give
datira	iepazīšanās	dates
datiraju	iepazīšanās	date
datoteci	failu	file
datoteka	failu	file
datoteke	failus	files
datoteku	failu	files
datum	datums	date
datuma	datums	date
davao	deva	giving
davati	dot	give
david	deivids	david
davis	davis	davis
davnina	senatne	from long time ago
davno	sen	long ago
davor	davor	davor
davorin	davorins	davorin
daytonskog	no deitonas	dayton
dd	dd	"short term for  ""drustvena djelatnost"" which means group activity company"
de	de	de
debelog	bieza	thick
decembra	decembris	december
decembru	decembris	december
decenija	desmitgadē	decades
decenijama	gadu desmitiem	decades
decenije	gadu desmitiem	decade
dedić	vectēvs	dedic
definicija	definīcija	definition
definicije	definīcijas	definitions
definiciji	definīcija	definition
definiciju	definīcija	definition
definira	definē	to definite
definisan	definēts	defined
definisana	definēts	defined
definisati	definēt	define
definitivno	noteikti	definitely
definiše	definē	define
dei	dei	dei
dejtonski	deitona	dayton
deklaracija	deklarācija	declaration
dekonstrukcija	dekonstrukcija	deconstruction
del	del	part
delfi	delphi	delfi
della	no	della
delta	delta	delta
delčev	fragmenti	delchev
demografija	demogrāfija	demography
demokratija	demokrātija	democracy
demokratije	demokrātija	democracy
demokratiju	demokrātija	democracy
demokratska	demokrātisks	democratic
demokratske	demokrātisks	democratic
demokratski	demokrātisks	democratic
denominacije	nominālvērtības	denominations
departmana	nodaļa	department
derivacija	atvasināšana	derive
derivat	atvasinājums	derivative
derivati	atvasinājumi	derivatives
derventa	derventa	dervent
derviš	dervišs	dervish
derviša	dervišs	dervish
deset	desmit	ten
desetak	ducis	ten
desetine	desmitiem	tens
desetljeća	gadu desmitiem	decades
desilo	noticis	occured
desio	desio	happened
desiti	kur tu esi	happen
desktop	darbvirsma	desktop
desne	taisnība	right
desno	taisnība	right
desnoj	taisnība	right
desnom	taisnība	right
desnu	taisnība	right
detalja	detaļas	details
devedesetih	deviņdesmitie gadi	the nineties
dezinflacija	inflācija	disinflation
dešava	notiek	happens
dešavanja	notikumi	events
di	di	di
die		german word
digitalne	digitāls	digital
digitalni	digitāls	digital
digitalnih	digitāls	digital
dijagnoza	diagnoze	diagnosis
dijalekt	dialekts	dialect
dijalekta	dialekts	dialect
dijamant	dimants	diamond
dijaspora	diaspora	diaspora
dijela	daļa	parts
dijele	dalīties	divide
dijeli	akcijas	divide
dijelom	daļēji	part
dijelova	daļas	parts
dijelove	daļas	parts
dijelovi	daļas	parts
dijelovima	daļas	parts
dijelu	daļa	part
dijete	bērns	diet
diktature	diktatūra	dictature
dimenzija	dimensija	dimensions
dimenzije	izmēri	dimensions
din	din	din
dinamo	dinamo	dinamo
dinar	dinārs	dinar
dinastija	dinastija	dynasty
dinastije	dinastija	dynasties
dino	dino	dino
dio	daļa	part
dioksid	dioksīds	dioxide
dioksida	dioksīds	dioxide
dionica	krājums	section
dionice	krājumi	stocks
dioničar	akcionārs	stock holder
direktno	tieši	directly
direktor	režisors	director
disanja	elpošana	breathing
disanje	elpošana	breathing
disciplina	disciplīna	discipline
discipline	disciplīna	discipline
disipacija	izkliedēšana	dissipation
disk	disks	disk
diska	disks	disk
diskografija	diskogrāfija	discography
disku	disks	disc
distribucija	izplatīšana	distribution
distribucije	izplatīšana	distribution
distrikt	apgabals	district
distrikta	apgabals	district
diuretik	diurētiķis	diuretic
divizija	dalīšana	division
divizije	dalīšana	division
divlje	savvaļas	wild
dizajn	dizains	design
dizajna	dizains	design
dizdar	dizdar	dizdar
djeca	bērni	kids
djece	bērni	kids
djeci	bērni	children
djecom	bērni	children
djecu	bērni	kids
djela	darbojas	works
djelatnost	aktivitāte	activity
djelatnosti	aktivitātes	activities
djelima	darbiem	works
djelimično	daļēji	partly
djelo	darbs	deed
djelom	daļēji	part
djelomično	daļēji	partly
djelovanja	darbības	actions
djelovanje	darbība	action
djelovanjem	pēc darbības	acting
djelovanju	darbība	action
djelovima	daļas	parts
djelu	darbs	work
djeluje	darbojas	works
djeluju	tēlot	work
djeteta	bērns	child
djetinjstva	bērnība	childhood
djetinjstvo	bērnība	childhood
djetinjstvu	bērnība	childhood
djevojka	meitene	girl
djevojčica	meitene	little girl
djevojčice	meitenes	girl
dječja	bērnu	children's
dnevna	katru dienu	daily
dnevne	katru dienu	daily
dnevnih	katru dienu	daily
dnevno	katru dienu	daily
dno	apakšā	bottom
dns	dns	dns
dnu	apakšā	bottom
do	uz	to
dob	vecums	age
doba	vecums	age
dobar	labi	good
dobara	labi	goods
dobi	vecums	age
dobija	saņemts	got
dobijaju	viņi saņem	get
dobijali	saņemts	received
dobijanje	iegūšana	obtaining
dobije	izpaužas	receive
dobiju	viņi saņem	get
dobila	saņemts	received
dobile	saņemts	got
dobili	dabūja	got
dobilo	saņemts	gained
dobio	saņemts	got
dobiti	gūt	gain
dobitnik	uzvarētājs	winner
doboj	dobojs	doboj
doboja	doboja	doboj
dobra	labi	good
dobre	labi	good
dobri	labi	good
dobrim	labi	good
dobro	labi	good
dobrog	labi	good
dobrom	labi	good
dobru	labi	good
dobu	vecums	age
dodaje	viņš piebilst	adds
dodatak	papildinājums	addition
dodati	pievienot	add
dodatna	papildu	additional
dodatne	papildu	additional
dodatni	papildu	additional
dodatnim	papildu	additional
dodatno	papildus	additional
dodatu	pievienots	added
dodavanja	papildinājumi	passes
dodavanje	pievienojot	addition
