$ tỉ	miliarde de dolari	$ billion
bùng	semnal luminos	"(term should be ""bùng nổ"") to break out (v.)"
bú	suge	to suck
búa	ciocan	a hammer
búi	tufts	tuft
bún	tăiței de orez	noodle
búng	flicked	snap
bút	pix	pseudonym
băm	trunchiată	hash
băn	toci	concerned
băng	gheaţă	"(term should be ""băng giá"") freezing (adj.)"
bơ	unt	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	înot	swim
bơm	pompa	pump
bưu	timbre	post office
bước	etapa	a step (n.)
bướm	fluture	butterfly
bạ	contacte	directory
bạc	argint	meager
bạch	alb	"(should be ""bạch tuộc"") an octopus"
bại	pierde	defeated
bảng	bord	chart
bảo	bao	protect
bảy	șapte	seventh
bấm	presa	press
bất	real	"(term should be ""bất cứ"") any (adj.)"
bấy	acea	contemporary
bần	sărac	poor
bầu	vot	vote
bầy	cireadă	servant
bẩm	congenital	congenital
bẩn	murdar	the
bẩy	capcană	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	capcană	a trap (n.)
bậc	grad	level or class (n.)
bận	ocupat	busy
bật	pornit	outstanding
bắc	nord	beijing
bắcnam	nord sud	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	trage	shoot
bắp	porumb	venter
bắt	captură	cross
bằng	egal	by
bẹp	zdrobi	crush
bẻ	pauză	break
bẽ	umilire	humiliate
bến	debarcader	wharf
bếp	o bucatarie	kitchen
bề	suprafaţă	"(should be ""bề mặt"") a surface"
bền	durabil	enduring (v.)
bể	burduf	tank
bệ	piedestal	base
bện	împletit	braided (adj.)
bệnh	bolnav	benh
bỉ	belgia	disgust
bỉnh	obraznic	binh
bịch	tronc	ridiculous
bịt	acoperit	cover
bọ	gândac	insect
bọc	folie	to cover or enclose (v.)
bọn	lor	a group (n.)
bọng	umflatura	bladder
bọt	spumă	foam
bỏ	revoca	to leave (v.)
bỏng	a arde	hot
bố	tată	"(term should be ""tuyên bố"") to declare"
bốc	se încarcă	bốc lửa= on fire
bối	confuz	messy
bốn	patru	four
bồi	compensare	"(term should be ""cao bồi"") cowboy (n.)"
bổn	datorie	duty
bổng	bursa de studiu	"with word luong, means ""salary"" or ""wages"""
bỗng	brusc	suddently
bộ	decorul	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	multiplu	betray
bột	făină	powder or flour (n.)
bớ	a rotunji	arrest
bớt	mai puțin	less
bờ	margine	coast
bời	vagabond	profuse
bở	de	profitable
bởi	de	because
bục	podium	platform
bụng	stomac	abdomen
bứt	necunoștință	"(term should be ""bứt phá"") power (n.)"
bừa	chinuitor	messy, careless, or topsy-turvy (adj.)
bữa	masă	meal (n.)
bực	frustrat	bother
ca	schimb	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	carbon	carbon
cacbonat	carbonat	carbonate
cacbua	carbid	carbides, carbon ions
caesar	cezar	caesar
caffein	cofeină	caffeine
café	cafea	coffee
cai	cai	govern
cairo	cairo	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	calcul	calculus
calvin	calvin	calvin
cam	portocale	commit
cambodia	cambogia	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	camee	cameo part
cameron	cameron	cameron
cameroon	camerun	cameroon
camille	camille	camille
campbell	campbell	campbell
campuchia	cambogia	campuchia
canada	canada	canada
canadian	canadian	canadian
canal	canal	canal
canary	canar	canary
cancer	cancer	cancer
canterbury	canterbury	canterbury
canxi	calciu	calcium
capello	capello	capello
capra	soacra	capra
carat	carat	carat
carbine	carabină	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	carey	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	insulele caraibe	caribbean
carl	șerb	carl
carlos	carlos	carlos
carnaval	carnavalului	carnaval
carol	colinda	carol
caroline	carolina	(proper noun) caroline
carpathia	carpathia	carpathia
carter	cărăuș	carter
carxtơ	carat	karst topography, a geological term (n.)
casa	ca sa	casa
casablanca	casablanca	casablanca
caspia	caspia	caspia
cassini	cassini	cassini
cast	cast	cast
castries	castries	castries
castro	castro	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cd rom	cd-rom
cell	celulă	cell
celtic	celtic	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	tata	father
chai	sticla	bottle
chaillot	chaillot	a name
chamberlain	şambelan	chamberlain
champa	champa	champa
champion	campion	champion
chamẹ	părinţi	parents
chanel	chanel	chanel
chanh	lămâie	lemon or lime (n.)
chao	bună	(proper noun) chao, a name
charles	charles	charles
charlotte	șarlotă	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	urmarire	chase
chay	vegetarian	fasting
chdcnd	chdcnd	democratic republic
che	acoperi	cover
chechnya	ceceniei	chechnya
chen	chen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	acțiune	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chile	(proper noun) the country of chile
chim	pasăre	bird
china	china	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	astrologic	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	prăjit	fry
chiêng	gong	gong
chiếc	buc	the
chiếm	reprezentând	appropriate
chiến	luptă	war, fight
chiết	extrage	literal
chiếu	mat	show
chiền	buchet	temple
chiều	p.m	length
chlamydia	chlamydia	chlamydia
chloride	clorură	chloroauric acid
chnd	chnd	chnd
choi	joaca	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	choson	(proper noun) choson
choàng	pelerină	coat
choáng	uimit	dizzy
chris	chris	chris, as in chris hughes
christ	hristos	christ
christian	creştin	christian
christopher	christopher	christopher
chrome	crom	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	chu	cycle
chua	acru	tomato
chuck	chuck	(proper noun) chuck, as in chuck norris
chui	sterge	underground
chum	coleg de cameră	pot
chun	chun	chun
chung	general	general
churchill	churchill	churchill
chuyên	de specialitate	professional
chuyến	excursie	trip
chuyền	trece	volleyball
chuyển	a mers mai departe	to move
chuyện	poveste	nói chuyện= talk
chuôi	asuprire	handle
chuông	clopot	a bell
chuẩn	standard	standard
chuốc	împungere	incur
chuối	banană	banana
chuốt	broșare	refine
chuồng	cuşcă	cage
chuỗi	lanţ	series
chuộc	răscumpăra	redeem
chuộng	favorizat	favorite
chuột	mouse	a mouse (n.)
chà	freca	rub
chài	pescuit	fish
chàm	indigo	indigo
chàng	tip	"(term should be ""chàng trai"") a young man (n.)"
chào	salut	welcome
chày	baseball	a pestle (n.)
chánh	şef	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	terci de ovăz	porridge
cháu	nepoți	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	foc	fire
châm	înțepătură	motto
chân	picior	a leg
châu	europa	continental
chè	ceai	tea
chèn	introduce	insert
chém	a tăia	to chop
chén	ceașcă	bowl
chéo	cruce	cross
chép	copie	written
chê	la naiba	decry
chênh	diferență	difference
chì	conduce	graphite
chìa	cheie	"(term should be ""chìa khoá"") a key (n.)"
chìm	s-a scufundat	to become submerged or sink (v.)
chình	țipar	eel
chí	lice	especially
chích	ustura	shoot
chín	nouă	ripe
chính	principal	main
chít	pici	dense
chò	sufoca	a type of plant, typically of the parashorea genus (n.)
chòi	cabină	hut
chòm	constelaţie	constellation
chó	câine	dog
chóc	haha	killing (giet choc)
chói	orbi	bright
chóng	repede	"entire term should be ""chong mat""; means ""dizzy"""
chóp	top	the top (n.)
chôm	rambutan	rambutan
chôn	îngropa	bury
chông	soț	thorn
chùa	templu	pagoda
chùy	buzdugan	mace
chú	unchi	uncle (n.)
chúa	dumnezeu	god
chúc	a dori	will
chúi	tuu	drop
chúng	lor	they
chút	un pic	little
chăm	greu	champa
chămpa	champa	champa
chăng	accesibil	would it
chĩa	furci	point
chơi	joaca	play
chơn	picioare	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	nu inca	not yet
chưng	dist	steamed
chương	capitol	medal
chướng	cursa cu obstacole	grating
chạ	promiscuu	father
chạm	atingere	touch
chạng	amurg	twilight
chạp	tremurător	slow
chạy	alerga	to run (v.)
chả	rulouri	no
chảo	tigaie	pan
chảy	alerga	bleeding
chấm	punct	end
chấp	provocare	"(term should be ""chấp nhận"") to accept (v.)"
chất	materie	quality
chấu	ciupi	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	albire	slice
chẩn	diagnostica	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	încet	slow
chận	bloc	block
chật	strâmt	overcrowded
chậu	oală	pelvic
chắc	sigur	certainly
chằng	frunte	ligament
chẵn	chiar	even
chặn	schița	prevent
chặng	picior	journey
chặt	a toca	close
chẻ	despică	strick
chẽ	strâmt	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	preparate	produce
chếch	moale	oblique
chết	decedat	to die (v.)
chệch	gresit	deviant
chỉ	doar	just (adv.)
chỉnh	corecţie	adjust
chịt	rahat	chằn chịt= complex/tangle
chịu	urs	tolerate
chọc	a ciupi	to poke
chọi	luptă	oppose
chọn	alege	to choose
chỏ	cot	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	moment	single
chối	nega	refuse
chốn	loc	place
chống	anti	anti-
chốt	zăvor	important
chồi	lăstari	"(term should be ""đâm chồi"") budding"
chồn	vulpe	anxious
chồng	soț	husband
chỗ	loc	where
chội	rahat	cramped
chớ	nu face	not
chớp	fulger	flashing (adj.)
chờ	aștepta	to wait
chở	transport	for
chợ	piaţă	market
chợt	brusc	suddenly
chục	duzină	dozen
chụp	ia o lovitură	capture
chủ	maestru	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	tulpini	strain
chứ	mai degraba	just or only (adv.)
chứa	conține	contain
chức	funcţie	function
chừ	scrisoare	hesitate
chừa	lăsând	leave
chừng	niste	about or roughly (adv.)
chử	cuvânt	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	gravidă	pregnant
chửi	blestemare	curse
chữ	cuvânt	a letter of the alphabet (n.)
chữa	vindeca	to cure or treat (v.)
chững	nivelare	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	cenușăreasă	cinderrella
cip	cip	cip
circus	circ	circus
cities	orase	cities
clara	clarei	clara
clark	clark	clark
claude	claude	(proper noun) claude
claudius	claudius	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	clamă	clip
clips	clipuri	clips
clo	clor	chlorine
clow	clow	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	coburn	coburn
cocoa	cacao	cocoa
coen	coen	coen
coffea	coffea	coffee
cohen	cohen	cohen
coi	ceas	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	colleen	colleen
college	colegiu	college
collins	collins	(proper noun) collins
collège	colegiu	college (n.)
colombia	columbia	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	columbus	columbus
comic	comic	comic
common	uzual	common
concacaf	concacaf	concacaf
concerto	concert	concerto
concorde	concorde	concorde
condom	prezervativ	condom
cong	curb	curved or bent
congo	congo	congo
congress	congres	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	conservare	conservation
constantine	constantine	constantine
contemporary	contemporan	contemporary
cooper	dogar	(proper noun) cooper
copenhagen	copenhaga	copenhagen
copernic	copernic	corpernic
copperfield	copperfield	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	copie	copy
cordyceps	cordyceps	cordyceps
core	miez	core
cornell	corneli	cornell
cosin	cosin	cosine
costa	costa	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	nebun	crazy
crespo	crespo	(proper noun) crespo
crest	creastă	crest
crew	echipaj	crew
crimson	purpuriu	crimson
crisis	criză	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	croaţia	croatia
cross	cruce	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	cristal	crystal
ctc	ctc	ctc
cua	crab	crab (n.)
cullen	cullen	a name
cung	arc	circle
cunningham	cunningham	cunningham; proper name
cup	ceașcă	cup
cuả	de	of, from, belonging to
cuốc	prășitoare	hoe
cuối	ultimul	last or final (adj.)
cuốn	bobina	book
cuống	tulpină	throat
cuồng	nebun	crazy (adj.)
cuộc		the
cyanide	cianură	cyanide
cyber	cyber	cyber
cyril	ciril	(proper noun) cyril
cyrus	cirus	cyrus
cyworld	cyworld	cyword
cà	cafea	ca
cài	instalare	install
càn	nevoie	raid
càng	cu atât mai mult	cang
cành	ramură	branch
cào	zgârietură	scratch
cày	arat	plow
các		all (adv.)
cách	cale	the
cái		"(term should be ""con cái"") children (n.)"
cán	laminate	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	aripă	wing
cáo	vulpe	report
cáopx|bình	cáopx | medie	not a word
cáp	cablu	cable (n.)
cáy	lăutar	fiddler
câm	prost	mute (adj.)
cân	cântare	weight
câu	propozitia	saying
cãi	argumenta	argue
cò	trăgaci	stork
còn	încă	to have left (v.)
có	avea	have
cói	rogoz	machine
cót	pat	cot
cô	domnișoară	girl
côi	orfan	orphaned
côn	țuguia	a stick (n.)
công	muncă	worker
côngtenơ	recipient	container
cõi	tărâmuri	entire area
cõng	piggyback	piggyback
cù	stârni	cu
cùi	leproși	leprosy
cùng	și	together
cú	bufniţă	old
cúi	arc	to bow (v.)
cúm	gripă	cum
cúng	confortabil	worship
cúp	ceașcă	cup (n.)
cút	iesi afara	to kick someone out (v.)
căm	conectat în	detest (cam thu)
căn	radical	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	întinde	tense
cũ	vechi	old
cũi	pat de copil	kennel
cũng	de asemenea	also
cơm	orez	rice
cư	popula	resident
cưa	a văzut	saw
cưng	bebelusul meu	also
cước	încărcătură	megaman
cưới	căsătorit	marry
cướp	jefui	to rob (v.)
cười	a rade	smile
cường	puternic	strengthen
cưỡi	călărie	ride
cưỡng	forţat	force some body to do some thing. cưỡng dâm=rape
cạc	card	card (n.)
cạn	superficial	shallow
cạnh	margine	"(term should be ""khía cạnh"") an angle"
cạo	bărbierit	shave
cạp	scorpion	scorpion
cả	ambii	both
cải	muştar	reform
cảm	rece	pleasure
cản	afectat	prevent
cảng	port	port
cảnh	scenă	situation
cảo	tragerile	posthumous
cấm	interzice	ban
cấn	nevoie	dramatic
cấp	acorda	level or rank (n.)
cất	distilat	"(term should be ""cất giữ"") to keep safe or store"
cầm	așteptare	to hold (v.)
cần	nevoie	need
cầu	pod	request
cầy	zibetă	farmed
cẩn	ai grija	carefully
cẩu	macara	"(term should be ""hải cẩu"") a seal (n.)"
cận	abordare	close
cập	tejghea	mention
cậu	băiat	a young man (n.)
cậy	depinde	reliable
cắm	conecteaza	to plant (v.)
cắn	mușca	to bite
cắp	fura	steal
cắt	a tăia	cut
cằm	bărbie	chin
cằn	morocănos	exhausted (adj.)
cặp	sac	couple
cọ	freca	rub
cọc	morman	pile
cọp	tigru	tiger
cỏ	iarbă	plant
cố	încerca	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	cupa	cereal
cối	mortar	mortar
cốm	pepite	grilled rice
cống	scurgere	dedicate
cồn	alcool	i
cồng	gong	gong
cổng	poartă	gate
