$	ps	a sign of doller
અણી	borde	in last stage
અણુ	átomo	nuclear
અણુઓ	átomos	atoms
અણુકેન્દ્રીય	atómico	nuclear centre
અતઃ	por lo tanto	therefore
અતિ	ati	more/excess
અતિક્રમણ	invasión	attack
અતિરિક્ત	extra	additional
અતિશય	excesivo	very
અત્યંત	extremadamente	extremely
અત્યાચાર	atrocidades	tyranny
અત્યાર	hasta aquí	now
અત્યારના	actual	recently
અત્યારે	ahora mismo	now
અત્રે	aquí	now
અથવા	o	or
અથવાતો	o	or
અથાણું	en escabeche	pickles
અદભુત	increíble	magnificient
અદા	problema	style
અદાલતો	tribunales	courts
અદ્યતન	avanzado	modern
અદ્રશ્ય	invisible	invisible
અદ્વિતીય	único	unparalleled
અદ્વૈત	advaita	nonduality
અધિક	más	additional
અધિકતર	principalmente	most
અધિકાંશ	más	majority
અધિકાર	correcto	right
અધિકારી	oficial	officer
અધિકારીઓ	oficiales	officials
અધિકારીઓની	de oficiales	officer's
અધિકારો	derechos	right
અધિકારોનો	de derechos	right
અધિકૃત	autorizado	authorised
અધિવેશન	sesión	session
અધીન	tema	depend
અધૂરો	incompleto	incomplete
અધ્યક્ષ	presidente	head person
અધ્યક્ષપદ	presidencia	chairmanship
અધ્યયન	estudiar	study
અધ્યાત્મ	espiritualidad	philosophical
અધ્યાય	capítulo	lessons
અધ્યાયમાં	en el capitulo	chapter
અન	y	and
અનંત	infinito	infinite
અનન્ય	único	unique
અનાજ	cereales	corn
અનામત	reservado	reserved
અનિયમિત	irregular	irregular
અનિલ	añil	anil
અનિવાર્ય	inevitable	necessary / compulsary
અનિશ્ચિત	incierto	uncertain
અનિશ્ચિતતા	incertidumbre	uncertainty
અનુકૂળ	conveniente	convenient / suitable
અનુક્રમણિકા	índice	index
અનુક્રમે	respectivamente	sequentially / respectively
અનુગામી	subsecuente	follower,
અનુપમ	incomparable	unique
અનુભવ	experiencia	experience
અનુભવાયા	sintió	experienced
અનુભવી	experimentado	experinced
અનુભવે	sensación	experiencing
અનુમાન	adivinar	presumption
અનુયાયી	seguidor	follower
અનુયાયીઓ	seguidores	followers
અનુયાયીઓને	seguidores	follower
અનુલક્ષીને	independientemente	imagining
અનુવાદ	traducción	transalation
અનુવાદો	traducciones	translations
અનુસરે	sigue	follwing
અનુસાર	de acuerdo a	accordingly
અને	y	and
અનેં	y	and
અનેક	muchos	many
અનેરું	y así	unique
અનૈતિક	inmoral	non-proper
અનોખી	único	unique
અન્ન	comida	food
અન્નક્ષેત્ર	campo de alimentos	free food center
અન્ય	otros	other
અન્યત્ર	en otra parte	anywhere else
અન્યાય	injusticia	injustice
અન્યો	otros	others
અન્યોએ	otros	by others
અપ	arriba	up
અપડેટ	actualizar	update
અપના	apna	our
અપનાવવા	adoptar	to adopt
અપનાવવામાં	adoptado	to adopt
અપનાવી	adoptado	applied
અપની	tuya	self
અપને	para ti	own [hindi word]
અપભ્રંશ	apabhramsa	derived / diverted
અપમાન	insulto	insult
અપરિગ્રહ	ausencia	possession
અપલોડ	subir	to upload
અપવાદ	excepción	exception
અપવાદરુપ	excepcional	exception
અપહરણ	secuestro	kidnap
અપાતી	dado	given
અપાય	dado	to give
અપાયું	concedido	given
અપાયો	dado	presented
અપાવી	dado	to give
અપાવે	da	gets
અપાવ્યો	previsto	given
અપીલ	apelación	appeal
અપૂર્ણ	incompleto	uncomplete
અપૂર્વ	sin precedentes	unbelivable
અપેક્ષા	esperar	expectation
અપેક્ષિત	esperado	expectancy
અપ્સરા	damisela celestial	heavenly nymph, fairy
અફઘાનિસ્તાન	afganistán	afghanistan
અબજ	mil millones	1000000000
અબ્દ	abd	abd
અબ્દુલ	abdul	abdul
અભયારણ્ય	santuario	national park
અભાવ	carencia	lack of
અભાવે	falta de	lack of
અભિગમ	acercarse	concept
અભિનંદન	felicidades	congratulation
અભિનય	interino	acting
અભિનેતા	actor	actor
અભિનેત્રી	actriz	heroin
અભિનેત્રીનો	de la actriz	of actress
અભિન્ન	integral	different
અભિપ્રાય	opinión	opinion
અભિમન્યુ	abhimanyu	abhimanyu
અભિમન્યુના	abhimanyu	abhimanyu's
અભિમન્યુને	abhimanyu	to abhimanyu
અભિમન્યૂ	abhimanyu	abhimanyu
અભિયાન	campaña	campaign
અભિવ્યક્ત	expresado	express
અભિવ્યક્તિ	expresión	expression
અભિષેક	la unción	abhishek
અભૂતપૂર્વ	sin precedentes	tremendous
અભ્યાસ	estudiar	study
અભ્યાસક્રમ	curso	syllabus
અભ્યાસમાં	en el estudio	in studies
અભ્યાસો	estudios	studies
અમદાવાદ	ahmedabad	ahmedabad
અમદાવાદથી	de ahmedabad	from ahmedabad
અમદાવાદના	de ahmedabad	ahmedabad's
અમદાવાદની	de ahmedabad	ahmedabad's
અમદાવાદને	a ahmedabad	to ahmedabad
અમદાવાદમાં	en ahmedabad	in ahmedabad
અમને	nos	to us
અમર	inmortal	immortal
અમરેલી	amreli	amreli, name of taluka of gujarat
અમલ	ejecución	follow/acceptance
અમલમાં	implementado	in force
અમારા	nuestra	ours
અમારી	nuestra	our
અમિતાભ	amitabh	film star of bollywood amitabh
અમુક	algunos	some
અમુલ	amul	amul
અમૂર્ત	resumen	extraordinary
અમે	nosotros	we
અમેરિકન	americano	american
અમેરિકા	america	america
અમેરિકાના	de américa	america's, of america
અમેરિકાની	de américa	america's
અમેરિકાને	a américa	to america
અમેરિકાનો	estadounidenses	america's
અમેરિકામાં	en américa	in america
અમેરિકી	nos	american
અમેરિકીઓ	estadounidenses	american,
અમ્પાયર	árbitro	umpire
અયોગ્ય	inapropiado	improper
અયોધ્યા	ayodhya	ayodhya
અરજણજી	arjanji	arjanji
અરજી	solicitud	application
અરબ	árabe	arab
અરબસ્તાન	arabia	arabia
અરબી	arábica	arabi
અરવિંદ	arvind	arvind
અરસામાં	en la era	during
અરાજકતા	caos	chaos
અરુણાચલ	arunachal	arunachal
અરેબિયા	arabia	arabia
અરેબીક	arábica	arabic
અર્જુન	arjun	arjun
અર્જુનના	de arjuna	arjun's
અર્જુનની	de arjuna	arjuna's
અર્જુનને	a arjuna	to arjun
અર્જુનનો	de arjuna	arjun's
અર્જુને	arjun	arjun
અર્થ	sentido	earth
અર્થકવેક	terremoto	earthquake
અર્થઘટન	interpretación	interpretation
અર્થતંત્ર	economía	economy
અર્થતંત્રની	de la economía	of economy
અર્થતંત્રને	a la economía	to the economy
અર્થતંત્રમાં	en la economia	economically
અર્થમાં	sentido	by meaning,
અર્થવ્યવસ્થા	economía	economics
અર્થશાસ્ત્ર	ciencias económicas	economics
અર્થશાસ્ત્રી	el economista	economist
અર્થાત	a saber	meaning
અર્થાત્	a saber	meaning
અર્થે	en un sentido	meaning
અર્થો	significados	meanings
અર્ધ	medio	half
અર્ધા	medio	half
અર્પણ	ofrecimiento	dedication
અર્વાચીન	más nuevo	modern
અલ	alabama	el
અલંકરણ	ornamentación	decoration
અલંકાર	ornamento	ornament
અલંગ	alang	alang
અલગ	diferente	different
અલગઅલગ	diferentemente	separately
અલણમીર	alanmeer	alanmir
અલબત્ત	por supuesto	certainly
અલાસ્કાના	alaska	alaska's
અલી	ali	ali
અલૌકિક	sobrenatural	magnificient
અલ્પજીવી	efímero	short-lived
અલ્લાહ	alá	allah
અલ્હાબાદ	allahabad	allahabad
અવકાશ	alcance	space
અવકાશના	del espacio	expect
અવકાશમાં	en el espacio	space
અવકાશયાન	astronave	space shuttle
અવકાશસમય	tiempo espacial	space-time
અવકાશી	espacial	related to space
અવકાશીય	espacial	related to space
અવગણના	ignorar	unconsideration
અવતાર	avatar	incarnation
અવતારો	avatares	incarnation
અવધિ	duración	duration
અવધી	período	duration
અવર	nuestra	hour
અવરોધ	resistencia	obstacle
અવરોધક	inhibidor	obliterator
અવરોધો	los obstáculos	obstructions
અવલંબન	dependencia	dependant
અવલોકન	observación	discription
અવલોકનક્ષમ	observable	visible / observable
અવલોકનો	observaciones	observations
અવશેષ	reliquia	remains
અવશેષો	permanece	the ruins of an old wersked building
અવશ્ય	por supuesto	certainly
અવસર	oportunidad	occasion
અવસાન	muerte	death
અવસ્થામાં	en el estado	phase
અવાજ	sonido	voice
અવાજના	de sonido	of voice
અવાજની	de sonido	voice's
અવાજનો	de sonido	sounds's
અવારનવાર	frecuentemente	frequently
અવિરત	ininterrumpido	continuous
અશક્ય	imposible	impossible
અશોક	ashok	ashok
અશોકના	de ashoka	ashoka's
અશ્વત્થામા	ashwatthama	ashwatthama
અશ્વત્થામાએ	ashwatthama	ashwathama
અશ્વિન	ashwin	ashvin
અષાઢ	ashadh	asadha
અષાઢી	ashadhi	from ashadh
અસંખ્ય	numeroso	several, many
અસફળ	ha fallado	fail
અસમાનતા	desigualdad	inequality
અસર	efecto	action
અસરકારક	eficaz	effective
અસરકારકતા	eficacia	effectiveness
અસરગ્રસ્ત	afectado	affected
અસરથી	con efecto	by the effect of
અસરના	de efecto	of effect
અસરને	al efecto	of the effect
અસરનો	de efecto	of effect
અસરો	efectos	effects
અસરોને	efectos	effects
અસરોમાં	en efectos	effects,
અસલ	original	real
અસહકારની	de no cooperación	of the non cooperation
અસહ્ય	inaguantable	unbearable
અસાધારણ	extraordinario	unusual
અસામાન્ય	raro	unusual
અસ્ત	ast	waning
અસ્તિત્વ	existencia	existence
અસ્તિત્વનો	de existencia	of existance
અસ્તિત્વમાં	existe	in existance
અસ્ત્ર	proyectil	weapon
અસ્થિર	inestable	unstable
અસ્થિરતા	inestabilidad	instability
અસ્પૃશ્યતા	intocabilidad	"thinking like ""keep away from some category"""
અસ્પૃશ્યતાનિવારણ	prevención de intocabilidad	removal of the untouchability
અસ્વીકાર	rechazo	refusal to accept
અહમદ	ahmed	"name ""ahamad"""
અહિ	aquí	here
અહિં	aquí	here
અહિંસક	no violento	non-violent
અહિંસા	no violencia	non violence
અહિંસાના	de la no violencia	nonviolence
અહિયાં	aquí	here
અહી	aquí	hear
અહીં	aquí	here
અહીંથી	de aquí	from here
અહીંના	aquí	from here
અહીંની	aquí	from here
અહીંનું	de aquí	of here
અહીંયા	aquí	here
અહેવાલ	reporte	report
અહેવાલો	informes	report
અહેસાસ	realización	feel
આ	esta	this
આંકડા	estadísticas	figures
આંકડાઓ	estadísticas	figures
આંકડાકીય	estadístico	kind of sweet
આંકડો	figura	figure / number
આંકવામાં	numerado	skale
આંખ	ojo	eye
આંખે	maravilloso	eye
આંખો	ojos	eyes
આંગણે	en la yarda	yard
આંગળી	dedo	fingure
આંગળીઓ	dedos	fingers
આંચકા	choques	shocks,
આંતર	enterrar	inter
આંતરરાષ્ટ્રીય	internacional	international
આંતરિક	interno	internal
આંતરીક	interior	internal
આંદામાન	andaman	andaman
આંદોલન	movimiento	movement,
આંદોલનકારીઓ	agitadores	activists
આંદોલનની	de movimiento	violation
આંધ્ર	andhra	andhra
આંબેડકર	ambedkar	ambedkar
આંશિક	parcial	partial
આંસુ	lágrimas	tear
આઇ	yo	i
આઇએસબીએન	isbn	isbn
આઇઝેક	isaac	isac
આઇન્સ્ટાઇન	einstein	einstein
આઇન્સ્ટાઇનના	einstein	einstein's
આઇન્સ્ટાઇને	einstein	by einstein
આઇપીસીસી	ipcc	ipcc
આઇરીશ	irlandesa	irish
આઇસ	hielo	ice
આઈ	ojo	i
આઈડિયા	idea	idea
આઈન્સ્ટાઈન	einstein	einstein
આઈન્સ્ટાઈનના	de einstein	einstein's
આઈન્સ્ટાઈનની	de einstein	of einstien
આઈન્સ્ટાઈનને	a einstein	to einstein
આઈન્સ્ટાઈને	einstein	by einstein
આઈપીવી	ipv	ipv
આઉટ	fuera	out
આઉટડોર	al aire libre	outdoor
આકરી	drástico	strong
આકર્ષક	atractivo	attaraction
આકર્ષણ	atracción	attraction
આકર્ષિત	atraer	attracted
આકર્ષે	atrae	attraction
આકાર	forma	shape
આકારના	conformado	shaped
આકારની	conformado	shape
આકારમાં	en forma	in shape
આકાશ	cielo	sky
આકાશમાં	en el cielo	in sky
આકૃતિ	figura	figure
આક્રમક	agresivo	aggressive
આક્રમણ	invasión	attack
આક્રમણથી	de la agresión	attack
આક્રમણની	de agresión	of attack
આક્રમણને	invasión	attack
આક્રમણો	invasores	attacks
આક્ષેપ	alegación	alligation
આખરી	el último	last / final
આખરે	finalmente	at last
આખા	todo	entire
આખી	todo	whole
આખું	todo	entire
આખો	todo	full
આગ	fuego	fire
આગમન	llegada	arrival
આગરા	agra	agra [some text is in hindi]
આગલા	próximo	previous
આગળ	próximo	front
આગળના	frente	fore most
આગવી	prominente	future
આગામી	próximo	next, incoming
આગાહી	pronóstico	estimations
આગેવાન	protagonista	dominating
આગેવાની	led	take position of
આગેવાનીમાં	dirigido por	following
આગ્રહ	insistencia	force
આગ્રા	agra	agra, name of city of inda
આઘાત	conmoción	action
આચરણ	conducta	behaviour
આચાર	conducta	code of conduct
આચાર્ય	principal	principal
આજ	hoy	today
આજથી	a partir de hoy	from today
આજના	de hoy	today's
આજની	de hoy	today's
આજનું	de hoy	today's
આજનો	de hoy	today
આજી	aji	aji
આજીવન	toda la vida	lifetime
આજુબાજુ	alrededor	surrounding
આજુબાજુના	rodeando	surrounding
આજુબાજુનાં	rodeando	surrounding
આજુબાજુમાં	todo al rededor	in surrounding
આજે	hoy	today
આજ્ઞા	mando	order
આઝાદ	azad	independent
આઝાદી	libertad	freedom
આઝાદીની	de libertad	of independence
આટલા	tanto	so much
આટલી	tanto	so
આટોપી	atopia	winding
આઠ	ocho	this
આઠમી	octavo	eigth
આઠમો	octavo	eighth
આડકતરી	indirectamente	indirectly,
આડા	horizontalmente	obstruct
આડે	aade	other
આણંદ	anand	anand
આણંદમાં	en anand	in anand city
આણે	esta	brings
આણ્યો	trajo	brought
આણ્વીક	molecular	atomic,
આતંકવાદ	terrorismo	terrorism
આતંકવાદી	terrorista	terrorist
આતંકવાદીઓ	terroristas	militants
આત્મકથા	autobiografía	autobiography
આત્મકથાઓમાં	en autobiografías	in bio-graphy
આત્મકથામાં	en la autobiografía	in autobiography
આત્મા	el alma	soul
આત્માને	al alma	to soul
આત્યંતિક	extremo	severe / highly
આથી	por lo tanto	because of this
આદર	el respeto	respect
આદરી	adari	began
આદર્શ	ideal	ideal
આદર્શો	ideales	ideals
આદાનપ્રદાન	intercambiar	give and take / barter
આદિ	etc.	ancient
આદિને	adine	other,
આદિલ	adil	adil
આદિવાસી	tribal	tribal
આદિવાસીઓ	tribus	aboriginal
આદેશ	mando	order
આધાર	apoyo	support
આધારિત	establecido	dependent
આધારીત	establecido	based
આધારે	sobre la base de	based / base / footing
આધિકારિક	oficial	official [hindi word]
આધિપત્ય	dominio	domination
આધીન	tema	depend
આધુનિક	moderno	mordern
આધૂનિક	moderno	modern
આધ્યાત્મિક	espiritual	religious
આનંદ	disfrutar	joy
આનંદપુર	anandpur	anandpur
આનર્ત	un arte	aanart
આના	de esta	by this
આનાથી	de esto	by this
આની	de esta	it's
આનું	de esta	this
આને	a esto	this
આનો	de esta	this
આપ	tú	you
આપણને	nos	ours
આપણા	nuestra	ours
આપણી	la nuestra	our
આપણું	la nuestra	ours
આપણે	nosotros	we
આપણો	la nuestra	our
આપતા	dando	used to give
આપતાં	dando	giving
આપતી	dando	giving
આપતું	dando	giving
આપતો	dando	giving
આપનાર	dotante	the one who gives
આપનારા	donantes	those who are giving
આપની	sinceramente	in front of you.
આપને	para ti	to you
આપમેળે	automáticamente	own
આપલે	intercambiar	give and take
આપવા	dar	to give
આપવાના	dar	giving
આપવાની	dar	to give
આપવાનું	dando	to give
આપવાનો	dar	to give
આપવામાં	dado	to give
આપવી	dando	to give
આપવું	dar	to give
આપશે	daré	provide
આપી	dar	to give
આપીને	al dar	by giving, after giving
આપે	da	gave
આપેલ	dado	given
આપેલા	dado	given
આપેલાં	dado	to give
આપેલી	previsto	given
આપેલું	información sobre herramientas	given
આપો	dar	give [indicative]
આપોઆપ	automático	by its own
આપ્યા	dando	gave, given
આપ્યાં	dado	given
આપ્યુ	dio	given
આપ્યું	dio	tendered
આપ્યો	dio	given
આફ્રિકન	africano	african
આફ્રિકા	áfrica	africa
આફ્રિકાના	de áfrica	africa's
આફ્રિકામાં	en áfrica	africa
આફ્રિકી	africano	african
આબુ	abu	abu
આબોહવા	clima	atmosphere
આબોહવાને	clima	climate
આભાર	gracias	gratitude
આભારી	gracias	thankful
આમ	así	this way
આમંત્રણ	invitación	invitation
આમતો	amato	in general
આમાં	en esto	within this
આમાંથી	de estos	from this
આયરલેંડ	irlanda	ireland,
આયરિશ	irlandesa	irish
આયર્ન	planchar	iron
આયર્લેન્ડ	irlanda	island
આયર્લેન્ડના	de irlanda	country name
આયર્લેન્ડમાં	en irlanda	country name
આયાત	importar	imports
આયુર્વેદ	ayurveda	ayurved
આયુર્વેદના	ayurveda	of ayurveda,
આયુર્વેદિક	ayurvédica	aayurvedic
આયુષ્ય	esperanza de vida	life
આયોજન	planificación	planning
આયોજીત	organizado	organised
આર	r	r
આરંભ	empezando	start
આરંભી	inicialmente	started
આરએફસી	rfc	rfc
આરએસશર્મા	rs sharma	r. s. sharma
આરતી	aarti	arti
આરબ	árabe	arab
આરસ	mármol	marble
આરસના	mármol	marble's
આરસની	mármol	marble's
આરાધના	adoración	to pray
આરામ	relajarse	rest
આરોગ્ય	salud	health
આરોગ્યની	de salud	health related
આરોપ	acusado	impose
આરોપો	cargos	allegations
આર્કટિક	ártico	arctic
આર્કાઈવ્સ	archivo	arcives
આર્કિટેક્ચર	arquitectura	architecture
આર્કિટૈક્ચર	arquitectura	architecture
આર્ટ	arte	art
આર્થર	arturo	arthur
આર્થિક	económico	economical / financial
આર્ય	aria	arya
આર્યભટીય	aryabhatiya	aryabhatiya
આર્યભટ્ટ	aryabhata	aryabhatta (one of the world's greatest mathematician-astronomer)
આર્યભટ્ટની	de aryabhata	aryabhatiya
આર્યભટ્ટે	aryabhatta	by aryabhatt
આલ	alabama	al
આલેખતી	dibujo	nerrating
આલેખન	dibujo	design
આલ્ફા	alfa	alpha
આલ્ફ્રેડ	alfredo	alaphreda
આલ્બર્ટ	albert	albert
આવક	ingresos	income
આવકના	ingresos	of income
આવકાર	bienvenidos	welcome
આવતા	viniendo	come
આવતાં	viniendo	being
આવતી	viniendo	comes
આવતું	viniendo	to be managed
આવતો	viniendo	coming
આવનાર	próximo	the one who is coming
આવનારા	próximo	incoming
આવરણ	cubrir	layer
આવરી	cubrir	covered
આવર્ત	periódico	"name of comet ""avart"""
આવવા	venir	to come
આવવાની	venir	of coming
આવવાનું	venir	to come
આવશે	vendrá	come
આવશ્યક	necesario	require
આવા	como	such
આવાસ	alojamiento	residence
આવાહન	invitación	appeal
આવી	vino	came
આવીને	viniendo	arrival
આવુ	venga	such
આવું	hazlo	such
આવૃત્તિ	versión	edition
આવે	venir	known as
આવેલ	situado	has come
આવેલા	mentira	come
આવેલાં	acostado	situated
આવેલી	situado	situated at
આવેલુ	situado	situated
આવેલું	situado	situated in
આવેલો	mentiras	situated at
આવો	venga	[you] come
આવ્યા	vino	to arrive
આવ્યાં	vino	came
આવ્યુ	vino	come
આવ્યું	vino	come
આવ્યો	vino	came
આશરે	aprox.	approximatly
આશા	esperanza	desire
આશીર્વાદ	bendiciones	blesses
આશ્ચર્ય	sorpresa	surprise
આશ્રમ	ashram	ashram (monstery)
આશ્રમની	ashram	of ashram
આશ્રમમાં	en el ashram	in asylum / monastery
આશ્રય	abrigo	shelter
આસક્તિ	adjunto archivo	infatuation
આસન	asana	asana
આસપાસ	alrededor	near and there
આસપાસના	rodeando	from around
આસપાસનો	alrededores	surrounding
આસામ	assam	assam
આસ્થા	fe	trust
આસ્વાદ	disfrutar	aasvad / literature / taste
આહવા	ahwa	ahava
આહવાન	invocación	challenge
આહાર	dieta	food
ઇ	mi	9
ઇ-મેઇલ	email	e-mail
ઇંગ્લીશ	inglés	english
ઇંગ્લેંડ	inglaterra	england
ઇંગ્લેંડમાં	en inglaterra	in england
ઇંગ્લેડ	inglaterra	england
ઇંગ્લેન્ડ	inglaterra	england
ઇંગ્લેન્ડમાં	en inglaterra	in england
ઇંડોનેશિયા	indonesia	indonesia
ઇંધણ	combustible	fuel
ઇચ્છતા	querido	desireable
ઇચ્છા	deseo	wish
ઇચ્છે	quiere	wish
ઇજા	lesión	injury
ઇજિપ્ત	egipto	egypt
ઇઝરાયલ	israel	israel
ઇટાલિયન	italiano	italian
ઇડર	eder	idar
ઇડી	ed	ed
ઇણ્ડિયા	india	india [english in gujarati script]
ઇતિહાસ	historia	history
ઇતિહાસકાર	historiador	historian
ઇતિહાસકારો	historiadores	historians
ઇતિહાસના	de historia	history's
ઇતિહાસની	de historia	history
ઇતિહાસનો	de historia	history
ઇતિહાસમાં	en historia	in the history
ઇતીહાસ	historia	history
ઇત્યાદિ	etc.	etc.
ઇન	en	in
ઇનકાર	rechazo	deny
ઇનકી	inki	those
ઇનકે	c ª.	their
ઇનામ	premio	reward
ઇનિંગ્સ	entrada	innings
ઇન્ક	c ª.	ink
ઇન્ગલિશ	inglés	english
ઇન્ટરનેટ	internet	internet
ઇન્ટરનેશનલ	internacional	international
ઇન્ટરફેસ	interfaz	interface
ઇન્ડિયન	indio	indian
ઇન્ડિયા	india	india
ઇન્ડીયન	indio	indian
ઇન્ડોઆર્યન	indo-ario	indo-iron
ઇન્ડોનેશિયા	indonesia	indonesia, name of country
ઇન્ડોયુરોપીયન	indoeuropeo	indo european
ઇન્દ્ર	indra	god name
ઇન્ફર્મેશન	información	information
ઇન્ફોર્મેશન	información	information
ઇન્ફ્રારેડ	infrarrojo	infrared,
ઇન્સ્ટિટ્યુટ	instituto	institute
ઇન્સ્ટીટ્યુટ	instituto	institute
ઇપૂ	antes de cristo	before christ
ઇમારત	edificio	building
ઇમારતના	del edificio	from building, of the building
ઇમારતો	edificios	buildings
ઇમિસન્સ	emisiones	emissions
ઇમેઇલ	email	e-mail
ઇમેલ	email	e-mail
ઇયુ	ue	eu
ઇરાક	irak	iraq
ઇરાન	iran	iran
ઇરાની	iraní	irani
ઇલેક્ટ્રોનિક	electrónico	electronic
ઇશાન	noreste	north east
ઇશ્વર	dios	god
ઇશ્વરની	de dios	god's
ઇશ્વરને	a dios	god
ઇસ	es	year
ઇસકે	iske	its [hindi & urdu  word]
ઇસપૂર્વે	antes de cristo	before christ
ઇસી	ce	this
ઇસીડબ્લ્યુ	ecw	ecw
ઇસુ	jesús	jesus christ
ઇસે	ise	this
ઇસ્	इस्	ad
ઇસ્કોન	iskcon	iskon
ઇસ્લામ	islam	islam
ઇસ્લામના	del islam	of the islam
ઇસ્લામિક	islámico	islamic
ઇસ્લામી	islámico	islamic
ઇસ્લામીક	islámico	islamic
ઈ	mi	e
ઈંગ્લિશ	inglés	english
ઈંગ્લેન્ડ	inglaterra	england
ઈંગ્લેન્ડમાં	en inglaterra	england
ઈંદ્ર	indra	idar
ઈક્વિપમેન્ટ	equipo	equipment
ઈચ્છા	deseo	will
ઈજિપ્ત	egipto	egypt
ઈજીપ્ત	egipto	egypt
ઈજીપ્તના	de egipto	egypt
ઈટાલિયન	italiano	italian
ઈટાલી	italia	italy
ઈટાલીએ	italia	italy
ઈટાલીમાં	en italia	in italy
ઈતિહાસ	historia	history
ઈતિહાસકારો	historiadores	historian
