$ tỉ	十亿美元	$ billion
arkansas	阿肯色州	arkansas
arlington	阿灵顿	(proper noun) arlington
armenia	亚美尼亚人	(proper noun) armenia
armstrong	阿姆斯特朗	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	阿诺德	arnold
arsenal	兵工厂	arsenal
artemis	阿耳emi弥斯	(proper noun) artemis, the greek goddess of the hunt
aruba	阿鲁巴岛	aruba
arunachal	阿鲁纳恰尔	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	升序	asc
ash	灰	a name
ashikaga	足鹿	ashikaga
ashley	阿什利	(proper noun) ashley
asia	亚洲	asia
asm	汇编	asm
asoka	朝冈	asoka
association	协会	association
assyria	亚述	assyria
aston	阿斯顿	(proper noun) aston, as in aston villa
atkinson	阿特金森	atkinson
atlanta	亚特兰大	atlanta
atlantic	大西洋的	atlantic
aua	ua	aua
aubrac	奥布拉克	aubrac
audition	试镜	audition
auflage	伪装	auflage
auguste	奥古斯特	auguste
australia	澳洲	(proper noun) australia
austria	奥地利	(proper noun) the country of austria
austrian	奥地利人	austrian
avar	阿瓦尔	a name
aviation	航空业	aviation
awad	唤醒	awad
award	奖	award
axit	酸	acid
ayeyarwady	伊洛瓦底省	ayeyarwady
ayumi	umi	(proper noun) ayumi
ayutthaya	大城府	(proper noun) ayutthaya
azerbaijan	阿塞拜疆	(proper noun) azerbaijan
aztec	阿兹台克人	aztec, as in the aztec people (adj.)
ba	三	three
babylon	巴比伦	babylon
bacon	培根	bacon
baden	巴登	baden
baghdad	巴格达	(proper noun) baghdad
bago	巴哥	bago
bahamas	巴哈马	bahamas
bahrain	巴林	bahrain
baháí	巴哈伊	bahai
balearic	巴利阿里语	balearic
bali	巴厘岛	bali
balkan	巴尔干	(proper adjective) balkan
balkans	巴尔干半岛	balkans
ballard	巴拉德	ballard
bamar	巴马尔	bamar
ban	禁令	the
bang	bang	state
banh	球	ball
banner	横幅	banner
bantam	矮脚鸡	bantam
bantu	班图	bantu
bao	麻袋	bao giờ= ever
barack	巴拉克	barack
barak	巴拉克	barak
barbados	巴巴多斯	(proper noun) barbados
barbara	芭芭拉	barbara
barbary	巴巴里	barbary
barca	巴萨	barca
barnes	巴恩斯	barnes
barone	男爵	barone
baroque	巴洛克式	baroque
barquin	巴昆	barquin, as in ramon barquin, the cuban military colonel
barrichello	巴里切罗	barrichello
bartholdi	巴托尔迪	bartholdi
baryon	重子	baryon
barça	巴萨	(proper noun) barca
base	基地	base
basel	巴塞尔	basel, a city in switzerland
basil	罗勒	basil
baskervilles	巴斯克维尔	baskervilles
bass	低音	bass
bator	巴托	bator
battambang	马德望	battambang
bauer	鲍尔	bauer
bay	飞	"(should be ""tuyến bay"") an airline"
bayern	拜仁	bayern
bazan	玄武岩	basalt (n.)
bazơ	基本的	base
bb	bb	bb
bbc	英国广播公司	bbc
bc	公元前	bc
bchtư	ch	central executive
beat	拍子	beat
beatles	披头士乐队	the beatles
beauty	美女	beauty
beckenbauer	本肯鲍尔	beckenbauer, as in franz beckenbauer
becker	贝克	(proper noun) becker
beckham	贝克汉姆	beckam
bedloe	贝德洛	bedloe
beethoven	贝多芬	beethoven
beethovens	贝托芬	beethoven's
beginbmatrix	初学者矩阵	this is a code
behind	在后面	behind
beijing	北京	beijing
bel	贝尔	bel
bell	铃铛	bell
bella	贝拉	bella
bellatrix	贝拉特里克斯	bellatrix
benedict	本尼迪克特	benedict
benetton	贝纳通	benetton
benfica	本菲卡	benfica
benito	贝尼托	benito
benjamin	本杰明	(proper noun) benjamin
bennington	本宁顿	bennigton
berber	柏柏尔人	berber
bergen	卑尔根	(proper noun) bergen
berger	贝格	berger
bering	ring	(proper noun) bering, as in the bering strait
berkeley	伯克利	(proper noun) the city of berkeley, california
berman	伯曼	a name
bermuda	百慕大	(proper noun) bermuda
bernard	伯纳德	bernard
bertrand	贝特朗	bertrand
better	更好的	better
betty	贝蒂	betty
bhutan	不丹	bhutan
bia	啤酒	beer (n.)
biang	比昂	biang
bic	比克	bic
bikini	比基尼	bikini
bill	帐单	(proper noun) bill, as in former president bill clinton
billy	比利	billy
bismarck	mar斯麦	bismarck, as in otto von bismarck
bitmap	位图	bitmap
biên	边界	bien
biếc	蓝绿色	a bluish-green color (adj.)
biếm	粗心	"(term should be ""biếm họa"") cartoon (n.)"
biến	变数	other
biếng	懒惰的	lose interest in
biếu	礼貌	present
biều	比厄	bieu
biển	海	ocean
biểuthứcđiềukiện	知道条件	conditional expression
biện	道歉	"(term should be ""biện pháp"") a method (n.)"
biệt	独特的	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	布莱克威尔	this is a name
blair	布莱尔	blair
blaise	责备	blaise
blanc	布兰奇	blanc
blues	布鲁斯	blues
bo	博	a curl, as in a biceps curl exercise
bob	鲍勃	bob
bobby	鲍比	bobby, as in bobby day
boeing	波音	boeing
bohemia	波希米亚	bohemia
bolivia	玻利维亚	(proper noun) bolivia
boltzmann	博尔兹曼	boltzmann
bom	炸弹	bomb
bonaparte	波拿巴	bonaparte
bong	ong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	邦纳尔	bonnal
bonobo	no黑猩猩	bonono
bool	布尔	bool
boolean	布尔值	(proper adjective) boolean, as in boolean algebra
boom	繁荣	boom
boong	甲板	a deck (n.)
boongke	堡	bunker
bop	p	bop
boris	鲍里斯	boris
borland	borland	(proper noun) borland
borussia	白俄罗斯	borussia
bose	玻色	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	波斯纳	(proper noun) bosnia
bosnia	波斯尼亚	(proper noun) bosnia
botswana	博茨瓦纳	botswana
bottom	底	bottom
boulder	巨石	boulder
bourbon	波旁威士忌	bourbon
boxing	拳击	boxing
brain	脑子	brain
brandenburg	布兰登堡	(proper noun) brandenburg
brandt	布兰特	brandt
braun	布劳恩	braun
brazil	巴西	brazil
bremen	不来梅	bremen, as in the bremen bank
brestlitovsk	布雷斯托夫斯克	brest-litovsk
breton	不列塔尼	(proper noun) breton
bretton	布雷顿	hoi nghi
brezhnev	勃列日涅夫	brezhnev
brian	布莱恩	a name
bridge	桥	bridge
britannic	大不列颠	(proper noun) britannic
britney	布兰妮	britney
brooklyn	布鲁克林区	brooklyn
brot	t	this is german not vietnamese
brown	棕褐色	brown
browne	布朗	browne
browning	褐变	(proper noun) browning
bruce	布鲁斯	bruce
brunei	文莱	brunei
bruno	布鲁诺	bruno, as in the city of san bruno
brusilov	布鲁西洛夫	brusilov
brussels	布鲁塞尔	brussels, the capital of belgium
btr	btr	btr
bubalis	泡	bubalis
budapest	布达佩斯	budapest, the capital of hungary
bulgaria	保加利亚	bulgaria
bulletin	公告	thong bao
bungary	邦吉	bungary
bungo	邦戈	bungo
buonaparte	布纳帕	(proper noun) buonaparte, as in casa buonaparte
burke	伯克	(proper noun) burke, as in edmund burke
burkina	布基纳	burkina
burma	缅甸	burma
burundi	布隆迪	burundi
busan	釜山	a korean city
busby	巴斯比	busby
bush	灌木丛	bush
bushy	浓密的	bushy
buôn	批发价	commerce
buông	放开	to release, to let loose
buýt	公车	bus
buốt	冷的	sharp
buồm	航行	sail
buồn	伤心的	sad
buồng	室	chamber
buổi	会议	session
byzantine	拜占庭	byzantine
bà	祖母	woman or lady (n.)
bài	发布	articles
bàn	桌子	table
bàng	鹰	eagle
bành	包	armchair
bào	刨	compatriot
bàu	包	bau
bày	简报	"(term should be ""trưng bày"") to display (v.)"
bác	叔叔	doctor
bách	柏树	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	邪教	to bow (v.)
bám	坚持	cling
bán	已卖出	sell
báng	存货	"(term should be ""phỉ báng"") to defame or slander"
báo	报纸	newspaper (n.)
bát	碗	eight (n.)
báu	宝	valuable
bây	现在	now
bã	残渣	"(term should be ""buồn bã"") sad (adj.)"
bãi	码	beach
bão	暴风雨	storm
bèn	然后	then
bé	宝贝	baby
bén	尖锐的	sharp (adj.)
béo	胖子	fat
bên	派对	side
bênh	生病了	advocate
bì	包装方式	foreskin (n.)
bìa	遮盖	cover
bìu	阴囊	sac (n.)
bí	西葫芦	secret
bính	平	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	南瓜	biro
bò	牛	beef
bó	一堆	bound (adj.)
bói	算命	to foretell (v.)
bón	施肥	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	球	sphere or ball
bóp	挤压	squeeze
bô	便盆	"(term should be ""bôxit"") the mineral bauxite"
bôi	涂抹	to apply (as in oil)
bông	棉布	flower
bù	弥补	compensate
bùa	护身符	talisman
bùn	泥	mud
bùng	耀斑	"(term should be ""bùng nổ"") to break out (v.)"
bú	哺乳	to suck
búa	锤子	a hammer
búi	簇绒	tuft
bún	包子	noodle
búng	轻弹	snap
bút	笔	pseudonym
băm	散列	hash
băn	苦恼	concerned
băng	冰块	"(term should be ""băng giá"") freezing (adj.)"
bơ	黄油	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	游泳	swim
bơm	抽水机	pump
bưu	邮资	post office
bước	一步	a step (n.)
bướm	蝴蝶	butterfly
bạ	联络人	directory
bạc	银	meager
bạch	透明的	"(should be ""bạch tuộc"") an octopus"
bại	失败了	defeated
bảng	桌子	chart
bảo	宝	protect
bảy	七	seventh
bấm	按	press
bất	真实的	"(term should be ""bất cứ"") any (adj.)"
bấy	那	contemporary
bần	可怜的	poor
bầu	投票	vote
bầy	牛群	servant
bẩm	先天的	congenital
bẩn	脏的	the
bẩy	陷阱	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	陷阱	a trap (n.)
bậc	学位	level or class (n.)
bận	忙	busy
bật	开启	outstanding
bắc	北	beijing
bắcnam	诺斯南	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	射击	shoot
bắp	玉米	venter
bắt	赶上	cross
bằng	等于	by
bẹp	暗恋	crush
bẻ	打破	break
bẽ	屈辱	humiliate
bến	码头	wharf
bếp	厨房	kitchen
bề	表面	"(should be ""bề mặt"") a surface"
bền	经久耐用	enduring (v.)
bể	坏了	tank
bệ	基座	base
bện	编织	braided (adj.)
bệnh	生病了	benh
bỉ	比利时	disgust
bỉnh	顽皮的	binh
bịch	重击	ridiculous
bịt	覆盖的	cover
bọ	虫子	insect
bọc	包裹	to cover or enclose (v.)
bọn	他们	a group (n.)
bọng	浮肿	bladder
bọt	泡沫	foam
bỏ	放弃	to leave (v.)
bỏng	烧伤	hot
bố	父亲	"(term should be ""tuyên bố"") to declare"
bốc	装货	bốc lửa= on fire
bối	困惑的	messy
bốn	四	four
bồi	补偿金	"(term should be ""cao bồi"") cowboy (n.)"
bổn	职责	duty
bổng	奖学金	"with word luong, means ""salary"" or ""wages"""
bỗng	突然间	suddently
bộ	设置	part
bộc	中银	"(term should be ""bộc lộ"") to reveal (v.)"
bội	倍数	betray
bột	面团	powder or flour (n.)
bớ	四舍五入	arrest
bớt	少一点	less
bờ	岸边	coast
bời	烧伤	profuse
bở	由	profitable
bởi	由	because
bục	讲台	platform
bụng	肚皮	abdomen
bứt	在不知不觉中	"(term should be ""bứt phá"") power (n.)"
bừa	悲惨的	messy, careless, or topsy-turvy (adj.)
bữa	餐	meal (n.)
bực	沮丧的	bother
ca	钙	praise
ca-lo	卡罗	a unit of measurement
cabo	卡波	cabo
cacbon	碳	carbon
cacbonat	碳酸盐	carbonate
cacbua	硬质合金	carbides, carbon ions
caesar	凯撒	caesar
caffein	咖啡因	caffeine
café	咖啡	coffee
cai	停药	govern
cairo	开罗	cairo, the capital of egypt
cal	卡	cal, a first name
calculus	微积分	calculus
calvin	加尔文	calvin
cam	橙色	commit
cambodia	柬埔寨	(proper noun) the country of cambodia
cambridge	剑桥	cambridge
cameo	客串	cameo part
cameron	卡梅伦	cameron
cameroon	喀麦隆	cameroon
camille	卡米尔	camille
campbell	坎贝尔	campbell
campuchia	柬埔寨	campuchia
canada	加拿大	canada
canadian	加拿大人	canadian
canal	运河	canal
canary	金丝雀	canary
cancer	癌	cancer
canterbury	坎特伯雷	canterbury
canxi	钙	calcium
capello	卡佩罗	capello
capra	卡普拉	capra
carat	克拉	carat
carbine	卡宾枪	carbine
cardcaptor	持卡人	cardcaptor
cardcaptors	持卡人	(proper noun) cardcaptors
carey	凯里	(proper noun) carey, as in singer mariah carey
caribe	加勒比人	caribbean
caribê	加勒比海	caribbean
carl	卡尔	carl
carlos	卡洛斯	carlos
carnaval	狂欢节	carnaval
carol	颂歌	carol
caroline	卡罗琳	(proper noun) caroline
carpathia	喀尔巴阡山脉	carpathia
carter	卡特	carter
carxtơ	克拉	karst topography, a geological term (n.)
casa	卡萨	casa
casablanca	卡萨布兰卡	casablanca
caspia	里海	caspia
cassini	卡西尼号	cassini
cast	演员表	cast
castries	卡斯特里	castries
castro	卡斯特罗	castro, as in fidel castro
cathay	国泰航空	cathay
catherine	凯瑟琳	catherine
cau	au	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	立方英尺	cbs
ccc	抄送	ccc
ccn	ccn	industrial cluster
cctv	中央电视台	cctv
cd	光盘	cd
cdot	点	cdot
cdrom	光盘	cd-rom
cell	细胞	cell
celtic	凯尔特人	centic
cena	塞纳	(proper noun) cena, as in john cena, the wrestler
centauri	半人马座	centauri
ceres	蜡膜	ceres
cha	父亲	father
chai	瓶子	bottle
chaillot	夏洛特	a name
chamberlain	张伯伦	chamberlain
champa	尚帕	champa
champion	冠军	champion
chamẹ	按摩	parents
chanel	香奈儿	chanel
chanh	柠檬	lemon or lime (n.)
chao	你好	(proper noun) chao, a name
charles	查尔斯	charles
charlotte	夏洛特	charlotte
charlton	查尔顿	charlton
charon	卡龙	(proper noun) charon
chase	追逐	chase
chay	素食主义者	fasting
chdcnd	chdcnd	democratic republic
che	遮盖	cover
chechnya	车臣	chechnya
chen	陈	chen
cheo	o	"(term should be ""cheo reo"") name of a town"
chi	支出	"(term should be ""chi tiết"") details (n.)"
chia	分开的	"(term should be ""chia sẻ"") to share"
chiang	清	chiang
chicago	芝加哥	chicago, as in chicago, illinois
chile	智利	(proper noun) the country of chile
chim	鸟	bird
china	中国	china
ching	ching	ching
chirac	希拉克	chirac, as in former french president jacques chirac
chiêm	占星术	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	炒	fry
chiêng	锣	gong
chiếc	个	the
chiếm	占领	appropriate
chiến	打架	war, fight
chiết	提取物	literal
chiếu	投影	show
chiền	一堆	temple
chiều	下午	length
chlamydia	衣原体	chlamydia
chloride	氯化物	chloroauric acid
chnd	chnd	chnd
choi	玩	choi
chomsky	乔姆斯基	chomsky
chong	冲	chong
chopin	肖邦	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	斗篷	coat
choáng	惊呆了	dizzy
chris	克里斯	chris, as in chris hughes
christ	基督	christ
christian	基督教徒	christian
christopher	克里斯托弗	christopher
chrome	镀铬	chrome, as in google chrome
chrysler	克莱斯勒	(proper noun) chrysler, the car company
chu	周期	cycle
chua	酸味	tomato
chuck	卡盘	(proper noun) chuck, as in chuck norris
chui	地下的	underground
chum	um	pot
chun	春	chun
chung	一般	general
churchill	丘吉尔	churchill
chuyên	专业的	professional
chuyến	旅行	trip
chuyền	通过	volleyball
chuyển	调动	to move
chuyện	故事	nói chuyện= talk
chuôi	抓地力	handle
chuông	铃铛	a bell
chuẩn	标准	standard
chuốc	oke	incur
chuối	香蕉	banana
chuốt	拉削	refine
chuồng	谷仓	cage
chuỗi	弦	series
chuộc	赎回	redeem
chuộng	偏爱	favorite
chuột	滑鼠	a mouse (n.)
chà	擦	rub
chài	钓鱼	fish
chàm	靛蓝	indigo
chàng	家伙	"(term should be ""chàng trai"") a young man (n.)"
chào	你好	welcome
chày	棒球棒	a pestle (n.)
chánh	首席	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	稀饭	porridge
cháu	孙子	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	燃烧的	fire
châm	刺	motto
chân	脚	a leg
châu	欧洲	continental
chè	茶	tea
chèn	插入	insert
chém	斜线	to chop
chén	杯子	bowl
chéo	交叉	cross
chép	复制	written
chê	该死的	decry
chênh	差异	difference
chì	铅	graphite
chìa	关键	"(term should be ""chìa khoá"") a key (n.)"
chìm	下沉	to become submerged or sink (v.)
chình	鳗鱼	eel
chí	虱子	especially
chích	注射剂	shoot
chín	九	ripe
chính	主要的	main
chít	t	dense
chò	ke	a type of plant, typically of the parashorea genus (n.)
chòi	小屋	hut
chòm	星座	constellation
chó	狗	dog
chóc	哈哈	killing (giet choc)
chói	眩光	bright
chóng	迅速地	"entire term should be ""chong mat""; means ""dizzy"""
chóp	小费	the top (n.)
chôm	红毛丹	rambutan
chôn	埋葬	bury
chông	老公	thorn
chùa	宝塔	pagoda
chùy	钉头锤	mace
chú	叔叔	uncle (n.)
chúa	上帝	god
chúc	希望	will
chúi	u	drop
chúng	他们	they
chút	一点点	little
chăm	保重	champa
chămpa	占巴	champa
chăng	负担得起的	would it
chĩa	叉子	point
chơi	玩	play
chơn	脚	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	附庸	lower authorities
chưa	还没	not yet
chưng	dist	steamed
chương	章	medal
chướng	障碍路线	grating
chạ	混杂的	father
chạm	触碰	touch
chạng	暮光之城	twilight
chạp	摇摇欲坠	slow
chạy	运行	to run (v.)
chả	卷	no
chảo	锅	pan
chảy	流动	bleeding
chấm	点	end
chấp	按揭	"(term should be ""chấp nhận"") to accept (v.)"
chất	实质	quality
chấu	捏	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	热烫	slice
chẩn	诊断	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	慢慢地	slow
chận	挡	block
chật	紧	overcrowded
chậu	盆	pelvic
chắc	当然	certainly
chằng	眉头	ligament
chẵn	甚至	even
chặn	挡	prevent
chặng	腿	journey
chặt	紧	close
chẻ	分裂	strick
chẽ	紧	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	准备工作	produce
chếch	松弛	oblique
chết	死	to die (v.)
chệch	错了	deviant
chỉ	只	just (adv.)
chỉnh	更正	adjust
chịt	废话	chằn chịt= complex/tangle
chịu	熊	tolerate
chọc	戳	to poke
chọi	打架	oppose
chọn	选择	to choose
chỏ	肘部	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	瞬间	single
chối	否认	refuse
chốn	地方	place
chống	反	anti-
chốt	闩锁	important
chồi	芽	"(term should be ""đâm chồi"") budding"
chồn	黄鼠狼	anxious
chồng	老公	husband
chỗ	地方	where
chội	狗屎	cramped
chớ	不要啦	not
chớp	雷电	flashing (adj.)
chờ	等一下	to wait
chở	携带	for
chợ	市场	market
chợt	突然间	suddenly
chục	打	dozen
chụp	射击	capture
chủ	拥有者	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	毒株	strain
chứ	宁可	just or only (adv.)
chứa	包含	contain
chức	机能	function
chừ	等一下	hesitate
chừa	离开	leave
chừng	大约	about or roughly (adv.)
chử	字	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	怀孕的	pregnant
chửi	诅咒	curse
chữ	字	a letter of the alphabet (n.)
chữa	治愈	to cure or treat (v.)
chững	调平	to totter (v.)
cia	cia	cia
cincinnati	辛辛那提	cincinnati
cinderella	灰姑娘	cinderrella
cip	密码	cip
circus	马戏团	circus
cities	城市	cities
clara	克拉拉	clara
clark	克拉克	clark
claude	克劳德	(proper noun) claude
claudius	克劳迪乌斯	(proper noun) claudius
clinton	克林顿	clinton, as in former president bill clinton
clip	夹	clip
clips	短片	clips
clo	氯气	chlorine
clow	low	clow
clyde	克莱德	(proper noun) clyde, as in bonnie and clyde
cmc	电脑	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	网络	cnet
cntb	中央电视台	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	合作	spasm
coburn	科本	coburn
cocoa	可可	cocoa
coen	科恩	coen
coffea	咖啡	coffee
cohen	科恩	cohen
coi	考虑过	to regard
coleen	科琳	coleen
coleman	科尔曼	coleman
coli	大肠杆菌	coli
colin	科林	(proper noun) colin, as in colin powell
colleen	科琳	colleen
college	大学	college
collins	柯林斯	(proper noun) collins
collège	大学	college (n.)
colombia	哥伦比亚	colombia
colombo	科伦坡	(proper noun) colombo
colorado	科罗拉多州	(proper noun) colorado, as in the state
columbus	哥伦布	columbus
comic	可笑的	comic
common	普通的	common
concacaf	康卡卡夫	concacaf
concerto	协奏曲	concerto
concorde	协和	concorde
condom	安全套	condom
cong	弯曲的	curved or bent
congo	刚果	congo
congress	国会	congress, as in library of congress
connecticut	康涅狄格州	connecticut
conrad	康拉德	corrad
conservation	养护	conservation
constantine	君士坦丁	constantine
contemporary	当代的	contemporary
cooper	库珀	(proper noun) cooper
copenhagen	哥本哈根	copenhagen
copernic	哥白尼	corpernic
copperfield	copperfield	(proper noun) copperfield, as in magician david copperfield
coppola	科波拉	coppola
copy	复制	copy
cordyceps	虫草	cordyceps
core	核心	core
cornell	康奈尔	cornell
cosin	余弦	cosine
costa	哥斯达黎加	costa
cotang	共塘	cotangent
cpt	cpt	cpt
craig	克雷格	(proper noun) craig
crazy	疯了	crazy
crespo	克雷斯波	(proper noun) crespo
crest	波峰	crest
crew	船员	crew
crimson	深红色	crimson
crisis	危机	crisis
cristiano	克里斯蒂亚诺	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	克罗地亚	croatia
cross	交叉	cross
crs	crs	crs
cruz	克鲁兹	cruz
cruzeiro	克鲁塞罗	cruzeiro
crystal	水晶	crystal
ctc	ctc	ctc
cua	蟹	crab (n.)
cullen	卡伦	a name
cung	弓	circle
cunningham	坎宁安	cunningham; proper name
cup	杯子	cup
cuả	的	of, from, belonging to
cuốc	头	hoe
cuối	最后	last or final (adj.)
cuốn	书	book
cuống	茎	throat
cuồng	疯了	crazy (adj.)
cuộc	打架	the
cyanide	氰化物	cyanide
cyber	网络	cyber
cyril	西里尔	(proper noun) cyril
cyrus	赛勒斯	cyrus
cyworld	cyworld	cyword
cà	咖啡	ca
cài	安装	install
càn	需要	raid
càng	越多	cang
cành	分行	branch
cào	从头开始	scratch
cày	耕作	plow
các	的	all (adv.)
cách	方式	the
cái	的	"(term should be ""con cái"") children (n.)"
cán	卷起	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	翅膀	wing
cáo	狐狸	report
cáopx|bình	cáopx|平均	not a word
cáp	电缆	cable (n.)
cáy	提琴手	fiddler
câm	哑巴	mute (adj.)
cân	规模	weight
câu	句子	saying
cãi	争论	argue
cò	触发	stork
còn	向左	to have left (v.)
có	是的	have
cói	莎草	machine
cót	婴儿床	cot
cô	她的	girl
côi	孤儿	orphaned
côn	锥度	a stick (n.)
công	工作	worker
côngtenơ	货柜	container
cõi	领域	entire area
cõng	背back式	piggyback
cù	挠痒痒的	cu
cùi	麻风病人	leprosy
cùng	在一起	together
cú	猫头鹰	old
cúi	弓	to bow (v.)
cúm	感冒	cum
cúng	舒适的	worship
cúp	断电	cup (n.)
cút	下车	to kick someone out (v.)
căm	已插入	detest (cam thu)
căn	激进的	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	伸展	tense
cũ	旧的	old
cũi	婴儿床	kennel
cũng	以及	also
cơm	饭	rice
cư	填充	resident
cưa	锯	saw
cưng	亲爱的	also
cước	货运	megaman
cưới	已婚	marry
cướp	抢劫	to rob (v.)
cười	大笑	smile
cường	激烈的	strengthen
cưỡi	骑马	ride
cưỡng	被迫	force some body to do some thing. cưỡng dâm=rape
cạc	卡	card (n.)
cạn	浅的	shallow
cạnh	边缘	"(term should be ""khía cạnh"") an angle"
cạo	刮胡子	shave
cạp	蝎子	scorpion
cả	两者	both
cải	芥末酱	reform
cảm	冷的	pleasure
