$ tỉ	$ biliwn	$ billion
bôi	arogli	to apply (as in oil)
bông	cotwm	flower
bù	gwneud i fyny	compensate
bùa	amulet	talisman
bùn	mwd	mud
bùng	fflêr	"(term should be ""bùng nổ"") to break out (v.)"
bú	sugno	to suck
búa	morthwyl	a hammer
búi	twmpathau	tuft
bún	bynsen	noodle
búng	fflicio	snap
bút	pen	pseudonym
băm	hashed	hash
băn	fret	concerned
băng	rhew	"(term should be ""băng giá"") freezing (adj.)"
bơ	menyn	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	nofio	swim
bơm	pwmp	pump
bưu	postio	post office
bước	cam	a step (n.)
bướm	pili pala	butterfly
bạ	cysylltiadau	directory
bạc	arian	meager
bạch	tryloyw	"(should be ""bạch tuộc"") an octopus"
bại	wedi methu	defeated
bảng	byrddau	chart
bảo	bao	protect
bảy	saith	seventh
bấm	gwasgwch	press
bất	go iawn	"(term should be ""bất cứ"") any (adj.)"
bấy	hynny	contemporary
bần	druan	poor
bầu	pleidleisio	vote
bầy	gyr	servant
bẩm	cynhenid	congenital
bẩn	budr	the
bẩy	trap	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	trap	a trap (n.)
bậc	gradd	level or class (n.)
bận	yn brysur	busy
bật	troi ymlaen	outstanding
bắc	gogledd	beijing
bắcnam	gogleddnam	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	saethu	shoot
bắp	corn	venter
bắt	i ddal	cross
bằng	hafal	by
bẹp	mathru	crush
bẻ	egwyl	break
bẽ	cywilydd	humiliate
bến	doc	wharf
bếp	cegin	kitchen
bề	wyneb	"(should be ""bề mặt"") a surface"
bền	gwydn	enduring (v.)
bể	wedi torri	tank
bệ	pedestal	base
bện	plethedig	braided (adj.)
bệnh	yn sâl	benh
bỉ	gwlad belg	disgust
bỉnh	drwg	binh
bịch	thump	ridiculous
bịt	gorchuddio	cover
bọ	chwilod	insect
bọc	lapio	to cover or enclose (v.)
bọn	nhw	a group (n.)
bọng	puffiness	bladder
bọt	ewyn	foam
bỏ	rhoi&#39;r gorau iddi	to leave (v.)
bỏng	llosgiadau	hot
bố	tad	"(term should be ""tuyên bố"") to declare"
bốc	llwytho	bốc lửa= on fire
bối	wedi drysu	messy
bốn	pedwar	four
bồi	iawndal	"(term should be ""cao bồi"") cowboy (n.)"
bổn	dyletswydd	duty
bổng	ysgoloriaeth	"with word luong, means ""salary"" or ""wages"""
bỗng	yn sydyn	suddently
bộ	set	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	lluosrifau	betray
bột	toes	powder or flour (n.)
bớ	rownd i fyny	arrest
bớt	llai	less
bờ	lan	coast
bời	bum	profuse
bở	gan	profitable
bởi	gan	because
bục	podiwm	platform
bụng	bol	abdomen
bứt	yn ddiarwybod i mi	"(term should be ""bứt phá"") power (n.)"
bừa	dirdynnol	messy, careless, or topsy-turvy (adj.)
bữa	pryd bwyd	meal (n.)
bực	rhwystredig	bother
ca	ca.	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	carbon	carbon
cacbonat	carbonad	carbonate
cacbua	carbid	carbides, carbon ions
caesar	caesar	caesar
caffein	caffein	caffeine
café	coffi	coffee
cai	cai	govern
cairo	cairo	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	calcwlws	calculus
calvin	calvin	calvin
cam	oren	commit
cambodia	cambodia	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	cameo	cameo part
cameron	cameron	cameron
cameroon	camerŵn	cameroon
camille	camille	camille
campbell	cloch gwersyll	campbell
campuchia	cambodia	campuchia
canada	canada	canada
canadian	canadian	canadian
canal	camlas	canal
canary	caneri	canary
cancer	canser	cancer
canterbury	canterbury	canterbury
canxi	calsiwm	calcium
capello	capello	capello
capra	capra	capra
carat	carat	carat
carbine	carbine	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	gofalus	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	caribïaidd	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	carnaval	carnaval
carol	carol	carol
caroline	caroline	(proper noun) caroline
carpathia	carpathia	carpathia
carter	carter	carter
carxtơ	carat	karst topography, a geological term (n.)
casa	casa	casa
casablanca	casablanca	casablanca
caspia	caspia	caspia
cassini	cassini	cassini
cast	cast	cast
castries	castries	castries
castro	castro	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cdrom	cd-rom
cell	cell	cell
celtic	celtaidd	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	tad	father
chai	potel	bottle
chaillot	chaillot	a name
chamberlain	siambrlen	chamberlain
champa	champa	champa
champion	pencampwr	champion
chamẹ	tylino	parents
chanel	chanel	chanel
chanh	lemwn	lemon or lime (n.)
chao	helo	(proper noun) chao, a name
charles	charles	charles
charlotte	charlotte	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	mynd ar ôl	chase
chay	llysieuol	fasting
chdcnd	chdcnd	democratic republic
che	gorchudd	cover
chechnya	chechnya	chechnya
chen	chen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	wedi&#39;i rannu	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chile	(proper noun) the country of chile
chim	yr aderyn	bird
china	llestri	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	astrolegol	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	ffrio	fry
chiêng	gong	gong
chiếc	pcs	the
chiếm	meddiannu	appropriate
chiến	ymladd	war, fight
chiết	dyfyniad	literal
chiếu	tafluniad	show
chiền	criw	temple
chiều	yp	length
chlamydia	clamydia	chlamydia
chloride	clorid	chloroauric acid
chnd	chnd	chnd
choi	chwarae	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	clogyn	coat
choáng	syfrdanu	dizzy
chris	chris	chris, as in chris hughes
christ	nadolig	christ
christian	cristion	christian
christopher	nadolig	christopher
chrome	crôm	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	chu	cycle
chua	sur	tomato
chuck	chuck	(proper noun) chuck, as in chuck norris
chui	dan ddaear	underground
chum	chum	pot
chun	chun	chun
chung	cyffredinol	general
churchill	churchill	churchill
chuyên	arbenigol	professional
chuyến	taith	trip
chuyền	pasio	volleyball
chuyển	trosglwyddo	to move
chuyện	stori	nói chuyện= talk
chuôi	gripe	handle
chuông	gloch	a bell
chuẩn	safonol	standard
chuốc	poke	incur
chuối	bananas	banana
chuốt	broaching	refine
chuồng	ysgubor	cage
chuỗi	llinyn	series
chuộc	adbrynu	redeem
chuộng	yn cael ei ffafrio	favorite
chuột	llygoden	a mouse (n.)
chà	rhwbiwch	rub
chài	pysgota	fish
chàm	indigo	indigo
chàng	boi	"(term should be ""chàng trai"") a young man (n.)"
chào	hi	welcome
chày	pêl-fas	a pestle (n.)
chánh	prif	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	uwd	porridge
cháu	wyrion	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	llosgi	fire
châm	pigo	motto
chân	traed	a leg
châu	ewrop	continental
chè	te	tea
chèn	mewnosoder	insert
chém	slaes	to chop
chén	cwpan	bowl
chéo	croes	cross
chép	copi	written
chê	damn	decry
chênh	gwahaniaeth	difference
chì	arwain	graphite
chìa	allwedd	"(term should be ""chìa khoá"") a key (n.)"
chìm	sinc	to become submerged or sink (v.)
chình	llysywen	eel
chí	llau	especially
chích	pigiad	shoot
chín	naw	ripe
chính	prif	main
chít	chit	dense
chò	tagu	a type of plant, typically of the parashorea genus (n.)
chòi	cwt	hut
chòm	cytser	constellation
chó	cŵn	dog
chóc	haha	killing (giet choc)
chói	llacharedd	bright
chóng	yn gyflym	"entire term should be ""chong mat""; means ""dizzy"""
chóp	tip	the top (n.)
chôm	rambutan	rambutan
chôn	claddwyd	bury
chông	gwr	thorn
chùa	pagoda	pagoda
chùy	byrllysg	mace
chú	ewythr	uncle (n.)
chúa	duw	god
chúc	i ddymuno	will
chúi	tuu	drop
chúng	nhw	they
chút	ychydig bach	little
chăm	cymerwch ofal	champa
chămpa	champa	champa
chăng	fforddiadwy	would it
chĩa	ffyrc	point
chơi	chwarae	play
chơn	traed	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	ddim eto	not yet
chưng	dist	steamed
chương	pennod	medal
chướng	cwrs rhwystrau	grating
chạ	addawol	father
chạm	cyffwrdd	touch
chạng	cyfnos	twilight
chạp	sigledig	slow
chạy	rhedeg	to run (v.)
chả	rholiau	no
chảo	sosban	pan
chảy	yn llifo	bleeding
chấm	dot	end
chấp	morgais	"(term should be ""chấp nhận"") to accept (v.)"
chất	sylwedd	quality
chấu	pinsiad	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	blanching	slice
chẩn	diagnosio	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	yn araf	slow
chận	bloc	block
chật	yn dynn	overcrowded
chậu	potiau	pelvic
chắc	siwr	certainly
chằng	ael	ligament
chẵn	hyd yn oed	even
chặn	bloc	prevent
chặng	coes	journey
chặt	yn dynn	close
chẻ	hollt	strick
chẽ	yn dynn	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	paratoadau	produce
chếch	llac	oblique
chết	marw	to die (v.)
chệch	anghywir	deviant
chỉ	yn unig	just (adv.)
chỉnh	cywiriad	adjust
chịt	crap	chằn chịt= complex/tangle
chịu	arth	tolerate
chọc	brocio	to poke
chọi	ymladd	oppose
chọn	dewis	to choose
chỏ	penelin	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	hyn o bryd	single
chối	gwadu	refuse
chốn	lle	place
chống	gwrth	anti-
chốt	clicied	important
chồi	egin	"(term should be ""đâm chồi"") budding"
chồn	wenci	anxious
chồng	gwr	husband
chỗ	lle	where
chội	cachu	cramped
chớ	peidiwch â	not
chớp	mellt	flashing (adj.)
chờ	aros	to wait
chở	cario	for
chợ	farchnad	market
chợt	yn sydyn	suddenly
chục	dwsin	dozen
chụp	saethu	capture
chủ	perchennog	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	straenau	strain
chứ	yn hytrach	just or only (adv.)
chứa	yn cynnwys	contain
chức	swyddogaeth	function
chừ	aros	hesitate
chừa	gadael	leave
chừng	tua	about or roughly (adv.)
chử	gair	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	yn feichiog	pregnant
chửi	melltithio	curse
chữ	gair	a letter of the alphabet (n.)
chữa	iachâd	to cure or treat (v.)
chững	lefelu	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	sinderela	cinderrella
cip	cip	cip
circus	syrcas	circus
cities	dinasoedd	cities
clara	clara	clara
clark	clark	clark
claude	claude	(proper noun) claude
claudius	claudius	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	clip	clip
clips	clipiau	clips
clo	clorin	chlorine
clow	clow	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	cyd	spasm
coburn	coburn	coburn
cocoa	coco	cocoa
coen	coen	coen
coffea	coffi	coffee
cohen	cohen	cohen
coi	ystyried	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	colleen	colleen
college	coleg	college
collins	collins	(proper noun) collins
collège	collège	college (n.)
colombia	colombia	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	columbus	columbus
comic	comig	comic
common	cyffredin	common
concacaf	concacaf	concacaf
concerto	concerto	concerto
concorde	concorde	concorde
condom	condom	condom
cong	crwm	curved or bent
congo	congo	congo
congress	gyngres	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	cadwraeth	conservation
constantine	cysonyn	constantine
contemporary	cyfoes	contemporary
cooper	cooper	(proper noun) cooper
copenhagen	copenhagen	copenhagen
copernic	copernic	corpernic
copperfield	maes copr	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	copi	copy
cordyceps	cordyceps	cordyceps
core	craidd	core
cornell	cornell	cornell
cosin	cosin	cosine
costa	costa	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	gwallgof	crazy
crespo	crespo	(proper noun) crespo
crest	crest	crest
crew	criw	crew
crimson	rhuddgoch	crimson
crisis	argyfwng	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	croatia	croatia
cross	croes	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	grisial	crystal
ctc	ctc	ctc
cua	cranc	crab (n.)
cullen	cullen	a name
cung	bwa	circle
cunningham	cunningham	cunningham; proper name
cup	cwpan	cup
cuả	o	of, from, belonging to
cuốc	hoes	hoe
cuối	olaf	last or final (adj.)
cuốn	llyfr	book
cuống	coesyn	throat
cuồng	gwallgof	crazy (adj.)
cuộc	ymladd	the
cyanide	cyanid	cyanide
cyber	seiber	cyber
cyril	cyril	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	cyworld	cyword
cà	coffi	ca
cài	gosod	install
càn	angen	raid
càng	y mwyaf	cang
cành	cangen	branch
cào	scratch	scratch
cày	aredig	plow
các	y	all (adv.)
cách	y ffordd	the
cái	y	"(term should be ""con cái"") children (n.)"
cán	rholio	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	adenydd	wing
cáo	llwynog	report
cáopx|bình	cáopx | cyfartaledd	not a word
cáp	cebl	cable (n.)
cáy	ffidlwr	fiddler
câm	fud	mute (adj.)
cân	graddfa	weight
câu	brawddeg	saying
cãi	dadlau	argue
cò	sbarduno	stork
còn	chwith	to have left (v.)
có	ie	have
cói	hesg	machine
cót	crud	cot
cô	hi	girl
côi	amddifad	orphaned
côn	tapr	a stick (n.)
công	gwaith	worker
côngtenơ	cynhwysydd	container
cõi	tiroedd	entire area
cõng	piggyback	piggyback
cù	goglais	cu
cùi	gwahangleifion	leprosy
cùng	gyda&#39;n gilydd	together
cú	tylluan	old
cúi	bwa	to bow (v.)
cúm	ffliw	cum
cúng	clyd	worship
cúp	toriad	cup (n.)
cút	mynd allan	to kick someone out (v.)
căm	plygio i mewn	detest (cam thu)
căn	radical	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	ymestyn	tense
cũ	hen	old
cũi	crib	kennel
cũng	hefyd	also
cơm	reis	rice
cư	poblogi	resident
cưa	gwelodd	saw
cưng	darling	also
cước	cludo nwyddau	megaman
cưới	priod	marry
cướp	rob	to rob (v.)
cười	chwerthin	smile
cường	dwys	strengthen
cưỡi	marchogaeth	ride
cưỡng	gorfodi	force some body to do some thing. cưỡng dâm=rape
cạc	cerdyn	card (n.)
cạn	bas	shallow
cạnh	ymyl	"(term should be ""khía cạnh"") an angle"
cạo	eillio	shave
cạp	sgorpion	scorpion
cả	y ddau	both
cải	mwstard	reform
cảm	oer	pleasure
cản	plagued	prevent
cảng	porthladd	port
cảnh	olygfa	situation
cảo	tynnwr	posthumous
cấm	gwaharddedig	ban
cấn	angen	dramatic
cấp	grant	level or rank (n.)
cất	distyll	"(term should be ""cất giữ"") to keep safe or store"
cầm	dal	to hold (v.)
cần	angen	need
cầu	bont	request
cầy	civet	farmed
cẩn	byddwch yn ofalus	carefully
cẩu	craen	"(term should be ""hải cẩu"") a seal (n.)"
