$  	usd	dollar
alakultak	attīstīta	formed
alakulása	evolūcija	development
alakít	forma	shapes
alakítja	konvertē	forms
alakított	veidojas	formed
alakította	formas	developed
alakítottak	izveidots	formed
alakították	paredzēts	formed
alakító	formēšana	forming
alakú	formas	shaped
alan	alan	alan
alanyeset	alanyeset	nominative (case)
alap	pamats	foundation
alapfokú	elementāri	primary
alapja	pamats	basis of
alapjai	pamati	basis of
alapjait	pamati	foundations
alapján	balstoties uz	based on
alapját	pamats	foundation
alapjául	pamats	besed
alapon	pamats	on a base
alaposan	pamatīgi	thoroughly
alapot	pamats	foundation
alapszik	balstoties uz	based
alapul	balstoties uz	based on
alapuló	ieslēgts	based on
alapvető	pamata	fundamental
alapvetően	būtībā	basically
alapított	dibināta	founded
alapította	dibināta	found
alapítottak	dibināta	founded
alapították	dibināta	founded
alapítvány	pamats	foundation
alapítása	pamats	foundation of sg
alapító	dibinātājs	founding
alapítója	dibinātājs	founder
alapú	balstīta	foundation
alaszka	aļaska	alaska
alatt	zem	during
alatta	zem	under
alatti	zemāk	below
albert	alberts	albert
alberto	alberto	alberto
album	albumu	album
albuma	albumu	sy's/sg's album
albumok	albumus	albums
albumon	albumu	album
albumot	albumu	album
albumról	albumu	(from the) album
albumuk	albumu	albums
albumát	albumu	album
albán	albāņu	albanian
albánia	albānija	albania
albánok	albāņi	albanians
aldehid	aldehīds	aldehid
alelnök	viceprezidents	vice president
alessandro	alessandro	alessandro
alex	alekss	alex
alexander	aleksandrs	alexander
alexandra	aleksandra	alexandra
alexandrosz	aleksandrs	alexander
alfa	alfa	alpha
alfonz	alfonso	alfonz
alfred	alfrēds	alfred
alfréd	alfrēds	alfred
alföld	zemiene	plain
alföldi	lielie līdzenumi	plain
ali	ali	ali
alig	tik tikko	barely
alján	apakša	at the bottom of
alkalmanként	ik pa laikam	occasionally
alkalmas	piemērots	suitable
alkalmasak	piemērots	proper
alkalmat	iespēju	occasion
alkalmazható	piemērojams	applicable
alkalmaznak	izmanto	apply
alkalmazni	pieteikties	employ
alkalmazott	darbinieks	employee
alkalmazta	pielietots	employed
alkalmaztak	izmanto	used
alkalmazták	izmanto	applied
alkalmazza	pieteikties	inconsistent examples (alkalmaz something=use - alkalmaz someone=employ)
alkalmazzák	pieteikties	apply
alkalmazás	pieteikums	application
alkalmazása	pieteikums	use of
alkalmazások	aplikācijas	applications
alkalmazásával	pieteikums	application
alkalmi	ikdienišks	occasional
alkalmából	gadījumā	on the occasion of
alkalmával	gadījums	at the occasion of
alkalom	gadījumā	occasion
alkalommal	laiks	on occasion
alkatrészek	daļas	parts
alkohol	alkohols	alcohol
alkoholt	alkohols	alcohol
alkot	izveidot	forms
alkotják	meikaps	constitute
alkotmány	konstitūcija	constitution
alkotmánya	konstitūcija	constitution of
alkotmánybíróság	konstitucionālā tiesa	constitutional court
alkotmányos	konstitucionālā	constitutional
alkotmányt	konstitūcija	constitution
alkotnak	forma	(they) create
alkotott	izveidots	created
alkotta	izveidots	created
alkottak	izveidots	created
alkották	izveidots	constituted
alkotás	radīšana	creation
alkotása	birža	creation
alkotásai	darbi	creations
alkotások	radījumi	creations
alkotó	radošs	constituting
alkotói	radošs	creators
alkotója	veidotājs	creator of
alkotók	veidotāji	creators
alkotórésze	komponents	constituent
allan	alans	not a hungarian word, it is the name of a person
allen	allen	allen
allél	alēle	allele
alma	apple	apple (provided examples are first names as alma is also a first name in hungary)
alonso	alonso	alonso
alpesi	alpu	alpine
alpha	alfa	alpha
alpok	alpi	alps
alsó	zemāks	bottom
alsóbb	zemāks	lower
alternatív	alternatīva	alternative
alul	apakšā	at the bottom
alumínium	alumīnijs	aluminium
alá	zemāk	below
alább	turpmāk	hereafter
alábbi	zemāk	following
alábbiak	sekojošais	following
aláírta	parakstīts	signed
aláírása	parakstīšana	signature of
alól	no plkst	from
am	esmu	am
amatőr	amatieris	amateur
ambrus	ambruss	ambrosia
amellett	turklāt	besides
amellyel	ar kuru	with which
amely	kas	which
amelybe	kas	in which
amelyből	kas	from which
amelyek	kas	to which
amelyekben	kas	in which
amelyeken	kas	through which
amelyeket	kas	of which
amelyekkel	kas	with wich
amelyeknek	kas	to which
amelyen	kas	on which
amelyet	kas	which
amelyhez	kas	to which
amelyik	kas	which
amelynek	kas	of which
amelyre	kas	to which
amelyről	kas	about which
amennyi	kā ir	as much as
amennyiben	tik daudz	in so far as
america	amerika	america
american	amerikānis	american
amerika	amerika	america
amerikai	amerikāņu	american
amerikaiak	amerikāņi	americans
amerikába	uz ameriku	in america
amerikában	amerika	in america
ami	kas	wich
amiben	kurā	in which
amiből	kas	from which
amihez	kas	to what
amik	kas	that are
amiket	kas	which
amikor	kad	when
amilyen	kā	like
amin	amīns	what
aminek	kas	for which
aminosavak	aminoskābes	amino acids
amint	kā	as soon as
amire	tu	what
amiről	par	what
amit	kas	that
amivel	kas	with which
amiért	kāpēc	for which
amy	amy	amy
amíg	līdz	while
amúgy	starp citu	anyway
an	an	of them
anapesztus	anapest	apaest
anatómiai	anatomisks	anatomic
anderson	andersons	anderson
andok	andes	andes
andor	andor	andor (forename)
andrea	andrea	andrea
andrew	iemeta	andrew
andrás	endrjū	andrás
andrássy	andrássy	andrássy
andré	andrē	andré
andy	andy	andy
angeles	eņģeļi	angeles
angelesben	andželosa	in angeles
angelesi	andželosa	angeles
angelina	angelina	angelina
anglia	anglija	england
angliai	anglija	england
anglikán	anglikāņu	anglican
angliába	anglija	to england
angliában	anglijā	in england
angol	angļu	english
angolok	angļi	england
angolszász	anglosakšu	anglo-saxon
angolszászok	anglosakši	anglosaxons
angolul	angliski	in english
angyal	eņģelis	angyal
angyalok	eņģeļi	angels
anikó	anikó	anikó
anime	anime	anime
animációs	animācija	animated
animében	anime	in anime
anita	anita	anita
ann	gada	ann
anna	anna	anna
annak	uz	to
anne	anne	anne
annyi	tik daudz	so many
annyira	ka	so
annyit	tik daudz	so much
annál	vairāk	more
antal	antal	antal
antant	entente	entente
anthony	antonijs	anthony
anticiklon	anticiklons	anti-cyclon
antigoné	antigone	antigone
antik	antīkās	antique
antológia	antoloģija	anthology
anton	antons	anton
antonio	antonio	antonio
anya	mātes	mother
anyag	materiāls	material
anyaga	materiāls	theme
anyagból	materiāls	(from) matter
anyagi	materiāls	financial
anyagok	materiāli	materials
anyagokat	vielas	materials
anyagot	materiāls	material
anyagát	materiāls	material of
anyai	mātes	maternal
anyanyelvű	runājot	native speaker
anyja	māte	sy's mother
anyjának	māte	his mother
anyját	māte	mother
anyák	mātes	mothers
apa	tēvs	father
apai	tēva	fatherly
apja	tēvs	his father
apjának	tēvs	to the father of sy
apját	tēvs	her/his father
apjával	tēvs	father
apollo	apollo	apollo
apolloprogram	apolloprogramma	project apollo
apostol	apustulis	apostle
apple	ābolu	apple
apró	mazs	small
arab	arābu valodā	arabic
arabok	arābi	arabs
arad	arad	arad
aradi	arads	from arad
aragóniai	aragons	of aragon
arany	zelts	arany
aranybulla	zelta bullis	golden bull
aranycsapat	zelta komanda	gold team
aratott	uzvara	harvested
arattak	pļāva	scored
arca	viņa seja	face of
arcképe	portrets	portrait of
arcát	viņa seja	face of sy/sg
arena	arēnā	arena
argentin	argentīnietis	argentinian
argentína	argentīna	argentina
arisztokrácia	aristokrātija	aristocracy
arisztotelész	aristotelis	aristotle
arnold	arnolds	arnold
arra	uz	to
arról	par	about
arsenal	arsenāls	arsenal
art	kaitē	art
arthur	artūrs	arthur
artúr	artúr	arthur
arány	zelts	rate
aránya	proporcija	ration of
arányban	attiecība	rate
aránylag	salīdzinoši	relatively
arányos	jauki	proportional
arányuk	viņu daļa	ratio of sgs
asimov	asimovs	asimov
aspergerszindrómás	aspergerszindrómás	with asperger syndrome
assisi	assisi	assisi
asszony	sieviete	lady
asszonyok	sievietes	women
asztali	tabula	table
at	plkst	not a hungarian word
athenaeum	athenaeum	athenaeum
athén	atēnas	athens
athéni	atēnietis	from athens
atlantisz	atlantis	atlantis
atlantióceán	atlantijas okeāns	atlantic ocean
atlético	atlético	atlético
atom	atoms	atom
atombomba	atombumba	atomic bomb
atomok	atomi	atoms
atp	atp	atp
attila	attila	attila
atya	tēvs	father
atyja	tēvs	his/her father
augusztus	augusts	august
augusztusban	augustā	in august
aus	aus	aus - german word
auschwitz	aušvice	auschwitz
ausztria	austrijā	austria
ausztriában	austrijā	austria
ausztriát	austrijā	austria
ausztrál	austrālietis	australian
ausztrália	austrālija	australia
ausztráliai	austrālija	australian
ausztráliában	austrālija	in australia
autizmus	autisms	autism
autoimmun	autoimūna	autoimmunity
automatikus	automātiska	automatic
automatikusan	automātiski	automatically
autonóm	autonomi	autonomic
autonómiát	autonomija	autonomy
autó	auto	car
autóbusz	autobuss	bus
autója	auto	the car of sy
autók	automašīnas	cars
autópálya	automaģistrāle	motorway
autópályák	šosejas	highways
autót	auto	car
avagy	vai	or
avar	avar	avar
avarok	avars	avars (ancient faction)
avatták	inaugurēts	inaugurated
award	balvu	award
awards	balvas	awards
ayrton	ayrton	ayrton
az		the
azaz	sakiet	namely
azelőtt	pirms tam	beforehand
aznap	tajā dienā	the same day
azok	tiem	those
azokat	tiem	them
azokban	iekšā	those
azokkal	ar	with those
azoknak	tiem	of those
azokon	ieslēgts	on
azokra	tiem	those
azon		on that
azonban	tomēr	is
azonnal	tūlīt	immediately
azonnali	tūlītēju	immediate
azonos	tas pats	identic
azonosították	identificēts	identified
azt	tā	it
aztán	tad	then
azután	tad	after
azzal	ar	with that
azért	tāpēc	because
azóta	kopš	since then
babits	babits	babits (surname)
bach	bahs	bach
baja	nepareizi	baja
bajnai	bajnai	bajnai
bajnok	čempions	champion
bajnoki	čempionāts	champion
bajnokok	čempioni	champions
bajnokság	čempionāts	championship
bajnokságban	čempionāts	championship
bajnokságot	čempionāts	championship
bajor	bavārijas	bavarian
baksis	baksheesh	baksheesh
bakteriális	baktēriju	bacterial
baktérium	baktērija	bacteria
baktériumok	baktērijas	bacteria
baktériumokat	baktērijas	bacteria
bal	bumba	left
balassa	balassa	balassa
balassi	balassi	balassi
balaton	balatona ezers	lake balaton
baleset	avārija	accident
balesetet	avārija	accident
balett	balets	ballet
balkáni	balkāni	balkan
balogh	balogh	balogh (surname)
baloldali	pa kreisi	leftist
balra	pa kreisi	to the left
balról	no kreisās puses	from the left
balti	baltija	baltic
balázs	balāzs	balazs
ban	iekšā	in
band	josla	band
banda	josla	band
bank	banka	bank
bankjegyek	rēķini	banknotes
bankok	bankas	banks
baptizmus	kristības	baptism
bar	bārs	bar
barabás	barabas	barabás
barack	persiku	barack
baranya	baranya	baranya (location)
barbara	barbara	barbara
barcelona	barcelona	barcelona
barcelonában	barcelona	in barcelona
barhesz	challah	challah
barna	brūns	barna (forename)
barney	bārnijs	barney
barokk	baroks	baroque
barométer	barometrs	barometer
barrett	barrett	barrett
barry	barijs	barry
bartók	bartók	bartók
barát	draugs	friend
barátai	draugi	friends
baráti	draudzīgi	friendly
barátja	draugs	friend
barátjának	draugs	for his/her friend
barátját	draugs	friend of
barátjával	draugs	friend
barátnője	draudzene	(her) girlfriend
barátok	draugi	friends
barátság	draudzība	friendship
barátságos	draudzīgi	friendly
barátságot	draudzība	friendship
bass	bass	bass
batman	sikspārņacilvēks	batman
batthyány	batthyány	batthyány
bay	līcis	"not a hungarian word. ""bay"" means ""öböl"" in hungarian."
bayern	bayern	bayern
bazilika	bazilika	basilica
bazsarózsa	peonija	paeonia
bbc	bbc	bbc, british broadcasting corporation
be	ieslēgts	into
beagle	bīgls	a space probe
beatles	sitieni	beatles
beavatkozás	iejaukšanās	interference
beceneve	segvārds	sy's nickname
beck	beks	beck
beckham	bekhems	beckham
becslés	novērtējums	estimate
becslések	aplēses	estimations
becsületes	godīgi	honest
beethoven	bēthovens	beethoven
befejezetlen	nepabeigts	unfinished
befejezett	pabeigts	finished
befejezte	pabeigts	finished
befejezése	pabeigšana	the end
befolyás	ietekmēt	influence
befolyása	ietekme	influence of
befolyásolja	ietekmēt	influence
befolyásolják	ietekmēt	affect
befolyásolta	skarto	influenced
befolyásos	ietekmīgs	influential
befolyással	ietekmēt	with influence
beiratkozott	uzņemts	registered
bejelentette	paziņoja	announced
bejelenti	paziņo	announces
bejutott	kvalifikācijas	qualified
bejárata	ieeja	entrance of
bek	§	world cup
bekerült	iekļauts	got into
bekövetkezett	iekšā	occured
bekövetkező	iekšā	subsequent
bel	bel	bel
bele	uz	into
beleegyezett	piekritu	agreed
beleértve	ieskaitot	included
belföldi	iekšzemes	interior
belga	beļģi	belgian
belgium	beļģija	belgium
belgrád	belgrada	belgrade
bell	zvans	bell
bella	bella	first name
belseje	interjers	interior
belsejében	iekšā	in its innards
belső	iekšējais	internal
belváros	centrs	downtown
belvárosban	centrs	downtown
belvárosi	centrs	downtown
belépett	iekāpa	entered
belül	ietvaros	inside
belüli	iekšā	inside
belőle	tā	it
belőlük	no viņiem	they
bem	bem	bem
bemutatja	dāvanas	presents
bemutatni	klāt	to introduce
bemutatott	attēlots	presented
bemutatta	pasniegts	introduced
bemutatták	pasniegts	introduced
bemutatása	prezentācija	introduction
bemutató	izstāde	presentation
bemutatója	apmācība	premier od sg
ben	iekšā	ben
bencés	benediktīns	benedictine
benedek	benediks	benedict
benefícium	pabalsts	benefitium
benne	tajā	therein
bennük	viņi	they
beosztás	pastu	division
berendezések	iespējas	equipment
berlin	berlīns	berlin
berlinben	berlīnē	berlin
berlini	berlīne	berlin
bernard	bernards	bernard
bertalan	bertalana	bertalan
berzsenyi	bērzseni	berzsenyi (surname)
best	labākais	"not a hungarian word. ""best"" means ""legjobb"" in hungarian"
beszéd	runa	speech
beszéde	runa	speech
beszédei	runas	speeches
beszédek	runas	speeches
beszédet	runa	speech
beszédében	runa	speech
beszél	saruna	speaking
beszélgetés	saruna	conversation
beszélhetünk	mēs varam runāt	we can
beszélik	runā	(they) speak
beszélnek	runā	speak
beszélni	runā	to speak
beszélt	runāts	spoken
beszéltek	runājot	spoke
beszélünk	mēs runājam	we are talk
beszélő	runājot	speaker
beteg	pacients	patient
betegek	pacientiem	patients
betegség	slimība	disease
betegsége	slimība	illness of sy
betegségek	slimības	diseases
betegséget	slimība	disease
bethlen	betlēna	bethlen
betiltotta	aizliegts	banned
betiltották	aizliegts	banned
betöltött	piekrauts	loaded
betört	iebruka	broke into
betű	vēstule	letter
betűk	vēstules	letters
betűkkel	vēstules	in ... letters
bevallása	uzņemšana	sy's confession
bevett	nodibināta	occupied / accepted
bevezetett	ieviesa	introduced
bevezette	ieviesa	introduced
bevezették	ieviesa	introduced
bevezetés	ievads	introduction
bevezetése	ievads	inctroduction of
bevezetését	ieviešana	introduction of
bevezető	ievads	introduction
bevált	labi	established
bevándorlás	imigrācija	immigration
bevándorlók	imigranti	immigrants
bevétele	ieņēmumi	taking
bevételi	ieņēmumi	of revenue
beépített	iebūvēts	built-in
biblia	bībele	bible
bibliai	bībeles	biblical
bibliográfia	bibliogrāfija	bibliography
bibliában	bībele	in holy bible
bibliát	bībele	bible
bihari	bihari	bihari
bill	rēķins	bill
billentyűs	klaviatūra	with keys
billentyűzet	tastatūra	keyboard
billy	billy	billy
bin	atkritumu tvertne	bin
biogeográfia	bioģeogrāfija	biogeography
biológiai	bioloģiskā	biological
bipoláris	bipolāri	bipolar
birodalma	impērija	empire
birodalmat	impērija	empire
birodalmi	impēriskais	imperial
birodalom	impērija	empire
birodalomban	impērija	empire
birtok	īpašums	domain
birtokos	turētājs	owner
birtokában	īpašums	in posession of
bizarr	dīvaini	bizarre
bizonnyal	protams	certainly
bizonyos	noteikti	certain
bizonytalan	nenoteikts	insecure
bizonyult	tas bija	proved to be
bizonyultak	izrādījās	proved
bizonyítja	pierādīt	proves
bizonyítják	šovs	prove
bizonyított	pierādīts	proved
bizonyíték	pierādījumi	evidence
bizonyítékok	pierādījumi	proofs
bizonyítékot	pierādījumi	evidence
bizottság	komisija	committee
bizottsága	komiteja	committee
bizottságot	komiteju	committee
bizottságának	komiteja	committee
biztonság	drošība	security
biztonsági	drošība	security
biztonságos	droši	safe
biztos	protams	certain
biztosan	protams	certainly
biztosít	dotācija	assures
biztosítanak	piedāvājums	provide
biztosítani	apliecināt	provide
biztosítja	nodrošināt	assures
biztosítják	nodrošināt	make sure to
biztosított	apdrošināts	assured
biztosította	ar nosacījumu	provided
biztosították	ar nosacījumu	secured
biztosítva	nodrošinot	assuring
biztosítása	nodrošinot	assuring of
biztosító	apdrošinātājs	operfixi
bizánc	bizantietis	byzantine empire
bizánci	bizantietis	bizantian
bl	bl	short for a type of football championship
blackmore	blackmore	blackmore
blog	emuārs	blog
blogok	emuārus	blogs
blokk	bloki	block
bmw	bmw	bmw
bob	bobslejs	bob
bobby	bobijs	bobby
bocskai	bocskai	from bocska (location)
bokros	kupls	bushy
boldog	laimīgs	happy
bolgár	bulgāru	bulgarian
bolgárok	bulgāri	bulgarians
bolsevik	boļševiki	bolshevik
bolyai	bolyai	bolyai
bolygó	planēta	planet
bolygók	planētas	planets
bolygót	planēta	planet
bolívia	bolīvija	bolivia
bolíviai	bolīvijas	bolivian
bomba	bumba	bomb
bon	bon	bon
bonaparte	bonaparte	person's name
bond	saite	bond
bontakozott	atlocīts	developed
bonyolult	sarežģīts	complicated
bonyolultabb	sarežģītāk	complex
book	grāmata	book
books	grāmatas	books
bor	āda	wine
borderline	robeža	borderline
borok	vīni	wines
borsodabaújzemplén	borsod abaúj zemplén	borsodaújzemplén
borvidék	vīna valsts	wine region
borítja	pārklāts	covers
borított	pārklāts	covered
borító	piesegt	cover
bosnyák	bosniešu	bosnian
bosszút	atriebība	revenge
bosznia	bosnija	bosnia
boszniahercegovina	bosnijahercegovina	bosnia and herzegovina
boszniai	bosnija	bosnian
botrány	skandāls	scandal
botrányt	skandāls	scandal
botticelli	botticelli	botticelli
box	kaste	box
boy	puika	fiú
bozsik	bozsiks	bozsik
bp	bp	budapest
bpest	bpest	"abbreviation of ""budapest"""
brassó	brasovs	brasov
brassói	brasovs	brassói
bratislava	bratislava	bratislava
brazil	brazīlijas	brasil
brazília	brazīlija	brazil
brazíliában	brazīlija	in brasil
bregma	bregma	bregma (region on human skull)
brian	braiens	brian
bridge	tilts	bridge
brit	brits	british
britannia	lielbritānija	britain
britek	briti	british
british	britu	english word
britney	britnija	britney
bronz	bronzas	bronze
bros	bros	bros
brothers	brāļi	brothers
brown	brūns	brown
bruce	bruce	bruce
bruttó	bruto	gross
brüsszel	brisele	brussels
brüsszelben	briselē	in brussels
bt	bt	"abbreviation of ""deposit company)"
bud	pumpuru	bud
buda	buda	buda
budai	buda	buda
budapest	budapešta	budapest
budapesten	budapeštā	budapest
budapesti	no budapeštas	of budapest
budapestre	uz budapeštu	budapest
budavári	buda	budavári
buddha	buda	buddha
buddhista	budistu	buddhist
buddhizmus	budisms	buddhism
budán	buda	at buda
buenos	buenosai	buenos
bukarest	bukareste	bucharest
bukott	kritušo	fallen
bukása	kritums	fall of
bulgária	bulgārija	bulgary
burton	burtons	burton
bush	krūms	bush
busz	autobuss	bus
buszok	autobusi	buses
buzérfélék	rubiaceae	coffee family
bvitamin	bvitamīns	vitamin b
by	autors	by
bácsi	tēvocis	uncle
bácskiskun	tēvocis kiskun	bács-kiskun
bálint	valentīna	bálint
bán	iekšā	ban
bánk	banka	bánk
bánt	apvainot	bothers
bántalmak	sūdzības	complaints
bányászat	kalnrūpniecība	mining
bár	bārs	although
bárki	kāds	anyone
bármely	jebkura	any
bármelyik	arī	whichever
bármikor	jebkurā laikā	anytime
bármilyen	jebkura	any kind of
bárány	aitas	lamb
báró	barons	baron
bástya	bastions	tower
báthory	batorijs	báthory
bátor	drosmīgs	brave
bátyja	brālis	older brother
bázis	bāze	base
bécs	vīne	wien
bécsbe	vīne	to wienna
bécsben	vjennā	in vienna
bécsi	vīnes	viennese
békaszőlőfélék	potamogetonaceae	frog wine
béke	miers	peace
békeszerződés	miera līgums	peace treaty
békeszerződést	miera līgums	peace treaty
békében	miers	in peace
békés	mierīgi	békés
békéscsaba	békéscsaba	békéscsaba
békéscsabán	békéscsaba	in békéscsaba
békét	miers	peace
béla	bela	bob
bélhurut	enterīts	gastro-enteritis
bélyegkép|a	sīktēls | a	thumbnail
bélyegkép|balra|px|a	sīktēls | pa kreisi | px | the	a 120 ph thumbnail on the left
bélyegkép|jobbra|px|	sīktēls | labais | px |	thumbnail i right i pixels
bélyegkép|jobbra|px|az	sīktēls | labais | px | the	thumbnail i right i pixels i the
bélyegkép|jobb|px|a	sīktēls | labais | px | the	thumbnail i right i pixels i a
bélyegkép|px|a	sīktēls | px | the	stamp picture
bélyegkép|px|balra|a	sīktēls | px | pa kreisi | a	stamppicture
bélyegkép|px|jobb|a	sīktēls | px | pa labi | the	thumbnail i pixels i right i a
bérelt	izīrēts	rented
bíboros	kardināls	cardinal
bír	ir	has
bírálta	kritizēja	judged
bírói	tiesas	judge
bíróság	tiesa	court
bírósági	tiesas	judicial
bíróságok	tiesas	courts
bízott	uzticēties	trust
bízta	uzticēts	entrusted with
bízták	uzticēts	entrusted
ból	no plkst	from
bölcs	salvija	wise
bölcsek	gudrs	wise
böngésző	pārlūks	browser
börtönbe	cietums	to jail
börtönben	cietums	in prison
búcsú	atvadīšanās	farewell
búza	kvieši	wheat
büntetés	sods	punishment
büntetést	sods	penalty
büszke	lepns	proud
ből	no plkst	from
bőr	āda	skin
bővebben	vairāk	abundantly
bőven	daudz	easily
bűn	grēks	sin
bűncselekmény	noziegums	crime
bűncselekmények	nodarījumi	crimes
bűnök	noziegumi	crimes
bűnös	grēcinieks	sinful
bűnözés	noziegums	crime
bűnöző	noziedzīgs	criminal
bűnügyi	noziedzīgs	criminal
c++	c ++	c++
caesar	cēzars	caesar
cameron	kamerons	cameron
camp	nometne	camp
campo	campo	campo
can	var	english word
canis	canis	dog
capone	kapone	capone
carl	kārlis	carl
carlo	carlo	carlo
carlos	carlos	carlos
carter	karteris	a person's name
cartman	kartmanis	cartman
cartographia	kartogrāfija	this is an ltd's name
casa	casa	casa
castro	kastro	castro
catherine	katrīna	catherine
cc	kopija	not a hungarian word
cd	kompaktdisks	cd
center	centrā	központ
cenzúra	cenzūra	censorship
cf	sal	cf
chandler	barotājs	english word
channel	kanāls	english word
chaplin	chaplin	chaplin
chapman	chapman	chapman
charles	charles	charles
charlie	čārlijs	charlie
chase	tramdīt	chase
che	che	che
chelsea	chelsea	chelsea
chicago	čikāga	chicago
chile	čīle	chile
chopin	šopēns	chopin
chris	kriss	chris
christian	kristietis	christian
christie	kristīne	christie
christopher	kristofers	christopher
chuck	čaukst	chuck
churchill	bazilika	churchill
cia	cia	cia
cigány	čigāns	gypsy
cigányok	čigāni	gypsies
cigányság	čigāni	gipsy population
cikk	raksts	article
cikke	raksts	article
cikkei	raksti	articles of sy/sg
cikkek	raksti	inconsistent examples (items or articles)
cikkeket	raksti	articles
cikket	raksts	article
ciklus	cikls	term
ciklámen	ciklameni	cy
cikászfélék	velosipēdi	cycad family
ciprus	kipra	cyprus
ciprusi	kipra	from cypus
cirill	kirilica	cirill
cirkon	cirkons	cirkone
city	pilsēta	city
civil	civilā	civil
civilizáció	civilizācija	civilization
clark	clark	clark
class	klase	english word
claude	klibs	claude
cleese	cleese	cleese
cleveland	cleveland	cleveland
cliff	klints	cliff
clint	klint	clint
club	klubs	klub
co	co	co
cobain	kobains	cobain
cobra	kobra	cobra
college	koledža	college
color	krāsa	color
columbia	kolumbija	columbia
comedy	komēdija	comedy
comics	komiksi	comics
concerto	koncerts	concerto
corona	korona	corona
corvin	korvins	corvin
corvina	corvina	corvina
costa	kosta	costa
cross	krustu	cross
cruz	cruz	cruz
csaba	csaba	csaba (forename)
csak	vienkārši	only
csakhamar	tuvākajā laikā	shortly after
csakis	tikai	alone
csaknem	gandrīz	almost
csakúgy	tikai tāpēc	in the same way
család	ģimene	family
családban	ģimene	family
családból	ģimene	from a family
családfája	ģimenes koks	(his) family tree
családi	ģimene	family
családja	viņa ģimene	his family
családjának	ģimene	his family
családját	ģimene	his family
családjával	viņa ģimene	with family
családnak	ģimene	family
családok	ģimenes	familys
családot	ģimene	family
csapadék	lietus	precipitation
csapadékmennyiség	nokrišņu daudzums	rainfall
csapat	komanda	group
csapata	komanda	team of sy/sg
csapatai	komandas	troops of
csapatait	karaspēks	troops
csapatban	komanda	in team
csapatnak	komanda	of the team
csapatok	karaspēks	troops
csapatokat	karaspēks	troops
csapatot	komanda	troop
csapattal	komanda	with team
csapattársa	komandas biedrs	teammate
csapatának	treneris	to the team of
csapatát	komanda	troop of
csapás	katastrofa	strike
csapást	sitiens	blow
csarnok	zāle	hall
csata	cīņa	battle
csatlakozik	pievienoties	joins
