aajo	ไร้สาระ	hospitality
aruleyin	สวัสดี	carried on the back
arun	โรค	disease
aryan	อารยัน	aryan
aráa	พี่ชาย	people from
arábíà	เรียงตามตัวอักษร	arabia
aráròmí	สวัสดี	araromi
arópò	การกินสินบน	substitute
arúgbó	อายุเยอะ	elderly
arọ	กะพร่องกะแพร่ง	cripple
asagun	ชัยชนะ	intial, first (referring to the 13 colonies)
ascii	หา	ascii
aseeto	การตั้งถิ่นฐาน	unfair
aseyori	ความสำเร็จ	success
asipa	การเบี่ยงเบน	first to kill
assessment	การประเมินผล	ayewo
asìko	เรื่องไร้สาระ	time; ni asiko=when
asèdá	ธรรมชาติ	origination
atangbona	อะตอม	emission
atanna	อะตอม	emitter
atigba	อนุญาตได้	from time
atimo	วางแผน	inland
atinrin	ที่หัวเราะ	thin
atun	ม้วนกลับ	also
atunse	การแก้ไข	revision
australia	ออสเตรเลีย	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	austronesian	austronesian
austríà	ออสเตรเลีย	austria
avar	วาร์	avar
awari	การค้นพบ	discovery
awo	จาน	of
awonara	อารมณ์	people of
awoòn	แบบ	people
awon	พวกเขา	they
awuruju	ขลัง	shady
awùjo	มารยาท	society
awújẹ	เรื่องอื้อฉาว	root
aya	กลอน	chest
ayeye	กัลป์	celebration
ayàfi	มันเป็นเรื่องปกติ	only if
ayò	ay	game
azikiwe	กึ๋น	azikwe
aṣòkan	รายบุคคล	united
baa	คือ	be with
babaláwo	diviner	herbalist
bahrain	บาห์เรน	bahrain
balẹ̀	ปล่อยให้เขาเป็น	settled
bang	ปัง	bang
banle	banle	banle
bara	ปีที่แล้ว	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	ตอนนี้	like this
bayìí	ตอนนี้	this
bce	ไป	bce
beauharnais	beauharnais	beauharnais
beijing	ปักกิ่ง	beijing
belarus	เบลารุส	belarus
belgium	เบลเยียม	belgium
bengal	เบงกอล	bengal
bengali	ประเทศบังคลาเทศ	bengal
benin	ม้านั่ง	benin
berber	เบอร์เบอร์	berber
berlin	กรุงเบอร์ลิน	berlin
bernstein	bernstein	bernstein
bharat	สาธารณรัฐอินเดีย	bharat
bharata	กลับมา	bharata
bibeli	คัมภีร์ไบเบิล	bible
biribiri	ถูกบด	intense
black	สีดำ	dudu
bodies	ร่างกาย	ara
bojú	ลองดูสิ	take care
bole	ลำต้น	ground
bolt	สายฟ้า	bolt
bolívar	bolívar	bolivar
brasil	brasil	brazil
brazzaville	บราซซาวิ	brazzaville
bridgeport	บริดจ์	bridgeport
britain	สหราชอาณาจักร	britain
brítánì	อังกฤษ	britain
bu	นั่นคือ	give
buenaventura	buenaventura	buenaventura
bujumbura	ขยาย	bujumbura
burúkú	ชั่วร้าย	bad
by	โดย	does not translate directly, does not exist
bàbá	พ่อ	father
bákannáà	เช่นกัน	likewise
bálè	บอลลูน	lying on the ground
bárakú	ติดยาเสพติด	habitual
báyìí	ตอนนี้	this
bèrẹ̀	เริ่มต้นกับ	started
béè	เป็นแบบนั้น	than
bòtswánà	รถบัส	botswana
búburú	ไม่ดี	bad
búrú	กล้าเข้าไว้	wicked
bẹ̀rẹ̀	ที่จะเริ่มต้น	started
bẹ́	ยากจน	also
bẹ́ljíọ̀m	แร่จำพวกหนึ่ง	belgium
bẹ́ẹ̀ni	ใช่	yes
bẹ́ẹ̀sìni	ใช่	that is it
cairo	ความโกรธ	cairo
calabar	เคี้ยวหมากฝรั่ง	calabar
canaria	คานาเรีย	canaria
cape	แหลม	cape
casablanca	คาซาบลังกา	casablanca
caslon	บ่อนคาสิโน	caslon
cathedral	โบสถ์ใหญ่	cathedral (katidral)
catherine	แคทเธอรี	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	ชาร์ลส์	charles
chaskalson	chaskalson	chaskalson
chebbi	คิด	chebbi
cherished	หัวแก้วหัวแหวน	mu lokunkundun
china	ประเทศจีน	china
cipollone	cipollone	cipollone
clear	ชัดเจน	danmanran
code	รหัส	code
coetsee	coetsee	coetese
coloured	มีสี	alawo dudu
coming	มา	yo jade
compared	เมื่อเทียบกับ	does not directly translate
computers	คอมพิวเตอร์	komputa, ero ayarabiasa
csto	csto	csto
ct	กะรัต	ct
cunha	ลำคอ	cunha
da	และ	back; but in this form it is unnecessary
dagbasoke	โตขึ้น	developing
dandan	จำเป็น	a must
dani	โฮลดิ้ง	hand-held
darapo	ร่วม	joinedd
daru	ทำลาย	scattered
dates	วันที่	pada si
delhi	อย่า	delhi
denver	เดนเวอร์	denver
des	des	des
describes	อธิบาย	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	เดสมอนด์	desmond
development	พัฒนาการ	idagbasoke
didagba	ความเท่าเทียมกัน	growing
didasile	สถานประกอบการ	established
different	ต่าง	iyato
din	ทอด	reduced
dinwoju	เงยหน้าขึ้นมอง	suitable
divoire	divoire	d'ivoire
doju	ประจันหน้า	face
dojú	ประจันหน้า	turn face (full phrase is doju ko, to face)
dominic	โดมินิก	dominic
doni	doni	this day
dote	หลงใหล	rebel
doublehelix	เกลียวคู่	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	โดเวอร์	dova
du	ดู่	hustle
due	เนื่องจาก	nitori
dun	รสอร่อย	sound
dàbíi	แบบนี้	like
dàpò	แทนที่พวกเขา	mix
dá	สร้าง	intervene
dágbó	อายุเยอะ	forest
dájó	ไม่เป็นไร	pass judgement
dálóríi	ขอบคุณ	about
dáradára	ดี	well
dásà	คาซ่า	peculiar way of saying
dáwó	บริจาค	undertake
dé	มาถึง	reach
délànà	ในหลักการ	delana
dépò	ในขอบเขต	to a position
dì	แผ่น	be
dìde	เกิดขึ้น	stand
dìró	ทางขวา	hang on
dìtẹ̀	วางแผน	rebel
díè	เครียด	few
dóko	ดี	upstanding
dólà	ดี	dollar
dún	เสียง	sound
dúró	ยืน	stand (been in existence)
dọ́gba	เท่ากัน	equal
ea	ใช่	ea
eba	eba	shore
ebi	ครอบครัว	family
ecomog	ecomog	ecomog
ede	ภาษา	language
efrem	effem	efrem
egba	อย่างแน่นอน	cane
egbe	ปืน	group
egberundun	หนึ่งพันปี	a thousand year
egbo	แผล	brother
egbé	ความฉิบหาย	party
egbò	แผล	chemicals
egbògi	ทางการแพทย์	don't know this
eighteen	สิบแปด	ejidinlogun
eka	ซับซ้อน	branch, department, part
ekeji	อื่น ๆ	second
eko	การศึกษา	lagos
elede	สุกร	speaker
eleyi	นี้	this
eleyii	แบบนี้	this
elláda	การสร้าง	ellada
eléde	บทคัดย่อ	pig
eléré	นักกีฬา	performer
elòmírà	สาหร่ายทะเล	freedom
elòmíràn	อื่น	another person
emerging	ฉุกเฉิน	ibere-pese
emmanuel	มานูเอล	emmanuel
enikéni	ทุกคน	whoever
enter	เข้าสู่	wole
enì	ช้าง	person
eníbá	ไข้	such person
epa	ถั่วลิสง	groundnut
ernst	เอิร์นส์	ernst
erofo	ตะกอน	swamp
erékùsù	เกาะ	island
eréonítàn	อักษรย่อ	written play
eseese	แผนภาพ	step by step
esia	กำลังมา	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	ชายฝั่ง	beach
euro	ยูโร	euro
euroasia	euroasia	uro-esia
ewe	ใบไม้	ewe
ewé	ใบไม้	leaf
ewì	บทกวี	traditional poem
example	ตัวอย่าง	apere
eya	ประเภท	tribe
eyin	ไข่	previous
eyonomba	eyonomba	digit
eléja	ประมง	fisherman
elòmíràn	คนอื่น	another person
eka	ผล	branches
eléyàmèyà	เชื้อชาติ	tribalism
enu	ปาก	mouth
esin	ศาสนา	horse
esè	เงินที่ได้	leg
ewà	ของความประพฤติ	beauty
fagile	ยกเลิก	cancel
fail	ล้มเหลว	padanu
fan	แฟน	spread
faramó	เป็นไปตาม	accept
faranse	ฝรั่งเศส	french
farsi	arti	farsi
felifeli	กำมะหยี่	fuming
ferde	ferde	verde
fesèmúlè	แหล่งชั่วคราว	established
fe	ต้องการ	want
fi	บันทึก	by
fifihan	แสดง	revealed
fihan	ที่ระบุ	shows, to show
fimú	กำหนดไว้อย่างรวดเร็ว	captivate with
finiki	ฟิสิกส์	finiki
finlandi	ฟินแลนด์	finland
fitino	การทดลอง	judgement
five	ห้า	marun
fodio	fodio	fodio
fofinde	การห้าม	prohibited
fohùn	เสียงร้อง	consent
foniimu	ฟิล์ม	phoneme
force	บังคับ	agbara
foriko	ตัวอย่างเช่น	agreed
fourbase	fourbase	onidi-merin
fowobowe	การจอง	signed
fowó	เพื่อเงิน	sign
fracmv	fracmv	does not translate
francis	ฟรานซิส	francis
fransi	ฝรั่งเศส	france
freetown	ฟรีทาวน์	freetown
fuji	ลบ	fuji
fulani	ขี้ขลาด	fulani
fulbe	ful	fulbe
fun	สำหรับ	for
funra	ตัวเอง	suspect
further	ต่อไป	si
fé	ซานตาเฟ	like
fé	fé	want
fégbé	ลืมมันซะ	for peers
fífò	การบิน	jumping
fífún	ให้	giving
fòye	เข้าใจ	rationalise
fẹ́rẹ̀ẹ́	เกือบจะ	nearly
galatia	เวลานี้	galatia
gba	ตกลง	accept
gbajúgbujà	เป็นที่นิยมมาก	popular
gbale	ความนิยม	flourished
gbaná	ยิงออก	engulf in flame/rage
gbe	การพกพา	set up
gbera	ก้าวต่อไป	move
gberasoke	เร่งความเร็ว	rising
gbese	หนี้สิน	debt
gbigbamulo	การแสวงหาผลประโยชน์	adopted
gbigbewo	การจัดหาเงินทุน	examined
gbilè	แตกออก	gaining ground
gbin	ปลูก	farm
gbogbogbo	ทั่วไป	general
gbongbo	ราก	root
gbàgbọ́	เชื่อ	believe
gbàgùrà	ส่าย	gbagura
gbá	ชน	received
gbáradì	ตื่น	prepare
gbé	มีชีวิต	convey
gbédìí	สร้าง	respect
gbékalè	ช่างไม้	establish
gbéni	มีชีวิต	lift
gbéyèwò	ทบทวน	examine
gbésè	เสนอ	die
gbìnyànjú	ลอง	endeavour
gbìyànju	พยายามอย่างหนัก	try
gbódò	ต้อง	must
gbónmisi	กฎหมาย	strife
gbúnùn	ดมมัน	hostile
gbọ́dọ̀	ต้อง	must
geesi	อังกฤษ	english
geneva	เหล้ายิน	geneva
genevieve	เจเนเวีย	genevieve
georgia	จอร์เจีย	georgia
german	เยอรมัน	german
gfaj	gfaj	gfaj
ghana	กานา	ghana
gidigidi	มาก	significantly
gidí	บ้าน	real
goemai	goemai	goemai
gomina	ผู้ว่าราชการจังหวัด	governor
gorgina	นกอินทรี	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	แกรมมี่	grammy
griiki	กรีก	greek
groove	ร่อง	iho
guanínì	guanni	guanine
guinea	ประเทศกินี	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	ยาว	stretch
gunle	ปืน	arrive
guusu	ทางทิศใต้	south
gv	gv	gv
gèésì	กาว	english
gèésì	อัญมณี	english
gégé	จริงๆ	like
gírámà	gramps	grammar
gòkè	ขึ้น	climb
gún	เจาะ	properly
gúúsù	ทางทิศใต้	south
gẹ̀ẹ́sì	อังกฤษ	english
habsburg	เบิร์กส์	habsburg
haggai	คู่มือ	haggai
haiti	ไฮติ	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	ยาก	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	ฮาวาย	hawaii
heinrich	เฮ็น	heinrich
hendu	ลูกอม	hendu
henny	เฮนนี	henny
heraklion	heraklion	heraklion
hesse	ตกลง	hesse
him	เขา	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	โฮเชยา	hosea
hp	แรงม้า	hp
hugh	ฮิวจ์	hugh
hun	ฮั่น	knit
hungari	ความอดอยาก	hungary
hv	hv	hv
ibalo	เรื่อง	relationship
ibarepo	สมาคม	friendship
ibeji	ฝาแฝด	twins
ibewo	ได้มา	visit
ibiamusin	สถานที่ศักดิ์สิทธิ์	colony
ibile	แบบดั้งเดิม	municipality
ibimo	กำเนิด	birth
ibise	ออกกำลังกาย	official
ibiti	สถานที่	where
ibn	อิบัน	ibn
ibojì	หลุมฝังศพ	burial ground
ibori	ผ้าคลุมหน้า	conquest
ibujoko	ม้านั่ง	place of abode
ibuseripadabosi	การชำระเงินคืน	eternity
ibuso	สู้	bus stop
ibùdó	ค่าย	settlement, seat of, area,
ibùjókòó	ที่นั่ง	settlement
iceland	ประเทศไอซ์แลนด์	iceland
idagbasoke	พัฒนาการ	development
idagbe	ละเลย	isolation
idaji	ครึ่ง	half
idajo	ความยุติธรรม	judgement
idamita	วาด	sector
idari	การควบคุม	control
ideraa	เขียน	comfort
idimule	จับกุม	establishment
idoma	การวาดภาพ	idoma
idupe	ขอบคุณ	thanksgiving
idánwò	การทดลอง	examination
ifija	ประมง	weapon
ifilole	เปิด	resolution
ifitonileti	ข้อมูล	reporting
ifobaje	คอรัปชั่น	coronating
ifofinde	รัฐสภา	prohibition
ifriqiya	การกระตุ้น	ifriqiya
igbeduro	การจัดเตรียม	institute
igbegun	ชัยชนะ	declaration of war
igberiko	ชานเมือง	region
igbesoke	อัพเกรด	upliftment
igbeyawo	งานแต่งงาน	marriage
igbowolori	เเพง	inflation
igbá	ไก่	shell
igbáẹ̀yìn	สุดท้าย	shell
igitòròmogbè	บรอดแบนด์	willow tree
ihan	ที่จะปรากฏ	ray
ihinrere	พระกิตติคุณ	gospel
ijagun	สู้	war
ijakadi	การต่อสู้	wrestling
ijaya	ตื่นตกใจ	fear
ije	การเคลื่อนไหว	eating
ijinnasi	ฟิสิกส์	the wind open
ijosin	นมัสการ	worship
ijó	การเต้นรำ	dance
ikan	หนึ่ง	one of
ikandinlogun	สิบแปด	nineteen
ikaowo	เคารพ	finger
ikejidinlogun	สิบแปด	eighteen
ikeko	การรวบรวม	education
ikerin	ที่สี่	fourth
iketa	เพื่อสืบทอด	third
ikoenu	เพื่อบันทึก	union
ikojopo	ขุม	collection
ikoreokere	การเก็บเกี่ยว	migration
iku	ความตาย	death
ikúgbaèyí	ตอนนี้	death-has-this
ikún	การกรอก	squirrel or wild rodent
ilagbolojo	การเผยแพร่	latitude
ilana	ขั้นตอน	procedure
ilanaoye	กลยุทธ์	knowledge procedure
ilaodo	ป้องกัน	cana
ilaorun	พระอาทิตย์ขึ้น	west
ileasofin	ฝ่ายนิติบัญญัติ	house of law,
ilegiga	บ้าน	higher ground or higher plain
ileife	ละเลย	ile-ife
ileigbimo	ความยินยอม	house of assembly/congress
ileobaluaye	โลก	high chief
ileru	เตาหลอมโลหะ	volcanic
ilopo	สอง	times
iluoba	พลเมือง	king's town
iluorilejoba	โลกาภิวัตน์	capital city
ilé	บ้าน	house
iléayé	บ้าน	earth
iléisé	บ้าน	workplace
ilélódò	บ้าน	ile-lodo
iléàtèéré	บ้าน	ile-ateere
iléńlá	ลาน	ile-nla (area)
ilẹ	พื้น	land
ilẹ̀ayé	โลก	the world
iminle	จับกุม	earthquake
imoero	การลดน้ำหนัก	engineering
imojuto	การดูแล	protection
imusin	วาด	colony
imú	จมูก	nose
imúnisìn	สุขภาพ	slavery
inagberingberi	เนยถั่ว	electromagnetic force
indeed	จริง	paapa julo
indus	สินธุ	indus
inkosi	เพื่อปรับ	inkosi
integration	บูรณาการ	ifowosowopo
inágbéringbérin	สิบเจ็ด	electromagnet
iní	มรดก	possession
inúnibíni	การประหัตประหาร	hatred
ioja	ปลา	fight
ioniani	ยากจน	ionian
iowa	บนโลก	iowa
ipare	เลือนหายไป	abolition
ipawo	การใช้งาน	income
ipele	ชั้น	stage
ipin	บท	share
ipinpa	การมีส่วนร่วม	arm of, branch of
ipinu	การตัดสิน	determination
ipo	ที่ตั้ง	position
ipá	บังคับ	effort
iraja	ที่ตกตะลึง	bargaining
iranlose	ความช่วยเหลือ	mission
ire	การขาย	you
irele	ความนอบน้อม	irele
iringa	สรุป	iringa
irisi	การปรากฏ	appearance
irorun	ง่ายมาก	convenient
irò	เล่าลือ	iro
irúnmọlẹ̀	ฟ้าแลบ	apparition
isa	พอ	jesus, isa or yisa is hausa language
isare	การเร่งความเร็ว	track race
isedaniloro	ตนเองสงสัย	terrorism
iseero	ดู	engineering
isejoba	การกำกับดูแล	governance
iseoba	สิบห้า	civil service
iseoroayeijoun	โบราณคดี	archaeology
iseowo	ธุรกิจ	business
isepinpin	การกระจาย	division
iso	ที่จะมา	unit
isoponomba	isoponomba	addition of numbers
isun	ไหล	spring
isesi	ยอมจำนน	conduct
isè	บริการ	occupation
itali	อิตาลี	italy
itanakole	เรื่องราว	ancient
itelentele	ชัดถ้อยชัดคำ	coming after
itiraka	การต่อสู้	effort
itobi	เพื่อคุยโว	size
itokowo	ธุรกิจ	economy
itorawo	ใจกว้าง	astrology
itu	ที่จะโยน	solution
itumo	ความหมาย	meaning
iwadi	วิจัย	research
iwasi	ประทับใจ	behaviour
iwifun	ข้อมูล	report
iwoile	บ้าน	entering
iwosan	การรักษา	healing
iwulo	มีประโยชน์	use
iwuwa	การปฏิบัติ	behaviour
iyan	ความอดอยาก	argument
iyato	ความแตกต่าง	difference
iyawo	เจ้าสาว	wife
iyen	นั่นคือ	that
iyán	ที่เป็นประกาย	pounded yam
iḷẹ̀	งาน	land
iṣẹ́ìwádìí	วิจัย	research
jabo	รายงาน	give account
jackson	แจ็คสัน	jackson
jadide	ยึดมั่นใน	emerge
jagbe	หลงทาง	shout
jalè	โจรกรรม	steal
jamaica	youtube	jamaica
jamo	ไปให้พ้น	link
jawaharlal	ชิงช้า	jawaharial
jeffrey	เจฟฟรีย์	jeffrey
jeometri	เรขาคณิต	geometry
jesu	พระเยซู	jesus
jfk	เจเอฟเค	jfk
jije	ความเป็นอยู่	existing as
jijinna	ห่างไกล	distance
jiròrò	เต็มไปด้วยหมอก	dialogue
jo	รั่ว	days
jogun	ได้รับการถ่ายทอด	inherit
johann	นรก	johann
johanu	ขอโทษ	john
jojo	cracked	great extent
jopò	เข้าร่วม	gathered
jo	จอห์น	resemble
juneau	จูโน	juneau
jàgídíjàgan	รุนแรง	violent
jáde	ออกมา	out
jé	มา	is
jéésù	พระเยซู	jesus
jìnnàa	ห่างไกล	further
jíje	ความเป็นอยู่	eating
jíjuwó	หาเงิน	waving hands
jíjéomoléyìnkírísítì	เป็นคนใจบุญสุนทาน	followers of christ
jùlo	มากกว่า	most
jùlo	โดยเฉพาะอย่างยิ่ง	most
jùló	ที่สุด	most
jẹ́mánì	เยอรมัน	germany
jọ́	กรุณา	together
kadara	สินทรัพย์	destiny
kagera	ชอบโอ้อวด	kagera
kakiri	ติดตาม	all over
kalinga	cinga	kalinga
kalẹ	พักไว้	established
kampala	เข็มกลัด	kampala
kan		one
kankan	ไม่มี	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	คาร์ล	karl
karun	ที่ห้า	fifth
karùún	ที่ห้า	fifth
kebbi	ปรับ	kebbi
kekere	เล็ก	lower
keko	มีความรู้	learn
kept	เก็บไว้	fi pamo
khoisan	ด้อยกว่า	khoisan
ki	ทำเช่นนั้น	not
kiakiajulo	ที่เร็วที่สุด	rapidly
kiko	การนำ	gathering
kikojo	การรวบรวม	gathering
kikopomo	ความอบอุ่น	mixed
kikoso	รวดเร็ว	colonised
kiko	การเรียนรู้	making
kikuninu	จินตนาการ	size
kilhar	รักแร้	kilhar
kinkinni	สิ่งเล็กน้อย	small quantity
ko	หรือ	don't
kodò	ด้านล่าง	bow
koidu	koidu	koidu
kojá	ข้าม	pass
kolo	kolo	going
komputa	คอมพิวเตอร์	computer
kong	kong	kong
kongo	ถุงยาง	congo
kookan	นี้	one
koto	เหยื่อ	pit
koko	การเรียนรู้	make heap
ko	ko	learn
kori	ไม่อีกแล้ว	not found
krio	krio	krio
ku	คุณ	remain
kwara	จ่าหน้า	kwara
kàríbẹ́ánì	ในภูมิภาค	carribean
kàyéfì	น่าแปลกใจ	amazement
ká	ของ	we
kánfinkése	ความฉลาด	prolonged
kánádà	แน่นอน	canada
káyé	โลก	world
kéesì	ไร้สาระ	keesi
kékéèké	เล็ก	small
kétu	เตรียมตัว	ketu
kémíkà	ในทางตรงกันข้าม	chemical
kéyìn	ต่อมา	come after,
kìnní	เป็นครั้งแรก	first
kí	ทักทาย	not
kíko	การศึกษา	written
kíkọ́	เพื่อเรียนรู้	learning
kínu	จูบ	greet
kírísìtì	คริสต์มาส	christ
kòjòkú	ฝน	kojoku
kòkó	หนู	cocoa
kòmpútà	คอมพิวเตอร์	computer
kòtò	หลุม	pit
kòòsí	มันไม่ใช่	coaching
kòòkan	แต่ละอัน, แต่ละคน	each
kógo	ความรุ่งโรจน์	glorious
kóra	รวบรวม	participate
kùkú	หลังจากนั้น	eventually
kùrání	อัลกุรอาน	quran
kúkú	หลังจากนั้น	now
kúkúrú	โดยสังเขป	short
kúrò	ไป	away
kútò	ทุกอย่าง	kuto (place)
kúùkù	ในทางตรงกันข้าม	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	ที่สี่	4
kẹsàán	ทันที	ninth
kẹta	ที่สาม	third
kẹ́nyà	การแยก	kenya
kọjá	ผ่านไป	pass through
kọ̀mpútà	คอมพิวเตอร์	computer
kọ́kọ́	เป็นครั้งแรก	first
kọ́lọ́mú	คอลัมน์	breast owner
kọ́ni	ขาด	teach
laa	ไปให้พ้น	will
laada	เตะ	good fortune
laaka	ถอยหลัง	important
laarin	ภายใน	between
labalaba	ผีเสื้อ	butterfly
labee	ภายใต้	under
lade	รับภาระ	crowned
laid	วาง	tele
laifi	ความผิด	without
languages	ภาษา	ede
lanka	ลังกา	lanka
lasile	ปล่อย	laid out
latibe	จากที่นั่น	from there
latigbana	ตั้งแต่นั้นมา	from then on
latini	ละติน	latin
latvia	ลัตเวีย	latvia
lay	วาง	da
le	สามารถ	can
leboa	lebo	leboa
lekun	ทวีความรุนแรงมาก	open door
leo	สิงห์	leo
lese	เสา	firmly
less	น้อยกว่า	okeresi
lewaju	ต่อไปข้างหน้า	front
lewon	การจำคุก	imprisonment
leyi	นี่มันคือ	mispelled...should be 'leyin', after
leè	อาจ	can
lilelile	ไม่ยอมใครง่ายๆ	tightly
lilemo	กัญชา	sticky
lilongwe	ลิลองเว	lilongwe
lindi	น้ำด่าง	lindi
linear	เชิงเส้น	dogba
links	การเชื่อมโยง	eka; this is a new word and does not really exist in yoruba
lodo	แทนที่	from
lojowaju	ในอนาคต	the future
lojukokoro	โลภ	covetousness
lojúgun	เขาทำลาย	knee
lokunkun	กระปรี้กระเปร่า	in the dark
loloselu	ในทางการเมือง	in politics
lopolopo	มาก	so many
loruko	ชื่อ	name
louvre	บานเกล็ด่	louvre
lovers	คนรัก	awon olufe
low	ต่ำ	diye
lo	ต่อไป	than
luanda	ลูอันดา	luanda
luther	ลูเทอร์	luther
lynton	lynton	lynton
làgba	เท่ากัน	more important
lààmi	สัญญาณ	sign
lààmì	สัญญาณ	significant
