$	usd	(dollar sign)
adaptés	pielāgots	adapted
adhésion	dalība	adhesion
adjoint	palīgs	assistant
admet	atzīst	admits
administratif	administratīvā	administrative
administratifs	administratīvā	administrative
administration	administrācija	administration
administrations	administrācijas	administrations
administrative	administratīvā	administrative
administratives	administratīvā	administration
admiration	apbrīna	admiration
admis	atzina	accept
adn	dna	dna
adolescence	pusaudža gados	adolescence
adolescent	pusaudzis	teenager
adolescents	pusaudžiem	teenagers
adolf	ādolfs	adolf
adopte	pieņemts	adopt
adopter	adoptēt	adopt
adopté	pieņemts	adopted
adoptée	pieņemts	adopted
adresse	adrese	address
adresses	adreses	addresses
adulte	pieaugušais	adult
adultes	pieaugušajiem	adults
adversaire	pretinieks	adversary
adversaires	pretinieki	adversaries
affaibli	novājināta	weakened
affaire	lietu	case
affaires	bizness	scandals
affecte	skarto	affect
affecté	skarto	affects
affiche	plakāts	poster
affiches	plakāti	posters
affiliation	piederība	affiliation
affirmant	apgalvojot	declaring
affirme	saka	assert
affirment	prasība	maintain
affirmer	apstiprināt	assert
affirmé	apgalvoja	declared
affronte	konfrontēt	fights
affronter	konfrontēt	confront
afghanistan	afganistāna	afghanistan
afin	uz	to
africain	afrikāņu	african
africaine	afrikāņu	african
africaines	afrikāņu	african
africains	afrikāņi	aficans
afrique	āfrika	africa
afro-asiatique	afro-aziāti	of africa & asia
afroaméricain	afroamerikānis	afro-american
age	vecums	age
agence	aģentūra	agency
agences	aģentūras	agencies
agent	aģents	agent
agents	aģenti	agents
agglomération	aglomerācija	metropolis
agglomérations	aglomerācijas	settlements
agir	tēlot	act
agit	akti	acts
agricole	lauksaimniecības	agricultural
agricoles	lauksaimniecības	agricultural
agriculture	lauksaimniecība	farming
ahmed	ahmeds	ahmed
ai	ir	have
aide	palīdzēt	aid
aider	palīdzēt	help
aides	palīgi	aid
aidé	palīdzēt	helped
aient	ir	had
aiguë	akūta	acute
ailes	spārni	wings
ailleurs	citur	otherwise or furthermore
aime	mīlestība	love
aimé	mīlestība	loved
ainsi	tātad	also
air	gaiss	air
airbus	airbus	airbus
aire	platība	saccompagne
aires	apgabali	areas
airs	melodijas	sky
aisément	viegli	easily
ait	ir	has
ajoutant	pievienojot	adding
ajoute	pievienot	add
ajouter	pievienot	add
ajouté	pievienots	added
ajoutée	pievienots	added
akon	akon	akon
al	al	al
alain	alain	alain
alan	alan	alan
albanais	albāņu	albanian
albert	alberts	albert
alberto	alberto	alberto
albin	albumīns	albin
album	albumu	album
albums	albumus	albums
alentours	vide	vicinity, environs
alex	alekss	alex
alexander	aleksandrs	alexander
alexandre	aleksandrs	alexander
alexandrie	aleksandrija	alexandria
alfred	alfrēds	alfred
alger	alger	alger
algérie	alžīrija	algeria
algérien	alžīrietis	algerian
algérienne	alžīrietis	algerian
algériens	alžīrieši	algerian
ali	ali	ali
alias	a.k.a	alias
alice	alise	alice
alimentaire	ēdiens	alimentary
alimentaires	ēdiens	food
alimentation	ēdiens	food
aliments	ēdiens	food
alive	dzīvs	alive
allah	allāhs	allah
allaient	gāja	were going to
allait	gatavojās	will
allan	alans	allan
allant	iet	going
allemagne	vācija	allemagne
allemand	vācu	german
allemandes	vācu	german
allemands	vācu	german
allen	allen	allen
aller	iet	go
alliages	sakausējumi	alloy
alliance	alianse	alliance
alliances	alianses	alliance
allié	sabiedrotais	allied
alliées	sabiedrotie	allied
alliés	sabiedrotie	allies
allusion	mājiens	allusion
alors	tātad	and so
alpes	alpi	alps
alpha	alfa	alpha
alphabet	alfabēts	alphabet
alphonse	alfons	alponse
alsace	elzasa	alsace
alsacien	elzasas	alsacian
alsacienne	elzasas	alsacian
alsaciens	elzasieši	alsacian
alternatif	alternatīva	alternative
alternative	alternatīva	alternative
alternatives	alternatīvas	alternatives
altitude	augstumā	altitude
aléatoire	izlases veidā	random
amants	cienītājiem	lovers
amateur	amatieris	amateur
amateurs	cienītājiem	amateurs
ambiance	gaisotne	environment
ambitieux	ambiciozi	ambitious
ambition	ambīcijas	ambition
amené	atnest	brought
america	amerika	america
american	amerikānis	american
ami	draugs	friend
amie	draugs	friend
aminés	amīni	amino
amis	draugi	friends
amitié	draudzība	friendship
amour	mīlestība	amour
amoureuse	iemīlējies	lovely
amoureux	mīļākais	in love
amours	mīl	love affairs
ampleur	lielums	magnitude
amsterdam	amsterdama	amsterdam
amène	atnest	brings
amélioration	uzlabošana	improvement
améliorer	uzlabot	to improve
aménagements	ērtības	set-up
américain	amerikāņu	american
américaine	amerikānis	american
américaines	amerikānis	u.s.
américains	amerikānis	american
amérindiens	dzimtais amerikānis	american indians
amérique	amerika	america
amériques	amerikāņi	america
an	gadā	year
analogue	līdzīgi	analogous
analyse	analīze	analysis
analyses	analīzes	analyzes
ancien	bijušais	ancient
ancienne	senatne	ancient
anciennement	agrāk	formerly
anciennes	vecs	ancient
anciens	vecs	ancient
ancêtre	sencis	ancestor
ancêtres	senči	ancestors
and	un	and
anderson	andersons	anderson
andes	andes	andes
andrea	andrea	andrea (man's name)
andrew	iemeta	andrew
andromède	andromeda	andromede
andré	andrē	andre
andy	andy	andy
anecdotes	anekdotes	anecdotes
angel	eņģelis	angel
angeles	eņģeļi	angeles
angelina	angelina	angelina
anges	eņģeļi	angels
anglais	angļu	english
anglaise	angļu	english
anglaises	angļu	english
angle	leņķis	angle
angles	leņķi	angle
angleterre	anglija	england
anglophone	angliski runājošs	englis-speaking
anglophones	angliski runājošie	english-speaking
anglosaxons	anglosaksoni	anglosaxons
animal	dzīvnieks	animal
animale	dzīvnieks	animal
animales	dzīvnieks	animals
animation	animācija	animation
animaux	dzīvnieki	animals
anime	anime	animate
animé	dzīva	animated
animée	dzīva	animated
animés	animēts	motion
ann	gada	ann
anna	anna	anna
anne	anne	anne
anneaux	gredzeni	rings
annexe	pielikums	annexe
annexes	pielikumi	annexes
annie	annija	annie
anniversaire	gadadiena	birthday
annonce	sludinājums	announces
annoncé	sludinājums	announced
annoncée	paziņoja	announced
annuel	gada	yearly
annuelle	gada	yearly
annuelles	gada	annual
annulé	atcelts	cancelled
année	gadā	years
annéelà	gadā	that year
années	gados	years
anomalies	anomālijas	anormalities
anonyme	anonīms	anonymous
anorchidie	anorhidisms	anorchide
ans	gados	years old
antarctique	antarktika	antarctica
antenne	antena	antenna
antennes	antenas	antennas
anthony	antonijs	anthony
anthropologie	antropoloģija	anthropology
anticorps	antiviela	antibody
antigènes	antigēni	antigens
antilles	antiles	west indies
antique	antīkās	ancient
antiques	senais	antique
antiquité	senatne	antiquity
antisémite	antisemītisks	anti-semite
antoine	antoine	anthony
antonio	antonio	antonio (man's name)
antérieure	iepriekšējā	previous
antérieurs	iepriekšējā	former
août	augusts	august
aphrodite	afrodīte	aphrodite
apogée	apogejs	highest point
apollo	apollo	apollo
apothécie	afērija	apothecie
apparaissent	parādās	appear
apparait	parādās	appears
apparaît	parādās	appeared
apparaître	parādās	appear
appareil	aparāti	device
appareils	ierīces	devices
apparemment	acīmredzot	apparently
apparence	izskats	appearance
apparition	izskats	appearance
apparitions	parādīšanās	appearances
appartement	dzīvoklis	flat
appartements	dzīvokļi	apartments
appartenance	dalība	membership
appartenant	piederība	belonging
appartiennent	piederēt	belongs
appartient	pieder	belongs
apparu	parādījās	appeared
apparue	parādījās	appeared
apparues	parādījās	appeared
apparus	parādījās	appeared
appel	zvana	call
appeler	zvana	call
appellation	apelācija	name
appelle	zvana	call
appellent	zvana	call
appelé	sauca	called
appelée	sauca	called
appelées	sauca	called
appelés	sauca	called
apple	ābolu	apple
application	pieteikums	application
applications	aplikācijas	applications
applique	pielietots	apply
appliquer	pieteikties	apply
appliqué	pielietots	applied
appliquée	pielietots	applied
appliquées	pielietots	applied
apport	atnest	contribution
apporte	atnest	brings
apportent	atnest	bring
apporter	atnest	bring
apports	iemaksas	contribution
apporté	atnesa	brought
apportées	atnesa	brought
apprenant	audzēknis	learner
apprend	mācīties	learns
apprendre	mācīties	learn
apprentissage	mācīšanās	learning
appris	iemācījies	learned
approche	pieeja	approach
approches	pieejas	approaches
approximativement	aptuveni	approximately
apprécie	izbaudi	appreciate
apprécié	novērtēts	liked
appui	atbalstu	support
après	pēc	after
apôtres	apustuļi	apostles
ar	ar	ar
arabe	arābu	arab
arabes	arābu	arab
arabie	arābija	arabia
aragon	aragons	aragon
arbitraire	patvaļīgs	arbitrary
arbre	koks	tree
arbres	koki	trees
arc	priekšgala	arc
archaïque	arhaisks	archaic
architecte	arhitekts	architect
architectes	arhitekti	architects
architectural	arhitektūras	architectural
architecture	arhitektūra	architecture
archives	arhīvi	archives
archéologique	arheoloģisko	archaeological
archéologiques	arheoloģisko	archeological
arcs	arkas	arches
arcsboutants	augstbērni	arch
arctique	arktika	arctic
are	ir	are
argent	nauda	money
argentin	argentīnietis	argentinian
argentine	argentīna	argentina
argument	arguments	plea
arguments	argumenti	case
aristote	aristotelis	aristotle
armageddon	armagedona	armageddon
armand	armands	armand
arme	bruņots	weapon
armes	ieročus	weapons
armoiries	ģērbonis	arms
armstrong	ārmstrongs	armstrong
armé	bruņots	armed
armée	armija	army
armées	armijas	armies
arménien	armēņu	armenian
arnaud	arnaud	arnaud
arnold	arnolds	arnold
arrangements	vienošanās	arrangements
arrivant	ierodas	arriving
arrive	nāc	arrive
arrivent	ierodas	arrive
arriver	ierodas	arrive to (achieve)
arrivé	nāc	arrived
arrivée	ierašanās	arrival
arrivés	ieradās	arrives
arrière	atpakaļ	back
arrondissement	pilsēta	ward
arrondissements	pilsētas	wards
arrêt	apstāties	stoppage
arrêter	pietura	arrest
arrêté	apstājās	decree
arrêtés	arestēts	arrested
arsenal	arsenāls	arsenal
art	māksla	art
arthur	artūrs	arthur
article	raksts	article
articles	raksti	articles
artificielle	mākslīgs	artificial
artisans	amatnieki	artisans
artiste	mākslinieks	artist
artistes	mākslinieki	artists
artistique	māksliniecisks	artistic
artistiques	māksliniecisks	artistic
arts	māksla	arts
as	dūzis	as
asiatique	āzijas	asian
asiatiques	aziātiem	asiatics
asie	āzija	asia
aspect	aspekts	aspect
aspects	aspektiem	aspects
assassinat	slepkavība	murder
assassiné	noslepkavots	murdered
assassinés	noslepkavots	assasinated
assemblée	montāža	assembly
assemblées	asamblejas	assemblies
assez	pietiekami	enough
assis	sēdus	to sit down
assiste	apmeklēt	aids
assister	palīdzēt	witness(1st one) help (2nd) attending (for the german emperor)
assisté	palīdzēja	asisted
association	asociācija	partnership
associations	asociācijas	associations
associe	asociētais	associates
associé	asociētais	associated
associée	saistīta	associated
associées	saistīta	associated
associés	domubiedri	associates
assurant	nodrošinot	assuring
assure	apliecina	ensures
assurent	apgalvot	assure
assurer	nodrošināt	ensure
assuré	apdrošināts	ensured
assurée	pārliecināts	ensured
astier	astier	astier
astronomique	astronomisks	astronomical
asynchrone	asinhroni	asynchronous
at	plkst	at
ateliers	semināri	workshop
athènes	atēnas	athens
athéna	atēna	athena
atlantique	atlantijas okeāns	atlantic
atlas	atlants	atlas
atmosphère	atmosfēra	atmosphere
atmosphérique	atmosfēras	atmospheric
atome	atoms	atom
atomes	atomi	atoms
atomique	atomu	atomic
atomiques	atomu	atomic
atp	atp	atp
attaché	pievienots	attached
attachée	pievienots	attached
attaquant	uzbrucējs	attacker
attaque	uzbrukums	attack
attaquer	uzbrukums	attack
attaques	uzbrukumiem	attacks
attaqué	uzbrukums	attack
atteignant	sasniedzot	tu atte'ignant
atteignent	sasniegt	reach
atteindre	sasniegt	reach
atteint	sasniegts	reached
atteinte	sasniedza	danger
atteintes	uzbrukumiem	reached
atteints	sasniedza	hit
attend	gaida	expected
attendant	gaida	waiting
attendre	pagaidiet	expect
attendu	gaidāms	expected
attentat	uzbrukums	attack
attentats	uzbrukumiem	attacks
attention	brīdinājums	attention
attire	piesaistīja	attracts
attirent	piesaistīt	attract
attirer	piesaistīt	to attract
attiré	piesaistīja	drawn
attitude	attieksme	attitude
attribue	piešķir	attribute
attribuer	atribūts	granted
attribué	piešķirts	attributes
attribuée	piešķirts	attributed
attribuées	piešķirts	granted
attribués	piešķirts	assigned
au	plkst	at
aucun	nē	none
aucune	jebkura	none
audelà	tālāk	beyond
audessus	virs	on top
audience	auditorija	audience
audiences	auditorijas	audience
audio	audio	audio
augmentant	pieaug	increasing
augmentation	palielināt	increase
augmente	palielinās	increases
augmentent	palielināt	increase
augmenter	palielināt	increase
augmenté	palielinās	raised
augmentée	palielināts	raised
auguste	augusts	(man's name)
augustin	augustīns	augustine
aujourdhui	šodien	today
auparavant	pirms tam	previously
auprès	tuvumā	bp
auquel	uz kuru	to which
aura	būs	aura
auraient	būtu	would have
aurait	būtu	would have
auront	būs	will
aurès	ir	aures
aus	aus	aus
auschwitz	aušvice	auschwitz
aussi	arī	also
aussitôt	tūlīt	as soon as
austin	austin	austin
australie	austrālija	australia
australien	austrālietis	australian
australienne	austrālietis	australian
australiens	austrālieši	australians
autant	tikpat daudz	as much
auteur	autore	author
auteurs	autori	authors
authentique	autentisks	authentic
authority	autoritāte	authority
autisme	autisms	autism
autobiographie	autobiogrāfija	autobiography
autochtones	pamatiedzīvotāji	aboriginal
automatique	automātiska	automatic
automatiquement	automātiski	automatically
automne	rudens	autumn
automobile	automašīna	motorcar
autonome	autonomi	independent
autonomes	autonomi	autonomous
autonomie	autonomija	autonomy
autorisation	atļauju	autorisation
autorise	atļauts	authorizes
autorisé	atļauts	authorised
autorisée	atļauts	authorized
autorisés	atļauts	authorized
autoritaire	autoritārs	autoritary
autorité	autoritāte	authority
autorités	varas iestādes	authorities
autoroutes	šosejas	highways
autour	apkārt	around
autre	citi	other - else - another
autrefois	vecajās dienās	in the past
autrement	citi	differently
autres	citi	other
autriche	austrijā	austria
autrichien	austrietis	austrian
autrichienne	austrietis	austrian
autrichiens	austrieši	austrian
aux	uz	at the - at the - in the
auxquelles	uz kuru	to which
auxquels	uz kuru	to which (here: on which)
avaient	bija	had
avait	bija	had
avance	uzlabotas	advance
avancé	uzlabotas	advances
avancée	uzlabotas	progress
avancées	uzlabotas	advanced
avant	pirms tam	before
avantage	priekšrocība	advantage
avantages	ieguvumi	benefits
avatar	iemiesojums	avatar
avec	ar	with
avenir	nākt klajā	future
aventure	piedzīvojums	adventure
aventures	piedzīvojumi	adventures
avenue	avēnija	avenue
aveugle	akls	blind
avion	lidmašīna	plane
avions	lidmašīnas	aircraft
avis	paziņojums	opinion
avocat	advokāts	lawyer
avoir	piederēt	to have
avons	mums ir	have
avoue	atzīsti	admits
avril	aprīlī	april
awards	balvas	awards
axe	ass	axis
axes	asis	axis
ayant	kam	with
azoture	azīds	azoturia
aérien	gaiss	aerien
aérienne	gaisa	aerial
aériennes	gaisa	aerial
aéronefs	lidmašīnas	aircraft
aéroport	lidosta	airport
aéroports	lidostas	airports
aîné	vecākais	elder
b	b	b
babylone	babilona	babylon
bach	bahs	bach
back	atpakaļ	back
backlash	pretstats	backlash
bacon	speķis	bacon
bactérie	baktērija	bacteria
bactéries	baktērijas	bacteria
bad	slikti	bad
bafta	bafta	bafta
baie	līcis	bay
bain	vanna	bath
bains	vannas	baths
baiser	skūpsts	kiss
baisse	nomest	decrease
bal	bumba	ball
balance	līdzsvars	balance
bali	bali	bali
balkans	balkāni	balkans
ball	bumba	ball
ballade	balāde	ballad
balle	bumba	ball
balles	lodes	balls
ballet	balets	ballet
ballon	bumba	balloon
baltique	baltija	baltic
balzac	balzaks	balzac
bancaire	banku darbība	banking
band	josla	band from tv
bande	pārsējs	band
bandes	joslas	strips
bank	banka	bank
banlieue	priekšpilsētas	suburb
banque	banka	bank
banques	bankas	banks
baptisme	kristības	baptist
baptiste	baptists	baptist
baptisé	kristīts	baptizes
baptisée	kristīts	baptised
baptême	kristības	baptism
bar	bārs	bar
barack	baraks	barack
barbara	barbara	barbara
barbares	barbari	barbarians
barcelone	barcelona	barcelona
bardot	bardots	bardot
baromètre	barometrs	barometre
baron	barons	baron
baroque	baroka	barogue
barrage	aizsprosts	dam
barrages	aizsprosti	dam
barre	slēgts	bar
barres	bāri	bars
barrett	barrett	barnett
barrière	žogs	barrier
barry	barijs	barry
barça	barca	barça
bas	zems	down
base	balstīta	base
bases	pamati	bases
bash	bash	bash
basilique	bazilika	basilica
basketball	basketbols	basketball
basque	basku	basque
basse	zems	bass guitar
basses	bass	low
bassin	baseins	basin
bassins	baseini	basin
bassiste	basģitārists	bassist
bastille	bastīlija	bastille
basé	balstīta	base
basée	balstīta	based
basées	balstīta	based
basés	balstīta	based
bat	nūja	beats
bataille	cīņa	battle
batailles	cīņas	combats
bateau	laiva	ship
bateaux	laivas	boats
batista	batista	batista
batman	sikspārņacilvēks	batman
battant	lido	beating
battent	pārspēt	beat
batterie	bungas	battery
batteur	bundzinieks	drummer
battle	cīņa	battle
battre	pārspēt	beat
battu	piekauts	beaten
battue	sasists	beaten
baudelaire	baudelaire	baudelaire
bauer	bauers	bauer
bavière	bavārija	bavaria
bayern	bayern	bayern
bbc	bbc	bbc
bd	bd	boulevard
beach	pludmale	beach
beatles	sitieni	beatles
beau	glīts	beauty
beaucoup	daudz	a lot
beauté	skaistums	beauty
beaux	skaists	beautiful
beauxarts	tēlotājmāksla	fine-arts
beethoven	bēthovens	beethoven
bel	skaists	beautiful
belge	beļģi	belgian
belges	beļģi	belgians
belgique	beļģija	belgium
belgrade	belgrada	belgrad
bell	zvans	bell
bella	bella	bella
belle	skaists	beautiful
belles	skaists	beautiful
belmondo	belmondo	belmondo
ben	labi	ben
bender	bender	bender
benjamin	jaunākais	youngest
benoit	labi	benedict
benoît	benedikt	benoit
benzema	benzēma	benzema
berbère	berberi	berber
berbères	berberu	berber
berceau	šūpulis	cradle
berger	gans	shepherd
berlin	berlīne	berlin
berlusconi	berluskoni	berlusconi
bernard	bernards	bernard
berne	pusmasts	bern
bertrand	bertrand	bertrand
besoin	vajag	need
besoins	vajadzībām	needs
beurre	sviests	butter
beyoncé	bejonse	beyonce
biais	aizspriedums	through
bible	bībele	bible
bibliographie	bibliogrāfija	bibliography
bibliothèque	bibliotēka	library
bibliothèques	bibliotēkas	libraries
biblique	bībeles	biblical
bien	labi	all right
biens	preces	goods
bientôt	drīz	coming soon
bienêtre	labsajūta	wellbeing
bijoux	rotaslietas	jewelry
bilan	bilance	balance sheet
bilingue	bilingvāli	fluent
bill	rēķins	bill
billboard	stends	billboard
billet	biļete	ticket
billets	biļetes	tickets
billie	billijs	billie
biodiversité	bioloģiskā daudzveidība	biodiversity
biographes	biogrāfi	biographers
biographie	biogrāfija	biography
biographies	biogrāfijas	biographies
biologie	bioloģija	biology
biologique	organisks	biological
biologiques	organisks	biological
bipolaire	bipolāri	bipolar
bière	alus	beer
black	melns	black
blaise	vainot	blaise  ( name )
blake	blake	blake
blanc	balts	white
blanche	balts	white
blanches	balts	white
blancs	balts	whites
blason	ģērbonis	emblem
bleach	balinātājs	bleach
blessure	ievainojums	injury
blessures	ievainojumi	injuries
blessé	ievainots	hurt
blessés	ievainoti	wounded
bleu	zils	blue
bleue	zils	blue
bleus	zils	blue
bloc	bloķēt	bloc
blocs	bloki	blocks
blocus	blokāde	blockade
blog	emuārs	blog
blogs	emuārus	blogs
blood	asinis	blood
blue	zils	blue
blues	blūza	blues
bluray	bluray	blu-ray
blé	kukurūza	wheat
bob	boba	bob
boeing	boeing	boeing
bohême	bohēmija	bohemia
boire	dzert	drink
bois	koksne	wood
boisson	dzert	drink
boissons	dzērieni	drink
boleyn	boleyn	boleyn
bolivie	bolīvija	bolivia
bolt	skrūve	bolt ( name )
bombardement	bombardēšanas reids	bombardement
bombardements	bombardēšana	bombardment
bombe	bumba	bomb
bon	nu labi	good
bonaparte	bonaparte	bonaparte
bond	lēkt	bond
bonheur	laime	happiness
bonne	labi	good
bonnes	labi	good
bono	bono	bono
bons	labi	good
bonus	bonuss	extra
booba	booba	booba
bord	mala	seashore (first) alongside (for the 2nd) edge (for the last)
bordeaux	bordo	bordeaux
bords	malas	banks
bordure	robeža	edge
boris	boriss	boris
boston	bostona	boston
botanique	botāniskais	botanical
bouche	mute	mouth
bouclier	vairogs	shield
bouddha	buda	budhha
bouddhisme	budisms	buddhism
bouddhiste	budistu	buddhist
boulevard	bulvāris	boulevard
bourbon	burbonu	bourbon
bourdieu	bourdieu	bourdieau
bourgeois	buržuāzisks	middle-class
bourgeoisie	buržuāzija	bourgeoisie
bourgogne	burgundija	burgundy
bourguignons	burgundieši	burgundy
bourse	birža	stock exchange
bout	beigas	part
boutiques	veikalos	shops
bovary	bovarijs	bovarie
bowie	bowie	bowie
box	kaste	boite
boxe	bokss	boxing
boy	puika	boy
boyz	puika	boyz
boîte	kaste	club
brad	breds	brad
bram	bram	bram
branche	pieslēgts	sector
branches	zari	branches
bras	rokas	arms
break	pārtraukums	break
bree	breiks	bree
bref	īsumā	bref
bregma	bregma	(medical term)
brel	brel	brel
bretagne	bretaņa	brittany
breton	bretoņu	breton
bretonne	bretoņu	breton
bretons	bretoni	bretons
brevet	patents	patent
brian	braiens	brian
bridge	tilts	bridge
brigitte	brigitte	brigitte
brillant	izcili	brilliant
brillante	izcili	brilliant
britannique	britu	britannic
britanniques	britu	british
britney	britnija	britney
brièvement	īsi	briefly
bronze	bronzas	bronze
brooklyn	bruklina	brooklyn
brothers	brāļi	brothers
brown	brūns	brown
bruce	bruce	bruce
bruit	troksnis	noise
brun	brūns	brown
bruno	bruno	bruno
brut	bruto	crude
bruxelles	brisele	bruxelles
bryan	bryan	bryan
brève	īsi	brief
brésil	brazīlija	brazil
brésilien	brazīlijas	brazilian
brûler	sadedzināt	"burn, burn down (to indicate ""eradicate"")"
budapest	budapesta	budapest
budget	budžets	budget
budgétaire	budžeta	budgetary
buffy	bufejs	buffy
building	ēka	constructing
bulgare	bulgāru	bulgarian
bulgarie	bulgārija	bulgaria
bull	bullis	bull
bulle	burbulis	ball
bulls	buļļi	bulls
bureau	birojs	office
bureaux	birojos	offices
burkina	burkina	burkina
burton	burtons	burton
bus	autobuss	bus
bush	krūms	bush
business	bizness	business
buste	krūtīs	bust (statue)
but	mērķis	objective
buteur	vārtsargs	shooter
buts	mērķus	goals
bwv	bwv	bwv
byzance	bizantijā	byzantium
byzantin	bizantietis	byzantine
byzantins	bizantietis	byzantine
bâle	bāzele	bale
bâti	būvēts	built
bâtiment	ēka	building
bâtiments	ēkas	building
bébé	bērniņš	baby
bémol	plakans	flat
bénin	labdabīgi	mild
bénéfice	peļņa	profit
bénéfices	peļņa	benefits
bénéficie	bauda	benefit
bénéficient	labums	benefit
bénéficier	labums	benefit
bénéficié	guva labumu	benefited
bétail	lopi	livestock
béton	betona	concrete
bœuf	liellopa gaļa	beef
c	vs.	c
ca	tā	ca
cabine	kajīte	boot
cabinet	kabinets	firm
cacao	kakao	cocoa
cache	slēpts	hide
cacher	paslēpties	hide
caché	slēpts	hidden
cachée	slēpts	hidden
cadeaux	dāvanas	gifts
cadet	kadets	younger
cadre	rāmis	through
cadres	rāmji	frameworks
café	kafija	coffee
caféine	kofeīns	cafein
cafés	kafejnīcas	coffees
cage	būris	cage
cahier	piezīmju grāmatiņa	notebook
cahiers	piezīmju grāmatiņas	book
caille	paipalas	callie
caire	kaira	cairo
caisse	izrakstīšanās	fund
caisses	kastes	funds
calcaire	kaļķakmens	limestone
calcium	kalcijs	calcium
calcul	aprēķins	calculation
calculer	aprēķināt	compute
calculs	aprēķini	calculus
calculé	aprēķināts	calculated
calendrier	kalendārs	calendar
califat	kalifāts	caliphate
calife	kalifs	caliph
california	kalifornijā	california
californie	kalifornijā	california
calme	mierīgi	peace
camarades	biedriem	comrades
cambodge	kambodža	cambodgia
cambridge	kembridža	cambridge
cameron	kamerons	cameron
cameroun	kamerūna	cameroon
camille	camille	camille
camp	nometne	camp
campagne	kampaņa	campaign
campagnes	kampaņas	campaigns
camps	nometnes	sides
campus	pilsētiņā	campus
camus	camus	camus
caméra	kamera	camera
caméras	kameras	cameras
canada	kanāda	canada
canadien	kanādietis	canadian
canadienne	kanādietis	canadian
canadiens	kanādieši	canadian
canal	kanāls	canal
canal+	kanāls +	canal+
canard	pīle	duck
canaries	kanārijputniņš	canary islands
canaux	kanāli	channels
cancer	vēzis	cancer
cancers	vēzi	cancers
candidat	kandidāts	candidate
candidats	kandidāti	candidates
candidature	pieteikums	candidacy
candide	vaļsirdīgs	candid
canis	canis	canis
canne	cukurniedres	cane
cannes	spieķi	canes
canon	lielgabalu	canon
canot	kanoe	dinghy
canots	kanoe	lifeboats
canton	kantons	canton
cantons	kantoni	districts
cap	apmetnis	cape
capable	spējīgs	capable
capables	spējīgs	can
capacité	ietilpība	ability or capability
capacités	iespējas	capabilities
capitaine	kapteinis	captain
capital	kapitāls	capital
capitale	galvaspilsēta	capital city
capitales	galvaspilsētas	capitals
capitalisme	kapitālisms	capitalism
capitaliste	kapitālists	capitalist
capitaux	kapitāls	capitals
