$	dollar təşkil edib	dollar
అతిశయోక్తి	şişirdilmişdir	athisayokthi
అతిశీతల	soyuq	very
అతీతంగా	beyond	different
అత్త	xala	mother-in-law
అత్యంత	the	special
అత్యధిక	ən yüksəkdir	majority
అత్యధికంగా	ən çox	very importantly
అత్యధికులు	çoxu	superiors
అత్యల్ప	ən aşağı	least
అత్యవసర	təcili	very important
అత్యవసరం	əsas	much needed
అత్యాధునిక	mürəkkəbdir	latest
అత్యుత్తమ	ən yaxşısı	extraordinary
అత్యున్నత	ən yüksək	highest
అత్రి	atri	athri
అదనంగా	əlavə olaraq,	additional
అదనపు	əlavə	extra
అది	o	adi
అదిలాబాదు	adilabad	adilabad
అదీ	budur	that too
అదుపు	qəyyumluq	control
అదుపులో	nəzarət	in control
అదృశ్యం	yoxa çıxmaq	disappeared
అదే	eyni	that one only
అద్దం	güzgü	mirror
అద్దంకి	planlar	adanki
అద్భుత	zəhmli	wonderful
అద్భుతం	zəhmli	miracle
అద్భుతంగా	həyəcanlı	amazingly
అద్భుతమైన	əla	amazing
అద్వైత	advaita	advaita
అద్వైతం	advaitham	philosphy
అధర్వణ	atharva	atharvana
అధిక	daha çox	more
అధికం	artırmaq	increase
అధికంగా	daha çox	mostly
అధికభాగం	çoxu	most part
అధికమైన	fad	extra
అధికార	güc	official
అధికారం	hakimiyyət	power
అధికారంలో	güc	in power
అధికారంలోకి	güc	came into power
అధికారాన్ని	güc	its authority
అధికారాలు	səlahiyyətlər	powers
అధికారి	məmur	officer
అధికారిక	rəsmi	official
అధికారికంగా	rəsmi olaraq	authoritarian
అధికారుల	rəsmilər	officer's
అధికారులు	rəsmilər	officials
అధినేత	baş	president
అధిపతి	baş	head of the department
అధిపత్యం	qurğuşun	domination
అధిష్టాన	hakimiyyət	higer
అధీనంలో	altında	possession
అధీనంలోకి	qəyyumluq	in control
అధునాతన	ətraflı	modern
అధ్యక్ష	prezident	president
అధ్యక్షుడిగా	prezident	head
అధ్యక్షుడు	prezident	president
అధ్యక్షులు	prezidentlər	president
అధ్యయనం	tədqiqat	study
అధ్యయనాన్ని	tədqiqat	exercise
అధ్యాయం	fəsil	chapter
అధ్యాయంలో	fəsil	in the chapter
అనంత	sonsuzluq	infinite
అనంతం	sonsuzluq	infinite
అనంతపురం	anantapur	ananthapuram
అనంతపురానికి	anantapuraniki	ananthapuram
అనంతము	sonsuzluq	infinity
అనంతమైన	sonsuz	infinite
అనంతర	daha sonra	after
అనంతరం	the	later
అనకాపల్లి	anakapallı	anakapalli
అనగా	yəni	it means
అనడం	bu	telling
అనధికార	i̇cazəsiz	unofficial
అనన్య	unikal	many
అనబడే	məlumdur	as called
అనవచ్చును	nə nəzərdə tutulur	can be called
అనాదిగా	əslən	long ago
అని	bu	it means
అనికూడా	kimi	also
అనిన్నీ	hamısı	all
అనిపిస్తుంది	hisslər	is felt
అనిబిసెంట్	annie besant	annibesant
అనిల్	anil	anil
అనీ	edir	saying
అను	anu	namely
అనుకూలంగా	uyğun	as favorable
అనుకూలమైన	dost	consquently
అనుగుణంగా	uyğun olaraq	favourable
అనుచరులు	i̇zləyicilər	followers
అనుత్రికము	anutrikamu	tailbone
అనునది	the	called
అనుబంధ	əlavələr	related
అనుబంధం	əlavələr	good relation
అనుబంధంగా	əlavə olunur	affectionate
అనుభవ	təcrübə	with experience
అనుభవం	təcrübə	experience
అనుభవాలను	təcrübələr	experience
అనుమతి	i̇cazə	anumathi
అనుమతిని	i̇cazə	permission
అనుమతిస్తాయి	i̇cazə verin	will allow
అనుమతిస్తుంది	i̇mkan verir	giving permission, approved
అనుమానం	şübhəli	doubt
అనుయాయులు	fledglings	supporters
అనువదించాడు	tərcümə edən	translated
అనువర్తన	tətbiq	application
అనువాద	tərcümə	translation
అనువాదం	tərcümə	chapter
అనువాదము	tərcümə	translation
అనువాదాలు	tərcümələr	translations
అనువుగా	məruz	ready
అనువైన	çevik	wish
అనువైనది	i̇deal	convenient
అనుష్క	anuşka	anushka - film actress in andhra
అనుసంధానం	i̇nteqrasiya	interface
అనుసరించి	aşağıdakı	followed
అనుసరించే	i̇zləyin	following
అనుసరిస్తుంది	i̇zləyir	following
అనుసరిస్తూ	aşağıdakı	following
అనెలిడా	annelid	persons name
అనే	the	said
అనేక	bir çoxu	many
అనేకమంది	bir çoxu	many people
అనేకమైన	bir çoxu	so many
అనేకానేక	daha çox	more
అనేది	the	called
అనేవారు	oldu	used to say
అనేవి	the	called
అనొచ్చు	qanunlar	may call
అనో	ya da	said
అన్న	anna	said
అన్నం	düyü	rice (food)
అన్నట్టు	- dedi	as if
అన్నట్లు	- dedi	as if
అన్నదమ్ములు	qardaşlar	brothers
అన్నది	edir	said
అన్నపూర్ణ	annapurna	anapurna
అన్నమయ్య	linkreports	annamayya
అన్నమాచార్య	annamacharya	annamacharya
అన్నమాట	bu	like that
అన్నయ్య	qardaş	elder brother
అన్నా	anna	anna
అన్నాడట	annadata	told
అన్నాడు	- dedi	he told
అన్నారు	- dedi	told, said
అన్ని	hamısı	all
అన్నింటికంటే	ən çox	best of all
అన్నింటికన్నా	ən çox	annitikanna
అన్నిటి	hər şey	all
అన్నిటికంటే	daha çox	above all
అన్నీ	hamısı	all
అన్వేషణ	axtarış	search
అపారమైన	böyük	great
అపూర్వ	unikaldır	apoorva
అప్పటి	sonra	then
అప్పటికి	sonra	thattime
అప్పటికే	onsuz da	by that time
అప్పటినుండి	o vaxtdan bəri,	from then
అప్పటివరకు	bu nöqtəyə qədər	till then
అప్పట్లో	vaxtında,	at that time
అప్పారావు	appa rao	appa rao
అప్పు	kredit	loan
అప్పుడప్పుడూ	bəzən	sometimes
అప్పుడు	sonra	then
అప్పుడే	the	then only
అఫ్	yuxarı	of
అఫ్జల్	əfzal	afal
అబివృద్ధి	artım	development
అబూబక్ర్	əbu bəkr	abubrack
అబొరిజైన్స్	aborijainlər	aborigines
అబ్దుల్	əbdül	abdul
అబ్బాయి	oğlan	boy
అబ్‌ఖజియా	abxaziya	abkhazia
అబ్‌ఖజియాలో	abxajiyalo	in ab-khajia
అబ్‍ఖజియా	abxaziya	ab khajiya
అభిప్రాయ	fikir	opinion
అభిప్రాయం	əlaqə	opinion
అభిప్రాయపడ్డారు	yazın	express opinion
అభిప్రాయము	rəy	opinion
అభిప్రాయాలు	baxışlar	opinion
అభిమాన	sevimli	fans
అభిమానాన్ని	xəstə	like
అభిమానుల	tərəfdarlar	fans
అభిమానులు	tərəfdarlar	fans
అభిరుచి	ehtiras	good taste
అభిలాష	aspirasiya	intensity
అభివర్ణించాడు	təsvir edilmişdir	explained
అభివృద్ది	i̇nkişafı	development
అభివృద్ధి	i̇nkişaf	improvment
అభివృద్ధికి	i̇nkişaf	development
అభివృద్ధిని	artım	development
అభ్యర్థులు	namizədlər	candidates
అభ్యాసం	öyrənmək	training
అభ్యుదయ	rifah	popular
అమరజీవి	şəhid	deathlessman
అమరాంథేసి	amaranthesi	amaranthaseae
అమరావతి	amravati	amaravathi
అమరి	qiymətləndirmə	adjust
అమరిక	konfiqurasiya	america (its a country)
అమర్చి	set	fix
అమలు	çalışın	execute
అమలులోకి	effekt	in use
అమల్లోకి	effekt	in use
అమావాస్య	yeni ay	moonless night
అమితంగా	binge	so much
అమెరికన్	amerika	american
అమెరికన్లు	amerikalılar	americans
అమెరికా	amerika birləşmiş ştatları	america
అమెరికాకు	amerika birləşmiş ştatları	to america
అమెరికాలో	amerika birləşmiş ştatları	in america
అమెరికాలోని	amerika birləşmiş ştatları	in america
అమెరికాలోనే	amerika birləşmiş ştatları	in america itself
అమ్మ	ana	amma
అమ్మవారి	əmman	mother
అమ్మవారిని	tanrıça	to mother
అమ్మా	ana	mother
అమ్మాయి	qız	girl
అమ్మాయిలు	qızlar	girls
అమ్మే	satilir	ammo
అయన	onun	he
అయస్కాంత	maqnetikdir	magnet
అయి	və	happen
అయింది	edir	became
అయితే	lakin,	while
అయిదు	beş	five
అయిన	the	is
అయినది	bu idi	happened
అయిననూ	lakin,	inspite of
అయినప్పటికీ	lakin,	even though
అయినప్పుడు	nə vaxt	that
అయినా	hər hansı	still
అయోధ్యకు	ayodhya	to ayodhya
అయోమయ	tıxac	confusion
అయ్యప్ప	ayyappa	ayyappa
అయ్యర్	iyer	ayyar
అయ్యాక	nə vaxt	after it's don
అయ్యాడు	oldu	he was made
అయ్యాయి	edirsiniz	became
అయ్యి	edir	happen
అయ్యింది	edir	done
అయ్యే	etibarlıdır	that
అర	rəf	half
అరటి	banan	banana
అరటిపండు	banan	banana
అరణ్య	meşə	forest
అరత్ని	olecranon	ulna
అరబిక్	ərəb	arabic
అరబ్బీ	ərəb	arab
అరబ్బులు	ərəblər	arabs
అరవై	altmış	sixty
అరిస్టాటిల్	aristotel	aristotle
అరుణ	aruna	aruna
అరుణాచల్	arunaçal	arunachal
అరుదు	nadir hallarda	rare
అరుదుగా	nadir hallarda	rarely
అరుదైన	nadir	rare
అరెస్టు	həbs olundu	arrest
అరేబియా	ərəbistan	arabia
అర్చకులు	kahin	priests
అర్చన	archana	praying the god
అర్జునుడు	arjuna	arjuna
అర్జునుని	arjununi	arjuna's desire
అర్జున్	arjun	arjun
అర్థ	məna	half
అర్థం	məna	meaning
అర్థము	i̇zahat	meaning
అర్ధ	yarım	economic
అర్ధం	məna	internet,slum areas,hindu,muslim,lord shiva
అర్ధము	məna	meaning
అర్ధాలు	təriflər	meanings
అర్ధిక	ardhika	economic
అర్బన్	şəhər	urban
అర్హత	uyğun	eligibility
అలంకరణ	dekorasiya	decorated
అలంకరించి	geyindi	decoration
అలంకరిస్తారు	bəzədilib	decoration
అలల	dalğa	waves
అలలు	tides	waves
అలవాటు	adət	habit
అలవాట్లు	yemək	habit
అలహాబాదు	allahabad	alahabad
అలా	belə ki	in that way
అలాంటి	bu cür	like that
అలాగే	eləcə də	alage
అలానే	eləcə də	that tipe
అలాస్కా	alyaska	alaska (name of the place in america)
అలీ	əli	ali
అలుగు	alaq	pangolin
అలెగ్జాండర్	i̇skəndər	alexander
అలోహం	aloham	nonmetal
అల్	əl	al
అల్ప	qısadır	smaller
అల్బేనియా	albaniya	albania
అల్లం	zəncəfil	ginger
అల్లసాని	allasani	allasani
అల్లు	fırlat	allu
అల్లుడు	oğul	son in law
అల్లూరి	william	alluri
అవకాశం	fürsət	opportunity
అవకాశము	fürsət	opportunity
అవకాశాన్ని	fürsət	opportunity
అవగాహన	maarifləndirmə	knowledge
అవతరణ	formalaşma	formation
అవతరించింది	oldu	born
అవతలి	digərləri	that side
అవతారం	təcəssümü	god
అవతారమని	avatar	form
అవతారాలు	avatarlar	embodiments
అవలంబించారు	qəbul edilmişdir	following
అవశేషాలు	qalıqları	remains
అవసరం	ehtiyac	need
అవసరమయ్యే	ehtiyac var	required
అవసరమైతే	zəruridirsə	if required
అవసరమైన	ehtiyac var	needed
అవసరాన్ని	ehtiyac	need
అవసరాల	tələblər	necessities
అవసరాలను	tələblər	needs
అవసరాలు	tələblər	needs
అవార్డు	mükafat	award
అవార్డును	mükafat	award
అవార్డులు	mükafatlar	awards
అవి	onlar	avi
అవినీతి	korrupsiya	uncouth, illegal
అవీ	quraşdırma	that
అవుట్	çıxdı	out
అవుతాయి	olacaq	will become
అవుతుంది	olacaq	happen
అవుతున్న	olmaq	stopping
అవును	bəli	yes
అవే	uzaq	same
అవ్వటం	kimi	become
అశోక	aşoka	ashok
అశోకుడు	asoka	ashoka
అశోకుని	aşoka	ashoke
అశోక్	aşok	ashok
అశ్వమేధ	aswamedha	aswamedha
అష్టలక్ష్మీ	astalaksmi	ashta lakshmi
అష్టాంగ	ashtanga	ashtanga
అష్టాదశ	on səkkiz	asthadasha
అష్టోత్తర	astottara	eight
అసంతృప్తి	narazılıq	notsatisfied
అసమ్మతి	i̇xtilaf	anti group
అసలు	orijinal	wishes
అసలైన	əslində	original
అసాధారణ	qeyri-adi	impossible
అసాధారణంగా	qeyri-adi	narmel
అసాధారణమైన	i̇stisna	immpossible
అసెంబ్లీ	məclis	lower house
అసోసియేషన్	assosiasiya	association
అస్సాం	assam	assam
అహమ్మదాబాదు	əhmədabad	ahmedabad
అహమ్మద్	əhməd	ahmed
అహింస	zorakılıq	the avoidance of violence
ఆ	the	after
ఆంగ్ల	i̇ngilis	english
ఆంగ్లం	i̇ngilis	english
ఆంగ్లంలో	i̇ngilis	in english
ఆంగ్లము	i̇ngilis	english
ఆంగ్లేయుల	i̇ngilis	the english
ఆంగ్లేయులు	i̇ngilis	britishers
ఆంజనేయ	anjaneya	anjaneya
ఆంజనేయస్వామి	anjaneyasvami	anjaneya swamy
ఆందోళన	narahat	discomfort, fear of
ఆంధ్ర	ap	andhra
ఆంధ్రజ్యోతి	danışdıq	andhra jyothi
ఆంధ్రప్రదేశ్	ap	andhra pradesh
ఆంధ్రప్రదేశ్‌లో	ap	andhrapradesh
ఆంధ్రా	andhra	andhra
ఆంధ్రుల	andhrula	andhras
ఆంధ్రులకు	ap	for andhras
ఆంధ్రులు	telugus	andhras
ఆకర్షణ	qohumluq	attraction
ఆకర్షణలు	oyuncaq yerlər	attractions
ఆకర్షణీయమైన	cəlbedicidir	attracted
ఆకర్షించడం	cəlbedicidir	attractive
ఆకర్షించింది	tutuldu	attracted
ఆకర్షించే	göz oxşayan	attractive
ఆకలి	i̇ştah	akali
ఆకారం	forma	shape
ఆకారంలో	forma	shape
ఆకారపు	forma	shape
ఆకారాన్ని	forma	shape
ఆకాశ	səma	sky
ఆకాశం	səma	sky
ఆకాశంలో	səma	in the sky
ఆకాశవాణి	televiziya və radio	unknown voice from sky
ఆకు	yarpaq	leaf
ఆకుపచ్చ	yaşıl	green
ఆకుల	yarpaqlar	leaves
ఆకులను	yarpaqlar	leaves
ఆకులు	yarpaqlar	leafs
ఆకృతి	forma	attraction
ఆక్రమణ	i̇şğal	conquer
ఆక్రమించారు	i̇şğal etdi	taken
ఆక్రమించి	i̇şğal edir	acquired
ఆక్రమించింది	i̇şğal edir	invasion
ఆక్సైడ్	oksid	oxide
ఆఖరి	son	last
ఆగష్టు	avqust	august
ఆగస్టు	avqust	august
ఆగుతాయి	dayan	will stop
ఆగ్నేయ	cənub-şərq	south-east
ఆగ్నేయాన	cənub-şərq	south-east
ఆగ్రా	aqra	agra
ఆచరణలో	təcrübə	in use
ఆచరించే	təcrübəli	practiced
ఆచార	qeyri-ənənəvi	tradition
ఆచారం	xüsusi	culture
ఆచారాలను	gömrük	cultures
ఆచారాలు	gömrük	religious practices
ఆచార్య	açarya	scholar
ఆజాద్	azad	aazad
ఆట	oyun	game
ఆటంకం	empedans	objection
ఆటంకాలు	narahatlıqlar	blockades
ఆటగాడు	oyunçu	player
ఆటగాళ్ళు	oyunçular	players
ఆటను	the	game
ఆటల	i̇dman	games
ఆటలలో	oyunlar	games
ఆటలు	oyunlar	games
ఆటలో	oyunda	in this game
ఆటో	avtomatik	auto
ఆడ	dişi	female
ఆడపులి	pələng	female tiger
ఆడపులులు	dişi	female tigers
ఆడవారు	lesbiyalılar	ladies
ఆడిన	oynadım	dance
ఆడియో	səs	audio
ఆడే	golf	play
ఆతని	onun	his
ఆతి	adi	more
ఆతిథ్యం	ev sahibi	salutation
ఆతిధ్య	qonaqpərvərlik	is a file in computer system
ఆత్మకథ	tərcümeyi-hal	autobiography
ఆత్మకూరు	atmakur	athmakuru
ఆత్మను	ruh	sole
ఆత్మహత్య	i̇ntihar	suicide
ఆత్రేయ	atreya	athreya
ఆదమ్	adəm	adam
ఆదరణ	qəbul	respect
ఆదరించారు	alinib	respected
ఆదర్శ	i̇deal	aadarsh
ఆదాము	adəm	soil men
ఆదాయ	gəlir	income
ఆదాయం	gəlir	income
ఆదాయంలో	gəlir	income
ఆది	günəş	original, first
ఆదికవి	adikavi	aadi kavi (title the poet nannayya)
ఆదిత్య	aditya	aditya
ఆదిమ	yerli	first
ఆదిలాబాదు	adilabad	adilabad
ఆదిల్‌షా	adilsa	adilsha
ఆదివారం	bazar günü	sunday
ఆదుర్తి	boşalma	adurthi
ఆదేశాల	əmrlər	orders
ఆదేశాలను	əmrlər	orders
ఆదేశాలు	i̇stiqamətlər	adheshalu
ఆదేశించాడు	sifarişlidir	ordered
ఆద్యుడు	qurucu	main
ఆధార	resurs	used
ఆధారం	sübut	proof
ఆధారంగా	əsasında	depending
ఆధారంగానే	əsasında	depending on
ఆధారపడి	asılı olaraq	dependent
ఆధారపడిన	əsasında	depending on
ఆధారముగా	əsasında	based on
ఆధారాల	etibarnamələr	proofs
ఆధారాలు	sübut	proofs
ఆధారాలున్నాయి	dava	proofs are there
ఆధారిత	güclüdür	based on
ఆధిక్యత	əksəriyyət	higher
ఆధిపత్యం	üstünlük təşkil edir	domination
ఆధిపత్యము	güc	authority
ఆధీనంలో	sahiblik	in control of
ఆధీనములో	domain	in their custody
ఆధునిక	müasir	new
ఆధ్యాత్మ	mənəviyyat	spiritual
ఆధ్యాత్మిక	ruhani	spiritual
ఆధ్యాత్మికత	mənəviyyat	spiritual
ఆధ్వర్యంలో	altında	in the leadership
ఆనందం	xoşbəxtlik	exhilaration
ఆనంద్	anand	anand
ఆనకట్ట	baraj	bridge
ఆనవాయితీ	bu adətdir	accustom
ఆనాటి	sonra	earlier
ఆనాడు	sonra	then
ఆనుకొని	bitişik	without knowing
ఆన్	yandır	on
ఆన్లైన్	onlayn	online
ఆపరేటింగు	əməliyyat	operating
ఆపరేటింగ్	əməliyyat	operating
ఆపరేషన్	əməliyyat	operation
ఆపిల్	alma	apple
ఆపై	və	after that
ఆప్	aap	of
ఆఫీసు	ofis	office
ఆఫీస్	ofis	office
ఆఫ్ఘనిస్తాన్	əfqanıstan	afghanistan
ఆఫ్ఘనిస్తాన్‌	əfqanıstan	afghanistan
ఆఫ్ఘనిస్తాన్‌లో	əfqanıstan	in afghanisthan
ఆఫ్ఘన్	əfqan	afghan
ఆఫ్రికన్	afrika	african
ఆఫ్రికా	afrika	africa
ఆఫ్రికాలో	afrika	in africa
ఆభరణాలు	zərgərlik	jewellery
ఆమె	o	she
ఆమెకు	o	to her
ఆమెను	onun	her
ఆమోదం	təsdiq	granted
ఆమ్ల	turşu	acids
ఆమ్లం	turşu	acid
ఆమ్లజని	oksigen	oxygen
ఆమ్లాలు	turşular	acids
ఆయకట్టు	hövzə	dam
ఆయత్	co.	aayat
ఆయన	onun	he
ఆయనకు	onun	he
ఆయనతో	onunla	with him
ఆయనను	ona	him
ఆయనే	o	that person
ఆయన్ని	o	him
ఆయన్ను	o	him
ఆయా	dayə	within those
ఆయిల్	yağ	oil
ఆయుధ	silah	weapon
ఆయుధాలను	silahlar	things
ఆయుధాలు	silahlar	weapons
ఆయుర్వేద	ayurveda	ayurvedic
ఆయుర్వేదం	ayurveda	ayurveda
ఆయుర్వేదంలో	ayurveda	homeopathy
ఆరంభ	başlamaq	initial
ఆరంభం	sübut	start
ఆరంభంలో	erkən	in the beginning
ఆరంభమైంది	başlandı	started
ఆరవ	altıncı	sixth
ఆరాధన	i̇badət	adoration
ఆరాధించే	sədaqətlidir	worship
ఆరాధిస్తారు	həvəs	worship
ఆరు	altı	six
ఆరుద్ర	uçan	arudra
ఆరోగ్య	sağlamlıq	health
ఆరోగ్యం	sağlamlıq	healthy
ఆరోగ్యానికి	sağlamlıq	for health
ఆరోజు	o gün	that day
ఆర్ఎన్ఎ	rnt	rna
ఆర్కిటిక్	arktika	arctic
ఆర్కిమెడిస్	arximed	arkimedes
ఆర్గనైజేషన్	təşkilat	organisation
ఆర్టికల్	məqalə	article
ఆర్టిసి	rtc	road transport corporation
ఆర్ట్	i̇ncəsənət	arts
ఆర్థిక	i̇qtisadi	economocs
ఆర్థికంగా	i̇qtisadi cəhətdən	financially
ఆర్థికశాస్త్రం	i̇qtisadiyyat	economics
ఆర్థ్రోపోడా	artropod	arthropoda
ఆర్ధిక	maliyyə	economic
ఆర్ధికంగా	i̇qtisadi cəhətdən	financially
ఆర్ధికరంగం	i̇qtisadiyyat	finance
ఆర్ధికవ్యవస్థ	i̇qtisadiyyat	economic system
ఆర్మీ	ordu	army
ఆర్య	arya	aryas
ఆర్యులు	aryanlar	sirs
ఆలంపూర్	alampur	alampur
ఆలయ	məbəd	temple
ఆలయం	məbəd	temple
ఆలయంలో	məbəd	alayamlo
ఆలయము	məbəd	temple
ఆలయానికి	məbəd	for temple
ఆలయాన్ని	məbəd	temple
ఆలయాలు	məbədlər	alayalu
ఆలస్యం	gecikmə	late
ఆలీ	əli	aalee
ఆలోచన	düşündü	thought
ఆలోచనలు	fikirlər	thought
ఆలోచనా	düşünür	think
ఆల్	hamısı	all
ఆల్చిప్ప	bivalve	shell
ఆల్డిహైడు	aldehidlər	aldihidu
ఆల్ఫా	alfa	alfa
ఆల్బం	albom	album
ఆవకాయ	avakaya	pickle
ఆవరణ	mötərizə	atecology
ఆవరణలో	bina	lobby
ఆవరించి	əhatə edən	occupies
ఆవల	beyond	beside
ఆవాసం	qəsəbə	home
ఆవిడ	o	she
ఆవిధంగా	beləliklə,	like that
ఆవిరి	buxar	steam
ఆవిర్భవించింది	doğulub	has born
