$	dollar təşkil edib	dollarsign
aanzet	başlanğıc	onset
aanzien	hesab olunur	appearance
aanzienlijk	mənalı	considerably
aanzienlijke	mənalı	significant
aap	meymun	monkey
aard	təbiət	nature
aardappel	kartof	potato
aardappelen	kartof	potatoes
aardappels	kartof	potatoes
aardbeving	zəlzələ	earthquake
aardbevingen	zəlzələlər	earthquake
aarde	torpaq	earth
aardewerk	saxsı qab	pottery
aardgas	təbii qaz	natural gas
aardkorst	yer qabığı	earth's crust
aardolie	neft	crude oil
aardoppervlak	yer səthi	surface of the earth
aardse	dünyəvi	earthly
aartsbisschop	arxiyepiskop	arch bishop
ab	ab	ab
abba	abba	abba
abbey	abbey	abbey
abc	abc	abc
abdij	abbey	abbey
abortus	abort	abortion
abraham	i̇brahim	abraham
absolute	mütləq	absolute
absoluut	tamamilə	absolutely
abstract	mücərrəd	abstract
abstracte	mücərrəd	abstract
abu	abu	abu
ac	ac	ac
academie	akademiya	academy
academisch	akademik	academic
academische	akademik	academic
academy	akademiya	academy
accent	vurğu	accent
accepteren	qəbul edin	accept
acdc	acdc	acdc
acht	səkkiz	eight
achter	arxada	behind
achteraf	sonradan	in retrospect
achtereenvolgens	ardıcıl olaraq	sequentially
achteren	arxada	back
achtergelaten	tərk edilmiş	left behind
achtergrond	fon	background
achterkant	arxa sonunda	backside
achterlijf	qarın	backside
achternaam	soyad	surname
achterpoten	arxa ayaqları	hind legs
achterschip	sərt	backship
achterstand	geriləmə	falling behind
achterste	arxa	back
achteruit	geriyə	backwards
achteruitgang	azalma	diminishment
achterzijde	arxa	backside
achtste	səkkizinci	eighth
achttien	on səkkiz	eighteen
achttiende	on səkkizinci	eighteenth
act	hərəkət etmək	act
acteren	akt	acting
acteur	aktyor	actor
acteurs	aktyorlar	actors
actie	fəaliyyət	action
actief	aktivdir	active
acties	tədbirlər	actions
actieve	aktivdir	active
activa	aktivlər	activia
activiteit	fəaliyyət	activity
activiteiten	fəaliyyətlər	activities
actress	aktrisa	actrice
actrice	aktrisa	actrice
actuele	cərəyan	current
acute	kəskin	acute
ad	elan	ad
adam	adəm	adam (name)
adams	adams	adams - proper noun - surname
add	əlavə edin	add
adders	ilanlar	adders
adel	zadəganlıq	aristocracy
adelaar	qartal	eagle
adellijke	nəcib	aristocrate
adem	nəfəs	breath
ademhaling	nəfəs alır	breathing
aders	damarlar	veins
adhd	adh	adhd
adidas	adidas	adidas
adipocere	adipocere	adipocere
administratie	idarəetmə	administration
administratieve	inzibati	administrative
admiraal	admiral	admiral
adolf	adolf	adolf - proper noun - first name
adriaan	adrian	adriaan
adriatische	adriatik	adriatic (coast)
advies	nəsihət	advice
adviseur	məsləhətçi	counselor
advocaat	hüquqşünas	attorney
ae	ae	ae
af	off	of
afbeelding	şəkil	illustration
afbeeldingen	şəkillər	images
afbraak	qəza	demolition
afc	afc	afc
afdeling	şöbə	department
afdelingen	şöbələr	departments
affaire	iş	affair
afgebeeld	göstərilib	shown
afgebroken	yıxıldı	broken down
afgegeven	təhvil verilib	propagated
afgekort	qısaldılmış	shortened
afgelegen	tənha	remote
afgeleid	yayındırdı	derivative
afgeleide	törəmə	derivative
afgelopen	keçmiş	finished (2nd sentence), past (in all other cases in the text)
afgenomen	azaldı	decreased - 2nd and 4th sentence, taken - 5th sentence
afgerond	dairəvi	completed
afgeschaft	ləğv	dispensed
afgesloten	kilidlidir	locked
afgesproken	razılaşdı	agreed
afgevaardigden	nümayəndə heyəti	delegates
afgevoerd	axıdılır	drain off
afgewezen	geri döndü	refused
afgezet	düşdü	turned of
afgezien	ayrı	apart from
afghanistan	əfqanıstan	afghanistan
afhankelijk	asılıdır	dependent
afhankelijkheid	asılılıq	dependence
afkeer	laqeydlik	disgust
afkomst	enmə	background
afkomstig	mənşəli	originating
afkorting	ixtisarlar	abbreviation
afleggen	rədd etmək	in this context it means: to travel
aflevering	çatdırılma	delivery
afleveringen	epizodlar	episodes
afloop	bitən	outcome
afmetingen	ölçüləri	measures
afname	azalmaq	reduction
afneemt	azalır	decreases
afnemen	azalmaq	decline
africa	afrika	africa
afrika	afrika	africa
afrikaans	afrika	african
afrikaanse	afrika	african
afschaffing	ləğv	abolition
afscheid	yaxsi	farewell
afscheiding	ifraz	separation
afsluiting	bağlayan	closure
afspraak	təyinat	appointment
afspraken	sazişlər	appointments
afstammelingen	nəvələri	descendants
afstamming	enmə	origin
afstand	məsafə	distance
afstanden	məsafələr	distances
aftreden	addım atmaq	stepped down
aftrek	ayırma	deduction
afval	israf	waste
afvalstoffen	israf	waste products
afvoer	qurutmaq	drain
afweersysteem	müdafiə sistemi	immune
afwezig	yox	absent
afwezigheid	yoxluğu	absence
afwijkend	fərqli	different
afwijkende	sapma	different
afwijking	sapma	deviation
afwijkingen	sapmalar	deviation
afwijkt	sapma	differ
afwijzing	rədd	rejection
afwisselend	növbə ilə	alternately
afzetten	düşmək	depositing - 3rd sentence, push off - 4th sentence, moving away - 7th and 8th sentence.
afzonderlijk	ayrı-ayrılıqda	separately
afzonderlijke	ayrı	individual
agaat	agat	agate
again	yenidən	again
against	əleyhinə	against
agenda	gündəliyi	agenda
agent	agent	agent
agglomeratie	aqlomerasiya	agglomeration
agnetha	agnetha	agnetha
agnost	aqnostik	agnost
agrarische	kənd təsərrüfatı	agricultural
agressie	təcavüz	aggression
agressief	aqressiv	aggressive
agressieve	aqressiv	aggressive
ah	ah	ah
aids	qi̇çs	aids
air	hava	air
airbus	airbus	airbus
aires	havalar	aires
airlines	hava yolları	airlines
airlinesvlucht	aviaşirkətlərin uçuşu	airlines flight
airport	hava limanı	airport
airways	hava yolları	airways
ajax	ajax	ajax
aka	aka	aka
akkoord	razılaşma	agreement
akoestische	akustik	acoustic
akon	akon	akon
al	onsuz da	already
alan	alan	alan
alarmschijf	siqnalizasiya diski	emergency disk
alaska	alyaska	alaska
albanezen	albanlar	albanians
albanië	albaniya	albania
albert	albert	albert
alberto	alberto	aleberto
alberts	alberts	alberts
album	albom	album
albums	albomlar	albums
alcohol	alkoqol	alcohol
alcoholgebruik	spirt istehlakı	alcohol use
alcoholische	alkoqol	alcoholic
alcoholisme	alkoqolizm	alcoholism
alcoholisten	alkoqoliklər	alcoholics
aldaar	orada	there
aldus	beləliklə	according to
alejandro	əlejandro	alejandro
aleksandr	aleksandr	aleksandr
alex	alex	alex
alexander	i̇skəndər	alexander
alexandrië	i̇sgəndəriyyə	alexandria
alfabet	əlifba	alphabet
alfabetische	əlifba sırası ilə	alfabetic
alfred	alfred	alfred
algehele	ümumilikdə	overall
algemeen	ümumiyyətlə	in general
algemene	ümumi	general salamence
algerije	əlcəzair	algeria
algoritmen	alqoritmlər	algorithms
alhoewel	baxmayaraq	albeit
ali	ali	ali
alias	ləqəb	alias
alice	alice	alice
align=center	hizalama = mərkəz	center
align=left	align = sol	align = left
alignbars	hizalar	alignbars
alignleft	hizalayın	align left
alkmaar	alkmaar	alkmaar
all	hamısı	all
alle	hamısı	all
allebei	hər ikisi	both
alledaagse	hər gün	everyday
alleen	yalnız	only
allemaal	onların hamısı	all
allen	hamısı	all
aller	hamısından	ever
allereerst	hər şeydən əvvəl	firstly
allereerste	çox birinci	very first
allerlei	hər cür	all kinds of
alles	hər şey	everything
alliance	ittifaq	alliance
alliantie	ittifaq	alliance
allochtonen	immiqrantlar	immigrants
almere	almere	almere
alois	alois	alois
alpen	alp dağları	alps
als	kimi	as
alsmede	həmçinin	and
alsnog	hələ	still
alsof	sanki	as if
alsook	həmçinin	also
altaar	qurbangah	altar
alternatief	alternativ	alternative
alternatieve	alternativ	alternative
althans	ən azı	at least
altijd	həmişə	always
aluminium	alüminium	aluminium
alva	alva	alva
alvleesklier	mədəaltı vəzi	pancreas
alvorens	əvvəl	before
alweer	yenidən	again
alzheimer	alzheimer	alzheimer's
am	am	am
amazone	amazon	amazon
ambassade	səfirlik	ambassade
ambassadeur	səfir	ambassador
amber	kəhrəba	amber
ambt	ofis	office
ambtenaren	vəzifəli şəxslər	officials
america	amerika	america
american	amerikalı	american
amerika	amerika	america
amerikaan	amerikalı	american
amerikaans	amerika	american
amerikaanse	amerika	american
amerikanen	amerikalılar	americans
amersfoort	amersfoort	amersfoort
amfibieën	amfibiyalar	amphibians
aminozuren	amin turşuları	amino acid
amstel	amstel	amstel (river)
amsterdam	amsterdam	amsterdam
amsterdammers	amsterdammers	amsterdam
amsterdamse	amsterdam	amsterdam
anakin	anakin	anakin
anale	anal	anal
analyse	analiz	analysis
anatolië	anadolu	anatolia
anatomie	anatomiya	anatomy
and	və	en
ander	digərləri	other
andere	digərləri	other
anderen	digərləri	others
anderhalf	bir yarım	one and a half
anders	fərqli	different from
andersom	tərsinə	the other way around
anderzijds	digər tərəfdən	on the other hand
andes	andes	andes
andorra	andorra	andorra
andrea	andrea	andrea
andreas	andreas	andreas
andrew	andrew	andrew
andrews	andrews	andrews
andré	andré	andre
andy	andy	andy (proper noun, first name)
anemie	anemiya	animia
angela	angela	angela
angeles	mələklər	angeles
angels	mələklər	angels
anglicaanse	anglikan	anglican
angst	qorxu	fear
anime	anime	anime
aniston	aniston	aniston (name)
anjou	anjou	anjou
ann	ann	ann
anna	anna	anna - proper noun - first name
anne	anne	anne
annexatie	ilhaq	annexation
anno	anno	anno
anoniem	anonim	anonymous
another	başqa	another
antarctica	antarktida	antarctica
antenne	antenna	antenna
antennes	antenalar	antennas
anthony	qarışqa	anthony
antibiotica	antibiotiklər	antibiotics
antidepressiva	antidepresanlar	antidepressive
antieke	antik	antique
antillen	antillər	antilles
antilliaanse	antilya	antillian
antisemitisme	antisemitizm	antisemitism
antistoffen	antikorlar	antibodies
antoine	antuan	antoine (anton)
anton	anton	anton
antoni	antoni	antoni
antonio	antonio	antonio
antonius	antoniy	antonius
antropologie	antropologiya	anthropology
antwerpen	antverpen	antwerpen
antwerpse	antverpen	antwerp
antwoord	cavab	answer
antwoordde	cavab verdi	replied
antwoorden	cavablar	answers
anubis	anubis	anubis
anus	anus	anus
apart	ayrı	separate -1st and 2nd sentence, individual - 4th sentence.
aparte	ayrı	separate
apen	meymunlar	apes
aphrodite	afrodita	aphrodite
apollo	apollon	apollo
apostelen	həvarilər	apostles
apostolische	apostol	apostolic
apothecium	apotheium	apothecia
apparaat	qurğu	machine
apparaten	qurğular	devices
apparatuur	avadanlıqlar	equipment
appartement	mənzil	apartment
appel	alma	apple
apple	alma	apple
april	aprel	april
aquino	aquino	aquino
arabieren	ərəblər	arabics
arabisch	ərəb	arabic
arabische	ərəb	arabic
aragon	araqon	aragon
arbeid	əmək	work
arbeiders	işçilər	workers
arbeiderspartij	əmək partiyası	labour party
arc	qövs	arc
archeologisch	arxeoloji	archeologic
archeologische	arxeoloji	archaeological
archief	arxiv	archive
archieven	arxivlər	archieves
archipel	arxipelaq	archipelago
architect	memar	architect
architecten	memarlar	architects
architectuur	memarlıq	architecture
ardennen	qabarıqlıq	ardennes
are	var	are
area	sahəsi	area
arena	arena	arena
argentijnse	argentinalı	argentine
argentinië	argentina	argentina
argument	mübahisə	argument
argumenten	arqumentlər	arguments
ari	ari	ari
aristocratie	aristokratiya	aristocracy
aristoteles	aristotel	aristotle
arizona	arizona	arizona
arm	qolu	poor
arme	kasıb	poor
armeense	erməni	armenian
armen	silah	poor
armenië	ermənistan	armenia
armeniërs	ermənilər	arms irish
armoede	yoxsulluq	poverty
armstrong	silahlı	armstrong
army	ordu	army
arnhem	arnhem	arnhem
arnold	zireh	arnold
around	ətrafında	around
arriveerde	gəldi	arrived
arrondissement	sarılma	district
arsenal	arsenal	arsenal - proper noun
art	incəsənət	art
arthur	artur	arthur
artiest	rəssam	performer
artiesten	sənətkarlar	artists
artikel	məqalə	article
artikelen	məqalələr	articles
artillerie	artilleriya	artillery
artistiek	bədii	artistic
artistieke	bədii	artistic
artrose	artroz	arthrosis
arts	həkim	doctor
artsen	həkimlər	doctors
aruba	aruba	aruba
as	kül	axle
aspect	aspekt	aspect
aspecten	cəhətləri	aspects
asperger	qulançar	asperger
assemblée	toplaşmaq	assembly
assen	vallar	axles
assistent	köməkçi	assistant
associatie	dərnək	association
association	dərnək	association
asterix	asterix	asterix
astronoom	astronom	astronomer
at	yedi	at
atelier	atelye	workshop
athene	afina	athens
atheïsme	ateizm	atheism
atheïst	ateist	atheist
atheïsten	ateistlər	atheist
atlantis	atlantis	atlanta
atlantische	atlantik	atlantic
atmosfeer	atmosfer	atmosphere
atomen	atomları	atoms
atptoernooi	turnir	atp tournament
attractie	cazibə	attraction
attracties	attraksionlar	attractions
auditie	dinləmə	audition
august	avqust	august
augustinus	avqustin	augustinus
augustus	avqust	august
auschwitz	auschwitz	auschwitz
australian	avstraliyalı	australian
australische	avstraliyalı	australian
australië	avstraliya	australia
auteur	müəllif	author
auteurs	müəlliflər	autors
auteursrecht	müəllif hüquqları	copyright
authentieke	orijinal	authentic
authority	səlahiyyət	autority
autisme	autizm	autism
autistische	otistik	autistic
auto	maşın	car
autochtone	doğma	autochthon
automatisch	avtomatik olaraq	automatic
autonome	muxtar	autonomous
autonomie	muxtariyyət	autonomy
autoritaire	avtoritar	autoritary
autoriteit	səlahiyyət	authority
autoriteiten	səlahiyyətlilər	authorities
autos	avtomobillər	cars
autosnelweg	avtomobil yolu	highway
autosnelwegen	avtomobil yolları	highways
avenue	prospekti	avenue
avond	axşam	evening
avondmaal	şam yeməyi	evening meal
avonds	axşam	evening
avonturen	sərgüzəştləri	adventures
award	mükafat	award
awards	mükafatlar	awards
away	uzaqda	away
az	az	az
azerbeidzjan	azərbaycan	azerbaijan
aziatische	asiya	asian
azië	asiya	asia
azoren	azores	azores
azteken	aztec	aztecs
b	b	b
ba	ba	ba
baai	bəy	bay
baan	iş	track
baarmoeder	uterus	uterus
baarn	qaranlıq	baarn
baas	patron	boss
baby	bala	baby
babys	körpələr	babies
bach	baq	bach
bachelor	bakalavr	bachelor
bachs	baqalar	bach's
back	geri	back
bacterie	bakteriya	bacteria
bacteriële	bakterial	bacterial
bacteriën	bakteriya	bacterias
bad	hamam	bad
baker	çörəkçi	baker
bakermat	beşik	cradle
baksteen	kərpic	brickwork
bal	top	ball
balans	balans	balance
bali	bali	bali
balkan	balkanlar	balkans
balkenende	əyri	balkenende
ball	top	ball
ballet	balet	ballet
ballingschap	sürgün	exile
ballon	şar	balloon
baltische	baltik	baltic
ban	qadağan	ban
banaan	banan	banana
bananen	banan	bananas
band	qrup	tie
banden	şinlər	bands
bandleden	qrup üzvləri	bandmembers
bands	lentlər	bands
banen	iş yerləri	strokes
bang	narahat	scared
bangladesh	banqladeş	bangladesh
bank	bank	bank
bankbiljetten	əskinaslar	bank notes
banken	banklar	banks
bankwezen	bankçılıq	banking
baptisme	vəftiz	baptist faith
bar	bar	bar
barack	barak	barack
barbara	barbar	barbara
barcelona	barselona	barcelona
barok	barok	baroque
baron	baron	baron
barrett	barret	barret
barry	bərə	barry
bart	bart	bart (proper noun, first name)
barwikipedias	barvikipedialar	barwikipedias
bas	bas	bas
basale	bazal	basal
base	baza	base
basgitaar	bas gitara	bass guitar
basiliek	bazilik	basilica
basis	baza	ground
basisschool	orta məktəb	primary school
basket	səbət	basket
basketbal	basketbol	basketball
bassie	bassie	this is a name
bassist	bas çalğıçı	bassist
basten	qabıq	bark
bataafse	batavian	batavian
battle	döyüş	battle
bauxiet	boksit	bauxite (ore)
bay	bəy	bay
bazel	bazel	bazel
bbc	bbc	bbc
bbp	üdm	gdp
be	olmaq	be
beach	çimərlik	beach
beagle	beagle	beagle
beat	qalib gəlmək	beat
beatles	beatles	beatles
beatrix	beatrix	beatrix
beaufort	beaufort	beaufort
beautiful	gözəl	beautiful
bebop	bəbir	bepop
bebouwing	binalar	buildings
bed	yataq	bed
bedacht	həll etmək, çözmək	devised
bedekken	örtmək	cover
bedekt	örtülmüşdür	covered
bedenken	ətraflı fikirləşmək	think of
bedenker	yaradıcısı	creator
bediend	işlədilib	operated
bedoeld	nəzərdə tutulmuşdur	to intend
bedoeling	niyyət	intention
bedraagt	məbləğlər	amounts
bedrag	məbləği	amount
bedragen	məbləğlər	amounts
bedreigd	təhdid edir	threatened
bedreigde	təhdid edir	endangered
bedreiging	təhdid	threat
bedreigingen	təhdidlər	threats
bedreven	usta	proficient
bedrijf	şirkəti	company
bedrijfsleven	biznes	businesslife
bedrijven	müəssisələr	companies
bedroeg	məbləği	was
beek	dərə	beek
beeld	heykəli	picture
beelden	şəkillər	images
beeldende	əyani	visual
beeldhouwer	heykəltəraş	sculptur
beeldhouwkunst	heykəl	masonry
beeldhouwwerken	heykəllər	sculpltures
been	ayaq	leg
beer	ayı	beer
beet	dişləmək	bite
beethoven	beethoven	beethoven
beetje	bit	sort of
befaamde	məşhurdur	famous
begaan	törətmək	commit
begeleid	rəhbər	accompanied
begijnhof	xəyanət	beguinage
begin	başlamaq	beginning
beginjaren	erkən illər	beginning years
beginnen	başlamaq	begin
beginnende	təcrübəsiz	beginning
beginperiode	ilkin dövr	beginning of period
beginselen	prinsipləri	principles
begint	başlayır	begins
begon	başladı	began
begonnen	başladı	started
begraafplaats	qəbiristanlıq	cemetary
begrafenis	cənazə	funeral
begraven	basdırmaq	bury
begrensd	məhduddur	limited
begrepen	başa düşdü	understood
begrijpen	başa düşmək	understand
begrip	anlayış	term
begrippen	anlayışlar	standards
begroeiing	artım	flora
begroting	büdcə	budget
behaald	nail oldu	obtained
behaalde	nail oldu	obtained
behalen	nail olmaq	reached
behalve	istisna olmaqla	except
behandeld	müalicə olunur	treated
behandelde	müalicə olunur	treated
behandelen	müalicə etmək	treat
behandeling	terapiya	treatment
behandelingen	müalicə	treatments
behandelt	müalicə edir	treats
beharing	saç	hair
beheer	idarəetmə	management
beheersen	mənimsəmək	control
beheerst	idarə olunur	dominated
beheerste	idarə olunur	controlled
behield	saxlanılır	retained
behoefte	ehtiyac	need
behoeften	ehtiyaclar	needs
behoeve	məqsəd üçün	for
behoorde	aiddir	belonged
behoorden	aiddir	belonged
behoorlijk	ədalətlə	reasonably
behoort	aiddir	is
behoren	aiddir	belong
behorende	aiddir	belonging
behoud	qorunması	perservation
behouden	qorumaq	preserve
behulp	istifadə edərək	using
beide	hər ikisi	both
beiden	hər ikisi	reached
beieren	bavariya	bavaria
beierse	bavariya	biers
bek	gaga	mouth
bekeerde	çevrilir	converted
bekeken	baxılıb	seen
bekend	məlumdur	known
bekende	məlumdur	famous
bekendgemaakt	elan etdi	published
bekendheid	şöhrət	fame, famous
bekendst	ən məşhur	best known
bekendste	ən məşhur	known
beker	kubok	cup
bekeren	çevirmək	to convert
bekering	tövbə	conversion
bekijken	görmək	to look at
bekken	çanaq	pelvis
bekritiseerd	tənqid	criticized
bel	zəng edin	bell
belandde	başa çatdı	ended up
belang	maraq	importance
belangen	maraqları	interests
belangrijk	vacibdir	important
belangrijke	vacibdir	important
belangrijker	daha əhəmiyyətli	more important
belangrijkste	ana	most important
belangstelling	maraq	interest
belast	şarj edin	charge - 2nd and 4th sentence, loaded - 6th sentence
belasting	vergi	burden
belastingen	vergilər	taxes
beleefde	nəzakətli	went through
beleg	üstə	siege
belegering	mühasirə	siege
beleid	siyasəti	policy
beleven	təcrübə	to see
beleving	təcrübə	perception
belgae	belgae	belgae
belgen	belçikalılar	belgians
belgisch	belçika	belgium
belgische	belgian	belgian
belgië	belçika	belgium
bell	zəng	bell
bella	bella	bella
bellamy	bellamy	bellamy
bellen	yığın	bubbles
belofte	söz	promise
beloofd	söz verdi	promised
beloofde	söz verdi	promised
beloop	kurs	course
bemachtigen	almaq	obtain
bemanning	heyət	crew
bemanningsleden	heyət üzvləri	crew members
bemoeilijkt	mürəkkəbdir	bemoeiliijkt
ben	am	ben
benaderd	yaxınlaşdı	approach
benadering	yanaşma	approach
benadrukt	vurğulayır	emphasizes
benaming	adı	name
benamingen	təyinatlar	designations
beneden	aşağı	down
benedictus	xeyir verin	benedictus (proper noun - first name)
benelux	benelux	benelux (proper noun)
benen	ayaqları	legs
benjamin	benjamin	benjamin
bennington	bennington	bennington
benny	benny	benny
benodigde	tələb olunur	required
benoemd	təyin edildi	famous
benoemde	təyin edildi	named
benoemen	təyin etmək	appoint
benoeming	nominasiya	nomination
bent	var	are
benzine	benzin	petrol
beoefend	tətbiq olunur	exerted
beoogde	nəzərdə tutulmuşdur	intended
beoordeeld	qiymətləndirilib	judged
beoordeling	baxış-icmal	judgement
bepaald	qərarlı	certain
bepaalde	xüsusi	defined
bepaalt	müəyyənləşdirir	determines
bepalen	müəyyənləşdirin	to determine
bepalend	müəyyənedici	determining / guiding
bepaling	qətiyyət	condition / rule (in this context)
beperken	həddi	restrain
beperking	məhdudlaşdırmaq	limitation
beperkingen	məhdudiyyətlər	limitations
beperkte	məhduddur	limited
bereid	hazırlanmışdır	willing
bereiden	hazırlamaq	prepare
bereik	menzil	reach
bereikbaar	əlçatan	accessible
bereiken	nail olmaq	reach
bereikt	çatdı	to attain or to reach
bereikte	çatdı	reached
bereikten	çatdı	reached
berekend	hesablanır	calculated
berekenen	hesablamaq	calculate
berekening	hesablama	calculation
berekeningen	hesablamalar	calculations
berg	dağ	mountain
bergachtig	dağlıq	mountainous
bergen	dağlar	mountains
bergketen	dağ silsiləsi	mountain chain
bergketens	dağ silsilələri	mountain ranges
bericht	mesaj	message
berichten	mesajlar	messages
berlijn	berlin	berlin
berlijnse	berlin	berliner
berlin	berlin	berlijn
berliner	berliner	berliner
bern	bern	bern
bernard	bernard	bernard
bernhard	bernhard	bernhard
bernini	bernini	bernini
beroemd	məşhurdur	famous
beroemde	məşhurdur	famous
beroemdheden	məşhurlar	celebrities
beroemdste	ən məşhur	most famous
beroep	peşə	profession
beroepen	peşələr	professions
beroepsonderwijs	peşə təhsili	vocational education
berry	giləmeyvə	berry
bert	bert	bert
berucht	məşhur olmayan	notorius
beruchte	məşhur olmayan	infamous
berust	istirahət edir	based
beschadigd	zədələnmiş	damaged
beschadigen	ziyan vurmaq	damage
beschadiging	zərər	damage
beschaving	sivilizasiya	civilization
beschavingen	sivilizasiyalar	civilizations
bescheiden	təvazökar	modest
beschermd	qorunur	protected
beschermde	qorunur	protected
beschermen	qorumaq	protect
beschermheilige	patron müqəddəs	archangel
bescherming	qoruma	protection
beschermt	qoruyur	protects
beschikbaar	mövcuddur	available
beschikbare	mövcuddur	available
beschikken	sərəncam vermək	to own / be able to use
beschikking	qərar	available
beschikt	xüsusiyyətləri	posesses
beschikte	qərar verdi	have at their disposal
beschouwd	hesab olunur	seen as
beschouwde	hesab olunur	considered
beschouwden	hesab olunur	considered
beschouwen	düşünmək	see
beschouwing	nəzərə alınması	consideration
beschouwt	hesab edir	considers
beschreef	təsvir edilmişdir	described
beschreven	təsvir edilmişdir	described
beschrijft	təsvir edir	describes
beschrijven	təsvir etmək	to describe
beschrijving	təsviri	description
beschrijvingen	təsvirlər	descriptions
beschuldigd	ittiham olunur	accused
beslaat	əhatə edir	gets covered
beslag	meyilli	batter
beslissen	qərar ver	to decide
beslissende	həlledici	decisive
beslissing	qərar	decision
beslissingen	qərarlar	decisions
beslist	qərar verir	decision
besloot	qərar verdi	decided
besloten	özəl	decided
besluit	qərar	decision
besluiten	qərar ver	to decide
besluitvorming	qərar	decision-making
besmet	yoluxmuş	infected
besmette	yoluxmuş	contaminated
besmettelijk	yoluxucu	contagious
besmetting	çirklənmə	infection
besprekingen	müzakirələr	discussions
besproken	müzakirə edildi	discussed
best	ən yaxşısı	optimal
bestaan	mövcud olmaq	remained - 2nd sentence, exist - 4th and 6th sentence
bestaande	mövcuddur	consist
bestaansmiddelen	dolanışıq	raw goods
bestaat	mövcuddur	consists
bestand	fayl	agreement
bestanddelen	tərkib hissələri	constituents
bestanden	sənədlər	files
beste	ən yaxşısı	best
besteden	sərf etmək	to spend
besteed	sərf etmişdir	spent
besteedde	sərf etmişdir	payed (attention) / spent (time)
bestemd	nəzərdə tutulmuşdur	destined
bestemming	təyinat	destination
bestemmingen	istiqamətlər	destinations
bestempeld	etiketli	labeled
bestond	mövcuddur	excisted
bestonden	mövcuddur	existed
bestraft	cəzalandırılır	punished
bestreden	mübahisəli	combated
bestrijden	döyüş	fight against
bestrijding	döyüş	controversey
bestudeerd	oxudu	studied
bestudeert	tədqiqatlar	study
bestuderen	təhsil almaq	study
besturen	nəzarət	govern
besturingssysteem	əməliyyat sistemi	operating system
bestuur	lövhə	management
bestuurd	idarə olunur	controlled
bestuurders	sürücülər	directors
bestuurlijk	inzibati	administrative
bestuurlijke	inzibati	administrative
bestverkochte	ən çox satılan	best-selling
betaald	pullu	paid
betaalde	pullu	paid
