$ tỉ	милиард долара	$ billion
anđêhít	алдехид	aldehydes
ao	езерце	pond
aotearoa	аотеароа	aotearoa
apollo	аполон	apollo
apple	ябълка	apple
aquinas	аквински	a name
arab	арабски	(proper noun) arab
archetypal	архетипната	archetypal
archive	архив	archive
arctan	arctan	a function
ares	арес	ares
argentina	аржентина	(proper noun) the south american nation of argentina
argo	арго	argo
arias	арии	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	аристотел	aristotle
arizona	аризона	arizona, as in the state
ark	ковчег	ark
arkansas	арканзас	arkansas
arlington	арлингтън	(proper noun) arlington
armenia	арменски	(proper noun) armenia
armstrong	армстронг	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	арнолд	arnold
arsenal	арсенал	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	аруба	aruba
arunachal	аруначал	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	възходящо	asc
ash	пепел	a name
ashikaga	ашикага	ashikaga
ashley	ашли	(proper noun) ashley
asia	азия	asia
asm	asm	asm
asoka	ашока	asoka
association	сдружаване	association
assyria	асирия	assyria
aston	астън	(proper noun) aston, as in aston villa
atkinson	аткинсън	atkinson
atlanta	атланта	atlanta
atlantic	атлантически	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	прослушване	audition
auflage	auflage	auflage
auguste	огюст	auguste
australia	австралия	(proper noun) australia
austria	австрия	(proper noun) the country of austria
austrian	австрийски	austrian
avar	аварския	a name
aviation	авиация	aviation
awad	ауад	awad
award	награда	award
axit	киселина	acid
ayeyarwady	айеярди	ayeyarwady
ayumi	аюми	(proper noun) ayumi
ayutthaya	аютая	(proper noun) ayutthaya
azerbaijan	азербайджан	(proper noun) azerbaijan
aztec	ацтеките	aztec, as in the aztec people (adj.)
ba	баща	three
babylon	вавилон	babylon
bacon	бекон	bacon
baden	баден	baden
baghdad	багдад	(proper noun) baghdad
bago	баго	bago
bahamas	бахамски острови	bahamas
bahrain	бахрейн	bahrain
baháí	бахайската	bahai
balearic	балеарските	balearic
bali	бали	bali
balkan	балкански	(proper adjective) balkan
balkans	балканите	balkans
ballard	балард	ballard
bamar	bamar	bamar
ban	забрана	the
bang	трясък	state
banh	топка	ball
banner	знаме	banner
bantam	петел	bantam
bantu	ту забрана	bantu
bao	чувал	bao giờ= ever
barack	барак	barack
barak	барак	barak
barbados	барбадос	(proper noun) barbados
barbara	барбара	barbara
barbary	берберска	barbary
barca	барса	barca
barnes	barnes	barnes
barone	бароне	barone
baroque	барок	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	барикело	barrichello
bartholdi	бартолди	bartholdi
baryon	барионен	baryon
barça	барса	(proper noun) barca
base	база	base
basel	базел	basel, a city in switzerland
basil	босилек	basil
baskervilles	baskervilles	baskervilles
bass	бас	bass
bator	батор	bator
battambang	батамбанг	battambang
bauer	бауер	bauer
bay	летя	"(should be ""tuyến bay"") an airline"
bayern	байерн	bayern
bazan	базалт	basalt (n.)
bazơ	основен	base
bb	бб	bb
bbc	би би си	bbc
bc	ж.к.	bc
bchtư	bchtư	central executive
beat	ритъм	beat
beatles	бийтълс	the beatles
beauty	красота	beauty
beckenbauer	бекенбауер	beckenbauer, as in franz beckenbauer
becker	бекер	(proper noun) becker
beckham	бекъм	beckam
bedloe	bedloe	bedloe
beethoven	бетовен	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	зад	behind
beijing	пекин	beijing
bel	бел	bel
bell	звънец	bell
bella	бела	bella
bellatrix	белатрикс	bellatrix
benedict	младоженец	benedict
benetton	бенетон	benetton
benfica	бенфика	benfica
benito	бенито	benito
benjamin	най-малкото дете	(proper noun) benjamin
bennington	bennington	bennigton
berber	берберски	berber
bergen	берген	(proper noun) bergen
berger	berger	berger
bering	берингово	(proper noun) bering, as in the bering strait
berkeley	бъркли	(proper noun) the city of berkeley, california
berman	берман	a name
bermuda	бермуди	(proper noun) bermuda
bernard	бърнард	bernard
bertrand	бертран	bertrand
better	по-добре	better
betty	бети	betty
bhutan	бутан	bhutan
bia	бира	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	бикини	bikini
bill	законопроект	(proper noun) bill, as in former president bill clinton
billy	тояга	billy
bismarck	бисмарк	bismarck, as in otto von bismarck
bitmap	растерна графика	bitmap
biên	рекорд	bien
biếc	примкар	a bluish-green color (adj.)
biếm	небрежен	"(term should be ""biếm họa"") cartoon (n.)"
biến	от	other
biếng	мързелив	lose interest in
biếu	отдавам почит	present
biều	bieu	bieu
biển	море	ocean
biểuthứcđiềukiện	знаят условията	conditional expression
biện	извинявам се	"(term should be ""biện pháp"") a method (n.)"
biệt	отчетлив	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	блекуел	this is a name
blair	блеър	blair
blaise	блез	blaise
blanc	блан	blanc
blues	блуз	blues
bo	бо	a curl, as in a biceps curl exercise
bob	боб	bob
bobby	полицай	bobby, as in bobby day
boeing	boeing	boeing
bohemia	бохемия	bohemia
bolivia	боливия	(proper noun) bolivia
boltzmann	болцман	boltzmann
bom	бомба	bomb
bonaparte	бонапарт	bonaparte
bong	бонг	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	бонобо	bonono
bool	булев	bool
boolean	булева	(proper adjective) boolean, as in boolean algebra
boom	стрела	boom
boong	палуба	a deck (n.)
boongke	бункери	bunker
bop	боп	bop
boris	борис	boris
borland	borland	(proper noun) borland
borussia	борусия	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	босна	(proper noun) bosnia
bosnia	босна	(proper noun) bosnia
botswana	ботсуана	botswana
bottom	дъно	bottom
boulder	речен камък	boulder
bourbon	бърбън	bourbon
boxing	бокс	boxing
brain	мозък	brain
brandenburg	бранденбург	(proper noun) brandenburg
brandt	бранд	brandt
braun	braun	braun
brazil	бразилия	brazil
bremen	бремен	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	бретон	(proper noun) breton
bretton	бретън	hoi nghi
brezhnev	брежнев	brezhnev
brian	брайън	a name
bridge	мост	bridge
britannic	британски	(proper noun) britannic
britney	бритни	britney
brooklyn	бруклин	brooklyn
brot	brot	this is german not vietnamese
brown	кафяв	brown
browne	браун	browne
browning	запържване	(proper noun) browning
bruce	брус	bruce
brunei	бруней	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	брюксел	brussels, the capital of belgium
btr	б.т.р.	btr
bubalis	bubalis	bubalis
budapest	будапеща	budapest, the capital of hungary
bulgaria	българия	bulgaria
bulletin	бюлетин	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	отминавам	(proper noun) burke, as in edmund burke
burkina	буркина	burkina
burma	бирма	burma
burundi	бурунди	burundi
busan	бусан	a korean city
busby	висока хусарска шапка	busby
bush	храст	bush
bushy	гъст	bushy
buôn	на едро	commerce
buông	пусни	to release, to let loose
buýt	автобус	bus
buốt	запален	sharp
buồm	платно	sail
buồn	тъжен	sad
buồng	стая	chamber
buổi	сесия	session
byzantine	византийски	byzantine
bà	баба	woman or lady (n.)
bài	публикации	articles
bàn	маса	table
bàng	орел	eagle
bành	пън	armchair
bào	рендосване	compatriot
bàu	bau	bau
bày	представяне	"(term should be ""trưng bày"") to display (v.)"
bác	чичо	doctor
bách	кипарис	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	култ	to bow (v.)
bám	придържам	cling
bán	продажба	sell
báng	трясък	"(term should be ""phỉ báng"") to defame or slander"
báo	вестник	newspaper (n.)
bát	купа	eight (n.)
báu	съкровище	valuable
bây	сега	now
bã	остатък	"(term should be ""buồn bã"") sad (adj.)"
bãi	ярда	beach
bão	буря	storm
bèn	тогава	then
bé	малко	baby
bén	остър	sharp (adj.)
béo	дебел	fat
bên	страна	side
bênh	болен	advocate
bì	опаковки	foreskin (n.)
bìa	покрийте	cover
bìu	скротум	sac (n.)
bí	скуош	secret
bính	бин	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	тиква	biro
bò	крава	beef
bó	куп	bound (adj.)
bói	гадателство	to foretell (v.)
bón	торя	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	топка	sphere or ball
bóp	стискане	squeeze
bô	баща	"(term should be ""bôxit"") the mineral bauxite"
bôi	намазва	to apply (as in oil)
bông	памук	flower
bù	грим	compensate
bùa	амулет	talisman
bùn	кал	mud
bùng	сигнална ракета	"(term should be ""bùng nổ"") to break out (v.)"
bú	сукане	to suck
búa	чук	a hammer
búi	кичури	tuft
bún	оризови нудълс	noodle
búng	щракна	snap
bút	химилка	pseudonym
băm	хеширана	hash
băn	гриза	concerned
băng	лед	"(term should be ""băng giá"") freezing (adj.)"
bơ	масло	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	плуване	swim
bơm	помпа	pump
bưu	пощенски разноски	post office
bước	стъпка	a step (n.)
bướm	пеперуда	butterfly
bạ	контакти	directory
bạc	сребърен	meager
bạch	бял	"(should be ""bạch tuộc"") an octopus"
bại	губя	defeated
bảng	борд	chart
bảo	бао	protect
bảy	седем	seventh
bấm	натиснете	press
bất	реален	"(term should be ""bất cứ"") any (adj.)"
bấy	че	contemporary
bần	беден	poor
bầu	гласуване	vote
bầy	стадо	servant
bẩm	вроден	congenital
bẩn	мръсен	the
bẩy	капан	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	капан	a trap (n.)
bậc	степен	level or class (n.)
bận	зает	busy
bật	възбуден	outstanding
bắc	север	beijing
bắcnam	север юг	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	фотосесия	shoot
bắp	царевица	venter
bắt	улов	cross
bằng	равен	by
bẹp	любов	crush
bẻ	почивка	break
bẽ	унижение	humiliate
bến	пристан	wharf
bếp	кухня	kitchen
bề	повърхност	"(should be ""bề mặt"") a surface"
bền	траен	enduring (v.)
bể	духало	tank
bệ	пиедестал	base
bện	сплетена	braided (adj.)
bệnh	болен	benh
bỉ	белгия	disgust
bỉnh	палав	binh
bịch	туп	ridiculous
bịt	покрит	cover
bọ	буболечка	insect
bọc	обвивка	to cover or enclose (v.)
bọn	тях	a group (n.)
bọng	подпухналост	bladder
bọt	пяна	foam
bỏ	отмяна	to leave (v.)
bỏng	горя	hot
bố	баща	"(term should be ""tuyên bố"") to declare"
bốc	зареждане	bốc lửa= on fire
bối	объркан	messy
bốn	четири	four
bồi	компенсация	"(term should be ""cao bồi"") cowboy (n.)"
bổn	мито	duty
bổng	стипендия	"with word luong, means ""salary"" or ""wages"""
bỗng	внезапно	suddently
bộ	комплектът	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	многократни	betray
bột	брашно	powder or flour (n.)
bớ	закръглям	arrest
bớt	по-малко	less
bờ	ръб, край	coast
bời	скитник	profuse
bở	от	profitable
bởi	от	because
bục	подиум	platform
bụng	стомах	abdomen
bứt	несъзнателно	"(term should be ""bứt phá"") power (n.)"
bừa	мъчителен	messy, careless, or topsy-turvy (adj.)
bữa	брашно	meal (n.)
bực	осуетено	bother
ca	изместване	praise
ca-lo	ва-ло	a unit of measurement
cabo	cabo	cabo
cacbon	въглероден	carbon
cacbonat	карбонат	carbonate
cacbua	карбид	carbides, carbon ions
caesar	цезар	caesar
caffein	кофеин	caffeine
café	кафе	coffee
cai	cai	govern
cairo	кайро	cairo, the capital of egypt
cal	кал	cal, a first name
calculus	смятане	calculus
calvin	калвин	calvin
cam	портокали	commit
cambodia	камбоджа	(proper noun) the country of cambodia
cambridge	кеймбридж	cambridge
cameo	камея	cameo part
cameron	камерън	cameron
cameroon	камерун	cameroon
camille	камий	camille
campbell	кембъл	campbell
campuchia	камбоджа	campuchia
canada	канада	canada
canadian	канадски	canadian
canal	канал	canal
canary	канарче	canary
cancer	рак	cancer
canterbury	етажерка за ноти	canterbury
canxi	калций	calcium
capello	капело	capello
capra	капра	capra
carat	карат	carat
carbine	карабина	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	кери	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	карибите	caribbean
carl	карл	carl
carlos	карлос	carlos
carnaval	карнавал	carnaval
carol	коледна песен	carol
caroline	каролин	(proper noun) caroline
carpathia	карпатска	carpathia
carter	каруцар	carter
carxtơ	карат	karst topography, a geological term (n.)
casa	ca sa	casa
casablanca	казабланка	casablanca
caspia	caspia	caspia
cassini	касини	cassini
cast	отливка	cast
castries	кастрис	castries
castro	кастро	castro, as in fidel castro
cathay	cathay	cathay
catherine	катрин	catherine
cau	ока	cau
cbc	тгс	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	видеонаблюдение	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cd rom	cd-rom
cell	клетка	cell
celtic	келтски	centic
cena	диапазон	(proper noun) cena, as in john cena, the wrestler
centauri	кентавър	centauri
ceres	ceres	ceres
cha	татко	father
chai	бутилка	bottle
chaillot	шайо	a name
chamberlain	камерхер	chamberlain
champa	чампа	champa
champion	шампион	champion
chamẹ	родители	parents
chanel	шанел	chanel
chanh	лимон	lemon or lime (n.)
chao	здрасти	(proper noun) chao, a name
charles	чарлз	charles
charlotte	шарлота	charlotte
charlton	чарлтън	charlton
charon	харон	(proper noun) charon
chase	гонитба	chase
chay	вегетарианец	fasting
chdcnd	chdcnd	democratic republic
che	покрийте	cover
chechnya	чечения	chechnya
chen	чен	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	чи	"(term should be ""chi tiết"") details (n.)"
chia	дял	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	чикаго	chicago, as in chicago, illinois
chile	чили	(proper noun) the country of chile
chim	птица	bird
china	китай	china
ching	чинг	ching
chirac	ширак	chirac, as in former french president jacques chirac
chiêm	астрологична	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	пържени	fry
chiêng	гонг	gong
chiếc	бр	the
chiếm	отчитане	appropriate
chiến	битка	war, fight
chiết	екстракт	literal
chiếu	подложка	show
chiền	куп	temple
chiều	ч	length
chlamydia	хламидия	chlamydia
chloride	хлорид	chloroauric acid
chnd	chnd	chnd
choi	игра	choi
chomsky	чомски	chomsky
chong	чонг	chong
chopin	шопен	chopin
chosŏn	choson	(proper noun) choson
choàng	нос	coat
choáng	зашеметен	dizzy
chris	крис	chris, as in chris hughes
christ	христос	christ
christian	кристиян	christian
christopher	кристофър	christopher
chrome	хром	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	чу	cycle
chua	вгорчи	tomato
chuck	патронник	(proper noun) chuck, as in chuck norris
chui	изтриване	underground
chum	съквартирант	pot
chun	чун	chun
chung	общ	general
churchill	чърчил	churchill
chuyên	специализиран	professional
chuyến	пътуване	trip
chuyền	минавам	volleyball
chuyển	преодолях го	to move
chuyện	история	nói chuyện= talk
chuôi	хващам	handle
chuông	звънец	a bell
chuẩn	стандарт	standard
chuốc	мушкам	incur
chuối	банан	banana
chuốt	протегляне	refine
chuồng	клетка	cage
chuỗi	верига	series
chuộc	изкупи	redeem
chuộng	облагодетелствуван	favorite
chuột	мишка	a mouse (n.)
chà	трия	rub
chài	риболов	fish
chàm	индиго	indigo
chàng	човек	"(term should be ""chàng trai"") a young man (n.)"
chào	здравейте	welcome
chày	бейзбол	a pestle (n.)
chánh	главен	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	овесена каша	porridge
cháu	внуци	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	пожар	fire
châm	убождане	motto
chân	крак	a leg
châu	европа	continental
chè	чай	tea
chèn	вложка	insert
chém	разрез	to chop
chén	чаша	bowl
chéo	кръст	cross
chép	копие	written
chê	проклет	decry
chênh	разлика	difference
chì	водя	graphite
chìa	ключ	"(term should be ""chìa khoá"") a key (n.)"
chìm	потъна	to become submerged or sink (v.)
chình	змиорка	eel
chí	въшки	especially
chích	ужилване	shoot
chín	девет	ripe
chính	основен	main
chít	бележчица	dense
chò	дросел	a type of plant, typically of the parashorea genus (n.)
chòi	кабина	hut
chòm	съзвездие	constellation
chó	куче	dog
chóc	хаха	killing (giet choc)
chói	ослепителен блясък	bright
chóng	бързо	"entire term should be ""chong mat""; means ""dizzy"""
chóp	връх	the top (n.)
chôm	рамбутан	rambutan
chôn	погребе	bury
chông	съпруг	thorn
chùa	храм	pagoda
chùy	боздуган	mace
chú	чичо	uncle (n.)
chúa	бог	god
chúc	да пожелая	will
chúi	tuu	drop
chúng	тях	they
chút	само малко	little
chăm	трудно	champa
chămpa	чампа	champa
chăng	на достъпни цени	would it
chĩa	вилици	point
chơi	игра	play
chơn	крака	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	чу	lower authorities
chưa	все още не	not yet
chưng	дист	steamed
chương	глава	medal
chướng	курс с препятствия	grating
chạ	безразборен	father
chạm	докосване	touch
chạng	полумрак	twilight
chạp	съмнителен	slow
chạy	тичам	to run (v.)
chả	ролки	no
chảo	тиган	pan
chảy	тичам	bleeding
chấm	точка	end
chấp	предизвикателство	"(term should be ""chấp nhận"") to accept (v.)"
chất	въпрос	quality
chấu	щипка	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	бланширане	slice
chẩn	поставям диагноза	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	бавен	slow
chận	блок	block
chật	стегнат	overcrowded
chậu	гърне	pelvic
chắc	сигурен	certainly
chằng	чело	ligament
chẵn	дори	even
chặn	блокирайте	prevent
chặng	крак	journey
chặt	котлет	close
chẻ	разцепване	strick
chẽ	стегнат	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	препарати	produce
chếch	отпускате	oblique
chết	починал	to die (v.)
chệch	погрешно	deviant
chỉ	просто	just (adv.)
chỉnh	корекция	adjust
chịt	глупости	chằn chịt= complex/tangle
chịu	мечка	tolerate
chọc	ръчкам	to poke
chọi	борба	oppose
chọn	избирам	to choose
chỏ	лакът	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	момент	single
chối	отричам	refuse
chốn	място	place
chống	анти	anti-
chốt	резе	important
chồi	издънки	"(term should be ""đâm chồi"") budding"
chồn	лисица	anxious
chồng	съпруг	husband
chỗ	място	where
chội	лайна	cramped
chớ	недей	not
chớp	мълния	flashing (adj.)
chờ	изчакайте	to wait
chở	балансовата	for
chợ	пазар	market
chợt	внезапно	suddenly
chục	дузина	dozen
chụp	снимай	capture
chủ	майстор	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	щамове	strain
chứ	по-скоро	just or only (adv.)
chứa	съдържа	contain
chức	функция	function
chừ	писмо	hesitate
chừa	оставяйки	leave
chừng	някои	about or roughly (adv.)
chử	дума	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	бременна	pregnant
chửi	ругатни	curse
chữ	дума	a letter of the alphabet (n.)
chữa	лек	to cure or treat (v.)
chững	изравняване	to totter (v.)
cia	цру	cia
cincinnati	синсинати	cincinnati
cinderella	пепеляшка	cinderrella
cip	cip	cip
circus	цирк	circus
cities	градове	cities
clara	клара	clara
clark	кларк	clark
claude	клод	(proper noun) claude
claudius	клавдий	(proper noun) claudius
clinton	клинтън	clinton, as in former president bill clinton
clip	клипс	clip
clips	клипове	clips
clo	хлор	chlorine
clow	шлюзни врати	clow
clyde	клайд	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	ко	spasm
coburn	кобърн	coburn
cocoa	какао	cocoa
coen	коен	coen
coffea	coffea	coffee
cohen	коен	cohen
coi	гледам	to regard
coleen	колийн	coleen
coleman	колман	coleman
coli	коли	coli
colin	колин	(proper noun) colin, as in colin powell
colleen	младо момиче	colleen
college	колеж	college
collins	колинс	(proper noun) collins
collège	collège	college (n.)
colombia	колумбия	colombia
colombo	коломбо	(proper noun) colombo
colorado	колорадо	(proper noun) colorado, as in the state
columbus	колумб	columbus
comic	комичен	comic
common	често срещани	common
concacaf	конкакаф	concacaf
concerto	концерт	concerto
concorde	конкорд	concorde
condom	презерватив	condom
cong	извит	curved or bent
congo	конго	congo
congress	конгрес	congress, as in library of congress
connecticut	кънектикът	connecticut
conrad	конрад	corrad
conservation	запазване	conservation
constantine	константин	constantine
contemporary	съвременен	contemporary
cooper	бъчвар	(proper noun) cooper
copenhagen	копенхаген	copenhagen
copernic	коперник	corpernic
copperfield	копърфийлд	(proper noun) copperfield, as in magician david copperfield
coppola	копола	coppola
copy	копие	copy
cordyceps	кордицепс	cordyceps
core	сърцевина	core
cornell	корнел	cornell
cosin	cosin	cosine
costa	коста	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	крейг	(proper noun) craig
crazy	луд	crazy
crespo	креспо	(proper noun) crespo
crest	гребен	crest
crew	екипаж	crew
crimson	пурпурен	crimson
crisis	криза	crisis
cristiano	кристиано	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	хърватия	croatia
cross	кръст	cross
crs	crs	crs
cruz	круз	cruz
cruzeiro	крузейро	cruzeiro
crystal	кристал	crystal
ctc	ctc	ctc
cua	рак	crab (n.)
cullen	кълън	a name
cung	лък	circle
cunningham	кънингам	cunningham; proper name
cup	чаша	cup
cuả	на	of, from, belonging to
cuốc	мотики	hoe
cuối	последно	last or final (adj.)
cuốn	бобина	book
cuống	стъбло	throat
cuồng	луд	crazy (adj.)
cuộc	на	the
cyanide	цианид	cyanide
cyber	кибер	cyber
cyril	кирил	(proper noun) cyril
cyrus	сайръс	cyrus
cyworld	cyworld	cyword
cà	кафе	ca
cài	инсталирай	install
càn	трябва	raid
càng	колкото повече	cang
cành	клон	branch
cào	драскотина	scratch
cày	оран	plow
các	на	all (adv.)
cách	път	the
cái	на	"(term should be ""con cái"") children (n.)"
cán	валцован	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	крило	wing
cáo	лисица	report
cáopx|bình	cáopx | средно	not a word
cáp	кабел	cable (n.)
cáy	цигулар	fiddler
câm	тъп	mute (adj.)
cân	везни	weight
câu	изречението	saying
cãi	споря	argue
cò	тригер	stork
còn	все още	to have left (v.)
có	имам	have
cói	острица	machine
cót	кошара	cot
cô	мис	girl
côi	осиротял	orphaned
côn	свещица	a stick (n.)
công	работа	worker
côngtenơ	контейнер	container
cõi	сфери	entire area
cõng	фургони	piggyback
cù	гъдел	cu
cùi	прокажени	leprosy
cùng	и	together
cú	бухал	old
cúi	лък	to bow (v.)
cúm	грип	cum
cúng	уютна	worship
cúp	чаша	cup (n.)
cút	излез	to kick someone out (v.)
căm	включен	detest (cam thu)
căn	радикален	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	опъвам, разтягам	tense
cũ	стар	old
cũi	детско креватче	kennel
cũng	също	also
cơm	ориз	rice
cư	попълвам	resident
cưa	трион	saw
cưng	моето бебе	also
cước	товарен	megaman
cưới	женен	marry
cướp	грабя	to rob (v.)
cười	смях	smile
cường	силен	strengthen
cưỡi	езда	ride
cưỡng	принуден	force some body to do some thing. cưỡng dâm=rape
cạc	карта	card (n.)
cạn	плитък	shallow
cạnh	ръб, край	"(term should be ""khía cạnh"") an angle"
cạo	бръснене	shave
cạp	скорпион	scorpion
cả	и двете	both
cải	горчица	reform
cảm	студ	pleasure
cản	измъчван	prevent
cảng	порт	port
cảnh	сцена	situation
cảo	дърпа	posthumous
cấm	забрани	ban
cấn	трябва	dramatic
cấp	грант	level or rank (n.)
cất	дестилирана	"(term should be ""cất giữ"") to keep safe or store"
cầm	изчакване	to hold (v.)
cần	трябва	need
cầu	мост	request
cầy	цибетка	farmed
cẩn	бъди внимателен	carefully
cẩu	кран	"(term should be ""hải cẩu"") a seal (n.)"
cận	приближаване	close
cập	брояч	mention
cậu	момче	a young man (n.)
cậy	зависи	reliable
cắm	включете	to plant (v.)
cắn	хапя	to bite
cắp	кражба	steal
cắt	разрез	cut
cằm	брадичка	chin
cằn	ядосан	exhausted (adj.)
cặp	чанта	couple
cọ	трия	rub
cọc	купчина	pile
cọp	тигър	tiger
cỏ	трева	plant
cố	опитвам	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	чашата	cereal
cối	хоросан	mortar
cốm	хапки	grilled rice
cống	източване	dedicate
cồn	алкохол	i
cồng	гонг	gong
cổng	порта	gate
cỗ	палуба	engine
