$ tỉ	$ अरब	$ billion
allen	एलन	(proper noun) allen
allmusic	ऑलम्यूज़िक	allmusíc
alois	alois	alois
alonso	अलोंसो	alonso
alpher	alpher	(proper noun) alpher
alps	आल्पस	alps
altai	अल्ताई	altai
always	सदैव	luon luon
amaravati	अमरावती	amaravati
amazon	वीरांगना	amazon
amdo	amdo	(proper noun) amdo
ame	एएमई	ame
ami	अमी	ami
amiens	एमियेन्ज़	amiens
amin	अमाइन	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	अमोनिया	ammonium (n.)
amphitrite	amphitrite	(proper noun) amphitrite, a greek sea goddess
an	सुरक्षा	"(should be ""an toàn"") safe"
anand	आनंद	anand
anata	अनत	anata
anatolia	अनातोलिया	anatolia
andalusia	andalusia	andalusia
andaman	अंडमान	andaman
anderson	एंडरसन	anderson
andes	एंडीज	andes
andorra	एंडोरा	andorra
andrew	एंड्रयू	andrew
andré	आंद्रे	andre, as in andre morval
andy	एंडी	(proper noun) andy, as in andy warhol
anfield	एनफील्ड	anfield
ang	आंग	ang
angkor	अंगकोर	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	एंग्लोसेक्सॉन	anglo-saxon
anh	आप	english
anhmỹ	anhmy	"(term should be ""anh mỹ"") english or american"
anhpháp	फ्रांस के मि	england-france
ankara	अंकारा	ankara
ankyl	एल्काइल	ankly
anna	अन्ना	anna
annam	अन्नम	a name the way french called middle vietnam as a colony
annan	अन्नान	annan
anne	ऐनी	anne, a name
anorthosit	anorthosite	anorthosit, a type of igneous rock (n.)
anthony	एंथोनी	anthony
antigua	एंटीगुआ	(proper noun) antigua
anton	एंटोन	anton
antonov	एंटोनोव	antonov
any	कोई	any
anđêhít	एल्डिहाइड	aldehydes
ao	तालाब	pond
aotearoa	aotearoa	aotearoa
apollo	अपोलो	apollo
apple	सेब	apple
aquinas	एक्विनास	a name
arab	अरब	(proper noun) arab
archetypal	ठेठ	archetypal
archive	पुरालेख	archive
arctan	arctan	a function
ares	एरेस	ares
argentina	अर्जेंटीना	(proper noun) the south american nation of argentina
argo	argo	argo
arias	एरियस	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	अरस्तू	aristotle
arizona	एरिज़ोना	arizona, as in the state
ark	संदूक	ark
arkansas	अर्कांसस	arkansas
arlington	arlington	(proper noun) arlington
armenia	आर्मीनिया	(proper noun) armenia
armstrong	आर्मस्ट्रांग	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	अर्नोल्ड	arnold
arsenal	शस्त्रागार	arsenal
artemis	आर्टेमिस	(proper noun) artemis, the greek goddess of the hunt
aruba	अरूबा	aruba
arunachal	अरुणाचल	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	एएससी	asc
ash	एश	a name
ashikaga	आशिकागा	ashikaga
ashley	एशले	(proper noun) ashley
asia	एशिया	asia
asm	एएसएम	asm
asoka	अशोका	asoka
association	संगति	association
assyria	असीरियन	assyria
aston	एस्टन	(proper noun) aston, as in aston villa
atkinson	एटकिंसन	atkinson
atlanta	अटलांटा	atlanta
atlantic	अटलांटिक	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	श्रवण	audition
auflage	auflage	auflage
auguste	अगस्टे	auguste
australia	ऑस्ट्रेलिया	(proper noun) australia
austria	ऑस्ट्रिया	(proper noun) the country of austria
austrian	ऑस्ट्रिया	austrian
avar	avar	a name
aviation	विमानन	aviation
awad	अवाद	awad
award	पुरस्कार	award
axit	अम्ल	acid
ayeyarwady	एइयारवादी	ayeyarwady
ayumi	अयूमी	(proper noun) ayumi
ayutthaya	अयूथया	(proper noun) ayutthaya
azerbaijan	आज़रबाइजान	(proper noun) azerbaijan
aztec	एज़्टेक	aztec, as in the aztec people (adj.)
ba	तीन	three
babylon	बेबीलोन	babylon
bacon	बेकन	bacon
baden	बाडेन	baden
baghdad	बगदाद	(proper noun) baghdad
bago	बैगो	bago
bahamas	बहामा	bahamas
bahrain	बहरीन	bahrain
baháí	बहाई	bahai
balearic	balearic	balearic
bali	बाली	bali
balkan	बलकानी	(proper adjective) balkan
balkans	बलकान	balkans
ballard	बेलार्ड	ballard
bamar	bamar	bamar
ban	विभाग	the
bang	राज्यों	state
banh	गेंद	ball
banner	बैनर	banner
bantam	बैंटम	bantam
bantu	बंटू	bantu
bao	बैग	bao giờ= ever
barack	बराक	barack
barak	बराक	barak
barbados	बारबाडोस	(proper noun) barbados
barbara	बारबरा	barbara
barbary	बार्बरी	barbary
barca	barca	barca
barnes	बार्न्स	barnes
barone	barone	barone
baroque	बारोक	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	बेरिऑनों	baryon
barça	बार्का	(proper noun) barca
base	आधार	base
basel	बेसल	basel, a city in switzerland
basil	तुलसी	basil
baskervilles	baskervilles	baskervilles
bass	बास	bass
bator	बतोर	bator
battambang	बट्टमबैंग	battambang
bauer	bauer	bauer
bay	मक्खी	"(should be ""tuyến bay"") an airline"
bayern	बेयर्न	bayern
bazan	बाजालत	basalt (n.)
bazơ	अड्डों	base
bb	bb	bb
bbc	बीबीसी	bbc
bc	बीसी	bc
bchtư	केंद्रीय समिति	central executive
beat	हरा	beat
beatles	बीटल्स	the beatles
beauty	सुंदरता	beauty
beckenbauer	बेकनबावर	beckenbauer, as in franz beckenbauer
becker	बेकर	(proper noun) becker
beckham	बेकहम	beckam
bedloe	bedloe	bedloe
beethoven	बीथोवेन	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	पीछे	behind
beijing	बीजिंग	beijing
bel	बेल	bel
bell	घंटी	bell
bella	बेला	bella
bellatrix	बेलाट्रिक्स	bellatrix
benedict	बेनिदिक्त	benedict
benetton	बेनेटन	benetton
benfica	बेनफिका	benfica
benito	बेनिटो	benito
benjamin	बेंजामिन	(proper noun) benjamin
bennington	बेनिंगटन	bennigton
berber	हज्जाम	berber
bergen	बर्गन	(proper noun) bergen
berger	बर्जर	berger
bering	बेरिंग	(proper noun) bering, as in the bering strait
berkeley	बर्कले	(proper noun) the city of berkeley, california
berman	बर्मन	a name
bermuda	बरमूडा	(proper noun) bermuda
bernard	बर्नार्ड	bernard
bertrand	बर्ट्रेंड	bertrand
better	बेहतर	better
betty	बेट्टी	betty
bhutan	भूटान	bhutan
bia	बियर	beer (n.)
biang	biang	biang
bic	बीआईसी	bic
bikini	बिकिनी	bikini
bill	बिल	(proper noun) bill, as in former president bill clinton
billy	बील्ली	billy
bismarck	बिस्मार्क	bismarck, as in otto von bismarck
bitmap	बिटमैप्स	bitmap
biên	अभिलेख	bien
biếc	नीला सा	a bluish-green color (adj.)
biếm	हास्य चित्र	"(term should be ""biếm họa"") cartoon (n.)"
biến	परिवर्तनशील	other
biếng	आलसी	lose interest in
biếu	प्रस्ताव	present
biều	टेबल और	bieu
biển	समुद्र	ocean
biểuthứcđiềukiện	स्थितियों को जानें	conditional expression
biện	उपायों	"(term should be ""biện pháp"") a method (n.)"
biệt	विशेष	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	ब्लैकवेल	this is a name
blair	ब्लेयर	blair
blaise	blaise	blaise
blanc	ब्लॉन्क	blanc
blues	ब्लूज़	blues
bo	बो	a curl, as in a biceps curl exercise
bob	बॉब	bob
bobby	पुलिसमैन	bobby, as in bobby day
boeing	बोइंग	boeing
bohemia	बोहेमिया	bohemia
bolivia	बोलीविया	(proper noun) bolivia
boltzmann	बोल्ट्जमान	boltzmann
bom	बम	bomb
bonaparte	बोनापार्ट	bonaparte
bong	बुलबुला	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	बोनोबो	bonono
bool	bool	bool
boolean	बूलियन	(proper adjective) boolean, as in boolean algebra
boom	उछाल	boom
boong	डेक	a deck (n.)
boongke	बंकर	bunker
bop	बोप	bop
boris	बोरिस	boris
borland	borland	(proper noun) borland
borussia	बोरुसिया	borussia
bose	बोस	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	बोस्निया	(proper noun) bosnia
botswana	बोत्सवाना	botswana
bottom	तल	bottom
boulder	बोल्डर	boulder
bourbon	बर्बन	bourbon
boxing	मुक्केबाज़ी	boxing
brain	मस्तिष्क	brain
brandenburg	ब्रांडेनबर्ग	(proper noun) brandenburg
brandt	brandt	brandt
braun	ब्रौन	braun
brazil	ब्राज़िल	brazil
bremen	ब्रेमेन	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	ब्रेटन	(proper noun) breton
bretton	ब्रेटन	hoi nghi
brezhnev	ब्रेजनेव	brezhnev
brian	ब्रायन	a name
bridge	पुल	bridge
britannic	ब्रीटन्नीअ का	(proper noun) britannic
britney	ब्रिटनी	britney
brooklyn	ब्रुकलीन	brooklyn
brot	brot	this is german not vietnamese
brown	भूरा	brown
browne	ब्राउन	browne
browning	तमंचा	(proper noun) browning
bruce	ब्रूस	bruce
brunei	ब्रुनेई	brunei
bruno	ब्रूनो	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	ब्रसेल्स	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	बुडापेस्ट	budapest, the capital of hungary
bulgaria	बुल्गारिया	bulgaria
bulletin	बुलेटिन	thong bao
bungary	बल्गेरियाई	bungary
bungo	बुंगो	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	मना करना	(proper noun) burke, as in edmund burke
burkina	बुर्किना	burkina
burma	बर्मा	burma
burundi	बुस्र्न्दी	burundi
busan	बुसान	a korean city
busby	बस्बी	busby
bush	झाड़ी	bush
bushy	जंगली	bushy
buôn	तस्करी	commerce
buông	जाने दो	to release, to let loose
buýt	बस	bus
buốt	उत्सुक	sharp
buồm	पाल	sail
buồn	उदास	sad
buồng	मंत्रिमंडल	chamber
buổi	दिन	session
byzantine	बीजान्टिन	byzantine
bà	वह	woman or lady (n.)
bài	पोस्ट	articles
bàn	तालिका	table
bàng	ईगल	eagle
bành	पैक	armchair
bào	सेल	compatriot
bàu	bau	bau
bày	प्रस्तुत करता है	"(term should be ""trưng bày"") to display (v.)"
bác	चाचा	doctor
bách	सरो	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	पंथ	to bow (v.)
bám	चिपटना	cling
bán	बेचने	sell
báng	क्रुप	"(term should be ""phỉ báng"") to defame or slander"
báo	अख़बार	newspaper (n.)
bát	कटोरा	eight (n.)
báu	खजाना	valuable
bây	अब	now
bã	तलछट	"(term should be ""buồn bã"") sad (adj.)"
bãi	पार्क	beach
bão	आंधी	storm
bèn	तो	then
bé	छोटा	baby
bén	तेज़	sharp (adj.)
béo	वसा	fat
bên	पक्ष	side
bênh	बचाव किया	advocate
bì	पैकिंग	foreskin (n.)
bìa	आवरण	cover
bìu	अंडकोश की थैली	sac (n.)
bí	कद्दू	secret
bính	पिनयिन	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	पेन	biro
bò	गाय	beef
bó	समूह	bound (adj.)
bói	भाग्य बताने वाला	to foretell (v.)
bón	उर्वरक	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	गेंद	sphere or ball
bóp	निचोड़	squeeze
bô	उन्माद	"(term should be ""bôxit"") the mineral bauxite"
bôi	साबुन का झाग	to apply (as in oil)
bông	कपास	flower
bù	बना लेना	compensate
bùa	ताबीज़	talisman
bùn	कीचड़	mud
bùng	उछाल	"(term should be ""bùng nổ"") to break out (v.)"
bú	चूसना	to suck
búa	हथौड़ा	a hammer
búi	गुच्छा	tuft
bún	सिर	noodle
búng	flicking	snap
bút	लेखनी	pseudonym
băm	हैश	hash
băn	आश्चर्य	concerned
băng	बर्फ़	"(term should be ""băng giá"") freezing (adj.)"
bơ	मक्खन	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	तैरना	swim
bơm	पंप	pump
bưu	डाक का	post office
bước	चरणों	a step (n.)
bướm	तितली	butterfly
bạ	निर्देशिका	directory
bạc	चांदी	meager
bạch	सफेद	"(should be ""bạch tuộc"") an octopus"
bại	पक्षाघात	defeated
bảng	तालिका	chart
bảo	सुरक्षा	protect
bảy	सात	seventh
bấm	प्रेस	press
bất	असली	"(term should be ""bất cứ"") any (adj.)"
bấy	तो	contemporary
bần	धर्मशाला	poor
bầu	निर्वाचित	vote
bầy	झुंड	servant
bẩm	जन्मजात	congenital
bẩn	गंदा	the
bẩy	फंदा	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	फंदा	a trap (n.)
bậc	हद	level or class (n.)
bận	व्यस्त	busy
bật	चालू किया	outstanding
bắc	उत्तर	beijing
bắcnam	bacnam	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	शूटिंग	shoot
bắp	मकई	venter
bắt	पकड़ने के लिए	cross
bằng	बराबर	by
bẹp	कुचल	crush
bẻ	ब्रेक	break
bẽ	अपमानित	humiliate
bến	बर्थ	wharf
bếp	कुकर	kitchen
bề	सतह	"(should be ""bề mặt"") a surface"
bền	तक चलने वाले	enduring (v.)
bể	सुलभ	tank
bệ	मंच	base
bện	लट	braided (adj.)
bệnh	बीमार	benh
bỉ	बेल्जियम	disgust
bỉnh	बिन्ह	binh
bịch	बैग	ridiculous
bịt	सीलेंट	cover
bọ	बग	insect
bọc	चादर	to cover or enclose (v.)
bọn	हमें	a group (n.)
bọng	सूजन	bladder
bọt	झाग	foam
bỏ	छोड़ देना	to leave (v.)
bỏng	जलाना	hot
bố	पिता	"(term should be ""tuyên bố"") to declare"
bốc	लदान	bốc lửa= on fire
bối	दिए गए	messy
bốn	चार	four
bồi	मुआवज़ा	"(term should be ""cao bồi"") cowboy (n.)"
bổn	उत्तरदायित्व	duty
bổng	सीटी	"with word luong, means ""salary"" or ""wages"""
bỗng	अचानक	suddently
bộ	विभाग	part
bộc	चढ़ाव	"(term should be ""bộc lộ"") to reveal (v.)"
bội	विभिन्न	betray
bột	आटा	powder or flour (n.)
bớ	गोल करना	arrest
bớt	कमी	less
bờ	धार	coast
bời	बोई	profuse
bở	भुरभुरा	profitable
bởi	द्वारा	because
bục	मंच	platform
bụng	पेट	abdomen
bứt	लेखनी	"(term should be ""bứt phá"") power (n.)"
bừa	हेंगा	messy, careless, or topsy-turvy (adj.)
bữa	सुलभ	meal (n.)
bực	परेशान	bother
ca	मंत्र	praise
ca-lo	कैलोरी	a unit of measurement
cabo	काबो	cabo
cacbon	कार्बन	carbon
cacbonat	कार्बोनेट	carbonate
cacbua	carbides	carbides, carbon ions
caesar	सीज़र	caesar
caffein	कैफीन	caffeine
café	कैफे	coffee
cai	वापसी	govern
cairo	काहिरा	cairo, the capital of egypt
cal	कैलोरी	cal, a first name
calculus	गणना	calculus
calvin	केल्विन	calvin
cam	संतरे	commit
cambodia	कंबोडिया	(proper noun) the country of cambodia
cambridge	कैंब्रिज	cambridge
cameo	कैमिया	cameo part
cameron	कैमरून	cameron
cameroon	कैमरून	cameroon
camille	केमिली	camille
campbell	कैंपबेल	campbell
campuchia	campuchia	campuchia
canada	कनाडा	canada
canadian	कैनेडियन	canadian
canal	नहर	canal
canary	पीतचटकी	canary
cancer	कैंसर	cancer
canterbury	कैंटरबरी	canterbury
canxi	कैल्शियम	calcium
capello	कैपेलो	capello
capra	काप्रा	capra
carat	कैरट	carat
carbine	काबैन	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	केरी	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	कैरेबियन	caribbean
carl	कार्ल	carl
carlos	कार्लोस	carlos
carnaval	कार्निवाल	carnaval
carol	तराना	carol
caroline	कैरलाइन	(proper noun) caroline
carpathia	carpathia	carpathia
carter	गाड़ीवान	carter
carxtơ	कार्स्ट	karst topography, a geological term (n.)
casa	कासा	casa
casablanca	कैसाब्लांका	casablanca
caspia	कैस्पियन	caspia
cassini	कैसिनी	cassini
cast	डाली	cast
castries	केस्ट्रीज़	castries
castro	कास्त्रो	castro, as in fidel castro
cathay	कैथे	cathay
catherine	कैथरीन	catherine
cau	cau	cau
cbc	सीबीसी	cbc
cbgd	व्याख्याता	educational  officer
cbs	सीबीएस	cbs
ccc	सीसीसी	ccc
ccn	ccn	industrial cluster
cctv	सीसीटीवी	cctv
cd	सीडी	cd
cdot	सी-डॉट	cdot
cdrom	सीडीरॉम	cd-rom
cell	सेल	cell
celtic	केल्टिक	centic
cena	सीना	(proper noun) cena, as in john cena, the wrestler
centauri	सेंतौरी	centauri
ceres	सायरस	ceres
cha	पिता	father
chai	बोतल	bottle
chaillot	chaillot	a name
chamberlain	चैमबलेन	chamberlain
champa	चंपा	champa
champion	चैंपियन	champion
chamẹ	chame	parents
chanel	चैनल	chanel
chanh	नींबू	lemon or lime (n.)
chao	चाओ	(proper noun) chao, a name
charles	चार्ल्स	charles
charlotte	चालट	charlotte
charlton	चार्लटन	charlton
charon	कैरन	(proper noun) charon
chase	पीछा	chase
chay	शाकाहारी	fasting
chdcnd	उत्तर	democratic republic
che	आवरण	cover
chechnya	चेचन्या	chechnya
chen	chen	chen
cheo	कृसियन	"(term should be ""cheo reo"") name of a town"
chi	व्यय	"(term should be ""chi tiết"") details (n.)"
chia	विभाजन	"(term should be ""chia sẻ"") to share"
chiang	च्यांग	chiang
chicago	शिकागो	chicago, as in chicago, illinois
chile	चिली	(proper noun) the country of chile
chim	पक्षी	bird
china	चीन	china
ching	चिंग	ching
chirac	शिराक	chirac, as in former french president jacques chirac
chiêm	सपना	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	तला हुआ	fry
chiêng	घंटा	gong
chiếc		the
chiếm	अधिकृत	appropriate
chiến	लड़ाई	war, fight
chiết	निष्कर्षण	literal
chiếu	चटाई	show
chiền	मंदिरों	temple
chiều	शाम	length
chlamydia	क्लैमाइडिया	chlamydia
chloride	क्लोराइड	chloroauric acid
chnd	pdr	chnd
choi	चोई	choi
chomsky	चोमस्की	chomsky
chong	चोंग	chong
chopin	चोपिन	chopin
chosŏn	त्रिनिदाद का ध्वज	(proper noun) choson
choàng	ओढ़ना	coat
choáng	अचेत	dizzy
chris	क्रिस	chris, as in chris hughes
christ	ईसा मसीह	christ
christian	ईसाई	christian
christopher	क्रिस्टोफर	christopher
chrome	क्रोम	chrome, as in google chrome
chrysler	क्रिसलर	(proper noun) chrysler, the car company
chu	चक्र	cycle
chua	खट्टा	tomato
chuck	चक	(proper noun) chuck, as in chuck norris
chui	चूई	underground
chum	दोस्त	pot
chun	चुन	chun
chung	सामान्य	general
churchill	चर्चिल	churchill
chuyên	विशेष	professional
chuyến	यात्रा	trip
chuyền	वालीबाल	volleyball
chuyển	आगे	to move
chuyện	बात	nói chuyện= talk
chuôi	कष्ट	handle
chuông	घंटी	a bell
chuẩn	मानक	standard
chuốc	पूछ	incur
chuối	केले	banana
chuốt	broaching	refine
chuồng	पिंजरा	cage
chuỗi	श्रृंखला	series
chuộc	प्रायश्चित	redeem
chuộng	लोकप्रिय	favorite
chuột	माउस	a mouse (n.)
chà	रगड़	rub
chài	मछली पकड़ना	fish
chàm	नील	indigo
chàng	पुरुष	"(term should be ""chàng trai"") a young man (n.)"
chào	हाय	welcome
chày	बेसबॉल	a pestle (n.)
chánh	प्रमुख	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	दलिया	porridge
cháu	पोते	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	आग	fire
châm	चुभन	motto
chân	पैर	a leg
châu	महाद्वीपीय	continental
chè	चाय	tea
chèn	डालने	insert
chém	कमी	to chop
chén	कप	bowl
chéo	पार	cross
chép	प्रतिलिपि	written
chê	लानत	decry
chênh	अंतर	difference
chì	नेतृत्व	graphite
chìa	कुंजी	"(term should be ""chìa khoá"") a key (n.)"
chìm	पनडुब्बी	to become submerged or sink (v.)
chình	एक प्रकार की मछली	eel
chí	विज्ञप्ति	especially
chích	चुभन	shoot
chín	नौ	ripe
chính	मुख्य	main
chít	चिट	dense
chò	चो	a type of plant, typically of the parashorea genus (n.)
chòi	केबिन	hut
chòm	नक्षत्र	constellation
chó	कुत्ता	dog
chóc	choc	killing (giet choc)
chói	ज्वलंत	bright
chóng	जल्दी से	"entire term should be ""chong mat""; means ""dizzy"""
chóp	चोटी	the top (n.)
chôm	chom	rambutan
chôn	दफनाना	bury
chông	पति	thorn
chùa	मंदिर	pagoda
chùy	panicles	mace
chú	चाचा	uncle (n.)
chúa	भगवान	god
chúc	इच्छा करने के लिए	will
chúi	डुबकी	drop
chúng	वे	they
chút	थोड़ा सा	little
chăm	ध्यान रखना	champa
chămpa	चंपा	champa
chăng	सस्ती	would it
chĩa	नुकीला	point
chơi	खेलने	play
chơn	चोन	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	जागीरदार	lower authorities
chưa	अभी तक नहीं	not yet
chưng	आसवन	steamed
chương	प्रदर्शन	medal
chướng	बाधा कोर्स	grating
chạ	संकीर्णता	father
chạm	स्पर्श	touch
chạng	चांग	twilight
chạp	सुस्त	slow
chạy	रन	to run (v.)
chả	रोल	no
chảo	कड़ाही	pan
chảy	गलन	bleeding
chấm	डॉट	end
chấp	स्वीकार	"(term should be ""chấp nhận"") to accept (v.)"
chất	बात	quality
chấu	पिन	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	blanched	slice
chẩn	नैदानिक	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	धीमा	slow
chận	अवरुद्ध	block
chật	तंग	overcrowded
chậu	पॉट	pelvic
chắc	यकीन	certainly
chằng	पलकें	ligament
chẵn	समानता	even
chặn	अवरुद्ध	prevent
chặng	पैर	journey
chặt	काटना	close
chẻ	विभाजन	strick
chẽ	पास	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	प्रसंस्करण	produce
chếch	बारी	oblique
chết	मृत	to die (v.)
chệch	विचलित	deviant
chỉ	प्रदर्शन	just (adv.)
chỉnh	सुधार	adjust
chịt	इंटरलेस्ड	chằn chịt= complex/tangle
chịu	भालू	tolerate
chọc	को छेड़ा,	to poke
chọi	लड़ाई	oppose
chọn	चुनना	to choose
chỏ	कोहनी	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	पल	single
chối	इनकार	refuse
chốn	जगह	place
chống	लड़ाई	anti-
chốt	कुंडी	important
chồi	गोली मारता है	"(term should be ""đâm chồi"") budding"
chồn	लोमड़ी	anxious
chồng	पति	husband
chỗ	सीट	where
chội	यम-यम	cramped
chớ	मत करो	not
chớp	प्रकाश	flashing (adj.)
chờ	इंतजार	to wait
chở	कैरी	for
chợ	बाजार	market
chợt	अचानक	suddenly
chục	दर्जन	dozen
chụp	शूटिंग	capture
chủ	स्वामी	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	तनाव	strain
chứ	बल्कि	just or only (adv.)
chứa	शामिल	contain
chức	अधिकारियों	function
chừ	पिच	hesitate
chừa	छुट्टी	leave
chừng	कुछ	about or roughly (adv.)
chử	चू	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	गर्भावस्था	pregnant
chửi	मौखिक रूप से	curse
chữ	शब्द	a letter of the alphabet (n.)
chữa	इलाज	to cure or treat (v.)
chững	समतल	to totter (v.)
cia	सीआईए	cia
cincinnati	सिनसिनाटी	cincinnati
cinderella	सिंडिरेल्ला	cinderrella
cip	सीआईपी	cip
circus	सर्कस	circus
cities	शहरों	cities
clara	क्लारा	clara
clark	क्लार्क	clark
claude	क्लाउड	(proper noun) claude
claudius	क्लोडिअस	(proper noun) claudius
clinton	क्लिंटन	clinton, as in former president bill clinton
clip	क्लिप	clip
clips	क्लिप	clips
clo	क्लोरीन	chlorine
clow	स्लूस का द्वार	clow
clyde	क्लाइड	(proper noun) clyde, as in bonnie and clyde
cmc	सीएमसी	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	पूंजीवाद	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	सह	spasm
coburn	कोबर्न	coburn
cocoa	कोको	cocoa
coen	कोएन	coen
coffea	coffea	coffee
cohen	कोहेन	cohen
coi	माना	to regard
coleen	कोलीन	coleen
coleman	कोलमैन	coleman
coli	कोलाई	coli
colin	कॉलिन	(proper noun) colin, as in colin powell
colleen	कोलीन	colleen
college	कॉलेज	college
collins	कोलिन्स	(proper noun) collins
collège	कॉलेज	college (n.)
colombia	कोलंबिया	colombia
colombo	कोलंबो	(proper noun) colombo
colorado	कोलोराडो	(proper noun) colorado, as in the state
columbus	कोलंबस	columbus
comic	हास्य	comic
common	सामान्य	common
concacaf	concacaf	concacaf
concerto	concertos	concerto
concorde	कॉनकॉर्ड	concorde
condom	कंडोम	condom
cong	वक्र	curved or bent
congo	कांगो	congo
congress	सम्मेलन	congress, as in library of congress
connecticut	कनेक्टिकट	connecticut
conrad	कॉनरोड	corrad
conservation	संरक्षण	conservation
constantine	constantine	constantine
contemporary	समकालीन	contemporary
cooper	कूपर	(proper noun) cooper
copenhagen	कोपेनहेगन	copenhagen
copernic	copernic	corpernic
copperfield	कॉपरफील्ड	(proper noun) copperfield, as in magician david copperfield
coppola	कोपोला	coppola
copy	प्रतिलिपि	copy
cordyceps	cordyceps	cordyceps
core	कोर	core
cornell	कॉर्नेल	cornell
cosin	कोज्या	cosine
costa	कोस्टा	costa
cotang	cotangent	cotangent
cpt	cpt	cpt
craig	क्रेग	(proper noun) craig
crazy	पागल	crazy
crespo	क्रेस्पो	(proper noun) crespo
crest	शिखा	crest
crew	कर्मीदल	crew
crimson	गहरा लाल	crimson
crisis	संकट	crisis
cristiano	क्रिस्टियानो	cristiano, as in portuguese soccer player cristiano ronaldo
