$	ps	dollars
анджелис	angelis	angeles
анди	andy	andy
андите	los andes	andes
андора	andorra	andorra
андреев	andreev	andreev
андрей	андрей	andrei (name)
андромеда	andrómeda	andromeda
анелия	anelia	aneliya
анкара	ankara	ankara
анна	anna	anna
аномалии	anomalías	abnormalities
аномалия	anomalía	anomaly
анри	enrique	henry
ансамбъл	conjunto	ansamble
антантата	la entente	entente
антарктида	antártida	antarctica
антарктика	antártida	antarctic
антверпен	amberes	antwerp
антициклон	anticiclón	antyciclone
античната	la antigua	ancient
антични	antiguo	antique
античните	los antiguos	antique
античния	la antigua	antique
античност	antigüedad	antiquity
античността	antigüedad	ancient
антон	anton	anton
антоний	antonio	anthony
антоними	antónimos	antonyms
антонимите	antónimos	antonyms
антонио	antonio	antonio
антъни	antonio	anthony
анубис	anubis	anubis
анус	ano	anus
ануса	ano	anus
анусът	el ano	anus
анхиало	anhialo	anhialo
аорта	aorta	the aorta
аортата	la aorta	aorta
апарат	aparato	apparatus
апарата	el aparato	apparatus
апарати	dispositivos	apparatus
апатит	apatito	apatite
аполо	apolo	apollo
аполон	apolo	apollo
аполония	apolonia	apollo
апостол	el apóstol	apostle
апостола	el apóstol	apostle
април	abril	april
априлов	abril	aprilov
априлското	abril	the april
ар	arkansas	hectare
араби	árabe	arabs
арабите	los árabes	arabs
арабия	arabia	arabia
арабска	arábica	arab
арабската	el árabe	arabic
арабски	arábica	arabian
арабските	el árabe	arab
арабския	arábica	arab
арарат	ararat	"""ararat"" is name of an summit"
арбалет	ballesta	crossbow
арбалета	ballesta	crossbow
арбалети	ballestas	crossbows
арбалетите	ballestas	the crossbows
арда	arda	arda
арена	arena	arena
арес	ares	ares
арестуван	detenido	detained
аржентина	argentina	argentina
аристократи	aristócratas	aristocrats
аристокрация	aristocracia	aristocracy
аристокрацията	la aristocracia	the aristocracy
аристотел	aristóteles	aristotle
аристофан	aristófanes	aristophane
арка	arco	arch
арки	arcos	arches
армейците	el ejercito	reds
армения	armenia	armenia
арменската	el armenio	armenian
арменци	armenios	armenians
армии	ejército	armies
армиите	ejércitos	armies
армия	ejército	army
армията	el ejercito	the army
арно	arno	arno (river)
арсенал	arsenal	arsenal
артемизия	artemisia	arthemisia
артерии	arterias	arteries
артериите	arterias	arteries
артерия	artería	artery
артилерия	artillería	artillery
артър	arturo	arthur
арх	arco	architect
архангел	arcángel	archangel
археологически	arqueológicamente	archaeological
археологическите	arqueológico	archaeological
археолозите	arqueólogos	the archaeologists
архиепископ	arzobispo	archbishop
архим	archim	arhim
архимед	arquímedes	archimedes
архипелаг	archipiélago	archipelago
архипелага	archipiélago	archipelago
архитект	arquitecto	architect
архитектура	arquitectura	architecture
архитектурата	arquitectura	architecture
архитектурен	arquitectónico	architectural
архитектурни	arquitectónico	architectural
ас	como	as
асен	asen	asen
асеневци	asenevtsi	assens
асеновград	asenovgrad	asenovgrad
асирия	asiria	assyria
асонанс	asonancia	assonance
асоциация	asociación	association
асоциацията	la asociación	asocciation
аспарух	asparuh	asparuh
аспарухов	asparuhov	asparuhov
аспект	aspecto	aspect
аспекти	aspectos	aspects
астероиди	asteroides	asteroids
астра	aster	astra
астроном	astrónomo	astronom
астрономи	astrónomos	astronomers
астрономите	astrónomos	astronomers
астрономически	astronómicamente	astronomical
атака	ataque	attack
атаката	el ataque	attack
атаки	ataques	attacks
атакува	ataques	attacks
атанас	atanas	atanas
атанасов	atanasov	atanasov
атила	atila	attila
атина	atenas	athens
атлантически	atlántico	atlantic
атлантическия	el atlántico	atlantic
атлантическият	el atlántico	atlantic
атлетика	atletismo	athletics
атмосфера	atmósfera	atmosphere
атмосферата	la atmósfera	atmosphere
атол	atolón	athol
атом	átomo	atom
атома	átomo	atom
атомен	atómico	atomic
атоми	átomos	atoms
атомите	átomos	the atoms
атомна	atómico	nuclear
атомната	atómico	nuclear
атомни	atómico	nuclear
атомните	atómico	the nuclear
атомно	atómico	nuclear
атон	aton	aton
ауди	audi	audi
аушвиц	auschwitz	auschwitz
афганистан	afganistán	afghanistan
африка	áfrica	africa
африканската	el africano	the african
африкански	africano	african
африканските	africano	african
афродита	afrodita	aphrodite
ахат	ágata	ahat
ахейци	aqueos	achaean
ахил	aquiles	ahil
ахмед	ahmed	ahmed
ашурбанипал	ashurbanipal	ashurpanibal
аякс	ajax	ajax
б	si	b
баал	baal	baal
баба	abuela	grandma
бавно	despacio	slowly
база	base	base
базата	la base	base
бази	bases	bases
базилика	basílica	basilica
базиликата	la basílica	basilica
базира	establecido	bases
базирана	establecido	based
базирани	establecido	based
бай	adiós	uncle
байкал	baikal	baikal
бактериалната	bacteriano	bacterial
бактерии	bacterias	bacteria
бактериите	bacterias	bacteries
бактрия	bacterias	bactriа
баланс	equilibrar	balance
баланса	equilibrar	balance
балдуин	baldwin	baldwin
балзак	balzac	balzac
бали	bali	bales
балкан	los balcanes	mountain
балкана	balcanes	the balkan
балканите	los balcanes	the balkan
балканска	balcánico	balkan
балканската	los balcanes	balcan
балкански	balcánico	balkan
балканските	los balcanes	balkan
балканския	los balcanes	balkan
балсас	balsa	balsal
балтийско	báltico	baltic
балчик	balchik	balchik
бан	prohibición	ban
банани	bananas	bananas
бангладеш	bangladesh	bangladesh
бани	balneario	baths
банка	banco	bank
банки	bancos	banks
банкноти	billetes	banknotes
банско	bansko	bansko
баня	baño	badroom
бар	bar	bar (city)
бараж	bombardeo	brrage
барок	barroco	baroque
барока	barroco	baroque
барометър	barómetro	barometer
барселона	barcelona	baercelona
бас	bajo	bass
басейн	piscina	basin
басейна	piscina	basin
басейни	piscinas	pools
баскетбол	baloncesto	basketball
батак	batak	batak
батенберг	battenberg	battenberg
батерии	baterías	batteries
батерия	batería	battery
батискаф	batíscafo	bathyscaphe
батиста	batista	battista
бах	llevar una vida de soltero	bach
башибозуците	los bashibozouks	turks
баща	padre	father
бащата	el padre	father
бвп	pib	gdp
бг	bg	bg
бе	ser	was
бедна	pobre	poor
бедни	pobre	poor
бедните	los pobres	poor
бедствия	desastres	disasters
бежанци	refugiados	refugees
без	sin	without
безгръбначни	invertebrados	spineless
безплатни	gratis	free
безплатно	gratis	free
безработица	desempleo	unemployement
безработицата	desempleo	unemployment
безспорно	indiscutiblemente	undoubtedly
бей	bahía	bej
бела	blanco	bela
беларус	bielorruso	belarus
беласица	беласица	belasitsa
белгийски	belga	belgian
белгия	bélgica	belgium
белград	belgrado	belgrade
белег	marca	scar
бележи	marcas	marks
бележка	nota	note
бележки	notas	notes
белези	cicatrices	signs
бели	blanco	white
белини	blanqueador	belini (name)
белите	blanco	white
белия	blanco	white
белоградчик	belogradchik	belogradchik
белоградчишките	belogradchik	belogradchik
белодробния	pulmonar	lung's
беломорска	egeo	aegean
белтък	proteína	protein
белтъци	proteínas	protein
белтъците	proteínas	whites
бен	ben	ben
бенковски	benkovski	benkovski
бербатов	berbatov	berbatov
берлин	berlina	berlin
берлинската	berlina	berlin
берлинския	el berlin	berlin
берое	beroe	beroe
берон	beron	beron
бесарабия	besarabia	bessarabia
бета	beta	beta
бетховен	beethoven	beethoven
беше	era	was
бзнс	bzns	agrarian
би	haría	will
библиография	bibliografía	bibliography
библиотека	biblioteca	library
библиотеката	la biblioteca	library
библиотеки	bibliotecas	libraries
библията	la biblia	the bible
бива	sucede	is
биват	son	are
бивш	ex	former
бивша	el primero	former
бившата	el primero	former
бивши	ex	former
бившите	el primero	former
бившия	el primero	former
бившият	el primero	former
бидейки	siendo	being
бие	latidos	beat
бизнес	negocio	business
бизнеса	negocio	the business
бийтълс	los beatles	the beatles
бил	estaba	was
била	estaba	was
билбо	bilbo	bilbo
били	ellos eran	were
билки	hierbas	herbs
билла	cuenta	billa
било	ya sea	was
биогеография	biogeografía	biogeography
биография	biografía	biography
биологична	biológico	biological
биологични	biológico	biological
биологично	biológicamente	biological
биология	biología	biology
бирма	birmania	burma
бисмарк	bismarck	bismarck
бистрица	bistrica	bistrica
бит	poco	beaten
бита	pedacitos	style of living
битие	siendo	being
битка	batalla	battle
битката	la batalla	battle
битки	batallas	battles
битките	las batallas	battles
битови	casa	household
битоля	bitola	bitola
биха	haría	would
бият	golpear	tolls
бкп	bkp	bulgarian communist party
блага	bienes	blaga
благодарение	gracias	thanks
благоевград	blagoevgrad	blagoevgrad
благоприятни	favorable	favorable
благородни	noble	precious
блата	pantanos	swamp
блатия	pantano	loosestrife
блекмор	blackmore	blackmoor
близка	cerca	close
близката	cerca	close
близки	cerca	close
близките	parientes	close
близкия	cerca	middle
близко	cerca	close
близкото	el cierre	close
близнаци	gemelos	twins
близо	cerca	close
близост	cercanía	proximity
близостта	proximidad	closeness
близък	cerca	close
блог	blog	blog
блок	bloquear	bloc
блокада	bloqueo	blockade
блокадата	el bloqueo	blockade
блокове	bloques	blocks
блян	ensueño	henbane
блясък	brillantez	shine
боб	frijoles	bob
боби	frijoles	bobi
бог	dios	god
бога	dios	god
богат	rico	rich
богата	rico	rich
богатата	los ricos	rich
богати	rico	rich
богатите	los ricos	the rich
богато	ricamente	richly
богатства	riqueza	treasures
богатство	riqueza	treasure
богатството	riqueza	wealth
богдан	bogdan	bogdan
богиня	diosa	goddess
богинята	la diosa	goddess
богове	dioses	gods
боговете	los dioses	gods
богомилите	los bogomilos	bogomils
богородица	la virgen	mary
богородично	la virgen	mary
богословие	teología	theology
богословски	teológicamente	theological
боеве	batallas	fightings
боевете	las batallas	the fights
божества	deidades	deities
божествена	adivinar	divine
божествената	lo divino	divine
божество	deidad	deity
божи	de dios	god
божидар	bozhidar	bozidar
божие	de dios	god
божието	de dios	god
божилов	божилов	bojilov (name)
божия	de dios	god
божков	ídolos	bozhkov
божур	peonía	poeny
бозайници	mamíferos	mammals
бозайниците	mamíferos	mammals
бои	colores	paints
бой	lucha	battle
бойко	inteligentemente	boyko
бойни	combate	martial
бойните	combate	martial
бойното	combate	battle
болен	enfermo	ill
болест	enfermedad	disease
болести	enfermedades	diseases
болестите	enfermedades	diseases
болестта	la enfermedad	the disease
боливия	bolivia	bolivia
болка	dolor	grief
болки	dolor	aches
болни	enfermo	ill
болните	los enfermos	the sick
болница	hospital	hospital
болницата	el hospital	hospital
болния	el paciente	the sick
болният	el paciente	patients,ill
болшевишката	los bolcheviques	bolshevik
бомба	bomba	bomb
бонапарт	bonaparte	bonaparte
бор	bor	pine
борба	dificil	fight
борбата	la lucha	fight
борби	luchas	fights
борда	tablero	bord
бори	peleas	fights
борис	boris	boris
борислав	borislav	borislav
борисов	borisov	borisov
борса	bolsa	exchange
борят	lucha	fighting
босна	bosnia	bosnia
босфора	el bósforo	bosphorus
ботев	botev	botev
ботевград	botevgrad	botevgrad
бохемия	bohemia	bohemia
боя	pintar	paint
боян	боян	bojan
боянската	boyana	boyans
бпц	бпц	bulgarian orthodox church
бр	no	edition
брад	puntilla	brad
бразда	surco	groove
бразилия	brasil	brazil
бразилската	el brasileño	brazilian
бразилското	el brasileño	brazilian
брак	matrimonio	marriage
брака	matrimonio	merriage
бракове	matrimonios	marriages
брат	hermano	brother
братовчед	prima	cousin
братство	fraternidad	brotherhood
братя	hermanos	brothers
братята	los hermanos	brothers
браузъри	navegadores	browsers
браун	marrón	brown
брега	costa	shore
брегова	costero	coastline
бреговата	costero	coast
брегове	orillas	shores
бреговете	las costas	shores
бременност	el embarazo	pregnancy
бри	queso brie	bree
бригада	brigada	brigade
британия	bretaña	britain
британска	británico	british
британската	el británico	british
британски	británico	british
британските	el británico	british
британския	el británico	british
британското	el británico	british
британците	el británico	british
брой	número	number
бронз	bronce	bronze
бронзовата	el bronce	bronze
бронзови	bronce	bronze
брошови	broches	bedstraws
броя	contar	number
броят	el número	number
брук	arroyo	brook
брус	haz	bruce
брут	bruto	gross
брутният	bruto	the gross
брцк	брцк	brck
брюксел	bruselas	brussels
бряг	playa	shore
бряга	costa	banks
бсп	bsp	bsp (bulgarian socialist party)
бтс	bts	bulgarian tourist union
буда	buda	buddha
будапеща	budapest	budapest
будизма	budismo	budism
будизмът	budismo	buddhism
будизъм	budismo	buddhism
буенос	buenos	buenos
буква	letra	letter
буквално	literalmente	literally
буквата	la carta	the letter
букви	letras	letters
буквите	las cartas	letters
буколики	bucólico	bucolica
букурещ	bucarest	bucharest
бул	bul	boulevard
булеварди	bulevares	boulevards
бунт	alboroto	rising
бунта	rebelión	rebellion
бунтове	disturbios	riots
бургас	burgas	burgas
бургаски	burgas	bulgarian
бургаско	burgas	burgasko
бурдж	burj	burj
буржоазия	la burguesia	bourgeoisie
бури	tormenta	storms
буря	tormenta	storm
буталото	el piston	ratio
бутилка	botella	bottle
буш	arbusto	bush
бъбреците	los riñones	kidneys
бъдат	ser	be
бъде	ser	be
бъдещата	el futuro	future
бъдеще	futuro	future
бъдещето	el futuro	future
бъдещи	futuro	future
бъдещите	el futuro	future
бъдещия	el futuro	future
бъдещо	futuro	future
българи	búlgaros	bulgarians
българин	búlgaro	bulgarian
българите	los búlgaros	bulgarians
българска	búlgaro	bulgarian
българската	el búlgaro	bulgarian
български	búlgaro	bulgarian
българските	los búlgaros	bulgarian
българския	el búlgaro	bulgarian
българският	el búlgaro	bulgarian
българско	búlgaro	bulgarian
българското	el búlgaro	bulgarian
бърдо	colina	hill
бърз	rápido	fast
бърза	rápido	fast
бързи	rápido	busey
бързо	rápido	fast
бързото	rápido	rapid
бъртън	aparejo	burton
бюджет	presupuesto	budget
бюджета	presupuesto	the budget
бюро	escritorio	bureau
бяга	carreras	run
бягат	huir	flee
бягство	escapar	escape
бягството	el escape	escape
бял	blanco	white
бяла	blanco	white
бялата	blanco	white
бяло	blanco	white
бялото	blanco	white
бях	yo era	was
в	en	in
ва	y	st
вавилон	babilonia	babylon
вагината	la vagina	the vagina
ваджраяна	vajrayana	vajrayana
важен	importante	important
важи	válido	true
важна	importante	important
важни	importante	important
важните	importante	damp
важно	importante	important
важност	importancia	importance
важността	la importancia	importance
вазов	jarrones	vazov
ваксина	vacuna	vaccine
вал	eje	shaft
валежи	precipitación	rainfall
валежите	está lloviendo	rainfall
валенсия	valencia	valencia
валентин	enamorado	valentin
валери	valeri	valeri
вали	está lloviendo	rain
валкирии	valquirias	valkirias
валута	moneda	currency
валутен	moneda	monetary
вампир	vampiro	vampire
вампири	vampiros	vampires
вампирите	vampiros	vampires
ван	camioneta	von
ванга	vanga	vanga
вапцаров	вапцаров	vapcarov
варварски	bárbaro	barbarian
вардар	vardar	river vardar
вардарска	vardar	vardar
вариант	opción	version
варианти	opciones	variants
вариации	variaciones	variations
вариолата	viruela	smallpox
варира	varía	varies
варират	variar	range
варна	varna	varna
варненска	varna	varna
варненско	varna	varna
варовик	caliza	limestone
варовици	caliza	limestone
вароша	вароша	verosh
варшава	varsovia	warsaw
вас	tú	you
васил	albahaca	vasil
василев	василев	vassilev
василевс	василевс	vasilevs
василевса	василевса	basileos
василий	albahaca	basil
ватикана	del vaticano	vatican
ваше	tuya	yours
вашингтон	washington	washington
ввс	fuerza aerea	bbc
вдига	ascensores	lift
вдигане	levantamiento	lift
вдъхновение	inspiración	inspiration
вдясно	a la derecha	right
вега	vega	vega
веднага	inmediatamente	immediately
веднъж	una vez	once
везер	clima	weser
везувий	vesubio	vesuvius
век	siglo	century
века	siglo	centuries
векове	siglos	ages
вековете	siglos	centuries
велбъжд	velbuzhd	velbujd
велик	excelente	great
велика	excelente	great
великата	el gran	great
великден	pascua de resurrección	easter
велики	excelente	great
великите	el gran	great
великия	el gran	great
великият	el gran	great
велико	excelente	veliko
великобритания	gran bretaña	united kingdom
великолепни	magnífico	great
великото	el gran	grand
велинград	velingrado	velingrad
величина	magnitud	value, size
величков	grandes	velichkov
вена	vena	vein
венера	venus	venus
венец	guirnalda	wreath
венеция	venecia	venice
венецуела	venezuela	venezuela
вени	las venas	veins
вените	las venas	veins
верига	cadena	chain
веригата	la cadena	chain
вериги	cadenas	chains
веригите	cadenas	chains
вермахта	wehrmacht	wehrmacht
вероизповедание	religión	cult
вероизповедания	religión	denominations
верона	verona	verona
вероятно	probablemente	probably
вероятност	probabilidad	likely
вероятността	la probabilidad	likely
версии	versión	versions
версия	versión	version
вертикални	vertical	vertical
веселин	alegre	veselin
веспасиан	vespasiano	vespasian (name)
вестник	periódico	newspaper
вестници	periódicos	newspapers
вестниците	los periódicos	newspapers
ветрове	vientos	winds
ветровете	los vientos	winds
вече	ya	already
вечен	eterno	eternal
вечер	noche	evening
вечерта	por la tarde	in the evening
вечеря	cena	dinner
вещества	sustancias	substances
веществата	sustancias	substances
вещество	sustancia	substance
веществото	la substancia	substance
вж	ver	see
взаимно	mutuamente	mutually
взаимодейства	interacciones	interact
взаимодействие	interacción	interaction
взаимодействието	la interacción	interaction
взаимодействия	interacciones	interactions
взаимоотношения	relaciones	relationships
взел	tomó	taken
взема	toma	take off
вземат	tomar	into
вземе	tomar	take
взета	tomado	taken
взети	tomado	taken
взето	tomado	taken
взима	toma	take
взимат	tomar	take
ви	tú	you
виа	vía	via
вид	tipo	type
вида	especies	type
видео	vídeo	video
види	ver	see
видим	vemos	visible
видима	visible	visible
видими	visible	visible
видимо	visible	apparently
видин	vidin	vidin
видински	vidin	vidin
видинското	la región de vidin	vidin
видни	prominente	prominent
видове	tipos	species
видовете	especies	tipes
видът	las especies	type
видял	sierra	seen
видят	ver	see
виена	viena	viena
виетнам	vietnam	viertnam
виетнамската	vietnamita	vietnam
виж	ver	look
вижда	ve	sees
виждайки	viendo	seeing
виждат	ellos ven	see
вижте	mira	see
византийска	bizantino	byzantine
византийската	el bizantino	bizantinum
византийски	bizantino	byzantine
византийските	el bizantino	byzantine
византийския	el bizantino	byzantine
византийският	el bizantino	the byzantine
византийско	bizantino	byzantine
византийското	el bizantino	byzantine
византийци	bizantinos	byzantines
византийците	los bizantinos	byzantines
византия	bizancio	bysanthia
виктор	víctor	victor
виктория	victoria	victoria (name)
вила	villa	vila
вилхелм	wilhelm	wilhelm
вина	culpa	fault
винаги	siempre	always
вината	culpa	guilt
вино	vino	vine
виното	el vino	the wine
винсент	vincent	vincent
винчи	cabrestante	vinci
вироид	viroide	viroid
виртуална	virtual	virtual
вирус	virus	virus
вируса	virus	virus
вируси	virus	viruses
вирусите	virus	viruses
вирусът	el virus	virus
висок	alto	high
висока	alto	high
високата	alto	high
високи	alto	high
високите	alto	high
високо	alto	high
високото	alto	high
височина	altura	height
височината	la altura	height
висш	mayor	high
висша	mayor	higher, premier
висше	alto	higher
висши	mayor	higher
висшите	mayor	high rank
вит	vit	vit
витамин	vitamina	vitamine
витамини	vitaminas	vitamines
витлеем	витлеем	vitleem
витоша	витоша	vitosha
вихрен	torbellino	vihren
вишну	cereza	vishnu
вк	c ª	newspaper
вкарва	puntuaciones	gives
вкл	incl.	included
включва	incluye	includes
включване	encender	inclusion
включват	incluir	include
включващ	incluso	containing
включваща	incluso	including
включващи	incluso	include
включен	incluido	included
включена	incluido	included
включени	incluido	included
включително	incluso	including
вкус	gusto	taste
вкуса	gusto	taste
влага	humedad	moisture
влагалището	la vagina	the vagina
владее	posee	rules
владение	posesión	possession
владения	posesión	possessions
владетел	regla	ruler
владетели	gobernantes	rulers
владетелите	los dictadores	rulers
владетеля	el gobernante	ruler
владетелят	el gobernante	ruler
владеят	regla	command
владимир	vladimir	vladimir
владислав	vladislav	vladislav
владичество	regla	rule
влажен	húmedo	wet
влажна	mojado	wet
влажност	humedad	humidity
влак	entrenar	train
влакна	fibras	fibres
власт	poder	power
властелинът	el señor	lord
власти	autoridades	authorities
властите	autoridades	authorities
властта	poder	authority
влезе	ingresó	enter
влечуги	reptiles	reptiles
влечугите	reptiles	reptiles
влива	infusión	flows
вливат	infundir	flow
влиза	entra	enters
влизане	entrada	entry
влизането	entrada	enforcement
влизат	entrar	enter
влияе	afecta	affect
влияние	influencia	influence
влиянието	el impacto	influence
влияния	influencias	influences
влияят	afectar	affect
влошава	empeora	worsen
влюбва	enamorarse	falls
вместо	en lugar	instead
вмро	murió	imro
внася	importaciones	submit
внасят	traer	import
внезапно	repentinamente	suddenly
внимание	atención	attention
вниманието	atención	the attention
внимателно	cuidadosamente	carefully
внос	importar	import
во	en	in
вода	agua	water
водата	el agua	water
водач	guía	leader
водачи	líderes	leaders
водачите	conductores	leaders
воден	agua	water
водена	led	leaded
водени	guiado	water
водещ	líder	leading
водеща	líder	leading
водещи	líder	leading
водещите	líder	leading
води	agua	water
водите	agua	the waters
водна	agua	water
водната	agua	water
водни	agua	water
водните	agua	water
водопад	cascada	waterfall
водопада	cascada	waterfall
водопади	cascadas	waterfalls
водопадът	la cascada	waterfall
водорасли	algas marinas	algae
водород	hidrógeno	hydrogen
водорода	hidrógeno	hydrogen
водят	dirigir	link
военачалник	lider militar	captain
военен	militar	military
военна	militar	military
военната	el militar	military
военни	militar	military
военните	el militar	millitary
военния	el militar	military
военно	militarmente	military
военновъздушни	fuerza aerea	military air
военноморски	naval	marine
военното	el militar	military
вожд	líder	chief
воин	guerrero	soldier
воини	guerreros	soldiers
войвода	voivoda	chieftain
войводата	el duque	chieftain
войводство	voivodato	voivodeship
война	guerra	war
войната	la guerra	the war
войни	guerras	wars
войник	soldado	soldier
войните	guerras	wars
войници	soldados	soldiers
войниците	los soldados	soldiers
войска	ejército	army
войската	el ejercito	the army
войски	tropas	armies
войските	tropas	the troops
волга	volga	volga
волейбол	vóleibol	volleyball
волен	gratis	gusty
волжка	volga	volga
волфганг	wolfgang	wolfgang
воля	será	will
волята	la voluntad	will
вояджър	viajero	voyager
впечатление	impresión	impression
впоследствие	como resultado	subsequently
враг	el enemigo	enemy
врагове	enemigos	foes
врата	puerta	door
вратар	portero	goalkeeper
вратата	la puerta	door
врати	puertas	doors
вратите	las puertas	doors
враца	vraca	vratsa
врачанска	vratsa	vrachan
врачански	vratsa	from vratsa
вредни	perjudicial	harmful
време	hora	time
времена	veces	tenses
временен	temporal	temporary
временна	temporal	temporary
временни	temporal	temporary
временно	temporalmente	temporary
временното	lo temporal	standings
времето	el clima	time
връзка	conexión	connection
връзката	la conexión	link
връзки	conexiones	connections
връзките	conexiones	relations
връх	pico	top; peak
връчва	manos arriba	bestows
връща	devoluciones	do
връщане	regreso	return
връщането	el regreso	return
връщат	regreso	return
все	todo	all
всеки	todo el mundo	each
вселената	el universo	universe
всички	todas	all
всичките	todas	all
всичко	todo	all
вследствие	debido	due
всъщност	de hecho	actually
всяка	cada	every
всякаква	alguna	all
всякакви	todos los tipos	all
всяко	cada	every
втора	el segundo	second
втората	el segundo	second
втори	segundo	second
вторите	el último	second
вторични	secundario	second
втория	el segundo	second
вторият	el segundo	second
вторник	martes	tuesday
второ	segundo	second
второто	el segundo	second
вулкан	volcán	volcano
вулкани	volcanes	volcanoes
вулканите	volcanes	volcanos
вулканична	volcánico	volcanic
вулфила	lobo	wolfile (little wolf)
вход	entrada	input
входа	entrada	input
във	en	in
въведен	introducido	commissioned
въведена	introducido	introduced
въведение	introducción	blessed virgin
въвежда	introduce	introduces
въвеждане	introducción	introduction
въвеждането	la introducción	introduction
въвеждат	introducir	bring
въглерод	carbón	carbon
въглероден	carbón	carbon
въглехидрати	carbohidratos	carbohydrates
въглехидратите	carbohidratos	the carbohydrates
въглища	carbón	coal
въз	res	on
възбуда	emoción	agitation
възвишение	elevación	eminence
възвишения	elevaciones	hills, elevations
възвръща	devoluciones	returns
възглед	ver	view
възгледи	puntos de vista	views
възгледите	puntos de vista	vews
въздействие	impacto	impact
