$	ps	your
abwaanada	poetas	abwaanada
abwaanka	habla a	the scholar
abwaankii	el artista	artist
abwaanku	artista	the artist spoke
abwaannada	poetas	abwaannada
abwaano	cosas	artists
account	cuenta	account worth
ad	anuncio	you
adaa	tú	you
adaan	éste	you
adag	difícil	hard
adal	adal	adal
adam	humano	adam
adan	murciélago	adan
add	añadir	isu
addaa	para ti	addaa
addis	addis	addis ababa
addoomada	esclavos	the servants
addoomadiisa	sus sirvientes	slaves to god
addoomo	esclavos	slaves
addoon	un sirviente	slave
addoonka	servidor	the slave
addoonkii	el sirviente	servant
addoonkiisa	su sirviente	his servant
addoonku	el sirviente	confide
adduun	este mundo	in this world
adduunka	el mundo	world
adduunkan	en este mundo	this world
adduunku	el mundo	world
adduunyada	del mundo	this world
adduunyadu	del mundo	get tired
adeeg	servicio	service
adeega	servicio	service
adeegayooda	sus servicios	adeegayooda
adeegsadaa	usos	attract
adeegsadaan	utilizar	an equitable manner
adeegsado	usado	use
adeegsan	utilizar	used
adeegsatay	usado	adeegsatay
adeegsiga	utilizar	use
adeegtana	servicio	adeegtana
adeegyada	servicios	services
adeegyadii	servicios	operational
adeegyadooda	sus servicios	services
adeegyo	servicios	services
adeer	tío	uncle
adeerka	tío	the paternal uncle's side
adeerkii	tío	his uncle
adeerkiis	su tío	uncle
adeerkood	su tio	he worked
adeerradii	tios	adeerradii
aden	aden	aden
adhiga	oveja	the sheep and goats
adi	ser - estar	you
adiga	tú	you
adigaa	tú	it is you who
adigoo	por ti	you
adigu	tú	you
adiinoo	para ti	adiinoo
adkaaaday	derrotado	adkaaaday
adkaaday	prevaleció	defeated
adkaade	conquistador	the mighty
adkaysan	soportado	tolerate
adkeynta	apretando	who spoke on
administartion	administración	administartion
adna	adna	and you
adoo	por ti	by
adoomada	esclavos	not the servants of
adoon	sin preámbulos	shall it be
aduu	suave	he ... you
aduunka	el mundo	world
aduunyada	el mundo	anywhere
af	por cierto	language
afaf	idiomas	languages
afafka	idiomas	the languages
afar	cuatro	four
afaraad	cuarto	fourth
afaraadna	el cuarto	afaraadna
afarta	el cuatro	the four
afartaas	el cuatro	four
afartankii	cuarenta	afartankii
afartii	el cuatro	the four
afcarabi	por ejemplo	afcarabi
afdheer	cuatro	afdheer
afdhere	roto	afdhere
affaransiis	africano	the french
afgaanistaan	afganistán	afghanistan
afgambi	golpe	supreme revolu-tionary
afgambigii	el golpe	afgambigii
afganistan	afganistán	afganistan
afgaranwaa	discrepar	afgaranwaa
afgobaadsi	secuestro	placatory sweet-talk
afgooye	secuestrador	afgoye
afgoye	por cierto	town near capital mogadishu
afhayeenka	el altavoz	spokesman
afikada	idioma	afikada
afingiriis	inglés	afingiriis
afisbaanish	español	afisbaanish
afjaray	finalizando	issue was concluded
afjaro	final	end
afka	boca	the mouth
afkiisuna	su boca	lion's mouth!
afmadow	por ejemplo	afmadow
afraadwaana	el cuarto	afraadwaana
afrah	afrah	afrah
afrax	cuarto	afrah
africa	áfrica	africa
african	africano	african
afrika	áfrica	africa
afrikaba	en áfrica	afrikaba
afrikada	en áfrica	the africa
afrikakadib	africano	afrikakdib
afroaasiya	afasia	afroaasiya
afsomaliga	en somalí	afsomaliga
afsoomaali	idioma somalí	be translated into somali
afsoomaaliga	en inglés	afsoomaaliga
afsoomaaligu	en inglés	afsoomaaligu
afsoomali	idioma somalí	afsoomali
afsoomaliga	en inglés	develop somali language, worked on it
aftahan	este ensayo	orator
after	después	markay
aftigree	aftigree	aftigree
afturki	afturki	turki language
afurayo	mañana	afurayo
ag	ag	near
aga	vamos	around
agaasimaha	el director	the director
agaasime	director	director
agaasimihii	el director	director, he will welcome
agagaarka	alrededor	near
agagaarkeeda	alrededor de ella	around aden
agasimihii	el director	agasimihii
agoon	huérfano	shall it be
agoontii	el orfanato	agoontii
agoonyar	revolucionario	agonyar
agoosto	agosto	august
agrario	agrario	agrario
agteeda	al lado de ella	near
agtiisa	a su lado	with
ah	ah	of
aha	no	it is not
ahaa	estaba	was
ahaaday	es	it
ahaadee	ya sea	so he may be
ahaado	ser	be
ahaan	ser	as
ahaana	y es	with
ahaanba	absolutamente	of all
ahaanjirtay	eso fue	ahaanjirtay
ahaanna	y es	in addition
ahaanshaha	siendo	pleasure
ahaantii	de hecho	in fact
ahaataye	para ti	ahaataye
ahaatee	todavía	however,
ahaato	ser	be
ahaay	estaba	saul
ahaaye	naye	only one
ahaayeen	fueron	were
ahada	nombre	ahada
ahan	no es	it is not
ahana	no	is enduring
ahay	estoy	i am
ahayd	estaba	it was
ahayde	yo	was a woman with a great deal
ahaydkadib	era tarde	ahaydkadip
ahayee	ya sea	ahayee
ahayn	no estaba	not
ahba	si	since
ahcafariga	disculpa	ahcafariga
ahe	ejem	tell
aheed	ahed	horeeyay
aheyd	estaba	was
aheyn	ser	was not
ahi	es	a
ahina	si	unit
ahlu	ah	the
ahluxaddiiska	las ecuaciones	ahluxaddiiska
ahluxaddiisku	los méritos de esto	ahluxaddiisku
ahmed	ahmed	ahmed
ahmiyad	significado	concern
ahmiyada	significado	ahmiyada
ahn	ah	ahn
ahna	y	and
ahoo	ahoo	sinner,
ahtiirarka	imágenes	ahtiirarka
ahwaxay	es	ahwaxay
ahyad	ahya	which existed before in
ahyd	ahyd	horror
aid	ayuda	aid
air	aire	air
airlines	aerolíneas	airlines
airport	aeropuerto	airport
airways	vías respiratorias	airways
ajaanibta	extranjeros	those smuggled illegally to sudan
ajar	un frasco	blessing
ajnabi	extraños	foreign
ajuuraan	cargar	ujuran
ak	historia	ak
akhlaaqda	comportamiento	the behavior
akhlaaqdii	moralidad	akhlaaqdii
akhri	leer	read
akhrin	leer	read
akhrinducaysiilaah	akhrinducayslaaah	akhrinducaysiilaah
akhrinta	leyendo	reading
akhrisan	leer	read
akhriska	leyendo	reading
akhriso	leerlo	read
akhristo	leerlo	reading
akhriyaan	leerlo	read
akhriyay	leer	read
akhriyo	leer	read
akr	inventario	akr
al	alabama	al
ala	abajo	.
alaabta	productos	the stuff
alaabtiisii	sus bienes	alaabtiisii
alaha	jaja	alaha
alalbaani	asqueroso	al-albani
alazhar	el reino	alazhar
albaabka	la puerta	door
albaani	puerta	albani
albaaniya	en albania	albaaniya
albakr	albakr	albakr
albania	albania	albania
albaqrahaayada	el timbre de la puerta	albarqrahaayda
alcallaama	trigo	alcallaama
aldalanj	aldalanj	aldalanj
alfaatex	alfaatex	alfaatex
alfaatixoo	alfa	alfatixoo
algorithm	algoritmo	algorithm
algorithms	algoritmos	algorithms
alhilaali	hecho a mano	alhilaali
ali	ali	ali
alif	alif	stripe
alifay	alfabeto	invented by
alifka	el alfabeto	the stripe
align=right	alinear = derecha	align=waxay xaq
alislaax	ético	islamic fighting faction/group
alislām	alislām	alislam
aljabarti	álgebra	aljabarti
aljazeera	álgebra	aljazeera
aljaziira	álgebra	aljaziira
aljeeriya	álgebra	algeria
all	todas	all
alla	cómo	oh allah
allaa	nunca	fellow
allaaba	en absoluto	allaaba
allaah	dios	god
allaahu	si dios quiere	god
allah	dios	allah
allaha	si dios quiere	mercy
allahaa	dios	allahaa
allahu	dios	compassionate
allaylehe	anoche	by
alle	dios	allah
allee	allee	be fair
allena	dios	allena
allow	permitir	oh allah shows them
allowing	permitiendo	qoraal ogolaansho
allows	permite	allows
almadkhali	almskhali	almadkhali
almajid	discípulo	almajiid
almunawara	divorcio	al-munawara
alnour	alnour	alnour
alpine	alpino	alpine
alqaacida	al qaeda	alqaacida
alshabaab	al shabaab	alshabaab
alshabab	alshabab	alshabab
also	además	also
alustaad	te amo	alustaad
alwaadici	ciudadano	alwaadici
alxalabi	álgebra	alxalabi
alxamraa	soldadura	alxamraa
am	a.m	or
ama	o	or
amaan	seguro	praise
amaandarada	seguridad	amaandarada
amaani	seguro	amaani
amaanka	seguridad	security
amaanku	seguridad	amaanku
amaanta	alabanza	no wonder
amaba	o	or
amagaalooyinka	de las ciudades	amagaalooyinka
amar	orden	order
amarada	mandatos	orders
amaradiisana	sus mandamientos	amaradiisana
amarkiis	a sus ordenes	amarkiis
amase	o	of
ambaradooriyadii	la ambulancia	ambaradooriyadii
ameerika	america	america
ameerikada	americano	conducted a research that took
america	america	america
american	americano	american
amiin	racionar	amin
amiir	príncipe	prince
amiirka	el príncipe	the prince
aminsanyihiin	estás seguro	aminsanyihiin
amir	amir	amir
aml	aml	aml
ammaan	alabanza	glory
ammaanadana	alabanza	ammaanadana
ammaanadii	alabanza	carefully guard what has been entrusted
ammaanadiisa	su alabanza	ammaanadiisa
amnesty	amnistía	amnesty
amniga	seguridad	safety
amoud	amoud	amoud
amray	mandado	ordered
amxaari	amárico	amxaari
an	un	let me
anaa	estamos	i
anaadoolee	ven aca	anaadoolee
anad	un anuncio	anad
anagaa	nosotros	we
anagoo	por nosotros	we
anagu	nosotros	we
anan	aquí	anan
anbaqaaday	adoptado	he was taken from a place
anbaxaxeen	salieron	anbaxaxeen
anbieter	anbieter	anbieter
and	y	and
andocootay	andocootay	andocootay
andorra	andorra	andorra
anfac	útil	usefulness
angola	no te vayas	angola
aniga	yo	i
anigaa	yo	i
anigoo	yo	i
anigu	yo	i am
anna	anna	and i am
annaga	nos	we
anoo	anoo	i
ansaxa	validez	the validity
antenna	antena	antenna
antiilis	antiilis	amtiilis
any	nos	soo
application	solicitud	application
april	abril	april
aqaan	lo sé	i don't know
aqal	casa	house
aqalgalay	adoptado	he got married
aqalka	la casa	the house
aqbalay	aceptado	he accepted
aqlabiyad	mayoria	majority
aqlabiyada	mayoria	aqlabiyada
aqliyad	mayoria	aqliyad
aqoon	conocimiento	knowledge
aqoone	conocimiento	world, since he couldn't swim
aqoonsadaan	reconocerlos	recognize
aqoonsadayafka	identificadores	aqoonsadayafka
aqoonsado	reconoce	recognize
aqoonsan	reconocido	recognized
aqoonsanayn	sin saberlo	recognized internationally
aqoonsatay	reconocido	aqoonsatay
aqoonsato	reconoce	recognize
aqoonsi	reconocimiento	recognition
aqoonta	conocimiento	the knowledge
aqoontiisa	su conocimiento	made
aqoontoodu	sus conocimientos	aqoontoodu
aqoonyahan	erudito	scholar
aqoonyahanad	eruditos	aqoonyahanadq
aqoonyahano	eruditos	professionals
aqrinayaa	leer	reading
aqrinayo	leyendo	aqrinayo
aqrineysaa	leerlo	aqrineysaa
aqrinta	leyendo	reading materials
aqriyey	leer	booklet or had someone else read it to
aqriyo	leer	read
ar	arkansas	ar
arab	árabe	arab
arabsiyo	el uno al otro	arabsiyo where
arag	ver	see
aragnimo	experiencia	state of being experienced
aragtaa	lo ves	do you see
aragtay	visto	saw
aragti	teoría	theory
aragtid	lo ves	see
aragtida	teoría	the view
aragto	ver	see
arbaco	miércoles	wednesday
ardada	estudiantes	students
ardaqal	barbado	ardaqal
arday	estudiante	student
ardayda	estudiantes	students
ardaydiisii	sus estudiantes	ardaydiisii
ardaygii	estudiante	the education fee per student per year
ardoqalna	ninguno	ardoqalna
ardul	ardul	ardul
arduqalwaxa	el ruido	arduqalwaxa
are	son	ay
areas	áreas	areas
argagaxa	pánico	from terror on
argagixisa	terroristas	argagixisa
ari	prestado	sheep and goats
arif	arif	arif
ariga	cabra	the sheep and goats
arima	problema	arima
arimaha	cuestiones	social affairs
arimahaa	estos asuntos	mentioned, being aware of
arimahaas	para estos problemas	these issues
arimo	cuestiones	issues
arimood	cuestiones	ways which
arin	la mitad	concept
arinkaas	para esa materia	agree
arinta	la cuestión	issue
arintaa	para esa materia	infact
arintaas	para esa materia	idea
arintaasi	eso es	this issue
arintan	este problema	this issue
arjantiina	mi	arjantiina
arkaa	ve	see
arkaan	ver	see
arkay	visto	saw
arkayninba	no veré	that which you do not see
arkayo	viendo	will see you
arkaysaa	lo ves	see
arkeen	sierra	they saw
arkey	arkey	seen
arki	ver	see
arko	visto	see
arkoon	no veré	arkoon
arlada	en la tierra	other creatures on earth
arligiina	tu riqueza	arligiina
aroor	mañana	morning
arrimaha	cuestiones	affairs
arrimahaas	para estos problemas	these
arrimo	cuestiones	issues
arrin	importar	matter
arrinkaa	para esa materia	any proof on that issue
arrinkaan	en este asunto	this topic
arrinkaas	para esa materia	take
arrinkii	el asunto	had made a poem on
arrinku	el asunto	was
arrintaa	para esa materia	this matter?
arrintaan	en esta cuestión	this matter
arrintaas	para esa materia	matter
arrintan	en este asunto	this issue
arrintii	el asunto	the
arrintu	el asunto	the matter
arwa	arwa	arwa
arwaaq	madera	arwaaq
arxan	grosero	pity
arxanka	arrogancia	the compassion
as	como	as
asaasay	fundado	he founded
asaaseen	establecido	asaaseen
asaasidii	cimientos	asaasidii
asad	asad	asad
asaga	él	he
asagana	al mismo tiempo	wounded solider
asagoo	por	he
asal	origen	original
asalka	origen	, national origin
asalkooda	su origen	asalkooda
asalkoodii	su origen	asalkoodii
asalkoodu	su origen	ethnic somali
asaxaabtu	amigos	asaxaabtu
asc	asc	asc
aserbiijaan	botón de play	aserbiijaan
asharaaf	traición	respectable persons
ashhadu	la ceniza	ashhadu
ashyaada	cosas	ashyaada
asiga	yo	speak excerpts
askar	soldados	soldiers
askari	soldado	soldier
askarta	los soldados	the soldiers
askax	soldados	plant with edible berries
aslam	aslam	aslam
asluubta	la disciplina	the good behavior
asna	asna	also
assaid	venga	assaid
assembly	montaje	assembly
astaamaha	síntomas	the symptoms of
astaamo	síntomas	characteristics
astaan	símbolo	mark
astaannta	simbolismo	astaannta
astaanta	símbolo	the mark
asturaa	lo siento	a
asxaabtii	amigos	broadcasting hereby offer their
asxaabtiisa	sus amigos	consult his followers.
at	a	at
atlaantik	atlántico	atlaantik
atom	átomo	atom
attaxiyaadka	teorías	attaxiyaadka
audio	audio	audio
august	agosto	august
australia	australia	australia
authentication	autenticación	authentication
available	disponible	haddii aanay jirin
avenue	avenida	avenue
average	promedio	average
avv	avv	advocate
aw	aw	aw
awal	punzón	formerly
awaxaana	tú sabes	awaxaana
awdadl	awdadl	awdadl
awdal	awdal	awdal
awdalxiligaasoo	ese momento	awdalxiligaasoo
awdigil	una mujer	awdigil
awdigilwuxuu	el podria hacerlo	awdigilwuxuu
aweys	doble	aweys
awgeed	por eso	for that reason
awliyada	iones	now surely
awmuuse	cumplimiento	awmuuse
awood	poder	power
awooda	capacidad	able
awoodaha	potestades	powers
awooday	poder	he afforded
awoodda	poder	the power
awoodeedu	su poder	awoodeedu
awoodii	capacidad	ability
awoodoodiiwaxayna	su poder	awoodoodiiwaxayna
awoow	abuelo	awoow
awoowe	abuelo	grandfather
awoowgiis	su abuelo	awoowgiis
awoowgiisii	su abuelo	awoowgiisii
awqaafta	teorema	awqaafta
awsamaale	por ejemplo	high caste
axaaaddiistuba	hadiz	axaaaddiistuba
axaaddiista	exhumación	tradition
axaadiista	hadiz	tradition
axad	domingo	sunday
axdiga	pacto	the covenant
axdigii	el pacto	covenant
axkaamta	de lo contrario	clergymen living
axmad	pacto	ahmed
axmed	axmed	ahmed
axmedعبدالله	axmed عبدالله	what ?
ay	ellos	is
aya	verso	them
ayaa	el	those books belongs to sumaya and samira
ayaad	tú	you
ayaamo	dias	days
ayaan	yo	i
ayaana	y eso es	and
ayaanle	menta	"ayanle ""name"""
ayaanu	lo haremos	we
ayaay	ellos	ayaay
ayada	su	her
ayadoo	con	despite
ayaga	ellos	them
ayagoo	con ellos	they are
ayan	ellos no	they
ayay	ellos	they
aybakar	aconsejando	aybakar
aydhiyooliyadda	destino	ideology
aydinaan	ted	aydinaan
ayee	ocasión	ayee
ayeen	ellos	they were doing
ayeey	vida	they
ayey	camino	they
ayeyna	son	and
ayna	su nombre	and
aynaan	nosotros no	we
aynaanshe	es	aynaanshe
aynu	vamos	we
ayoo	resplandor	national park
aysan	ellos no	not
aysanna	ninguno	almost his people are
ayuu	él	he
ayuub	heb	mr. ayoub
ayuun	contento	much
ayuuna	él hizo	and he
ayuuu	él	ayuuu
azc	azc	azc
aṣṣūmāl	anūmālāl	assumal
b	si	b
ba	no	it was destroyed
baa	es	it
baabal	desaparecer	baabal
baabii	deshacerse de	baabii
baabulmandab	compartir	baabulmandab
baabuur	coche	a car
baabuurta	coches	the trucks
baad	tú	you
baadi	error	error
baadicadde	traidor	badiadde community.
baadiye	explorador	boondocks
baahan	necesitar	need
baahday	necesario	he was in need
baahi	necesitar	need
baahiayay	desvelado	baahiayay
baahida	necesitar	the need
baahintaasi	transmitir	baahintaasi
baahna	no hay necesidad	don't need
baahnaa	necesario	he was hungry
baal	pluma	page
baalakan	alas	baalakan
baallacad	engrandecido	baallacad
baalle	ballet	baalle
baan	banco	i
baanka	banco	the band
baannu	tenemos	we
baanu	lo siento	not
baaq	llamada	a statement
baaqa	la llamada	the call
baaqan	restante	this declaration
baaqayeen	estaban llamando	baaqayeen
baaqaysay	estaba llamando	baaqaysay
baar	buscar	inspect
baardheere	parker	baardheere
baargaal	negociación	baargaal
baari	baari	test
baariis	parálisis	paris
baaris	investigación	research
baaritaan	investigación	investigation
baarlamaan	parlamento	daarlamaan
baarlamaanka	parlamento	parliament
baarliin	globo	berlin
baarri	cortesía	obedient
baaruude	virgen	baaruude
baasifik	el plastico	baasifik
baath	baath	baath
baaxad	alcance	size
baaxada	talla	size
baaxadda	talla	the width
baaxadiisu	alcance	baaxadiisu
baay	bahía	bay
baayacmushtar	mercancías	business
baayasiid	comercio	baayasiid
baaz	buz	baaz
babaayga	mi padre	babaayga
babac	pulgares hacia arriba	slope
babayga	mi padre	babayga
bacaadka	arena	the sand
bacadle	hacia atrás	seller
bachelor	soltero	got bachelor
bad	malo	sea
bada	dando	them
badacas	pastos marinos	badacas
badal	cambio	changed
badalay	cambiado	things changed
badaleen	cambiado	changed from
badalin	sin alterar	any change is made
badalo	cambio	change
badan	muchos	many
badana	a menudo	often
badanaa	generalmente	usually
badanaayey	era a menudo	badanaayey
badane	mucho	most
badani	muchos	many
badanina	la mayoría de ellos	great
badankood	la mayoría de ellos	most of them
badankooda	la mayoría de ellos	most
badankoodu	la mayoría de ellos	most of them
badanna	mucho	many
badantahay	muchos	it has a lot
badanyahay	muchos	very
badanyihiin	muchos	there are many
badashay	cambiado	that replaced
badaye	mayoria	badaye
badbaaday	fue salvado	he was safe
badbaadayso	ser salvado	badbaadayso
badbaadid	salvar	helps protect
badbaadinta	ahorro	protection
badbaadiyey	salvado	her protected
badbaadiyo	guárdalo	save
badda	el mar	sea
baddacas	baddacas	red sea
baddii	el mar	sea
badh	medio	half
badhaadhe	a medio camino	badhaadhe
badhan	botón	button
badhigtay	salvado	badhigtay
badhtamaha	en el medio	central
badhtamihii	en el medio	most of
badiba	principalmente	almost every
badiyaa	generalmente	barley
badka	el mar	field
badmareen	navegado	sailor
badn	malo	badn
badnaa	muchos	he had a lot
badnayd	fue abundante	it was too much
badnaydna	en abundancia	camps
badnayn	no mucho	more than
badneyn	no mucho	less
badno	más	badno
badood	mares	seas
badwaynta	oceano	over
badweynta	el océano	the ocean
baghdad	alfabético	baghdad
bah	bah	family
bahabar	un barbero	bahabar
bahal	bestia	beast
bahda	compañero	the noble
bahdil	vergonzoso	bahdil
bahdood	necesitado	bahdood
bahoobayxafladan	marcar este evento	bahoobayxafladan
bakaaraha	bakaaro	market
baki	negro	zayla b
bakistaan	en pakistán	pakistan
bakool	bakool	venus
bakoolgalgaduudnugaal	asombroso	bakoolgalgaduudnugaal
bakr	bakr	bakr
bal	ver	""""
balaadhan	amplio	wide
balaaran	grande	large
balaarintii	la expansión	balaarintii
balad	calvo	balad
baladhaan	esta mosca	baladhaan
balanqaaday	prometido	her before him since i promised him
balanqaadyadii	las promesas	balanqaadyadii
balantii	la promesa	balantii
balcad	globo	balcad
baledweyn	grande	baledweyn
balila	cebada	balila
ballaadhaan	engrandecido	ballaadhaan
ballaadhan	ancho	wide
ballaaran	amplio	large
ballaariyeen	engrandecido	extended
ballan	promesa	promise
ballanta	la cita	don�t cheat
balqiisa	balcón	queen
balse	pero	but
bamkii	bomba	bamkii
banaadir	banadir	banadir
banaan	vacante	independent
banaanideeda	fuera de	banaanideeda
banaanka	fuera de	out
banadir	raro	banadir
bandarbayla	toque de queda	bandarbayla
bandhigay	presentado	he presented
bandhigeen	presentado	have displayed
bandhigo	expone	present
bandhigtay	presentado	machination
bangiga	banco	bank
bangigu	banco	a bank
bangladesh	bangladesh	bangladesh
bani	humano	human beings
baniaadamka	seres humanos	that had affected
banii	banii	children
bank	banco	the bank
banka	banco	the field
banna	de lo contrario	banna
bannaan	espacio	plain
bannaanayd	blanco	bannaanayd
baqaa	asustado	to
baqay	asustado	he was afraid
baqaya	temeroso	fearing
baqdaad	equipaje	baghdad
bar	bar	half
bara	el año pasado	teach
baraako	bendito	barako
baraalan	acampanado	baraalan
baraan	enseñar	teach
baraarug	conciencia	be alert
baraawe	proverbial	barawa
baracaatika	desplazamiento	baracaatika
barack	barack	barack
baraf	nieve	ice
baraguay	bendición	baraguar
barakaat	ya sabes	albarakat money has been frozen.
barakacii	desplazamiento	barakacii
baran	aprender	learn
barano	aprendamos	learn every new technology needed
barashada	aprendizaje	learning
barashadiisa	su aprendizaje	no association
barashadiisii	su aprendizaje	barashadiisii
barasho	aprendizaje	education
barasiil	arroz	barasiil
barawe	imitación	barawe
barax	parálisis	mixture of milk and water
baray	enseñó	he taught
barayaal	educadores	teachers
barayoo	aprendizaje	barayoo
barbaaray	elevado	he became mature
barbaarin	crianza	raise
barbaarinta	la crianza	the youth training
barbaariyo	nutrir	teach
barbaraawi	barbara	barbaraawi
barde	barra	forced
bare	instructor	teacher
bareen	estudiar	we avail
bari	dejarlo	east
baridiisa	su bendición	soundly
bariga	este	east
bariidka	arroz	the rice
bariire	cebada	bariie
bariis	arroz	rice
bariise	arroz	bariise
bariiska	arroz	bariiska
barina	izquierda	informed very quickly by tomorrow
barisoomaaliya	adoctrinamiento	somalia to the east
barista	enseñando	the teaching
baritish	barítimo	baritish
barkaan	medio	barkaan
barkaanle	ayudante	barkannle
barkada	piscina	barkada
barlamaankadfkmg	mantenimiento de la paz	parliament (dfkmg)
barlamaankiyo	parlamento	barlamaankiyo
barlamanka	tu parlamento	the parliment
barlaskooni	barricone	barlaskooni
barliin	barlin	barliin
barnaamijka	programa	program
barnaamijkan	en este programa	this program
barnaamijyada	programas	programs
baro	aprender	learn
baroordiiqa	luto	the consoling
baroordiiqda	luto	the consoling
barooyosoomaaliya	perfil	barooyosoomaaliya
barre	barra	barre
barrow	carretilla	barrow
barsane	loco	a small village
barta	el punto	the mark
bartaan	aprender	learn
bartamaha	en el medio	central
bartamihii	en el medio	middle
bartan	en este punto	center
bartay	aprendido	he studied
bartey	de algun modo	learned it in america
barto	aprender	learn
barwaaqa	prosperidad	wish
barwaaqo	prosperidad	prosperity
baryaya	abiertamente	ambassadors
baryayaa	orar	please
baryey	rogó	dawn broke
baryi	rogar	call
basaas	un espía	spy
base	base	still has naval base center
based	establecido	based
baseey	base	baseey
bashiir	bancarrota	bashir
bashir	bashir	bashir
bataatiga	papas	bataatiga
batalaale	amigos	batalaale
batay	aumentado	he increased
bateen	multiplicado	batten
batroolka	petróleo	the petrol
batuuta	mentira	batuuta
baw	baw	baw
baxa	fuera	the exit
baxaa	hojas	to be gone
baxaan	fuera	leave
baxay	fuera	he went out
baxayaa	hojas	must die
baxda	fuera	's tender
baxdaa	sal	it grows
baxday	salió	he went out
baxdo	sal	withdraw
baxeen	salieron	they left
baxiira	cállate	baxiira
baxo	hojas	get out
baxrayn	domar	bahrain
baxsaday	escapado	he escaped
baxsadeen	escapado	escaped
baxsan	fuera de	outside
baxsanida	escapar	baxsanida
baxshay	pagado	was named
bay	bahía	they
baybalka	biblia	baybalka
baybalku	biblia	baybalku
baydhaba	giro de vuelta	baidobow
baydhabo	aparece	baydhabo
