$	ps	dollarsign
aardoppervlak	superficie de la tierra	surface of the earth
aardse	terrenal	earthly
aartsbisschop	arzobispo	arch bishop
ab	ab	ab
abba	abba	abba
abbey	abadía	abbey
abc	a b c	abc
abdij	abadía	abbey
abortus	aborto	abortion
abraham	abrahán	abraham
absolute	absoluto	absolute
absoluut	absolutamente	absolutely
abstract	resumen	abstract
abstracte	resumen	abstract
abu	abu	abu
ac	c.a	ac
academie	academia	academy
academisch	académico	academic
academische	académico	academic
academy	academia	academy
accent	acento	accent
accepteren	aceptar	accept
acdc	ac/dc	acdc
acht	ocho	eight
achter	detrás	behind
achteraf	después	in retrospect
achtereenvolgens	consecutivamente	sequentially
achteren	detrás	back
achtergelaten	abandonado	left behind
achtergrond	antecedentes	background
achterkant	parte trasera	backside
achterlijf	abdomen	backside
achternaam	apellido	surname
achterpoten	patas traseras	hind legs
achterschip	popa	backship
achterstand	reserva	falling behind
achterste	posterior	back
achteruit	hacia atrás	backwards
achteruitgang	disminución	diminishment
achterzijde	posterior	backside
achtste	octavo	eighth
achttien	dieciocho	eighteen
achttiende	decimoctavo	eighteenth
act	actuar	act
acteren	actuar	acting
acteur	actor	actor
acteurs	actores	actors
actie	acción	action
actief	activo	active
acties	comportamiento	actions
actieve	activo	active
activa	bienes	activia
activiteit	actividad	activity
activiteiten	ocupaciones	activities
actress	actriz	actrice
actrice	actriz	actrice
actuele	actual	current
acute	agudo	acute
ad	anuncio	ad
adam	adán	adam (name)
adams	adams	adams - proper noun - surname
add	añadir	add
adders	víboras	adders
adel	nobleza	aristocracy
adelaar	águila	eagle
adellijke	noble	aristocrate
adem	respiración	breath
ademhaling	respiración	breathing
aders	las venas	veins
adhd	adhd	adhd
adidas	adidas	adidas
adipocere	adipocere	adipocere
administratie	administración	administration
administratieve	administrativo	administrative
admiraal	almirante	admiral
adolf	adolf	adolf - proper noun - first name
adriaan	adrian	adriaan
adriatische	adriático	adriatic (coast)
advies	consejo	advice
adviseur	consejero	counselor
advocaat	abogado	attorney
ae	ae	ae
af	apagado	of
afbeelding	imagen	illustration
afbeeldingen	imágenes	images
afbraak	descompostura	demolition
afc	afc	afc
afdeling	departamento	department
afdelingen	departamentos	departments
affaire	asunto	affair
afgebeeld	mostrado	shown
afgebroken	demolido	broken down
afgegeven	entregado	propagated
afgekort	abreviado	shortened
afgelegen	aislado	remote
afgeleid	distraído	derivative
afgeleide	derivado	derivative
afgelopen	pasado	finished (2nd sentence), past (in all other cases in the text)
afgenomen	disminuido	decreased - 2nd and 4th sentence, taken - 5th sentence
afgerond	redondeado	completed
afgeschaft	abolido	dispensed
afgesloten	bloqueado	locked
afgesproken	convenido	agreed
afgevaardigden	delegados	delegates
afgevoerd	descargado	drain off
afgewezen	rechazado	refused
afgezet	dejado	turned of
afgezien	aparte	apart from
afghanistan	afganistán	afghanistan
afhankelijk	dependiente	dependent
afhankelijkheid	dependencia	dependence
afkeer	aversión	disgust
afkomst	descendencia	background
afkomstig	originario	originating
afkorting	abreviatura	abbreviation
afleggen	descarte	in this context it means: to travel
aflevering	entrega	delivery
afleveringen	episodios	episodes
afloop	finalizando	outcome
afmetingen	dimensiones	measures
afname	disminución	reduction
afneemt	disminuye	decreases
afnemen	disminución	decline
africa	áfrica	africa
afrika	áfrica	africa
afrikaans	africano	african
afrikaanse	africano	african
afschaffing	abolición	abolition
afscheid	adiós	farewell
afscheiding	secreción	separation
afsluiting	clausura	closure
afspraak	cita	appointment
afspraken	acuerdos	appointments
afstammelingen	descendientes	descendants
afstamming	descendencia	origin
afstand	distancia	distance
afstanden	distancias	distances
aftreden	reducir	stepped down
aftrek	deducción	deduction
afval	residuos	waste
afvalstoffen	residuos	waste products
afvoer	desagüe	drain
afweersysteem	sistema de defensa	immune
afwezig	ausente	absent
afwezigheid	ausencia	absence
afwijkend	divergente	different
afwijkende	desviarse	different
afwijking	desviación	deviation
afwijkingen	desviaciones	deviation
afwijkt	se desvía	differ
afwijzing	rechazo	rejection
afwisselend	alternativamente	alternately
afzetten	bajar ó dejar algo	depositing - 3rd sentence, push off - 4th sentence, moving away - 7th and 8th sentence.
afzonderlijk	por separado	separately
afzonderlijke	separar	individual
agaat	ágata	agate
again	de nuevo	again
against	en contra	against
agenda	agenda	agenda
agent	agente	agent
agglomeratie	aglomeración	agglomeration
agnetha	agnetha	agnetha
agnost	agnóstico	agnost
agrarische	agrícola	agricultural
agressie	agresión	aggression
agressief	agresivo	aggressive
agressieve	agresivo	aggressive
ah	ah	ah
aids	sida	aids
air	aire	air
airbus	aerobús	airbus
aires	aires	aires
airlines	aerolíneas	airlines
airlinesvlucht	vuelo de aerolíneas	airlines flight
airport	aeropuerto	airport
airways	vías respiratorias	airways
ajax	ajax	ajax
aka	alias	aka
akkoord	acuerdo	agreement
akoestische	acústico	acoustic
akon	akon	akon
al	ya	already
alan	alan	alan
alarmschijf	disco de alarma	emergency disk
alaska	alaska	alaska
albanezen	albaneses	albanians
albanië	albania	albania
albert	albert	albert
alberto	alberto	aleberto
alberts	alberts	alberts
album	álbum	album
albums	álbumes	albums
alcohol	alcohol	alcohol
alcoholgebruik	consumo de alcohol	alcohol use
alcoholische	alcohólico	alcoholic
alcoholisme	alcoholismo	alcoholism
alcoholisten	alcohólicos	alcoholics
aldaar	ahí	there
aldus	así	according to
alejandro	alejandro	alejandro
aleksandr	aleksandr	aleksandr
alex	alex	alex
alexander	alejandro	alexander
alexandrië	alejandria	alexandria
alfabet	alfabeto	alphabet
alfabetische	alfabético	alfabetic
alfred	alfredo	alfred
algehele	en general	overall
algemeen	generalmente	in general
algemene	general	general salamence
algerije	argelia	algeria
algoritmen	algoritmos	algorithms
alhoewel	a pesar de que	albeit
ali	ali	ali
alias	alias	alias
alice	alicia	alice
align=center	alinear = centro	center
align=left	alinear = izquierda	align = left
alignbars	barras de alineación	alignbars
alignleft	alinear a la izquierda	align left
alkmaar	alkmaar	alkmaar
all	todas	all
alle	todas	all
allebei	ambos	both
alledaagse	todos los días	everyday
alleen	solamente	only
allemaal	todos ellos	all
allen	todas	all
aller	de todo	ever
allereerst	ante todo	firstly
allereerste	el primero de todos	very first
allerlei	todo tipo de	all kinds of
alles	todo	everything
alliance	alianza	alliance
alliantie	alianza	alliance
allochtonen	inmigrantes	immigrants
almere	almere	almere
alois	alois	alois
alpen	alpes	alps
als	como	as
alsmede	también	and
alsnog	todavía	still
alsof	como si	as if
alsook	también	also
altaar	altar	altar
alternatief	alternativa	alternative
alternatieve	alternativa	alternative
althans	al menos	at least
altijd	siempre	always
aluminium	aluminio	aluminium
alva	alva	alva
alvleesklier	páncreas	pancreas
alvorens	antes de	before
alweer	de nuevo	again
alzheimer	alzheimer	alzheimer's
am	a.m	am
amazone	amazonas	amazon
ambassade	embajada	ambassade
ambassadeur	embajador	ambassador
amber	ámbar	amber
ambt	oficina	office
ambtenaren	oficiales	officials
america	america	america
american	americano	american
amerika	america	america
amerikaan	americano	american
amerikaans	americano	american
amerikaanse	americano	american
amerikanen	americanos	americans
amersfoort	amersfoort	amersfoort
amfibieën	anfibios	amphibians
aminozuren	aminoácidos	amino acid
amstel	amstel	amstel (river)
amsterdam	amsterdam	amsterdam
amsterdammers	amsterdammers	amsterdam
amsterdamse	amsterdam	amsterdam
anakin	anakin	anakin
anale	anal	anal
analyse	análisis	analysis
anatolië	anatolia	anatolia
anatomie	anatomía	anatomy
and	y	en
ander	otro	other
andere	otros	other
anderen	otros	others
anderhalf	uno y medio	one and a half
anders	diferente	different from
andersom	invertido	the other way around
anderzijds	por otra parte	on the other hand
andes	andes	andes
andorra	andorra	andorra
andrea	andrea	andrea
andreas	andreas	andreas
andrew	andrés	andrew
andrews	andrews	andrews
andré	andré	andre
andy	andy	andy (proper noun, first name)
anemie	anemia	animia
angela	angela	angela
angeles	angeles	angeles
angels	ángeles	angels
anglicaanse	anglicano	anglican
angst	miedo	fear
anime	anime	anime
aniston	aniston	aniston (name)
anjou	anjeo	anjou
ann	ana	ann
anna	anna	anna - proper noun - first name
anne	ana	anne
annexatie	anexión	annexation
anno	anno	anno
anoniem	anónimo	anonymous
another	otro	another
antarctica	antártida	antarctica
antenne	antena	antenna
antennes	antenas	antennas
anthony	antonio	anthony
antibiotica	antibióticos	antibiotics
antidepressiva	antidepresivos	antidepressive
antieke	antiguo	antique
antillen	antillas	antilles
antilliaanse	antillano	antillian
antisemitisme	antisemitismo	antisemitism
antistoffen	anticuerpos	antibodies
antoine	antoine	antoine (anton)
anton	anton	anton
antoni	antoni	antoni
antonio	antonio	antonio
antonius	antonio	antonius
antropologie	antropología	anthropology
antwerpen	amberes	antwerpen
antwerpse	amberes	antwerp
antwoord	responder	answer
antwoordde	respondido	replied
antwoorden	respuestas	answers
anubis	anubis	anubis
anus	ano	anus
apart	separar	separate -1st and 2nd sentence, individual - 4th sentence.
aparte	separar	separate
apen	monos	apes
aphrodite	afrodita	aphrodite
apollo	apolo	apollo
apostelen	apóstoles	apostles
apostolische	apostólico	apostolic
apothecium	apotecio	apothecia
apparaat	dispositivo	machine
apparaten	dispositivos	devices
apparatuur	equipo	equipment
appartement	departamento	apartment
appel	manzana	apple
apple	manzana	apple
april	abril	april
aquino	aquino	aquino
arabieren	árabes	arabics
arabisch	arábica	arabic
arabische	árabe	arabic
aragon	aragón	aragon
arbeid	labor	work
arbeiders	trabajadores	workers
arbeiderspartij	partido laborista	labour party
arc	arco	arc
archeologisch	arqueológico	archeologic
archeologische	arqueológico	archaeological
archief	archivo	archive
archieven	archivo	archieves
archipel	archipiélago	archipelago
architect	arquitecto	architect
architecten	arquitectos	architects
architectuur	arquitectura	architecture
ardennen	protuberancia	ardennes
are	son	are
area	zona	area
arena	arena	arena
argentijnse	argentino	argentine
argentinië	argentina	argentina
argument	argumento	argument
argumenten	argumentos	arguments
ari	ari	ari
aristocratie	aristocracia	aristocracy
aristoteles	aristóteles	aristotle
arizona	arizona	arizona
arm	brazo	poor
arme	pobre	poor
armeense	armenio	armenian
armen	brazos	poor
armenië	armenia	armenia
armeniërs	armenios	arms irish
armoede	pobreza	poverty
armstrong	armstrong	armstrong
army	ejército	army
arnhem	arnhem	arnhem
arnold	arnold	arnold
around	alrededor	around
arriveerde	llegado	arrived
arrondissement	distrito	district
arsenal	arsenal	arsenal - proper noun
art	arte	art
arthur	arturo	arthur
artiest	artista	performer
artiesten	artistas	artists
artikel	artículo	article
artikelen	artículos	articles
artillerie	artillería	artillery
artistiek	artístico	artistic
artistieke	artístico	artistic
artrose	artrosis	arthrosis
arts	médico	doctor
artsen	doctores	doctors
aruba	aruba	aruba
as	ceniza	axle
aspect	aspecto	aspect
aspecten	aspectos	aspects
asperger	espárragos	asperger
assemblée	montaje	assembly
assen	ejes	axles
assistent	asistente	assistant
associatie	asociación	association
association	asociación	association
asterix	astérix	asterix
astronoom	astrónomo	astronomer
at	comió	at
atelier	taller	workshop
athene	atenas	athens
atheïsme	ateísmo	atheism
atheïst	ateo	atheist
atheïsten	ateos	atheist
atlantis	atlantis	atlanta
atlantische	atlántico	atlantic
atmosfeer	atmósfera	atmosphere
atomen	átomos	atoms
atptoernooi	torneo	atp tournament
attractie	atracción	attraction
attracties	atracciones	attractions
auditie	audición	audition
august	agosto	august
augustinus	agustín	augustinus
augustus	agosto	august
auschwitz	auschwitz	auschwitz
australian	australiano	australian
australische	australiano	australian
australië	australia	australia
auteur	autor	author
auteurs	autores	autors
auteursrecht	derechos de autor	copyright
authentieke	auténtico	authentic
authority	autoridad	autority
autisme	autismo	autism
autistische	autista	autistic
auto	coche	car
autochtone	nativo	autochthon
automatisch	automáticamente	automatic
autonome	autónomo	autonomous
autonomie	autonomía	autonomy
autoritaire	autoritario	autoritary
autoriteit	autoridad	authority
autoriteiten	autoridades	authorities
autos	coches	cars
autosnelweg	autopista	highway
autosnelwegen	autopistas	highways
avenue	avenida	avenue
avond	noche	evening
avondmaal	cena	evening meal
avonds	noche	evening
avonturen	aventuras	adventures
award	premio	award
awards	premios	awards
away	lejos	away
az	arizona	az
azerbeidzjan	azerbaiyán	azerbaijan
aziatische	asiático	asian
azië	asia	asia
azoren	azores	azores
azteken	azteca	aztecs
b	si	b
ba	licenciado en letras	ba
baai	bahía	bay
baan	trabajo	track
baarmoeder	útero	uterus
baarn	baarn	baarn
baas	jefe	boss
baby	bebé	baby
babys	bebés	babies
bach	llevar una vida de soltero	bach
bachelor	soltero	bachelor
bachs	bachs	bach's
back	espalda	back
bacterie	bacterias	bacteria
bacteriële	bacteriano	bacterial
bacteriën	bacterias	bacterias
bad	bañera	bad
baker	panadero	baker
bakermat	cuna	cradle
baksteen	ladrillo	brickwork
bal	pelota	ball
balans	equilibrar	balance
bali	bali	bali
balkan	balcanes	balkans
balkenende	rebuzno	balkenende
ball	pelota	ball
ballet	ballet	ballet
ballingschap	exilio	exile
ballon	globo	balloon
baltische	báltico	baltic
ban	prohibición	ban
banaan	plátano	banana
bananen	bananas	bananas
band	banda	tie
banden	llantas	bands
bandleden	miembros de la banda	bandmembers
bands	bandas	bands
banen	trabajos	strokes
bang	ansioso	scared
bangladesh	bangladesh	bangladesh
bank	banco	bank
bankbiljetten	billetes	bank notes
banken	bancos	banks
bankwezen	bancario	banking
baptisme	bautismo	baptist faith
bar	bar	bar
barack	barack	barack
barbara	bárbara	barbara
barcelona	barcelona	barcelona
barok	barroco	baroque
baron	barón	baron
barrett	barrett	barret
barry	barry	barry
bart	bart	bart (proper noun, first name)
barwikipedias	barwikipedias	barwikipedias
bas	bajo	bas
basale	basal	basal
base	base	base
basgitaar	bajo	bass guitar
basiliek	basílica	basilica
basis	base	ground
basisschool	escuela primaria	primary school
basket	cesta	basket
basketbal	baloncesto	basketball
bassie	bajista	this is a name
bassist	bajista	bassist
basten	ladrar	bark
bataafse	bátavo	batavian
battle	batalla	battle
bauxiet	bauxita	bauxite (ore)
bay	bahía	bay
bazel	basilea	bazel
bbc	bbc	bbc
bbp	pib	gdp
be	ser	be
beach	playa	beach
beagle	beagle	beagle
beat	golpear	beat
beatles	los beatles	beatles
beatrix	beatriz	beatrix
beaufort	beaufort	beaufort
beautiful	hermoso	beautiful
bebop	be-bop	bepop
bebouwing	edificios	buildings
bed	cama	bed
bedacht	descubierto	devised
bedekken	cubrir	cover
bedekt	cubierto	covered
bedenken	idear	think of
bedenker	creador	creator
bediend	operado	operated
bedoeld	destinado a	to intend
bedoeling	intención	intention
bedraagt	cantidades	amounts
bedrag	cantidad	amount
bedragen	cantidades	amounts
bedreigd	amenazado	threatened
bedreigde	amenazado	endangered
bedreiging	amenaza	threat
bedreigingen	amenazas	threats
bedreven	adepto	proficient
bedrijf	empresa	company
bedrijfsleven	negocio	businesslife
bedrijven	negocios	companies
bedroeg	ascendió	was
beek	arroyo	beek
beeld	estatua	picture
beelden	imágenes	images
beeldende	visual	visual
beeldhouwer	escultor	sculptur
beeldhouwkunst	escultura	masonry
beeldhouwwerken	esculturas	sculpltures
been	pierna	leg
beer	oso	beer
beet	mordedura	bite
beethoven	beethoven	beethoven
beetje	poco	sort of
befaamde	famoso	famous
begaan	comprometerse	commit
begeleid	guiado	accompanied
begijnhof	beguinage	beguinage
begin	empezar	beginning
beginjaren	primeros años	beginning years
beginnen	para comenzar	begin
beginnende	principiante	beginning
beginperiode	periodo inicial	beginning of period
beginselen	principios	principles
begint	comienza	begins
begon	empezó	began
begonnen	empezado	started
begraafplaats	cementerio	cemetary
begrafenis	funeral	funeral
begraven	enterrar	bury
begrensd	limitado	limited
begrepen	entendido	understood
begrijpen	comprender	understand
begrip	comprensión	term
begrippen	conceptos	standards
begroeiing	crecimiento excesivo	flora
begroting	presupuesto	budget
behaald	logrado	obtained
behaalde	logrado	obtained
behalen	lograr	reached
behalve	excepto	except
behandeld	tratado	treated
behandelde	tratado	treated
behandelen	para tratar	treat
behandeling	terapia	treatment
behandelingen	tratos	treatments
behandelt	trata	treats
beharing	cabello	hair
beheer	administración	management
beheersen	maestro	control
beheerst	revisado	dominated
beheerste	revisado	controlled
behield	retenido	retained
behoefte	necesitar	need
behoeften	necesidades	needs
behoeve	con el propósito	for
behoorde	pertenecía	belonged
behoorden	pertenecía	belonged
behoorlijk	bastante	reasonably
behoort	pertenece	is
behoren	pertenecer a	belong
behorende	pertenecer	belonging
behoud	preservación	perservation
behouden	preservar	preserve
behulp	utilizando	using
beide	ambos	both
beiden	ambos	reached
beieren	baviera	bavaria
beierse	bávaro	biers
bek	pico	mouth
bekeerde	convertido	converted
bekeken	visto	seen
bekend	conocido	known
bekende	conocido	famous
bekendgemaakt	anunciado	published
bekendheid	fama	fame, famous
bekendst	mejor conocido	best known
bekendste	mejor conocido	known
beker	taza	cup
bekeren	para convertir	to convert
bekering	arrepentimiento	conversion
bekijken	ver	to look at
bekken	pelvis	pelvis
bekritiseerd	criticado	criticized
bel	llamada	bell
belandde	terminó	ended up
belang	interesar	importance
belangen	intereses	interests
belangrijk	importante	important
belangrijke	importante	important
belangrijker	más importante	more important
belangrijkste	principal	most important
belangstelling	interesar	interest
belast	cargar	charge - 2nd and 4th sentence, loaded - 6th sentence
belasting	impuesto	burden
belastingen	impuestos	taxes
beleefde	cortés	went through
beleg	adición	siege
belegering	cerco	siege
beleid	política	policy
beleven	experiencia	to see
beleving	experiencia	perception
belgae	belgae	belgae
belgen	belgas	belgians
belgisch	belga	belgium
belgische	belga	belgian
belgië	bélgica	belgium
bell	campana	bell
bella	bella	bella
bellamy	bellamy	bellamy
bellen	marcar	bubbles
belofte	promesa	promise
beloofd	prometido	promised
beloofde	prometido	promised
beloop	curso	course
bemachtigen	consíguelo	obtain
bemanning	tripulación	crew
bemanningsleden	miembros de la tripulación	crew members
bemoeilijkt	complicado	bemoeiliijkt
ben	a.m	ben
benaderd	se acercó	approach
benadering	acercarse	approach
benadrukt	enfatiza	emphasizes
benaming	nombre	name
benamingen	designaciones	designations
beneden	abajo	down
benedictus	benedicto	benedictus (proper noun - first name)
benelux	benelux	benelux (proper noun)
benen	piernas	legs
benjamin	benjamín	benjamin
bennington	bennington	bennington
benny	benny	benny
benodigde	necesario	required
benoemd	fijado	famous
benoemde	fijado	named
benoemen	nombrar	appoint
benoeming	nominación	nomination
bent	son	are
benzine	gasolina	petrol
beoefend	experto	exerted
beoogde	destinado a	intended
beoordeeld	juzgado	judged
beoordeling	revisión	judgement
bepaald	determinado	certain
bepaalde	especial	defined
bepaalt	determina	determines
bepalen	determinar	to determine
bepalend	determinativo	determining / guiding
bepaling	determinación	condition / rule (in this context)
beperken	límite	restrain
beperking	restricción	limitation
beperkingen	limitaciones	limitations
beperkte	limitado	limited
bereid	preparado	willing
bereiden	preparar	prepare
bereik	rango	reach
bereikbaar	accesible	accessible
bereiken	conseguir	reach
bereikt	alcanzado	to attain or to reach
bereikte	alcanzado	reached
bereikten	alcanzado	reached
berekend	calculado	calculated
berekenen	calcular	calculate
berekening	cálculo	calculation
berekeningen	cálculos	calculations
berg	montaña	mountain
bergachtig	montañoso	mountainous
bergen	montañas	mountains
bergketen	cordillera	mountain chain
bergketens	cadenas montañosas	mountain ranges
bericht	mensaje	message
berichten	mensajes	messages
berlijn	berlina	berlin
berlijnse	berlina	berliner
berlin	berlina	berlijn
berliner	berlinés	berliner
bern	berna	bern
bernard	bernardo	bernard
bernhard	bernhard	bernhard
bernini	bernini	bernini
beroemd	famoso	famous
beroemde	famoso	famous
beroemdheden	famosos	celebrities
beroemdste	más famoso	most famous
beroep	profesión	profession
beroepen	profesiones	professions
beroepsonderwijs	educación vocacional	vocational education
berry	baya	berry
bert	bert	bert
berucht	infame	notorius
beruchte	infame	infamous
berust	descansa	based
beschadigd	dañado	damaged
beschadigen	dañar	damage
beschadiging	dañar	damage
beschaving	civilización	civilization
beschavingen	civilizaciones	civilizations
bescheiden	modesto	modest
beschermd	protegido	protected
beschermde	protegido	protected
beschermen	proteger	protect
beschermheilige	patrona	archangel
bescherming	proteccion	protection
beschermt	protege	protects
beschikbaar	disponible	available
beschikbare	disponible	available
beschikken	disponer	to own / be able to use
beschikking	decisión	available
beschikt	caracteristicas	posesses
beschikte	decidido	have at their disposal
beschouwd	considerado	seen as
beschouwde	considerado	considered
beschouwden	considerado	considered
beschouwen	considerar	see
beschouwing	consideración	consideration
beschouwt	considera	considers
beschreef	descrito	described
beschreven	descrito	described
beschrijft	describe	describes
beschrijven	describir	to describe
beschrijving	descripción	description
beschrijvingen	descripciones	descriptions
beschuldigd	acusado	accused
beslaat	cubre	gets covered
beslag	masa	batter
beslissen	decidir	to decide
beslissende	decisivo	decisive
beslissing	decisión	decision
beslissingen	decisiones	decisions
beslist	decide	decision
besloot	decidido	decided
besloten	privado	decided
besluit	decisión	decision
besluiten	decidir	to decide
besluitvorming	decisión	decision-making
besmet	infectado	infected
besmette	infectado	contaminated
besmettelijk	contagioso	contagious
besmetting	contaminación	infection
besprekingen	discusiones	discussions
besproken	discutido	discussed
best	mejor	optimal
bestaan	existir	remained - 2nd sentence, exist - 4th and 6th sentence
bestaande	existente	consist
bestaansmiddelen	medios de subsistencia	raw goods
bestaat	existe	consists
bestand	expediente	agreement
bestanddelen	constituyentes	constituents
bestanden	archivos	files
beste	mejor	best
besteden	gastar	to spend
besteed	gastado	spent
besteedde	gastado	payed (attention) / spent (time)
bestemd	destinado a	destined
bestemming	destino	destination
bestemmingen	destinos	destinations
bestempeld	etiquetado	labeled
bestond	existió	excisted
bestonden	existió	existed
bestraft	castigado	punished
bestreden	impugnado	combated
bestrijden	combate	fight against
bestrijding	combate	controversey
bestudeerd	estudió	studied
bestudeert	estudios	study
bestuderen	para estudiar	study
besturen	controlar	govern
besturingssysteem	sistema operativo	operating system
bestuur	tablero	management
bestuurd	revisado	controlled
bestuurders	conductores	directors
bestuurlijk	administrativo	administrative
bestuurlijke	administrativo	administrative
bestverkochte	más vendido	best-selling
betaald	pagado	paid
betaalde	pagado	paid
betaalt	paga	pays
betalen	pagar	pay
betaling	pago	payment
betekende	significaba	ment
betekenen	media	mean
betekenis	sentido	importance
betekenissen	significados	meaning
betekent	medio	means
beter	mejor	better
betere	mejor	better
beton	hormigón	concrete
betonnen	hormigón	concrete
betreden	entrar	set foot on
betreffen	preocupación	relate
betreffende	sobre	concerning
betreft	respecto a	concerns
betrekkelijk	relativo	particulary
betrekking	trabajo	connection
betrekkingen	relaciones	relations
betrof	preocupado	concerned
betrokken	involucrado	involved
betrokkenheid	intervención	involvement
betrouwbaar	de confianza	reliable
betrouwbaarheid	fiabilidad	reliability
betrouwbare	de confianza	trustworthy
betwist	cuestionado	disputed
beurs	bolsa de valores	bourse
beurt	giro	turn
beurzen	becas	fairs
bevallen	dar a luz	satisfactory (1st sentence), gave birth (3rd sentence), give birth (5th sentence)
bevalling	parto	confinement
bevat	contiene	contains
bevatte	contenido	contained
bevatten	contiene	contains
beveiliging	seguridad	security
bevel	orden	command
bevelhebber	comandante	commander
beveren	castor	beveren
bevestigd	confirmado	confirmed
bevestigde	confirmado	confirmed
bevestiging	confirmación	confirmation
bevinden	están localizados	who hear
bevindingen	recomendaciones	findings
bevindt	se encuentra	located
beving	temblor	quiver
bevoegd	competente	competent
bevoegdheden	autorizaciones	authorities
bevoegdheid	competencia	responsability
bevolking	población	population
bevolkingsdichtheid	densidad de población	population density
bevolkingsgroei	crecimiento de la población	population growth
bevolkingsgroepen	grupos de población	communities
bevolkingssamenstelling	composición de la población	demographics
bevolkt	poblado	inhabited
bevond	fue encontrado	located
bevonden	encontró	found
bevorderd	promovido	promoted
bevorderen	promover	to improve
bevordert	promueve	improves
bevriend	amigos	are friends
bevrijd	liberado	liberated
bevrijden	liberar	liberate
bevrijding	liberación	liberation
bevrucht	fecundado	fertilize
bevruchting	fertilización	fertilization
bewaard	mantenido	conserved
bewaren	quédatelo	in this context it means: to keep a distance
beweegt	se mueve	moves
beweerd	reclamado	claimed
beweerde	reclamado	asserted
beweert	reclamación (es	claims
bewegen	para mover	to move
bewegende	moviente	moving
beweging	movimiento	movement
bewegingen	movimientos	movements
beweren	reclamación	state
bewerken	editar	editing
bewerking	operación	remade
bewerkstelligen	realizar	bring about
bewerkt	editado	edit
bewezen	probado	proved
bewijs	prueba	proof
bewijzen	probar	proof
bewind	reinado	reign
bewogen	movido	moved
bewonderen	admirar	admire
bewondering	admiración	admiration
bewoners	residentes	inhabitants
bewoning	habitación	inhabitance
bewoond	poblado	inhabited
bewoonde	poblado	inhabited
bewust	consciente	conscious
bewuste	consciente	conscious
bewustzijn	conciencia	awareness
bezat	propiedad	possessed
bezaten	poseído	took hold of
bezet	ocupado	occupates
bezette	ocupado	occupied
