$	ps	dollar
analize	análisis	analysis
analizi	análisis	analysis
analizu	análisis	analyses
analogni	cosa análoga	analogue
anatomija	anatomía	anatomy
and	y	and
andora	andorra	andorra
andrić	andrić	andrić
andrića	andrić	andric
anemije	anemia	anemia
animacija	animación	animation
anne	ana	anne
anoda	ánodo	anoda
ansambl	conjunto	group
antarktika	antártida	antarctica
ante	apuesta inicial	ante
antibiotik	antibiótico	antibiotics
antigona	antígona	antigone
antioksidant	antioxidante	anti-oxides
antivirus	antivirus	anti-virus
antička	antiguo	antique
antičke	antiguo	ancient
antički	antiguo	antique
antičkih	antiguo	antique
antičko	antiguo	antique
antičkog	antiguo	antique
antičkoj	antiguo	antique
anto	anto	anto
antoaneta	antoaneta	antoanete
anton	anton	anton
antonija	antonija	antonia
antonije	antonije	anthony
antonio	antonio	anthonio
antropologija	antropología	anthropology
antropologije	antropología	anthropology
antropologiju	antropología	anthropology
antropolozi	antropólogos	anthropologists
aparat	aparato	apparatus
aparata	aparato	device
aplikacija	solicitud	application
aplikacije	aplicaciones	applications
apostola	apóstol	apostles
april	abril	april
aprila	abril	april
aprilu	abril	april
apsolutna	absoluto	absloute
apsolutni	absoluto	apsolute
apsolutno	absolutamente	absolutely
ar	arkansas	arabic
arabija	arabia	arabia
arabije	arabia	arabia
arabiji	arabia	arabia
arapa	arapa	arab
arapi	arábica	arabs
arapska	arábica	arab
arapske	arábica	arabian
arapski	arábica	arabic
arapskih	arábica	arab
arapskim	arábica	arab
arapskog	arábica	arab
arapskom	arábica	arabic
arbih	arbih	arbih
argentina	argentina	argentina
arheolozi	arqueólogos	archaeologists
arheološka	arqueológico	archaeological
arheološki	arqueológicamente	archaeological
arhipelag	archipiélago	archipelago
arhitekt	arquitecto	architect
arhitekta	arquitecto	architect
arhitektonski	arquitectónicamente	architectural
arhitektura	arquitectura	architecture
arhitekture	arquitectura	architecture
arhitekturi	arquitectura	architecture
arhitekturu	arquitectura	architecture
arhiv	archivo	archive
arhiva	archivo	archive
arija	aria	aria
aristotel	aristóteles	aristotle
aristotela	aristóteles	aristotelis name
aritmetika	aritmética	aritmetics
armija	ejército	army
armije	ejército	armies
arsen	arsénico	arsenic
arslanagić	arslanagić	arslanagic
art	arte	art
arterija	artería	artery
arterije	arterias	artery
artritis	artritis	artritis
as	como	a.s. (peace be upon him)
asim	asim	asim
asocijacija	asociación	association
aspekt	aspecto	aspect
aspekta	aspecto	aspect
aspekte	aspectos	aspects
aspirin	aspirina	aspirin
aspirina	aspirina	aspirin
at	a	at
atina	atenas	athens
atine	atenas	athens
atini	atenas	"(in the picture: olympic torch for oi in athens 2008. those games, in athens 2004., are actually not 28 olympics (since athens 1896th onwards)- which were held - but ""only"" 25. but despite everything, despite all the examples, warnings and threats to the xxviii olympic games in athens, 2004 23 (twenty three) athletes and female athletes were disqualified because of doping."
atlantski	atlántico	atlantic
atlantskog	atlántico	atlantic
atmosfera	atmósfera	atmosphere
atmosfere	atmósfera	athmosphere
atmosferi	atmósfera	atmosphere
atmosferu	atmósfera	atmosphere
atom	átomo	atom
atoma	átomo	atom
atomci	átomos	atomci
atomsko	atómico	atomic
atomskog	atómico	atomic
aton	aton	eaton
atp	atp	atp
atrakcija	atracción	attraction
atrakcije	atracciones	attractions
august	agosto	august
augusta	agosto	august
augustin	agustín	augustine
augustu	agosto	august
auschwitz	auschwitz	auschwitz
australija	australia	australija
australije	australia	austria
australiji	australia	austria
austrija	austria	austria
austrijanci	austriacos	austrians
austrije	de austria	austria
austriji	austria	austria
austrijom	austria	austria
austrijska	austriaco	austrian
austrijske	austriaco	austrian
austrijski	austriaco	austrian
austrijskog	austriaco	austrian
austriju	austria	austria
austrougarska	austrohúngaro	austro-hungarian
austrougarske	austrohúngaro	austro-hungarian
austrougarski	austrohúngaro	austro-hungarian
austrougarsko	austrohúngaro	austro-hungarian
austrougarskog	austrohúngaro	austro-hungarian
autizam	autismo	autizm
automatski	automáticamente	automatic
automobila	coches	cars
autonomije	autonomía	autonomy
autonomiju	autonomía	autonomy
autonomna	autónomo	autonomous
autonomne	autónomo	autonomous
autoput	autopista	highway
autoputa	autopista	highway
autoputeva	carreteras	highways
autor	autor	author
autora	autor	author
autori	autores	authors
autorima	autores	authors
autoritet	autoridad	authority
autoru	al autor	author
avaz	avaz	avaz
avgust	agosto	august
avijacija	aviación	aviation
avion	avión	aircraft
aviona	aeronave	plane
avioni	aviones	planes
azerbejdžan	azerbaiyán	azerbaijan
azija	asia	asia
azije	asia	asia
aziji	asia	asia
aziju	asia	asia
b	si	b
bacanje	lanzamiento	throwing
bach	llevar una vida de soltero	bach,last name
bacte	bacte	throw
bad	malo	bad
bajram	eid	bayram
bajrama	eid	bayram
bajramović	bajramović	bajramovic
bakar	cobre	copper
bakra	cobre	copper
bakterija	bacterias	bacteria
bakterije	bacterias	bacteries
balada	balada	ballad
balade	baladas	balads
baljić	baljić	baljic
balkan	balcánico	balkan
balkana	los balcanes	balkan
balkanski	balcánico	balkan
balkanskih	balcánico	balkan
balkanskog	balcánico	balkan
balkanskom	balcánico	balkan
balkanu	los balcanes	balkans
ban	prohibición	ban
bana	bana	ban
banja	spa	spa
banje	spa	spas
banjoj	banjoj	banja
banka	banco	bank
banke	bancos	banks
banovina	banovina	banovina
banovine	banovina	banovina
banovići	banovići	banovich
bar	bar	at least
barbarez	barbarez	barbarez(name)
barcelona	barcelona	barcelona
bare	desnudo	bare
barem	al menos	at least
barometar	barómetro	barometer
barry	barry	barry
bas	bajo	bass
basicu	basicu	basic
baterija	batería	battery
baterije	baterías	battery
bave	bave	deal with
bavi	ofertas	deals
bavili	entretenido	dealt with
bavilo	comprometido	dealt with
baviti	lidiar con	do
baza	base	base
baze	base	base
bazen	piscina	pool
bazena	piscina	pool
bazi	base	base
bazilika	basílica	basilica
bazira	establecido	based on
baziran	establecido	based
bazirana	establecido	based
bazu	base	base
baš	sólo	exactly
bašagić	башагић	basagic
bašagića	башагића	bašagić
bašeskija	башескија	bašeskija
baština	patrimonio	heritage
baštine	patrimonio	heritage
baštini	patrimonio	inheritance
baščaršija	baščaršija	bascarsija (part of the city of sarajevo)
bdp	bdp	gdp
bdpa	bdpa	bdp
be	ser	be
bebek	bebé	bebek
bedema	murallas	rampart
beg	mendigar	bey
begova	ruega	duke
bejrut	beirut	beirut
belgija	bélgica	belgium
belgije	bélgica	belgium
belgiji	bélgica	belgium
bell	campana	bell
bend	curva	band
benda	benda	band
bendu	curva	band
benjamin	benjamín	benjamin
benu	benu	ben
beograd	belgrado	beograd
beograda	belgrado	belgrade
beogradskom	belgrado	belgrade
beogradu	belgrado	belgrade
berlin	berlina	berlin
berlinu	berlina	berlin
besplatni	gratis	free
beta	beta	beta
bez	sin	without
beč	viena	vienna
beča	viena	wien
beču	viena	vienna
bešlagić	beslagic	beslagic,last name
bešlić	beslic	beslic
bh	bh	bh
bi	bi	to
biblije	biblias	bible
bibliji	la biblia	bible
bibliografija	bibliografía	bibliography
biblioteka	biblioteca	library
biblioteke	bibliotecas	libraries
bici	bibi	battle
bih	me gustaría	bih
bihać	bihać	bihać
bihaća	bihaća	bihac
bihaćki	bihaćki	bihac
bihaću	voy a	bihac
bijaše	era	was
bijela	blanco	white
bijele	blanco	white
bijeli	blanco	white
bijelim	blanco	white
bijeljina	blancura	bijeljina
bijelo	blanco	white
bijelog	blanco	white
bijelu	blanco	white
bila	estaba	was
bile	bilis	were
bileća	bileća	bileca
bili	fueron	were
biljaka	plantas	plants
bilje	hierbas	plants
bilješke	notas	notes
bilježe	ellos graban	note
bilježi	notas	notes down
biljka	planta	plant
biljkama	plantas	plants
biljke	plantas	plants
biljne	herbario	herbal
biljnih	planta	plant
biljnog	planta	herbal
bill	cuenta	bill
bilo	estaba	was
bin	compartimiento	bin
binarni	binario	binary
bint	vendaje	bint
bio	estaba	was
biofizika	biofísica	biofysics
biografija	biografía	biogeography
biologija	biología	biology
biološka	biológico	biological
biološki	biológico	biological
biosfera	biosfera	biosphere
bira	cerveza	elected
biraju	ellos eligen	chosen
biseri	perlas	pearls
biskup	obispo	bishop
biskupa	obispo	bishop
bit	poco	will
bitaka	batalla	battles
bitan	bitan	important
biti	ser	be
bitka	batalla	battle
bitke	batallas	battles
bitki	batallas	battles
bitku	batalla	battle
bitna	importante	important
bitne	esencial	important
bitno	esencial	important
biva	biva	being
bivaju	son	are
bivša	ex	ex
bivše	ex	former
bivšeg	ex	former
bivši	ex	former
bivših	ex	former
bivšoj	el primero	ex
bića	seres	being
biće	siendo	being
bjelančevina	proteína	protein
bjelorusija	bielorrusia	bjelorusija
bjelorusije	bielorrusia	belarus
bježi	huir	runs
blagaj	tesoro	blagaj
blage	leve	mild
blago	tesoro	mild
blaž	blaž	blaž
blaža	más suave	blazo (name)
blažić	blažić	blazic
bliski	cerca	close
bliskom	cerca	close
blizini	cerca	close
blizu	cerca	close
bliže	cerca	closer
blog	blog	blog
blok	bloquear	bloc
bloka	bloquear	blocks
blokova	bloques	blocks
boas	boas	boas
boban	boban	boban
bobovac	bobovac	bobovac
bodova	puntos	points
bog	dios	god
boga	dios	god
bogat	rico	rich
bogata	rico	rich
bogate	rico	rich
bogati	rico	rich
bogatih	rico	rich
bogatim	rico	rich
bogato	rico	rich
bogatstva	riqueza	wealth
bogatstvo	riqueza	wealth
bogatu	rico	rich
boginja	diosa	goddess
bogova	de los dioses	gods
bogovi	dioses	gods
bogovima	a los dioses	gods
bogu	dios	god
bohemian	bohemio	bohemian
boja	color	color
bojama	colores	colours
boje	colores	color
boji	colores	color
bojom	color	color
boju	color	color
boksit	bauxita	bauxite
bol	bol	pain
bola	dolor	pain
bolesnik	paciente	patient
bolesnika	pacientes	patients
bolest	enfermedad	dissease
bolesti	enfermedades	disease
bolestima	enfermedades	diseases
boleyn	dolor	boleyn
boli	duele	aches
bolja	mejor	better
bolje	mejor	better
bolji	mejor	better
bolnica	hospital	hospital
bolova	dolor	pain
bomba	bomba	bomb
bombe	bombas	bombs
bonaparte	bonaparte	bonaparte
bonus	prima	bonus
bora	bora	pine
borac	combatiente	borac
boraks	bórax	borax
boravak	permanecer	residence
boravka	permanecer	stay
borba	lucha	fight
borbama	peleas	fights
borbe	peleas	fights
borbeni	combativo	fighter
borbi	peleas	battle
borbu	lucha	battle
bore	aburrir	bora
bori	peleas	fights
borili	luchado	fought
borio	luchado	fighted
boris	boris	boris
borić	lucha	boric
bos	bos	bosnian
bosanci	bosnios	bosnians
bosanska	bosnio	bosnian
bosanske	bosnio	bosnian
bosanski	bosnio	bosnian
bosanskih	bosnio	bosnian
bosanskim	bosnio	bosnian
bosansko	bosnio	bosnian
bosanskog	bosnio	bosnian
bosanskoga	bosnio	bosnian
bosanskohercegovačka	bosnia y herzegovina	bosnian-herzegovinian
bosanskohercegovačke	bosnio	bosnia and herzegovina
bosanskohercegovački	bosnio	bosnian-herzegovinian
bosanskohercegovačkih	de bosnia y herzegovina	bosnian
bosanskohercegovačkog	de bosnia y herzegovina	bosnian-herzegovinian
bosanskoj	bosnio	bosnian
bosanskom	bosnio	bosnian
bosanskome	bosnio	bosnian
bosansku	bosnio	bosnian
bosančica	bosnio	bosancica
bosančicom	bosnio	bosnian cyrillic script
bosna	bosnia	bosnia
bosne	bosnia	bosnia
bosni	bosnia	bosnia
bosnom	bosnia	bosnia
bosnu	bosnia	bosnia
bozon	bosón	boson
bočne	lateral	sideways
boško	boško	bosko
bošnjaci	bosnios	bosnian
bošnjacima	bosnios	bosnians
bošnjak	bosniak	bosniak
bošnjaka	bosnios	bosniacs
bošnjake	bosnios	bosnians
bošnjani	bosnios	bosnians
bošnjačka	bosniak	bosniac
bošnjačke	bosniak	bosnian
bošnjački	bosnio	bosnian
bošnjačkih	bosniak	bosnian
bošnjačko	bosniak	bosnian
bošnjačkog	bosniak	bosnian
božanstva	deidades	deity
bože	dios	god
božiji	de dios	gods
božić	navidad	bozic
br	no	nr.
brak	matrimonio	marriage
braka	matrimonio	marriage
braku	matrimonio	marriage
brane	represa	defend
brani	defender	defends
branislav	branislav	branislav
branko	branko	branko
brat	hermano	brother
brata	hermano	brother
bratstvo	fraternidad	brotherhood
bratu	hermano	brother
bratunac	prima	bratunac
brazil	brasil	brazil
braća	hermanos	brothers
braće	hermanos	brothers
brda	colinas	hills
brdo	colina	hill
brdski	montañoso	mountain
brdu	colina	hill
bregović	bregović	bregović
breza	abedul	birch
brigade	brigada	brigade
brijeg	colina	hill
brijegu	colina	hill
brine	preocupaciones	deals
britanaca	de los británicos	britons
britanci	el británico	british
britanija	bretaña	britain
britanije	de gran bretaña	britain
britaniji	bretaña	britain
britannica	britannica	britannica
britanska	británico	british
britanske	británico	british
britanski	británico	british
britanskih	británico	british
britanskog	británico	british
brod	embarcacion	boat
broda	embarcacion	ship
brodova	buques	ships
brodovi	buques	ships
brodu	embarcacion	ship
broj	número	number
broja	número	number of
brojem	por numero	number
brojeva	números	numbers
brojevi	números	numbers
brojevima	números	numbers
broji	cuenta	counts
brojna	numeroso	number of
brojne	numeroso	numerous
brojni	numeroso	many
brojnih	numeroso	many
brojnim	numeroso	numerous
brojnost	abundancia	number of
broju	número	number
bronhiole	bronquiolos	bronchi
bronzanog	bronce	bronze
bruno	bruno	giordano
brusnica	arándano	cranberry
bruto	bruto	gross
brz	rápido	quick
brza	rápido	quick
brze	rápido	fast
brzi	rápido	fast,quick
brzina	velocidad	speed
brzine	velocidad	speed
brzinom	velocidad	speed
brzinu	velocidad	speed
brzo	rápido	fast
brčko	brčko	brcko
brže	más rápido	faster
brži	más rápido	faster
bubojedi	escarabajos	insectivora
bubrega	riñón	kidneys
bubrezi	riñones	kidneys
bude	estarán	be
budi	ser	wake
budizam	budismo	buddhism
budu	voy a	be
buduće	futuro	future
budućeg	del futuro	future
budući	futuro	since
budućnost	el futuro	future
budućnosti	del futuro	future
buenos	bueno	buenos
bugari	búlgaros	bulgarians
bugarska	bulgaria	bulgarian
bugarske	búlgaro	bulgarian
bugarski	búlgaro	bulgarian
bugarskoj	búlgaro	bulgarian
bugarskom	búlgaro	bulgarian
bugojno	bugojno	bugojno
buha	buha	buha
buhe	buhe	fleas
bukal	bukal	bukal
bukvalno	literalmente	literally
bune	bune	uprising
busenje	perforación	sod
busovača	busovača	busovacha
bužim	bužim	buzim
byron	byron	byron
c	c	c (letter)
ca	california.	ca
california	california	california
car	coche	emperor
cara	cara	king
carem	rey	king
careva	emperadores	tsar`s
carevine	imperio	kingdom
carigrad	constantinopla	constantinople
carigrada	de constantinopla	constantinople
carl	carl	carl
carske	real	royal
carski	imperial	regal
carstva	imperio	empires
carstvo	reino	kingdom
carstvom	imperio	empire
carstvu	reino	empire
cazin	cazin	cazin
cd	discos compactos	cd
ce	será	tse
ceca	ceca	ceca
celuloza	celulosa	cellulose
centar	centrar	center
centara	centros	centers
centar|p|	centro | p |	center
center	centrar	center
centimetar	centímetro	centimeter
centra	centrar	center
centralna	central	central
centralne	central	central
centralni	central	central
centralnog	central	central
centralnoj	central	central
centralnom	central	central
centre	centrar	centers
centri	centros	centers
centrima	centros	center
centrom	centrar	center
centru	centrar	center
ceremonija	ceremonia	ceremony
cervantes	cervantes	cervantes
cesta	la carretera	roads
ceste	carreteras	roads
cezar	césar	caesar
cezara	césar	caesar
cezijum	cesio	cesium
charles	charles	charles
chicago	chicago	chicago
christian	cristiano	christian
cia	cia	cia
cifara	dígito	numbers
cijela	todo	entire
cijele	todo	entire
cijeli	todo	the whole
cijelim	todo	all
cijelo	el conjunto	whole
cijelog	el conjunto	whole
cijeloj	el conjunto	entire
cijelom	en todo	the whole, full
cijelu	el conjunto	the whole
cijena	precio	price
cijene	precios	prices
cijeni	precio	price
cijev	tubo	tube
cijevi	tubería	pipes
ciklus	ciclo	cyclus
ciklusa	ciclo	cycle
cilj	objetivo	goal
cilja	objetivo	goal
ciljem	objetivo	to
ciljeva	metas	goals , objectives, targets
ciljeve	metas	goals
ciljevi	metas	objectives
cilju	objetivo	trying
cinabarit	cinabrio	cinnabar
cink	zinc	zirconium
cinka	zinc	zinc
cirkonijum	circonio	zirconium
civila	civiles	civilians
civilizacija	civilización	civilization
civilizacije	civilización	civilizations
civilizaciju	civilización	civilization
cjelina	todo	whole
cjeline	total	unity
cjelini	todo	globally
cjelinu	todo	whole
cjelokupne	en general	entire
cjelokupnu	en general	whole
co	co	co
columbia	columbia	columbia
cpu	upc	central processing unit
crijeva	intestinos	bowels
crijevo	manguera	intestine
crkava	iglesias	churches
crkva	iglesia	church
crkve	iglesias	church
crkvene	eclesiástico	church
crkveni	eclesiástico	canonical
crkvi	iglesia	church
crkvom	la iglesia	church
crkvu	la iglesia	church
crna	negro	crna
crne	negro	black
crni	negro	black
crnih	negro	black
crnim	negro	black
crno	negro	black
crnog	negro	black
crnogorci	montenegrinos	montenegrins
crnogorski	montenegrino	montenegrian
crnoj	negro	black
crnom	negro	black
crnomorskom	mar negro	black sea
crnu	negro	black
croatia	croacia	croatia
crossfire	fuego cruzado	crossfire
crt	crt	crt
crta	línea	line
crvena	rojo	red
crvene	rojo	red
crveni	rojo	red
crvenih	rojo	red
crvenim	rojo	red
crvenog	rojo	red
crvenom	rojo	red
cu	con	copper
cup	taza	cup
cvijet	flor	flower
cvijeta	flor	flower
cvijeće	flores	flowers
cvjeta	floraciones	flowers
cvjetovi	flores	flowers
da	si	yes
daje	si esto es	gives
daju	ellos dan	give
dajući	dando	giving
dakle	entonces	so
dala	dio	given
daleko	muy lejos	far
dali	ya sea	dali
dalje	más lejos	on, beyond
daljem	más lejos	further
dalji	más lejos	further
daljnje	más lejos	further
dalmacija	dalmacia	dalmatia
dalmacije	dalmacia	dalmatia
dalmaciji	dalmacia	dalmatia
dalo	dio	gave
damir	damir	damir
dan	día	day
dana	dias	days
danas	hoy	today
današnja	hoy	todays
današnje	hoy	todays
današnjeg	de hoy	present
današnjem	hoy	todays
današnji	hoy	today
današnjih	de hoy	today
današnjim	hoy	today's
današnjoj	hoy	present
dane	sí no	days
dani	dias	dani
daniel	daniel	daniel
danima	dias	days
danska	dinamarca	denmark
danske	danés	denmark
danski	danés	danish
danskoj	danés	denmark
dante	dante	dante
dao	dio	gave
darko	darko	darko
darwin	darwin	darwin
dat	dat	given
date	fecha	date
dati	dar	to give
datira	fechado	dates
datiraju	fechado	date
datoteci	expediente	file
datoteka	expediente	file
datoteke	archivos	files
datoteku	expediente	files
datum	fecha	date
datuma	fecha	date
davao	dio	giving
davati	dar	give
david	david	david
davis	davis	davis
davnina	antigüedad	from long time ago
davno	hace mucho tiempo	long ago
davor	davor	davor
davorin	davorin	davorin
daytonskog	de dayton	dayton
dd	dd	"short term for  ""drustvena djelatnost"" which means group activity company"
de	delaware	de
debelog	grueso	thick
decembra	diciembre	december
decembru	diciembre	december
decenija	década	decades
decenijama	décadas	decades
decenije	décadas	decade
dedić	abuelo	dedic
definicija	definición	definition
definicije	definiciones	definitions
definiciji	definición	definition
definiciju	definición	definition
definira	define	to definite
definisan	definido	defined
definisana	definido	defined
definisati	definir	define
definitivno	seguro	definitely
definiše	define	define
dei	dei	dei
dejtonski	dayton	dayton
deklaracija	declaración	declaration
dekonstrukcija	deconstruccion	deconstruction
del	del	part
delfi	delphi	delfi
della	de	della
delta	delta	delta
delčev	fragmentos	delchev
demografija	demografía	demography
demokratija	democracia	democracy
demokratije	democracia	democracy
demokratiju	democracia	democracy
demokratska	democrático	democratic
demokratske	democrático	democratic
demokratski	democrático	democratic
denominacije	denominaciones	denominations
departmana	departamento	department
derivacija	derivación	derive
derivat	derivado	derivative
derivati	derivados	derivatives
derventa	derventa	dervent
derviš	derviche	dervish
derviša	derviche	dervish
deset	diez	ten
desetak	una docena	ten
desetine	docenas	tens
desetljeća	décadas	decades
desilo	sucedió	occured
desio	desio	happened
desiti	dónde estás	happen
desktop	escritorio	desktop
desne	derecha	right
desno	derecha	right
desnoj	derecha	right
desnom	derecha	right
desnu	derecha	right
detalja	detalles	details
devedesetih	noventa	the nineties
dezinflacija	desinflación	disinflation
dešava	sucede	happens
dešavanja	eventos	events
di	di	di
die	el	german word
digitalne	digital	digital
digitalni	digital	digital
digitalnih	digital	digital
dijagnoza	diagnóstico	diagnosis
dijalekt	dialecto	dialect
dijalekta	dialecto	dialect
dijamant	diamante	diamond
dijaspora	diáspora	diaspora
dijela	parte	parts
dijele	compartir	divide
dijeli	comparte	divide
dijelom	en parte	part
dijelova	partes	parts
dijelove	partes	parts
dijelovi	partes	parts
dijelovima	partes	parts
dijelu	parte	part
dijete	niño	diet
diktature	dictadura	dictature
dimenzija	dimensión	dimensions
dimenzije	dimensiones	dimensions
din	estruendo	din
dinamo	dinamo	dinamo
dinar	dinar	dinar
dinastija	dinastía	dynasty
dinastije	dinastía	dynasties
dino	dino	dino
dio	parte	part
dioksid	dióxido	dioxide
dioksida	dióxido	dioxide
dionica	valores	section
dionice	cepo	stocks
dioničar	accionista	stock holder
direktno	directamente	directly
direktor	director	director
disanja	respiración	breathing
disanje	respiración	breathing
disciplina	disciplina	discipline
discipline	disciplina	discipline
disipacija	disipación	dissipation
disk	disco	disk
diska	disco	disk
diskografija	discografía	discography
disku	disco	disc
distribucija	distribución	distribution
distribucije	distribución	distribution
distrikt	distrito	district
distrikta	distrito	district
diuretik	diurético	diuretic
divizija	división	division
divizije	división	division
divlje	salvaje	wild
dizajn	diseño	design
dizajna	diseño	design
dizdar	dizdar	dizdar
djeca	niños	kids
djece	niños	kids
djeci	niños	children
djecom	niños	children
djecu	niños	kids
djela	trabajos	works
djelatnost	actividad	activity
djelatnosti	ocupaciones	activities
djelima	andanzas	works
djelimično	en parte	partly
djelo	trabajo	deed
djelom	en parte	part
djelomično	parcialmente	partly
djelovanja	comportamiento	actions
djelovanje	acción	action
djelovanjem	por acción	acting
djelovanju	acción	action
djelovima	partes	parts
djelu	trabajo	work
djeluje	trabajos	works
djeluju	actuar	work
djeteta	niño	child
djetinjstva	infancia	childhood
djetinjstvo	infancia	childhood
djetinjstvu	infancia	childhood
djevojka	niña	girl
djevojčica	niña	little girl
djevojčice	muchachas	girl
dječja	para niños	children's
dnevna	diario	daily
dnevne	diario	daily
dnevnih	diario	daily
dnevno	diario	daily
dno	fondo	bottom
dns	dns	dns
dnu	fondo	bottom
do	a	to
dob	años	age
doba	años	age
dobar	bueno	good
dobara	bueno	goods
dobi	años	age
dobija	recibido	got
dobijaju	consiguen	get
dobijali	recibido	received
dobijanje	obtención	obtaining
dobije	consigue	receive
dobiju	consiguen	get
dobila	recibido	received
dobile	recibido	got
dobili	tiene	got
dobilo	recibido	gained
dobio	recibido	got
dobiti	obtener	gain
dobitnik	ganador	winner
doboj	doboj	doboj
doboja	doboja	doboj
dobra	bueno	good
dobre	bueno	good
dobri	bueno	good
dobrim	bueno	good
dobro	bueno	good
dobrog	bueno	good
dobrom	bueno	good
dobru	bueno	good
dobu	años	age
dodaje	él añade	adds
dodatak	adición	addition
dodati	añadir	add
dodatna	adicional	additional
dodatne	adicional	additional
dodatni	adicional	additional
dodatnim	adicional	additional
dodatno	adicionalmente	additional
dodatu	adicional	added
dodavanja	adiciones	passes
dodavanje	agregando	addition
dodavanjem	añadiendo	adding
dodir	toque	touch
dodirne	toques	touch
doduše	aunque	indeed
događa	sucede	happens
događaj	evento	event
događaja	eventos	events
događaje	eventos	events
događaji	eventos	events
događajima	eventos	events
događaju	evento	happen
događanja	eventos	happenings
dogodila	sucedió	occurred
dogodilo	sucedió	happened
dogodio	sucedió	occurred
dogovor	acuerdo	agreement
dogovora	acuerdo	agreement
dohodak	ingresos	income
dohotka	ingresos	sale
dojam	impresión	impression
dojenje	amamantamiento	breastfeeding
dojke	pecho	breast
dok	mientras	while
dokaz	prueba	proof
dokaza	evidencia	evidences
dokazao	demostrado	proved
dokaze	evidencia	proofs
dokazi	evidencia	proofs
doktor	médico	doctor
dokumenata	documentos	documents
dokument	documento	document
dokumenta	documentos	documents
dokumentarni	documental	documentary
dokumenti	documentos	documents
dokumentima	documentos	documents
dokumentu	documento	document
dolar	dólar	dollar
dolara	dolares	dollar
dolaska	llegada	arrival
dolaskom	llegada	arrival
dolasku	llegada	arrival
dolazak	llegada	arrival
dolaze	ellos estan viniendo	come
dolazi	está viniendo	arrive
dolazili	vino	come
dolazilo	venia	came
dolina	valle	valley
dolinama	valles	valleys
doline	valles	valley
dolini	valle	valley
dolinom	valle	valley
dolinu	valle	valey
dolje	abajo	down
dom	casa	home
doma	en casa	houses
domaća	doméstico	home
domaće	doméstico	domestic
domaćeg	doméstico	domestic
domaći	doméstico	home
domaćih	doméstico	home
domaćim	doméstico	domestic
domaćin	el anfitrión	host
domaćina	el anfitrión	the host
domena	dominio	domain
