$	dollar təşkil edib	dollars
أذربيجان	azərbaycan	azerbaijan
أراد	i̇stədi	wanted
أرادت	i̇stədi	wants to
أراض	torpaqlar	territories
أراضي	torpaqlar	lands
أراضيها	ərazisi	lands
أرباع	dörddə bir	quarters
أربع	dörd	four
أربعة	dörd	four
أربعين	qırx	forty
أرجاء	təqsirli	sides
أرخبيل	arxipelaq	archipelago
أرخميدس	arximed	archimed
أرسطو	aristotel	aristo
أرسل	göndər	he sent
أرسلان	arslan	arsalan
أرسلت	göndərilib	sent
أرسله	göndər	sent him
أرض	torpaq	land
أرضية	mərtəbə	earth
أرقام	nömrələr	numbers
أركان	sütunlar	arkan
أرمينيا	ermənistan	armenia
أزمة	böhran	crisis
أس	ace	s
أسابيع	həftələr	weeks
أساس	əsas	basis
أساسا	əsasən	originally
أساساً	əsasən	base
أساسي	əsas	main
أساسيا	əsas	essentially
أساسية	əsas	essential
أساسًا	əsasən	principally
أساليب	metodlar	methods
أسامة	usama	osama
أسباب	səbəbləri	reasons
أسبانيا	i̇spaniya	spain
أسبوع	bir həftə	week
أستاذ	professor	professor
أستراليا	avstraliya	australia
أسد	bir aslan	asad
أسر	ailələr	families
أسرار	sirləri	secrets
أسرة	ailə	family
أسرته	ailəsi	his family
أسرع	daha sürətli	the quickest
أسس	vəqflər	foundations
أسست	qurulub	established
أسسها	tapdı	founded
أسطورة	əfsanə	legend
أسطول	donanma	fleet
أسعار	qiymətlər	prices
أسعد	ən xoşbəxt	as'ad
أسفر	gəlir	lead to
أسفرت	gəlir	resulted
أسفل	aşağı	under
أسلحة	silahlar	weapons
أسلم	ən etibarlı	converted to islam
أسلوب	üslub	method
أسماء	adlar	names
أسمهان	əsmahan	asmahan
أسهم	səhmlər	contributed
أسوأ	ən pisi	worst
أسوار	çitler	walls
أسواق	bazarlar	markets
أسود	qara	black
أشار	göstərilmişdir	pointed out
أشارت	göstərdi	pointed
أشبه	daha çox kimi	like
أشجار	ağaclar	trees
أشخاص	i̇nsanlar	persons
أشد	daha sərt	the most
أشرف	əşrəf	most honorable
أشعة	şüalar	rays
أشكال	formalar	types
أشهر	aylar	the most popular
أشهرها	ən məşhur	renown
أشياء	şeylər	things
أصابع	barmaqlar	fingers
أصبح	oldu	became
أصبحوا	onlar oldu	became
أصحاب	sahiblər	owners
أصحابه	səhabələr	his friends
أصدر	verilmişdir	issued
أصدرت	verilmişdir	issued
أصغر	kiçik	smallest
أصفر	sarı	yellow
أصل	mənşəyi	origin
أصلا	əslən	originally
أصلاً	əslən	originally
أصله	mənşəyi	its origin
أصلها	mənşəyi	its origin
أصوات	səslər	sounds
أصول	mənşəyi	assets
أصيب	xəsarət aldı	injured
أضاف	əlavə etdi	added
أضخم	ən böyüyü	biggest
أضرار	zərərlər	damage
أضعاف	qatlanın	multiples
أضلاع	qabaqlar	side
أطراف	tərəflər	parts
أطفال	uşaqlar	children
أطلق	atıldı	named
أطلقت	atıldı	called
أطوال	uzunluqlar	lengths
أطول	ən uzun	the longest
أظهر	göstərdi	emphasized
أظهرت	göstərildi	showed
أعاد	bərpa olunur	repeated
أعداء	düşmənlər	enemies
أعدائه	düşmənləri	his enemies
أعداد	nömrələr	numbers
أعراض	simptomlar	symptoms
أعضاء	üzvlər	members
أعطى	verdi	give
أعظم	ən böyüyü	the greatest
أعقاب	nəticə	after
أعلام	bayraqlar	flags
أعلاه	yuxarıda	in the up
أعلم	bilirəm	i know
أعلن	reklam verin	announced
أعلنت	elan etdi	declared
أعلى	ali	highest
أعمال	i̇şləyir	works
أعماله	əsərləri	works
أعمالها	onun işidir	tasks
أعمدة	sütunlar	column
أعوام	i̇llər	years
أعيد	qayıtdı	was re-
أغاني	mahnilar	songs
أغراض	məqsədləri	stuff
أغسطس	avqust	august
أغلب	ən çox	the most
أغلبها	çoxu	most of them
أغلبية	əksəriyyət	most
أغنى	ən varlı	richest
أغنية	mahnı	the song
أفراد	fərdi şəxslər	members
أفرادها	üzvləri	its members
أفرودة	afroda	monograph
أفريقيا	afrika	africa
أفريقية	afrika	african
أفضل	ən yaxşısı	best
أفعال	verblər	verbs
أفغانستان	əfqanıstan	afghanistan
أفكار	fikirlər	ideas
أفكاره	düşüncələri	his ideas
أفلاطون	platon	aflaton
أفلام	filmlər	films
أفلامه	filmləri	his films
أفندي	xoca əfəndi	effendi
أقاليم	ərazilər	regions
أقام	qalmaq	established
أقبل	qəbul edirəm	did
أقدم	ən qədim	the oldest
أقر	keçdi	approved
أقرب	yaxındır	the nearest
أقسام	bölmələr	divisions
أقصر	daha qısa	shortest
أقصى	maksimum	far
أقطار	çaplar	countries
أقل	daha az	less
أقليات	azlıqlar	minority
أقلية	azlıq	minority
أقمار	aylar	satellites
أقوال	sözlər	sayings
أقواله	sözləri	his sayings
أقوى	güclüdür	stronger
أقيم	qalıram	held
أقيمت	qurulub	held
أكاديمية	akademiya	academy of
أكان	akan	whether it is
أكتوبر	oktyabr	october
أكثر	daha çox	the most
أكثرها	çoxu	most
أكد	təsdiqləndi	confirmed
أكدت	təsdiqlədi	insured
أكسيد	oksid	oxide
أكل	yeyin	eating
أكمل	tamam	completed
ألا	deyil	only
ألاسكا	alyaska	alaska
ألبانيا	albaniya	albania
ألبرت	albert	albert
ألبوم	albom	album
ألدهيد	aldehid	aldehyde
ألعاب	oyunlar	games
ألف	ə.	thousand
ألفا	alfa	alpha
ألفًا	ə.	thousand
ألقاب	ləqəblər	titles
ألقى	atdı	thrown
ألكسندر	i̇skəndər	alexandr
ألكيل	alkil	alkyl
ألمانيا	almaniya	germany
ألمانية	alman	german
ألوان	rənglər	colors
أم	ana	m
أما	ya da	but
أماكن	yerlər	places
أمام	facebook	in front of
أمامه	qarşısında	in front of
أمانة	dürüstlük	secretariat
أمة	millət	nation
أمثال	bəyənirlər	like
أمثلة	nümunələr	examples
أمر	bir sifariş	affair
أمرا	bir sifariş	thing
أمراء	şahzadələr	princes
أمراض	xəstəliklər	diseases
أمره	onun əmri	his issue
أمرهم	onlara əmr etdi	their fate
أمريكا	amerika	america
أمريكي	amerika	american
أمريكية	amerika	american
أمريكيون	amerikalılar	american
أمرًا	bir sifariş	thing
أمطار	yağış	rains
أمفورة	amfora	amphora
أمكن	mümkündür	what made possible
أمل	ümid	hope
أمم	millətlər	nations
أمن	təhlükəsizlik	insure
أمه	anası	his mother
أموال	pul	money
أمور	şeylər	affairs
أمية	savadsızlıq	omaia
أمير	şahzadə	prince
أمين	dürüst	ameen
أمّا	ya da	while
أن	bu	that
أنا	mənəm	i
أنابيب	borular	tubes
أناكوندا	anakonda	onokanda
أنباء	xəbərlər	news
أنبياء	peyğəmbərlər	prophets
أنت	sənsən	you
أنتج	i̇stehsal olunur	produced
أنتجت	i̇stehsal olunur	produced
أنثى	qadın	female
أنجبت	doğuş verdi	gave birth
أنجلوسكسونيون	angelesxionion	anglo-saxon
أنحاء	artıq	throughout
أندية	klublar	clubs
أنس	ənəs	ons
أنسجة	doku	tissues
أنشأت	qurulub	founded
أنشئ	yarat	established
أنشئت	quruldu	established
أنشطة	fəaliyyətlər	activities
أنصار	tərəfdarlar	supporters of
أنطاكية	antiox	antakia
أنظر	baxın	look
أنظمة	sistemlər	systems
أنفسهم	özləri	themselves
أنقرة	ankara	ankara
أنك	sən ki	that you
أنماط	nümunələr	patterns
أننا	biz ki	that we
أنه	odur	it is
أنها	odur	that it is
أنهار	çökdü	collapsed
أنهم	bunlar	that they are
أنهما	bunlar	"they ""both"" are"
أنهى	bitirdi	finshed
أنواع	növləri	kinds
أنواعها	onun növləri	types
أنوبيس	anubis	anubis
أنور	ənvər	anwar
أني	bu mənəm	that i
أنّ	bu	so
أنّه	odur	it is
أهالي	xalqım	the people of
أهداف	məqsədlər	goals/objectives
أهدافها	onun məqsədləri	its aims
أهل	i̇nsanlar	inhabitants
أهله	ailəsi	his family
أهلها	ailəsi	it's people
أهلية	uyğunluq	civil
أهم	ən vacibdir	most important
أهمها	ən vacibdir	the most important
أهمية	əhəmiyyətlidir	importance
أهميتها	onun əhəmiyyəti	importance
أو	və ya	or
أوائل	erkən	the early
أواخر	gec	late
أواسط	orta	middle
أوامر	sifarişlər	orders
أوامره	onun əmrləri	his orders
أوباما	obama	obama
أوبرا	oprah	opera
أوج	apogee	the height of
أوجه	diqqət	aspects
أوراق	yarpaqlar	papers
أورانوس	uran	uranus
أورخان	orxan	orkhan
أورشليم	qüds	jerusalem
أوروبا	avropa	europe
أوروبي	avropa	european
أوروبية	avropa	european
أوساط	media	among
أوسع	daha geniş	wider
أوسلو	oslo	oslo
أوصى	tövsiyə olunur	will
أوضاع	modlar	situations
أوضح	i̇zah etdi	explained
أوضحت	i̇zah etdi	clarified
أوقات	times	times
أوقطاي	vaxtım	ogtay
أوكرانيا	ukrayna	ukraine
أول	birincisi	first
أولئك	olanlar	they
أولا	əvvəlcə söndürün	firstly
أولاد	uşaqlar	sons
أولاده	övladları	for the birth of
أولاً	birincisi	at first
أولها	bunlardan birincisi	first of them
أولى	birincisi	first
أولية	i̇lkin	primordial
أوّل	birincisi	first
أى	i̇stənilən	any
أي	i̇stənilən	which
أيام	günlər	days
أيامه	günləri	his days
أيبك	aybak	aibak
أية	i̇stənilən	any
أيدي	əllər	hands
أيديهم	əlləri	their hands
أيرلندا	i̇rlandiya	ireland
أيضا	həmçinin	also
أيضاً	həmçinin	also
أيضًا	həmçinin	also
أيلول	sentyabr	september
أيمن	ayman	ayman
أين	harada	where
أينشتاين	eynşteyn	einstein
أيها	heyif	o
أيوب	i̇ş	jacob
أَنَّ	bu	that
أَنْ	ann	can
إبادة	xəsarət	annihilation
إبان	zamanı	during
إبراهيم	i̇brahim	ibrahim
إثارة	qarışdırın	excitement
إثبات	sübut	proof
إثر	sonra	because of
إثيوبيا	efiopiya	ethiopia
إجراء	prosedur	procedure
إجراءات	fəaliyyətlər	steps
إجماع	konsensus	agreement
إجمالي	cəmi	total
إحباط	məyusluq	abortion
إحداث	effekt	making
إحدى	biri	a
إحصاء	statistika	counting
إحصاءات	statistika	counts
إحصائيات	statistika	statistics
إحياء	dirçəliş	recreation
إخراج	çıxarın	directed by
إخوته	qardaşları	his brothers
إدارة	i̇darəetmə	managing
إداري	i̇nzibati	administrative
إدارية	i̇nzibati	administrative
إدخال	daxil edin	introduction of
إدراك	realizasiya	recognition
إذ	buna görə	in fact
إذا	beləliklə	if
إذاعة	veriliş	broadcast
إذن	sonra	ann
إرادة	olacaq	will
إرتريا	eritreya	arteria
إرسال	göndərin	sending
إرهابية	terrorçu	terrorist
إزالة	sil	remove
إس	ş.	s
إسبانيا	i̇spaniya	spain
إستراتيجية	strategiya	strategy
إسحاق	i̇shaq	isaac
إسرائيل	i̇srail	israel
إسطنبول	i̇stanbul	istanbul
إسقاط	damla	projection
إسلام	i̇slam	islam
إسلامه	i̇slamı	his conversion to islam
إسلامي	i̇slami	islamic
إسلامية	i̇slami	islamic
إسماعيل	i̇smayıl	ismail
إشارات	siqnallar	signs
إشارة	göstəriş	signal
إشعاع	radiasiya	radiation
إصابة	yaralanma	injury
إصدار	versiya	issuance of
إصلاح	təmir	fixing
إصلاحات	düzəlişlər	repairs
إضافة	əlavə edin	addition
إضافةً	əlavə olaraq	in addition
إضافية	əlavə	additional
إطار	çərçivə	framework
إطلاق	başlat	naming
إعادة	yenidən	repetition
إعداد	hazırlıq	preparation
إعطاء	verin	giving
إعلامية	məlumatlı	media
إعلان	reklam	announcement
إف	f.	f
إفراز	sekresiya	secretion
إفريقيا	afrika	africa
إفريقية	afrika	africa
إقامة	qalmaq	the establishment of
إقليم	ərazi	territory
إقليمية	regional	regional
إل	l.	l
إلا	i̇stisna olmaqla	except
إلاّ	i̇stisna olmaqla	except
إلغاء	ləğv et	cancel
إلقاء	tökülür	capturing
إله	allah	god
إلهام	i̇lham	inspiration
إلى	üçün	to
إلي	mənə	to
إليك	sənə	to you
إلينا	bizə	elena
إليه	ona	to him
إليها	ona	for it
إليهم	onlara	for them
إم	ə.	m
إما	ya da	either
إمارة	əmirlik	emirate
إمام	i̇mam	emam
إمبراطور	i̇mperator	emperor
إمبراطورية	i̇mperiya	empire
إمكانية	mümkündür	ability
إنا	enna	we
إنتاج	i̇stehsal	production
إنتاجه	i̇stehsal edin	its production
إنتاجها	onların istehsalı	preduce
إنترنت	i̇nternet	internet
إنجازات	nailiyyətlər	achievements
إنجلترا	i̇ngiltərə	england
إنجليزية	i̇ngilis	englishwoman
إنجيل	müjdə	gospel
إندونيسيا	i̇ndoneziya	indonesia
إنسان	bir insan	human
إنسانية	i̇nsan	human
إنشاء	yarat	founding
إنشائها	onları yaradın	generation
إنفلونزا	qrip	flu
إنكار	rədd et	denying
إنما	əksinə	rather
إنها	odur	that it is
إنهاء	bitirin	finished
إنهم	bunlar	they are
إني	mənəm	i
إنّ	the	the
إياه	onu	itself
إياها	bu	itself
إيجاد	tapın	finding
إيران	i̇ran	iran
إيرث	yer	earth
إيطاليا	i̇taliya	italy
إيفان	i̇van	ivan
إيفل	eyfel	eiffel
إيقاف	dayan	cut
إيه	eh	a
إِلا	i̇stisna olmaqla	except
إِلَى	üçün	to
ا	ə.	quotation mark
ابتداء	başlayır	starting
ابتناء	anabolizm	building
ابن	oğul	son
ابنة	qızım	cousin
ابنته	qızı	his daughter
ابنه	oğlu	his son
ابي	atam	abi
اتباع	i̇zləyin	followers
اتباعه	onun davamçıları	his followers
اتبع	i̇zləyin	follow
اتجاه	i̇stiqamət	direction
اتجاهات	i̇stiqamətlər	directions
اتجه	dön	went
اتحاد	birlik	union
اتخاذ	alın	taking
اتخذ	alınıb	took
اتخذت	alınıb	took (action)
اتساع	çörək	expansion
اتسعت	genişləndi	widened
اتسمت	qeyd olundu	characterized by
اتصال	bağlantı	connection
اتصالات	bağlantılar	communication
اتفاق	razılaşma	accord
اتفاقيات	müqavilələr	agreements
اتفاقية	razılaşma	agreement
اتفق	razıyam	agreed
اتهام	i̇ttiham	accusation
اتهم	doldurulur	accused
اثنان	i̇ki	two
اثنتين	i̇ki	two
اثنين	i̇ki	two
اجتماع	görüş	social
اجتماعات	görüşlər	meetings
اجتماعي	sosial	social
اجتماعية	sosial	social
اجتمع	görüşdü	met
اجتياح	süpürmək	invasion
اجل	bəli	order / becomes clear
احتراق	yanma	combustion
احترام	hörmət edin	respect
احتفظ	saxlayın	kept
احتل	i̇şğal edin	occupied
احتلال	i̇şğal	occupation
احتلت	i̇şğal edir	occupied
احتمال	mümkündür	the possibility
احتياجات	ehtiyacları var	needs
احتياطي	ehtiyat	reserves
احمد	əhməd	ahmed
اختار	seçdi	choose
اختبار	test	examination
اختبارات	testlər	tests
اختراع	i̇xtiraçılıq	invention
اختراق	sıçrayış	penetration
اخترع	i̇cad	invented
اختلاف	fərq	different
اختلافات	fərqlər	differences
اختلفت	fərqlidir	different
اختيار	seçin	choose
اختياره	onun seçimi	has been chosen
اخر	başqası	the last
اديسون	edison	edison
ارتباط	bağlantı	liaison
ارتبط	qoşulun	was linked
ارتبطت	bağlandı	associated with
ارتفاع	yüksək	increase
ارتفاعه	boyu	its attitude
ارتفاعها	boyu	it attitude
ارتفع	gül	increased
ارتفعت	gül	rise up
ازداد	artıb	increased
ازدادت	artıb	increased
ازدهار	boom	prosperity
ازدهر	doymuşdur	flourished
ازدهرت	doymuşdur	prosperity
ازدياد	artırmaq	increase
اس	ş.	s
استبدال	dəyişdirin	replacing
استخدام	i̇stifadə edin	using
استخدامات	i̇stifadə edir	used
استخدامه	i̇stifadə edin	use
استخدامها	i̇stifadə edin	usage
استخدم	i̇stifadə edin	use
استخدمت	i̇stifadə etdiniz	used
استخدمها	i̇stifadə edin	used it
استخراج	çıxarış	extraction
استراتيجية	strategiya	strategical
استرجاع	çıxarış	regain
استسلام	təslim olun	surrender
استسلمت	i̇mtina etdim	surrendered
استضافة	hosting	host
استطاع	edə bilər	can
استطاعت	i̇darə etdi	was able
استطلاع	sorğu	scouting
استعادة	bərpa edin	return
استعداد	hazırdır	ready
استعمال	i̇stifadə edin	using
استعمالها	i̇stifadə edin	usage
استعمل	i̇stifadə edirəm	use
استغلال	i̇stifadəsi	exploitation
استفتاء	referendum	poll
استقالته	i̇stefası	his resigning
استقبال	qəbul	receiving
استقر	məskunlaşdı	settled
استقرار	sabitlik	stability
استقرت	yerləşdi	settled down
استقلال	müstəqillik	independence
استقلالها	müstəqilliyi	independence
استكشاف	kəşf edin	discovering
استمر	davam edin	continued
استمرار	dözümlülük	continuation
استمرت	davam edir	continued to
استنادا	əsaslanır	based on
استنادًا	əsaslanır	based on
استهلاك	i̇stehlak	consumption
استولى	ələ keçirildi	seized
استيراد	i̇dxal	importing
اسم	adı	the name
اسمه	adı	his name
اسمها	adı	her name
اشتد	i̇ntensivləşdirin	intensified
اشتراكية	sosializm	socialist
اشتهر	ən yaxşı bilinən	famous
اشتهرت	məşhur oldu	it was known
اصدار	məsələ	publishing
اضطر	zorlandı	had to
اضطراب	bozukluk	fusses
اضطرابات	narahatlıqlar	disturbance
اضطهاد	təqib	persecution
اعادة	yenidən	review
اعتبار	nəzərə alın	considering
اعتبارا	effekt	starting from
اعتباراً	düşünün	starting
اعتبارها	ağıl	considering
اعتبر	alın	concidered
اعتبرت	nəzərə alınıb	considered
اعتراف	bir etiraf	confession
اعترف	tanıdı	confessed
اعتقاد	i̇nam	belief
اعتقال	həbs	arresting
اعتقد	məncə	believed
اعتماد	qəbul	approval
اعتمادا	asılıdır	depending
اعتمد	qəbul edildi	considered
اعتمدت	qəbul edilmişdir	counted on
اعتناق	qucaqlayın	embracement
اعتنق	qucaqlaşdı	converted to
اغتيال	sui-qəsd	assassination
اغتياله	sui-qəsd	to assassinate him
افتتاح	açılış	opening
افتتح	açıldı	started
افتتحت	açdım	opened
اقتراب	yaxınlaşır	approaching
اقتراح	bir təklif	decision
اقترح	təklif olunur	suggested
اقتصاد	i̇qtisadiyyat	economy
اقتصادها	i̇qtisadiyyatı	its economy
اقتصادي	i̇qtisadi	economical
اقتصاديا	i̇qtisadi cəhətdən	economically
اقتصادية	i̇qtisadi	economical
اقرأ	oxuyun	read
اكتساب	alınması	acquisition
اكتسبت	alinib	gained
اكتشاف	kəşf	discovering
اكتشافه	kəşf edin	his discovery
اكتشافها	onları kəşf edin	discovered
اكتشف	tapın	discovered
اكتشفت	bildim	discovered
ال	the	the
الآب	ata	father
الآباء	valideynlər	fathers
الآبار	quyular	wells
الآتي	aşağıdakı	following
الآثار	effektlər	the monuments
الآخر	digəri	other
الآخرة	axirətdə	afterworld
الآخرين	digərləri	others
الآداب	etiket	arts
الآر	aar	hectare
الآرامية	aramik	the aramaic
الآستانة	astana	astana
الآسيوي	asiyalı	asian
الآسيوية	asiyalı	asiatic
الآشورية	assuriya	assyrian
الآفات	zərərvericilər	evils
الآلات	maşınlar	machines
الآلاف	minlərlə	thousands of
الآلام	ağrı	pains
الآلة	maşın	machine
الآلهة	tanrılar	gods
الآلي	avtomatlaşdırılmışdır	automatic
الآلية	mexanizm	mechanism
الآن	i̇ndi	now
الآونة	bu yaxınlarda	period
الآيات	ayələr	scenes
الآية	ayə	the verse
الأئمة	i̇mamlar	imams
الأب	ata	the father
الأباطرة	i̇mperatorların	emperors
الأبجدية	əlifba	alphabetic
الأبحاث	tədqiqat	the researches
الأبطال	qəhrəmanları	champions
الأبعاد	ölçülər	dimensions
الأبناء	uşaqlar	sons
الأبواب	qapılar	gates
الأبيض	ağ	white
الأتراك	türklər	the turkish
الأثار	effektlər	ancient ruins
الأثر	təsir	impact
الأثرية	arxeoloji	archeological
الأثناء	zaman	while
الأثير	eter	el-asyr
الأجانب	xaricilər	foreigners
الأجرام	cisimlər	celestial
الأجزاء	hissələri	parts
الأجسام	obyektlər	bodies
الأجناس	yarışlar	races
الأجنبي	əcnəbi	foreign
الأجنبية	xarici	foreign
الأجنحة	qanadlar	factions
الأجهزة	cihazlar	services
الأجيال	nəsillər	generations
الأحاديث	hədislər	ahaadeeth
الأحد	bazar günü	sunday
الأحداث	hadisələr	the events
الأحرار	azad insanlar	free
الأحرف	xarakterlər	letters
الأحزاب	tərəflər	party
الأحكام	qaydalar	judgments
الأحماض	turşular	acids
الأحمد	əl-əhməd	al-ahmad
الأحمر	qırmızı	red
الأحوال	şərtlər	everything
الأحياء	yaşayış	neighborhoods
الأحيان	bəzən	sometimes
الأخ	qardaş	brother
الأخبار	xəbərlər	news
الأخذ	alır	take
الأخر	digəri	other
الأخرى	digəri	other
الأخضر	yaşıl	the green
الأخطاء	səhvlər	mistakes
الأخلاق	etik	ethics
الأخلاقية	əxlaqi	the morality
الأخوان	qardaşlar	the brothers
الأخير	sonuncu	last
الأخيرة	sonuncu	last
الأداء	performans	performance
الأدب	ədəbiyyat	literature
الأدباء	yazıçılar	writer
الأدبي	ədəbi	literary
الأدبية	ədəbi	the literature
الأدلة	dəlil	evidences
الأدنى	ən aşağı	the near
الأدوات	alətlər	gadgets
الأدوار	rollar	roles
الأدوية	dərman dərmanları	the drugs
الأديان	dinlər	religions
الأذربيجانية	azərbaycan	azerbaijan
الأراضي	torpaqlar	the lands
الأرانب	dovşanlar	rabbits
الأربع	dörd	the four
الأربعة	dörd	four
الأربعين	qırx	fourteen
الأرثوذكس	pravoslav	orthodox
الأرثوذكسية	pravoslav	the orthodox
الأرجح	güman ki	mostly
الأرجنتين	argentina	argentina
الأردن	i̇ordaniya	jordan
الأردني	i̇ordaniya	joranian
الأردنية	i̇ordaniya	jordan
الأرز	düyü	cedrus
الأرضي	zəmin	land
الأرضية	mərtəbə	earth
الأرقام	nömrələr	the numbers
الأرمن	ermənilər	armenians
الأرمني	erməni	armenian
الأرمنية	erməni	armenian
الأرنب	dovşan	the rabbit
الأرواح	ruhlar	the spirits
الأزرق	mavi	blue
الأزمات	böhranlar	crises
الأزمة	böhran	crisis
الأزهر	əl-əzhər	azhar
الأزياء	moda	fashion
الأسئلة	suallar	questions
الأساس	vəqf	the basis
الأساسي	i̇btidai	mainly
الأساسية	əsas	essential
الأساطير	miflər	legends
الأساليب	metodlar	methods
الأسباب	səbəbləri	reasons
الأسباني	i̇span	the spanish
الأسبانية	i̇span	spanish
الأسبرين	aspirin	aspirin
الأسبق	əvvəlki	the previous
الأسبوع	həftə	week
الأستاذ	prof.	professor
الأسترالية	avstraliya	australian
الأسد	aslan	lion
الأسر	ailələr	families
الأسرة	ailənin	family
الأسرى	məhkumlar	captives
الأسطورة	əfsanə	the legend
الأسطول	donanma	navy
الأسعار	qiymətlər	prices
الأسفل	aşağıda	down
الأسلحة	silahlar	weapons
الأسلوب	metod	way / style / method
الأسماء	adlar	the names
الأسماك	balıq	fish
الأسمدة	gübrə	fertilizer
الأسنان	dişlər	teeth
الأسواق	bazarlar	markets
الأسود	qara	the black
الأشجار	ağaclar	the trees
الأشخاص	şəxslər	persons
الأشراف	nəzarət	supervision
الأشرف	əşrəf	el ashraf
الأشعة	şüalar	rays
الأشعري	əl-əşəri	ashari (name)
الأشكال	şekiller	forms
الأشهر	aylar	the most popular
الأشياء	şeylər	things
الأصدقاء	dostlar	the friends
الأصغر	ən cavandır	the smallest
الأصفر	sarı	yellow
الأصل	mənşəyi	origin
الأصلي	əsl	original
الأصلية	əsl	rooted
الأصليون	doğma	originals
الأصليين	yerli	original
الأصناف	çeşidlər	items
الأصوات	səslər	sound
الأصول	mənşəyi	assets
الأضحى	əl-adha	adhha
الأضرار	zərərlər	damages
الأضلاع	qabaqlar	pentagon
الأطباء	həkimlər	medcins
الأطباق	qablar	dishes
الأطراف	tərəflər	the ends
الأطرش	atraş	alatrash
الأطعمة	yeməklər	food
الأطفال	uşaqlar	children
الأطلس	atlas	atlas
الأطلسي	atlantik	atlantic
الأعداء	düşmənlər	enemies
الأعداد	nömrələr	numbers
الأعراض	simptomlar	symptoms
الأعراق	etniklər	etchnic groups
الأعشاب	otlar	grass
