$ tỉ	$ mil millones	$ billion
bùng	llamarada	"(term should be ""bùng nổ"") to break out (v.)"
bú	mamar	to suck
búa	martillo	a hammer
búi	mechones	tuft
bún	bollo	noodle
búng	movido	snap
bút	pluma	pseudonym
băm	hash	hash
băn	traste	concerned
băng	hielo	"(term should be ""băng giá"") freezing (adj.)"
bơ	mantequilla	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	nadar	swim
bơm	bomba	pump
bưu	franqueo	post office
bước	paso	a step (n.)
bướm	mariposa	butterfly
bạ	contactos	directory
bạc	plata	meager
bạch	transparente	"(should be ""bạch tuộc"") an octopus"
bại	fallado	defeated
bảng	mesas	chart
bảo	bao	protect
bảy	siete	seventh
bấm	presionar	press
bất	real	"(term should be ""bất cứ"") any (adj.)"
bấy	que	contemporary
bần	pobre	poor
bầu	votar	vote
bầy	rebaño	servant
bẩm	congénito	congenital
bẩn	sucio	the
bẩy	trampa	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	trampa	a trap (n.)
bậc	grado	level or class (n.)
bận	ocupado	busy
bật	encendido	outstanding
bắc	norte	beijing
bắcnam	northnam	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	disparar	shoot
bắp	elote	venter
bắt	atrapar	cross
bằng	es igual	by
bẹp	aplastar	crush
bẻ	romper	break
bẽ	humillación	humiliate
bến	muelle	wharf
bếp	cocina	kitchen
bề	superficie	"(should be ""bề mặt"") a surface"
bền	duradero	enduring (v.)
bể	roto	tank
bệ	pedestal	base
bện	trenzado	braided (adj.)
bệnh	enfermo	benh
bỉ	bélgica	disgust
bỉnh	travieso	binh
bịch	golpe	ridiculous
bịt	cubierto	cover
bọ	bichos	insect
bọc	envolver	to cover or enclose (v.)
bọn	ellos	a group (n.)
bọng	hinchazón	bladder
bọt	espuma	foam
bỏ	rendirse	to leave (v.)
bỏng	quemaduras	hot
bố	padre	"(term should be ""tuyên bố"") to declare"
bốc	cargando	bốc lửa= on fire
bối	confundido	messy
bốn	cuatro	four
bồi	compensación	"(term should be ""cao bồi"") cowboy (n.)"
bổn	deber	duty
bổng	beca	"with word luong, means ""salary"" or ""wages"""
bỗng	de repente	suddently
bộ	establecer	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	múltiplos	betray
bột	la masa	powder or flour (n.)
bớ	redondear	arrest
bớt	menos	less
bờ	orilla	coast
bời	vagabundo	profuse
bở	por	profitable
bởi	por	because
bục	podio	platform
bụng	panza	abdomen
bứt	sin saberlo	"(term should be ""bứt phá"") power (n.)"
bừa	desgarrador	messy, careless, or topsy-turvy (adj.)
bữa	comida	meal (n.)
bực	frustrado	bother
ca	ca	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	carbono	carbon
cacbonat	carbonato	carbonate
cacbua	carburo	carbides, carbon ions
caesar	césar	caesar
caffein	cafeína	caffeine
café	cafe	coffee
cai	cai	govern
cairo	el cairo	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	cálculo	calculus
calvin	calvin	calvin
cam	naranja	commit
cambodia	camboya	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	cameo	cameo part
cameron	cameron	cameron
cameroon	camerún	cameroon
camille	camille	camille
campbell	campbell	campbell
campuchia	camboya	campuchia
canada	canadá	canada
canadian	canadiense	canadian
canal	canal	canal
canary	canario	canary
cancer	cancer	cancer
canterbury	cantorbery	canterbury
canxi	calcio	calcium
capello	capello	capello
capra	capra	capra
carat	quilate	carat
carbine	carabina	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	captadores de tarjetas	(proper noun) cardcaptors
carey	cauteloso	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	caribe	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	carnaval	carnaval
carol	villancico	carol
caroline	caroline	(proper noun) caroline
carpathia	carpatia	carpathia
carter	carretero	carter
carxtơ	quilate	karst topography, a geological term (n.)
casa	casa	casa
casablanca	casablanca	casablanca
caspia	caspia	caspia
cassini	cassini	cassini
cast	emitir	cast
castries	castries	castries
castro	castro	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cdrom	cd-rom
cell	celular	cell
celtic	celta	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	padre	father
chai	botella	bottle
chaillot	chaillot	a name
chamberlain	chambelán	chamberlain
champa	champa	champa
champion	campeón	champion
chamẹ	masaje	parents
chanel	chanel	chanel
chanh	limon	lemon or lime (n.)
chao	hola	(proper noun) chao, a name
charles	charles	charles
charlotte	charlotte	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	perseguir	chase
chay	vegetariano	fasting
chdcnd	chdcnd	democratic republic
che	cubrir	cover
chechnya	chechenia	chechnya
chen	chen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	dividido	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chile	(proper noun) the country of chile
chim	el pajaro	bird
china	china	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	astrológico	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	frito	fry
chiêng	gong	gong
chiếc	pcs	the
chiếm	ocupado	appropriate
chiến	pelea	war, fight
chiết	extraer	literal
chiếu	proyección	show
chiền	manojo	temple
chiều	pm	length
chlamydia	clamidia	chlamydia
chloride	cloruro	chloroauric acid
chnd	chnd	chnd
choi	jugar	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	capa	coat
choáng	aturdido	dizzy
chris	chris	chris, as in chris hughes
christ	cristo	christ
christian	cristiano	christian
christopher	christopher	christopher
chrome	cromo	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	chu	cycle
chua	agrio	tomato
chuck	tirar	(proper noun) chuck, as in chuck norris
chui	bajo tierra	underground
chum	amigo	pot
chun	chun	chun
chung	general	general
churchill	churchill	churchill
chuyên	especializado	professional
chuyến	viaje	trip
chuyền	pasar	volleyball
chuyển	transferencia	to move
chuyện	historia	nói chuyện= talk
chuôi	queja	handle
chuông	campana	a bell
chuẩn	estándar	standard
chuốc	empujar	incur
chuối	bananas	banana
chuốt	brochado	refine
chuồng	granero	cage
chuỗi	cuerda	series
chuộc	canjear	redeem
chuộng	favorecido	favorite
chuột	ratón	a mouse (n.)
chà	frotar	rub
chài	pesca	fish
chàm	añil	indigo
chàng	chico	"(term should be ""chàng trai"") a young man (n.)"
chào	hola	welcome
chày	beisbol	a pestle (n.)
chánh	jefe	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	gachas	porridge
cháu	nietos	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	ardor	fire
châm	pinchar	motto
chân	pies	a leg
châu	europa	continental
chè	te	tea
chèn	insertar	insert
chém	recortar	to chop
chén	taza	bowl
chéo	cruzar	cross
chép	copia	written
chê	maldita sea	decry
chênh	diferencia	difference
chì	conducir	graphite
chìa	clave	"(term should be ""chìa khoá"") a key (n.)"
chìm	hundirse	to become submerged or sink (v.)
chình	anguila	eel
chí	piojos	especially
chích	inyección	shoot
chín	nueve	ripe
chính	principal	main
chít	chit	dense
chò	ahogarse	a type of plant, typically of the parashorea genus (n.)
chòi	choza	hut
chòm	constelación	constellation
chó	perros	dog
chóc	jaja	killing (giet choc)
chói	resplandor	bright
chóng	rapidamente	"entire term should be ""chong mat""; means ""dizzy"""
chóp	propina	the top (n.)
chôm	rambután	rambutan
chôn	enterrado	bury
chông	esposo	thorn
chùa	pagoda	pagoda
chùy	maza	mace
chú	tio	uncle (n.)
chúa	dios	god
chúc	desear	will
chúi	tuu	drop
chúng	ellos	they
chút	poco	little
chăm	cuidate	champa
chămpa	champa	champa
chăng	asequible	would it
chĩa	horquillas	point
chơi	jugar	play
chơn	pies	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	aun no	not yet
chưng	dist	steamed
chương	capitulo	medal
chướng	carrera de obstáculos	grating
chạ	promiscuo	father
chạm	tocar	touch
chạng	crepúsculo	twilight
chạp	tembloroso	slow
chạy	correr	to run (v.)
chả	rollos	no
chảo	pan	pan
chảy	fluyendo	bleeding
chấm	punto	end
chấp	hipoteca	"(term should be ""chấp nhận"") to accept (v.)"
chất	sustancia	quality
chấu	pellizcar	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	palidez	slice
chẩn	diagnosticar	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	despacio	slow
chận	bloque	block
chật	apretado	overcrowded
chậu	ollas	pelvic
chắc	seguro	certainly
chằng	ceja	ligament
chẵn	incluso	even
chặn	bloque	prevent
chặng	pierna	journey
chặt	apretado	close
chẻ	dividir	strick
chẽ	apretado	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	preparaciones	produce
chếch	flojo	oblique
chết	morir	to die (v.)
chệch	mal	deviant
chỉ	solo	just (adv.)
chỉnh	corrección	adjust
chịt	mierda	chằn chịt= complex/tangle
chịu	soportar	tolerate
chọc	empujar	to poke
chọi	peleando	oppose
chọn	elegir	to choose
chỏ	codo	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	momento	single
chối	negar	refuse
chốn	lugar	place
chống	anti	anti-
chốt	pestillo	important
chồi	dispara	"(term should be ""đâm chồi"") budding"
chồn	comadreja	anxious
chồng	esposo	husband
chỗ	lugar	where
chội	mierda	cramped
chớ	no	not
chớp	rayo	flashing (adj.)
chờ	espera	to wait
chở	llevando	for
chợ	mercado	market
chợt	de repente	suddenly
chục	docena	dozen
chụp	disparando	capture
chủ	dueño	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	cepas	strain
chứ	mas bien	just or only (adv.)
chứa	contiene	contain
chức	funcion	function
chừ	espera	hesitate
chừa	dejando	leave
chừng	aprox.	about or roughly (adv.)
chử	palabra	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	embarazada	pregnant
chửi	maldiciendo	curse
chữ	palabra	a letter of the alphabet (n.)
chữa	curar	to cure or treat (v.)
chững	nivelación	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	cenicienta	cinderrella
cip	cip	cip
circus	circo	circus
cities	ciudades	cities
clara	clara	clara
clark	clark	clark
claude	claude	(proper noun) claude
claudius	claudio	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	recortar	clip
clips	clips	clips
clo	cloro	chlorine
clow	payaso	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	coburn	coburn
cocoa	cacao	cocoa
coen	coen	coen
coffea	coffea	coffee
cohen	cohen	cohen
coi	considerado	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	colleen	colleen
college	colegio	college
collins	collins	(proper noun) collins
collège	collège	college (n.)
colombia	colombia	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	colón	columbus
comic	cómico	comic
common	común	common
concacaf	concacaf	concacaf
concerto	concierto	concerto
concorde	concorde	concorde
condom	condón	condom
cong	curvo	curved or bent
congo	congo	congo
congress	congreso	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	conservación	conservation
constantine	constantina	constantine
contemporary	contemporáneo	contemporary
cooper	tonelero	(proper noun) cooper
copenhagen	copenhague	copenhagen
copernic	copérnico	corpernic
copperfield	copperfield	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	copia	copy
cordyceps	cordyceps	cordyceps
core	núcleo	core
cornell	cornell	cornell
cosin	cosin	cosine
costa	costa	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	loco	crazy
crespo	crespo	(proper noun) crespo
crest	cresta	crest
crew	tripulación	crew
crimson	carmesí	crimson
crisis	crisis	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	croacia	croatia
cross	cruzar	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	cristal	crystal
ctc	ctc	ctc
cua	cangrejo	crab (n.)
cullen	cullen	a name
cung	proa	circle
cunningham	cunningham	cunningham; proper name
cup	taza	cup
cuả	de	of, from, belonging to
cuốc	azadas	hoe
cuối	último	last or final (adj.)
cuốn	libro	book
cuống	acechar	throat
cuồng	loco	crazy (adj.)
cuộc	pelea	the
cyanide	cianuro	cyanide
cyber	ciber	cyber
cyril	cirilo	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	cyworld	cyword
cà	cafe	ca
cài	instalar	install
càn	necesito	raid
càng	cuanto mas	cang
cành	rama	branch
cào	rascarse	scratch
cày	arando	plow
các	el	all (adv.)
cách	el camino	the
cái	el	"(term should be ""con cái"") children (n.)"
cán	enrollado	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	alas	wing
cáo	zorro	report
cáopx|bình	cáopx | promedio	not a word
cáp	cable	cable (n.)
cáy	violinista	fiddler
câm	tonto	mute (adj.)
cân	escala	weight
câu	sentencia	saying
cãi	discutir	argue
cò	disparador	stork
còn	izquierda	to have left (v.)
có	si	have
cói	juncia	machine
cót	cuna	cot
cô	ella	girl
côi	huérfano	orphaned
côn	cono	a stick (n.)
công	trabajar	worker
côngtenơ	contenedor	container
cõi	reinos	entire area
cõng	a cuestas	piggyback
cù	cosquillas	cu
cùi	leprosos	leprosy
cùng	juntos	together
cú	búho	old
cúi	proa	to bow (v.)
cúm	gripe	cum
cúng	acogedor	worship
cúp	corte de luz	cup (n.)
cút	salir	to kick someone out (v.)
căm	enchufado	detest (cam thu)
căn	radical	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	estirar	tense
cũ	viejo	old
cũi	cuna	kennel
cũng	también	also
cơm	arroz	rice
cư	poblar	resident
cưa	vio	saw
cưng	cariño	also
cước	flete	megaman
cưới	casado	marry
cướp	robar	to rob (v.)
cười	reir	smile
cường	intenso	strengthen
cưỡi	cabalgando	ride
cưỡng	forzado	force some body to do some thing. cưỡng dâm=rape
cạc	tarjeta	card (n.)
cạn	poco profundo	shallow
cạnh	borde	"(term should be ""khía cạnh"") an angle"
cạo	afeitarse	shave
cạp	escorpión	scorpion
cả	los dos	both
cải	mostaza	reform
cảm	frio	pleasure
cản	plagado	prevent
cảng	puerto	port
cảnh	escena	situation
cảo	tira	posthumous
cấm	prohibido	ban
cấn	necesito	dramatic
cấp	conceder	level or rank (n.)
cất	destilada	"(term should be ""cất giữ"") to keep safe or store"
cầm	mantener	to hold (v.)
cần	necesito	need
cầu	puente	request
cầy	civeta	farmed
cẩn	ten cuidado	carefully
cẩu	grua	"(term should be ""hải cẩu"") a seal (n.)"
cận	acercamiento	close
cập	contador	mention
cậu	el	a young man (n.)
cậy	confiable	reliable
cắm	enchufar	to plant (v.)
cắn	morder	to bite
cắp	robar	steal
cắt	cortar	cut
cằm	barbilla	chin
cằn	gruñón	exhausted (adj.)
cặp	par	couple
cọ	palma	rub
cọc	amontonar	pile
cọp	tigre	tiger
cỏ	hierba	plant
cố	intentar	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	taza	cereal
cối	mortero	mortar
cốm	pepitas	grilled rice
cống	homenaje	dedicate
cồn	alcohólico	i
cồng	gong	gong
cổng	la puerta	gate
cỗ	cubierta	engine
cỗi	terco	barren
cộ	vehicular	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	viejo	origin
cộng	mas	to add (v.)
cột	columna	pole
