aajo	lächerlich	hospitality
alukuraani	koran	quran
alumoni	heilend	minerals
alumíníọ̀mù	aluminium	aluminium
alákọ̀bẹ̀rẹ̀	initiator	primary education
alápapò	ersatz	general
alátise	künstler	alatise
aláyèwò	inspektor	expert
aláísàn	krank	the sick
alúwo	boom	traditional cults
alọ́po	brieftasche	tied
amazonas	amazonas	amazonas
americas	amerika	americas
amerika	amerika	america
amojeoyipada	cabrio	reform
amosi	moschee	amos
améríkà	amerikanisch	america
améríkà	amerikanisch	america
an	ein	him
anabi	der prophet	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	der süden	southern
apaguusuilaorun	südwesten	south-western
apaguusuiwoorun	südwesten	part of the south
apailaorun	sonnenaufgang	east side
apaiwoorun	western	eastern side
aparapo	kombination	confederation
apeja	fischer	fisherman
apeere	beispielsweise	example
apis	apis	apis
apòmù	schürze	apomu
apẹ̀rè	schürze	example
arabu	arab	arab
aralíle	tropisch	healthy body
arinkankan	dieses	nationalist
ariso	aris	oral tradition
ariwaarin	mittlerer osten	mid-north
ariwaguusu	südwestlich	north-south
arkansas	arkansas	arkansas
aroko	vegetation	composition
aruleyin	hallo	carried on the back
arun	krankheit	disease
aryan	der arier	aryan
aráa	bruder	people from
arábíà	alphabetisch	arabia
aráròmí	hallo	araromi
arópò	bestechung	substitute
arúgbó	hohes alter	elderly
arọ	lame	cripple
asagun	sieg	intial, first (referring to the 13 colonies)
ascii	rausfinden	ascii
aseeto	siedlung	unfair
aseyori	erfolg	success
asipa	abweichung	first to kill
assessment	bewertung	ayewo
asìko	unsinn	time; ni asiko=when
asèdá	das natürliche	origination
atangbona	atom	emission
atanna	atom	emitter
atigba	zulässig	from time
atimo	planen	inland
atinrin	lachen	thin
atun	zurückspulen	also
atunse	korrektur	revision
australia	australien	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	austronesisch	austronesian
austríà	australien	austria
avar	avar	avar
awari	entdeckung	discovery
awo	teller	of
awonara	emotion	people of
awoòn	vorlage	people
awon	sie	they
awuruju	magisch	shady
awùjo	höflichkeit	society
awújẹ	skandal	root
aya	vers	chest
ayeye	ewigkeit	celebration
ayàfi	es ist in ordnung	only if
ayò	ay	game
azikiwe	gesunder menschenverstand	azikwe
aṣòkan	individuell	united
baa	ist	be with
babaláwo	der wahrsager	herbalist
bahrain	bahrain	bahrain
balẹ̀	lass ihn in ruhe	settled
bang	knall	bang
banle	banle	banle
bara	vergangenes jahr	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	jetzt	like this
bayìí	jetzt	this
bce	weg	bce
beauharnais	beauharnais	beauharnais
beijing	peking	beijing
belarus	weißrussland	belarus
belgium	belgien	belgium
bengal	bengalen	bengal
bengali	bengali	bengal
benin	bank	benin
berber	berber	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	komm zurück	bharata
bibeli	bibel	bible
biribiri	wurde zerquetscht	intense
black	schwarz	dudu
bodies	körper	ara
bojú	schau mal	take care
bole	bole	ground
bolt	bolzen	bolt
bolívar	bolívar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	bridgeport	bridgeport
britain	großbritannien	britain
brítánì	britisch	britain
bu	das ist	give
buenaventura	buenaventura	buenaventura
bujumbura	erweitert	bujumbura
burúkú	böse	bad
by	durch	does not translate directly, does not exist
bàbá	der vater	father
bákannáà	auch	likewise
bálè	ballon	lying on the ground
bárakú	sucht	habitual
báyìí	jetzt	this
bèrẹ̀	zunächst	started
béè	genau so	than
bòtswánà	der bus	botswana
búburú	schlecht	bad
búrú	sei mutig	wicked
bẹ̀rẹ̀	um loszulegen	started
bẹ́	pleite	also
bẹ́ljíọ̀m	beryll	belgium
bẹ́ẹ̀ni	ja	yes
bẹ́ẹ̀sìni	ja	that is it
cairo	wut	cairo
calabar	kaugummi	calabar
canaria	canaria	canaria
cape	kap	cape
casablanca	casablanca	casablanca
caslon	kasino	caslon
cathedral	dom	cathedral (katidral)
catherine	catherine	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	charles	charles
chaskalson	chaskalson	chaskalson
chebbi	denken	chebbi
cherished	geschätzt	mu lokunkundun
china	china	china
cipollone	cipollone	cipollone
clear	klar	danmanran
code	code	code
coetsee	coetsee	coetese
coloured	farbig	alawo dudu
coming	kommen	yo jade
compared	verglichen	does not directly translate
computers	computers	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	kehle	cunha
da	und	back; but in this form it is unnecessary
dagbasoke	erwachsen werden	developing
dandan	verpflichtend	a must
dani	halten	hand-held
darapo	beitreten	joinedd
daru	zerstören	scattered
dates	termine	pada si
delhi	unterlassen sie	delhi
denver	denver	denver
des	des	des
describes	beschreibt	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	entwicklung	idagbasoke
didagba	gleichberechtigung	growing
didasile	einrichtung	established
different	anders	iyato
din	braten	reduced
dinwoju	sieh nach oben	suitable
divoire	divoire	d'ivoire
doju	von angesicht zu angesicht	face
dojú	von angesicht zu angesicht	turn face (full phrase is doju ko, to face)
dominic	dominant	dominic
doni	doni	this day
dote	punkt	rebel
doublehelix	doppelhelix	hiliksi abara meji
doublestrand	doppelstrand	double-strand
dover	dover	dova
du	du	hustle
due	durch	nitori
dun	lecker	sound
dàbíi	so was	like
dàpò	sie ersetzen	mix
dá	erstellt	intervene
dágbó	hohes alter	forest
dájó	in ordung	pass judgement
dálóríi	danke	about
dáradára	gut	well
dásà	eine casa	peculiar way of saying
dáwó	spenden	undertake
dé	ist eingetroffen	reach
délànà	allgemein gesagt	delana
dépò	soweit	to a position
dì	blatt	be
dìde	entstehen	stand
dìró	auf der rechten seite	hang on
dìtẹ̀	verschwören	rebel
díè	tempus	few
dóko	gut	upstanding
dólà	gut	dollar
dún	klang	sound
dúró	stehen	stand (been in existence)
dọ́gba	gleich	equal
ea	ja	ea
eba	eba	shore
ebi	familie	family
ecomog	ecomog	ecomog
ede	sprache	language
efrem	effem	efrem
egba	absolut	cane
egbe	gewehr	group
egberundun	eintausend jahre	a thousand year
egbo	eine wunde	brother
egbé	weh	party
egbò	eine wunde	chemicals
egbògi	medizinisch	don't know this
eighteen	achtzehn	ejidinlogun
eka	komplex	branch, department, part
ekeji	das andere	second
eko	bildung	lagos
elede	schweine	speaker
eleyi	dies	this
eleyii	so was	this
elláda	schaffung	ellada
eléde	abstrakt	pig
eléré	athlet	performer
elòmírà	pfeffer	freedom
elòmíràn	ein weiterer	another person
emerging	entstehenden	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	jeder	whoever
enter	eingeben	wole
enì	elefant	person
eníbá	fieber	such person
epa	erdnuss	groundnut
ernst	ernst	ernst
erofo	sediment	swamp
erékùsù	insel	island
eréonítàn	akronym	written play
eseese	diagramm	step by step
esia	kommt	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	die küste	beach
euro	euro	euro
euroasia	euroasien	uro-esia
ewe	blatt	ewe
ewé	blatt	leaf
ewì	poesie	traditional poem
example	beispiel	apere
eya	kategorie	tribe
eyin	eier	previous
eyonomba	eyonomba	digit
eléja	angeln	fisherman
elòmíràn	jemand anderes	another person
eka	bewirken	branches
eléyàmèyà	ethnische zugehörigkeit	tribalism
enu	mund	mouth
esin	religion	horse
esè	erlös	leg
ewà	des verhaltens	beauty
fagile	abgesagt	cancel
fail	scheitern	padanu
fan	ventilator	spread
faramó	sich an etw. halten	accept
faranse	französisch	french
farsi	arti	farsi
felifeli	samt	fuming
ferde	ferde	verde
fesèmúlè	vorläufige quelle	established
fe	wollte	want
fi	sparen	by
fifihan	zeigen	revealed
fihan	angegeben	shows, to show
fimú	scharf	captivate with
finiki	physik	finiki
finlandi	finnland	finland
fitino	versuch	judgement
five	fünf	marun
fodio	fodio	fodio
fofinde	verbot	prohibited
fohùn	schreien	consent
foniimu	film	phoneme
force	macht	agbara
foriko	beispielsweise	agreed
fourbase	fourbase	onidi-merin
fowobowe	buchung	signed
fowó	für geld	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	französisch	france
freetown	freetown	freetown
fuji	entfernen	fuji
fulani	feige	fulani
fulbe	voll	fulbe
fun	zum	for
funra	selbst	suspect
further	des weiteren	si
fé	fé	like
fé	fé	want
fégbé	vergiss es	for peers
fífò	fliegend	jumping
fífún	geben	giving
fòye	verstehen	rationalise
fẹ́rẹ̀ẹ́	fast	nearly
galatia	diesmal	galatia
gba	zustimmen	accept
gbajúgbujà	ist sehr beliebt	popular
gbale	popularität	flourished
gbaná	schießen	engulf in flame/rage
gbe	tragen	set up
gbera	mach weiter	move
gberasoke	beschleunigen	rising
gbese	schuld	debt
gbigbamulo	ausbeutung	adopted
gbigbewo	finanzierung	examined
gbilè	ausbrechen	gaining ground
gbin	gepflanzt	farm
gbogbogbo	allgemeines	general
gbongbo	wurzel	root
gbàgbọ́	glauben	believe
gbàgùrà	zitterte	gbagura
gbá	smash	received
gbáradì	aufstehen	prepare
gbé	leben	convey
gbédìí	gründen	respect
gbékalè	zimmermann	establish
gbéni	leben	lift
gbéyèwò	rezension	examine
gbésè	angebot	die
gbìnyànjú	versuchen	endeavour
gbìyànju	anstrengen	try
gbódò	muss	must
gbónmisi	recht	strife
gbúnùn	rieche es	hostile
gbọ́dọ̀	muss	must
geesi	englisch	english
geneva	genf	geneva
genevieve	genevieve	genevieve
georgia	georgia	georgia
german	deutsche	german
gfaj	gfaj	gfaj
ghana	ghana	ghana
gidigidi	sehr	significantly
gidí	haus	real
goemai	goemai	goemai
gomina	gouverneur	governor
gorgina	der adler	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	griechisch	greek
groove	rille	iho
guanínì	guanni	guanine
guinea	guinea	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	lange	stretch
gunle	gewehr	arrive
guusu	süd	south
gv	gv	gv
gèésì	kleben	english
gèésì	juwel	english
gégé	ja wirklich	like
gírámà	gramps	grammar
gòkè	geh hinauf	climb
gún	durchbohrt	properly
gúúsù	süd	south
gẹ̀ẹ́sì	englisch	english
habsburg	habsburg	habsburg
haggai	leiten	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	schwer	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	süßigkeiten	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	einverstanden	hesse
him	ihm	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	hp	hp
hugh	hugh	hugh
hun	hunne	knit
hungari	hunger	hungary
hv	hv	hv
ibalo	affäre	relationship
ibarepo	verband	friendship
ibeji	zwillinge	twins
ibewo	ist gekommen	visit
ibiamusin	heiligtum	colony
ibile	traditionell	municipality
ibimo	geburt	birth
ibise	trainieren	official
ibiti	setzt	where
ibn	ibn	ibn
ibojì	grab	burial ground
ibori	schleier	conquest
ibujoko	bank	place of abode
ibuseripadabosi	rückerstattung	eternity
ibuso	kämpfen	bus stop
ibùdó	lager	settlement, seat of, area,
ibùjókòó	sitzplätze	settlement
iceland	island	iceland
idagbasoke	entwicklung	development
idagbe	vernachlässigen	isolation
idaji	hälfte	half
idajo	gerechtigkeit	judgement
idamita	zeichnen	sector
idari	kontrollen	control
ideraa	schreiben	comfort
idimule	festnahme	establishment
idoma	zeichnung	idoma
idupe	danke	thanksgiving
idánwò	versuch	examination
ifija	angeln	weapon
ifilole	starten	resolution
ifitonileti	information	reporting
ifobaje	korruption	coronating
ifofinde	kongress	prohibition
ifriqiya	stimulation	ifriqiya
igbeduro	vorbereitung	institute
igbegun	sieg	declaration of war
igberiko	vorort-	region
igbesoke	aktualisierung	upliftment
igbeyawo	hochzeit	marriage
igbowolori	teuer	inflation
igbá	hähnchen	shell
igbáẹ̀yìn	der letzte	shell
igitòròmogbè	breitband	willow tree
ihan	erscheinen	ray
ihinrere	evangelium	gospel
ijagun	kampf	war
ijakadi	kampf	wrestling
ijaya	panik	fear
ije	bewegung	eating
ijinnasi	physik	the wind open
ijosin	anbetung	worship
ijó	tanzen	dance
ikan	einer	one of
ikandinlogun	achtzehn	nineteen
ikaowo	respekt	finger
ikejidinlogun	achtzehn	eighteen
ikeko	zusammenstellung	education
ikerin	die vierte	fourth
iketa	übernehmen	third
ikoenu	speichern	union
ikojopo	akkumulation	collection
ikoreokere	ernte	migration
iku	tod	death
ikúgbaèyí	jetzt	death-has-this
ikún	füllung	squirrel or wild rodent
ilagbolojo	werbung	latitude
ilana	verfahren	procedure
ilanaoye	strategien	knowledge procedure
ilaodo	schützen	cana
ilaorun	sonnenaufgang	west
ileasofin	legislative	house of law,
ilegiga	zuhause	higher ground or higher plain
ileife	vernachlässigen	ile-ife
ileigbimo	zustimmung	house of assembly/congress
ileobaluaye	die welt	high chief
ileru	ofen	volcanic
ilopo	doppelt	times
iluoba	staatsbürgerschaft	king's town
iluorilejoba	globalisierung	capital city
ilé	zuhause	house
iléayé	zuhause	earth
iléisé	zuhause	workplace
ilélódò	das haus	ile-lodo
iléàtèéré	zuhause	ile-ateere
iléńlá	hof	ile-nla (area)
ilẹ	boden	land
ilẹ̀ayé	die erde	the world
iminle	verhaften	earthquake
imoero	aufhellung	engineering
imojuto	pflege	protection
imusin	zeichnen	colony
imú	nase	nose
imúnisìn	hygiene	slavery
inagberingberi	erdnussbutter	electromagnetic force
indeed	tatsächlich	paapa julo
indus	indus	indus
inkosi	rechtfertigen	inkosi
integration	integration	ifowosowopo
inágbéringbérin	siebzehn	electromagnet
iní	erbe	possession
inúnibíni	verfolgung	hatred
ioja	fisch	fight
ioniani	bedürftige	ionian
iowa	auf der erde	iowa
ipare	verblassen	abolition
ipawo	verwendet	income
ipele	niveau	stage
ipin	kapitel	share
ipinpa	beteiligung	arm of, branch of
ipinu	entscheidung	determination
ipo	ort	position
ipá	macht	effort
iraja	schockierend	bargaining
iranlose	hilfe	mission
ire	verkauf	you
irele	demut	irele
iringa	einpacken	iringa
irisi	aussehen	appearance
irorun	sehr einfach	convenient
irò	gerücht	iro
irúnmọlẹ̀	blitz	apparition
isa	genug	jesus, isa or yisa is hausa language
isare	beschleunigung	track race
isedaniloro	selbstzweifel	terrorism
iseero	sehen	engineering
isejoba	führung	governance
iseoba	fünfzehn	civil service
iseoroayeijoun	archäologie	archaeology
iseowo	unternehmen	business
isepinpin	verteilung	division
iso	kommen	unit
isoponomba	isoponomba	addition of numbers
isun	fließen	spring
isesi	kapitulation	conduct
isè	bedienung	occupation
itali	italienisch	italy
itanakole	geschichte	ancient
itelentele	deutlich	coming after
itiraka	kampf	effort
itobi	prahlen	size
itokowo	unternehmen	economy
itorawo	liberale	astrology
itu	werfen	solution
itumo	bedeutung	meaning
iwadi	forschung	research
iwasi	beeindrucken	behaviour
iwifun	information	report
iwoile	zuhause	entering
iwosan	heilung	healing
iwulo	nützlich	use
iwuwa	trainieren	behaviour
iyan	hungersnot	argument
iyato	der unterschied	difference
iyawo	braut	wife
iyen	das ist	that
iyán	funkelnd	pounded yam
iḷẹ̀	arbeit	land
iṣẹ́ìwádìí	forschung	research
jabo	bericht	give account
jackson	jackson	jackson
jadide	warten sie mal	emerge
jagbe	hau ab	shout
jalè	diebstahl	steal
jamaica	youtube	jamaica
jamo	geh weg	link
jawaharlal	schaukeln	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	geometrie	geometry
jesu	jesus	jesus
jfk	jfk	jfk
jije	sein	existing as
jijinna	weit	distance
jiròrò	nebelig	dialogue
jo	leck	days
jogun	vererbt	inherit
johann	hölle	johann
johanu	es tut uns leid	john
jojo	geknackt	great extent
jopò	dazu kommen	gathered
jo	john	resemble
juneau	juneau	juneau
jàgídíjàgan	heftig	violent
jáde	herauskommen	out
jé	kommen sie	is
jéésù	jesus	jesus
jìnnàa	weit	further
jíje	sein	eating
jíjuwó	geld verdienen	waving hands
jíjéomoléyìnkírísítì	als philanthrop	followers of christ
jùlo	mehr als	most
jùlo	insbesondere	most
jùló	am meisten	most
jẹ́mánì	deutsche	germany
jọ́	bitte	together
kadara	anlagegut	destiny
kagera	prahlerisch	kagera
kakiri	spur	all over
kalinga	cinga	kalinga
kalẹ	beiseite legen	established
kampala	schließe	kampala
kan	ein	one
kankan	keiner	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	karl	karl
karun	fünfte	fifth
karùún	der fünfte	fifth
kebbi	einstellbar	kebbi
kekere	klein	lower
keko	lesen und schreiben	learn
kept	gehalten	fi pamo
khoisan	minderwertig	khoisan
ki	dann mach&#39;s	not
kiakiajulo	die schnellste	rapidly
kiko	bringen	gathering
kikojo	zusammenstellung	gathering
kikopomo	wärme	mixed
kikoso	schnell	colonised
kiko	lernen	making
kikuninu	vorstellen	size
kilhar	achsel	kilhar
kinkinni	das kleine ding	small quantity
ko	oder	don't
kodò	unten	bow
koidu	koidu	koidu
kojá	kreuz	pass
kolo	kolo	going
komputa	computer	computer
kong	kong	kong
kongo	kondom	congo
kookan	dies	one
koto	köder	pit
koko	lernen	make heap
ko	ko	learn
kori	nicht mehr	not found
krio	krio	krio
ku	sie	remain
kwara	angesprochen	kwara
kàríbẹ́ánì	in der region	carribean
kàyéfì	wunder	amazement
ká	von	we
kánfinkése	einfallsreichtum	prolonged
kánádà	natürlich	canada
káyé	welt	world
kéesì	lächerlich	keesi
kékéèké	klein	small
kétu	sei vorbereitet	ketu
kémíkà	im gegenteil	chemical
kéyìn	später	come after,
kìnní	zuerst	first
kí	grüßen	not
kíko	studieren	written
kíkọ́	lernen	learning
kínu	küssen	greet
kírísìtì	weihnachten	christ
kòjòkú	regen	kojoku
kòkó	die maus	cocoa
kòmpútà	computer	computer
kòtò	eine grube	pit
kòòsí	es ist nicht	coaching
kòòkan	jeder	each
kógo	ruhm	glorious
kóra	versammeln	participate
kùkú	nach alldem	eventually
kùrání	der koran	quran
kúkú	nach alldem	now
kúkúrú	in einer nussschale	short
kúrò	weg	away
kútò	alles	kuto (place)
kúùkù	andererseits	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	die vierte	4
kẹsàán	jetzt sofort	ninth
kẹta	dritte	third
kẹ́nyà	trennung	kenya
kọjá	bestehen	pass through
kọ̀mpútà	computer	computer
kọ́kọ́	zuerst	first
kọ́lọ́mú	säulen	breast owner
kọ́ni	mangel an	teach
laa	geh weg	will
laada	trete	good fortune
laaka	umkehren	important
laarin	innerhalb	between
labalaba	schmetterling	butterfly
labee	unterhalb	under
lade	lade	crowned
laid	gelegt	tele
laifi	fehler	without
languages	sprachen	ede
lanka	lanka	lanka
lasile	freisetzung	laid out
latibe	von dort	from there
latigbana	seit damals	from then on
latini	latein	latin
latvia	lettland	latvia
lay	legen	da
le	können	can
leboa	lebo	leboa
lekun	intensiviert	open door
leo	löwe	leo
lese	post	firmly
less	weniger	okeresi
lewaju	weiter	front
lewon	haft	imprisonment
leyi	hier ist es	mispelled...should be 'leyin', after
leè	kann	can
lilelile	hardcore	tightly
lilemo	cannabis	sticky
lilongwe	lilongwe	lilongwe
lindi	lauge	lindi
linear	linear	dogba
links	links	eka; this is a new word and does not really exist in yoruba
lodo	stattfinden	from
lojowaju	in der zukunft	the future
lojukokoro	gierig	covetousness
lojúgun	er verwüstete	knee
lokunkun	energisch	in the dark
loloselu	politisch	in politics
lopolopo	viel	so many
loruko	name	name
louvre	jalousie	louvre
lovers	liebhaber	awon olufe
low	niedrig	diye
lo	mach weiter	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	gleich	more important
lààmi	zeichen	sign
lààmì	zeichen	significant
lábé	gewicht	under
láfún	gegeben	cassava food
láimo	ohne	unknown
láké	laut	in ake
lámọ́di	vermögen	lamodi
lápá	teil	from
lára	verletzt	part of
lárúbáwá	das natürliche	arabic
láì	ohne	without
láíláí	noch nie	old
lèe	können	can
lèyìn	danach	after
lédè	in der sprache	language
léebá	übrigens	catch up with it
lérìnín	der schnee	erin=laughter; the prefix 'l' is possesive
lérò	grund	thought
léyin	danach	after
léyìn	später	after
lérú	sklaverei	enslave
lílo	ausbeutung	using
lísa	beschleunigung	a chieftaincy title
lítésò	stechen	literature
lóde	draußen	modern
lópez	nipez	lopez
lópó	witwe	widow
lórì	hafen	on the head
lóríba	über	subdue
lóti	menge	have
lóòótò	ja	truly
lóòótọ́	tatsächlich	truly
ló	ló	to
lónà	auf dem weg	in a way
lórò	morgen	become wealthy
lọndọnu	london	london
lọ́dọọdún	jährlich	yearly
lọ́jà	auf dem markt	in the market
maapu	karte	map
madeira	beira	madeira
mahatma	das mahatma	mahatma
makedonia	mazedonien	macedonia
malabo	honig	malabo
malay	angenommen	malay
malayopolynesian	malayopolynesisch	malayo-polynesian
malaysia	malaysia	malaysia
mali	tag	mali
mango	mango	mango
manˈdeːla	manˈdelala	mandela
marcellus	marcellus	marcellus
march	märz	march
marku	diesmal	mark
mars	mars	mars
maryland	maryland	maryland
maseru	eifersucht	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	mathematisch	mathematics
max	max	max
maya	nein	maya
mbabane	negativ	mbabane
means	meint	ona (way)
mediteraneani	mittelmeer-	mediterranean
mefeefa	überholung	all six
mejidinlogbon	achtundzwanzig	twenty eight
mejila	zwölf	twelve
meksiko	mexiko	mexico
melo	wie viele	some
member	mitglied	ara
mercosur	mercosur	mercosur
merin	vier	four
methodologies	methoden	anaoniruuru
metropoli	metropolen	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	mexiko	mexico
michelle	michelle	michelle
micronesia	mikronesien	micronesia
miiràn	lindern	another
mimoy	mimoy	mimoy
mimuwa	klammern	import
minnesota	minnesota	minnesota
minority	minderheit	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	kompakt	51, (mokanleladota)
mokanlelogbon	zweiunddreißig	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	autofahren	morogoro
mozambique	mozambique	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	wieder wählen	mtwara
mughal	volumen	mughal
mulẹ̀	gründen	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	macht es nichts aus	testament
mère	zeichnung	significant
méjèèjì	beide	the two
mérindíláàdóta	fünfundfünfzig	forty-six
méte	fünf	lip
mérìndínlógún	sechszehn	sixteen
mérìnlélógójì	vierundvierzig	44
méta	drei	three
métèètà	zimmermann	the three
méwàá	zehn	ten
ménu	denkst du	verbally contribute; complete phrase= me nu ba
mímọ́	heilig	holy
míràn	ein weiterer	other
míìrán	ein weiterer	other
mííràn	ein weiterer	other
mò	wissen	know
mókólà	kleben	mokola
móra	heilen	with themselves
mó	m	with
múlẹ̀	festhalten	select land (farmland)
mẹ́fà	sechs	6
mẹ́rkúríù	die maus	mercury
mẹ́ta	drei	3
mẹ́talọ́kan	dreieinigkeit	trinity
namibia	kommen	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	rätselhaft	highest-spending
nawó	hol dein geld	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nephim	nefimu
neptune	neptun	neptune
nevis	nevis	nevis
ngbero	geplant	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	dort	there
nibere	früh	earlier
nigbakan	manchmal	at one time
nigbà	dann	when
nijẹr	nike	niger
nilè	hier	remaining
nisinyi	jetzt	at present
nitoriidieyi	aus diesem grund	because of this
nitoripe	weil	because
nitosi	in der nähe	nearby
niwaju	voraus	in front of
niyato	unterscheiden	unlike
niye	genug	in number
niyi	hier ist es	these
nkan	ding	things
nkàn	krebs	something
nnaji	onkel	nnaji
nobel	nobel	nobel
nombamewa	multiplizieren	decimal
nombáméjì	die ersten zwei	two-number
novo	novo	novo
nri	lebensmittel	nri
nse	design	acting
nso	in der nähe von	saying
nsolaboraro	sicherheit	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	punkt	indicates
nu	reinigen	in
nukleotidi	nukleotid	nucleotides
nukleotidipupo	nukleotid	cell
numeri	taubheit	numbers
nwa	baby	drill
nàìjíríà	in nigeria	nigeria
náwo	aufwand	spend money
náà	auch	that
nì	berg	is
nìnú	es tut uns leid	in
nìyí	das ist es	this is
ní	haben	on
níbè	dort	there
níbè	dort	there
nífẹ̀ẹ́	lieben	love
nígbàtí	wann	when
nílè	unten	on the ground
nílùú	in der stadt	in the town
nílẹ̀	auf dem boden	in the land
nínlá	großartig	large
nínu	chance	in
níní	haben	having
nípà	mindestens	by
nítorípé	weil	because
nítumò	bedeutung	meaningful
nítòsí	in der nähe	nearby
nítòótó	genau	truly
nítòótọ́	tatsächlich	in truth, truthfully
níwájú	voraus	in front
níyanjú	positiv	solved
nǹkan	ding	things
nso	kommt bald	say
oba	obama	king
obairanderan	cousin	hereditary
obere	klein	started
obínibí	höflichkeit	inborn
ododo	gerechtigkeit	righteousness
ofin	das gesetz	law
