$  	dollarni tashkil etadi	dollar
alakját	shakli	shape
alakok	raqamlar	shapes
alakot	shakli	character
alakul	rivojlanadi	evolve
alakulat	hosil bo&#39;lishi	formation
alakulatok	kuchlar	corps
alakulnak	rivojlanmoq	are formed
alakult	asos solingan	developed
alakultak	rivojlangan	formed
alakulása	evolyutsiyasi	development
alakít	shakli	shapes
alakítja	o&#39;zgartiradi	forms
alakított	hosil bo&#39;lgan	formed
alakította	shakllangan	developed
alakítottak	yaratilgan	formed
alakították	mo&#39;ljallangan	formed
alakító	shakllantirish	forming
alakú	shakllangan	shaped
alan	alan	alan
alanyeset	alanyeset	nominative (case)
alap	asos	foundation
alapfokú	boshlang&#39;ich	primary
alapja	poydevor	basis of
alapjai	jamg&#39;armalar	basis of
alapjait	poydevorlar	foundations
alapján	shunga asosan	based on
alapját	asos	foundation
alapjául	asos	besed
alapon	asos	on a base
alaposan	yaxshilab	thoroughly
alapot	poydevor	foundation
alapszik	shunga asosan	based
alapul	shunga asosan	based on
alapuló	yoqilgan	based on
alapvető	asosiy	fundamental
alapvetően	asosan	basically
alapított	asos solingan	founded
alapította	asos solingan	found
alapítottak	asos solingan	founded
alapították	asos solingan	founded
alapítvány	poydevor	foundation
alapítása	poydevor	foundation of sg
alapító	asoschisi	founding
alapítója	asoschisi	founder
alapú	asoslangan	foundation
alaszka	alyaska	alaska
alatt	ostida	during
alatta	ostida	under
alatti	quyida	below
albert	albert	albert
alberto	alberto	alberto
album	albom	album
albuma	albom	sy's/sg's album
albumok	albomlar	albums
albumon	albom	album
albumot	albom	album
albumról	albom	(from the) album
albumuk	albom	albums
albumát	albom	album
albán	alban	albanian
albánia	albaniya	albania
albánok	albanlar	albanians
aldehid	aldegid	aldehid
alelnök	vitse prezident	vice president
alessandro	alessandro	alessandro
alex	aleks	alex
alexander	aleksandr	alexander
alexandra	aleksandra	alexandra
alexandrosz	aleksandr	alexander
alfa	alfa	alpha
alfonz	alfonso	alfonz
alfred	alfred	alfred
alfréd	alfred	alfred
alföld	pasttekislik	plain
alföldi	buyuk tekisliklar	plain
ali	ali	ali
alig	zo&#39;rg&#39;a	barely
alján	pastki qismi	at the bottom of
alkalmanként	vaqti-vaqti bilan	occasionally
alkalmas	mos	suitable
alkalmasak	mos	proper
alkalmat	imkoniyat	occasion
alkalmazható	qo&#39;llanilishi mumkin	applicable
alkalmaznak	ishlatilgan	apply
alkalmazni	murojaat qiling	employ
alkalmazott	xodim	employee
alkalmazta	qo&#39;llaniladi	employed
alkalmaztak	ishlatilgan	used
alkalmazták	ishlatilgan	applied
alkalmazza	murojaat qiling	inconsistent examples (alkalmaz something=use - alkalmaz someone=employ)
alkalmazzák	murojaat qiling	apply
alkalmazás	dastur	application
alkalmazása	dastur	use of
alkalmazások	ilovalar	applications
alkalmazásával	dastur	application
alkalmi	tasodifiy	occasional
alkalmából	munosabati bilan	on the occasion of
alkalmával	munosabati bilan	at the occasion of
alkalom	voqea	occasion
alkalommal	vaqt	on occasion
alkatrészek	qismlari	parts
alkohol	alkogol	alcohol
alkoholt	alkogol	alcohol
alkot	yaratmoq	forms
alkotják	pardoz	constitute
alkotmány	konstitutsiya	constitution
alkotmánya	konstitutsiya	constitution of
alkotmánybíróság	konstitutsiyaviy sud	constitutional court
alkotmányos	konstitutsiyaviy	constitutional
alkotmányt	konstitutsiya	constitution
alkotnak	shakl	(they) create
alkotott	yaratilgan	created
alkotta	yaratilgan	created
alkottak	yaratilgan	created
alkották	yaratilgan	constituted
alkotás	yaratish	creation
alkotása	birja	creation
alkotásai	asarlar	creations
alkotások	ijodlari	creations
alkotó	ijodiy	constituting
alkotói	ijodiy	creators
alkotója	yaratuvchisi	creator of
alkotók	ijodkorlar	creators
alkotórésze	komponent	constituent
allan	allan	not a hungarian word, it is the name of a person
allen	allen	allen
allél	allele	allele
alma	olma	apple (provided examples are first names as alma is also a first name in hungary)
alonso	alonso	alonso
alpesi	alp tog&#39;lari	alpine
alpha	alfa	alpha
alpok	alp tog&#39;lari	alps
alsó	pastki	bottom
alsóbb	pastki	lower
alternatív	muqobil	alternative
alul	pastki	at the bottom
alumínium	alyuminiy	aluminium
alá	quyida	below
alább	bundan keyin	hereafter
alábbi	quyida	following
alábbiak	quyidagi	following
aláírta	imzolangan	signed
aláírása	imzolash	signature of
alól	dan	from
am	am	am
amatőr	havaskor	amateur
ambrus	ambrus	ambrosia
amellett	bundan tashqari	besides
amellyel	qaysi bilan	with which
amely	qaysi	which
amelybe	qaysi	in which
amelyből	qaysi	from which
amelyek	qaysi	to which
amelyekben	qaysi	in which
amelyeken	qaysi	through which
amelyeket	qaysi	of which
amelyekkel	qaysi	with wich
amelyeknek	qaysi	to which
amelyen	qaysi	on which
amelyet	qaysi	which
amelyhez	qaysi	to which
amelyik	qaysi	which
amelynek	qaysi	of which
amelyre	qaysi	to which
amelyről	qaysi	about which
amennyi	shundayki	as much as
amennyiben	juda ko&#39;p	in so far as
america	amerika	america
american	amerikalik	american
amerika	amerika	america
amerikai	amerikalik	american
amerikaiak	amerikaliklar	americans
amerikába	amerikaga	in america
amerikában	amerika	in america
ami	qaysi	wich
amiben	qaysi	in which
amiből	qaysi	from which
amihez	qaysi	to what
amik	nima	that are
amiket	nima	which
amikor	qachon	when
amilyen	sifatida	like
amin	omin	what
aminek	qaysi	for which
aminosavak	aminokislotalar	amino acids
amint	sifatida	as soon as
amire	siz	what
amiről	haqida	what
amit	nima	that
amivel	qaysi	with which
amiért	nima uchun	for which
amy	amy	amy
amíg	gacha	while
amúgy	aytmoqchi	anyway
an	an	of them
anapesztus	anapest	apaest
anatómiai	anatomik	anatomic
anderson	anderson	anderson
andok	andalar	andes
andor	va	andor (forename)
andrea	andrea	andrea
andrew	andrew	andrew
andrás	endryu	andrás
andrássy	andrassy	andrássy
andré	andré	andré
andy	andy	andy
angeles	farishtalar	angeles
angelesben	anjeles	in angeles
angelesi	anjeles	angeles
angelina	farishta	angelina
anglia	angliya	england
angliai	angliya	england
anglikán	anglikan	anglican
angliába	angliya	to england
angliában	angliyada	in england
angol	inglizcha	english
angolok	inglizlar	england
angolszász	angliya-sakson	anglo-saxon
angolszászok	anglo-sakslar	anglosaxons
angolul	ingliz tilida	in english
angyal	farishta	angyal
angyalok	farishtalar	angels
anikó	anikó	anikó
anime	anime	anime
animációs	animatsiya	animated
animében	anime	in anime
anita	anita	anita
ann	ann	ann
anna	anna	anna
annak	ga	to
anne	anne	anne
annyi	juda ko&#39;p	so many
annyira	bu	so
annyit	bu juda ko&#39;p	so much
annál	ko&#39;proq	more
antal	antal	antal
antant	entente	entente
anthony	kuydirgi	anthony
anticiklon	antiklon	anti-cyclon
antigoné	antigon	antigone
antik	qadimiy	antique
antológia	antologiya	anthology
anton	anton	anton
antonio	antonio	antonio
anya	onalik	mother
anyag	material	material
anyaga	material	theme
anyagból	material	(from) matter
anyagi	material	financial
anyagok	materiallar	materials
anyagokat	moddalar	materials
anyagot	material	material
anyagát	material	material of
anyai	onalik	maternal
anyanyelvű	gapirmoqda	native speaker
anyja	ona	sy's mother
anyjának	ona	his mother
anyját	ona	mother
anyák	onalar	mothers
apa	otasi	father
apai	otalik	fatherly
apja	otasi	his father
apjának	otasi	to the father of sy
apját	otasi	her/his father
apjával	otasi	father
apollo	apollon	apollo
apolloprogram	apolloprogram	project apollo
apostol	havoriy	apostle
apple	olma	apple
apró	kichik	small
arab	arabcha	arabic
arabok	arablar	arabs
arad	arad	arad
aradi	arad	from arad
aragóniai	aragon	of aragon
arany	oltin	arany
aranybulla	oltin buqa	golden bull
aranycsapat	oltin jamoasi	gold team
aratott	g&#39;alaba	harvested
arattak	o&#39;rmoq	scored
arca	uning yuzi	face of
arcképe	portret	portrait of
arcát	uning yuzi	face of sy/sg
arena	maydon	arena
argentin	argentina	argentinian
argentína	argentina	argentina
arisztokrácia	aristokratiya	aristocracy
arisztotelész	aristotel	aristotle
arnold	arnold	arnold
arra	ga	to
arról	haqida	about
arsenal	arsenal	arsenal
art	zarar	art
arthur	artur	arthur
artúr	artúr	arthur
arány	oltin	rate
aránya	tarkib	ration of
arányban	nisbati	rate
aránylag	nisbatan	relatively
arányos	yaxshi	proportional
arányuk	ularning ulushi	ratio of sgs
asimov	asimov	asimov
aspergerszindrómás	aspergerszindromalar	with asperger syndrome
assisi	assisi	assisi
asszony	ayol	lady
asszonyok	ayollar	women
asztali	jadval	table
at	da	not a hungarian word
athenaeum	athenaeum	athenaeum
athén	afina	athens
athéni	afinaga oid	from athens
atlantisz	atlantis	atlantis
atlantióceán	atlantika okeani	atlantic ocean
atlético	atletiko	atlético
atom	atom	atom
atombomba	atom bombasi	atomic bomb
atomok	atomlari	atoms
atp	atp	atp
attila	attila	attila
atya	otasi	father
atyja	otasi	his/her father
augusztus	avgust	august
augusztusban	avgust oyida	in august
aus	aus	aus - german word
auschwitz	osventsim	auschwitz
ausztria	avstriya	austria
ausztriában	avstriya	austria
ausztriát	avstriya	austria
ausztrál	avstraliya	australian
ausztrália	avstraliya	australia
ausztráliai	avstraliya	australian
ausztráliában	avstraliya	in australia
autizmus	autizm	autism
autoimmun	otoimmün	autoimmunity
automatikus	avtomatik	automatic
automatikusan	avtomatik ravishda	automatically
autonóm	avtonom	autonomic
autonómiát	avtonomiya	autonomy
autó	mashina	car
autóbusz	avtobus	bus
autója	mashina	the car of sy
autók	avtomobillar	cars
autópálya	avtomagistral	motorway
autópályák	avtomagistrallar	highways
autót	mashina	car
avagy	yoki	or
avar	avar	avar
avarok	avarlar	avars (ancient faction)
avatták	ochilish marosimi	inaugurated
award	mukofot	award
awards	mukofotlar	awards
ayrton	ayrton	ayrton
az	the	the
azaz	demoq	namely
azelőtt	oldin	beforehand
aznap	o&#39;sha kuni	the same day
azok	o&#39;sha	those
azokat	o&#39;sha	them
azokban	ichida	those
azokkal	bilan	with those
azoknak	o&#39;sha	of those
azokon	yoqilgan	on
azokra	o&#39;sha	those
azon	the	on that
azonban	ammo	is
azonnal	darhol	immediately
azonnali	darhol	immediate
azonos	bir xil	identic
azonosították	aniqlandi	identified
azt	u	it
aztán	keyin	then
azután	keyin	after
azzal	bilan	with that
azért	shuning uchun	because
azóta	shundan buyon	since then
babits	chaqaloqlar	babits (surname)
bach	bach	bach
baja	noto&#39;g&#39;ri	baja
bajnai	bajnai	bajnai
bajnok	chempion	champion
bajnoki	chempionati	champion
bajnokok	chempionlar	champions
bajnokság	chempionati	championship
bajnokságban	chempionati	championship
bajnokságot	chempionati	championship
bajor	bavariya	bavarian
baksis	baksheesh	baksheesh
bakteriális	bakterial	bacterial
baktérium	bakteriya	bacteria
baktériumok	bakteriyalar	bacteria
baktériumokat	bakteriyalar	bacteria
bal	to&#39;p	left
balassa	balassa	balassa
balassi	balassi	balassi
balaton	balaton ko&#39;li	lake balaton
baleset	baxtsiz hodisa	accident
balesetet	baxtsiz hodisa	accident
balett	balet	ballet
balkáni	bolqon	balkan
balogh	balogh	balogh (surname)
baloldali	chapga	leftist
balra	chapga	to the left
balról	chapdan	from the left
balti	boltiqbo&#39;yi	baltic
balázs	balazlar	balazs
ban	ichida	in
band	tarmoqli	band
banda	tarmoqli	band
bank	bank	bank
bankjegyek	veksellar	banknotes
bankok	banklar	banks
baptizmus	suvga cho&#39;mish	baptism
bar	bar	bar
barabás	barabas	barabás
barack	shaftoli	barack
baranya	baranya	baranya (location)
barbara	barbar	barbara
barcelona	barselona	barcelona
barcelonában	barselona	in barcelona
barhesz	challah	challah
barna	jigarrang	barna (forename)
barney	arpa	barney
barokk	barok	baroque
barométer	barometr	barometer
barrett	barret	barrett
barry	barry	barry
bartók	bartuk	bartók
barát	do&#39;stim	friend
barátai	do&#39;stlar	friends
baráti	do&#39;stona	friendly
barátja	do&#39;st	friend
barátjának	do&#39;stim	for his/her friend
barátját	do&#39;stim	friend of
barátjával	do&#39;stim	friend
barátnője	qiz do&#39;sti	(her) girlfriend
barátok	do&#39;stlar	friends
barátság	do&#39;stlik	friendship
barátságos	do&#39;stona	friendly
barátságot	do&#39;stlik	friendship
bass	bas	bass
batman	batman	batman
batthyány	battaniy	batthyány
bay	ko&#39;rfaz	"not a hungarian word. ""bay"" means ""öböl"" in hungarian."
bayern	bavariya	bayern
bazilika	bazilika	basilica
bazsarózsa	piongul	paeonia
bbc	bbc	bbc, british broadcasting corporation
be	yoqilgan	into
beagle	beagle	a space probe
beatles	beatles	beatles
beavatkozás	aralashuv	interference
beceneve	taxallus	sy's nickname
beck	beck	beck
beckham	bekxem	beckham
becslés	taxmin qilish	estimate
becslések	taxminlar	estimations
becsületes	halol	honest
beethoven	betovod	beethoven
befejezetlen	tugallanmagan	unfinished
befejezett	tugatdi	finished
befejezte	tugatdi	finished
befejezése	tugatish	the end
befolyás	ta&#39;sir qiladi	influence
befolyása	ta&#39;sir	influence of
befolyásolja	ta&#39;sir qiladi	influence
befolyásolják	ta&#39;sir qiladi	affect
befolyásolta	ta&#39;sir ko&#39;rsatdi	influenced
befolyásos	ta&#39;sirli	influential
befolyással	ta&#39;sir qiladi	with influence
beiratkozott	yozilgan	registered
bejelentette	e&#39;lon qildi	announced
bejelenti	e&#39;lon qiladi	announces
bejutott	saralash	qualified
bejárata	kirish	entrance of
bek	§	world cup
bekerült	kiritilgan	got into
bekövetkezett	ichida	occured
bekövetkező	ichida	subsequent
bel	bel	bel
bele	ichiga	into
beleegyezett	kelishilgan	agreed
beleértve	shu jumladan	included
belföldi	mahalliy	interior
belga	belgiyalik	belgian
belgium	belgiya	belgium
belgrád	belgrad	belgrade
bell	qo&#39;ng&#39;iroq	bell
bella	bella	first name
belseje	ichki makon	interior
belsejében	ichida	in its innards
belső	ichki	internal
belváros	shahar markazida	downtown
belvárosban	shahar markazida	downtown
belvárosi	shahar markazida	downtown
belépett	qadam tashladi	entered
belül	ichida	inside
belüli	ichida	inside
belőle	u	it
belőlük	ulardan	they
bem	bem	bem
bemutatja	sovg&#39;alar	presents
bemutatni	hozirgi	to introduce
bemutatott	xususiyatli	presented
bemutatta	taqdim etdi	introduced
bemutatták	taqdim etdi	introduced
bemutatása	taqdimot	introduction
bemutató	ko&#39;rgazma	presentation
bemutatója	qo&#39;llanma	premier od sg
ben	ichida	ben
bencés	benedikt	benedictine
benedek	benedik	benedict
benefícium	foyda	benefitium
benne	unda	therein
bennük	ular	they
beosztás	post	division
berendezések	imkoniyatlar	equipment
berlin	berlin	berlin
berlinben	berlinda	berlin
berlini	berlin	berlin
bernard	bernard	bernard
bertalan	bertalan	bertalan
berzsenyi	berzseniy	berzsenyi (surname)
best	eng yaxshi	"not a hungarian word. ""best"" means ""legjobb"" in hungarian"
beszéd	nutq	speech
beszéde	nutq	speech
beszédei	nutqlar	speeches
beszédek	nutqlar	speeches
beszédet	nutq	speech
beszédében	nutq	speech
beszél	gapirish	speaking
beszélgetés	gapirish	conversation
beszélhetünk	biz gaplasha olamiz	we can
beszélik	gapiring	(they) speak
beszélnek	gapiring	speak
beszélni	gapiring	to speak
beszélt	aytilgan	spoken
beszéltek	gapirmoqda	spoke
beszélünk	biz gaplashyapmiz	we are talk
beszélő	gapirmoqda	speaker
beteg	kasal	patient
betegek	bemorlar	patients
betegség	kasallik	disease
betegsége	kasallik	illness of sy
betegségek	kasalliklar	diseases
betegséget	kasallik	disease
bethlen	baytlen	bethlen
betiltotta	taqiqlangan	banned
betiltották	taqiqlangan	banned
betöltött	yuklangan	loaded
betört	bostirib kirdi	broke into
betű	xat	letter
betűk	harflar	letters
betűkkel	harflar	in ... letters
bevallása	qabul qilish	sy's confession
bevett	tashkil etilgan	occupied / accepted
bevezetett	tanishtirdi	introduced
bevezette	tanishtirdi	introduced
bevezették	tanishtirdi	introduced
bevezetés	kirish	introduction
bevezetése	kirish	inctroduction of
bevezetését	kirish	introduction of
bevezető	kirish	introduction
bevált	yaxshi	established
bevándorlás	immigratsiya	immigration
bevándorlók	muhojirlar	immigrants
bevétele	daromad	taking
bevételi	daromad	of revenue
beépített	o&#39;rnatilgan	built-in
biblia	injil	bible
bibliai	injilga oid	biblical
bibliográfia	bibliografiya	bibliography
bibliában	injil	in holy bible
bibliát	injil	bible
bihari	bihari	bihari
bill	hisob-kitob	bill
billentyűs	klaviatura	with keys
billentyűzet	klaviatura	keyboard
billy	billy	billy
bin	axlat qutisi	bin
biogeográfia	biogeografiya	biogeography
biológiai	biologik	biological
bipoláris	bipolyar	bipolar
birodalma	imperiya	empire
birodalmat	imperiya	empire
birodalmi	imperial	imperial
birodalom	imperiya	empire
birodalomban	imperiya	empire
birtok	egalik	domain
birtokos	ushlagich	owner
birtokában	egalik	in posession of
bizarr	g&#39;alati	bizarre
bizonnyal	albatta	certainly
bizonyos	aniq	certain
bizonytalan	noaniq	insecure
bizonyult	bu bo&#39;lgandi	proved to be
bizonyultak	ekanligini isbotladi	proved
bizonyítja	isbotlang	proves
bizonyítják	shou	prove
bizonyított	isbotladi	proved
bizonyíték	dalil	evidence
bizonyítékok	dalil	proofs
bizonyítékot	dalil	evidence
bizottság	komissiya	committee
bizottsága	qo&#39;mita	committee
bizottságot	qo&#39;mitasi	committee
bizottságának	qo&#39;mita	committee
biztonság	xavfsizlik	security
biztonsági	xavfsizlik	security
biztonságos	xavfsiz	safe
biztos	aniq	certain
biztosan	albatta	certainly
biztosít	grant	assures
biztosítanak	taklif	provide
biztosítani	ishontirish	provide
biztosítja	ta&#39;minlash	assures
biztosítják	ta&#39;minlash	make sure to
biztosított	sug&#39;urta qilingan	assured
biztosította	taqdim etilgan	provided
biztosították	taqdim etilgan	secured
biztosítva	ta&#39;minlash	assuring
biztosítása	ta&#39;minlash	assuring of
biztosító	sug&#39;urtalovchi	operfixi
bizánc	vizantiya	byzantine empire
bizánci	vizantiya	bizantian
bl	bl	short for a type of football championship
blackmore	blackmore	blackmore
blog	blog	blog
blogok	bloglar	blogs
blokk	bloklar	block
bmw	bmw	bmw
bob	bobsled	bob
bobby	bobbi	bobby
bocskai	bocskai	from bocska (location)
bokros	po&#39;stloq	bushy
boldog	xursand	happy
bolgár	bolgar	bulgarian
bolgárok	bolgarlar	bulgarians
bolsevik	bolshevik	bolshevik
bolyai	bolayi	bolyai
bolygó	sayyora	planet
bolygók	sayyoralar	planets
bolygót	sayyora	planet
bolívia	boliviya	bolivia
bolíviai	boliviya	bolivian
bomba	bomba	bomb
bon	bon	bon
bonaparte	bonapart	person's name
bond	rishta	bond
bontakozott	ochilmagan	developed
bonyolult	murakkab	complicated
bonyolultabb	yanada murakkab	complex
book	kitob	book
books	kitoblar	books
bor	teri	wine
borderline	chegara chizig&#39;i	borderline
borok	sharob	wines
borsodabaújzemplén	borsod abaúj zemplén	borsodaújzemplén
borvidék	vino mamlakati	wine region
borítja	qoplangan	covers
borított	qoplangan	covered
borító	qopqoq	cover
bosnyák	bosniya	bosnian
bosszút	qasos	revenge
bosznia	bosniya	bosnia
boszniahercegovina	bosnyahercegovina	bosnia and herzegovina
boszniai	bosniya	bosnian
botrány	janjal	scandal
botrányt	janjal	scandal
botticelli	botticelli	botticelli
box	qutisi	box
boy	bola	fiú
bozsik	bozsik	bozsik
bp	bp	budapest
bpest	bpest	"abbreviation of ""budapest"""
brassó	brasov	brasov
brassói	brasov	brassói
bratislava	bratislava	bratislava
brazil	braziliyalik	brasil
brazília	braziliya	brazil
brazíliában	braziliyalik	in brasil
bregma	bregma	bregma (region on human skull)
brian	brian	brian
bridge	ko&#39;prik	bridge
brit	britaniyalik	british
britannia	britaniya	britain
britek	brits	british
british	britaniyalik	english word
britney	britney	britney
bronz	bronza	bronze
bros	bros	bros
brothers	aka-uka	brothers
brown	jigarrang	brown
bruce	bruce	bruce
bruttó	yalpi	gross
brüsszel	bryussel	brussels
brüsszelben	bryusselda	in brussels
bt	bt	"abbreviation of ""deposit company)"
bud	kurtak	bud
buda	buda	buda
budai	buda	buda
budapest	budapesht	budapest
budapesten	budapeshtda	budapest
budapesti	budapeshtdan	of budapest
budapestre	budapeshtga	budapest
budavári	buda	budavári
buddha	budda	buddha
buddhista	buddist	buddhist
buddhizmus	buddizm	buddhism
budán	buda shahrida	at buda
buenos	buenos	buenos
bukarest	buxarest	bucharest
bukott	yiqilgan	fallen
bukása	tushish	fall of
bulgária	bolgariya	bulgary
burton	burton	burton
bush	buta	bush
busz	avtobus	bus
buszok	avtobuslar	buses
buzérfélék	rubiaceae	coffee family
bvitamin	bvitamin	vitamin b
by	tomonidan	by
bácsi	tog&#39;a	uncle
bácskiskun	kiskun amaki	bács-kiskun
bálint	sevishganlar	bálint
bán	ichida	ban
bánk	bank	bánk
bánt	xafa qilish	bothers
bántalmak	shikoyatlar	complaints
bányászat	qazib olish	mining
bár	bar	although
bárki	har kim	anyone
bármely	har qanday	any
bármelyik	yoki	whichever
bármikor	istagan paytda	anytime
bármilyen	har qanday	any kind of
bárány	qo&#39;ylar	lamb
báró	baron	baron
bástya	podval	tower
báthory	dushxona	báthory
bátor	jasur	brave
bátyja	aka	older brother
bázis	tayanch	base
bécs	vena	wien
bécsbe	vena	to wienna
bécsben	wienna shahrida	in vienna
bécsi	vena	viennese
békaszőlőfélék	potamogetonaceae	frog wine
béke	tinchlik	peace
békeszerződés	tinchlik shartnomasi	peace treaty
békeszerződést	tinchlik shartnomasi	peace treaty
békében	tinchlik	in peace
békés	tinch	békés
békéscsaba	békéssaba	békéscsaba
békéscsabán	békéssaba	in békéscsaba
békét	tinchlik	peace
béla	bela	bob
bélhurut	enterit	gastro-enteritis
bélyegkép|a	eskiz | a	thumbnail
bélyegkép|balra|px|a	eskiz | chap | px | ning	a 120 ph thumbnail on the left
bélyegkép|jobbra|px|	eskiz | o&#39;ng | px |	thumbnail i right i pixels
bélyegkép|jobbra|px|az	eskiz | o&#39;ng | px | ning	thumbnail i right i pixels i the
bélyegkép|jobb|px|a	eskiz | o&#39;ng | px | ning	thumbnail i right i pixels i a
bélyegkép|px|a	eskiz | px | ning	stamp picture
bélyegkép|px|balra|a	eskiz | px | chap | a	stamppicture
bélyegkép|px|jobb|a	eskiz | px | o&#39;ng |	thumbnail i pixels i right i a
bérelt	ijaraga olingan	rented
bíboros	kardinal	cardinal
bír	bor	has
bírálta	tanqid qildi	judged
bírói	sudga oid	judge
bíróság	sud	court
bírósági	sudga oid	judicial
bíróságok	sudlar	courts
bízott	ishonch	trust
bízta	ishonib topshirilgan	entrusted with
bízták	ishonib topshirilgan	entrusted
ból	dan	from
bölcs	adaçayı	wise
bölcsek	dono	wise
böngésző	brauzer	browser
börtönbe	qamoqxona	to jail
börtönben	qamoqxona	in prison
búcsú	xayrlashdi	farewell
búza	bug&#39;doy	wheat
büntetés	jarima	punishment
büntetést	jarima	penalty
büszke	mag&#39;rur	proud
ből	dan	from
bőr	teri	skin
bővebben	ko&#39;proq	abundantly
bőven	mo&#39;llik	easily
bűn	gunoh	sin
bűncselekmény	jinoyat	crime
bűncselekmények	huquqbuzarliklar	crimes
bűnök	jinoyatlar	crimes
bűnös	gunohkor	sinful
bűnözés	jinoyat	crime
bűnöző	jinoyatchi	criminal
bűnügyi	jinoyatchi	criminal
c++	c ++	c++
caesar	qaysar	caesar
cameron	kamon	cameron
camp	lager	camp
campo	kampo	campo
can	mumkin	english word
canis	kanis	dog
capone	kapone	capone
carl	karl	carl
carlo	karlo	carlo
carlos	karlos	carlos
carter	kartter	a person's name
cartman	kartoshka	cartman
cartographia	kartografiya	this is an ltd's name
casa	casa	casa
castro	kastro	castro
catherine	ketrin	catherine
cc	cc	not a hungarian word
cd	cd	cd
center	markazi	központ
cenzúra	tsenzura	censorship
cf	cf	cf
chandler	qandil	english word
channel	kanal	english word
chaplin	chaplin	chaplin
chapman	kallakesar	chapman
charles	charlz	charles
charlie	charlie	charlie
chase	ketidan quvmoq	chase
che	che	che
chelsea	chelsi	chelsea
chicago	chikagoda	chicago
chile	chili	chile
chopin	shopen	chopin
chris	chris	chris
christian	xristian diniga oid	christian
christie	xristian	christie
christopher	xristian	christopher
chuck	chuck	chuck
churchill	cherkov	churchill
cia	cia	cia
cigány	lo&#39;li	gypsy
cigányok	lo&#39;lilar	gypsies
cigányság	lo&#39;lilar	gipsy population
cikk	maqola	article
cikke	maqola	article
cikkei	maqolalar	articles of sy/sg
cikkek	maqolalar	inconsistent examples (items or articles)
cikkeket	maqolalar	articles
cikket	maqola	article
ciklus	tsikl	term
ciklámen	siklamen	cy
cikászfélék	velosipedlar	cycad family
ciprus	kipr	cyprus
ciprusi	kipr	from cypus
cirill	kirillcha	cirill
cirkon	tsirkon	cirkone
city	shahar	city
civil	fuqarolik	civil
civilizáció	tsivilizatsiya	civilization
clark	klark	clark
class	sinf	english word
claude	qarsak chalmoq	claude
