$ tỉ	مليار دولار	$ billion
berkeley	بيركلي	(proper noun) the city of berkeley, california
berman	برمان	a name
bermuda	برمودا	(proper noun) bermuda
bernard	برنارد	bernard
bertrand	برتراند	bertrand
better	أفضل	better
betty	بيتي	betty
bhutan	بوتان	bhutan
bia	بيرة	beer (n.)
biang	بيانج	biang
bic	بيك	bic
bikini	بيكيني	bikini
bill	فاتورة	(proper noun) bill, as in former president bill clinton
billy	بيلي	billy
bismarck	بسمارك	bismarck, as in otto von bismarck
bitmap	صورة نقطية	bitmap
biên	الحدود	bien
biếc	أزرق مخضر	a bluish-green color (adj.)
biếm	الإهمال	"(term should be ""biếm họa"") cartoon (n.)"
biến	متغير	other
biếng	كسول	lose interest in
biếu	مجاملة	present
biều	bieu	bieu
biển	البحر	ocean
biểuthứcđiềukiện	تعرف الشروط	conditional expression
biện	اعتذر	"(term should be ""biện pháp"") a method (n.)"
biệt	متميز	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	بلاكويل	this is a name
blair	بلير	blair
blaise	بليز	blaise
blanc	بلانك	blanc
blues	البلوز	blues
bo	بو	a curl, as in a biceps curl exercise
bob	بوب	bob
bobby	بوبي	bobby, as in bobby day
boeing	بوينغ	boeing
bohemia	بوهيميا	bohemia
bolivia	بوليفيا	(proper noun) bolivia
boltzmann	بولتزمان	boltzmann
bom	قنبلة	bomb
bonaparte	بونابرت	bonaparte
bong	بونغ	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	حسن	bonnal
bonobo	البونوبو	bonono
bool	منطقية	bool
boolean	منطقي	(proper adjective) boolean, as in boolean algebra
boom	ازدهار	boom
boong	ظهر السفينة	a deck (n.)
boongke	المخابئ	bunker
bop	بوب	bop
boris	بوريس	boris
borland	بورلاند	(proper noun) borland
borussia	بوروسيا	borussia
bose	بوز	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	بوسنا	(proper noun) bosnia
bosnia	البوسنة	(proper noun) bosnia
botswana	بوتسوانا	botswana
bottom	القاع	bottom
boulder	صخرة	boulder
bourbon	بوربون	bourbon
boxing	الملاكمة	boxing
brain	الدماغ	brain
brandenburg	براندنبورغ	(proper noun) brandenburg
brandt	براندت	brandt
braun	براون	braun
brazil	البرازيل	brazil
bremen	بريمن	bremen, as in the bremen bank
brestlitovsk	بريستليتوفسك	brest-litovsk
breton	البريتوني	(proper noun) breton
bretton	بريتون	hoi nghi
brezhnev	بريجنيف	brezhnev
brian	بريان	a name
bridge	الجسر	bridge
britannic	بريطاني	(proper noun) britannic
britney	بريتني	britney
brooklyn	بروكلين	brooklyn
brot	بروت	this is german not vietnamese
brown	بني	brown
browne	براون	browne
browning	احمرار	(proper noun) browning
bruce	بروس	bruce
brunei	بروناي	brunei
bruno	برونو	bruno, as in the city of san bruno
brusilov	بروسيلوف	brusilov
brussels	بروكسل	brussels, the capital of belgium
btr	btr	btr
bubalis	بوباليس	bubalis
budapest	بودابست	budapest, the capital of hungary
bulgaria	بلغاريا	bulgaria
bulletin	نشرة	thong bao
bungary	bungary	bungary
bungo	البانجو	bungo
buonaparte	بونابرت	(proper noun) buonaparte, as in casa buonaparte
burke	بورك	(proper noun) burke, as in edmund burke
burkina	بوركينا	burkina
burma	بورما	burma
burundi	بوروندي	burundi
busan	بوسان	a korean city
busby	busby	busby
bush	شجيرة	bush
bushy	خطها	bushy
buôn	الجملة	commerce
buông	ترك	to release, to let loose
buýt	حافلة	bus
buốt	بارد	sharp
buồm	أبحر	sail
buồn	حزين	sad
buồng	الغرفة	chamber
buổi	الجلسة	session
byzantine	البيزنطية	byzantine
bà	جدتي	woman or lady (n.)
bài	آخر	articles
bàn	طاولة	table
bàng	نسر	eagle
bành	بنغ	armchair
bào	التخطيط	compatriot
bàu	باو	bau
bày	عرض	"(term should be ""trưng bày"") to display (v.)"
bác	عمي	doctor
bách	شجر السرو	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	عبادة	to bow (v.)
bám	التشبث	cling
bán	تباع	sell
báng	الأسهم	"(term should be ""phỉ báng"") to defame or slander"
báo	صحيفة	newspaper (n.)
bát	وعاء	eight (n.)
báu	كنز	valuable
bây	الان	now
bã	بقايا	"(term should be ""buồn bã"") sad (adj.)"
bãi	ياردة	beach
bão	العاصفة	storm
bèn	ثم	then
bé	طفل	baby
bén	حاد	sharp (adj.)
béo	سمين	fat
bên	حزب	side
bênh	مريض	advocate
bì	التعبئة والتغليف	foreskin (n.)
bìa	غطاء	cover
bìu	كيس الصفن	sac (n.)
bí	القرع	secret
bính	بنه	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	اليقطين	biro
bò	بقرة	beef
bó	حفنة	bound (adj.)
bói	الكهانة	to foretell (v.)
bón	تخصيب	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	الكرة	sphere or ball
bóp	ضغط	squeeze
bô	قعادة	"(term should be ""bôxit"") the mineral bauxite"
bôi	ملطخ	to apply (as in oil)
bông	قطن	flower
bù	تشكل	compensate
bùa	تميمة	talisman
bùn	طين	mud
bùng	اشتعال	"(term should be ""bùng nổ"") to break out (v.)"
bú	رضع	to suck
búa	مطرقة	a hammer
búi	خصل	tuft
bún	كعكة	noodle
búng	مرتعش	snap
bút	قلم	pseudonym
băm	مجزأة	hash
băn	تأكل	concerned
băng	جليد	"(term should be ""băng giá"") freezing (adj.)"
bơ	زبدة	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	اسبح	swim
bơm	ضخ	pump
bưu	البريد	post office
bước	خطوة	a step (n.)
bướm	فراشة	butterfly
bạ	جهات الاتصال	directory
bạc	الفضة	meager
bạch	شفاف	"(should be ""bạch tuộc"") an octopus"
bại	فشل	defeated
bảng	الجداول	chart
bảo	باو	protect
bảy	سبعة	seventh
bấm	اضغط	press
bất	حقيقي	"(term should be ""bất cứ"") any (adj.)"
bấy	ذلك	contemporary
bần	فقير	poor
bầu	التصويت	vote
bầy	قطيع	servant
bẩm	خلقي	congenital
bẩn	قذر	the
bẩy	فخ	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	فخ	a trap (n.)
bậc	درجة	level or class (n.)
bận	مشغول	busy
bật	قيد التشغيل	outstanding
bắc	الشمال	beijing
bắcnam	نورثنام	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	تبادل لاطلاق النار	shoot
bắp	ذرة	venter
bắt	للحاق	cross
bằng	يساوي	by
bẹp	سحق	crush
bẻ	استراحة	break
bẽ	إذلال	humiliate
bến	قفص الاتهام	wharf
bếp	مطبخ	kitchen
bề	السطح	"(should be ""bề mặt"") a surface"
bền	دائم	enduring (v.)
bể	مكسورة	tank
bệ	قاعدة التمثال	base
bện	مضفر	braided (adj.)
bệnh	مريض	benh
bỉ	بلجيكا	disgust
bỉnh	شقي	binh
bịch	صرخة	ridiculous
bịt	مغطى	cover
bọ	البق	insect
bọc	التفاف	to cover or enclose (v.)
bọn	لهم	a group (n.)
bọng	انتفاخ	bladder
bọt	رغوة	foam
bỏ	استسلم	to leave (v.)
bỏng	الحروق	hot
bố	الأب	"(term should be ""tuyên bố"") to declare"
bốc	جارٍ التحميل	bốc lửa= on fire
bối	مرتبك	messy
bốn	أربعة	four
bồi	تعويض	"(term should be ""cao bồi"") cowboy (n.)"
bổn	واجب	duty
bổng	منحة دراسية	"with word luong, means ""salary"" or ""wages"""
bỗng	فجأة	suddently
bộ	تعيين	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	مضاعفات	betray
bột	عجين	powder or flour (n.)
bớ	تقريب	arrest
bớt	أقل	less
bờ	الشاطئ	coast
bời	بوم	profuse
bở	بواسطة	profitable
bởi	بواسطة	because
bục	المنصة	platform
bụng	بطن	abdomen
bứt	دون علم	"(term should be ""bứt phá"") power (n.)"
bừa	مروعة	messy, careless, or topsy-turvy (adj.)
bữa	وجبة	meal (n.)
bực	محبط	bother
ca	كاليفورنيا	praise
ca-lo	كاليفورنيا	a unit of measurement
cabo	كابو	cabo
cacbon	الكربون	carbon
cacbonat	كربونات	carbonate
cacbua	كربيد	carbides, carbon ions
caesar	قيصر	caesar
caffein	الكافيين	caffeine
café	قهوة	coffee
cai	تساى	govern
cairo	القاهرة	cairo, the capital of egypt
cal	كال	cal, a first name
calculus	حساب التفاضل والتكامل	calculus
calvin	كالفين	calvin
cam	برتقالي	commit
cambodia	كمبوديا	(proper noun) the country of cambodia
cambridge	كامبريدج	cambridge
cameo	حجاب	cameo part
cameron	الكاميرون	cameron
cameroon	الكاميرون	cameroon
camille	كميل	camille
campbell	كامبل	campbell
campuchia	كمبوديا	campuchia
canada	كندا	canada
canadian	الكندي	canadian
canal	القناة	canal
canary	كناري	canary
cancer	السرطان	cancer
canterbury	كانتربري	canterbury
canxi	الكالسيوم	calcium
capello	كابيلو	capello
capra	كابرا	capra
carat	قيراط	carat
carbine	كاربين	carbine
cardcaptor	كاردكابتور	cardcaptor
cardcaptors	كاردكابتور	(proper noun) cardcaptors
carey	كاري	(proper noun) carey, as in singer mariah carey
caribe	كاريبي	caribbean
caribê	الكاريبي	caribbean
carl	كارل	carl
carlos	كارلوس	carlos
carnaval	كرنفال	carnaval
carol	كارول	carol
caroline	كارولين	(proper noun) caroline
carpathia	كارباتيا	carpathia
carter	كارتر	carter
carxtơ	قيراط	karst topography, a geological term (n.)
casa	كازا	casa
casablanca	الدار البيضاء	casablanca
caspia	بحر قزوين	caspia
cassini	كاسيني	cassini
cast	يلقي	cast
castries	معجنات	castries
castro	كاسترو	castro, as in fidel castro
cathay	كاثي	cathay
catherine	كاترين	catherine
cau	كاو	cau
cbc	سي بي سي	cbc
cbgd	cbgd	educational  officer
cbs	كبس	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	مؤتمر نزع السلاح	cd
cdot	cdot	cdot
cdrom	قرص مدمج	cd-rom
cell	خلية	cell
celtic	سلتيك	centic
cena	سينا	(proper noun) cena, as in john cena, the wrestler
centauri	سنتوري	centauri
ceres	سيريس	ceres
cha	الأب	father
chai	زجاجة	bottle
chaillot	كيش	a name
chamberlain	تشامبرلين	chamberlain
champa	شامبا	champa
champion	بطل	champion
chamẹ	تدليك	parents
chanel	شانيل	chanel
chanh	ليمون	lemon or lime (n.)
chao	مرحبًا	(proper noun) chao, a name
charles	تشارلز	charles
charlotte	شارلوت	charlotte
charlton	تشارلتون	charlton
charon	تشارون	(proper noun) charon
chase	مطاردة	chase
chay	نباتي	fasting
chdcnd	chdcnd	democratic republic
che	غطاء	cover
chechnya	الشيشان	chechnya
chen	تشن	chen
cheo	تشو	"(term should be ""cheo reo"") name of a town"
chi	تشي	"(term should be ""chi tiết"") details (n.)"
chia	مقسمة	"(term should be ""chia sẻ"") to share"
chiang	شيانغ	chiang
chicago	شيكاغو	chicago, as in chicago, illinois
chile	شيلي	(proper noun) the country of chile
chim	الطائر	bird
china	الصين	china
ching	تشينج	ching
chirac	شيراك	chirac, as in former french president jacques chirac
chiêm	الفلكية	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	مقلي	fry
chiêng	غونغ	gong
chiếc	أجهزة الكمبيوتر	the
chiếm	المحتلة	appropriate
chiến	قتال	war, fight
chiết	انتزاع	literal
chiếu	إسقاط	show
chiền	حفنة	temple
chiều	مساءا	length
chlamydia	الكلاميديا	chlamydia
chloride	كلوريد	chloroauric acid
chnd	chnd	chnd
choi	لعب	choi
chomsky	تشومسكي	chomsky
chong	تشونغ	chong
chopin	شوبان	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	الرأس	coat
choáng	فاجأ	dizzy
chris	كريس	chris, as in chris hughes
christ	المسيح	christ
christian	مسيحي	christian
christopher	كريستوفر	christopher
chrome	الكروم	chrome, as in google chrome
chrysler	كرايسلر	(proper noun) chrysler, the car company
chu	تشو	cycle
chua	تعكر	tomato
chuck	ظرف	(proper noun) chuck, as in chuck norris
chui	تحت الأرض	underground
chum	الصديق	pot
chun	تشون	chun
chung	عام	general
churchill	تشرشل	churchill
chuyên	متخصص	professional
chuyến	رحلة	trip
chuyền	تمر	volleyball
chuyển	نقل	to move
chuyện	القصة	nói chuyện= talk
chuôi	قبض	handle
chuông	جرس	a bell
chuẩn	قياسي	standard
chuốc	الوخزة	incur
chuối	موز	banana
chuốt	التطرق	refine
chuồng	الحظيرة	cage
chuỗi	سلسلة	series
chuộc	تخليص	redeem
chuộng	مفضل	favorite
chuột	الفأر	a mouse (n.)
chà	فرك	rub
chài	الصيد	fish
chàm	النيلي	indigo
chàng	الرجل	"(term should be ""chàng trai"") a young man (n.)"
chào	مرحبًا	welcome
chày	البيسبول	a pestle (n.)
chánh	رئيس	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	عصيدة	porridge
cháu	الأحفاد	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	حرق	fire
châm	وخز	motto
chân	قدم	a leg
châu	أوروبا	continental
chè	شاي	tea
chèn	أدخل	insert
chém	مائل	to chop
chén	كوب	bowl
chéo	عبر	cross
chép	نسخ	written
chê	لعنة	decry
chênh	الفرق	difference
chì	يؤدي	graphite
chìa	المفتاح	"(term should be ""chìa khoá"") a key (n.)"
chìm	تغرق	to become submerged or sink (v.)
chình	ثعبان البحر	eel
chí	القمل	especially
chích	حقنة	shoot
chín	تسعة	ripe
chính	الرئيسية	main
chít	شيت	dense
chò	خنق	a type of plant, typically of the parashorea genus (n.)
chòi	كوخ	hut
chòm	كوكبة	constellation
chó	كلاب	dog
chóc	هاها	killing (giet choc)
chói	وهج	bright
chóng	بسرعة	"entire term should be ""chong mat""; means ""dizzy"""
chóp	نصيحة	the top (n.)
chôm	رامبوتان	rambutan
chôn	مدفون	bury
chông	الزوج	thorn
chùa	معبد	pagoda
chùy	صولجان	mace
chú	عمي	uncle (n.)
chúa	إله	god
chúc	أتمنى	will
chúi	tuu	drop
chúng	لهم	they
chút	قليلا	little
chăm	اعتن بنفسك	champa
chămpa	تشامبا	champa
chăng	بأسعار معقولة	would it
chĩa	شوكات	point
chơi	لعب	play
chơn	قدم	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	تشو	lower authorities
chưa	ليس بعد	not yet
chưng	dist	steamed
chương	الفصل	medal
chướng	مسار عقبة	grating
chạ	غير شرعي	father
chạm	المس	touch
chạng	الشفق	twilight
chạp	متزعزع	slow
chạy	اركض	to run (v.)
chả	لفات	no
chảo	مقلاة	pan
chảy	يتدفق	bleeding
chấm	نقطة	end
chấp	الرهن	"(term should be ""chấp nhận"") to accept (v.)"
chất	جوهر	quality
chấu	قرصة	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	السلق	slice
chẩn	التشخيص	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	ببطء	slow
chận	كتلة	block
chật	ضيق	overcrowded
chậu	الأواني	pelvic
chắc	بالتأكيد	certainly
chằng	جبين	ligament
chẵn	حتى	even
chặn	كتلة	prevent
chặng	الساق	journey
chặt	ضيق	close
chẻ	انقسام	strick
chẽ	ضيق	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	الاستعدادات	produce
chếch	الركود	oblique
chết	يموت	to die (v.)
chệch	خطأ	deviant
chỉ	فقط	just (adv.)
chỉnh	تصحيح	adjust
chịt	حماقة	chằn chịt= complex/tangle
chịu	يتحمل	tolerate
chọc	كزة	to poke
chọi	قتال	oppose
chọn	اختر	to choose
chỏ	الكوع	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	لحظة	single
chối	ينكر	refuse
chốn	مكان	place
chống	ضد	anti-
chốt	مزلاج	important
chồi	يطلق النار	"(term should be ""đâm chồi"") budding"
chồn	ابن عرس	anxious
chồng	الزوج	husband
chỗ	مكان	where
chội	القرف	cramped
chớ	لا تفعل	not
chớp	برق	flashing (adj.)
chờ	انتظر	to wait
chở	تحمل	for
chợ	السوق	market
chợt	فجأة	suddenly
chục	دزينة	dozen
chụp	الرماية	capture
chủ	مالك	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	سلالات	strain
chứ	بالأحرى	just or only (adv.)
chứa	يحتوي على	contain
chức	الوظيفة	function
chừ	انتظر	hesitate
chừa	رحيل	leave
chừng	تقريبا	about or roughly (adv.)
chử	كلمة	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	حامل	pregnant
chửi	شتم	curse
chữ	كلمة	a letter of the alphabet (n.)
chữa	علاج	to cure or treat (v.)
chững	تسوية	to totter (v.)
cia	وكالة المخابرات المركزية	cia
cincinnati	سينسيناتي	cincinnati
cinderella	سندريلا	cinderrella
cip	cip	cip
circus	سيرك	circus
cities	المدن	cities
clara	كلارا	clara
clark	كلارك	clark
claude	كلود	(proper noun) claude
claudius	كلوديوس	(proper noun) claudius
clinton	كلينتون	clinton, as in former president bill clinton
clip	مقطع	clip
clips	مقاطع	clips
clo	الكلور	chlorine
clow	كلو	clow
clyde	كلايد	(proper noun) clyde, as in bonnie and clyde
cmc	سم	cmc
cmt	سم	cmt
cn	cn	christian era
cnet	سي نت	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	شارك	spasm
coburn	كوبورن	coburn
cocoa	كاكاو	cocoa
coen	coen	coen
coffea	قهوة	coffee
cohen	كوهين	cohen
coi	يعتبر	to regard
coleen	كولين	coleen
coleman	كولمان	coleman
coli	القولون	coli
colin	كولين	(proper noun) colin, as in colin powell
colleen	كولين	colleen
college	الكلية	college
collins	كولينز	(proper noun) collins
collège	كوليج	college (n.)
colombia	كولومبيا	colombia
colombo	كولومبو	(proper noun) colombo
colorado	كولورادو	(proper noun) colorado, as in the state
columbus	كولومبس	columbus
comic	كوميدي	comic
common	مشترك	common
concacaf	الكونكاكاف	concacaf
concerto	كونشيرتو	concerto
concorde	كونكورد	concorde
condom	واقي ذكري	condom
cong	منحني	curved or bent
congo	الكونغو	congo
congress	المؤتمر	congress, as in library of congress
connecticut	كونيتيكت	connecticut
conrad	كونراد	corrad
conservation	الحفظ	conservation
constantine	قسنطينة	constantine
contemporary	معاصر	contemporary
cooper	كوبر	(proper noun) cooper
copenhagen	كوبنهاغن	copenhagen
copernic	كوبرنيك	corpernic
copperfield	كوبيرفيلد	(proper noun) copperfield, as in magician david copperfield
coppola	كوبولا	coppola
copy	نسخ	copy
cordyceps	كورديسيبس	cordyceps
core	الأساسية	core
cornell	كورنيل	cornell
cosin	جيب التمام	cosine
costa	كوستا	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	كريغ	(proper noun) craig
crazy	مجنون	crazy
crespo	كريسبو	(proper noun) crespo
crest	قمة	crest
crew	الطاقم	crew
crimson	قرمزي	crimson
crisis	أزمة	crisis
cristiano	كريستيانو	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	كرواتيا	croatia
cross	عبر	cross
crs	الصناديق	crs
cruz	كروز	cruz
cruzeiro	كروزيرو	cruzeiro
crystal	الكريستال	crystal
ctc	ctc	ctc
cua	سلطعون	crab (n.)
cullen	كولين	a name
cung	ينحني	circle
cunningham	كونينغهام	cunningham; proper name
cup	كوب	cup
cuả	من	of, from, belonging to
cuốc	المعاول	hoe
cuối	الأخير	last or final (adj.)
cuốn	كتاب	book
cuống	ساق	throat
cuồng	مجنون	crazy (adj.)
cuộc	قتال	the
cyanide	السيانيد	cyanide
cyber	سايبر	cyber
cyril	سيريل	(proper noun) cyril
cyrus	سايروس	cyrus
cyworld	cyworld	cyword
cà	قهوة	ca
cài	تثبيت	install
càn	تحتاج	raid
càng	أكثر	cang
cành	فرع	branch
cào	خدش	scratch
cày	حرث	plow
các	ال	all (adv.)
cách	الطريق	the
cái	ال	"(term should be ""con cái"") children (n.)"
cán	توالت	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	أجنحة	wing
cáo	الثعلب	report
cáopx|bình	متوسط |	not a word
cáp	كابل	cable (n.)
cáy	عازف الكمان	fiddler
câm	غبي	mute (adj.)
cân	مقياس	weight
câu	الجملة	saying
cãi	يجادل	argue
cò	الزناد	stork
còn	غادر	to have left (v.)
có	نعم	have
cói	البردي	machine
cót	سرير أطفال	cot
