$ tỉ	$ miliar	$ billion
bùng	menyala	"(term should be ""bùng nổ"") to break out (v.)"
bú	menyusu	to suck
búa	palu	a hammer
búi	jumbai	tuft
bún	roti	noodle
búng	menjentikkan	snap
bút	pulpen	pseudonym
băm	hash	hash
băn	resah	concerned
băng	es	"(term should be ""băng giá"") freezing (adj.)"
bơ	mentega	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	berenang	swim
bơm	pompa	pump
bưu	ongkos kirim	post office
bước	langkah	a step (n.)
bướm	kupu-kupu	butterfly
bạ	kontak	directory
bạc	perak	meager
bạch	transparan	"(should be ""bạch tuộc"") an octopus"
bại	gagal	defeated
bảng	meja	chart
bảo	bao	protect
bảy	tujuh	seventh
bấm	tekan	press
bất	nyata	"(term should be ""bất cứ"") any (adj.)"
bấy	itu	contemporary
bần	miskin	poor
bầu	memilih	vote
bầy	kawanan	servant
bẩm	bawaan	congenital
bẩn	kotor	the
bẩy	perangkap	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	perangkap	a trap (n.)
bậc	gelar	level or class (n.)
bận	sibuk	busy
bật	dihidupkan	outstanding
bắc	utara	beijing
bắcnam	northnam	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	tembak	shoot
bắp	jagung	venter
bắt	untuk menangkap	cross
bằng	sama dengan	by
bẹp	menghancurkan	crush
bẻ	istirahat	break
bẽ	penghinaan	humiliate
bến	berlabuh	wharf
bếp	dapur	kitchen
bề	permukaan	"(should be ""bề mặt"") a surface"
bền	tahan lama	enduring (v.)
bể	rusak	tank
bệ	alas	base
bện	dikepang	braided (adj.)
bệnh	sakit	benh
bỉ	belgia	disgust
bỉnh	nakal	binh
bịch	buk	ridiculous
bịt	tertutup	cover
bọ	bug	insect
bọc	bungkus	to cover or enclose (v.)
bọn	mereka	a group (n.)
bọng	bengkak	bladder
bọt	busa	foam
bỏ	menyerah	to leave (v.)
bỏng	terbakar	hot
bố	ayah	"(term should be ""tuyên bố"") to declare"
bốc	memuat	bốc lửa= on fire
bối	bingung	messy
bốn	empat	four
bồi	kompensasi	"(term should be ""cao bồi"") cowboy (n.)"
bổn	tugas	duty
bổng	beasiswa	"with word luong, means ""salary"" or ""wages"""
bỗng	tiba-tiba	suddently
bộ	diatur	part
bộc	dewan komisaris	"(term should be ""bộc lộ"") to reveal (v.)"
bội	berlipat ganda	betray
bột	adonan	powder or flour (n.)
bớ	mengumpulkan	arrest
bớt	kurang	less
bờ	pantai	coast
bời	gelandangan	profuse
bở	oleh	profitable
bởi	oleh	because
bục	podium	platform
bụng	perut	abdomen
bứt	tanpa sadar	"(term should be ""bứt phá"") power (n.)"
bừa	mengerikan	messy, careless, or topsy-turvy (adj.)
bữa	makan	meal (n.)
bực	frustrasi	bother
ca	ca	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	karbon	carbon
cacbonat	karbonat	carbonate
cacbua	karbida	carbides, carbon ions
caesar	caesar	caesar
caffein	kafein	caffeine
café	kopi	coffee
cai	cai	govern
cairo	kairo	cairo, the capital of egypt
cal	kal	cal, a first name
calculus	kalkulus	calculus
calvin	calvin	calvin
cam	oranye	commit
cambodia	kamboja	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	cameo	cameo part
cameron	kameron	cameron
cameroon	kamera	cameroon
camille	camille	camille
campbell	bel pintu	campbell
campuchia	kamboja	campuchia
canada	kanada	canada
canadian	kanada	canadian
canal	kanal	canal
canary	kenari	canary
cancer	kanker	cancer
canterbury	canterbury	canterbury
canxi	kalsium	calcium
capello	capello	capello
capra	capra	capra
carat	karat	carat
carbine	karabin	carbine
cardcaptor	pemilik kartu	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	peduli	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	karibia	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	karnaval	carnaval
carol	carol	carol
caroline	caroline	(proper noun) caroline
carpathia	carpathia	carpathia
carter	carter	carter
carxtơ	karat	karst topography, a geological term (n.)
casa	casa	casa
casablanca	casablanca	casablanca
caspia	caspia	caspia
cassini	cassini	cassini
cast	pemain	cast
castries	castries	castries
castro	castro	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cdrom	cd-rom
cell	sel	cell
celtic	celtic	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	ayah	father
chai	botol	bottle
chaillot	chaillot	a name
chamberlain	bendaharawan	chamberlain
champa	champa	champa
champion	juara	champion
chamẹ	mandi	parents
chanel	chanel	chanel
chanh	lemon	lemon or lime (n.)
chao	hai	(proper noun) chao, a name
charles	charles	charles
charlotte	charlotte	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	kejar	chase
chay	vegetarian	fasting
chdcnd	chdcnd	democratic republic
che	penutup	cover
chechnya	chechnya	chechnya
chen	chen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	terbagi	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chili	(proper noun) the country of chile
chim	burung	bird
china	cina	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	astrologi	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	digoreng	fry
chiêng	gong	gong
chiếc	pcs	the
chiếm	ditempati	appropriate
chiến	berkelahi	war, fight
chiết	ekstrak	literal
chiếu	proyeksi	show
chiền	banyak	temple
chiều	siang	length
chlamydia	klamidia	chlamydia
chloride	klorida	chloroauric acid
chnd	chnd	chnd
choi	mainkan	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	pilih	(proper noun) choson
choàng	jubah	coat
choáng	tertegun	dizzy
chris	chris	chris, as in chris hughes
christ	kristus	christ
christian	kristen	christian
christopher	christopher	christopher
chrome	chrome	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	chu	cycle
chua	masam	tomato
chuck	chuck	(proper noun) chuck, as in chuck norris
chui	bawah tanah	underground
chum	sohib	pot
chun	chun	chun
chung	umum	general
churchill	churchill	churchill
chuyên	terspesialisasi	professional
chuyến	perjalanan	trip
chuyền	lulus	volleyball
chuyển	transfer	to move
chuyện	cerita	nói chuyện= talk
chuôi	mengeluh	handle
chuông	bel	a bell
chuẩn	standar	standard
chuốc	aduk	incur
chuối	pisang	banana
chuốt	menggerutu	refine
chuồng	gudang	cage
chuỗi	tali	series
chuộc	tebus	redeem
chuộng	disukai	favorite
chuột	tikus	a mouse (n.)
chà	gosok	rub
chài	memancing	fish
chàm	nila	indigo
chàng	kawan	"(term should be ""chàng trai"") a young man (n.)"
chào	hai	welcome
chày	baseball	a pestle (n.)
chánh	kepala	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	bubur	porridge
cháu	cucu	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	terbakar	fire
châm	tusukan	motto
chân	kaki	a leg
châu	eropa	continental
chè	teh	tea
chèn	masukkan	insert
chém	tebas	to chop
chén	cangkir	bowl
chéo	silang	cross
chép	salinan	written
chê	sial	decry
chênh	perbedaan	difference
chì	memimpin	graphite
chìa	kunci	"(term should be ""chìa khoá"") a key (n.)"
chìm	tenggelam	to become submerged or sink (v.)
chình	belut	eel
chí	kutu	especially
chích	injeksi	shoot
chín	sembilan	ripe
chính	utama	main
chít	chit	dense
chò	tersedak	a type of plant, typically of the parashorea genus (n.)
chòi	tapi	hut
chòm	rasi bintang	constellation
chó	anjing	dog
chóc	haha	killing (giet choc)
chói	silau	bright
chóng	dengan cepat	"entire term should be ""chong mat""; means ""dizzy"""
chóp	tip	the top (n.)
chôm	rambutan	rambutan
chôn	terkubur	bury
chông	suami	thorn
chùa	pagoda	pagoda
chùy	bunga pala	mace
chú	paman	uncle (n.)
chúa	tuhan	god
chúc	berharap	will
chúi	tuu	drop
chúng	mereka	they
chút	sedikit	little
chăm	hati-hati	champa
chămpa	champa	champa
chăng	terjangkau	would it
chĩa	garpu	point
chơi	mainkan	play
chơn	kaki	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	belum	not yet
chưng	dist	steamed
chương	bab	medal
chướng	halangan	grating
chạ	promiscuous	father
chạm	sentuh	touch
chạng	senja	twilight
chạp	goyah	slow
chạy	lari	to run (v.)
chả	gulungan	no
chảo	panci	pan
chảy	mengalir	bleeding
chấm	titik	end
chấp	hipotek	"(term should be ""chấp nhận"") to accept (v.)"
chất	substansi	quality
chấu	cubit	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	pucat	slice
chẩn	mendiagnosis	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	lambat	slow
chận	blokir	block
chật	kencang	overcrowded
chậu	pot	pelvic
chắc	tentu	certainly
chằng	alis	ligament
chẵn	bahkan	even
chặn	blokir	prevent
chặng	kaki	journey
chặt	kencang	close
chẻ	terbelah	strick
chẽ	kencang	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	persiapan	produce
chếch	kendur	oblique
chết	mati	to die (v.)
chệch	salah	deviant
chỉ	hanya	just (adv.)
chỉnh	koreksi	adjust
chịt	omong kosong	chằn chịt= complex/tangle
chịu	beruang	tolerate
chọc	menyodok	to poke
chọi	berkelahi	oppose
chọn	pilih	to choose
chỏ	siku	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	momen	single
chối	tolak	refuse
chốn	tempat	place
chống	anti	anti-
chốt	kait	important
chồi	tunas	"(term should be ""đâm chồi"") budding"
chồn	musang	anxious
chồng	suami	husband
chỗ	tempat	where
chội	sial	cramped
chớ	tidak	not
chớp	kilat	flashing (adj.)
chờ	tunggu	to wait
chở	membawa	for
chợ	pasar	market
chợt	tiba-tiba	suddenly
chục	selusin	dozen
chụp	penembakan	capture
chủ	pemilik	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	strain	strain
chứ	lebih tepatnya	just or only (adv.)
chứa	berisi	contain
chức	fungsi	function
chừ	tunggu	hesitate
chừa	pergi	leave
chừng	sekitar	about or roughly (adv.)
chử	kata	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	hamil	pregnant
chửi	mengutuk	curse
chữ	kata	a letter of the alphabet (n.)
chữa	obat	to cure or treat (v.)
chững	leveling	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	cinderella	cinderrella
cip	cip	cip
circus	sirkus	circus
cities	kota	cities
clara	clara	clara
clark	clark	clark
claude	claude	(proper noun) claude
claudius	claudius	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	klip	clip
clips	klip	clips
clo	klorin	chlorine
clow	clow	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	coburn	coburn
cocoa	kakao	cocoa
coen	coen	coen
coffea	kopi	coffee
cohen	cohen	cohen
coi	dipertimbangkan	to regard
coleen	coleen	coleen
coleman	kolega	coleman
coli	coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	kolega	colleen
college	perguruan tinggi	college
collins	collins	(proper noun) collins
collège	college	college (n.)
colombia	kolombia	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	columbus	columbus
comic	komik	comic
common	umum	common
concacaf	concacaf	concacaf
concerto	concerto	concerto
concorde	kerukunan	concorde
condom	kondom	condom
cong	melengkung	curved or bent
congo	congo	congo
congress	kongres	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	konservasi	conservation
constantine	constantine	constantine
contemporary	kontemporer	contemporary
cooper	cooper	(proper noun) cooper
copenhagen	copenhagen	copenhagen
copernic	copernic	corpernic
copperfield	ladang tembaga	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	salinan	copy
cordyceps	cordyceps	cordyceps
core	inti	core
cornell	cornell	cornell
cosin	cosin	cosine
costa	costa	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	gila	crazy
crespo	crespo	(proper noun) crespo
crest	lambang	crest
crew	kru	crew
crimson	merah tua	crimson
crisis	krisis	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	kroasia	croatia
cross	silang	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	kristal	crystal
ctc	ctc	ctc
cua	kepiting	crab (n.)
cullen	cullen	a name
cung	membungkuk	circle
cunningham	cunningham	cunningham; proper name
cup	cangkir	cup
cuả	dari	of, from, belonging to
cuốc	cangkul	hoe
cuối	terakhir	last or final (adj.)
cuốn	buku	book
cuống	tangkai	throat
cuồng	gila	crazy (adj.)
cuộc	berkelahi	the
cyanide	sianida	cyanide
cyber	dunia maya	cyber
cyril	cyril	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	dunia maya	cyword
cà	kopi	ca
cài	instal	install
càn	butuhkan	raid
càng	lebih banyak	cang
cành	cabang	branch
cào	gores	scratch
cày	membajak	plow
các	itu	all (adv.)
cách	jalan	the
cái	itu	"(term should be ""con cái"") children (n.)"
cán	digulung	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	sayap	wing
cáo	rubah	report
cáopx|bình	cáopx | rata-rata	not a word
cáp	kabel	cable (n.)
cáy	pemain biola	fiddler
câm	bodoh	mute (adj.)
cân	skala	weight
câu	hukuman	saying
cãi	berdebat	argue
cò	pemicu	stork
còn	kiri	to have left (v.)
có	iya	have
cói	sedge	machine
cót	dipan	cot
cô	dia	girl
côi	yatim piatu	orphaned
côn	lancip	a stick (n.)
công	bekerja	worker
côngtenơ	wadah	container
cõi	alam	entire area
cõng	dukung-dukungan	piggyback
cù	gelitik	cu
cùi	penderita kusta	leprosy
cùng	bersama	together
cú	burung hantu	old
cúi	membungkuk	to bow (v.)
cúm	flu	cum
cúng	nyaman	worship
cúp	pemadaman	cup (n.)
cút	keluar	to kick someone out (v.)
căm	dicolokkan	detest (cam thu)
căn	radikal	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	meregangkan	tense
cũ	tua	old
cũi	buaian	kennel
cũng	juga	also
cơm	beras	rice
cư	mengisi	resident
cưa	melihat	saw
cưng	sayang	also
cước	pengiriman	megaman
cưới	sudah menikah	marry
cướp	merampok	to rob (v.)
cười	tertawa	smile
cường	intens	strengthen
cưỡi	berkuda	ride
cưỡng	terpaksa	force some body to do some thing. cưỡng dâm=rape
cạc	kartu	card (n.)
cạn	dangkal	shallow
cạnh	tepi	"(term should be ""khía cạnh"") an angle"
cạo	mencukur	shave
cạp	kalajengking	scorpion
cả	keduanya	both
cải	mustard	reform
cảm	dingin	pleasure
cản	terganggu	prevent
cảng	pelabuhan	port
cảnh	pemandangan	situation
cảo	menarik	posthumous
cấm	dilarang	ban
cấn	butuhkan	dramatic
cấp	hibah	level or rank (n.)
cất	disuling	"(term should be ""cất giữ"") to keep safe or store"
cầm	tahan	to hold (v.)
cần	butuhkan	need
cầu	jembatan	request
cầy	musang	farmed
cẩn	hati-hati	carefully
cẩu	crane	"(term should be ""hải cẩu"") a seal (n.)"
cận	pendekatan	close
cập	konter	mention
cậu	dia	a young man (n.)
cậy	bisa diandalkan	reliable
cắm	pasang	to plant (v.)
cắn	menggigit	to bite
cắp	mencuri	steal
cắt	potong	cut
cằm	dagu	chin
cằn	pemarah	exhausted (adj.)
cặp	berpasangan	couple
cọ	telapak tangan	rub
cọc	tumpukan	pile
cọp	harimau	tiger
cỏ	rumput	plant
cố	coba	"(term should be ""cố gắng"") to try one's best (v.)"
