$ tỉ	en milliards de dollars	$ billion
bùng	flare	"(term should be ""bùng nổ"") to break out (v.)"
bú	téter	to suck
búa	marteau	a hammer
búi	touffes	tuft
bún	chignon	noodle
búng	effleuré	snap
bút	stylo	pseudonym
băm	haché	hash
băn	frette	concerned
băng	glace	"(term should be ""băng giá"") freezing (adj.)"
bơ	beurre	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	nager	swim
bơm	pompe	pump
bưu	affranchissement	post office
bước	pas	a step (n.)
bướm	papillon	butterfly
bạ	les contacts	directory
bạc	argent	meager
bạch	transparent	"(should be ""bạch tuộc"") an octopus"
bại	a échoué	defeated
bảng	tables	chart
bảo	bao	protect
bảy	sept	seventh
bấm	presse	press
bất	réel	"(term should be ""bất cứ"") any (adj.)"
bấy	ça	contemporary
bần	pauvre	poor
bầu	voter	vote
bầy	troupeau	servant
bẩm	congénital	congenital
bẩn	sale	the
bẩy	piège	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	piège	a trap (n.)
bậc	degré	level or class (n.)
bận	occupé	busy
bật	allumé	outstanding
bắc	au nord	beijing
bắcnam	northnam	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	tirer	shoot
bắp	maïs	venter
bắt	attraper	cross
bằng	est égal	by
bẹp	écraser	crush
bẻ	casser	break
bẽ	l&#39;humiliation	humiliate
bến	quai	wharf
bếp	cuisine	kitchen
bề	surface	"(should be ""bề mặt"") a surface"
bền	durable	enduring (v.)
bể	cassé	tank
bệ	piédestal	base
bện	tressé	braided (adj.)
bệnh	malade	benh
bỉ	la belgique	disgust
bỉnh	coquine	binh
bịch	coup	ridiculous
bịt	couvert	cover
bọ	bugs	insect
bọc	envelopper	to cover or enclose (v.)
bọn	eux	a group (n.)
bọng	gonflement	bladder
bọt	mousse	foam
bỏ	abandonner	to leave (v.)
bỏng	brûlures	hot
bố	père	"(term should be ""tuyên bố"") to declare"
bốc	chargement	bốc lửa= on fire
bối	confus	messy
bốn	quatre	four
bồi	compensation	"(term should be ""cao bồi"") cowboy (n.)"
bổn	devoir	duty
bổng	bourse	"with word luong, means ""salary"" or ""wages"""
bỗng	soudain	suddently
bộ	ensemble	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	multiples	betray
bột	la pâte	powder or flour (n.)
bớ	rassembler	arrest
bớt	moins	less
bờ	rivage	coast
bời	clochard	profuse
bở	par	profitable
bởi	par	because
bục	podium	platform
bụng	ventre	abdomen
bứt	sans le savoir	"(term should be ""bứt phá"") power (n.)"
bừa	déchirant	messy, careless, or topsy-turvy (adj.)
bữa	repas	meal (n.)
bực	frustré	bother
ca	ca	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	carbone	carbon
cacbonat	carbonate	carbonate
cacbua	carbure	carbides, carbon ions
caesar	césar	caesar
caffein	la caféine	caffeine
café	café	coffee
cai	cai	govern
cairo	caire	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	calcul	calculus
calvin	calvin	calvin
cam	orange	commit
cambodia	cambodge	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	camée	cameo part
cameron	cameron	cameron
cameroon	cameroun	cameroon
camille	camille	camille
campbell	campbell	campbell
campuchia	cambodge	campuchia
canada	canada	canada
canadian	canadien	canadian
canal	canal	canal
canary	canari	canary
cancer	cancer	cancer
canterbury	canterbury	canterbury
canxi	calcium	calcium
capello	capello	capello
capra	capra	capra
carat	carat	carat
carbine	carabine	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	carey	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	caraïbes	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	carnaval	carnaval
carol	carol	carol
caroline	caroline	(proper noun) caroline
carpathia	carpathie	carpathia
carter	charretier	carter
carxtơ	carat	karst topography, a geological term (n.)
casa	casa	casa
casablanca	casablanca	casablanca
caspia	caspia	caspia
cassini	cassini	cassini
cast	cast	cast
castries	castries	castries
castro	castro	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	vidéosurveillance	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cdrom	cd-rom
cell	cellule	cell
celtic	celtique	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	père	father
chai	bouteille	bottle
chaillot	chaillot	a name
chamberlain	chambellan	chamberlain
champa	champa	champa
champion	champion	champion
chamẹ	bain	parents
chanel	chanel	chanel
chanh	citron	lemon or lime (n.)
chao	salut	(proper noun) chao, a name
charles	charles	charles
charlotte	charlotte	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	chasser	chase
chay	végétarien	fasting
chdcnd	chdcnd	democratic republic
che	couverture	cover
chechnya	tchétchénie	chechnya
chen	chen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	divisée	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chili	(proper noun) the country of chile
chim	l&#39;oiseau	bird
china	porcelaine	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	astrologique	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	frit	fry
chiêng	gong	gong
chiếc	pièces	the
chiếm	occupé	appropriate
chiến	se battre	war, fight
chiết	extraire	literal
chiếu	projection	show
chiền	tas	temple
chiều	après-midi	length
chlamydia	chlamydia	chlamydia
chloride	chlorure	chloroauric acid
chnd	chnd	chnd
choi	jouer	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	cape	coat
choáng	abasourdi	dizzy
chris	chris	chris, as in chris hughes
christ	christ	christ
christian	chrétien	christian
christopher	christopher	christopher
chrome	chromé	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	chu	cycle
chua	sour	tomato
chuck	chuck	(proper noun) chuck, as in chuck norris
chui	souterrain	underground
chum	copain	pot
chun	chun	chun
chung	général	general
churchill	churchill	churchill
chuyên	spécialisé	professional
chuyến	voyage	trip
chuyền	passer	volleyball
chuyển	transfert	to move
chuyện	histoire	nói chuyện= talk
chuôi	râler	handle
chuông	cloche	a bell
chuẩn	standard	standard
chuốc	poke	incur
chuối	les bananes	banana
chuốt	aborder	refine
chuồng	grange	cage
chuỗi	chaîne	series
chuộc	racheter	redeem
chuộng	favorisé	favorite
chuột	souris	a mouse (n.)
chà	frotter	rub
chài	la pêche	fish
chàm	indigo	indigo
chàng	mec	"(term should be ""chàng trai"") a young man (n.)"
chào	salut	welcome
chày	baseball	a pestle (n.)
chánh	chef	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	bouillie	porridge
cháu	petits-enfants	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	brûlant	fire
châm	piquer	motto
chân	les pieds	a leg
châu	l&#39;europe	continental
chè	thé	tea
chèn	insérer	insert
chém	slash	to chop
chén	tasse	bowl
chéo	traverser	cross
chép	copier	written
chê	putain	decry
chênh	différence	difference
chì	plomb	graphite
chìa	clé	"(term should be ""chìa khoá"") a key (n.)"
chìm	évier	to become submerged or sink (v.)
chình	anguille	eel
chí	les poux	especially
chích	injection	shoot
chín	neuf	ripe
chính	principal	main
chít	chit	dense
chò	étouffer	a type of plant, typically of the parashorea genus (n.)
chòi	cabane	hut
chòm	constellation	constellation
chó	les chiens	dog
chóc	haha	killing (giet choc)
chói	éblouissement	bright
chóng	vite	"entire term should be ""chong mat""; means ""dizzy"""
chóp	pourboire	the top (n.)
chôm	ramboutan	rambutan
chôn	enterré	bury
chông	mari	thorn
chùa	pagode	pagoda
chùy	macis	mace
chú	oncle	uncle (n.)
chúa	dieu	god
chúc	souhaiter	will
chúi	tuu	drop
chúng	eux	they
chút	peu	little
chăm	prendre soin	champa
chămpa	champa	champa
chăng	abordable	would it
chĩa	fourchettes	point
chơi	jouer	play
chơn	les pieds	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	pas encore	not yet
chưng	dist	steamed
chương	chapitre	medal
chướng	parcours d&#39;obstacles	grating
chạ	promiscuité	father
chạm	toucher	touch
chạng	crépuscule	twilight
chạp	fragile	slow
chạy	courir	to run (v.)
chả	rouleaux	no
chảo	casserole	pan
chảy	coulant	bleeding
chấm	point	end
chấp	hypothèque	"(term should be ""chấp nhận"") to accept (v.)"
chất	substance	quality
chấu	pincer	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	blanchiment	slice
chẩn	diagnostiquer	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	lentement	slow
chận	bloquer	block
chật	serré	overcrowded
chậu	des pots	pelvic
chắc	bien sûr	certainly
chằng	front	ligament
chẵn	même	even
chặn	bloquer	prevent
chặng	jambe	journey
chặt	serré	close
chẻ	diviser	strick
chẽ	serré	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	préparations	produce
chếch	mou	oblique
chết	mourir	to die (v.)
chệch	mauvais	deviant
chỉ	seulement	just (adv.)
chỉnh	correction	adjust
chịt	merde	chằn chịt= complex/tangle
chịu	ours	tolerate
chọc	piquer	to poke
chọi	combat	oppose
chọn	choisir	to choose
chỏ	coude	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	moment	single
chối	nier	refuse
chốn	lieu	place
chống	anti	anti-
chốt	verrou	important
chồi	pousses	"(term should be ""đâm chồi"") budding"
chồn	belette	anxious
chồng	mari	husband
chỗ	lieu	where
chội	merde	cramped
chớ	ne pas	not
chớp	foudre	flashing (adj.)
chờ	attends	to wait
chở	porter	for
chợ	marché	market
chợt	soudain	suddenly
chục	douzaine	dozen
chụp	tir	capture
chủ	propriétaire	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	souches	strain
chứ	plutôt	just or only (adv.)
chứa	contient	contain
chức	fonction	function
chừ	attends	hesitate
chừa	partir	leave
chừng	environ	about or roughly (adv.)
chử	mot	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	enceinte	pregnant
chửi	maudire	curse
chữ	mot	a letter of the alphabet (n.)
chữa	guérir	to cure or treat (v.)
chững	nivellement	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	cendrillon	cinderrella
cip	cip	cip
circus	cirque	circus
cities	les villes	cities
clara	clara	clara
clark	clark	clark
claude	claude	(proper noun) claude
claudius	claudius	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	clip	clip
clips	clips	clips
clo	chlore	chlorine
clow	clow	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	coburn	coburn
cocoa	cacao	cocoa
coen	coen	coen
coffea	coffea	coffee
cohen	cohen	cohen
coi	considéré	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	colleen	colleen
college	collège	college
collins	collins	(proper noun) collins
collège	collège	college (n.)
colombia	colombie	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	columbus	columbus
comic	bande dessinée	comic
common	commun	common
concacaf	concacaf	concacaf
concerto	concerto	concerto
concorde	concorde	concorde
condom	préservatif	condom
cong	courbé	curved or bent
congo	congo	congo
congress	congrès	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	conservation	conservation
constantine	constantine	constantine
contemporary	contemporain	contemporary
cooper	tonnelier	(proper noun) cooper
copenhagen	copenhague	copenhagen
copernic	copernique	corpernic
copperfield	champ de cuivre	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	copier	copy
cordyceps	cordyceps	cordyceps
core	noyau	core
cornell	cornell	cornell
cosin	cosin	cosine
costa	costa	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	fou	crazy
crespo	crespo	(proper noun) crespo
crest	crête	crest
crew	équipage	crew
crimson	cramoisi	crimson
crisis	crise	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	la croatie	croatia
cross	traverser	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	cristal	crystal
ctc	ctc	ctc
cua	crabe	crab (n.)
cullen	cullen	a name
cung	arc	circle
cunningham	cunningham	cunningham; proper name
cup	tasse	cup
cuả	de	of, from, belonging to
cuốc	houes	hoe
cuối	dernier	last or final (adj.)
cuốn	réserver	book
cuống	tige	throat
cuồng	fou	crazy (adj.)
cuộc	se battre	the
cyanide	cyanure	cyanide
cyber	cyber	cyber
cyril	cyril	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	cyworld	cyword
cà	le café	ca
cài	installer	install
càn	besoin	raid
càng	le plus	cang
cành	branche	branch
cào	gratter	scratch
cày	labourer	plow
các	le	all (adv.)
cách	le chemin	the
cái	le	"(term should be ""con cái"") children (n.)"
cán	roulé	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	ailes	wing
cáo	renard	report
cáopx|bình	cáopx | moyenne	not a word
cáp	câble	cable (n.)
cáy	violoneux	fiddler
câm	stupide	mute (adj.)
cân	échelle	weight
câu	phrase	saying
cãi	argumenter	argue
cò	déclencher	stork
còn	à gauche	to have left (v.)
có	oui	have
cói	carex	machine
cót	lit bébé	cot
cô	elle	girl
côi	orphelin	orphaned
côn	effiler	a stick (n.)
công	travailler	worker
côngtenơ	conteneur	container
cõi	royaumes	entire area
cõng	ferroutage	piggyback
cù	chatouiller	cu
cùi	lépreux	leprosy
cùng	ensemble	together
cú	chouette	old
cúi	arc	to bow (v.)
cúm	grippe	cum
cúng	confortable	worship
cúp	panne	cup (n.)
cút	sortir	to kick someone out (v.)
căm	branché	detest (cam thu)
căn	radical	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	étirer	tense
cũ	vieux	old
cũi	crèche	kennel
cũng	aussi	also
cơm	riz	rice
cư	remplir	resident
cưa	vu	saw
cưng	chéri	also
cước	fret	megaman
cưới	marié	marry
cướp	voler	to rob (v.)
cười	rire	smile
cường	intense	strengthen
cưỡi	équitation	ride
cưỡng	forcé	force some body to do some thing. cưỡng dâm=rape
cạc	carte	card (n.)
cạn	peu profond	shallow
cạnh	bord	"(term should be ""khía cạnh"") an angle"
cạo	se raser	shave
cạp	scorpion	scorpion
cả	les deux	both
cải	moutarde	reform
cảm	froid	pleasure
cản	tourmenté	prevent
cảng	port	port
cảnh	scène	situation
cảo	tire	posthumous
cấm	interdit	ban
cấn	besoin	dramatic
cấp	accorder	level or rank (n.)
cất	distillé	"(term should be ""cất giữ"") to keep safe or store"
cầm	tenir	to hold (v.)
cần	besoin	need
cầu	pont	request
cầy	civette	farmed
cẩn	fais attention	carefully
cẩu	grue	"(term should be ""hải cẩu"") a seal (n.)"
cận	approche	close
cập	compteur	mention
cậu	lui	a young man (n.)
cậy	fiable	reliable
cắm	brancher	to plant (v.)
cắn	mordre	to bite
cắp	voler	steal
cắt	couper	cut
cằm	menton	chin
cằn	grincheux	exhausted (adj.)
cặp	paire	couple
cọ	paume	rub
cọc	pile	pile
cọp	tigre	tiger
cỏ	herbe	plant
cố	essayer	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	tasse	cereal
cối	mortier	mortar
cốm	pépites	grilled rice
cống	hommage	dedicate
cồn	alcoolique	i
cồng	gong	gong
cổng	la porte	gate
cỗ	pont	engine
cỗi	têtu	barren
cộ	véhicule	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	vieux	origin
cộng	plus	to add (v.)
cột	colonne	pole
cớ	excuse	excuse
cờ	drapeau	flag
cỡ	taille	size
