aajo	அபத்தமானது	hospitality
alaini	தேவைப்படுபவர்	the poor
alakitiyan	ஆர்வலர்	activist
alakobere	புதியவர்	primary
alalaye	மண்	explanatory
alawose	கணிப்பு	mentor
albany	அல்பானி	albany
albert	ஆல்பர்ட்	albert
alexandra	அலெக்ஸாண்ட்ரா	alexandra
alicia	அலிசியா	alicia
allāh	allāh	allah
alominira	சுதந்திரம்	independent
alpha	ஆல்பா	alpha
alubàbá	அப்பா	drummer
alukuraani	குரான்	quran
alumoni	நோய் தீர்க்கும்	minerals
alumíníọ̀mù	அலுமினியம்	aluminium
alákọ̀bẹ̀rẹ̀	துவக்கி	primary education
alápapò	மாற்று	general
alátise	கலைஞர்	alatise
aláyèwò	இன்ஸ்பெக்டர்	expert
aláísàn	நோய்வாய்ப்பட்டது	the sick
alúwo	ஏற்றம்	traditional cults
alọ́po	பணப்பை	tied
amazonas	அமசோனாஸ்	amazonas
americas	அமெரிக்காக்கள்	americas
amerika	அமெரிக்கா	america
amojeoyipada	மாற்றத்தக்கது	reform
amosi	பள்ளிவாசல்	amos
améríkà	அமெரிக்கன்	america
améríkà	அமெரிக்கன்	america
an	ஒரு	him
anabi	தீர்க்கதரிசி	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	அனிதா	anita
anschluss	anschluss	anschluss
apagusu	தெற்கு	southern
apaguusuilaorun	தென்மேற்கு	south-western
apaguusuiwoorun	தென்மேற்கு	part of the south
apailaorun	சூரிய உதயம்	east side
apaiwoorun	மேற்கு	eastern side
aparapo	சேர்க்கை	confederation
apeja	மீனவர்	fisherman
apeere	உதாரணத்திற்கு	example
apis	apis	apis
apòmù	கவசம்	apomu
apẹ̀rè	கவசம்	example
arabu	அரபு	arab
aralíle	வெப்பமண்டல	healthy body
arinkankan	இந்த ஒன்று	nationalist
ariso	அரிஸ்	oral tradition
ariwaarin	மத்திய கிழக்கு	mid-north
ariwaguusu	தென்மேற்கு	north-south
arkansas	ஆர்கன்சாஸ்	arkansas
aroko	தாவரங்கள்	composition
aruleyin	வணக்கம்	carried on the back
arun	நோய்	disease
aryan	ஆரிய	aryan
aráa	சகோதரன்	people from
arábíà	அகரவரிசை	arabia
aráròmí	வணக்கம்	araromi
arópò	லஞ்சம்	substitute
arúgbó	முதுமை	elderly
arọ	நொண்டி	cripple
asagun	வெற்றி	intial, first (referring to the 13 colonies)
ascii	கண்டுபிடி	ascii
aseeto	தீர்வு	unfair
aseyori	வெற்றி	success
asipa	விலகல்	first to kill
assessment	மதிப்பீடு	ayewo
asìko	முட்டாள்தனம்	time; ni asiko=when
asèdá	இயற்கை	origination
atangbona	அணு	emission
atanna	அணு	emitter
atigba	ஏற்றுக்கொள்ளத்தக்கது	from time
atimo	திட்டம்	inland
atinrin	சிரித்து	thin
atun	முன்னாடி	also
atunse	திருத்தம்	revision
australia	ஆஸ்திரேலியா	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	austronesian	austronesian
austríà	ஆஸ்திரேலியா	austria
avar	அவார்	avar
awari	கண்டுபிடிப்பு	discovery
awo	தட்டு	of
awonara	உணர்ச்சி	people of
awoòn	வார்ப்புரு	people
awon	அவர்களுக்கு	they
awuruju	மந்திர	shady
awùjo	மரியாதை	society
awújẹ	ஊழல்	root
aya	வசனம்	chest
ayeye	நித்தியம்	celebration
ayàfi	அது நன்றாக இருக்கிறது	only if
ayò	ay	game
azikiwe	பொது அறிவு	azikwe
aṣòkan	தனிப்பட்ட	united
baa	இருக்கிறது	be with
babaláwo	தெய்வீக	herbalist
bahrain	பஹ்ரைன்	bahrain
balẹ̀	அவர் இருக்கட்டும்	settled
bang	இடி	bang
banle	banle	banle
bara	கடந்த ஆண்டு	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	பேயல்சா	beyelsa
bayi	இப்போது	like this
bayìí	இப்போது	this
bce	தொலைவில்	bce
beauharnais	beauharnais	beauharnais
beijing	பெய்ஜிங்	beijing
belarus	பெலாரஸ்	belarus
belgium	பெல்ஜியம்	belgium
bengal	பெங்கல்	bengal
bengali	பெங்காலி	bengal
benin	பெஞ்ச்	benin
berber	berber	berber
berlin	பெர்லின்	berlin
bernstein	பெர்ன்ஸ்டீன்	bernstein
bharat	பாரத்	bharat
bharata	திரும்பி வா	bharata
bibeli	திருவிவிலியம்	bible
biribiri	நசுக்கப்பட்டது	intense
black	கருப்பு	dudu
bodies	உடல்கள்	ara
bojú	பாருங்கள்	take care
bole	bole	ground
bolt	ஆணி	bolt
bolívar	bolívar	bolivar
brasil	பிரேசில்	brazil
brazzaville	பிரஸ்ஸாவில்	brazzaville
bridgeport	பிரிட்ஜ்போர்ட்	bridgeport
britain	பிரிட்டன்	britain
brítánì	பிரிட்டிஷ்	britain
bu	அது	give
buenaventura	buenaventura	buenaventura
bujumbura	விரிவாக்கப்பட்டது	bujumbura
burúkú	தீமை	bad
by	வழங்கியவர்	does not translate directly, does not exist
bàbá	தந்தை	father
bákannáà	அத்துடன்	likewise
bálè	பலூன்	lying on the ground
bárakú	போதை	habitual
báyìí	இப்போது	this
bèrẹ̀	தொடங்க	started
béè	அது போல	than
bòtswánà	பேருந்து	botswana
búburú	மோசமான	bad
búrú	தைரியமாக இருக்க	wicked
bẹ̀rẹ̀	தொடங்குவதற்கு	started
bẹ́	உடைந்தது	also
bẹ́ljíọ̀m	பெரில்	belgium
bẹ́ẹ̀ni	ஆம்	yes
bẹ́ẹ̀sìni	ஆம்	that is it
cairo	ஆத்திரம்	cairo
calabar	மெல்லும் கோந்து	calabar
canaria	கனரியா	canaria
cape	கேப்	cape
casablanca	casablanca	casablanca
caslon	கேசினோ	caslon
cathedral	கதீட்ரல்	cathedral (katidral)
catherine	கேத்தரின்	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	சாமோரோ	chamorro
charles	சார்லஸ்	charles
chaskalson	chaskalson	chaskalson
chebbi	சிந்தியுங்கள்	chebbi
cherished	நேசத்துக்குரிய	mu lokunkundun
china	சீனா	china
cipollone	சிபோலோன்	cipollone
clear	தெளிவானது	danmanran
code	குறியீடு	code
coetsee	coetsee	coetese
coloured	வண்ண	alawo dudu
coming	வருகிறது	yo jade
compared	ஒப்பிடும்போது	does not directly translate
computers	கணினிகள்	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	தொண்டை	cunha
da	மற்றும்	back; but in this form it is unnecessary
dagbasoke	வளர	developing
dandan	கட்டாயமாகும்	a must
dani	வைத்திருத்தல்	hand-held
darapo	சேர	joinedd
daru	அழிக்க	scattered
dates	தேதிகள்	pada si
delhi	வேண்டாம்	delhi
denver	டென்வர்	denver
des	des	des
describes	விவரிக்கிறது	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	டெஸ்மாண்ட்	desmond
development	வளர்ச்சி	idagbasoke
didagba	சமத்துவம்	growing
didasile	ஸ்தாபனம்	established
different	வெவ்வேறு	iyato
din	வறுக்கவும்	reduced
dinwoju	மேலே பாருங்கள்	suitable
divoire	divoire	d'ivoire
doju	நேருக்கு நேர்	face
dojú	நேருக்கு நேர்	turn face (full phrase is doju ko, to face)
dominic	ஆதிக்கம் செலுத்தும்	dominic
doni	டோனி	this day
dote	புள்ளி	rebel
doublehelix	இரட்டை சுருள்	hiliksi abara meji
doublestrand	டபுள்ஸ்ட்ராண்ட்	double-strand
dover	டோவர்	dova
du	டு	hustle
due	காரணமாக	nitori
dun	சுவையானது	sound
dàbíi	இது போன்ற	like
dàpò	அவற்றை மாற்றவும்	mix
dá	உருவாக்கப்பட்டது	intervene
dágbó	முதுமை	forest
dájó	சரி	pass judgement
dálóríi	நன்றி	about
dáradára	நன்றாக	well
dásà	ஒரு காசா	peculiar way of saying
dáwó	நன்கொடை	undertake
dé	வந்துவிட்டது	reach
délànà	கொள்கைப்படி	delana
dépò	எல்லை வரை	to a position
dì	தாள்	be
dìde	எழும்	stand
dìró	வலப்பக்கம்	hang on
dìtẹ̀	சதி	rebel
díè	பதற்றமான	few
dóko	நல்ல	upstanding
dólà	நன்றாக	dollar
dún	ஒலி	sound
dúró	நிற்க	stand (been in existence)
dọ́gba	சமம்	equal
ea	ஆம்	ea
eba	eba	shore
ebi	குடும்பம்	family
ecomog	ecomog	ecomog
ede	மொழி	language
efrem	effem	efrem
egba	முற்றிலும்	cane
egbe	துப்பாக்கி	group
egberundun	ஒரு ஆயிரம் ஆண்டுகள்	a thousand year
egbo	ஒரு காயம்	brother
egbé	ஐயோ	party
egbò	ஒரு காயம்	chemicals
egbògi	மருத்துவ	don't know this
eighteen	பதினெட்டு	ejidinlogun
eka	சிக்கலான	branch, department, part
ekeji	மற்ற	second
eko	கல்வி	lagos
elede	பன்றிகள்	speaker
eleyi	இது	this
eleyii	இது போன்ற	this
elláda	படைப்பு	ellada
eléde	சுருக்கம்	pig
eléré	தடகள	performer
elòmírà	கடற்பாசி	freedom
elòmíràn	மற்றொன்று	another person
emerging	வளர்ந்து வருகிறது	ibere-pese
emmanuel	இம்மானுவேல்	emmanuel
enikéni	எல்லோரும்	whoever
enter	உள்ளிடவும்	wole
enì	யானை	person
eníbá	காய்ச்சல்	such person
epa	வேர்க்கடலை	groundnut
ernst	ernst	ernst
erofo	வண்டல்	swamp
erékùsù	தீவு	island
eréonítàn	சுருக்கெழுத்து	written play
eseese	வரைபடம்	step by step
esia	வருகிறது	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	சொற்பிறப்பியல்	etymologiae
etíòkun	கடற்கரை	beach
euro	யூரோ	euro
euroasia	யூரோசியா	uro-esia
ewe	இலை	ewe
ewé	இலை	leaf
ewì	கவிதை	traditional poem
example	உதாரணமாக	apere
eya	வகை	tribe
eyin	முட்டை	previous
eyonomba	eyonomba	digit
eléja	மீன்பிடித்தல்	fisherman
elòmíràn	வேறு யாரோ	another person
eka	விளைவு	branches
eléyàmèyà	இனம்	tribalism
enu	வாய்	mouth
esin	மதம்	horse
esè	வருமானத்தை	leg
ewà	நடத்தை	beauty
fagile	ரத்து செய்யப்பட்டது	cancel
fail	தோல்வி	padanu
fan	விசிறி	spread
faramó	கடைபிடிக்கவும்	accept
faranse	பிரஞ்சு	french
farsi	ஆர்டி	farsi
felifeli	வெல்வெட்	fuming
ferde	ஃபெர்டே	verde
fesèmúlè	தற்காலிக மூல	established
fe	விரும்பினார்	want
fi	சேமி	by
fifihan	காண்பிக்கும்	revealed
fihan	சுட்டிக்காட்டப்பட்டது	shows, to show
fimú	கூர்மையாக வரையறுக்கப்பட்டுள்ளது	captivate with
finiki	இயற்பியல்	finiki
finlandi	பின்லாந்து	finland
fitino	சோதனை	judgement
five	ஐந்து	marun
fodio	ஃபோடியோ	fodio
fofinde	தடை	prohibited
fohùn	கத்து	consent
foniimu	படம்	phoneme
force	படை	agbara
foriko	உதாரணத்திற்கு	agreed
fourbase	ஃபோர் பேஸ்	onidi-merin
fowobowe	பதிவு	signed
fowó	பணத்திற்காக	sign
fracmv	fracmv	does not translate
francis	பிரான்சிஸ்	francis
fransi	பிரஞ்சு	france
freetown	ஃப்ரீடவுன்	freetown
fuji	அகற்று	fuji
fulani	கோழைத்தனம்	fulani
fulbe	ஃபுல்	fulbe
fun	க்கு	for
funra	தன்னை	suspect
further	மேலும்	si
fé	fé	like
fé	fé	want
fégbé	மறந்துவிடு	for peers
fífò	பறக்கும்	jumping
fífún	கொடுப்பது	giving
fòye	புரிந்து	rationalise
fẹ́rẹ̀ẹ́	கிட்டத்தட்ட	nearly
galatia	இந்த நேரத்தில்	galatia
gba	ஒப்புக்கொள்கிறேன்	accept
gbajúgbujà	மிகவும் பிரபலமானது	popular
gbale	புகழ்	flourished
gbaná	வெளியே சுட	engulf in flame/rage
gbe	எடுத்துச் செல்லுங்கள்	set up
gbera	தொடரவும்	move
gberasoke	வேகப்படுத்துங்கள்	rising
gbese	கடன்	debt
gbigbamulo	சுரண்டல்	adopted
gbigbewo	நிதி	examined
gbilè	உடைக்க	gaining ground
gbin	நடப்பட்டது	farm
gbogbogbo	பொது	general
gbongbo	வேர்	root
gbàgbọ́	நம்புங்கள்	believe
gbàgùrà	அதிர்ந்தது	gbagura
gbá	நொறுக்கு	received
gbáradì	எழு	prepare
gbé	வாழ	convey
gbédìí	நிறுவுங்கள்	respect
gbékalè	தச்சு	establish
gbéni	வாழ	lift
gbéyèwò	விமர்சனம்	examine
gbésè	சலுகை	die
gbìnyànjú	முயற்சி	endeavour
gbìyànju	கடுமையாக முயற்சிக்கவும்	try
gbódò	வேண்டும்	must
gbónmisi	சட்டம்	strife
gbúnùn	முகர்ந்து பார்	hostile
gbọ́dọ̀	வேண்டும்	must
geesi	ஆங்கிலம்	english
geneva	ஜெனீவா	geneva
genevieve	genvieve	genevieve
georgia	ஜார்ஜியா	georgia
german	ஜெர்மன்	german
gfaj	gfaj	gfaj
ghana	கானா	ghana
gidigidi	மிகவும்	significantly
gidí	வீடு	real
goemai	goemai	goemai
gomina	கவர்னர்	governor
gorgina	கழுகு	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	கிராமி	grammy
griiki	கிரேக்கம்	greek
groove	பள்ளம்	iho
guanínì	guanni	guanine
guinea	கினியா	guinea
guineabissau	கினியாபிசாவு	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	நீண்டது	stretch
gunle	துப்பாக்கி	arrive
guusu	தெற்கு	south
gv	ஜி.வி.	gv
gèésì	பசை	english
gèésì	மாணிக்கம்	english
gégé	உண்மையில்	like
gírámà	கிராம்ப்ஸ்	grammar
gòkè	மேலே செல்	climb
gún	துளைத்தது	properly
gúúsù	தெற்கு	south
gẹ̀ẹ́sì	ஆங்கிலம்	english
habsburg	ஹாப்ஸ்பர்க்	habsburg
haggai	வழிகாட்டி	haggai
haiti	ஹைட்டி	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	கடினமானது	lile
haughton	ஹொட்டன்	haughton
hausafulani	hausafulani	hausa fulani
hawaii	ஹவாய்	hawaii
heinrich	ஹென்ரிச்	heinrich
hendu	மிட்டாய்	hendu
henny	மருதாணி	henny
heraklion	ஹெராக்லியன்	heraklion
hesse	ஒப்புக்கொண்டது	hesse
him	அவரை	un, this term is sexless
hindu	hindu	hindu
histoni	ஹிஸ்டோனி	histones
hominidae	ஹோமினிடே	hominidae
hosea	ஹோசியா	hosea
hp	hp	hp
hugh	ஹக்	hugh
hun	ஹன்	knit
hungari	பட்டினி	hungary
hv	எச் வி	hv
ibalo	விவகாரம்	relationship
ibarepo	சங்கம்	friendship
ibeji	இரட்டையர்கள்	twins
ibewo	வந்துவிட்டது	visit
ibiamusin	சரணாலயம்	colony
ibile	பாரம்பரிய	municipality
ibimo	பிறப்பு	birth
ibise	பயிற்சி	official
ibiti	இடங்கள்	where
ibn	ibn	ibn
ibojì	கல்லறை	burial ground
ibori	முக்காடு	conquest
ibujoko	பெஞ்ச்	place of abode
ibuseripadabosi	இடமாற்றம்	eternity
ibuso	சண்டை போட	bus stop
ibùdó	முகாம்	settlement, seat of, area,
ibùjókòó	இருக்கை	settlement
iceland	ஐஸ்லாந்து	iceland
idagbasoke	வளர்ச்சி	development
idagbe	புறக்கணிப்பு	isolation
idaji	பாதி	half
idajo	நீதி	judgement
idamita	வரை	sector
idari	கட்டுப்பாடுகள்	control
ideraa	எழுத	comfort
idimule	கைது	establishment
idoma	வரைதல்	idoma
idupe	நன்றி	thanksgiving
idánwò	சோதனை	examination
ifija	மீன்பிடித்தல்	weapon
ifilole	ஏவுதல்	resolution
ifitonileti	தகவல்	reporting
ifobaje	ஊழல்	coronating
ifofinde	காங்கிரஸ்	prohibition
ifriqiya	தூண்டுதல்	ifriqiya
igbeduro	தயாரிப்பு	institute
igbegun	வெற்றி	declaration of war
igberiko	புறநகர்	region
igbesoke	மேம்படுத்தல்	upliftment
igbeyawo	திருமண	marriage
igbowolori	விலை உயர்ந்தது	inflation
igbá	கோழி	shell
igbáẹ̀yìn	கடைசி ஒன்று	shell
igitòròmogbè	பிராட்பேண்ட்	willow tree
ihan	தோன்றுதல்	ray
ihinrere	நற்செய்தி	gospel
ijagun	சண்டை	war
ijakadi	போராட்டம்	wrestling
ijaya	பீதி	fear
ije	இயக்கம்	eating
ijinnasi	இயற்பியல்	the wind open
ijosin	வழிபாடு	worship
ijó	நடனம்	dance
ikan	ஒன்று	one of
ikandinlogun	பதினெட்டு	nineteen
ikaowo	மரியாதை	finger
ikejidinlogun	பதினெட்டு	eighteen
ikeko	தொகுப்பு	education
ikerin	நான்காவது	fourth
iketa	மரபுரிமையாக	third
ikoenu	பாதுகாக்க	union
ikojopo	குவிப்பு	collection
ikoreokere	அறுவடை	migration
iku	இறப்பு	death
ikúgbaèyí	இப்போது	death-has-this
ikún	நிரப்புதல்	squirrel or wild rodent
ilagbolojo	விளம்பரம்	latitude
ilana	செயல்முறை	procedure
ilanaoye	உத்திகள்	knowledge procedure
ilaodo	பாதுகாக்க	cana
ilaorun	சூரிய உதயம்	west
ileasofin	சட்டமன்றம்	house of law,
ilegiga	வீடு	higher ground or higher plain
ileife	புறக்கணிப்பு	ile-ife
ileigbimo	ஒப்புதல்	house of assembly/congress
ileobaluaye	உலகம்	high chief
ileru	உலை	volcanic
ilopo	இரட்டை	times
iluoba	குடியுரிமை	king's town
iluorilejoba	உலகமயமாக்கல்	capital city
ilé	வீடு	house
iléayé	வீடு	earth
iléisé	வீடு	workplace
ilélódò	வீடு	ile-lodo
iléàtèéré	வீடு	ile-ateere
iléńlá	முற்றம்	ile-nla (area)
ilẹ	தரையில்	land
ilẹ̀ayé	பூமி	the world
iminle	கைது செய்ய	earthquake
imoero	மின்னல்	engineering
imojuto	பராமரிப்பு	protection
imusin	வரை	colony
imú	மூக்கு	nose
imúnisìn	சுகாதாரம்	slavery
inagberingberi	வேர்க்கடலை வெண்ணெய்	electromagnetic force
indeed	உண்மையில்	paapa julo
indus	indus	indus
inkosi	நியாயப்படுத்த	inkosi
integration	ஒருங்கிணைப்பு	ifowosowopo
inágbéringbérin	பதினேழு	electromagnet
iní	பரம்பரை	possession
inúnibíni	துன்புறுத்தல்	hatred
ioja	மீன்	fight
ioniani	தேவைப்படுபவர்	ionian
iowa	பூமியில்	iowa
ipare	மங்கல்	abolition
ipawo	பயன்கள்	income
ipele	நிலை	stage
ipin	அத்தியாயம்	share
ipinpa	பங்கேற்பு	arm of, branch of
ipinu	முடிவு	determination
ipo	இடம்	position
ipá	படை	effort
iraja	அதிர்ச்சியூட்டும்	bargaining
iranlose	உதவி	mission
ire	விற்பனை	you
irele	பணிவு	irele
iringa	மடக்கு	iringa
irisi	தோற்றம்	appearance
irorun	மிகவும் எளிமையான	convenient
irò	வதந்தி	iro
irúnmọlẹ̀	மின்னல்	apparition
isa	போதும்	jesus, isa or yisa is hausa language
isare	முடுக்கம்	track race
isedaniloro	சுய சந்தேகம்	terrorism
iseero	வாட்ச்	engineering
isejoba	ஆளுகை	governance
iseoba	பதினைந்து	civil service
iseoroayeijoun	தொல்பொருள்	archaeology
iseowo	வணிக	business
isepinpin	விநியோகம்	division
iso	வருவதற்கு	unit
isoponomba	ஐசோபொனாம்பா	addition of numbers
isun	ஓட்டம்	spring
isesi	சரணடையுங்கள்	conduct
isè	சேவை	occupation
itali	இத்தாலிய	italy
itanakole	கதை	ancient
itelentele	தெளிவாக	coming after
itiraka	போராட்டம்	effort
itobi	தற்பெருமை	size
itokowo	வணிக	economy
itorawo	தாராளவாத	astrology
itu	வீசுவதற்கு	solution
itumo	பொருள்	meaning
iwadi	ஆராய்ச்சி	research
iwasi	ஈர்க்க	behaviour
iwifun	தகவல்	report
iwoile	வீடு	entering
iwosan	குணப்படுத்துதல்	healing
iwulo	பயனுள்ளதாக இருக்கும்	use
iwuwa	பயிற்சி	behaviour
iyan	பஞ்சம்	argument
iyato	வேறுபாடு	difference
iyawo	மணப்பெண்	wife
iyen	அது	that
iyán	வண்ண	pounded yam
iḷẹ̀	வேலை	land
iṣẹ́ìwádìí	ஆராய்ச்சி	research
jabo	அறிக்கை	give account
jackson	ஜாக்சன்	jackson
jadide	பிடி	emerge
jagbe	தொலைந்து போ	shout
jalè	திருட்டு	steal
jamaica	வலைஒளி	jamaica
jamo	போய்விடு	link
jawaharlal	ஊசலாட்டம்	jawaharial
jeffrey	ஜெஃப்ரி	jeffrey
jeometri	வடிவியல்	geometry
jesu	கிறிஸ்தவ சமயத்தை தோற்றுவித்தவர்	jesus
jfk	jfk	jfk
jije	இருப்பது	existing as
jijinna	இதுவரை	distance
jiròrò	மூடுபனி	dialogue
jo	கசிவு	days
jogun	பரம்பரை	inherit
johann	நரகம்	johann
johanu	மன்னிக்கவும்	john
jojo	கிராக்	great extent
jopò	சேர	gathered
jo	ஜான்	resemble
juneau	ஜூனோ	juneau
jàgídíjàgan	வன்முறை	violent
jáde	வெளியே வா	out
jé	வாருங்கள்	is
jéésù	கிறிஸ்தவ சமயத்தை தோற்றுவித்தவர்	jesus
jìnnàa	இதுவரை	further
jíje	இருப்பது	eating
jíjuwó	பணம் சம்பாதிப்பது	waving hands
jíjéomoléyìnkírísítì	ஒரு பரோபகாரியாக	followers of christ
jùlo	விட	most
jùlo	குறிப்பாக	most
jùló	மிக	most
jẹ́mánì	ஜெர்மன்	germany
jọ́	தயவு செய்து	together
kadara	சொத்து	destiny
kagera	பெருமை	kagera
kakiri	சுவடு	all over
kalinga	சிங்கா	kalinga
kalẹ	ஒதுக்கி வைக்கவும்	established
kampala	பிடியிலிருந்து	kampala
kan	a	one
kankan	எதுவும் இல்லை	any
kanlè	kanal	established
karbonumarun	சென்ட்ரிகேன்	5 carbon
karl	கார்ல்	karl
karun	ஐந்தாவது	fifth
karùún	ஐந்தாவது	fifth
kebbi	அனுசரிப்பு	kebbi
kekere	சிறிய	lower
keko	கல்வியறிவு	learn
kept	வைக்கப்பட்டுள்ளது	fi pamo
khoisan	தாழ்ந்த	khoisan
ki	அதனால் செய்	not
kiakiajulo	அதிவேகமான	rapidly
kiko	கொண்டு வருதல்	gathering
kikojo	தொகுப்பு	gathering
kikopomo	அரவணைப்பு	mixed
kikoso	வேகமாக	colonised
kiko	கற்றல்	making
kikuninu	கற்பனை செய்து பாருங்கள்	size
kilhar	அக்குள்	kilhar
kinkinni	சிறிய விஷயம்	small quantity
ko	அல்லது	don't
kodò	கீழே	bow
koidu	koidu	koidu
kojá	குறுக்கு	pass
kolo	கோலோ	going
komputa	கணினி	computer
kong	காங்	kong
kongo	ஆணுறை	congo
kookan	இது	one
koto	துாண்டில்	pit
koko	கற்றல்	make heap
ko	ko	learn
kori	இனி இல்லை	not found
krio	krio	krio
ku	நீங்கள்	remain
kwara	உரையாற்றினார்	kwara
kàríbẹ́ánì	பிராந்தியத்தில்	carribean
kàyéfì	ஆச்சரியம்	amazement
ká	of	we
kánfinkése	புத்தி கூர்மை	prolonged
kánádà	நிச்சயமாக	canada
káyé	உலகம்	world
kéesì	அபத்தமானது	keesi
kékéèké	சிறிய	small
kétu	ஆயத்தமாக இரு	ketu
kémíkà	மாறாக	chemical
kéyìn	பின்னர்	come after,
kìnní	முதல்	first
kí	வாழ்த்து	not
kíko	படிப்பு	written
kíkọ́	கற்றுக்கொள்ள	learning
kínu	முத்தம்	greet
kírísìtì	கிறிஸ்துமஸ்	christ
kòjòkú	மழை	kojoku
kòkó	சுட்டி	cocoa
kòmpútà	கணினி	computer
kòtò	ஒரு குழி	pit
kòòsí	அது அல்ல	coaching
kòòkan	ஒவ்வொன்றும்	each
kógo	மகிமை	glorious
kóra	சேகரிக்க	participate
kùkú	எல்லாவற்றிற்கும் மேலாக	eventually
kùrání	குர்ஆன்	quran
kúkú	எல்லாவற்றிற்கும் மேலாக	now
kúkúrú	சுருக்கமாக	short
kúrò	தொலைவில்	away
kútò	எல்லாம்	kuto (place)
kúùkù	மாறாக	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	நான்காவது	4
kẹsàán	உடனே	ninth
kẹta	மூன்றாவது	third
kẹ́nyà	பிரிப்பு	kenya
kọjá	பாஸ்	pass through
kọ̀mpútà	கணினி	computer
kọ́kọ́	முதல்	first
kọ́lọ́mú	நெடுவரிசைகள்	breast owner
kọ́ni	பற்றாக்குறை	teach
laa	போய்விடு	will
laada	உதை	good fortune
laaka	தலைகீழ்	important
laarin	உள்ளே	between
labalaba	பட்டாம்பூச்சி	butterfly
labee	அடியில்	under
lade	லேட்	crowned
laid	போடப்பட்டது	tele
laifi	தவறு	without
languages	மொழிகள்	ede
lanka	லங்கா	lanka
lasile	வெளியீடு	laid out
latibe	அங்கு இருந்து	from there
latigbana	அப்போதிருந்து	from then on
latini	லத்தீன்	latin
latvia	லாட்வியா	latvia
lay	லே	da
le	முடியும்	can
leboa	லெபோ	leboa
lekun	தீவிரமடைந்தது	open door
leo	லியோ	leo
lese	அஞ்சல்	firmly
less	குறைவாக	okeresi
lewaju	தொடர்ந்து	front
