$	dollar təşkil edib	dollar
bitne	vacibdir	important
bitno	vacibdir	important
biva	biva	being
bivaju	onlar	are
bivša	ex	ex
bivše	ex	former
bivšeg	ex	former
bivši	ex	former
bivših	ex	former
bivšoj	əvvəlki	ex
bića	varlıqlar	being
biće	olmaq	being
bjelančevina	zülal	protein
bjelorusija	belarusiya	bjelorusija
bjelorusije	belarusiya	belarus
bježi	qaçmaq	runs
blagaj	nağd	blagaj
blage	mülayim	mild
blago	xəzinə	mild
blaž	blaž	blaž
blaža	mülayim	blazo (name)
blažić	blažić	blazic
bliski	yaxın	close
bliskom	yaxın	close
blizini	yaxınlıqda	close
blizu	yaxın	close
bliže	yaxınlaşdı	closer
blog	blog	blog
blok	blok	bloc
bloka	blok	blocks
blokova	bloklar	blocks
boas	boas	boas
boban	boban	boban
bobovac	bobovac	bobovac
bodova	xallar	points
bog	allah	god
boga	allah	god
bogat	zəngin	rich
bogata	zəngin	rich
bogate	zəngin	rich
bogati	zəngin	rich
bogatih	zəngin	rich
bogatim	zəngin	rich
bogato	zəngin	rich
bogatstva	sərvət	wealth
bogatstvo	sərvət	wealth
bogatu	zəngin	rich
boginja	ilahə	goddess
bogova	tanrıların	gods
bogovi	tanrılar	gods
bogovima	tanrılara	gods
bogu	allah	god
bohemian	bohem	bohemian
boja	rəngi	color
bojama	rənglər	colours
boje	rənglər	color
boji	rənglər	color
bojom	rəngi	color
boju	rəngi	color
boksit	boksit	bauxite
bol	bol	pain
bola	ağrı	pain
bolesnik	xəstə	patient
bolesnika	xəstələr	patients
bolest	xəstəlikdir	dissease
bolesti	xəstəliklər	disease
bolestima	xəstəliklər	diseases
boleyn	ağrı	boleyn
boli	acıyor	aches
bolja	daha yaxşı	better
bolje	daha yaxşı	better
bolji	daha yaxşı	better
bolnica	xəstəxana	hospital
bolova	ağrı	pain
bomba	bomba	bomb
bombe	bomba	bombs
bonaparte	bonapart	bonaparte
bonus	bonus	bonus
bora	bora	pine
borac	döyüşçü	borac
boraks	borax	borax
boravak	qalmaq	residence
boravka	qalmaq	stay
borba	mübarizə	fight
borbama	döyüşlər	fights
borbe	döyüşlər	fights
borbeni	kombinativ	fighter
borbi	döyüşlər	battle
borbu	mübarizə	battle
bore	buruq	bora
bori	döyüşlər	fights
borili	vuruşdu	fought
borio	vuruşdu	fighted
boris	boris	boris
borić	mübarizə	boric
bos	bos	bosnian
bosanci	bosniyalılar	bosnians
bosanska	bosniya	bosnian
bosanske	bosniya	bosnian
bosanski	bosniya	bosnian
bosanskih	bosniya	bosnian
bosanskim	bosniya	bosnian
bosansko	bosniya	bosnian
bosanskog	bosniya	bosnian
bosanskoga	bosniya	bosnian
bosanskohercegovačka	bosniya və herseqovina	bosnian-herzegovinian
bosanskohercegovačke	bosniya	bosnia and herzegovina
bosanskohercegovački	bosniya	bosnian-herzegovinian
bosanskohercegovačkih	bosniya və herseqovinanın	bosnian
bosanskohercegovačkog	bosniya və herseqovinanın	bosnian-herzegovinian
bosanskoj	bosniya	bosnian
bosanskom	bosniya	bosnian
bosanskome	bosniya	bosnian
bosansku	bosniya	bosnian
bosančica	bosniya	bosancica
bosančicom	bosniya	bosnian cyrillic script
bosna	bosniya	bosnia
bosne	bosniya	bosnia
bosni	bosniya	bosnia
bosnom	bosniya	bosnia
bosnu	bosniya	bosnia
bozon	boson	boson
bočne	yanal	sideways
boško	boško	bosko
bošnjaci	bosniya	bosnian
bošnjacima	bosniya	bosnians
bošnjak	bosniya	bosniak
bošnjaka	bosniya	bosniacs
bošnjake	bosniya	bosnians
bošnjani	bosniyalılar	bosnians
bošnjačka	bosniya	bosniac
bošnjačke	bosniya	bosnian
bošnjački	bosniya	bosnian
bošnjačkih	bosniya	bosnian
bošnjačko	bosniya	bosnian
bošnjačkog	bosniya	bosnian
božanstva	tanrılar	deity
bože	allah	god
božiji	allahdan	gods
božić	milad	bozic
br	yox	nr.
brak	evlilik	marriage
braka	evlilik	marriage
braku	evlilik	marriage
brane	bənd	defend
brani	müdafiə etmək	defends
branislav	branislav	branislav
branko	branko	branko
brat	qardaşı	brother
brata	qardaşı	brother
bratstvo	qardaşlıq	brotherhood
bratu	qardaşı	brother
bratunac	əmiuşağı	bratunac
brazil	braziliya	brazil
braća	qardaşları	brothers
braće	qardaşları	brothers
brda	təpələr	hills
brdo	təpə	hill
brdski	təpəli	mountain
brdu	təpə	hill
bregović	bregović	bregović
breza	ağcaqayın	birch
brigade	briqada	brigade
brijeg	təpə	hill
brijegu	təpə	hill
brine	narahat edir	deals
britanaca	i̇ngilislərin	britons
britanci	i̇ngilislər	british
britanija	britaniya	britain
britanije	britaniyanın	britain
britaniji	britaniya	britain
britannica	britaniya	britannica
britanska	i̇ngilis	british
britanske	i̇ngilis	british
britanski	i̇ngilis	british
britanskih	i̇ngilis	british
britanskog	i̇ngilis	british
brod	gəmi	boat
broda	gəmi	ship
brodova	gəmilər	ships
brodovi	gəmilər	ships
brodu	gəmi	ship
broj	nömrə	number
broja	nömrə	number of
brojem	sayına görə	number
brojeva	nömrələri	numbers
brojevi	nömrələri	numbers
brojevima	nömrələri	numbers
broji	sayır	counts
brojna	çoxsaylı	number of
brojne	çoxsaylı	numerous
brojni	çoxsaylı	many
brojnih	çoxsaylı	many
brojnim	çoxsaylı	numerous
brojnost	bolluq	number of
broju	nömrə	number
bronhiole	bronxiolalar	bronchi
bronzanog	bürünc	bronze
bruno	bruno	giordano
brusnica	zoğal	cranberry
bruto	ümumi	gross
brz	sürətli	quick
brza	sürətli	quick
brze	sürətli	fast
brzi	sürətli	fast,quick
brzina	sürət	speed
brzine	sürət	speed
brzinom	sürət	speed
brzinu	sürət	speed
brzo	sürətli	fast
brčko	brčko	brcko
brže	daha sürətli	faster
brži	daha sürətli	faster
bubojedi	böcəklər	insectivora
bubrega	böyrək	kidneys
bubrezi	böyrəklər	kidneys
bude	olacaq	be
budi	olmaq	wake
budizam	buddizm	buddhism
budu	edərəm	be
buduće	gələcək	future
budućeg	gələcəyin	future
budući	gələcək	since
budućnost	gələcək	future
budućnosti	gələcəyin	future
buenos	yaxşı	buenos
bugari	bolqarlar	bulgarians
bugarska	bolqarıstan	bulgarian
bugarske	bolqar	bulgarian
bugarski	bolqar	bulgarian
bugarskoj	bolqar	bulgarian
bugarskom	bolqar	bulgarian
bugojno	bugojno	bugojno
buha	buha	buha
buhe	buhe	fleas
bukal	bukal	bukal
bukvalno	eynən	literally
bune	bune	uprising
busenje	qazma	sod
busovača	busovača	busovacha
bužim	bužim	buzim
byron	byron	byron
c	c	c (letter)
ca	ca.	ca
california	kalifornia	california
car	maşın	emperor
cara	cara	king
carem	padşah	king
careva	imperatorları	tsar`s
carevine	imperiya	kingdom
carigrad	konstantinopol	constantinople
carigrada	konstantinopol	constantinople
carl	carl	carl
carske	kral	royal
carski	imperial	regal
carstva	imperiya	empires
carstvo	səltənət	kingdom
carstvom	imperiya	empire
carstvu	səltənət	empire
cazin	cazin	cazin
cd	cd	cd
ce	edəcək	tse
ceca	ceca	ceca
celuloza	selüloz	cellulose
centar	mərkəz	center
centara	mərkəzləri	centers
centar|p|	mərkəzi | p |	center
center	mərkəz	center
centimetar	santimetr	centimeter
centra	mərkəz	center
centralna	mərkəzi	central
centralne	mərkəzi	central
centralni	mərkəzi	central
centralnog	mərkəzi	central
centralnoj	mərkəzi	central
centralnom	mərkəzi	central
centre	mərkəz	centers
centri	mərkəzləri	centers
centrima	mərkəzləri	center
centrom	mərkəz	center
centru	mərkəz	center
ceremonija	mərasimi	ceremony
cervantes	servantes	cervantes
cesta	yol	roads
ceste	yollar	roads
cezar	sezar	caesar
cezara	sezar	caesar
cezijum	sezium	cesium
charles	çarlz	charles
chicago	çikaqo	chicago
christian	xristian	christian
cia	cia	cia
cifara	rəqəmli	numbers
cijela	bütöv	entire
cijele	bütöv	entire
cijeli	bütöv	the whole
cijelim	bütöv	all
cijelo	bütün	whole
cijelog	bütün	whole
cijeloj	bütün	entire
cijelom	boyunca	the whole, full
cijelu	bütün	the whole
cijena	qiymət	price
cijene	qiymətlər	prices
cijeni	qiymət	price
cijev	boru	tube
cijevi	borular	pipes
ciklus	dövrü	cyclus
ciklusa	dövrü	cycle
cilj	qol	goal
cilja	qol	goal
ciljem	qol	to
ciljeva	qollar	goals , objectives, targets
ciljeve	qollar	goals
ciljevi	qollar	objectives
cilju	qol	trying
cinabarit	cinnabar	cinnabar
cink	sink	zirconium
cinka	sink	zinc
cirkonijum	zirkonyum	zirconium
civila	mülki şəxslər	civilians
civilizacija	sivilizasiya	civilization
civilizacije	sivilizasiya	civilizations
civilizaciju	sivilizasiya	civilization
cjelina	bütöv	whole
cjeline	toptanlar	unity
cjelini	bütöv	globally
cjelinu	bütöv	whole
cjelokupne	ümumilikdə	entire
cjelokupnu	ümumilikdə	whole
co	co	co
columbia	kolumbiya	columbia
cpu	cpu	central processing unit
crijeva	bağırsaqlar	bowels
crijevo	hortum	intestine
crkava	kilsələr	churches
crkva	kilsə	church
crkve	kilsələr	church
crkvene	dindar	church
crkveni	dindar	canonical
crkvi	kilsə	church
crkvom	kilsə	church
crkvu	kilsə	church
crna	qara	crna
crne	qara	black
crni	qara	black
crnih	qara	black
crnim	qara	black
crno	qara	black
crnog	qara	black
crnogorci	monteneqro	montenegrins
crnogorski	monteneqro	montenegrian
crnoj	qara	black
crnom	qara	black
crnomorskom	qara dəniz	black sea
crnu	qara	black
croatia	xoruziya	croatia
crossfire	çarpaz atəş	crossfire
crt	crt	crt
crta	xətti	line
crvena	qırmızı	red
crvene	qırmızı	red
crveni	qırmızı	red
crvenih	qırmızı	red
crvenim	qırmızı	red
crvenog	qırmızı	red
crvenom	qırmızı	red
cu	ilə	copper
cup	kubok	cup
cvijet	çiçək	flower
cvijeta	çiçək	flower
cvijeće	çiçəklər	flowers
cvjeta	çiçək açır	flowers
cvjetovi	çiçəklər	flowers
da	bəli	yes
daje	bu əgər	gives
daju	onlar verdiler	give
dajući	verən	giving
dakle	belə ki	so
dala	verdi	given
daleko	uzaq	far
dali	olsun	dali
dalje	daha	on, beyond
daljem	daha	further
dalji	daha	further
daljnje	daha	further
dalmacija	dalmatiya	dalmatia
dalmacije	dalmatiya	dalmatia
dalmaciji	dalmatiya	dalmatia
dalo	verdi	gave
damir	damir	damir
dan	gün	day
dana	günlər	days
danas	bu gün	today
današnja	bugünkü	todays
današnje	bu gün	todays
današnjeg	bu gün	present
današnjem	bu gün	todays
današnji	bugünkü	today
današnjih	bu gün	today
današnjim	bugünkü	today's
današnjoj	bugünkü	present
dane	hə yox	days
dani	günlər	dani
daniel	daniel	daniel
danima	günlər	days
danska	danimarka	denmark
danske	danimarkalı	denmark
danski	danimarkalı	danish
danskoj	danimarkalı	denmark
dante	dante	dante
dao	verdi	gave
darko	darko	darko
darwin	darvin	darwin
dat	dat	given
date	tarix	date
dati	vermək	to give
datira	tanışlıq	dates
datiraju	tanışlıq	date
datoteci	fayl	file
datoteka	fayl	file
datoteke	sənədlər	files
datoteku	fayl	files
datum	tarix	date
datuma	tarix	date
davao	verdi	giving
davati	vermək	give
david	david	david
davis	davis	davis
davnina	antik dövr	from long time ago
davno	uzun müddət əvvəl	long ago
davor	davor	davor
davorin	davorin	davorin
daytonskog	of dayton	dayton
dd	dd	"short term for  ""drustvena djelatnost"" which means group activity company"
de	de	de
debelog	qalın	thick
decembra	dekabr	december
decembru	dekabr	december
decenija	onillik	decades
decenijama	onilliklər	decades
decenije	onilliklər	decade
dedić	baba	dedic
definicija	tərif	definition
definicije	təriflər	definitions
definiciji	tərif	definition
definiciju	tərif	definition
definira	müəyyənləşdirir	to definite
definisan	müəyyənləşdirilib	defined
definisana	müəyyənləşdirilib	defined
definisati	müəyyənləşdirmək	define
definitivno	mütləq	definitely
definiše	müəyyənləşdirir	define
dei	dei	dei
dejtonski	dayton	dayton
deklaracija	bəyannamə	declaration
dekonstrukcija	dekonstruksiya	deconstruction
del	del	part
delfi	delfi	delfi
della	of	della
delta	delta	delta
delčev	fraqmentləri	delchev
demografija	demoqrafiya	demography
demokratija	demokratiya	democracy
demokratije	demokratiya	democracy
demokratiju	demokratiya	democracy
demokratska	demokratik	democratic
demokratske	demokratik	democratic
demokratski	demokratik	democratic
denominacije	məzhəblər	denominations
departmana	şöbə	department
derivacija	törəmə	derive
derivat	törəmə	derivative
derivati	törəmələri	derivatives
derventa	derventa	dervent
derviš	dərviş	dervish
derviša	dərviş	dervish
deset	on	ten
desetak	bolluca	ten
desetine	onlarla	tens
desetljeća	onilliklər	decades
desilo	oldu	occured
desio	desio	happened
desiti	haradasan	happen
desktop	masaüstü	desktop
desne	sağ	right
desno	sağ	right
desnoj	sağ	right
desnom	sağ	right
desnu	sağ	right
detalja	təfərrüatları	details
devedesetih	doxsanlarla	the nineties
dezinflacija	dezinflyasiya	disinflation
dešava	olur	happens
dešavanja	hadisələr	events
di	di	di
die	the	german word
digitalne	rəqəmsal	digital
digitalni	rəqəmsal	digital
digitalnih	rəqəmsal	digital
dijagnoza	diaqnoz	diagnosis
dijalekt	ləhcəsi	dialect
dijalekta	ləhcəsi	dialect
dijamant	almaz	diamond
dijaspora	diaspor	diaspora
dijela	hissəsi	parts
dijele	paylaşmaq	divide
dijeli	səhmlər	divide
dijelom	hissəsində	part
dijelova	hissələri	parts
dijelove	hissələri	parts
dijelovi	hissələri	parts
dijelovima	hissələri	parts
dijelu	hissəsi	part
dijete	uşaq	diet
diktature	diktatura	dictature
dimenzija	ölçü	dimensions
dimenzije	ölçüləri	dimensions
din	din	din
dinamo	dinamo	dinamo
dinar	dinar	dinar
dinastija	sülalə	dynasty
dinastije	sülalə	dynasties
dino	dino	dino
dio	hissəsi	part
dioksid	dioksid	dioxide
dioksida	dioksid	dioxide
dionica	fond	section
dionice	səhmlər	stocks
dioničar	səhmdar	stock holder
direktno	birbaşa	directly
direktor	direktor	director
disanja	nəfəs alır	breathing
disanje	nəfəs alır	breathing
disciplina	intizam	discipline
discipline	intizam	discipline
disipacija	dağılma	dissipation
disk	disk	disk
diska	disk	disk
diskografija	diskoqrafiya	discography
disku	disk	disc
distribucija	paylanması	distribution
distribucije	paylanması	distribution
distrikt	rayonu	district
distrikta	rayonu	district
diuretik	diüretik	diuretic
divizija	bölmə	division
divizije	bölmə	division
divlje	vəhşi	wild
dizajn	dizayn	design
dizajna	dizayn	design
dizdar	dizdar	dizdar
djeca	uşaqlar	kids
djece	uşaqlar	kids
djeci	uşaqlar	children
djecom	uşaqlar	children
djecu	uşaqlar	kids
djela	işləyir	works
djelatnost	fəaliyyət	activity
djelatnosti	fəaliyyətlər	activities
djelima	əməllər	works
djelimično	hissəsində	partly
djelo	işləmək	deed
djelom	hissəsində	part
djelomično	qismən	partly
djelovanja	tədbirlər	actions
djelovanje	fəaliyyət	action
djelovanjem	hərəkətlə	acting
djelovanju	fəaliyyət	action
djelovima	hissələri	parts
djelu	işləmək	work
djeluje	işləyir	works
djeluju	hərəkət etmək	work
djeteta	uşaq	child
djetinjstva	uşaqlıq	childhood
djetinjstvo	uşaqlıq	childhood
djetinjstvu	uşaqlıq	childhood
djevojka	qız	girl
djevojčica	qız	little girl
djevojčice	qızlar	girl
dječja	uşaqlar	children's
dnevna	gündəlik	daily
dnevne	gündəlik	daily
dnevnih	gündəlik	daily
dnevno	gündəlik	daily
dno	alt	bottom
dns	dns	dns
dnu	alt	bottom
do	üçün	to
dob	yaş	age
doba	yaş	age
dobar	yaxşı	good
dobara	yaxşı	goods
dobi	yaş	age
dobija	alınıb	got
dobijaju	onlar alırlar	get
dobijali	alınıb	received
dobijanje	əldə etmək	obtaining
dobije	olur	receive
dobiju	onlar alırlar	get
dobila	alınıb	received
dobile	alınıb	got
dobili	var	got
dobilo	alınıb	gained
dobio	alınıb	got
