aajo	смешно	hospitality
charles	цхарлес	charles
chaskalson	цхаскалсон	chaskalson
chebbi	мисли	chebbi
cherished	његован	mu lokunkundun
china	кина	china
cipollone	циполлоне	cipollone
clear	јасно	danmanran
code	код	code
coetsee	цоетсее	coetese
coloured	обојено	alawo dudu
coming	долази	yo jade
compared	у поређењу	does not directly translate
computers	рачунари	komputa, ero ayarabiasa
csto	цсто	csto
ct	цт	ct
cunha	грло	cunha
da	и	back; but in this form it is unnecessary
dagbasoke	одрастати	developing
dandan	обавезно	a must
dani	држање	hand-held
darapo	придружити	joinedd
daru	уништити	scattered
dates	датуми	pada si
delhi	немој	delhi
denver	денвер	denver
des	дес	des
describes	описује	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	десмонд	desmond
development	развој	idagbasoke
didagba	једнакост	growing
didasile	оснивање	established
different	различит	iyato
din	пржити	reduced
dinwoju	потражити	suitable
divoire	дивоире	d'ivoire
doju	лице у лице	face
dojú	лице у лице	turn face (full phrase is doju ko, to face)
dominic	доминик	dominic
doni	дони	this day
dote	доте	rebel
doublehelix	доублехелик	hiliksi abara meji
doublestrand	доублестранд	double-strand
dover	довер	dova
du	ду	hustle
due	услед	nitori
dun	укусно	sound
dàbíi	овако	like
dàpò	замените их	mix
dá	креирано	intervene
dágbó	старост	forest
dájó	у реду	pass judgement
dálóríi	хвала вам	about
dáradára	добро	well
dásà	а цаса	peculiar way of saying
dáwó	донирати	undertake
dé	стигао	reach
délànà	у принципу	delana
dépò	у мери	to a position
dì	лист	be
dìde	настају	stand
dìró	на десној	hang on
dìtẹ̀	удруживати	rebel
díè	напет	few
dóko	добро	upstanding
dólà	добро	dollar
dún	звук	sound
dúró	стајати	stand (been in existence)
dọ́gba	једнак	equal
ea	да	ea
eba	еба	shore
ebi	породица	family
ecomog	ецомог	ecomog
ede	језик	language
efrem	еффем	efrem
egba	апсолутно	cane
egbe	пиштољ	group
egberundun	хиљаду година	a thousand year
egbo	рана	brother
egbé	јао	party
egbò	рана	chemicals
egbògi	медицински	don't know this
eighteen	осамнаест	ejidinlogun
eka	комплекс	branch, department, part
ekeji	други	second
eko	образовање	lagos
elede	свиње	speaker
eleyi	ово	this
eleyii	овако	this
elláda	стварање	ellada
eléde	апстрактан	pig
eléré	атлета	performer
elòmírà	морске алге	freedom
elòmíràn	други	another person
emerging	у настајању	ibere-pese
emmanuel	еммануел	emmanuel
enikéni	сви	whoever
enter	уђи	wole
enì	слон	person
eníbá	грозница	such person
epa	кикирики	groundnut
ernst	ернст	ernst
erofo	седимент	swamp
erékùsù	острво	island
eréonítàn	акроним	written play
eseese	дијаграм	step by step
esia	долази	asia
esteri	естери	ester
etisalat	етисалат	etisalat
etymologiae	етимологије	etymologiae
etíòkun	обала	beach
euro	евро	euro
euroasia	еуроасиа	uro-esia
ewe	лист	ewe
ewé	лист	leaf
ewì	поезија	traditional poem
example	пример	apere
eya	категорија	tribe
eyin	јаја	previous
eyonomba	еиономба	digit
eléja	риболов	fisherman
elòmíràn	неко други	another person
eka	ефекат	branches
eléyàmèyà	националност	tribalism
enu	уста	mouth
esin	религија	horse
esè	приходи	leg
ewà	понашања	beauty
fagile	отказано	cancel
fail	неуспех	padanu
fan	лепеза	spread
faramó	придржавају	accept
faranse	француски	french
farsi	арти	farsi
felifeli	баршун	fuming
ferde	ферде	verde
fesèmúlè	привремени извор	established
fe	желео	want
fi	сачувати	by
fifihan	показивање	revealed
fihan	назначено	shows, to show
fimú	оштро дефинисано	captivate with
finiki	стање	finiki
finlandi	финска	finland
fitino	суђење	judgement
five	пет	marun
fodio	фодио	fodio
fofinde	забрана	prohibited
fohùn	узвик	consent
foniimu	филм	phoneme
force	сила	agbara
foriko	на пример	agreed
fourbase	фоурбасе	onidi-merin
fowobowe	боокинг	signed
fowó	за новац	sign
fracmv	фрацмв	does not translate
francis	францис	francis
fransi	француски	france
freetown	фреетовн	freetown
fuji	уклони	fuji
fulani	кукавички	fulani
fulbe	фул	fulbe
fun	за	for
funra	себе	suspect
further	даље	si
fé	фе	like
fé	фе	want
fégbé	заборави	for peers
fífò	лети	jumping
fífún	давање	giving
fòye	разумети	rationalise
fẹ́rẹ̀ẹ́	скоро	nearly
galatia	овај пут	galatia
gba	договорити се	accept
gbajúgbujà	је веома популаран	popular
gbale	популарност	flourished
gbaná	пуцати	engulf in flame/rage
gbe	носити	set up
gbera	ићи даље	move
gberasoke	убрзај	rising
gbese	дуг	debt
gbigbamulo	експлоатација	adopted
gbigbewo	финансирање	examined
gbilè	избити	gaining ground
gbin	посађено	farm
gbogbogbo	генерал	general
gbongbo	корен	root
gbàgbọ́	верујем	believe
gbàgùrà	уздрмао	gbagura
gbá	разбити	received
gbáradì	устани	prepare
gbé	уживо	convey
gbédìí	успоставити	respect
gbékalè	столар	establish
gbéni	уживо	lift
gbéyèwò	преглед	examine
gbésè	понуда	die
gbìnyànjú	покушати	endeavour
gbìyànju	потруди се више	try
gbódò	мора	must
gbónmisi	закон	strife
gbúnùn	помириши	hostile
gbọ́dọ̀	мора	must
geesi	енглески језик	english
geneva	генева	geneva
genevieve	геневиеве	genevieve
georgia	георгиа	georgia
german	немачки	german
gfaj	гфај	gfaj
ghana	гана	ghana
gidigidi	врло	significantly
gidí	куца	real
goemai	гоемаи	goemai
gomina	гувернере	governor
gorgina	орао	gorgina
gquadruplex	гкуадруплек	g-gigalonomerin
grammy	грамми	grammy
griiki	грчки	greek
groove	утор	iho
guanínì	гуанни	guanine
guinea	гвинеја	guinea
guineabissau	гуинеабиссау	guinea bissau
guinébissau	гуинебиссау	guinea bissau
gun	дуго	stretch
gunle	пиштољ	arrive
guusu	југ	south
gv	гв	gv
gèésì	лепак	english
gèésì	драгуљ	english
gégé	стварно	like
gírámà	грампс	grammar
gòkè	иди горе	climb
gún	пробијен	properly
gúúsù	југ	south
gẹ̀ẹ́sì	енглески језик	english
habsburg	хабсбург	habsburg
haggai	водич	haggai
haiti	хаити	haiti
halomonadaceae	халомонадацеае	halomonadaceae
hard	тешко	lile
haughton	хаугхтон	haughton
hausafulani	хаусафулани	hausa fulani
hawaii	хаваји	hawaii
heinrich	хеинрицх	heinrich
hendu	бомбона	hendu
henny	хенни	henny
heraklion	хераклион	heraklion
hesse	договорили	hesse
him	њега	un, this term is sexless
hindu	хинду	hindu
histoni	хистони	histones
hominidae	хоминидае	hominidae
hosea	хосеа	hosea
hp	хп	hp
hugh	хугх	hugh
hun	хун	knit
hungari	гладовање	hungary
hv	хв	hv
ibalo	афера	relationship
ibarepo	удруживање	friendship
ibeji	близанци	twins
ibewo	дошло	visit
ibiamusin	уточиште	colony
ibile	традиционални	municipality
ibimo	рођење	birth
ibise	разрадити	official
ibiti	места	where
ibn	ибн	ibn
ibojì	гроб	burial ground
ibori	вео	conquest
ibujoko	клупа	place of abode
ibuseripadabosi	надокнаду	eternity
ibuso	свађати се	bus stop
ibùdó	камп	settlement, seat of, area,
ibùjókòó	седење	settlement
iceland	исланд	iceland
idagbasoke	развој	development
idagbe	занемаривање	isolation
idaji	половина	half
idajo	правда	judgement
idamita	извући	sector
idari	контрола	control
ideraa	писати	comfort
idimule	хапшење	establishment
idoma	цртање	idoma
idupe	хвала вам	thanksgiving
idánwò	суђење	examination
ifija	риболов	weapon
ifilole	лансирање	resolution
ifitonileti	информације	reporting
ifobaje	корупција	coronating
ifofinde	конгрес	prohibition
ifriqiya	стимулација	ifriqiya
igbeduro	припрема	institute
igbegun	победа	declaration of war
igberiko	приградски	region
igbesoke	надоградњу	upliftment
igbeyawo	венчање	marriage
igbowolori	скупо	inflation
igbá	пилетина	shell
igbáẹ̀yìn	последњи	shell
igitòròmogbè	широкопојасни	willow tree
ihan	да се појави	ray
ihinrere	госпел	gospel
ijagun	борити се	war
ijakadi	борба	wrestling
ijaya	паника	fear
ije	кретање	eating
ijinnasi	стање	the wind open
ijosin	обожавање	worship
ijó	плеше	dance
ikan	једно	one of
ikandinlogun	осамнаест	nineteen
ikaowo	поштовање	finger
ikejidinlogun	осамнаест	eighteen
ikeko	компилација	education
ikerin	четврти	fourth
iketa	да наследи	third
ikoenu	да сачувате	union
ikojopo	акумулација	collection
ikoreokere	жетва	migration
iku	смрт	death
ikúgbaèyí	сада	death-has-this
ikún	пуњење	squirrel or wild rodent
ilagbolojo	публицитет	latitude
ilana	процедура	procedure
ilanaoye	стратегије	knowledge procedure
ilaodo	заштитити	cana
ilaorun	излазак сунца	west
ileasofin	законодавни	house of law,
ilegiga	кућа	higher ground or higher plain
ileife	занемаривање	ile-ife
ileigbimo	сагласност	house of assembly/congress
ileobaluaye	свет	high chief
ileru	пећ	volcanic
ilopo	дупло	times
iluoba	држављанство	king's town
iluorilejoba	глобализација	capital city
ilé	кућа	house
iléayé	кућа	earth
iléisé	кућа	workplace
ilélódò	кућа	ile-lodo
iléàtèéré	кућа	ile-ateere
iléńlá	двориште	ile-nla (area)
ilẹ	земља	land
ilẹ̀ayé	земља	the world
iminle	ухапсити	earthquake
imoero	осветљавање	engineering
imojuto	нега	protection
imusin	извући	colony
imú	нос	nose
imúnisìn	хигијена	slavery
inagberingberi	путер од кикирикија	electromagnetic force
indeed	заиста	paapa julo
indus	индус	indus
inkosi	оправдати	inkosi
integration	интеграција	ifowosowopo
inágbéringbérin	седамнаест	electromagnet
iní	наслеђивање	possession
inúnibíni	прогон	hatred
ioja	риба	fight
ioniani	потребан	ionian
iowa	на земљи	iowa
ipare	изблиједити	abolition
ipawo	користи	income
ipele	ниво	stage
ipin	поглавље	share
ipinpa	учешће	arm of, branch of
ipinu	одлука	determination
ipo	локацију	position
ipá	сила	effort
iraja	шокантан	bargaining
iranlose	помоћ	mission
ire	продаја	you
irele	понизност, одмереност	irele
iringa	упаковати	iringa
irisi	изглед	appearance
irorun	врло једноставна	convenient
irò	гласине	iro
irúnmọlẹ̀	муња	apparition
isa	довољно	jesus, isa or yisa is hausa language
isare	убрзање	track race
isedaniloro	сумња у себе	terrorism
iseero	гледати	engineering
isejoba	управљање	governance
iseoba	петнаест	civil service
iseoroayeijoun	археологија	archaeology
iseowo	посао	business
isepinpin	дистрибуција	division
iso	доћи	unit
isoponomba	исопономба	addition of numbers
isun	проток	spring
isesi	предаја	conduct
isè	услуга	occupation
itali	италијан	italy
itanakole	прича	ancient
itelentele	јасно	coming after
itiraka	борба	effort
itobi	да се хвалим	size
itokowo	посао	economy
itorawo	либерал	astrology
itu	бацити	solution
itumo	значење	meaning
iwadi	истраживање	research
iwasi	импресионирати	behaviour
iwifun	информације	report
iwoile	кућа	entering
iwosan	исцељивање	healing
iwulo	корисно	use
iwuwa	вежба	behaviour
iyan	глад	argument
iyato	разлика	difference
iyawo	невеста	wife
iyen	то је	that
iyán	блистав	pounded yam
iḷẹ̀	посао	land
iṣẹ́ìwádìí	истраживање	research
jabo	извештај	give account
jackson	јацксон	jackson
jadide	држи се	emerge
jagbe	залутати	shout
jalè	крађа	steal
jamaica	јутјуб	jamaica
jamo	одлази	link
jawaharlal	љуљачке	jawaharial
jeffrey	јеффреи	jeffrey
jeometri	геометрија	geometry
jesu	јесус	jesus
jfk	јфк	jfk
jije	биће	existing as
jijinna	далеко	distance
jiròrò	магловито	dialogue
jo	цурење	days
jogun	наслеђено	inherit
johann	додјавола	johann
johanu	извињавам се	john
jojo	сломљен	great extent
jopò	придружи се	gathered
jo	јохн	resemble
juneau	јунеау	juneau
jàgídíjàgan	насилни	violent
jáde	изаћи	out
jé	доћи	is
jéésù	исусе	jesus
jìnnàa	далеко	further
jíje	биће	eating
jíjuwó	зарађивати новац	waving hands
jíjéomoléyìnkírísítì	као филантроп	followers of christ
jùlo	више од	most
jùlo	посебно	most
jùló	највише	most
jẹ́mánì	немачки	germany
jọ́	молимо вас	together
kadara	имовина	destiny
kagera	хвалисав	kagera
kakiri	траг	all over
kalinga	цинга	kalinga
kalẹ	издвојити	established
kampala	копча	kampala
kan	а	one
kankan	ниједан	any
kanlè	канал	established
karbonumarun	тецентрица	5 carbon
karl	карл	karl
karun	пето	fifth
karùún	пети	fifth
kebbi	подесиви	kebbi
kekere	мала	lower
keko	писмен	learn
kept	задржан	fi pamo
khoisan	инфериорни	khoisan
ki	учини	not
kiakiajulo	најбржи	rapidly
kiko	доношење	gathering
kikojo	компилација	gathering
kikopomo	топлина	mixed
kikoso	брзо	colonised
kiko	учење	making
kikuninu	замислити	size
kilhar	пазух	kilhar
kinkinni	та ситница	small quantity
ko	или	don't
kodò	испод	bow
koidu	коиду	koidu
kojá	крст	pass
kolo	коло	going
komputa	рачунар	computer
kong	конг	kong
kongo	кондом	congo
kookan	ово	one
koto	мамац	pit
koko	учење	make heap
ko	ко	learn
kori	не више	not found
krio	крио	krio
ku	ти	remain
kwara	адресирано	kwara
kàríbẹ́ánì	у региону	carribean
kàyéfì	чудо	amazement
ká	од	we
kánfinkése	домишљатост	prolonged
kánádà	наравно	canada
káyé	свет	world
kéesì	смешно	keesi
kékéèké	мала	small
kétu	буди спреман	ketu
kémíkà	напротив	chemical
kéyìn	касније	come after,
kìnní	први	first
kí	поздравити	not
kíko	студирање	written
kíkọ́	научити	learning
kínu	љубакање	greet
kírísìtì	божић	christ
kòjòkú	киша	kojoku
kòkó	миш	cocoa
kòmpútà	рачунар	computer
kòtò	јама	pit
kòòsí	није	coaching
kòòkan	сваки	each
kógo	слава	glorious
kóra	скупити	participate
kùkú	после свега	eventually
kùrání	коран	quran
kúkú	после свега	now
kúkúrú	укратко	short
kúrò	далеко	away
kútò	све	kuto (place)
kúùkù	напротив	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	четврти	4
kẹsàán	одмах	ninth
kẹta	треће	third
kẹ́nyà	раздвајање	kenya
kọjá	пролаз	pass through
kọ̀mpútà	рачунар	computer
kọ́kọ́	први	first
kọ́lọ́mú	колона	breast owner
kọ́ni	недостатак	teach
laa	одлази	will
laada	ударац	good fortune
laaka	преокренути	important
laarin	у склопу	between
labalaba	лептир	butterfly
labee	испод	under
lade	ладе	crowned
laid	положено	tele
laifi	грешка	without
languages	језицима	ede
lanka	ланка	lanka
lasile	издање	laid out
latibe	одатле	from there
latigbana	од тада	from then on
latini	латински	latin
latvia	латвиа	latvia
lay	лежати	da
le	моћи	can
leboa	лебо	leboa
lekun	појачано	open door
leo	лео	leo
lese	пошта	firmly
less	мање	okeresi
lewaju	па надаље	front
lewon	затвор	imprisonment
leyi	ево га	mispelled...should be 'leyin', after
leè	може	can
lilelile	хардцоре	tightly
lilemo	конопља	sticky
lilongwe	лилонгве	lilongwe
lindi	луг	lindi
linear	линеарни	dogba
links	линкови	eka; this is a new word and does not really exist in yoruba
lodo	узети место	from
lojowaju	убудуће	the future
lojukokoro	похлепни	covetousness
lojúgun	опустошио је	knee
lokunkun	енергичан	in the dark
loloselu	политички	in politics
lopolopo	много	so many
loruko	име	name
louvre	лоувре	louvre
lovers	љубавници	awon olufe
low	ниска	diye
lo	настави	than
luanda	луанда	luanda
luther	лутхер	luther
lynton	линтон	lynton
làgba	једнак	more important
lààmi	знак	sign
lààmì	знакови	significant
lábé	тежина	under
láfún	дато	cassava food
láimo	без	unknown
láké	гласно	in ake
lámọ́di	богатство	lamodi
lápá	део	from
lára	повриједити	part of
lárúbáwá	природно	arabic
láì	без	without
láíláí	никад	old
lèe	моћи	can
lèyìn	после	after
lédè	на језику	language
léebá	случајно	catch up with it
lérìnín	снег	erin=laughter; the prefix 'l' is possesive
lérò	разлог	thought
léyin	после	after
léyìn	касније	after
lérú	ропство	enslave
lílo	експлоатација	using
lísa	убрзање	a chieftaincy title
lítésò	убод	literature
lóde	напољу	modern
lópez	нипез	lopez
lópó	удовица	widow
lórì	лука	on the head
lóríba	преко	subdue
lóti	лот	have
lóòótò	да	truly
lóòótọ́	заиста	truly
ló	ло	to
lónà	на путу	in a way
lórò	сутра	become wealthy
lọndọnu	лондон	london
lọ́dọọdún	сваке године	yearly
lọ́jà	на пијаци	in the market
maapu	мапа	map
madeira	беира	madeira
mahatma	махатма	mahatma
makedonia	македонија	macedonia
malabo	мед	malabo
malay	претпостављено	malay
malayopolynesian	малаиополинесиан	malayo-polynesian
malaysia	малезија	malaysia
mali	дан	mali
mango	манго	mango
manˈdeːla	манˈделала	mandela
marcellus	марцеллус	marcellus
march	марш	march
marku	овај пут	mark
mars	марс	mars
maryland	мариланд	maryland
maseru	љубомора	don't be slave
matheu	матхеу	matthew
mathiew	матхиев	mathiew
mathimatiki	математички	mathematics
max	мак	max
maya	не	maya
mbabane	негативан	mbabane
means	значи	ona (way)
mediteraneani	медитеранска	mediterranean
mefeefa	ремонт	all six
mejidinlogbon	двадесет осам	twenty eight
mejila	дванаест	twelve
meksiko	мексико	mexico
melo	колико	some
member	члан	ara
mercosur	мерцосур	mercosur
merin	четири	four
methodologies	методологије	anaoniruuru
metropoli	метрополи	metropolis
meucci	меуцци	meucci
mewar	мевар	mewar
mexico	мексико	mexico
michelle	мицхелле	michelle
micronesia	микронезија	micronesia
miiràn	олакшати	another
mimoy	мимои	mimoy
mimuwa	прилијепити	import
minnesota	минесота	minnesota
minority	мањина	awon ara kekere
mohandas	мохандас	mohandas
mokaleladota	компактан	51, (mokanleladota)
mokanlelogbon	тридесет два	thirty-one
mombasa	момбаса	mombasa
monrovia	монровиа	monrovia
morgan	морган	morgan
morogoro	моторинг	morogoro
mozambique	мозамбикуе	mozambique
mozilla	мозилла	mozilla
mtn	мтн	mtn
mtwara	изаберите поново	mtwara
mughal	запремина	mughal
mulẹ̀	успоставити	establish
munispal	муниспал	municipal
muungano	муунгано	muungano
májèmú	не смета	testament
mère	цртање	significant
méjèèjì	обоје	the two
mérindíláàdóta	педесет пет	forty-six
méte	пет	lip
mérìndínlógún	шеснаест	sixteen
mérìnlélógójì	четрдесет четири	44
méta	три	three
métèètà	столар	the three
méwàá	десет	ten
ménu	да ли мислиш	verbally contribute; complete phrase= me nu ba
mímọ́	свети	holy
míràn	други	other
míìrán	други	other
mííràn	други	other
mò	знање	know
mókólà	лепак	mokola
móra	лек	with themselves
mó	м	with
múlẹ̀	држи чврсто	select land (farmland)
mẹ́fà	шест	6
mẹ́rkúríù	миш	mercury
mẹ́ta	три	3
mẹ́talọ́kan	тројство	trinity
namibia	доћи	namibia
nathaniel	натханиел	nathaniel
nato	нато	nato
nawojulo	загонетан	highest-spending
nawó	узми свој новац	point finger
ncnc	нцнц	ncnc
nebraska	небраска	nebraska
nefimu	непхим	nefimu
neptune	нептун	neptune
nevis	невис	nevis
ngbero	планирано	planning
ngubengcuka	нгубенгцука	ngubengcuka
nibe	тамо	there
nibere	рано	earlier
nigbakan	понекад	at one time
nigbà	онда	when
nijẹr	нике	niger
nilè	овде	remaining
nisinyi	сада	at present
nitoriidieyi	због овога	because of this
nitoripe	јер	because
nitosi	у близини	nearby
niwaju	напред	in front of
niyato	разликовати	unlike
niye	довољно	in number
niyi	ево га	these
nkan	ствар	things
nkàn	рак	something
nnaji	стриц	nnaji
nobel	нобел	nobel
nombamewa	множење	decimal
nombáméjì	прва два	two-number
novo	ново	novo
nri	храна	nri
nse	дизајн	acting
nso	близу	saying
nsolaboraro	сигурност	nso laboraro
nsowikipedia	обовикипедиа	saying
ntoka	тачка	indicates
nu	чист	in
nukleotidi	нуклеотид	nucleotides
nukleotidipupo	нуклеотид	cell
numeri	укоченост	numbers
nwa	беба	drill
nàìjíríà	у нигерији	nigeria
náwo	трошак	spend money
náà	такође	that
nì	планина	is
nìnú	извињавам се	in
nìyí	то је то	this is
ní	имати	on
níbè	тамо	there
níbè	тамо	there
nífẹ̀ẹ́	волети	love
nígbàtí	када	when
nílè	испод	on the ground
nílùú	у граду	in the town
nílẹ̀	на терену	in the land
nínlá	сјајно	large
nínu	шанса	in
níní	имати	having
nípà	барем	by
nítorípé	јер	because
nítumò	значење	meaningful
nítòsí	у близини	nearby
nítòótó	баш тако	truly
nítòótọ́	заиста	in truth, truthfully
níwájú	напред	in front
níyanjú	позитивно	solved
nǹkan	ствар	things
nso	долази ускоро	say
oba	обама	king
obairanderan	рођак	hereditary
obere	мала	started
obínibí	учтивост	inborn
ododo	праведност	righteousness
ofin	закон	law
ogbè	регион	a divinity
ogun	рата	war
ogunlogo	гомила	hundreds
ojo	изгледати	day
ojojumo	дневно	daily
ojoru	топлина	wednesday
ojukokoro	похлепа	covetousness
ojuoorun	залазак сунца	atmosphere
ojuse	одговорност	responsibility
ojùkòsì	падавине	ojukosi
ojùkòtúu	падавине	ojukotuu
ojúlùmọ̀	познанства	acquaintance
ojútáyé	вискозитет	public
ojúìwé	страна	page
okeere	у иностранству	distant
okhotsk	окхотск	okhotsk
oko	поље	farm
okunkun	тама	darkness
okunrin	човек	male person
olodiajodojuko	један другог	facing wall
olohun	власници	god
olojukanna	одмах	same surface
olokunkun	слушалице	popular
ololugbe	губитник	occupants
olopon	узвишен	a local game
olora	дебео	fertile
oloselukan	здраво	one political
oloye	генијално	chief
oluda	творац	creator
oludase	произвођач	separatist
olukoitan	инструктор	the writer
olukowe	аутор	writer
olumojuto	похлепни	overseer
oluparapo	комбинација	joint
olusoju	чувар	ambassador
oluwakiri	истраживање	explorer
olympus	олимпус	olympus
olódùmarè	свемоћни	almighty god
olóyè	лењир	chief
olóṣèlú	политичар	politics
olùbátan	овај контакт	relative
olùdarí	вођа	director
