$ tỉ	мільярд доларів	$ billion
bahamas	багами	bahamas
bahrain	бахрейн	bahrain
baháí	бахаї	bahai
balearic	балеарний	balearic
bali	балі	bali
balkan	балкан	(proper adjective) balkan
balkans	балкани	balkans
ballard	балард	ballard
bamar	бамар	bamar
ban	заборона	the
bang	чуб	state
banh	куля	ball
banner	банер	banner
bantam	бантам	bantam
bantu	ту заборона	bantu
bao	мішок	bao giờ= ever
barack	барак	barack
barak	барак	barak
barbados	барбадос	(proper noun) barbados
barbara	варвара	barbara
barbary	варвар	barbary
barca	барка	barca
barnes	барнс	barnes
barone	барон	barone
baroque	бароко	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	барікелло	barrichello
bartholdi	бартольді	bartholdi
baryon	баріон	baryon
barça	barça	(proper noun) barca
base	база	base
basel	базель	basel, a city in switzerland
basil	базилік	basil
baskervilles	баскервіль	baskervilles
bass	бас	bass
bator	батор	bator
battambang	баттамбанг	battambang
bauer	бауер	bauer
bay	літати	"(should be ""tuyến bay"") an airline"
bayern	баварія	bayern
bazan	базальту	basalt (n.)
bazơ	базовий	base
bb	bb	bb
bbc	bbc	bbc
bc	до н.е.	bc
bchtư	bchtư	central executive
beat	бити	beat
beatles	битлів	the beatles
beauty	краса	beauty
beckenbauer	бекенбауер	beckenbauer, as in franz beckenbauer
becker	беккер	(proper noun) becker
beckham	бекхем	beckam
bedloe	постільна білизна	bedloe
beethoven	бетховен	beethoven
beethovens	буряків	beethoven's
beginbmatrix	startbmatrix	this is a code
behind	позаду	behind
beijing	пекін	beijing
bel	пояс	bel
bell	дзвоник	bell
bella	белла	bella
bellatrix	bellatrix	bellatrix
benedict	бенедикт	benedict
benetton	бенеттон	benetton
benfica	benfica	benfica
benito	беніто	benito
benjamin	бенджамін	(proper noun) benjamin
bennington	беннінгтон	bennigton
berber	бербер	berber
bergen	берген	(proper noun) bergen
berger	бергер	berger
bering	оберігання	(proper noun) bering, as in the bering strait
berkeley	берклі	(proper noun) the city of berkeley, california
berman	берман	a name
bermuda	бермуди	(proper noun) bermuda
bernard	бернар	bernard
bertrand	bertrand	bertrand
better	краще	better
betty	бетті	betty
bhutan	бутан	bhutan
bia	пиво	beer (n.)
biang	біанг	biang
bic	бік	bic
bikini	бікіні	bikini
bill	вексель	(proper noun) bill, as in former president bill clinton
billy	біллі	billy
bismarck	бісмарк	bismarck, as in otto von bismarck
bitmap	растровий малюнок	bitmap
biên	запис	bien
biếc	чирок	a bluish-green color (adj.)
biếm	недбалий	"(term should be ""biếm họa"") cartoon (n.)"
biến	вийшов	other
biếng	ледачий	lose interest in
biếu	платити данину	present
biều	bieu	bieu
biển	море	ocean
biểuthứcđiềukiện	знати умови	conditional expression
biện	вибачтесь	"(term should be ""biện pháp"") a method (n.)"
biệt	виразний	"(term should be ""khác biệt"") different or distinct"
bkavpro	бкавпро	bkavpro
blackwell	blackwell	this is a name
blair	блер	blair
blaise	вилазка	blaise
blanc	бланкуватий	blanc
blues	блюз	blues
bo	бо	a curl, as in a biceps curl exercise
bob	боб	bob
bobby	бобі	bobby, as in bobby day
boeing	boeing	boeing
bohemia	богемія	bohemia
bolivia	болівія	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	бомба	bomb
bonaparte	бонапарт	bonaparte
bong	бон	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	бональний	bonnal
bonobo	бонобо	bonono
bool	бул	bool
boolean	булева	(proper adjective) boolean, as in boolean algebra
boom	бум	boom
boong	настил	a deck (n.)
boongke	бункери	bunker
bop	боп	bop
boris	бор	boris
borland	борланд	(proper noun) borland
borussia	борусія	borussia
bose	босе	bose, as in subhas chandra bose
boseeinstein	бозейнштейн	bose einstein
bosna	босна	(proper noun) bosnia
bosnia	боснія	(proper noun) bosnia
botswana	ботсвана	botswana
bottom	дно	bottom
boulder	валун	boulder
bourbon	бурбон	bourbon
boxing	бокс	boxing
brain	мозок	brain
brandenburg	бранденбург	(proper noun) brandenburg
brandt	бранд	brandt
braun	браун	braun
brazil	бразилія	brazil
bremen	бремен	bremen, as in the bremen bank
brestlitovsk	брестлітівськ	brest-litovsk
breton	бретон	(proper noun) breton
bretton	бретон	hoi nghi
brezhnev	брежнєв	brezhnev
brian	брайан	a name
bridge	міст	bridge
britannic	британський	(proper noun) britannic
britney	брітні	britney
brooklyn	бруклін	brooklyn
brot	бульйон	this is german not vietnamese
brown	коричневий	brown
browne	коричневий	browne
browning	коричневе	(proper noun) browning
bruce	брус	bruce
brunei	бруней	brunei
bruno	бруно	bruno, as in the city of san bruno
brusilov	брусилов	brusilov
brussels	брюссель	brussels, the capital of belgium
btr	btr	btr
bubalis	бубаліс	bubalis
budapest	найбідніший	budapest, the capital of hungary
bulgaria	болгарія	bulgaria
bulletin	бюлетень	thong bao
bungary	бунгарі	bungary
bungo	бунго	bungo
buonaparte	буонапарт	(proper noun) buonaparte, as in casa buonaparte
burke	burke	(proper noun) burke, as in edmund burke
burkina	буркіна	burkina
burma	бірма	burma
burundi	бурунді	burundi
busan	пузан	a korean city
busby	автобус	busby
bush	кущ	bush
bushy	кущистий	bushy
buôn	оптом	commerce
buông	відпустити	to release, to let loose
buýt	автобус	bus
buốt	захопливий	sharp
buồm	вітрило	sail
buồn	сумно	sad
buồng	кімната	chamber
buổi	сесія	session
byzantine	візантійські	byzantine
bà	бабуся	woman or lady (n.)
bài	постів	articles
bàn	стіл	table
bàng	орел	eagle
bành	пенг	armchair
bào	стругання	compatriot
bàu	бау	bau
bày	презентація	"(term should be ""trưng bày"") to display (v.)"
bác	дядько	doctor
bách	кипарис	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	культ	to bow (v.)
bám	чіплятися	cling
bán	продати	sell
báng	чуб	"(term should be ""phỉ báng"") to defame or slander"
báo	газета	newspaper (n.)
bát	миску	eight (n.)
báu	скарб	valuable
bây	зараз	now
bã	залишок	"(term should be ""buồn bã"") sad (adj.)"
bãi	дворів	beach
bão	шторм	storm
bèn	тоді	then
bé	мало	baby
bén	гострий	sharp (adj.)
béo	жир	fat
bên	сторона	side
bênh	хворий	advocate
bì	упаковка	foreskin (n.)
bìa	обкладинка	cover
bìu	мошонка	sac (n.)
bí	сквош	secret
bính	бінь	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	гарбуз	biro
bò	корова	beef
bó	купу	bound (adj.)
bói	ворожіння	to foretell (v.)
bón	удобрювати	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	куля	sphere or ball
bóp	стиснути	squeeze
bô	батько	"(term should be ""bôxit"") the mineral bauxite"
bôi	намазаний	to apply (as in oil)
bông	бавовна	flower
bù	складають	compensate
bùa	оберег	talisman
bùn	грязі	mud
bùng	спалахнути	"(term should be ""bùng nổ"") to break out (v.)"
bú	смоктати	to suck
búa	молоток	a hammer
búi	пучки	tuft
bún	рисова локшина	noodle
búng	заграв	snap
bút	ручка	pseudonym
băm	хеш	hash
băn	лада	concerned
băng	лід	"(term should be ""băng giá"") freezing (adj.)"
bơ	вершкове масло	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	плавати	swim
bơm	насос	pump
bưu	поштові витрати	post office
bước	крок	a step (n.)
bướm	метелик	butterfly
bạ	контакти	directory
bạc	срібло	meager
bạch	білий	"(should be ""bạch tuộc"") an octopus"
bại	втрачати	defeated
bảng	дошки	chart
bảo	бао	protect
bảy	сім	seventh
bấm	натиснути	press
bất	справжній	"(term should be ""bất cứ"") any (adj.)"
bấy	це	contemporary
bần	бідний	poor
bầu	голосування	vote
bầy	стадо	servant
bẩm	вроджений	congenital
bẩn	брудний	the
bẩy	пастка	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	пастка	a trap (n.)
bậc	ступінь	level or class (n.)
bận	зайнято	busy
bật	включено	outstanding
bắc	північ	beijing
bắcnam	північ південь	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	стріляти	shoot
bắp	кукурудза	venter
bắt	виловити	cross
bằng	рівний	by
bẹp	розчавити	crush
bẻ	перерва	break
bẽ	приниження	humiliate
bến	причал	wharf
bếp	кухня	kitchen
bề	поверхня	"(should be ""bề mặt"") a surface"
bền	довговічний	enduring (v.)
bể	сильфон	tank
bệ	постамент	base
bện	плетений	braided (adj.)
bệnh	хворий	benh
bỉ	бельгія	disgust
bỉnh	неслухняний	binh
bịch	пальця	ridiculous
bịt	вкриті	cover
bọ	помилка	insect
bọc	обернути	to cover or enclose (v.)
bọn	їх	a group (n.)
bọng	набряклість	bladder
bọt	пінопласт	foam
bỏ	відкликати	to leave (v.)
bỏng	спалити	hot
bố	батько	"(term should be ""tuyên bố"") to declare"
bốc	завантаження	bốc lửa= on fire
bối	розгублений	messy
bốn	чотири	four
bồi	компенсація	"(term should be ""cao bồi"") cowboy (n.)"
bổn	мито	duty
bổng	стипендія	"with word luong, means ""salary"" or ""wages"""
bỗng	раптом	suddently
bộ	набір	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	кратні	betray
bột	борошно	powder or flour (n.)
bớ	закруглювати	arrest
bớt	менше	less
bờ	край	coast
bời	шишка	profuse
bở	від	profitable
bởi	від	because
bục	подіум	platform
bụng	шлунок	abdomen
bứt	несвідомо	"(term should be ""bứt phá"") power (n.)"
bừa	боронування	messy, careless, or topsy-turvy (adj.)
bữa	трапеза	meal (n.)
bực	розчарований	bother
ca	зрушення	praise
ca-lo	ка-ло	a unit of measurement
cabo	кабо	cabo
cacbon	вуглець	carbon
cacbonat	карбонат	carbonate
cacbua	карбід	carbides, carbon ions
caesar	цезар	caesar
caffein	кофеїну	caffeine
café	кава	coffee
cai	цай	govern
cairo	каїр	cairo, the capital of egypt
cal	кал	cal, a first name
calculus	числення	calculus
calvin	кальвін	calvin
cam	апельсини	commit
cambodia	камбоджа	(proper noun) the country of cambodia
cambridge	кембридж	cambridge
cameo	камео	cameo part
cameron	камерон	cameron
cameroon	камерон	cameroon
camille	каміл	camille
campbell	кемпбелл	campbell
campuchia	камбоджа	campuchia
canada	канада	canada
canadian	канадський	canadian
canal	канал	canal
canary	канарка	canary
cancer	рак	cancer
canterbury	кентербері	canterbury
canxi	кальцій	calcium
capello	капелло	capello
capra	капра	capra
carat	карат	carat
carbine	карабін	carbine
cardcaptor	карткаптор	cardcaptor
cardcaptors	карткаптори	(proper noun) cardcaptors
carey	дбайливий	(proper noun) carey, as in singer mariah carey
caribe	карібе	caribbean
caribê	карибський басейн	caribbean
carl	карл	carl
carlos	карлос	carlos
carnaval	карнавал	carnaval
carol	колядувати	carol
caroline	каролін	(proper noun) caroline
carpathia	карпатія	carpathia
carter	картер	carter
carxtơ	карат	karst topography, a geological term (n.)
casa	ca sa	casa
casablanca	касабланка	casablanca
caspia	каспія	caspia
cassini	кассіні	cassini
cast	акторський склад	cast
castries	кастри	castries
castro	кастро	castro, as in fidel castro
cathay	кіт	cathay
catherine	катерина	catherine
cau	каку	cau
cbc	куб	cbc
cbgd	cbgd	educational  officer
cbs	кілограми	cbs
ccc	куб.см	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cd-rom	cd-rom
cell	клітина	cell
celtic	кельтський	centic
cena	ціна	(proper noun) cena, as in john cena, the wrestler
centauri	кентаври	centauri
ceres	ceres	ceres
cha	папа	father
chai	пляшка	bottle
chaillot	хайлот	a name
chamberlain	камергер	chamberlain
champa	шампанське	champa
champion	чемпіон	champion
chamẹ	батьків	parents
chanel	шанель	chanel
chanh	лимона	lemon or lime (n.)
chao	привіт	(proper noun) chao, a name
charles	шарлів	charles
charlotte	шарлотка	charlotte
charlton	чарлтон	charlton
charon	харон	(proper noun) charon
chase	погони	chase
chay	вегетаріанський	fasting
chdcnd	chdcnd	democratic republic
che	обкладинка	cover
chechnya	чечня	chechnya
chen	чень	chen
cheo	чео	"(term should be ""cheo reo"") name of a town"
chi	чі	"(term should be ""chi tiết"") details (n.)"
chia	поділитися	"(term should be ""chia sẻ"") to share"
chiang	чіанг	chiang
chicago	чікаго	chicago, as in chicago, illinois
chile	чилі	(proper noun) the country of chile
chim	птах	bird
china	китай	china
ching	чін	ching
chirac	хірак	chirac, as in former french president jacques chirac
chiêm	астрологічні	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	смажена	fry
chiêng	гонг	gong
chiếc	шт	the
chiếm	облік	appropriate
chiến	боротися	war, fight
chiết	витяг	literal
chiếu	килимок	show
chiền	купу	temple
chiều	вечора	length
chlamydia	хламідії	chlamydia
chloride	хлорид	chloroauric acid
chnd	chnd	chnd
choi	грати	choi
chomsky	хомський	chomsky
chong	чонг	chong
chopin	чопін	chopin
chosŏn	чосŏн	(proper noun) choson
choàng	накидка	coat
choáng	приголомшений	dizzy
chris	крис	chris, as in chris hughes
christ	христос	christ
christian	християнський	christian
christopher	христофор	christopher
chrome	хром	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	чу	cycle
chua	кислий	tomato
chuck	патрон	(proper noun) chuck, as in chuck norris
chui	протирати	underground
chum	чум	pot
chun	чунь	chun
chung	загальний	general
churchill	церковний	churchill
chuyên	спеціалізовані	professional
chuyến	поїздка	trip
chuyền	пропуск	volleyball
chuyển	переїхав	to move
chuyện	історія	nói chuyện= talk
chuôi	захват	handle
chuông	дзвоник	a bell
chuẩn	стандартний	standard
chuốc	шукати	incur
chuối	банан	banana
chuốt	протягування	refine
chuồng	клітка	cage
chuỗi	ланцюжок	series
chuộc	викупити	redeem
chuộng	прихильний	favorite
chuột	миша	a mouse (n.)
chà	натерти	rub
chài	риболовля	fish
chàm	індіго	indigo
chàng	хлопець	"(term should be ""chàng trai"") a young man (n.)"
chào	здравствуйте	welcome
chày	бейсбол	a pestle (n.)
chánh	начальник	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	каша	porridge
cháu	онуків	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	вогонь	fire
châm	укол	motto
chân	стопа	a leg
châu	європа	continental
chè	чай	tea
chèn	вставити	insert
chém	вирізати	to chop
chén	кубок	bowl
chéo	хрест	cross
chép	скопіювати	written
chê	чорт	decry
chênh	різниця	difference
chì	вести	graphite
chìa	ключ	"(term should be ""chìa khoá"") a key (n.)"
chìm	опустився	to become submerged or sink (v.)
chình	вугор	eel
chí	воші	especially
chích	жало	shoot
chín	дев’ять	ripe
chính	головний	main
chít	чіт	dense
chò	задушити	a type of plant, typically of the parashorea genus (n.)
chòi	каюта	hut
chòm	сузір&#39;я	constellation
chó	собака	dog
chóc	ха-ха	killing (giet choc)
chói	відблиски	bright
chóng	швидко	"entire term should be ""chong mat""; means ""dizzy"""
chóp	верх	the top (n.)
chôm	рамбутан	rambutan
chôn	закопувати	bury
chông	чоловік	thorn
chùa	храм	pagoda
chùy	булава	mace
chú	дядько	uncle (n.)
chúa	боже	god
chúc	побажати	will
chúi	туу	drop
chúng	їх	they
chút	трошки	little
chăm	важко	champa
chămpa	шампанське	champa
chăng	доступний за ціною	would it
chĩa	виделки	point
chơi	грати	play
chơn	стопи	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	чу	lower authorities
chưa	ще ні	not yet
chưng	dist	steamed
chương	главу	medal
chướng	смуга перешкод	grating
chạ	розбещений	father
chạm	дотик	touch
chạng	сутінки	twilight
chạp	хиткий	slow
chạy	бігати	to run (v.)
chả	булочки	no
chảo	каструля	pan
chảy	бігати	bleeding
chấm	крапка	end
chấp	виклик	"(term should be ""chấp nhận"") to accept (v.)"
chất	матерія	quality
chấu	щіпка	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	бланшування	slice
chẩn	діагностувати	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	повільний	slow
chận	блок	block
chật	тісний	overcrowded
chậu	горщик	pelvic
chắc	впевнений	certainly
chằng	чоло	ligament
chẵn	навіть	even
chặn	блокувати	prevent
chặng	нога	journey
chặt	рубати	close
chẻ	розколоти	strick
chẽ	тісний	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	препарати	produce
chếch	млявий	oblique
chết	помер	to die (v.)
chệch	неправильно	deviant
chỉ	просто	just (adv.)
chỉnh	виправлення	adjust
chịt	лайно	chằn chịt= complex/tangle
chịu	ведмідь	tolerate
chọc	ткнути	to poke
chọi	бойові дії	oppose
chọn	вибрати	to choose
chỏ	ліктьовий	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	мить	single
chối	заперечувати	refuse
chốn	місце	place
chống	анти	anti-
chốt	засувка	important
chồi	пагони	"(term should be ""đâm chồi"") budding"
chồn	лисиця	anxious
chồng	чоловік	husband
chỗ	місце	where
chội	лайно	cramped
chớ	не	not
chớp	блискавка	flashing (adj.)
chờ	чекати	to wait
chở	перенесення	for
chợ	ринок	market
chợt	раптом	suddenly
chục	десяток	dozen
chụp	зробити постріл	capture
chủ	майстер	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	штами	strain
chứ	скоріше	just or only (adv.)
chứa	містити	contain
chức	функція	function
chừ	лист	hesitate
chừa	залишаючи	leave
chừng	дещо	about or roughly (adv.)
chử	слово	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	вагітна	pregnant
chửi	проклинаючи	curse
chữ	слово	a letter of the alphabet (n.)
chữa	вилікувати	to cure or treat (v.)
chững	вирівнювання	to totter (v.)
cia	циа	cia
cincinnati	цинціннаті	cincinnati
cinderella	попелюшка	cinderrella
cip	чіп	cip
circus	цирк	circus
cities	міста	cities
clara	клара	clara
clark	кларк	clark
claude	клауд	(proper noun) claude
claudius	клавдій	(proper noun) claudius
clinton	клінтон	clinton, as in former president bill clinton
clip	кліп	clip
clips	затискачі	clips
clo	хлор	chlorine
clow	клоуна	clow
clyde	клайд	(proper noun) clyde, as in bonnie and clyde
cmc	смс	cmc
cmt	смт	cmt
cn	cn	christian era
cnet	кнет	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	ко	spasm
coburn	качан	coburn
cocoa	какао	cocoa
coen	коен	coen
coffea	кава	coffee
cohen	коен	cohen
coi	дивитися	to regard
coleen	колін	coleen
coleman	колман	coleman
coli	coli	coli
colin	колін	(proper noun) colin, as in colin powell
colleen	коллін	colleen
college	коледж	college
collins	колін	(proper noun) collins
collège	колеж	college (n.)
colombia	колумбія	colombia
colombo	коломба	(proper noun) colombo
colorado	колорадо	(proper noun) colorado, as in the state
columbus	колумб	columbus
comic	комічний	comic
common	звичайний	common
concacaf	конкакаф	concacaf
concerto	концерт	concerto
concorde	конкорде	concorde
condom	презерватив	condom
cong	вигнута	curved or bent
congo	конго	congo
congress	конгрес	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	конрад	corrad
conservation	збереження	conservation
constantine	константин	constantine
contemporary	сучасний	contemporary
cooper	купер	(proper noun) cooper
copenhagen	копенгаген	copenhagen
copernic	коперник	corpernic
copperfield	мідне поле	(proper noun) copperfield, as in magician david copperfield
coppola	коппола	coppola
copy	копія	copy
cordyceps	кордіцепси	cordyceps
core	серцевина	core
cornell	корнель	cornell
cosin	косинус	cosine
costa	коста	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	божевільний	crazy
crespo	кореспо	(proper noun) crespo
crest	гребінь	crest
crew	екіпаж	crew
crimson	малиновий	crimson
crisis	криза	crisis
cristiano	кріштіано	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	хорватія	croatia
cross	хрест	cross
crs	crs	crs
cruz	круз	cruz
cruzeiro	крузейро	cruzeiro
crystal	кристал	crystal
ctc	ctc	ctc
cua	краб	crab (n.)
cullen	каллен	a name
cung	лук	circle
cunningham	кунінгам	cunningham; proper name
cup	чашка	cup
cuả	з	of, from, belonging to
cuốc	мотики	hoe
cuối	останнім	last or final (adj.)
cuốn	котушка	book
cuống	стебло	throat
cuồng	божевільний	crazy (adj.)
cuộc	то	the
cyanide	ціанід	cyanide
cyber	кібер	cyber
cyril	кирило	(proper noun) cyril
cyrus	кір	cyrus
cyworld	cyworld	cyword
cà	кава	ca
cài	встановити	install
càn	потреба	raid
càng	більше	cang
cành	відділення	branch
cào	скретч	scratch
cày	оранка	plow
các	то	all (adv.)
cách	шлях	the
cái	то	"(term should be ""con cái"") children (n.)"
cán	прокату	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	крило	wing
cáo	лисиця	report
cáopx|bình	cáopx | середній	not a word
cáp	кабель	cable (n.)
cáy	шахрай	fiddler
câm	німий	mute (adj.)
cân	ваги	weight
câu	речення	saying
cãi	сперечатися	argue
cò	тригер	stork
còn	ще	to have left (v.)
có	мати	have
cói	осока	machine
cót	ліжечко	cot
cô	міс	girl
côi	сиріт	orphaned
côn	конусність	a stick (n.)
công	робота	worker
côngtenơ	контейнер	container
cõi	царства	entire area
cõng	скарбничка	piggyback
cù	лоскоче	cu
cùi	прокажені	leprosy
cùng	і	together
cú	сова	old
cúi	лук	to bow (v.)
cúm	грип	cum
cúng	затишно	worship
cúp	чашка	cup (n.)
cút	забирайся	to kick someone out (v.)
căm	підключений	detest (cam thu)
căn	радикальний	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	розтягнутий	tense
cũ	старий	old
cũi	ліжечко	kennel
cũng	також	also
cơm	рис	rice
cư	заселяти	resident
cưa	пила	saw
cưng	моя дитина	also
cước	фрахт	megaman
cưới	одружився	marry
cướp	грабувати	to rob (v.)
cười	сміх	smile
cường	сильний	strengthen
cưỡi	їзда	ride
cưỡng	вимушений	force some body to do some thing. cưỡng dâm=rape
cạc	картка	card (n.)
cạn	неглибокий	shallow
cạnh	край	"(term should be ""khía cạnh"") an angle"
cạo	голити	shave
cạp	скорпіон	scorpion
cả	і те й інше	both
cải	гірчиця	reform
cảm	холод	pleasure
cản	мучився	prevent
cảng	порт	port
cảnh	сцена	situation
cảo	тягне	posthumous
cấm	заборонити	ban
cấn	потреба	dramatic
cấp	грант	level or rank (n.)
cất	дистильована	"(term should be ""cất giữ"") to keep safe or store"
cầm	тримати	to hold (v.)
cần	потреба	need
cầu	міст	request
cầy	цивет	farmed
cẩn	будь обережний	carefully
cẩu	кран	"(term should be ""hải cẩu"") a seal (n.)"
cận	підхід	close
cập	лічильник	mention
cậu	хлопчик	a young man (n.)
cậy	залежать	reliable
cắm	підключати	to plant (v.)
cắn	кусати	to bite
cắp	красти	steal
cắt	вирізати	cut
cằm	підборіддя	chin
cằn	бурхливий	exhausted (adj.)
cặp	сумка	couple
cọ	натерти	rub
cọc	ворс	pile
cọp	тигр	tiger
cỏ	трава	plant
