$	ps	dollar
аустријског	austriaco	austrian
аустријском	austriaco	austrian
аустрију	austria	provinces
аустроугарска	austro-hungría	austro hungarian
аустроугарске	austrohúngaro	austro hungarian
аустроугарски	austrohúngaro	austro-hungarian
аустроугарског	austrohúngaro	austro-hungarian
аустроугарском	austrohúngaro	austro hungarian
аустроугарској	austrohúngaro	austro-hungarian
ауто	coche	car
аутобуси	autobuses	busses
аутоматски	automáticamente	automatic
аутоматско	automáticamente	automatic
аутомобил	coche	car
аутомобила	coche	automobiles
аутономије	autonomía	autonomy
аутономију	autonomía	autonomy
аутономна	autónomo	autonomous
аутономне	autónomo	autonomy
аутопут	autopista	highway road
аутопута	autopista	highway
аутопутева	carreteras	highways
аутор	el autor	author
аутора	autor	authors
аутори	autores	the authors
ауторитет	autoridad	authority
африка	áfrica	africa
африке	áfrica	africa
африку	áfrica	africa
африци	áfrica	africa
афричких	africano	african
афродита	afrodita	aphrodite
ахат	ágata	ahat
ахил	aquiles	ahil
ахондроплазија	acondroplasia	achondroplasia
ајакс	ajax	ajax
ајнштајн	einstein	einstein
ајнштајнијум	einstein	eistenium
б	si	b
баба	abuela	grandmother
баве	bave	deal
бави	ofertas	deals
бавили	entretenido	engaged in
бавио	bavio	dealt with
база	base	base
базе	base	bases
базел	basilea	basel
бази	base	base
базу	base	base
бакар	cobre	copper
бакра	cobre	copper
бакропис	grabando	engraving
бактерија	bacterias	bactery
бактерије	bacterias	bacteria
балашевић	balasevic	balashevic
балкан	balcánico	balkan
балкана	los balcanes	balkan
балканска	balcánico	balkan
балканске	balcánico	balkan
балкански	balcánico	balcan
балканским	balcánico	balkan
балканских	balcánico	balcan
балканско	balcánico	balkan
балканског	balcánico	balkan
балканском	balcánico	balcan
балкану	los balcanes	balkans
бан	prohibición	ban
бана	bana	ban
банат	banat	banat
баната	banata	banat
банату	banatu	banat
банка	el banco	bank
банке	bancos	bank
бановина	banovina	banovina
бановине	banovina	banovina
баптисти	bautistas	baptist
бар	bar	at least
барбароса	bárbaro	barbarosa
барем	al menos	at least
барок	barroco	barok
барока	barroco	baroque
барометар	barómetro	barometre
барселона	barcelona	barselona
бас	bajo	bass
басиста	bajista	bassist
бастион	bastión	bastion
бата	bata	bata
батаљон	batallón	battalion
батаљона	batallón	battalion
батискаф	batíscafo	batiskaf
бах	bah	bach
бацио	tiró	threw
бачка	бачка	bachka
бачке	bačke	bachka
бачки	бачки	bachka
бачкој	бачкой	bachka
баш	sólo	very
башта	jardín	garden
баштина	patrimonio	heritage
баштине	patrimonio	heritage, fortune
бајазит	bayazit	bayazit
бања	spa	spa
бање	spa	banja
бањој	banjoj	spa
бдп	bdp	gdp
бдпа	bdpa	gdp
бебек	bebé	bebek
бедем	pared	wall
бедема	murallas	wall
бедеми	murallas	walls
бежи	huir	runs
без	sin	without
безбедност	seguridad	security
безбедности	seguridad	security
бел	bel	white
бела	blanco	white
белгија	bélgica	belgium
белгије	bélgica	belgium
беле	blanco	white
бележи	notas	records
бели	blanco	white
бело	blanco	white
белог	blanco	white
белорусија	bielorrusia	belarus
белорусије	bielorrusia	belarus
бен	ben	ben
бенд	la banda	band
бенда	benda	band
београд	ciudad blanca	belgrade
београда	belgrado	belgrade
београдом	belgrado	belgrad
београдска	belgrado	belgrade
београдске	belgrado	belgradian
београдски	belgrado	belgrade
београдског	belgrado	belgrade's
београдском	belgrado	belgrade
београдској	belgrado	belgrade's
београду	belgrado	belgrade
беране	berane	berane
берлин	berlina	berlin
берлина	berlina	berlin
берлински	berlina	berlin
берлинског	berlina	berlin
берлину	berlina	berlin
бесплатно	gratis	for free
бета	beta	beta
бетовен	raíz de remolacha	beethoven
бетон	hormigón	concrete
беч	viena	austria
беча	viena	viena
бечеј	becej	becej (town)
бечки	vienés	viennese
бечког	de viena	austrian
бечу	viena	viena
би	sería	will
библиографија	bibliografía	bibliography
библиотека	la biblioteca	library
библиотеке	bibliotecas	library
библија	biblia	bible
библије	biblias	bible
бива	biva	becomes
бивају	son	become
бивша	ex	former
бивше	ex	ex
бившег	ex	ex
бивши	ex	former
бившим	ex	former
бивших	ex	former
бившој	el primero	former
бигар	bigar	bigar
бизнис	el negocio	business
била	estado	was
биле	bilis	were
били	fueron	were
било	había	was
био	estaba	was
биогеографија	biogeografía	biogeography
биографија	biografía	biography
биоетика	bioética	bioethic
биологија	biología	biology
биолошки	biológico	biological
биотит	biotita	biotite
бира	cerveza	choose
бирају	ellos eligen	choose
бисмо	lo haríamos	we
бистрица	bistrica	bistrica
битака	batalla	battles
битан	importante	important
бити	ser - estar	be
битка	batalla	kingfisher
биткама	batallas	battles
битке	batallas	battle
битку	batalla	battle
битна	importante	important
битно	importante	substantially
бих	debería	elements
бици	bibi	battle
бичари	látigos	paramecium
бијело	blanco	white
бијелог	blanco	white
бијељина	blancura	bjelina
биљака	plantas	plants
биљке	plantas	plants
биљни	herbario	herbal
бића	seres	being
биће	estarán	will be
блага	leve	mild
благе	leve	mild
благо	tesoro	slow
бластомера	blastómero	blastomer
бластомикоза	blastomicosis	blastomycosis
бластопор	blastoporo	blastophore
блек	negro	black
ближе	cerca	closer
близини	cerca	close
близу	cerca de	near
блиске	cerca	close
блиски	cerca	close
блиским	cerca	close
блиског	cerca	close
блиском	cerca	close
блог	blog	blog
блогова	blogs	blogs
блогови	blogs	blogs
блок	bloquear	bloc
блока	bloquear	block
блокаду	bloqueo	blockade
блуз	blues	blues
бог	dios	god
бога	dios	god
богат	rico	rich
богата	rico	rich
богате	rico	the rich
богати	rico	rich
богатим	rico	rich
богатих	rico	the rich
богато	rico	richly
богатства	riqueza	treasure
богатство	riqueza	wealth
богату	rico	rich
богдан	bogdan	bogdan
богдановић	bogdanović	bogdanovic
богиња	diosa	goddess
богиње	diosas	goddess
богова	de los dioses	gods
богове	dioses	gods
богови	dioses	gods
боговима	a los dioses	gods
богом	por dios	god
богородица	madre de dios	the holy virgin
богородице	la virgen	madonna
богословије	teología	seminary
богу	dios	god
бодова	puntos	points
божанства	deidades	deities
боже	dios	god
божидар	božidar	bozidar
божић	navidad	christmas
божића	navidad	goddess
божур	peonía	paeonia
божји	de dios	god
бока	boka	boka
боки	caderas	boka
бол	el dolor	pain
болест	enfermedad	disease
болести	enfermedades	illness
болница	hospital	hospital
болнице	hospitales	hospital
болници	hospitales	hospital
бомбардовања	bombardeo	bombardment
бомбардовање	bombardeo	bombardment
бомбардовању	bombardeo	bombardment
бомбе	bombas	bomb
бор	pino	pine
бора	arruga	bora
боравак	permanecer	residence
боравио	se quedó	stayed
боравка	permanecer	stay
борац	combatiente	borac
бораца	luchadores	soldiers
борба	lucha	battle
борбама	peleas	struggles
борбе	peleas	battle
борбена	combate	combat
борбене	combate	battle
борбени	combativo	military
борбеним	combativo	battle
борбених	combate	battle
борби	peleas	battles
борбу	lucha	fight
боре	aburrir	fight
бори	peleas	fights
борили	luchado	fought
борио	luchado	fought
борис	boris	boris
борислав	borislav	borislav
боровница	arándano	blueberry
босанска	bosnio	bosnian
босанске	bosnio	bosnian
босански	bosnio	bosnian
босанског	bosnio	bosnian
босна	bosnia	bosnia
босне	bosnia	bosnia
босни	bosnia	bosnia
босном	bosnia	bosnia
босну	bosnia	bosnia
бошко	boško	boshko
бошњака	bosnios	bosnians
бошњаци	bosnios	the bosniaks
бошњачки	bosnio	bosnian
бој	lucha	battle
боја	el color	color
бојама	colores	colors
бојан	bojan	bojan
боје	colores	color
боји	colores	color
бојом	color	color
боју	color	battle
боље	mejor	better
бољи	mejor	better
бр	no	number
бразил	brasil	brazil
бразила	brasil	brazil
бразилу	brasil	brazil
брак	matrimonio	marriage
брака	matrimonio	marriage
браку	matrimonio	marriage
брана	represa	brana
бране	represa	defend
брани	defender	defends
бранимир	branimir	branimir
бранислав	branislav	branislav
бранка	branka	branko
бранко	branko	branko
бранковић	brankovic	brankovic
бранковића	brankovica	brankovic
брат	hermano	brother
брата	hermano	brother
братом	hermano	brother
братство	fraternidad	brotherhood
брату	hermano	brother
браћа	hermanos	brothers
браће	hermanos	brothers
брда	colinas	hills
брдима	colinas	the hills
брдо	colina	hill
брду	colina	hill
бреговић	bregović	bregovich
брже	más rápido	quicker
бржи	rápido	faster
брз	rápido	fast
брзе	rápido	fast
брзим	rápido	fast
брзина	velocidad	speed
брзинама	velocidades	speed
брзине	velocidad	speed
брзином	velocidad	speed
брзину	velocidad	speed
брзо	rápido	fast
брзу	rápido	quick
бригада	brigada	brigade
бригаде	brigada	brigades
бригантина	bergantín	brigantina (small military ship)
бригу	cuidado	care
британаца	de los británicos	britons
британија	bretaña	britain
британије	de gran bretaña	britain
британији	bretaña	britain
британију	bretaña	britain
британска	británico	british
британске	británico	british
британски	británico	britain
британским	británico	british
британских	británico	british
британског	británico	british
британском	británico	british
британској	británico	british
британску	británico	british
британци	el británico	british
брод	embarcacion	ship
брода	embarcacion	ship
бродова	buques	ships
бродове	buques	boats
бродови	buques	ships
бродовима	buques	boats
броз	broz	broz
броза	broza	broz (middle name of former yugoslavian communist leader)
брокер	corredor	broker
бронзаног	bronce	bronze
број	número	number
број=	numero =	noumber
броја	número	number
бројева	números	numbers
бројеви	números	numbers
бројем	por numero	number of
броји	cuenta	counts
бројна	numeroso	number of
бројне	numeroso	many
бројни	numeroso	many
бројним	numeroso	numeral
бројних	numeroso	many
бројност	abundancia	number of
броју	número	number
бројчано	numéricamente	in number
брус	brus	bruce
бруто	bruto	gross
брчко	brčko	brcko
бугара	búlgaro	bulgarians
бугари	búlgaros	bulgarians
бугарска	bulgaria	bulgaria
бугарске	búlgaro	bulgarian
бугарски	búlgaro	bulgarian
бугарских	búlgaro	bulgarian
бугарског	búlgaro	bulgarian
бугарском	búlgaro	bulgaria
бугарској	búlgaro	bulgarian
бугарску	búlgaro	bulgarian
будва	budva	budva,montenegrian town
буде	estarán	be
буди	ser	awakensothers
будизам	budismo	buddhism
будизма	budismo	buddhism
будимпешта	budapest	budapest
будимпешти	budapest	budapest
буду	voy a	be
будуће	futuro	future
будућег	del futuro	future
будући	futuro	future
будућност	el futuro	future
будућности	del futuro	future
булевар	bulevar	boulevard
бумбар	abejorro	bumble bee
буна	buna	rebellion
буне	bune	revolts
буњевци	rebeldes	bunjevci
буџет	presupuesto	budget
вавилон	babilonia	babilone
важан	importante	important
важе	válido	are valid
важи	válido	stands for
важна	importante	important
важне	importante	important
важни	importante	important
важним	importante	important
важних	importante	important
важнији	más importante	important
важно	importante	important
важност	importante	importance
важности	importancia	importance
важну	importante	important
вазал	vasallo	vassal
ваздух	aire	air
ваздуха	aire	air
ваздухваздух	aire	air-air
ваздухземља	aire	air-earth
ваздухопловства	aviación	aviation
ваздухопловство	aviación	aviation
ваздуху	aire	in the air
ваздушне	aire	air
ваздушни	aéreo	aerial
ваздушних	aéreo	air
ваздушног	aire	air
ваздушном	por aire	air
валкире	valkyrie	valkire (serbian expression for in a military fight)
валута	moneda	currency
валуте	moneda	currency
вам	para ti	you
ван	camioneta	outside
варира	varía	varies
варирају	variar	vary
варијанта	variante	varies
варијанте	variantes	variants
варијанти	variantes	variant
варијације	variaciones	variates
варош	varosh	town
вароши	pueblos	province
вас	tuya	you
васа	florero	vasa
василиск	basilisco	basilisk
василија	albahaca	vasilia
василије	albahaca	basil
васионе	espacio	the universe
ватерполо	polo acuático	waterpolo
ватикан	vaticano	vatican
ватикана	vaticano	vatican
ватра	el fuego	fire
ватре	fuego	fire
ватру	fuego	fire
вашингтон	washington	washington
вашингтону	washington	washington
вајс	weiss	vice
ваљева	rodillos	valjevo
ваљево	valjevo	valjevo
ваљеву	ваljeеву	valjevo
веб	web	web
вебстрана	página web	webpage
вегетација	vegetación	vegetation
вегетације	vegetación	vegetation
веже	torres	binds
веза	enlace	connection
везама	corbatas	ties
везан	atado	connected
везана	unido	connected with
везане	unido	related
везани	unido	related to
везаних	unido	related to
везано	relacionado	related to
везе	conexiones	ties
везер	clima	weser
вези	corbatas	connection
везу	conexión	ties
везује	se une	binds
везују	enlazar	bind
век	siglo	century
века	siglo	centuries
векова	siglos	centuries
вековима	por siglos	centuries
веку	siglo	century
велик	grande	large
велика	un gran	large
великаша	gran hombre	greats
велике	grande	big
велики	un gran	great
великим	grande	big
великих	grande	large
велико	mucho	large
великог	excelente	great
великом	excelente	great
великој	excelente	big
