$	usd	a sign of doller
અઠવાડિયાનો	nedēļas laikā	of the week
અઠવાડિયામાં	pēc nedēļas	in a week
અડધા	puse	half
અડધી	puse	half
અડધું	puse	half
અડીને	blakus	touch
અડે	pieskārieni	touch
અઢાર	astoņpadsmit	eighteen
અણનમ	neuzvarēts	not out
અણી	mala	in last stage
અણુ	atoms	nuclear
અણુઓ	atomi	atoms
અણુકેન્દ્રીય	atomu	nuclear centre
અતઃ	tāpēc	therefore
અતિ	ekstrēms	more/excess
અતિક્રમણ	iejaukšanās	attack
અતિરિક્ત	papildu	additional
અતિશય	pārmērīgi	very
અત્યંત	ārkārtīgi	extremely
અત્યાચાર	zvērības	tyranny
અત્યાર	tik tālu	now
અત્યારના	pašreizējā	recently
અત્યારે	tieši tagad	now
અત્રે	šeit	now
અથવા	vai	or
અથવાતો	vai	or
અથાણું	marinēts	pickles
અદભુત	satriecošs	magnificient
અદા	izdevums	style
અદાલતો	tiesas	courts
અદ્યતન	advanced	modern
અદ્રશ્ય	neredzams	invisible
અદ્વિતીય	unikāls	unparalleled
અદ્વૈત	advaita	nonduality
અધિક	vairāk	additional
અધિકતર	pārsvarā	most
અધિકાંશ	lielākā daļa	majority
અધિકાર	taisnība	right
અધિકારી	virsnieks	officer
અધિકારીઓ	virsnieki	officials
અધિકારીઓની	virsnieku	officer's
અધિકારો	tiesības	right
અધિકારોનો	par tiesībām	right
અધિકૃત	pilnvarots	authorised
અધિવેશન	sesija	session
અધીન	priekšmets	depend
અધૂરો	nepilnīgs	incomplete
અધ્યક્ષ	priekšsēdētājs	head person
અધ્યક્ષપદ	prezidentūra	chairmanship
અધ્યયન	pētījums	study
અધ્યાત્મ	garīgums	philosophical
અધ્યાય	nodaļa	lessons
અધ્યાયમાં	nodaļā	chapter
અન	un	and
અનંત	bezgalība	infinite
અનન્ય	unikāls	unique
અનાજ	labība	corn
અનામત	rezervēts	reserved
અનિયમિત	neregulārs	irregular
અનિલ	anil	anil
અનિવાર્ય	neizbēgami	necessary / compulsary
અનિશ્ચિત	neskaidrs	uncertain
અનિશ્ચિતતા	nenoteiktība	uncertainty
અનુકૂળ	ērti	convenient / suitable
અનુક્રમણિકા	indekss	index
અનુક્રમે	attiecīgi	sequentially / respectively
અનુગામી	sekojošais	follower,
અનુપમ	nesalīdzināmi	unique
અનુભવ	pieredze	experience
અનુભવાયા	filcs	experienced
અનુભવી	pieredzējis	experinced
અનુભવે	jūties	experiencing
અનુમાન	uzmini	presumption
અનુયાયી	sekotājs	follower
અનુયાયીઓ	sekotāji	followers
અનુયાયીઓને	sekotāji	follower
અનુલક્ષીને	neskatoties uz	imagining
અનુવાદ	tulkošana	transalation
અનુવાદો	tulkojumi	translations
અનુસરે	seko	follwing
અનુસાર	saskaņā ar	accordingly
અને	un	and
અનેં	un	and
અનેક	daudzi	many
અનેરું	un tā tālāk	unique
અનૈતિક	nemorīgs	non-proper
અનોખી	unikāls	unique
અન્ન	ēdiens	food
અન્નક્ષેત્ર	pārtikas lauks	free food center
અન્ય	citi	other
અન્યત્ર	citur	anywhere else
અન્યાય	netaisnība	injustice
અન્યો	citi	others
અન્યોએ	citi	by others
અપ	augšā	up
અપડેટ	atjaunināt	update
અપના	apna	our
અપનાવવા	adoptēt	to adopt
અપનાવવામાં	pieņemts	to adopt
અપનાવી	pieņemts	applied
અપની	tavs	self
અપને	tev	own [hindi word]
અપભ્રંશ	apabhramsa	derived / diverted
અપમાન	apvainojums	insult
અપરિગ્રહ	nav	possession
અપલોડ	augšupielādēt	to upload
અપવાદ	izņēmums	exception
અપવાદરુપ	izņēmuma kārtā	exception
અપહરણ	nolaupīšana	kidnap
અપાતી	dots	given
અપાય	dots	to give
અપાયું	dots	given
અપાયો	dots	presented
અપાવી	dots	to give
અપાવે	dod	gets
અપાવ્યો	ar nosacījumu	given
અપીલ	apelācija	appeal
અપૂર્ણ	nepilnīgs	uncomplete
અપૂર્વ	bezprecedenta	unbelivable
અપેક્ષા	gaidīt	expectation
અપેક્ષિત	paredzams	expectancy
અપ્સરા	debesu meitiņa	heavenly nymph, fairy
અફઘાનિસ્તાન	afganistāna	afghanistan
અબજ	miljardus	1000000000
અબ્દ	abd	abd
અબ્દુલ	abdula	abdul
અભયારણ્ય	svētnīca	national park
અભાવ	trūkst	lack of
અભાવે	trūkums	lack of
અભિગમ	pieeja	concept
અભિનંદન	apsveicam	congratulation
અભિનય	rīkojas	acting
અભિનેતા	aktieris	actor
અભિનેત્રી	aktrise	heroin
અભિનેત્રીનો	no aktrises	of actress
અભિન્ન	integrāls	different
અભિપ્રાય	atzinums	opinion
અભિમન્યુ	abhimanju	abhimanyu
અભિમન્યુના	abhimanju	abhimanyu's
અભિમન્યુને	abhimanju	to abhimanyu
અભિમન્યૂ	abhimanju	abhimanyu
અભિયાન	kampaņa	campaign
અભિવ્યક્ત	izteikts	express
અભિવ્યક્તિ	izteiksme	expression
અભિષેક	svaidīšana	abhishek
અભૂતપૂર્વ	bezprecedenta	tremendous
અભ્યાસ	pētījums	study
અભ્યાસક્રમ	kurss	syllabus
અભ્યાસમાં	pētījumā	in studies
અભ્યાસો	pētījumi	studies
અમદાવાદ	ahmedabad	ahmedabad
અમદાવાદથી	no ahmedabadas	from ahmedabad
અમદાવાદના	no ahmedabādas	ahmedabad's
અમદાવાદની	no ahmedabādas	ahmedabad's
અમદાવાદને	uz ahmedabadu	to ahmedabad
અમદાવાદમાં	ahmedabadā	in ahmedabad
અમને	mums	to us
અમર	nemirstīgs	immortal
અમરેલી	amreli	amreli, name of taluka of gujarat
અમલ	izpilde	follow/acceptance
અમલમાં	īstenots	in force
અમારા	mūsu	ours
અમારી	mūsu	our
અમિતાભ	amitabh	film star of bollywood amitabh
અમુક	daži	some
અમુલ	amul	amul
અમૂર્ત	kopsavilkums	extraordinary
અમે	mēs	we
અમેરિકન	amerikāņu	american
અમેરિકા	amerika	america
અમેરિકાના	no amerikas	america's, of america
અમેરિકાની	no amerikas	america's
અમેરિકાને	uz ameriku	to america
અમેરિકાનો	amerikāņi	america's
અમેરિકામાં	amerikā	in america
અમેરિકી	asv	american
અમેરિકીઓ	amerikāņi	american,
અમ્પાયર	tiesnesis	umpire
અયોગ્ય	nepiemērots	improper
અયોધ્યા	ajodja	ayodhya
અરજણજી	arjanji	arjanji
અરજી	pieteikums	application
અરબ	arābu	arab
અરબસ્તાન	arābija	arabia
અરબી	arābu valodā	arabi
અરવિંદ	arvind	arvind
અરસામાં	laikmetā	during
અરાજકતા	haoss	chaos
અરુણાચલ	arunachal	arunachal
અરેબિયા	arābija	arabia
અરેબીક	arābu valodā	arabic
અર્જુન	arjun	arjun
અર્જુનના	no ardžunas	arjun's
અર્જુનની	no ardžunas	arjuna's
અર્જુનને	uz ardžunu	to arjun
અર્જુનનો	no ardžunas	arjun's
અર્જુને	arjun	arjun
અર્થ	nozīme	earth
અર્થકવેક	zemestrīce	earthquake
અર્થઘટન	interpretācija	interpretation
અર્થતંત્ર	ekonomika	economy
અર્થતંત્રની	no ekonomikas	of economy
અર્થતંત્રને	uz ekonomiku	to the economy
અર્થતંત્રમાં	ekonomikā	economically
અર્થમાં	sajūta	by meaning,
અર્થવ્યવસ્થા	ekonomika	economics
અર્થશાસ્ત્ર	ekonomika	economics
અર્થશાસ્ત્રી	ekonomists	economist
અર્થાત	proti	meaning
અર્થાત્	proti	meaning
અર્થે	savā ziņā	meaning
અર્થો	nozīmē	meanings
અર્ધ	puse	half
અર્ધા	puse	half
અર્પણ	piedāvājums	dedication
અર્વાચીન	jaunāka	modern
અલ	al	el
અલંકરણ	rotājumi	decoration
અલંકાર	ornaments	ornament
અલંગ	alangs	alang
અલગ	savādāk	different
અલગઅલગ	citādi	separately
અલણમીર	alanmeer	alanmir
અલબત્ત	protams	certainly
અલાસ્કાના	aļaska	alaska's
અલી	ali	ali
અલૌકિક	pārdabisks	magnificient
અલ્પજીવી	īslaicīgs	short-lived
અલ્લાહ	allāhs	allah
અલ્હાબાદ	allahabadā	allahabad
અવકાશ	darbības joma	space
અવકાશના	no kosmosa	expect
અવકાશમાં	kosmosā	space
અવકાશયાન	kosmosa kuģis	space shuttle
અવકાશસમય	kosmosa laiks	space-time
અવકાશી	telpisks	related to space
અવકાશીય	telpisks	related to space
અવગણના	ignorēt	unconsideration
અવતાર	iemiesojums	incarnation
અવતારો	avatāri	incarnation
અવધિ	ilgums	duration
અવધી	periods	duration
અવર	mūsu	hour
અવરોધ	pretestība	obstacle
અવરોધક	inhibitors	obliterator
અવરોધો	šķēršļi	obstructions
અવલંબન	atkarība	dependant
અવલોકન	novērošana	discription
અવલોકનક્ષમ	novērojams	visible / observable
અવલોકનો	novērojumi	observations
અવશેષ	relikvija	remains
અવશેષો	paliek	the ruins of an old wersked building
અવશ્ય	protams	certainly
અવસર	iespēja	occasion
અવસાન	nāve	death
અવસ્થામાં	valstī	phase
અવાજ	skaņa	voice
અવાજના	no skaņas	of voice
અવાજની	no skaņas	voice's
અવાજનો	no skaņas	sounds's
અવારનવાર	bieži	frequently
અવિરત	nepārtraukts	continuous
અશક્ય	neiespējami	impossible
અશોક	ašok	ashok
અશોકના	no ašoka	ashoka's
અશ્વત્થામા	ašvathama	ashwatthama
અશ્વત્થામાએ	ašvathama	ashwathama
અશ્વિન	ašvins	ashvin
અષાઢ	ašads	asadha
અષાઢી	ašadhi	from ashadh
અસંખ્ય	neskaitāmas	several, many
અસફળ	neizdevās	fail
અસમાનતા	nevienlīdzība	inequality
અસર	efekts	action
અસરકારક	efektīvs	effective
અસરકારકતા	efektivitāte	effectiveness
અસરગ્રસ્ત	ietekmēts	affected
અસરથી	ar efektu	by the effect of
અસરના	no spēkā stāšanās	of effect
અસરને	rezultātā	of the effect
અસરનો	no spēkā stāšanās	of effect
અસરો	efekti	effects
અસરોને	efekti	effects
અસરોમાં	efektos	effects,
અસલ	oriģināls	real
અસહકારની	par nesadarbošanos	of the non cooperation
અસહ્ય	nepanesams	unbearable
અસાધારણ	ārkārtas	unusual
અસામાન્ય	neparasti	unusual
અસ્ત	ast	waning
અસ્તિત્વ	esamība	existence
અસ્તિત્વનો	par esamību	of existance
અસ્તિત્વમાં	pastāv	in existance
અસ્ત્ર	šāviņš	weapon
અસ્થિર	nestabils	unstable
અસ્થિરતા	nestabilitāte	instability
અસ્પૃશ્યતા	nepieskaramība	"thinking like ""keep away from some category"""
અસ્પૃશ્યતાનિવારણ	nepietiekamības novēršana	removal of the untouchability
અસ્વીકાર	noraidīšana	refusal to accept
અહમદ	ahmeds	"name ""ahamad"""
અહિ	šeit	here
અહિં	šeit	here
અહિંસક	nevardarbīga	non-violent
અહિંસા	nevardarbība	non violence
અહિંસાના	no nevardarbības	nonviolence
અહિયાં	šeit	here
અહી	šeit	hear
અહીં	šeit	here
અહીંથી	no šejienes	from here
અહીંના	šeit	from here
અહીંની	šeit	from here
અહીંનું	no šejienes	of here
અહીંયા	šeit	here
અહેવાલ	ziņot	report
અહેવાલો	ziņojumi	report
અહેસાસ	realizācija	feel
આ	šis	this
આંકડા	statistika	figures
આંકડાઓ	statistika	figures
આંકડાકીય	statistiskā	kind of sweet
આંકડો	attēls	figure / number
આંકવામાં	numurēts	skale
આંખ	acs	eye
આંખે	satriecoši	eye
આંખો	acis	eyes
આંગણે	pagalmā	yard
આંગળી	pirksts	fingure
આંગળીઓ	pirksti	fingers
આંચકા	triecieni	shocks,
આંતર	starp	inter
આંતરરાષ્ટ્રીય	starptautiskā	international
આંતરિક	iekšējais	internal
આંતરીક	interjers	internal
આંદામાન	andaman	andaman
આંદોલન	kustība	movement,
આંદોલનકારીઓ	maisītāji	activists
આંદોલનની	kustības	violation
આંધ્ર	andhra	andhra
આંબેડકર	ambedkar	ambedkar
આંશિક	daļējs	partial
આંસુ	asaras	tear
આઇ	es	i
આઇએસબીએન	isbn	isbn
આઇઝેક	īzaks	isac
આઇન્સ્ટાઇન	einšteins	einstein
આઇન્સ્ટાઇનના	einšteins	einstein's
આઇન્સ્ટાઇને	einšteins	by einstein
આઇપીસીસી	ipcc	ipcc
આઇરીશ	īru	irish
આઇસ	ledus	ice
આઈ	acs	i
આઈડિયા	ideja	idea
આઈન્સ્ટાઈન	einšteins	einstein
આઈન્સ્ટાઈનના	einšteina	einstein's
આઈન્સ્ટાઈનની	einšteina	of einstien
આઈન્સ્ટાઈનને	einšteinam	to einstein
આઈન્સ્ટાઈને	einšteins	by einstein
આઈપીવી	ipv	ipv
આઉટ	ārā	out
આઉટડોર	ārā	outdoor
આકરી	drastiķis	strong
આકર્ષક	pievilcīgs	attaraction
આકર્ષણ	piesaiste	attraction
આકર્ષિત	piesaistīt	attracted
આકર્ષે	piesaista	attraction
આકાર	forma	shape
આકારના	forma	shaped
આકારની	forma	shape
આકારમાં	formā	in shape
આકાશ	debesis	sky
આકાશમાં	debesīs	in sky
આકૃતિ	attēls	figure
આક્રમક	agresīvs	aggressive
આક્રમણ	iebrukums	attack
આક્રમણથી	no agresijas	attack
આક્રમણની	no agresijas	of attack
આક્રમણને	iebrukums	attack
આક્રમણો	iebrucēji	attacks
આક્ષેપ	apgalvojums	alligation
આખરી	pēdējais	last / final
આખરે	galu galā	at last
આખા	vesels	entire
આખી	vesels	whole
આખું	vesels	entire
આખો	vesels	full
આગ	uguns	fire
આગમન	ierašanās	arrival
આગરા	agra	agra [some text is in hindi]
આગલા	nākamais	previous
આગળ	nākamais	front
આગળના	priekšpusē	fore most
આગવી	ievērojams	future
આગામી	nākamais	next, incoming
આગાહી	prognoze	estimations
આગેવાન	varonis	dominating
આગેવાની	led	take position of
આગેવાનીમાં	vada	following
આગ્રહ	uzstājība	force
આગ્રા	agra	agra, name of city of inda
આઘાત	šoks	action
આચરણ	uzvedība	behaviour
આચાર	uzvedība	code of conduct
આચાર્ય	galvenais	principal
આજ	šodien	today
આજથી	no šodienas	from today
આજના	šodienas	today's
આજની	šodienas	today's
આજનું	šodienas	today's
આજનો	šodienas	today
આજી	aji	aji
આજીવન	mūžs	lifetime
આજુબાજુ	apkārt	surrounding
આજુબાજુના	apkārtne	surrounding
આજુબાજુનાં	apkārtne	surrounding
આજુબાજુમાં	visapkārt	in surrounding
આજે	šodien	today
આજ્ઞા	pavēle	order
આઝાદ	azāds	independent
આઝાદી	brīvība	freedom
આઝાદીની	par brīvību	of independence
આટલા	tik daudz	so much
આટલી	tik daudz	so
આટોપી	atopija	winding
આઠ	astoņi	this
આઠમી	astotais	eigth
આઠમો	astotais	eighth
આડકતરી	netieši	indirectly,
આડા	horizontāli	obstruct
આડે	aade	other
આણંદ	anand	anand
આણંદમાં	anandā	in anand city
આણે	šis	brings
આણ્યો	atvests	brought
આણ્વીક	molekulāri	atomic,
આતંકવાદ	terorisms	terrorism
આતંકવાદી	terorists	terrorist
આતંકવાદીઓ	teroristi	militants
આત્મકથા	autobiogrāfija	autobiography
આત્મકથાઓમાં	autobiogrāfijās	in bio-graphy
આત્મકથામાં	autobiogrāfijā	in autobiography
આત્મા	dvēsele	soul
આત્માને	dvēselei	to soul
આત્યંતિક	ekstrēms	severe / highly
આથી	līdz ar to	because of this
આદર	cieņa	respect
આદરી	adari	began
આદર્શ	ideāli	ideal
આદર્શો	ideāli	ideals
આદાનપ્રદાન	apmaiņa	give and take / barter
આદિ	utt	ancient
આદિને	adine	other,
આદિલ	ādils	adil
આદિવાસી	cilts	tribal
આદિવાસીઓ	ciltis	aboriginal
આદેશ	pavēle	order
આધાર	atbalsts	support
આધારિત	balstīts	dependent
આધારીત	balstīts	based
આધારે	pamatojoties uz	based / base / footing
આધિકારિક	oficiālā	official [hindi word]
આધિપત્ય	dominēšana	domination
આધીન	priekšmets	depend
આધુનિક	mūsdienu	mordern
આધૂનિક	mūsdienu	modern
આધ્યાત્મિક	garīgais	religious
આનંદ	izbaudi	joy
આનંદપુર	anandpur	anandpur
આનર્ત	anarts	aanart
આના	no šī	by this
આનાથી	no šī	by this
આની	no šī	it's
આનું	no šī	this
આને	uz šo	this
આનો	no šī	this
આપ	jūs	you
આપણને	mums	ours
આપણા	mūsu	ours
આપણી	mūsējie	our
આપણું	mūsējie	ours
આપણે	mēs	we
આપણો	mūsējie	our
આપતા	dod	used to give
આપતાં	dod	giving
આપતી	dod	giving
આપતું	dod	giving
આપતો	dod	giving
આપનાર	dāvinātājs	the one who gives
આપનારા	piešķir	those who are giving
આપની	ar cieņu	in front of you.
આપને	tev	to you
આપમેળે	automātiski	own
આપલે	apmaiņa	give and take
આપવા	dot	to give
આપવાના	dot	giving
આપવાની	dot	to give
આપવાનું	dod	to give
આપવાનો	dot	to give
આપવામાં	dots	to give
આપવી	dod	to give
આપવું	dot	to give
આપશે	dos	provide
આપી	dot	to give
આપીને	dodot	by giving, after giving
આપે	dod	gave
આપેલ	dots	given
આપેલા	dots	given
આપેલાં	dots	to give
આપેલી	ar nosacījumu	given
આપેલું	rīka padoms	given
આપો	dot	give [indicative]
આપોઆપ	automātiska	by its own
આપ્યા	dod	gave, given
આપ્યાં	dots	given
આપ્યુ	piešķīra	given
આપ્યું	piešķīra	tendered
આપ્યો	piešķīra	given
આફ્રિકન	afrikāņu	african
આફ્રિકા	āfrika	africa
આફ્રિકાના	no āfrikas	africa's
આફ્રિકામાં	āfrikā	africa
આફ્રિકી	afrikāņu	african
આબુ	abu	abu
આબોહવા	klimats	atmosphere
આબોહવાને	klimats	climate
આભાર	paldies	gratitude
આભારી	paldies	thankful
આમ	tādējādi	this way
આમંત્રણ	uzaicinājums	invitation
આમતો	amato	in general
આમાં	šajā	within this
આમાંથી	no šiem	from this
આયરલેંડ	īrija	ireland,
આયરિશ	īru	irish
આયર્ન	dzelzs	iron
આયર્લેન્ડ	īrija	island
આયર્લેન્ડના	no īrijas	country name
આયર્લેન્ડમાં	īrijā	country name
આયાત	importēt	imports
આયુર્વેદ	ajūrvēda	ayurved
આયુર્વેદના	ajūrvēda	of ayurveda,
આયુર્વેદિક	ajūrvēdas	aayurvedic
આયુષ્ય	mūžs	life
આયોજન	plānošana	planning
આયોજીત	organizēts	organised
આર	r	r
આરંભ	darba sākšana	start
આરંભી	sākumā	started
આરએફસી	rfc	rfc
આરએસશર્મા	rs šarma	r. s. sharma
આરતી	aarti	arti
આરબ	arābu	arab
આરસ	marmors	marble
આરસના	marmors	marble's
આરસની	marmors	marble's
આરાધના	dievkalpojums	to pray
આરામ	atpūsties	rest
આરોગ્ય	veselība	health
આરોગ્યની	veselības	health related
આરોપ	apsūdzēts	impose
આરોપો	maksas	allegations
આર્કટિક	arktika	arctic
આર્કાઈવ્સ	arhīvi	arcives
આર્કિટેક્ચર	arhitektūra	architecture
આર્કિટૈક્ચર	arhitektūra	architecture
આર્ટ	art	art
આર્થર	artūrs	arthur
આર્થિક	ekonomiskais	economical / financial
આર્ય	ārija	arya
આર્યભટીય	ārjatija	aryabhatiya
આર્યભટ્ટ	ārijata	aryabhatta (one of the world's greatest mathematician-astronomer)
આર્યભટ્ટની	no ārjabatas	aryabhatiya
આર્યભટ્ટે	ārjabāta	by aryabhatt
આલ	al	al
આલેખતી	zīmējums	nerrating
આલેખન	zīmējums	design
આલ્ફા	alfa	alpha
આલ્ફ્રેડ	alfrēds	alaphreda
આલ્બર્ટ	alberts	albert
આવક	ienākumi	income
આવકના	ienākumi	of income
આવકાર	laipni lūdzam	welcome
આવતા	nāk	come
આવતાં	nāk	being
આવતી	nāk	comes
આવતું	nāk	to be managed
આવતો	nāk	coming
આવનાર	gaidāmā	the one who is coming
આવનારા	gaidāmā	incoming
આવરણ	piesegt	layer
આવરી	piesegt	covered
આવર્ત	periodiski	"name of comet ""avart"""
આવવા	nākt	to come
આવવાની	nākt	of coming
આવવાનું	nākt	to come
આવશે	atnāks	come
આવશ્યક	obligāti	require
આવા	tādas kā	such
આવાસ	izmitināšana	residence
આવાહન	uzaicinājums	appeal
આવી	nāca	came
આવીને	nāk	arrival
આવુ	aiziet	such
આવું	dari tā	such
આવૃત્તિ	versija	edition
આવે	nākt	known as
આવેલ	atrodas	has come
આવેલા	meli	come
આવેલાં	guļ	situated
આવેલી	atrodas	situated at
આવેલુ	atrodas	situated
આવેલું	atrodas	situated in
આવેલો	meli	situated at
આવો	aiziet	[you] come
આવ્યા	nāca	to arrive
આવ્યાં	nāca	came
આવ્યુ	nāca	come
આવ્યું	nāca	come
આવ્યો	nāca	came
આશરે	aptuveni	approximatly
આશા	ceru	desire
આશીર્વાદ	svētības	blesses
આશ્ચર્ય	pārsteigums	surprise
આશ્રમ	ašrams	ashram (monstery)
આશ્રમની	ašrams	of ashram
આશ્રમમાં	ašramā	in asylum / monastery
આશ્રય	patversme	shelter
આસક્તિ	pielikums	infatuation
આસન	asana	asana
આસપાસ	apkārt	near and there
આસપાસના	apkārtne	from around
આસપાસનો	vide	surrounding
આસામ	assam	assam
આસ્થા	ticība	trust
આસ્વાદ	izbaudi	aasvad / literature / taste
આહવા	ahwa	ahava
આહવાન	ielūgums	challenge
આહાર	diēta	food
ઇ	e	9
ઇ-મેઇલ	e-pasts	e-mail
ઇંગ્લીશ	angļu	english
ઇંગ્લેંડ	anglija	england
ઇંગ્લેંડમાં	anglijā	in england
ઇંગ્લેડ	anglija	england
ઇંગ્લેન્ડ	anglija	england
ઇંગ્લેન્ડમાં	anglijā	in england
ઇંડોનેશિયા	indonēzija	indonesia
ઇંધણ	degviela	fuel
ઇચ્છતા	gribējās	desireable
ઇચ્છા	vēlme	wish
ઇચ્છે	vēlas	wish
ઇજા	traumas	injury
ઇજિપ્ત	ēģipte	egypt
ઇઝરાયલ	izraēla	israel
ઇટાલિયન	itāļu valoda	italian
ઇડર	ederis	idar
ઇડી	ed	ed
ઇણ્ડિયા	indija	india [english in gujarati script]
ઇતિહાસ	vēsture	history
ઇતિહાસકાર	vēsturnieks	historian
ઇતિહાસકારો	vēsturnieki	historians
ઇતિહાસના	vēstures	history's
ઇતિહાસની	vēstures	history
ઇતિહાસનો	vēstures	history
ઇતિહાસમાં	vēsturē	in the history
ઇતીહાસ	vēsture	history
ઇત્યાદિ	utt	etc.
ઇન	iekšā	in
ઇનકાર	atteikums	deny
ઇનકી	inki	those
ઇનકે	inc	their
ઇનામ	balva	reward
ઇનિંગ્સ	injings	innings
ઇન્ક	inc	ink
ઇન્ગલિશ	angļu	english
ઇન્ટરનેટ	internets	internet
ઇન્ટરનેશનલ	starptautiskā	international
ઇન્ટરફેસ	saskarne	interface
ઇન્ડિયન	indiānis	indian
ઇન્ડિયા	indija	india
ઇન્ડીયન	indiānis	indian
ઇન્ડોઆર્યન	indiāņi	indo-iron
ઇન્ડોનેશિયા	indonēzija	indonesia, name of country
ઇન્ડોયુરોપીયન	indoeiropietis	indo european
ઇન્દ્ર	indra	god name
ઇન્ફર્મેશન	informācija	information
ઇન્ફોર્મેશન	informācija	information
ઇન્ફ્રારેડ	infrasarkanais	infrared,
ઇન્સ્ટિટ્યુટ	institūts	institute
ઇન્સ્ટીટ્યુટ	institūts	institute
ઇપૂ	bc	before christ
ઇમારત	ēka	building
ઇમારતના	no ēkas	from building, of the building
ઇમારતો	ēkas	buildings
ઇમિસન્સ	emisijas	emissions
ઇમેઇલ	e-pasts	e-mail
ઇમેલ	e-pasts	e-mail
ઇયુ	es	eu
