$ tỉ	miljardu dolāru	$ billion
buốt	labprāt	sharp
buồm	bura	sail
buồn	skumji	sad
buồng	istaba	chamber
buổi	sesija	session
byzantine	bizantīns	byzantine
bà	vecmāmiņa	woman or lady (n.)
bài	ziņas	articles
bàn	tabula	table
bàng	ērglis	eagle
bành	peng	armchair
bào	ēvelēšana	compatriot
bàu	bau	bau
bày	prezentācija	"(term should be ""trưng bày"") to display (v.)"
bác	tēvocis	doctor
bách	ciprese	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	kults	to bow (v.)
bám	pieķerties	cling
bán	pārdot	sell
báng	sprādziens	"(term should be ""phỉ báng"") to defame or slander"
báo	avīze	newspaper (n.)
bát	bļoda	eight (n.)
báu	dārgums	valuable
bây	tagad	now
bã	atlikums	"(term should be ""buồn bã"") sad (adj.)"
bãi	pagalmi	beach
bão	vētra	storm
bèn	tad	then
bé	maz	baby
bén	asu	sharp (adj.)
béo	tauki	fat
bên	pusē	side
bênh	slims	advocate
bì	iepakojums	foreskin (n.)
bìa	piesegt	cover
bìu	sēkliniekos	sac (n.)
bí	skvošs	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	ķirbis	biro
bò	govs	beef
bó	ķekars	bound (adj.)
bói	zīlēšana	to foretell (v.)
bón	mēslot	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	bumba	sphere or ball
bóp	saspiest	squeeze
bô	tēvs	"(term should be ""bôxit"") the mineral bauxite"
bôi	iesmērēts	to apply (as in oil)
bông	kokvilna	flower
bù	meikaps	compensate
bùa	amulets	talisman
bùn	dubļi	mud
bùng	uzliesmot	"(term should be ""bùng nổ"") to break out (v.)"
bú	zīst	to suck
búa	āmurs	a hammer
búi	kušķi	tuft
bún	rīsu nūdeles	noodle
búng	ņurdēja	snap
bút	pildspalva	pseudonym
băm	hashed	hash
băn	satracināt	concerned
băng	ledus	"(term should be ""băng giá"") freezing (adj.)"
bơ	sviests	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	peldēt	swim
bơm	sūknis	pump
bưu	pasta izdevumi	post office
bước	solis	a step (n.)
bướm	tauriņš	butterfly
bạ	kontakti	directory
bạc	sudrabs	meager
bạch	balts	"(should be ""bạch tuộc"") an octopus"
bại	zaudēt	defeated
bảng	dēlis	chart
bảo	bao	protect
bảy	septiņi	seventh
bấm	nospiediet	press
bất	reāli	"(term should be ""bất cứ"") any (adj.)"
bấy	tas	contemporary
bần	nabadzīgs	poor
bầu	balso	vote
bầy	ganāmpulks	servant
bẩm	iedzimts	congenital
bẩn	netīrs	the
bẩy	slazds	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	slazds	a trap (n.)
bậc	grāds	level or class (n.)
bận	aizņemts	busy
bật	ieslēgts	outstanding
bắc	uz ziemeļiem	beijing
bắcnam	ziemeļi dienvidi	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	šaut	shoot
bắp	kukurūza	venter
bắt	noķert	cross
bằng	vienāds	by
bẹp	sasmalcināt	crush
bẻ	pārtraukums	break
bẽ	pazemojums	humiliate
bến	piestātne	wharf
bếp	virtuve	kitchen
bề	virsma	"(should be ""bề mặt"") a surface"
bền	izturīgs	enduring (v.)
bể	plēšas	tank
bệ	pjedestāla	base
bện	pīts	braided (adj.)
bệnh	slims	benh
bỉ	beļģija	disgust
bỉnh	nerātns	binh
bịch	mest	ridiculous
bịt	pārklāts	cover
bọ	bļāviens	insect
bọc	ietīt	to cover or enclose (v.)
bọn	viņiem	a group (n.)
bọng	pietūkums	bladder
bọt	putas	foam
bỏ	atsaukt	to leave (v.)
bỏng	sadedzināt	hot
bố	tēvs	"(term should be ""tuyên bố"") to declare"
bốc	iekraušana	bốc lửa= on fire
bối	apjucis	messy
bốn	četri	four
bồi	kompensācija	"(term should be ""cao bồi"") cowboy (n.)"
bổn	nodoklis	duty
bổng	stipendija	"with word luong, means ""salary"" or ""wages"""
bỗng	pēkšņi	suddently
bộ	komplekts	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	vairākas	betray
bột	milti	powder or flour (n.)
bớ	noapaļot uz augšu	arrest
bớt	mazāk	less
bờ	mala	coast
bời	bum	profuse
bở	autors	profitable
bởi	autors	because
bục	pjedestāla	platform
bụng	kuņģī	abdomen
bứt	neapzināti	"(term should be ""bứt phá"") power (n.)"
bừa	aizskarošs	messy, careless, or topsy-turvy (adj.)
bữa	maltīte	meal (n.)
bực	neapmierināti	bother
ca	maiņu	praise
ca-lo	ca-lo	a unit of measurement
cabo	kabo	cabo
cacbon	oglekļa	carbon
cacbonat	karbonāts	carbonate
cacbua	karbīds	carbides, carbon ions
caesar	ķeizars	caesar
caffein	kofeīns	caffeine
café	kafija	coffee
cai	kai	govern
cairo	kaira	cairo, the capital of egypt
cal	kal	cal, a first name
calculus	aprēķins	calculus
calvin	kalvins	calvin
cam	apelsīni	commit
cambodia	kambodža	(proper noun) the country of cambodia
cambridge	kembridža	cambridge
cameo	kameja	cameo part
cameron	kamerons	cameron
cameroon	kamerūna	cameroon
camille	camille	camille
campbell	nometne	campbell
campuchia	kambodža	campuchia
canada	kanāda	canada
canadian	kanādietis	canadian
canal	kanāls	canal
canary	kanārijputniņš	canary
cancer	vēzis	cancer
canterbury	kenterberija	canterbury
canxi	kalcijs	calcium
capello	kapelo	capello
capra	kapra	capra
carat	karāts	carat
carbine	karabīna	carbine
cardcaptor	kartogrāfs	cardcaptor
cardcaptors	kardināli	(proper noun) cardcaptors
carey	rūpīgs	(proper noun) carey, as in singer mariah carey
caribe	karibe	caribbean
caribê	karību jūras reģions	caribbean
carl	kārlis	carl
carlos	carlos	carlos
carnaval	karnavali	carnaval
carol	carol	carol
caroline	karolīna	(proper noun) caroline
carpathia	carpātija	carpathia
carter	karteris	carter
carxtơ	karāts	karst topography, a geological term (n.)
casa	ca sa	casa
casablanca	casablanca	casablanca
caspia	kaspija	caspia
cassini	kasini	cassini
cast	cast	cast
castries	kārbiņas	castries
castro	kastro	castro, as in fidel castro
cathay	katajs	cathay
catherine	katrīna	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	kompaktdisks	cd
cdot	cdot	cdot
cdrom	cd rom	cd-rom
cell	šūna	cell
celtic	ķeltu	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	kentauru	centauri
ceres	ceres	ceres
cha	tētis	father
chai	pudele	bottle
chaillot	chaillot	a name
chamberlain	kamerlains	chamberlain
champa	šampa	champa
champion	čempions	champion
chamẹ	vecākiem	parents
chanel	kanāls	chanel
chanh	citronu	lemon or lime (n.)
chao	sveiki	(proper noun) chao, a name
charles	charles	charles
charlotte	šarlote	charlotte
charlton	charlton	charlton
charon	hronons	(proper noun) charon
chase	tramdīt	chase
chay	veģetārietis	fasting
chdcnd	chdcnd	democratic republic
che	piesegt	cover
chechnya	čečenija	chechnya
chen	čen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	dalīties	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	čikago	chicago, as in chicago, illinois
chile	čīle	(proper noun) the country of chile
chim	putns	bird
china	ķīna	china
ching	čings	ching
chirac	čiraks	chirac, as in former french president jacques chirac
chiêm	zodiaka	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	cepts	fry
chiêng	gongu	gong
chiếc	gab	the
chiếm	grāmatvedība	appropriate
chiến	cīņa	war, fight
chiết	ekstrakts	literal
chiếu	paklājs	show
chiền	ķekars	temple
chiều	plkst	length
chlamydia	hlamīdijas	chlamydia
chloride	hlorīds	chloroauric acid
chnd	chnd	chnd
choi	spēlēt	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	šopēns	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	apmetnis	coat
choáng	apstulbis	dizzy
chris	kriss	chris, as in chris hughes
christ	kristus	christ
christian	kristietis	christian
christopher	kristofers	christopher
chrome	hroms	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	ču	cycle
chua	skābs	tomato
chuck	čaukst	(proper noun) chuck, as in chuck norris
chui	noslaucīt	underground
chum	čoms	pot
chun	čun	chun
chung	vispārējs	general
churchill	bazilika	churchill
chuyên	specializēta	professional
chuyến	ceļojums	trip
chuyền	caurlaide	volleyball
chuyển	pārcēlās tālāk	to move
chuyện	stāsts	nói chuyện= talk
chuôi	žņaugt	handle
chuông	zvans	a bell
chuẩn	standarta	standard
chuốc	kule	incur
chuối	banāns	banana
chuốt	atklāšana	refine
chuồng	būris	cage
chuỗi	ķēde	series
chuộc	izpirkt	redeem
chuộng	labvēlīgi	favorite
chuột	pele	a mouse (n.)
chà	berzēt	rub
chài	makšķerēšana	fish
chàm	indigo	indigo
chàng	puisis	"(term should be ""chàng trai"") a young man (n.)"
chào	sveiki	welcome
chày	beisbols	a pestle (n.)
chánh	priekšnieks	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	putra	porridge
cháu	mazbērni	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	uguns	fire
châm	iedurt	motto
chân	pēdu	a leg
châu	eiropa	continental
chè	tēja	tea
chèn	ievietot	insert
chém	griezt	to chop
chén	kauss	bowl
chéo	krustu	cross
chép	kopēt	written
chê	sasodīts	decry
chênh	atšķirība	difference
chì	svinu	graphite
chìa	atslēga	"(term should be ""chìa khoá"") a key (n.)"
chìm	nogrima	to become submerged or sink (v.)
chình	zutis	eel
chí	utis	especially
chích	dzelonis	shoot
chín	deviņi	ripe
chính	galvenais	main
chít	čit	dense
chò	aizrīties	a type of plant, typically of the parashorea genus (n.)
chòi	kajīte	hut
chòm	zvaigznājs	constellation
chó	suns	dog
chóc	haha	killing (giet choc)
chói	atspīdums	bright
chóng	ātri	"entire term should be ""chong mat""; means ""dizzy"""
chóp	tops	the top (n.)
chôm	rambutāns	rambutan
chôn	aprakt	bury
chông	vīrs	thorn
chùa	templis	pagoda
chùy	mace	mace
chú	tēvocis	uncle (n.)
chúa	dievs	god
chúc	vēlēties	will
chúi	tuu	drop
chúng	viņiem	they
chút	mazliet	little
chăm	grūti	champa
chămpa	šampa	champa
chăng	pieejamu	would it
chĩa	dakšiņas	point
chơi	spēlēt	play
chơn	pēdas	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	ču	lower authorities
chưa	vēl nē	not yet
chưng	dist	steamed
chương	nodaļa	medal
chướng	šķēršļu josla	grating
chạ	daudzsološs	father
chạm	pieskarties	touch
chạng	krēsla	twilight
chạp	drebošs	slow
chạy	skriet	to run (v.)
chả	ruļļos	no
chảo	panna	pan
chảy	skriet	bleeding
chấm	punkts	end
chấp	izaicinājums	"(term should be ""chấp nhận"") to accept (v.)"
chất	matērija	quality
chấu	šķipsnu	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	blanšēšana	slice
chẩn	diagnosticēt	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	lēns	slow
chận	bloķēt	block
chật	saspringts	overcrowded
chậu	pods	pelvic
chắc	protams	certainly
chằng	pieri	ligament
chẵn	pat	even
chặn	bloķēt	prevent
chặng	kāju	journey
chặt	karbonāde	close
chẻ	sadalīt	strick
chẽ	saspringts	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	preparāti	produce
chếch	ļengans	oblique
chết	nomira	to die (v.)
chệch	nepareizi	deviant
chỉ	vienkārši	just (adv.)
chỉnh	korekcija	adjust
chịt	viltība	chằn chịt= complex/tangle
chịu	lācis	tolerate
chọc	iebakstīt	to poke
chọi	cīņas	oppose
chọn	izvēlēties	to choose
chỏ	elkonis	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	brīdis	single
chối	noliegt	refuse
chốn	vieta	place
chống	anti	anti-
chốt	aizbīdnis	important
chồi	atvases	"(term should be ""đâm chồi"") budding"
chồn	lapsa	anxious
chồng	vīrs	husband
chỗ	vieta	where
chội	sūdi	cramped
chớ	ne	not
chớp	zibens	flashing (adj.)
chờ	pagaidiet	to wait
chở	nēsāšana	for
chợ	tirgus	market
chợt	pēkšņi	suddenly
chục	duci	dozen
chụp	nofotografēt	capture
chủ	meistars	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	celmi	strain
chứ	drīzāk	just or only (adv.)
chứa	saturēt	contain
chức	funkcija	function
chừ	vēstule	hesitate
chừa	aiziešana	leave
chừng	daži	about or roughly (adv.)
chử	vārdu	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	grūtniece	pregnant
chửi	lāsts	curse
chữ	vārdu	a letter of the alphabet (n.)
chữa	izārstēt	to cure or treat (v.)
chững	izlīdzināšana	to totter (v.)
cia	cia	cia
cincinnati	sinsinati	cincinnati
cinderella	pelnrušķīte	cinderrella
cip	cip	cip
circus	cirks	circus
cities	pilsētas	cities
clara	klara	clara
clark	clark	clark
claude	klibs	(proper noun) claude
claudius	klaudijs	(proper noun) claudius
clinton	klintons	clinton, as in former president bill clinton
clip	klips	clip
clips	klipus	clips
clo	hlors	chlorine
clow	klauns	clow
clyde	klaids	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	coburn	coburn
cocoa	kakao	cocoa
coen	coen	coen
coffea	kafija	coffee
cohen	koens	cohen
coi	skatīties	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	koli	coli
colin	kolins	(proper noun) colin, as in colin powell
colleen	koleen	colleen
college	koledža	college
collins	collins	(proper noun) collins
collège	koledža	college (n.)
colombia	kolumbija	colombia
colombo	kolombo	(proper noun) colombo
colorado	kolorado	(proper noun) colorado, as in the state
columbus	kolumbs	columbus
comic	komiksu	comic
common	izplatīts	common
concacaf	konkūfs	concacaf
concerto	koncerts	concerto
concorde	saskaņot	concorde
condom	prezervatīvs	condom
cong	izliekts	curved or bent
congo	kongo	congo
congress	kongress	congress, as in library of congress
connecticut	savienojumu	connecticut
conrad	conrad	corrad
conservation	saglabāšana	conservation
constantine	konstantīns	constantine
contemporary	mūsdienu	contemporary
cooper	cooper	(proper noun) cooper
copenhagen	kopenhāgena	copenhagen
copernic	kopernika	corpernic
copperfield	vara lauks	(proper noun) copperfield, as in magician david copperfield
coppola	koppola	coppola
copy	kopija	copy
cordyceps	kordiceps	cordyceps
core	kodols	core
cornell	kornela	cornell
cosin	kosins	cosine
costa	kosta	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	krabis	(proper noun) craig
crazy	traks	crazy
crespo	krespo	(proper noun) crespo
crest	cekuls	crest
crew	apkalpe	crew
crimson	sārtināt	crimson
crisis	krīze	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	horvātija	croatia
cross	krustu	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	kruzeiro	cruzeiro
crystal	kristāls	crystal
ctc	ctc	ctc
cua	krabis	crab (n.)
cullen	cullen	a name
cung	priekšgala	circle
cunningham	viltīgais	cunningham; proper name
cup	kauss	cup
cuả	no	of, from, belonging to
cuốc	kapļi	hoe
cuối	pēdējais	last or final (adj.)
cuốn	spole	book
cuống	kātiņš	throat
cuồng	traks	crazy (adj.)
cuộc		the
cyanide	cianīds	cyanide
cyber	kibernoziegums	cyber
cyril	kirils	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	cyworld	cyword
cà	kafija	ca
cài	uzstādīt	install
càn	vajag	raid
càng	vairāk	cang
cành	filiāle	branch
cào	saskrāpēt	scratch
cày	aršana	plow
các		all (adv.)
cách	veids	the
cái		"(term should be ""con cái"") children (n.)"
cán	velmēts	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	spārns	wing
cáo	lapsa	report
cáopx|bình	cáopx | vidējais	not a word
cáp	kabelis	cable (n.)
cáy	vijole	fiddler
câm	mēms	mute (adj.)
cân	svari	weight
câu	teikums	saying
cãi	strīdēties	argue
cò	sprūda	stork
còn	joprojām	to have left (v.)
có	ir	have
cói	grīšļi	machine
cót	bērnu gultiņa	cot
cô	garām	girl
côi	bāreņi	orphaned
côn	konusveida	a stick (n.)
công	darbs	worker
côngtenơ	konteiners	container
cõi	valstības	entire area
cõng	piggyback	piggyback
cù	kutināt	cu
cùi	spitālīgie	leprosy
cùng	un	together
cú	pūce	old
cúi	priekšgala	to bow (v.)
cúm	gripa	cum
cúng	mājīgs	worship
cúp	kauss	cup (n.)
cút	pazūdi	to kick someone out (v.)
căm	iesprausts	detest (cam thu)
căn	radikāls	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	stiept	tense
cũ	vecs	old
cũi	gultiņa	kennel
cũng	arī	also
cơm	rīsi	rice
cư	apdzīvot	resident
cưa	ieraudzīja	saw
cưng	mana mazulīte	also
cước	kravas	megaman
cưới	precējies	marry
cướp	aplaupīt	to rob (v.)
cười	smieties	smile
cường	stipra	strengthen
cưỡi	jāšana	ride
cưỡng	piespiedu kārtā	force some body to do some thing. cưỡng dâm=rape
cạc	karti	card (n.)
cạn	sekla	shallow
