aajo	nực cười	hospitality
fihan	chỉ ra	shows, to show
fimú	được định nghĩa rõ ràng	captivate with
finiki	vật lý	finiki
finlandi	phần lan	finland
fitino	thử nghiệm	judgement
five	số năm	marun
fodio	fodio	fodio
fofinde	cấm	prohibited
fohùn	kêu la	consent
foniimu	phim ảnh	phoneme
force	lực lượng	agbara
foriko	ví dụ	agreed
fourbase	bốn cơ sở	onidi-merin
fowobowe	đặt trước	signed
fowó	vì tiền	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	người pháp	france
freetown	freetown	freetown
fuji	tẩy	fuji
fulani	hèn nhát	fulani
fulbe	điểm tựa	fulbe
fun	cho	for
funra	chinh no	suspect
further	thêm nữa	si
fé	fé	like
fé	yêu	want
fégbé	quên đi	for peers
fífò	bay	jumping
fífún	cho	giving
fòye	hiểu biết	rationalise
fẹ́rẹ̀ẹ́	hầu hết	nearly
galatia	thời gian này	galatia
gba	đồng ý	accept
gbajúgbujà	rất nổi tiếng	popular
gbale	phổ biến	flourished
gbaná	bắn ra	engulf in flame/rage
gbe	mang	set up
gbera	tiến lên	move
gberasoke	tăng tốc	rising
gbese	món nợ	debt
gbigbamulo	khai thác	adopted
gbigbewo	tài chính	examined
gbilè	thoát ra	gaining ground
gbin	trồng	farm
gbogbogbo	chung	general
gbongbo	nguồn gốc	root
gbàgbọ́	tin	believe
gbàgùrà	lắc	gbagura
gbá	đập vỡ	received
gbáradì	thức dậy	prepare
gbé	trực tiếp	convey
gbédìí	thành lập	respect
gbékalè	thợ mộc	establish
gbéni	trực tiếp	lift
gbéyèwò	ôn tập	examine
gbésè	phục vụ	die
gbìnyànjú	thử	endeavour
gbìyànju	cố gắng hết sức	try
gbódò	phải	must
gbónmisi	pháp luật	strife
gbúnùn	ngửi thử đi	hostile
gbọ́dọ̀	phải	must
geesi	tiếng anh	english
geneva	geneva	geneva
genevieve	genevease	genevieve
georgia	georgia	georgia
german	tiếng đức	german
gfaj	gfaj	gfaj
ghana	ghana	ghana
gidigidi	rất	significantly
gidí	nhà ở	real
goemai	goemai	goemai
gomina	thống đốc	governor
gorgina	đại bàng	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	ngữ pháp	grammy
griiki	người hy lạp	greek
groove	rãnh	iho
guanínì	guanni	guanine
guinea	chuột lang	guinea
guineabissau	guinablesissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	dài	stretch
gunle	súng	arrive
guusu	miền nam	south
gv	gv	gv
gèésì	keo dán	english
gèésì	đá quý	english
gégé	có thật không	like
gírámà	lưới	grammar
gòkè	đi lên	climb
gún	xỏ	properly
gúúsù	miền nam	south
gẹ̀ẹ́sì	tiếng anh	english
habsburg	habsburg	habsburg
haggai	hướng dẫn	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	cứng	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	kẹo	hendu
henny	xu	henny
heraklion	heraklion	heraklion
hesse	đã đồng ý	hesse
him	anh ta	un, this term is sexless
hindu	hindu	hindu
histoni	lịch sử	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	hp	hp
hugh	hugh	hugh
hun	hun	knit
hungari	chết đói	hungary
hv	hv	hv
ibalo	công việc	relationship
ibarepo	hiệp hội	friendship
ibeji	anh em sinh đôi	twins
ibewo	đã đến	visit
ibiamusin	thánh địa	colony
ibile	truyên thông	municipality
ibimo	sinh	birth
ibise	tập thể dục	official
ibiti	nơi	where
ibn	ibn	ibn
ibojì	mộ	burial ground
ibori	mạng che mặt	conquest
ibujoko	băng ghế	place of abode
ibuseripadabosi	hoàn trả	eternity
ibuso	chiến đấu	bus stop
ibùdó	trại	settlement, seat of, area,
ibùjókòó	chỗ ngồi	settlement
iceland	nước iceland	iceland
idagbasoke	phát triển	development
idagbe	bỏ mặc	isolation
idaji	một nửa	half
idajo	sự công bằng	judgement
idamita	vẽ tranh	sector
idari	điều khiển	control
ideraa	viết	comfort
idimule	bắt giữ	establishment
idoma	đang vẽ	idoma
idupe	cảm ơn bạn	thanksgiving
idánwò	thử nghiệm	examination
ifija	đánh bắt cá	weapon
ifilole	phóng	resolution
ifitonileti	thông tin	reporting
ifobaje	tham nhũng	coronating
ifofinde	hội nghị	prohibition
ifriqiya	kích thích	ifriqiya
igbeduro	sự chuẩn bị	institute
igbegun	chiến thắng	declaration of war
igberiko	ngoại ô	region
igbesoke	nâng cấp	upliftment
igbeyawo	lễ cưới	marriage
igbowolori	đắt	inflation
igbá	thịt gà	shell
igbáẹ̀yìn	cái cuối cùng	shell
igitòròmogbè	băng thông rộng	willow tree
ihan	xuất hiện	ray
ihinrere	sách phúc âm	gospel
ijagun	đánh nhau	war
ijakadi	đấu tranh	wrestling
ijaya	hoảng loạn	fear
ije	phong trào	eating
ijinnasi	vật lý	the wind open
ijosin	thờ cúng	worship
ijó	khiêu vũ	dance
ikan	một	one of
ikandinlogun	mười tám	nineteen
ikaowo	sự tôn trọng	finger
ikejidinlogun	mười tám	eighteen
ikeko	biên soạn	education
ikerin	thứ tư	fourth
iketa	kế thừa	third
ikoenu	để tiết kiệm	union
ikojopo	tích lũy	collection
ikoreokere	thu hoạch	migration
iku	tử vong	death
ikúgbaèyí	hiện nay	death-has-this
ikún	đổ đầy	squirrel or wild rodent
ilagbolojo	công khai	latitude
ilana	thủ tục	procedure
ilanaoye	chiến lược	knowledge procedure
ilaodo	bảo vệ	cana
ilaorun	bình minh	west
ileasofin	lập pháp	house of law,
ilegiga	trang chủ	higher ground or higher plain
ileife	bỏ mặc	ile-ife
ileigbimo	bằng lòng	house of assembly/congress
ileobaluaye	thế giới	high chief
ileru	lò lửa	volcanic
ilopo	gấp đôi	times
iluoba	quyền công dân	king's town
iluorilejoba	toàn cầu hóa	capital city
ilé	trang chủ	house
iléayé	trang chủ	earth
iléisé	trang chủ	workplace
ilélódò	ngôi nhà	ile-lodo
iléàtèéré	trang chủ	ile-ateere
iléńlá	sân	ile-nla (area)
ilẹ	đất	land
ilẹ̀ayé	trái đất	the world
iminle	bắt giữ	earthquake
imoero	làm sáng	engineering
imojuto	quan tâm	protection
imusin	vẽ tranh	colony
imú	mũi	nose
imúnisìn	vệ sinh	slavery
inagberingberi	bơ đậu phộng	electromagnetic force
indeed	thật	paapa julo
indus	indus	indus
inkosi	để biện minh	inkosi
integration	hội nhập	ifowosowopo
inágbéringbérin	mười bảy	electromagnet
iní	di sản	possession
inúnibíni	áp bức	hatred
ioja	cá	fight
ioniani	túng thiếu	ionian
iowa	trên trái đất	iowa
ipare	phai màu	abolition
ipawo	sử dụng	income
ipele	cấp độ	stage
ipin	chương	share
ipinpa	sự tham gia	arm of, branch of
ipinu	phán quyết	determination
ipo	vị trí	position
ipá	lực lượng	effort
iraja	gây sốc	bargaining
iranlose	hỗ trợ	mission
ire	giảm giá	you
irele	khiêm tốn	irele
iringa	gói (lại	iringa
irisi	xuất hiện	appearance
irorun	rất đơn giản	convenient
irò	tin đồn	iro
irúnmọlẹ̀	sét đánh	apparition
isa	đủ	jesus, isa or yisa is hausa language
isare	sự tăng tốc	track race
isedaniloro	tự nghi ngờ	terrorism
iseero	đồng hồ đeo tay	engineering
isejoba	quản trị	governance
iseoba	mười lăm	civil service
iseoroayeijoun	khảo cổ học	archaeology
iseowo	kinh doanh	business
isepinpin	phân phối	division
iso	đến	unit
isoponomba	isoponomba	addition of numbers
isun	lưu lượng	spring
isesi	đầu hàng	conduct
isè	dịch vụ	occupation
itali	người ý	italy
itanakole	câu chuyện	ancient
itelentele	rõ ràng	coming after
itiraka	đấu tranh	effort
itobi	khoe khoang	size
itokowo	kinh doanh	economy
itorawo	tự do	astrology
itu	ném	solution
itumo	ý nghĩa	meaning
iwadi	nghiên cứu	research
iwasi	gây ấn tượng	behaviour
iwifun	thông tin	report
iwoile	trang chủ	entering
iwosan	đang lành lại	healing
iwulo	hữu ích	use
iwuwa	thực hành	behaviour
iyan	nạn đói	argument
iyato	sự khác biệt	difference
iyawo	cô dâu	wife
iyen	đó là	that
iyán	lung linh	pounded yam
iḷẹ̀	công việc	land
iṣẹ́ìwádìí	nghiên cứu	research
jabo	báo cáo	give account
jackson	jackson	jackson
jadide	giữ lấy	emerge
jagbe	bị lạc	shout
jalè	trộm cắp	steal
jamaica	youtube	jamaica
jamo	đi chỗ khác	link
jawaharlal	xích đu	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	hình học	geometry
jesu	chúa	jesus
jfk	jfk	jfk
jije	được	existing as
jijinna	xa	distance
jiròrò	sương mù	dialogue
jo	rò rỉ	days
jogun	thừa hưởng	inherit
johann	địa ngục	johann
johanu	lấy làm tiếc	john
jojo	nứt	great extent
jopò	tham gia vào	gathered
jo	john	resemble
juneau	sân khấu	juneau
jàgídíjàgan	hung bạo	violent
jáde	đi ra	out
jé	đến	is
jéésù	chúa giêsu	jesus
jìnnàa	xa	further
jíje	được	eating
jíjuwó	kiếm tiền	waving hands
jíjéomoléyìnkírísítì	như một nhà từ thiện	followers of christ
jùlo	nhiều hơn	most
jùlo	đặc biệt	most
jùló	nhiều nhất	most
jẹ́mánì	tiếng đức	germany
jọ́	xin vui lòng	together
kadara	tài sản	destiny
kagera	khoe khoang	kagera
kakiri	dấu vết	all over
kalinga	cinga	kalinga
kalẹ	để qua một bên	established
kampala	kẹp	kampala
kan	một	one
kankan	không ai	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	karl	karl
karun	thứ năm	fifth
karùún	thứ năm	fifth
kebbi	điều chỉnh	kebbi
kekere	nhỏ	lower
keko	biết đọc	learn
kept	đã giữ	fi pamo
khoisan	kém hơn	khoisan
ki	cũng vậy	not
kiakiajulo	nhanh nhất	rapidly
kiko	đưa	gathering
kikojo	biên soạn	gathering
kikopomo	sự ấm áp	mixed
kikoso	nhanh	colonised
kiko	học tập	making
kikuninu	tưởng tượng	size
kilhar	nách	kilhar
kinkinni	chuyện nhỏ	small quantity
ko	hoặc là	don't
kodò	phía dưới	bow
koidu	koidu	koidu
kojá	vượt qua	pass
kolo	kolo	going
komputa	máy vi tính	computer
kong	kong	kong
kongo	bao cao su	congo
kookan	điều này	one
koto	mồi	pit
koko	học tập	make heap
ko	không	learn
kori	không còn nữa	not found
krio	krio	krio
ku	bạn	remain
kwara	giải quyết	kwara
kàríbẹ́ánì	trong khu vực	carribean
kàyéfì	ngạc nhiên	amazement
ká	của	we
kánfinkése	khéo léo	prolonged
kánádà	tất nhiên	canada
káyé	thế giới	world
kéesì	nực cười	keesi
kékéèké	nhỏ	small
kétu	được chuẩn bị	ketu
kémíkà	ngược lại	chemical
kéyìn	một lát sau	come after,
kìnní	đầu tiên	first
kí	chào	not
kíko	học tập	written
kíkọ́	học	learning
kínu	hôn	greet
kírísìtì	giáng sinh	christ
kòjòkú	mưa	kojoku
kòkó	con chuột	cocoa
kòmpútà	máy vi tính	computer
kòtò	một hố	pit
kòòsí	không phải vậy	coaching
kòòkan	mỗi cái	each
kógo	vinh quang	glorious
kóra	tụ họp	participate
kùkú	sau tất cả	eventually
kùrání	kinh koran	quran
kúkú	sau tất cả	now
kúkúrú	một cách ngắn gọn	short
kúrò	xa	away
kútò	mọi điều	kuto (place)
kúùkù	ngược lại	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	thứ tư	4
kẹsàán	ngay lập tức	ninth
kẹta	ngày thứ ba	third
kẹ́nyà	tách biệt	kenya
kọjá	vượt qua	pass through
kọ̀mpútà	máy vi tính	computer
kọ́kọ́	đầu tiên	first
kọ́lọ́mú	cột	breast owner
kọ́ni	thiếu	teach
laa	đi chỗ khác	will
laada	đá	good fortune
laaka	đảo ngược	important
laarin	trong	between
labalaba	bươm bướm	butterfly
labee	bên dưới	under
lade	lade	crowned
laid	đặt	tele
laifi	lỗi	without
languages	ngôn ngữ	ede
lanka	lanka	lanka
lasile	giải phóng	laid out
latibe	từ đó	from there
latigbana	kể từ đó	from then on
latini	latin	latin
latvia	latvia	latvia
lay	đặt nằm	da
le	có thể	can
leboa	bảng	leboa
lekun	tăng cường	open door
leo	sư tử	leo
lese	bài đăng	firmly
less	ít hơn	okeresi
lewaju	trở đi	front
lewon	phạt tù	imprisonment
leyi	đây rồi	mispelled...should be 'leyin', after
leè	có thể	can
lilelile	khó tính	tightly
lilemo	cần sa	sticky
lilongwe	hoa cà	lilongwe
lindi	dung dịch kiềm	lindi
linear	tuyến tính	dogba
links	liên kết	eka; this is a new word and does not really exist in yoruba
lodo	diễn ra	from
lojowaju	trong tương lai	the future
lojukokoro	tham	covetousness
lojúgun	anh ta tàn phá	knee
lokunkun	năng lượng	in the dark
loloselu	về mặt chính trị	in politics
lopolopo	rất nhiều	so many
loruko	tên	name
louvre	bảo tàng	louvre
lovers	người yêu	awon olufe
low	thấp	diye
lo	đi tiếp	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	công bằng	more important
lààmi	ký tên	sign
lààmì	dấu hiệu	significant
lábé	cân nặng	under
láfún	được	cassava food
láimo	không có	unknown
láké	to tiếng	in ake
lámọ́di	vận may	lamodi
lápá	phần	from
lára	đau	part of
lárúbáwá	tự nhiên	arabic
láì	không có	without
láíláí	không bao giờ	old
lèe	có thể	can
lèyìn	sau đó	after
lédè	trong ngôn ngữ	language
léebá	tình cờ	catch up with it
lérìnín	tuyết	erin=laughter; the prefix 'l' is possesive
lérò	lý do	thought
léyin	sau đó	after
léyìn	một lát sau	after
lérú	chế độ nô lệ	enslave
lílo	khai thác	using
lísa	sự tăng tốc	a chieftaincy title
lítésò	chua cay	literature
lóde	ở ngoài	modern
lópez	nipez	lopez
lópó	góa phụ	widow
lórì	hải cảng	on the head
lóríba	kết thúc	subdue
lóti	nhiều	have
lóòótò	đúng	truly
lóòótọ́	thật	truly
ló	tôi	to
lónà	trên đường	in a way
lórò	ngày mai	become wealthy
lọndọnu	london	london
lọ́dọọdún	hàng năm	yearly
lọ́jà	trên thị trường	in the market
maapu	bản đồ	map
madeira	beira	madeira
mahatma	mahatma	mahatma
makedonia	ma-rốc	macedonia
malabo	mật ong	malabo
malay	giả định	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	malaysia	malaysia
mali	ngày	mali
mango	trái xoài	mango
manˈdeːla	manˈdelala	mandela
marcellus	marcellus	marcellus
march	tháng ba	march
marku	thời gian này	mark
mars	sao hoả	mars
maryland	maryland	maryland
maseru	ghen tị	don't be slave
matheu	toán	matthew
mathiew	toán	mathiew
mathimatiki	toán học	mathematics
max	tối đa	max
maya	không	maya
mbabane	tiêu cực	mbabane
means	có nghĩa	ona (way)
mediteraneani	địa trung hải	mediterranean
mefeefa	xem xét lại	all six
mejidinlogbon	hai mươi tám	twenty eight
mejila	mười hai	twelve
meksiko	mexico	mexico
melo	bao nhiêu	some
member	hội viên	ara
mercosur	thủy ngân	mercosur
merin	bốn	four
methodologies	phương pháp luận	anaoniruuru
metropoli	đô thị	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	mexico	mexico
michelle	michelle	michelle
micronesia	micronesia	micronesia
miiràn	dịu đi	another
mimoy	mimoy	mimoy
mimuwa	bám	import
minnesota	minnesota	minnesota
minority	thiểu số	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	gọn nhẹ	51, (mokanleladota)
mokanlelogbon	ba mươi hai	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	vận động	morogoro
mozambique	mozambique	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	chọn lại	mtwara
mughal	âm lượng	mughal
mulẹ̀	thành lập	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	đừng bận tâm	testament
mère	đang vẽ	significant
méjèèjì	cả hai	the two
mérindíláàdóta	năm mươi lăm	forty-six
méte	số năm	lip
mérìndínlógún	mười sáu	sixteen
mérìnlélógójì	bốn mươi bốn	44
méta	số ba	three
métèètà	thợ mộc	the three
méwàá	mười	ten
ménu	bạn có nghĩ là	verbally contribute; complete phrase= me nu ba
mímọ́	thánh	holy
míràn	khác	other
míìrán	khác	other
mííràn	khác	other
mò	hiểu biết	know
mókólà	keo dán	mokola
móra	chữa khỏi	with themselves
mó	m	with
múlẹ̀	giữ chặt	select land (farmland)
mẹ́fà	sáu	6
mẹ́rkúríù	con chuột	mercury
mẹ́ta	số ba	3
mẹ́talọ́kan	bộ ba	trinity
namibia	đến	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	đánh đố	highest-spending
