$	usd	american dollar symbol
அடையாளங்கள்	zīmes	identifications
அடையாளத்தை	identitāte	identity
அடையாளமாக	norāde	symbolic
அடையாளம்	identificēts	identity
அடையும்	sasniedzam	reach
அட்ச	platums	latitude
அட்டை	karte	card
அட்லாண்டிக்	atlantijas okeāns	atlantic ocean
அணி	komanda	team
அணிக்கு	komanda	teem
அணிந்து	valkājot	wear
அணியின்	komanda	group
அணியில்	squad	team
அணியும்	nēsāts	wearing
அணியை	komanda	team
அணு	kodols	atom
அணுக	piekļuve	approach
அணுகல்	piekļuve	access
அணுகு	piekļuve	approach
அணுகுண்டு	senāts	atom bomb
அணுகுமுறை	pieeja	approaches
அணுகுமுறைகள்	pieejas	approaches
அணுக்கரு	kodols	nuclear
அணுக்கள்	atomi	atoms
அணுவின்	atoms	atom
அணை	dam	dam
அண்ட	galaktika	near
அண்டங்கள்	galaktikas	world
அண்டத்தின்	no visuma	world
அண்டமானது	visums	the universe
அண்டம்	visums	universe
அண்டவியல்	kosmoloģija	day to day
அண்டை	kaimiņi	neighbour
அண்ட்	un	and
அண்ணன்	brālis	brother
அண்ணல்	mūsu mīļais	a great man
அண்ணளவாக	aptuveni	a thousand year old
அண்ணா	vecākais brālis	former chief minister of tamilnadu
அண்ணாதுரை	anna durai	annadurai
அண்ணாமலை	annamalai	annamalai a title
அண்மை	jaunākais	very nearly
அண்மைக்	pēdējās aktivitātes	recently
அண்மைய	nesenie	nearest
அதனாலேயே	sekojoši,	that is why
அதனால்	tātad	because of
அதனுடன்	ar to	with that
அதனுடைய	tā	its
அதனுள்	pati pati	including all
அதனை		that one
அதனைக்	tā	it
அதனைத்	sekojoši	that also
அதன்	tā	that
அதன்படி	attiecīgi	in that way
அதன்பின்	pēc tam	after that
அதன்பிறகு	pēc tam	next
அதற்காக	par to	for that
அதற்கான	piemērots	for that
அதற்கு	vairāk	the
அதற்குப்	tad	so
அதவாது	amer	hence
அதாவது	ti	like that
அதி	vairāk	high
அதிக	vairāk	high
அதிகப்படியாக	palielināts	maximum of
அதிகப்படியான	pārmērīgi	over
அதிகமாக	vairāk	huge
அதிகமாகக்	vairāk	immense
அதிகமாகப்	vairāk	in excess of
அதிகமாகவும்	vairāk	morely
அதிகமாகும்	vairāk	having more
அதிகமான	vairāk	more
அதிகம்	vairāk	excess
அதிகரிக்க	palielināt	increase
அதிகரிக்கச்	palielinās	increasing
அதிகரிக்கிறது	palielinās	increasing
அதிகரித்த	palielināts	increased
அதிகரித்தது	palielināts	increased
அதிகரித்தல்	palielinās	increase
அதிகரித்து	palielinās	increase
அதிகரித்துள்ளது	palielināts	increased
அதிகரிப்பதால்	palielinās	increase
அதிகரிப்பால்	palielināts	increase
அதிகரிப்பு	palielināt	increased
அதிகளவான	vairāk	increased
அதிகளவில்	arvien vairāk	in abundance
அதிகளவு	vairāk	more
அதிகார	autoritāte	control
அதிகாரங்களை	pilnvaras	powers
அதிகாரங்கள்	pilnvaras	powers
அதிகாரத்திற்கு	jauda	for the powers
அதிகாரத்தில்	pie varas	in power
அதிகாரத்தை	jauda	ruling
அதிகாரபூர்வ	oficiālā	authorized
அதிகாரபூர்வமாக	oficiāli	official
அதிகாரப்	jauda	authority
அதிகாரப்பூர்வ	oficiālā	authoritical
அதிகாரப்பூர்வமாக	oficiāli	orderly
அதிகாரப்பூர்வமான	pilnvarojums	order
அதிகாரமும்	jauda	have power
அதிகாரம்	jauda	authority
அதிகாரி	virsnieks	official
அதிகாரிகளும்	ierēdņi	sacrifices and satisfying wishes took places in temples in those days. temples were built under the supervision of the pandian king, ministers and officers. caste wars did not exist in those days. in the 17th century caste wars came into existence. kings, ministers and officers celebrated their birthdays in temples as functions. land was allocated for this. devaram and thiruvayum were recited on those days. arts, music, theatre and folk dance events took place. brick temples, bronze statues and stone figures were installed and ornaments were donated. temples existed as places of storing wealth and material things in addition to serving as places of worship. temple wealth was distributed as loan to common people.  free food was given daily in temples. libraries were built within temples. temple rituals were performed by the village authorities and officers. functions of temples and charities were monitored. punishment was served for errors. stone inscriptions in temples served as historical evidence. renovation of temples involved removing stone inscriptions and reinstalling them.
அதிகாரிகள்	ierēdņi	officials
அதிகாரியான	virsnieks	officer of the
அதிசய	brīnums	surprise
அதிசயங்கள்	brīnumi	surprises
அதிநுண்ணுயிரி	vīrusu	protists
அதிபரவளைவு	hiperbola	hyperbola
அதிபர்	kanclere	owner
அதிமுக	aiadmk	admk
அதிர்ச்சி	šoks	shiver
அதிர்வெண்	biežums	wavelength
அதிலும்	vairāk	even
அதிலுள்ள	tā	contained therein
அதில்	tajā	in that
அதீத	pārmērīgi	most
அது	tā	it
அதுவரை	līdz tam,	yet
அதுவே	tas	that alone
அதே	tas pats	same
அதேசமயம்	tā kā	at the same time
அதேபோல	līdzīgi	likethat
அதேபோல்	līdzīgi	likewise
அதேவேளை	kamēr	sametime
அதை	tā	that also
அதைக்	tā	it
அதைச்	tā	that
அதைத்		that
அதைப்	tā	like wise
அதோடு	turklāt	and also
அத்தகு	atpūtas	that
அத்தகைய	tāds	such a
அத்தியாவசிய	būtisks	important
அத்துடன்	kā arī	with that
அத்தோடு	turklāt	and
அந்	vestibils	that
அந்த	tas	the
அந்தச்		that one
அந்தணர்	brahmana	priest
அந்தத்		that the
அந்தந்த	respekts	seperately
அந்தப்		those
அந்தமான்	andaman	andhman island
அந்தாதி	biggrin.gif	a grammatical rule
அந்தி	krēsla	evening
அந்து	līmenis	worm
அந்துவஞ்சேரல்	antuvanceral	anthuvancheral
அந்நாட்டின்	valsts	that country
அனுபவங்கள்	pieredzes	experiences
அனுபவம்	pieredze	experianse
அனுப்ப	sūtīt	send
அனுப்பப்	iesūtīts	to send
அனுப்பப்படும்	nosūtīts	will be sent
அனுப்பி	pārsūtīts	to send
அனுப்பிய	nosūtīts	send
அனுப்பும்	raidītājs	sends
அனுமதி	atļaut	admission
அனுமதிக்கப்பட்ட	atļauts	allowed
அனுமதிக்கின்றன	atļaut	admitted into
அனுமதிக்கிறது	ļauj	admitted into
அனுமதிக்கும்	atļaut	allows
அனுமதித்தது	atļauts	permitted
அனுமன்	hanuman	hanuman
அனேகமாக	droši vien	almost
அனைத்திந்திய	visi	all india
அனைத்திலும்	visi	all over
அனைத்து	visi	all
அனைத்துக்கும்	visi	of all, all
அனைத்துமே	visi	all
அனைத்துலக	starptautiskā	international
அனைத்தையும்	visi	all
அனைவராலும்	nesa	all
அனைவருக்கும்	visi	to everyone
அனைவரும்	visi	all of us
அனைவரையும்	visi	all
அன்	anil	and
அன்ட்	un	and
அன்னை	māte	mother
அன்பின்	dārgs	in love
அன்பு	mīlestība	love
அன்புடன்	sveicieni	with love
அன்புள்ள	dārgs	dear
அன்பே	dārgs	love
அன்றாட	katru dienu	daily
அன்றாடம்	katru dienu	daily
அன்றி	arī ne	rather
அன்றைய		during those days
அபாயகரமான	bīstams	risky
அபாயத்தை	risks	danger
அபாயம்	bīstami	danger
அபின்	opijs	abin
அபுல்	abul	abul
அபூர்வ	apurva	unbelive
அபூர்வமாக	reti	rarely
அப்துல்	abdula	abdul
அப்பகுதி	novads	that sections
அப்படி	pat ja	like that
அப்படியே	neskarts	like that
அப்பொருள்	ieejas	akapporul
அப்பொழுது	un	at that time
அப்போகொனைடீ	appokonaiti	a family of fish
அப்போது		that time
அப்போதைய	tad	for that
அமராவதி	amravati	amaravathy a name in tamil
அமர்ந்த	sēdi	sit down
அமர்ந்து	sēdi	to sit
அமானுட	paranormāls	invisible
அமினோ	amino	amino acid
அமில	skābi	acid
அமிலம்	skābi	acid
அமீரகத்தின்	emirāti	emirates
அமீரகம்	emirāti	emirates
அமெரிக்க	asv	american
அமெரிக்கக்	amerikāņu	america
அமெரிக்கத்	amerikāņu	american
அமெரிக்கன்	amerikāņu	american
அமெரிக்கப்	asv	america
அமெரிக்கர்	amerikāņu	american
அமெரிக்கர்களின்	no amerikāņiem	americans
அமெரிக்கர்களில்	amerikāņi	in america
அமெரிக்கர்கள்	amerikāņi	americans
அமெரிக்கா	savienotās valstis	america
அமெரிக்காவின்	asv	of america
அமெரிக்காவில்	savienotās valstis	in america
அமெரிக்காவுக்கு	savienotās valstis	to america
அமெரிக்காவுடன்	ar asv	with america
அமெரிக்காவும்	asv	america
அமைகின்றது	uzņemšana	is coming
அமைகின்றன	ir	formed
அமைகிறது	ir	become
அமைக்க	komplekts	set
அமைக்கப்பட்ட	veidojas	founded
அமைக்கப்பட்டது	komplekts	established
அமைக்கப்பட்டன	laidīts	formed
அமைக்கப்பட்டிருக்கும்	ir iestatīts	is organised
அமைக்கப்பட்டுள்ள	iekārtots	having that
அமைக்கப்பட்டுள்ளது	komplekts	established
அமைக்கப்பட்டுள்ளன	strukturēts	up
அமைக்கும்	komplekti	to make
அமைச்சரவை	ministrija	cabinet
அமைச்சராக	ministrs	minister
அமைச்சர்	ministrs	minister
அமைச்சர்கள்	ministri	ministers
அமைதி	miers	peace
அமைதிகாக்கும்	miera uzturēšana	peace keeping
அமைதிக்கான	miers	peace
அமைதிப்	miers	piece
அமைதியான	kluss	peace
அமைத்தனர்	un izveidojās	create
அமைத்தல்	iestatīšana	setting up
அமைத்து	komplekts	set up
அமைத்துக்	komplekts	set up
அமைத்துள்ளது	komplekts	set
அமைந்த		suituated
அமைந்தது		set
அமைந்தன	ietvaros	having that
அமைந்திருக்கிறது	atrodas	located
அமைந்திருக்கும்	atrodoties	is located
அமைந்திருந்த	atrodas	that place
அமைந்திருந்தது	bija	containing
அமைந்திருந்தன	atrodas	located
அமைந்திருப்பதால்	atrodas	situated at
அமைந்து	atrodas	present
அமைந்துள்ள	atrodas	situated
அமைந்துள்ளது	atrodas	located
அமைந்துள்ளன	atrodas	located
அமைன்	amīns	amion
அமைப்பாக	organizācija	organisational
அமைப்பாகும்	uzbūve	organization
அமைப்பானது	sistēma	an organization
அமைப்பின்	organizācija	organization
அமைப்பிலிருந்து	no organizācijas	from the system
அமைப்பில்	uzbūve	construction
அமைப்பு	uzbūve	organisation
அமைப்புகளின்	iestatījumi	shape
அமைப்புகளில்	iestatījumi	organisation
அமைப்புகளும்	iestatījumi	adding
அமைப்புகள்	iestatījumi	organisations
அமைப்பும்	veidošanās	organisation
அமைப்பை	izkārtojums	organization
அமைப்பைக்	uzbūve	organisation
அமைப்பையும்	uzbūve	make up
அமைய	saskaņā ar	to form
அமையும்	pozīcijas	may be
அமைவது	kā iestatīt	to organise
அமைவிடம்	atrašanās vieta	accomodated place
அமைவு	uzstādīt	location
அமோனியா	amonjaks	amonia
அம்சங்களை	iespējas	sheme
அம்சங்களைக்	iespējas	types
அம்சங்களையும்	iespējas	features
அம்சமாக	iezīme	feature
அம்சம்	iezīme	set
அம்பு	bultiņa	arrow
அம்பேத்கர்	ambedkar	ambethkar
அம்மனுக்கு	uz ammānu	hindu godess
அம்மன்	ammāna	female god
அம்மா	māte	mother
அம்மானை	māte	a tamil poetry
அம்மையார்	kundze	lady
அயனாதிக்க	jonosfēra	ionospheric
அயர்லாந்தின்	īrija	ireland
அயர்லாந்து	īrija	ireland a country name
அயல்	salocīt	foreign
அயோத்தி	ajodja	aiyothi
அய்யா	kungs	ayya a respectful
அய்யாவழி	ayavazhi	sir way
அய்யாவழியின்	ayavazhi&#39;s	the way of the grand father
அய்யாவழியில்	ajāvazī	ayya's path
அரகோனைட்	aragonīts	aragonite is a chemical component
அரங்கம்	spēļu laukums	auditorium
அரங்கு	teātris	hall in a building
அரச	kronis	goverment
அரசனாக	karalis	to become a king
அரசனின்	karaļa	kings
அரசனுக்கு	karalis	for the king
அரசன்	karalis	king
அரசமைப்பு	raksts	legislature
அரசரின்	karaļa	king's
அரசர்	karalis	king
அரசர்களின்	karaļu	kings
அரசர்கள்	karaļi	kings
அரசாங்கங்கள்	valdības	governments
அரசாங்கத்தால்	valdība	for government
அரசாங்கத்தின்	valdība	in government
அரசாங்கத்தை	valdība	government
அரசாங்கமும்	valdība	the goverment
அரசாங்கம்	valdība	government
அரசாட்சி	valdīt	kings rule
அரசால்	pēc štata	government
அரசி	karaliene	queen
அரசின்	valdība	of government
அரசியற்	politiskā	political
அரசியலமைப்பின்	konstitūcija	politics
அரசியலமைப்பில்	konstitūcijā	in the constitution
அரசியலமைப்பு	konstitucionālais	political structure
அரசியலமைப்புச்	konstitūcija	government organisation
அரசியலில்	politika	in politics
அரசியலும்	politika	politics
அரசியல்சட்ட	konstitucionālais	politics
அரசியல்வாதிகள்	politiķi	politics
அரசில்	stāvoklī	in government
அரசு	valdība	goverment
அரசுகளின்	valdības	government's
அரசுகளை	štatos	governments of
அரசுகள்	valdības	governments
அரசுக்கு	valdība	to government
அரசுக்கும்	valkā	govenment to
அரசுடன்	ar valsti	with government
அரசுத்	valdība	government
அரசும்	valdība	goverment
அரசுரிமை	suverenitāte	government rights
அரசை	valsts	kings
அரசையும்	valsts	goverment
அரண்	bulwark	wall
அரண்மனை	pils	palace
அரபி	arābu valodā	arab
அரபு	arābu	arabic
அராபிய	arābu	arabic
அரிசி	rīsi	rice
அரிதாக	reti	rarely
அரிதான	reti	rare
அரிது	retums	rarely
அரிப்பு	nieze	itching
அரிய	reti	rare
அரியணை	troņa	rulling party
அரியணையில்	uz troni	throne of
அரியானா	harjāna	haryana
அரிஸ்டாஃபனீஸ்	aristofāni	aristaphanis
அரிஸ்டாட்டிலின்	aristotelis	aristotlian
அரிஸ்டாட்டில்	aristotelis	aristatil
அருகாமையில்	tuvums	near
அருகிலுள்ள	tuvumā	near by
அருகில்	tuvākā	near
அருகே	netālu	near
அருங்காட்சியகம்	muzejs	museum
அருச்சுனன்	ardžuna	arjunan
அருஞ்சொற்பொருள்	glosārijs	dictionary
அருண்மொழி	arunmoli	arun mozhi a tamil name
அருள்	žēlastība	god's wishes
அருள்மிகு	šri	his highness
அருவி	ūdenskritumi	falls
அரேபிய	arābu	arabian
அரேபியா	arābija	arabia
அரேபியாவின்	no arābijas	in the arabian country
அரை	puse	half
அர்ஜென்டினா	argentīna	argentina
அர்த்தம்	nozīme	meaning
அறக்கட்டளை	fonds	organization
அறக்கட்டளையின்	fonds	trust
அறம்	morāle	good things
அறிகுறிகளை	simptomi	symptoms
அறிகுறிகள்	simptomi	infection
அறிக்கை	ziņot	report
அறிக்கைகள்	ziņojumi	information
அறிக்கையில்	ziņot	report
அறிஞர்	scholar	genius
அறிஞர்கள்	stipendiāti	pandit
அறிதல்	atzīšana	underfstand
அறிந்த	zinot	known well
அறிந்து	zini	known
அறிந்துகொள்ள	uzziniet	know
அறிமுகப்	ievada	introduce
அறிமுகப்படுத்தி	iepazīstinām	intraduce
அறிமுகப்படுத்தினார்	iepazīstināja	introduced
அறிமுகப்படுத்தியது	iepazīstināja	launched
அறிமுகம்	ievads	introductions
அறிய	uzziniet	know
அறியப்படவில்லை	nezināms	unknown
அறியப்படாத	nezināms	not known before
அறியப்படுகின்றது	zināms	to be known
அறியப்படுகின்றன	zināms	known
அறியப்படுகிறது	zināms	came to know
அறியப்படுகிறார்	zināms	known
அறியப்படும்	zināms	known
அறியப்பட்ட	zināms	known
அறியப்பட்டது	zināms	founded
அறியப்பட்டுள்ளது	zināms	is known as
அறியலாம்	izpētīt	to make known
அறியவும்	uzziniet	to know about
அறியும்	meklējot	knowing
அறிவதற்கு	uzziniet	to know
அறிவாற்றல்	asprātīgi	intelligence
அறிவிக்கப்பட்ட	paziņots	announced
அறிவிக்கப்பட்டது	paziņots	informed
அறிவித்த	paziņojot	declare
அறிவித்தது	paziņots	announced
அறிவித்தார்	deklarēts	he announced
அறிவித்து	paziņojot	announced
அறிவித்துள்ளது	paziņots	announced
அறிவின்	zināšanas par	intellectually
அறிவிப்பு	paziņojums	announcement
அறிவிப்பை	paziņojums	announcement
அறிவியற்	zinātne	science
அறிவியலாளர்கள்	zinātnieki	scientist
அறிவியலின்	zinātne	science
அறிவியலில்	zinātnē	in science
அறிவியலும்	zinātne	science
அறிவியல்	zinātne	science
அறிவியல்கள்	zinātnes	sciences
அறிவு	zināšanas	knowledge
அறிவுறுத்தினார்	mudināja	suggested
அறிவை	zināšanas	knowledge
அறிவையும்	zināšanas	knowledge
அறுதியிடல்	diagnoze	diagnose
அறுவடை	raža	harvesting
அறை	istaba	room
அற்ற	bez ceļa	not
அலகின்	apex	unit
அலகு	vienība	is a unit
அலகுகள்	vienības	units
அலாஸ்கா	aļaska	alaska a state
அலாஸ்காவின்	aļaska	in alaska
அலி	ali	ali
அலுவலக	birojs	official
அலுவலகங்கள்	biroji	office
அலுவலகம்	birojs	office
அலெக்சாண்டர்	aleksandrs	alexander
அலெக்ஸாண்டரின்	aleksandra	of alexander
அலெக்ஸாண்டர்	aleksandrs	alexander the great
அலை	vilnis	wave
அலைகளின்	viļņi	waves
அலைகளை	plūdmaiņas	wave
அலைகள்	viļņi	waves
அலைநீளம்	viļņa garums	wavelength
அல்	al	al
அல்குர்ஆன்	al korāns	alkuran
அல்கைல்	alkilgrupa	alkyl
அல்மனக்	almanahs	almanac
அல்ல	nav	not that
அல்லது	vai	or
அல்லர்	neviens	not
அல்லாத	nav	non
அல்லாமல்	turklāt	apart from
அல்லாஹ்	allāhs	allah
அல்லி	sabiedrotais	ally flower
அளக்க	mērogošana	scale
அளக்கும்	mērīšana	measuring
அளந்து	mērs	tape
அளவற்ற	neierobežots	limited
அளவான	pieticīgs	sized
அளவானது	grāds	amount
அளவிட	mērs	to measure
அளவிடப்படுகிறது	izmērīts	measured
அளவிடும்	mērīšana	to measure
அளவின்	līmenis	of
அளவியல்	metroloģija	metric
அளவிற்கு	apjoms	level
அளவிலேயே	ierobežots	like that measure
அளவில்	summas	quantity
அளவீடு	mērīšana	measurement
அளவீடுகளில்	mērījumi	measurement index
அளவீடுகளை	mērījumi	measurements
அளவீடுகள்	mērījumi	measurements
அளவீட்டு	mērīšana	measured
அளவு	izmērs	measurement
அளவுகளில்	izmēri	levels of
அளவுகளை	līmeņi	day's mesure
அளவுகள்	izmēri	levels
அளவுகோல்	mērogs	a measurement
அளவுக்கு	vairāk	limit
அளவே	šoferis	limit
அளவை	mainīt izmērus	limit
அளவைக்	garums	measurement
அளிக்க	piedāvājums	give
அளிக்கப்படுகிறது	sniegts	given
அளிக்கப்படும்	piedāvā	will be given
அளிக்கப்பட்ட	autors	given
அளிக்கப்பட்டது	ieguldīts	given
அளிக்கலாம்	piedāvājums	provide
அளிக்கிறது	dāvanas	given
அளிக்கும்	dodot	presenting
அளித்த		supplied
அளித்தது	ar nosacījumu	provided
அளித்தல்	nodrošinot	to distribute
அளித்தார்	ar nosacījumu	given
அளித்து	ar nosacījumu	to give
அளிப்பது	piegāde	providing
அளிப்பு	piegāde	destroy
அழகான	skaists	beautiful
அழகிய	skaists	beautiful
அழகு	skaistums	beautiful
அழகூட்டல்	alakuttal	beautificates
அழற்சி	iekaisums	allergy
அழிக்க	iznīcināt	destroy
அழிக்கப்பட்ட	iznīcināts	destructed
அழிக்கும்	iznīcināt	to destroy
அழித்தான்	iznīcināts	erased
அழித்து	iznīcināts	destroyed
அழிப்பு	iznīcināšana	destroy
அழியாத	neiznīcināms	does not disappear
அழியும்	izmiršana	to be destroyed
அழிவு	iznīcināšana	destroy
அழுத்த	stress	pressure
அழுத்தங்கள்	spiedieni	pressure
அழுத்தத்தை	spiediens	pressure
அழுத்தம்	spiediens	pressure
அழைக்க	zvaniet	invite
அழைக்கப்	aicināti	called
அழைக்கப்படுகின்றது	zināms	was called
அழைக்கப்படுகின்றன	zvanīja	known
அழைக்கப்படுகின்றனர்	zvana	call
அழைக்கப்படுகிறது	zināms	is called so
அழைக்கப்படுகிறார்	zvana	called by
அழைக்கப்படும்	zināms	called by
அழைக்கப்பட்ட	atgādināja	invited
அழைக்கப்பட்டது	aicināti	was called by
அழைக்கப்பட்டன	aicināti	called
அழைக்கப்பட்டார்	aicināti	called
அழைக்கலாம்	zvaniet	invited
அழைக்கின்றனர்	zvaniet	call
அழைத்தனர்	zvana	invited
அழைத்தார்	aicināti	invited
அழைத்து	zvaniet	call
அழைத்துச்	ņem	invited
அழைப்பர்	zvaniet	caller
அழைப்பு	zvaniet	invitation
அவசியமான	essentials	important
அவசியம்	būtisks	impotance
அவதானிக்கலாம்	paziņojums	to be started from
அவதார	dievišķais	avatar
அவதாரம்	iemiesojums	avadhar
அவனது	viņa	his
அவனிடம்	viņam	from his
அவனுக்கு	viņam	for him
அவனுடைய	viņa	his
அவனே	pvo	he is
அவன்	viņš	he or his
அவரவர்	visi	every one
அவரால்	viņa	him
அவரிடம்	viņam	to him
அவரின்	viņa ir	their
அவருக்கு	viņam	to him
அவருக்குப்	viņa	after that
அவருடன்	ar viņu	with him
அவருடைய	viņa	belonging to him
அவரும்	viņa	he and
அவரே	pats	he
அவரை	pupiņas	that person
அவரைக்	viņu	that person
அவரைச்	viņu	for him or by all
அவரைத்	viņa	a respect
அவரைப்	viņa	his
அவர்	viņš	he/she
அவர்களால்	ja viņi	their
அவர்களிடம்	viņiem	their
அவர்களின்	viņu	belonging to them
அவர்களில்	viņos	among them
அவர்களுக்கு	viņi	to them
அவர்களுடன்	ar viņiem	with them
அவர்களுடைய	viņu	their
அவர்களும்	viņi	they also
அவர்களே	viņi	themself
அவர்களை	viņi	them
அவர்களைக்	viņi	them
அவர்களைத்	viņi	theirs
அவர்களைப்	viņi	them
அவர்கள்	viņi	they are
அவற்றிற்கு	viņi	them
அவற்றிலிருந்து	no viņiem	among them
அவற்றில்		in their
அவற்றுக்கு	viņu	them (between them)
அவற்றுடன்	ar viņiem	including that
அவற்றுள்	kura	among them
அவற்றை	viņi	of that
அவற்றைக்	viņi	that also
அவற்றைச்	viņi	them
அவற்றைத்	viņi	those
அவற்றைப்	viņi	by that
அவளது	viņai	on her
அவளை	viņai	that girl or woman
அவள்	viņa	she
அவுட்லுக்	outlook	outlook
அவுஸ்திரேலியா	austrālija	australia
அவை	viņi	they
அவைகளாவன	kanāli	that is
அவைகளின்	viņu	having that
அவைகளில்	viņos	in that
அவைகளுக்கு	viņi	them
அவைகளை	viņi	that also
அவைகள்	viņi	they are
அவையாவன	tie ietver	everything
அவையின்	māja	house
அவையில்	kurā	in that
அவ்வப்போது	regulāri	regularly
அவ்வளவு	vairāk	not much
அவ்வாறு	tātad	like that
அவ்வாறே	līdzīgi	like that
ஆ	govs	aa
ஆஃப்	izslēgts	of
ஆக	kļūsti	so
ஆகத்து	augusts	aakathu
ஆகவும்	lielākā daļa	than
ஆகவே	tāpēc	so
ஆகஸ்டு	augusts	august
ஆகஸ்ட்	augusts	august
ஆகிய	un	including that
ஆகியன		are all
ஆகியனவற்றை	ieskaitot	including that all
ஆகியனவாகும்	iekļaujiet	all those
ஆகியனவும்	iekļauts	including
ஆகியவற்றால்	autors	by
ஆகியவற்றின்	no	belong to
ஆகியவற்றிற்கு		including all
ஆகியவற்றில்	bietes	including that
ஆகியவற்றுக்கு	uz	for that
ஆகியவற்றுடன்	ar	together
ஆகியவற்றை		all
ஆகியவற்றைக்	koncentrēšanās	and
ஆகியவற்றைத்	tā	and
ஆகியவற்றையும்	cēloņi	and
ஆகியவை		including all
ஆகியவைகள்	apakšrāmis	including all
ஆகியவையாகும்	iasb	that also
ஆகியவையும்	nu labi	and also
ஆகியோரது	pēc	including that
ஆகியோரின்	no	including all
ஆகியோருக்கு	uz	to
ஆகியோரும்	arī	there also
ஆகியோர்	tiem	there were
ஆகும்	ir	is
ஆகையால்	tāpēc	so that
ஆக்க	iespējotējs	to create
