aajo	bema&#39;ni	hospitality
ariwaguusu	janubi-g&#39;arbiy	north-south
arkansas	arkanzas	arkansas
aroko	o&#39;simlik	composition
aruleyin	salom	carried on the back
arun	kasallik	disease
aryan	aryan	aryan
aráa	aka	people from
arábíà	alifbo tartibida	arabia
aráròmí	salom	araromi
arópò	poraxo&#39;rlik	substitute
arúgbó	qarilik	elderly
arọ	cho&#39;loq	cripple
asagun	g&#39;alaba	intial, first (referring to the 13 colonies)
ascii	top	ascii
aseeto	turar-joy	unfair
aseyori	muvaffaqiyat	success
asipa	og&#39;ish	first to kill
assessment	baholash	ayewo
asìko	bema&#39;nilik	time; ni asiko=when
asèdá	tabiiy	origination
atangbona	atom	emission
atanna	atom	emitter
atigba	maqbul	from time
atimo	rejasi	inland
atinrin	kulib	thin
atun	orqaga	also
atunse	tuzatish	revision
australia	avstraliya	australia
austriahumgary	avstriyaumgari	austria-hungary
austronesian	avstraliyalik	austronesian
austríà	avstraliya	austria
avar	avar	avar
awari	kashfiyot	discovery
awo	plitasi	of
awonara	hissiyot	people of
awoòn	shablon	people
awon	ularni	they
awuruju	sehrli	shady
awùjo	xushmuomalalik	society
awújẹ	janjal	root
aya	oyat	chest
ayeye	abadiylik	celebration
ayàfi	bu yaxshi	only if
ayò	ay	game
azikiwe	umumiy ma&#39;noda	azikwe
aṣòkan	individual	united
baa	hisoblanadi	be with
babaláwo	folbin	herbalist
bahrain	bahrayn	bahrain
balẹ̀	u bo&#39;lsin	settled
bang	portlash	bang
banle	banle	banle
bara	o&#39;tgan yili	themselves
bauxitealumina	boksitalumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	hozir	like this
bayìí	hozir	this
bce	uzoqda	bce
beauharnais	chiroyli	beauharnais
beijing	beijing	beijing
belarus	belarus	belarus
belgium	belgi	belgium
bengal	bengal	bengal
bengali	bengali	bengal
benin	dastgoh	benin
berber	berber	berber
berlin	berlin	berlin
bernstein	bernshteyn	bernstein
bharat	bharat	bharat
bharata	qaytib kelmoq	bharata
bibeli	bibliya	bible
biribiri	ezildi	intense
black	qora	dudu
bodies	tanalar	ara
bojú	qarab qo&#39;ymoq	take care
bole	bole	ground
bolt	murvat	bolt
bolívar	bolivar	bolivar
brasil	brazil	brazil
brazzaville	brazzavil	brazzaville
bridgeport	bridgeport	bridgeport
britain	britaniya	britain
brítánì	britaniya	britain
bu	anavi	give
buenaventura	buenaventura	buenaventura
bujumbura	kengaytirildi	bujumbura
burúkú	yovuzlik	bad
by	tomonidan	does not translate directly, does not exist
bàbá	ota	father
bákannáà	shuningdek	likewise
bálè	balon	lying on the ground
bárakú	giyohvandlik	habitual
báyìí	hozir	this
bèrẹ̀	bilan boshlamoq	started
béè	xuddi shunday	than
bòtswánà	avtobus	botswana
búburú	yomon	bad
búrú	jasur bo&#39;l	wicked
bẹ̀rẹ̀	boshlash uchun	started
bẹ́	sindirdi	also
bẹ́ljíọ̀m	berill	belgium
bẹ́ẹ̀ni	ha	yes
bẹ́ẹ̀sìni	ha	that is it
cairo	g&#39;azab	cairo
calabar	saqich	calabar
canaria	kanariya	canaria
cape	kaput	cape
casablanca	kasablanka	casablanca
caslon	kazino	caslon
cathedral	ibodathona	cathedral (katidral)
catherine	ketrin	catherine
cauchy	choyshab	cauchy
cbc	cbc	cbc
chamorro	romashka	chamorro
charles	charlz	charles
chaskalson	chaskalson	chaskalson
chebbi	o&#39;ylab ko&#39;ring	chebbi
cherished	qadrlaydi	mu lokunkundun
china	chinni	china
cipollone	sipollon	cipollone
clear	ravshan	danmanran
code	kodi	code
coetsee	pirog	coetese
coloured	rangli	alawo dudu
coming	kelayotgan	yo jade
compared	taqqoslandi	does not directly translate
computers	kompyuterlar	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	tomoq	cunha
da	va	back; but in this form it is unnecessary
dagbasoke	o&#39;s	developing
dandan	majburiy	a must
dani	ushlab turish	hand-held
darapo	qo&#39;shiling	joinedd
daru	yo&#39;q qil	scattered
dates	xurmo	pada si
delhi	qilma	delhi
denver	denver	denver
des	des	des
describes	tasvirlaydi	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	tushkunlik	desmond
development	rivojlanish	idagbasoke
didagba	tenglik	growing
didasile	tashkil etish	established
different	boshqacha	iyato
din	qovurmoq	reduced
dinwoju	qidirmoq	suitable
divoire	divoire	d'ivoire
doju	yuzma-yuz	face
dojú	yuzma-yuz	turn face (full phrase is doju ko, to face)
dominic	dominik	dominic
doni	doni	this day
dote	nuqta	rebel
doublehelix	ikki karra	hiliksi abara meji
doublestrand	ikki karra	double-strand
dover	kaptar	dova
du	du	hustle
due	sababli	nitori
dun	mazali	sound
dàbíi	shunga o&#39;xshash	like
dàpò	ularni almashtiring	mix
dá	yaratilgan	intervene
dágbó	qarilik	forest
dájó	yaxshi	pass judgement
dálóríi	rahmat	about
dáradára	yaxshi	well
dásà	bir kasa	peculiar way of saying
dáwó	ehson qilmoq	undertake
dé	keldi	reach
délànà	amalda	delana
dépò	darajada	to a position
dì	varaq	be
dìde	paydo	stand
dìró	o&#39;ngda	hang on
dìtẹ̀	fitna	rebel
díè	tarang	few
dóko	yaxshi	upstanding
dólà	yaxshi	dollar
dún	ovoz	sound
dúró	turmoq	stand (been in existence)
dọ́gba	teng	equal
ea	ha	ea
eba	eba	shore
ebi	oila	family
ecomog	ekomog	ecomog
ede	tili	language
efrem	effem	efrem
egba	mutlaqo	cane
egbe	qurol	group
egberundun	ming yil	a thousand year
egbo	yara	brother
egbé	voy	party
egbò	yara	chemicals
egbògi	tibbiy	don't know this
eighteen	o&#39;n sakkizda	ejidinlogun
eka	murakkab	branch, department, part
ekeji	boshqa	second
eko	ta&#39;lim	lagos
elede	cho&#39;chqalar	speaker
eleyi	bu	this
eleyii	shunga o&#39;xshash	this
elláda	yaratish	ellada
eléde	mavhum	pig
eléré	sportchi	performer
elòmírà	dengiz shoxlari	freedom
elòmíràn	boshqa	another person
emerging	paydo bo&#39;lgan	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	hamma	whoever
enter	kiriting	wole
enì	fil	person
eníbá	isitma	such person
epa	yeryong&#39;oq	groundnut
ernst	ernst	ernst
erofo	cho&#39;kindi	swamp
erékùsù	orol	island
eréonítàn	qisqartma	written play
eseese	diagrammasi	step by step
esia	kelmoqda	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etimologiya	etymologiae
etíòkun	sohil	beach
euro	evroga tushdi	euro
euroasia	evroaziya	uro-esia
ewe	barg	ewe
ewé	barg	leaf
ewì	she&#39;riyat	traditional poem
example	misol	apere
eya	kategoriya	tribe
eyin	tuxum	previous
eyonomba	eyonomba	digit
eléja	baliq ovlash	fisherman
elòmíràn	yana kimdir	another person
eka	ta&#39;siri	branches
eléyàmèyà	millati	tribalism
enu	darvoza	mouth
esin	din	horse
esè	tushadi	leg
ewà	xulq-atvori	beauty
fagile	bekor qilindi	cancel
fail	muvaffaqiyatsiz	padanu
fan	fanat	spread
faramó	rioya qilmoq	accept
faranse	fransuzcha	french
farsi	arti	farsi
felifeli	baxmal	fuming
ferde	ferde	verde
fesèmúlè	vaqtinchalik manba	established
fe	qidirildi	want
fi	tejash	by
fifihan	ko&#39;rsatmoqda	revealed
fihan	ko&#39;rsatilgan	shows, to show
fimú	keskin aniqlangan	captivate with
finiki	fizika	finiki
finlandi	finlandiya	finland
fitino	sinov	judgement
five	beshta	marun
fodio	fodio	fodio
fofinde	taqiqlash	prohibited
fohùn	- deb baqiradi	consent
foniimu	film	phoneme
force	kuch	agbara
foriko	misol uchun	agreed
fourbase	to&#39;rt asos	onidi-merin
fowobowe	bron qilish	signed
fowó	pul uchun	sign
fracmv	fracmv	does not translate
francis	frank	francis
fransi	fransuzcha	france
freetown	freetown	freetown
fuji	olib tashlang	fuji
fulani	qo&#39;rqoqlik bilan	fulani
fulbe	to&#39;liq	fulbe
fun	uchun	for
funra	o&#39;zi	suspect
further	keyingi	si
fé	fé	like
fé	fé	want
fégbé	buni unuting	for peers
fífò	uchish	jumping
fífún	berib	giving
fòye	tushunmoq	rationalise
fẹ́rẹ̀ẹ́	deyarli	nearly
galatia	bu gal	galatia
gba	rozi	accept
gbajúgbujà	juda mashhur	popular
gbale	mashhurlik	flourished
gbaná	otib tashlang	engulf in flame/rage
gbe	olib yurmoq	set up
gbera	davom etish	move
gberasoke	tezlikni oshirmoq	rising
gbese	qarz	debt
gbigbamulo	ekspluatatsiya	adopted
gbigbewo	moliyalashtirish	examined
gbilè	qutilib chiqishga urinmoq; tarqamoq	gaining ground
gbin	ekilgan	farm
gbogbogbo	umumiy	general
gbongbo	ildiz	root
gbàgbọ́	ishonish	believe
gbàgùrà	larzaga keldi	gbagura
gbá	buzmoq	received
gbáradì	turmoq	prepare
gbé	jonli	convey
gbédìí	o&#39;rnatmoq	respect
gbékalè	duradgor	establish
gbéni	jonli	lift
gbéyèwò	sharh	examine
gbésè	taklif	die
gbìnyànjú	harakat qilib ko&#39;ring	endeavour
gbìyànju	qattiq harakat qil	try
gbódò	kerak	must
gbónmisi	qonun	strife
gbúnùn	uni hidlang	hostile
gbọ́dọ̀	kerak	must
geesi	inglizcha	english
geneva	jeneva	geneva
genevieve	qilmoq	genevieve
georgia	georgiya	georgia
german	nemis	german
gfaj	gfaj	gfaj
ghana	gana	ghana
gidigidi	juda	significantly
gidí	uy	real
goemai	goemay	goemai
gomina	hokim	governor
gorgina	burgut	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammiya	grammy
griiki	yunon	greek
groove	truba	iho
guanínì	guanni	guanine
guinea	gvineya	guinea
guineabissau	gineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	uzoq	stretch
gunle	qurol	arrive
guusu	janubda	south
gv	gv	gv
gèésì	elim	english
gèésì	marvarid	english
gégé	haqiqatan ham	like
gírámà	panjurlar	grammar
gòkè	ko&#39;tarilish	climb
gún	teshilgan	properly
gúúsù	janubda	south
gẹ̀ẹ́sì	inglizcha	english
habsburg	habsburg	habsburg
haggai	qo&#39;llanma	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	qattiq	lile
haughton	gugton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	xovayi	hawaii
heinrich	geynrix	heinrich
hendu	shirinlik	hendu
henny	jiyan	henny
heraklion	iraklion	heraklion
hesse	kelishilgan	hesse
him	uni	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	shlang	hosea
hp	ot kuchi	hp
hugh	hug	hugh
hun	ov	knit
hungari	ochlik	hungary
hv	hv	hv
ibalo	ish	relationship
ibarepo	uyushma	friendship
ibeji	egizaklar	twins
ibewo	keldi	visit
ibiamusin	ziyoratgoh	colony
ibile	an&#39;anaviy	municipality
ibimo	tug&#39;ilish	birth
ibise	tayyorlamoq	official
ibiti	joylar	where
ibn	ibn	ibn
ibojì	qabr	burial ground
ibori	parda	conquest
ibujoko	dastgoh	place of abode
ibuseripadabosi	ko&#39;chirish	eternity
ibuso	jang qilmoq	bus stop
ibùdó	lager	settlement, seat of, area,
ibùjókòó	o&#39;tirish	settlement
iceland	muzlik	iceland
idagbasoke	rivojlanish	development
idagbe	beparvolik	isolation
idaji	yarmi	half
idajo	adolat	judgement
idamita	chizish	sector
idari	boshqaruvlari	control
ideraa	yozmoq	comfort
idimule	hibsga olish	establishment
idoma	chizish	idoma
idupe	rahmat	thanksgiving
idánwò	sinov	examination
ifija	baliq ovlash	weapon
ifilole	ishga tushirish	resolution
ifitonileti	ma `lumot	reporting
ifobaje	buzilish	coronating
ifofinde	kongress	prohibition
ifriqiya	rag&#39;batlantirish	ifriqiya
igbeduro	tayyorlash	institute
igbegun	g&#39;alaba	declaration of war
igberiko	shahar atrofi	region
igbesoke	oshirish	upliftment
igbeyawo	to&#39;y	marriage
igbowolori	qimmat	inflation
igbá	tovuq	shell
igbáẹ̀yìn	oxirgisi	shell
igitòròmogbè	keng polosali	willow tree
ihan	paydo bo&#39;lmoq	ray
ihinrere	xushxabar	gospel
ijagun	jang	war
ijakadi	kurash	wrestling
ijaya	vahima	fear
ije	harakat	eating
ijinnasi	fizika	the wind open
ijosin	sig&#39;inish	worship
ijó	raqsga tushish	dance
ikan	bitta	one of
ikandinlogun	o&#39;n sakkizda	nineteen
ikaowo	hurmat	finger
ikejidinlogun	o&#39;n sakkizda	eighteen
ikeko	jamlama	education
ikerin	to&#39;rtinchisi	fourth
iketa	meros olmoq	third
ikoenu	saqlamoq	union
ikojopo	to&#39;planish	collection
ikoreokere	bo&#39;ri	migration
iku	o&#39;lim	death
ikúgbaèyí	hozir	death-has-this
ikún	to&#39;ldirish	squirrel or wild rodent
ilagbolojo	oshkoralik	latitude
ilana	tartibi	procedure
ilanaoye	strategiyalar	knowledge procedure
ilaodo	himoya qilish	cana
ilaorun	quyosh chiqishi	west
ileasofin	qonun chiqaruvchi	house of law,
ilegiga	uy	higher ground or higher plain
ileife	beparvolik	ile-ife
ileigbimo	rozilik	house of assembly/congress
ileobaluaye	dunyo	high chief
ileru	o&#39;choq	volcanic
ilopo	ikki baravar	times
iluoba	fuqarolik	king's town
iluorilejoba	globallashuv	capital city
ilé	uy	house
iléayé	uy	earth
iléisé	uy	workplace
ilélódò	uy	ile-lodo
iléàtèéré	uy	ile-ateere
iléńlá	hovli	ile-nla (area)
ilẹ	zamin	land
ilẹ̀ayé	er	the world
iminle	qamoqqa olmoq	earthquake
imoero	yoritish	engineering
imojuto	parvarish qilish	protection
imusin	chizish	colony
imú	burun	nose
imúnisìn	gigiena	slavery
inagberingberi	yong&#39;oq moyi	electromagnetic force
indeed	haqiqatdan ham	paapa julo
indus	indus	indus
inkosi	oqlamoq	inkosi
integration	integratsiya	ifowosowopo
inágbéringbérin	o&#39;n yetti	electromagnet
iní	meros olish	possession
inúnibíni	quvg&#39;in	hatred
ioja	baliq	fight
ioniani	muhtoj	ionian
iowa	er yuzida	iowa
ipare	so&#39;nmoq	abolition
ipawo	foydalanadi	income
ipele	daraja	stage
ipin	bob	share
ipinpa	ishtirok etish	arm of, branch of
ipinu	qaror	determination
ipo	manzil	position
ipá	kuch	effort
iraja	dahshatli	bargaining
iranlose	yordam	mission
ire	sotish	you
irele	kamtarlik	irele
iringa	aylantirmoq	iringa
irisi	tashqi ko&#39;rinishi	appearance
irorun	juda sodda	convenient
irò	mish-mish	iro
irúnmọlẹ̀	chaqmoq	apparition
isa	yetarli	jesus, isa or yisa is hausa language
isare	tezlashtirish	track race
isedaniloro	o&#39;z-o&#39;zidan shubha	terrorism
iseero	tomosha	engineering
isejoba	boshqaruv	governance
iseoba	o&#39;n besh	civil service
iseoroayeijoun	arxeologiya	archaeology
iseowo	biznes	business
isepinpin	tarqatish	division
iso	kelmoq	unit
isoponomba	izoponomba	addition of numbers
isun	oqimi	spring
isesi	taslim bo&#39;lish	conduct
isè	xizmat	occupation
itali	italyancha	italy
itanakole	hikoya	ancient
itelentele	aniq	coming after
itiraka	kurash	effort
itobi	maqtanish	size
itokowo	biznes	economy
itorawo	liberal	astrology
itu	otmoq	solution
itumo	ma&#39;nosi	meaning
iwadi	tadqiqot	research
iwasi	taassurot qoldirmoq	behaviour
iwifun	ma `lumot	report
iwoile	uy	entering
iwosan	davolaydi	healing
iwulo	foydali	use
iwuwa	amaliyot	behaviour
iyan	ochlik	argument
iyato	farqi	difference
iyawo	kelin	wife
iyen	anavi	that
iyán	uchqunli	pounded yam
iḷẹ̀	ishlash	land
iṣẹ́ìwádìí	tadqiqot	research
jabo	hisobot	give account
jackson	jekson	jackson
jadide	to&#39;hta	emerge
jagbe	yo&#39;qol	shout
jalè	o&#39;g&#39;irlik	steal
jamaica	youtube	jamaica
jamo	yo&#39;qol	link
jawaharlal	siljishlar	jawaharial
jeffrey	jeffri	jeffrey
jeometri	geometriya	geometry
jesu	iso	jesus
jfk	jfk	jfk
jije	bo&#39;lish	existing as
jijinna	uzoq	distance
jiròrò	tumanli	dialogue
jo	oqish	days
jogun	meros qilib olingan	inherit
johann	jahannam	johann
johanu	uzr	john
jojo	darz ketgan	great extent
jopò	qo&#39;shilish	gathered
jo	john	resemble
juneau	iyunda	juneau
jàgídíjàgan	zo&#39;ravon	violent
jáde	tashqariga chiq	out
jé	keling	is
jéésù	iso	jesus
jìnnàa	uzoq	further
jíje	bo&#39;lish	eating
jíjuwó	pul topish	waving hands
jíjéomoléyìnkírísítì	filantrop sifatida	followers of christ
jùlo	bundan ko&#39;proq	most
jùlo	ayniqsa	most
jùló	eng	most
jẹ́mánì	nemis	germany
jọ́	iltimos	together
kadara	aktiv	destiny
kagera	maqtanchoq	kagera
kakiri	iz	all over
kalinga	kinga	kalinga
kalẹ	chetga surib qo&#39;ying	established
kampala	ushlash	kampala
kan	a	one
kankan	hech biri	any
kanlè	kanal	established
karbonumarun	tsentrikan	5 carbon
karl	karl	karl
karun	beshinchi	fifth
karùún	beshinchisi	fifth
kebbi	sozlanishi	kebbi
kekere	kichik	lower
keko	savodli	learn
kept	saqlandi	fi pamo
khoisan	past	khoisan
ki	shunday qiling	not
kiakiajulo	eng tezkor	rapidly
kiko	olib keladi	gathering
kikojo	jamlama	gathering
kikopomo	iliqlik	mixed
kikoso	tez	colonised
kiko	o&#39;rganish	making
kikuninu	tasavvur qiling	size
kilhar	qo&#39;ltiq	kilhar
kinkinni	kichik narsa	small quantity
ko	yoki	don't
kodò	quyida	bow
koidu	koidu	koidu
kojá	kesib o&#39;tish	pass
kolo	kolo	going
komputa	kompyuter	computer
kong	kong	kong
kongo	prezervativ	congo
kookan	bu	one
koto	o&#39;lja	pit
koko	o&#39;rganish	make heap
ko	ko	learn
kori	boshqa emas; boshqa ... bo&#39;lmaydi; endi yo&#39;q	not found
krio	krio	krio
ku	siz	remain
kwara	murojaat qildi	kwara
kàríbẹ́ánì	mintaqada	carribean
kàyéfì	hayron	amazement
ká	ning	we
kánfinkése	sekin	prolonged
kánádà	albatta	canada
káyé	dunyo	world
kéesì	bema&#39;ni	keesi
kékéèké	kichik	small
kétu	tayyor bo&#39;ling	ketu
kémíkà	aksincha	chemical
kéyìn	keyinroq	come after,
kìnní	birinchi	first
kí	salomlashing	not
kíko	o&#39;qish	written
kíkọ́	o&#39;rganish	learning
kínu	o&#39;pish	greet
kírísìtì	rojdestvo	christ
kòjòkú	yomg&#39;ir	kojoku
kòkó	sichqonchani	cocoa
kòmpútà	kompyuter	computer
kòtò	chuqur	pit
kòòsí	emas	coaching
kòòkan	har biri	each
kógo	shon-sharaf	glorious
kóra	yig‘moq	participate
kùkú	oxirida	eventually
kùrání	qur’on	quran
kúkú	oxirida	now
kúkúrú	qisqasini etkanda	short
kúrò	uzoqda	away
kútò	hamma narsa	kuto (place)
kúùkù	aksincha	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	to&#39;rtinchisi	4
kẹsàán	darhol	ninth
kẹta	uchinchi	third
kẹ́nyà	ajratish	kenya
kọjá	o&#39;tish	pass through
kọ̀mpútà	kompyuter	computer
kọ́kọ́	birinchi	first
kọ́lọ́mú	ustunlar	breast owner
kọ́ni	kamomad	teach
laa	yo&#39;qol	will
laada	tepish	good fortune
laaka	teskari	important
laarin	ichida	between
labalaba	kapalak	butterfly
labee	ostida	under
lade	qilmoq	crowned
laid	yotqizilgan	tele
laifi	xato	without
languages	tillari	ede
lanka	lanka	lanka
lasile	ozod qilish	laid out
latibe	u erdan	from there
latigbana	o&#39;shandan beri	from then on
latini	lotin	latin
latvia	latviya	latvia
lay	yotmoq	da
le	mumkin	can
leboa	lebo	leboa
lekun	kuchaygan	open door
leo	leo	leo
lese	post	firmly
less	kamroq	okeresi
lewaju	oldinga	front
lewon	qamoq	imprisonment
leyi	mana	mispelled...should be 'leyin', after
leè	mumkin	can
lilelile	hardkor	tightly
lilemo	nasha	sticky
lilongwe	lilongwe	lilongwe
lindi	lye	lindi
linear	chiziqli	dogba
links	havolalar	eka; this is a new word and does not really exist in yoruba
lodo	sodir bo&#39;lmoq	from
lojowaju	kelajakda	the future
lojukokoro	ochko&#39;z	covetousness
lojúgun	buzilgan	knee
lokunkun	baquvvat	in the dark
loloselu	siyosiy jihatdan	in politics
lopolopo	ko&#39;p	so many
loruko	nomi	name
louvre	louvre	louvre
lovers	sevishganlar	awon olufe
low	past	diye
lo	davom et	than
luanda	luanda	luanda
luther	yuk mashinasi	luther
lynton	linton	lynton
làgba	teng	more important
lààmi	belgisi	sign
lààmì	belgilari	significant
lábé	vazn	under
láfún	berilgan	cassava food
láimo	holda	unknown
láké	baland ovozda	in ake
lámọ́di	omad	lamodi
lápá	qismi	from
lára	jarohat	part of
lárúbáwá	tabiiy	arabic
láì	holda	without
láíláí	hech qachon	old
lèe	mumkin	can
lèyìn	keyin	after
lédè	tilida	language
léebá	tasodifan	catch up with it
lérìnín	qor	erin=laughter; the prefix 'l' is possesive
lérò	sabab	thought
léyin	keyin	after
léyìn	keyinroq	after
lérú	qullik	enslave
lílo	ekspluatatsiya	using
lísa	tezlashtirish	a chieftaincy title
lítésò	qoqish	literature
lóde	tashqarida	modern
lópez	nipez	lopez
lópó	beva	widow
lórì	port	on the head
lóríba	ustida	subdue
lóti	lot	have
lóòótò	ha	truly
lóòótọ́	haqiqatdan ham	truly
ló	ló	to
lónà	yulda	in a way
lórò	ertaga	become wealthy
lọndọnu	london	london
lọ́dọọdún	har yili	yearly
lọ́jà	bozorda	in the market
maapu	xaritasi	map
madeira	beira	madeira
mahatma	mahatma	mahatma
makedonia	makedoniya	macedonia
malabo	asal	malabo
malay	taxmin	malay
malayopolynesian	malayopolineziya	malayo-polynesian
malaysia	malayziya	malaysia
mali	kun	mali
mango	mango	mango
manˈdeːla	manˈdelala	mandela
marcellus	marselus	marcellus
march	marsh	march
marku	bu gal	mark
mars	marslar	mars
maryland	merilend	maryland
maseru	rashk	don't be slave
matheu	mateyu	matthew
mathiew	matematik ko&#39;rinish	mathiew
mathimatiki	matematik	mathematics
max	maksimal	max
maya	yo&#39;q	maya
mbabane	manfiy	mbabane
means	degan ma&#39;noni anglatadi	ona (way)
mediteraneani	o&#39;rta er dengizi	mediterranean
mefeefa	mukammal ta&#39;mirlash	all six
mejidinlogbon	yigirma sakkiz	twenty eight
mejila	o&#39;n ikki	twelve
meksiko	meksika	mexico
melo	nechta	some
member	a&#39;zosi	ara
mercosur	merkosur	mercosur
merin	to&#39;rtta	four
methodologies	metodologiyalar	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	meksika	mexico
michelle	mikron	michelle
micronesia	mikronesiya	micronesia
miiràn	yengillashtirmoq	another
mimoy	mimoy	mimoy
mimuwa	yopishib olish	import
minnesota	minnesota shtatida	minnesota
minority	ozchilik	awon ara kekere
mohandas	mohandalar	mohandas
mokaleladota	ixcham	51, (mokanleladota)
mokanlelogbon	o&#39;ttiz ikki	thirty-one
mombasa	mombasa	mombasa
monrovia	monroviya	monrovia
morgan	morgan	morgan
morogoro	motorli	morogoro
mozambique	mozambik	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	yana tanlang	mtwara
mughal	hajmi	mughal
mulẹ̀	o&#39;rnatmoq	establish
munispal	munispal	municipal
muungano	mugangano	muungano
májèmú	qarshi emas	testament
mère	chizish	significant
méjèèjì	ikkalasi ham	the two
mérindíláàdóta	ellik besh	forty-six
méte	beshta	lip
mérìndínlógún	o&#39;n olti	sixteen
mérìnlélógójì	qirq to&#39;rt	44
méta	uch	three
métèètà	duradgor	the three
méwàá	o‘n	ten
ménu	nima deb o&#39;ylaysiz	verbally contribute; complete phrase= me nu ba
mímọ́	muqaddas	holy
míràn	boshqa	other
