$	dollarni tashkil etadi	dollars
албумът	albom	album
алгоритъм	algoritm	algorithm
алдехид	aldegid	aldehyde
александрия	iskandariya	alexandria
александров	aleksandrov	alexandrov
александър	aleksandr	alexander
алексей	aleksey	alexei
алексий	aleksiy	alexy
алел	allele	allele
алеманда	alemanda	alemanda
алжир	jazoir	algeria
али	lekin	ali
алкохол	alkogol	alcohol
аллах	olloh	allah
алпийски	alp	alpine
алпите	alp tog&#39;lari	alps
алтаир	altair	altair
алтерация	o&#39;zgartirish	aletro
алтернативни	muqobil	alternative
алуминий	alyuminiy	aluminium
алфа	alfa	alpha
алфред	alfred	alfred
алън	alan	allen
аляска	alyaska	alaska
амадеус	amadeus	amadeus
амазонка	amazon	amazon
амбивалентност	ambivalence	ambivalence
америка	amerika	america
американска	amerikalik	american
американската	amerikalik	american
американски	amerikalik	american
американските	amerikalik	american
американския	amerikalik	american
американският	amerikalik	american
американското	amerikalik	american
американците	amerikaliklar	americans
аминокиселини	aminokislotalar	amino acids
аминокиселините	aminokislotalar	amino acids
амоняк	ammiak	ammonia
амплитуда	amplituda	amplitude
амстердам	amsterdam	amsterdam
амфора	amfora	amphora
ан	an	an
ана	ana	anna
анаконда	anakonda	anacond
анален	anal	anal
анализ	tahlil	analysis
анализи	tahlil qiladi	analysis
ананке	ananke	ananke
анастилоза	anastiloz	anastylosis
анатомия	anatomiya	anatomy
анатомията	anatomiya	anatomy
ангажира	jalb qiladi	committed
ангел	farishta	angel
ангелите	farishtalar	angels
ангелов	farishtalar	angelov
англ	inglizcha	engl.
английска	inglizcha	english
английската	inglizcha	the english
английски	inglizcha	english
английските	ingliz	еnglish
английския	inglizcha	english
английският	ingliz	english
английското	ingliz	english
англичаните	ingliz	the englishman
англия	angliya	england
ангола	angola	angola
андерсън	anderson	anderson
анджелис	farishta	angeles
анди	andy	andy
андите	andlar	andes
андора	andorra	andorra
андреев	andreev	andreev
андрей	andrey	andrei (name)
андромеда	andromeda	andromeda
анелия	aneliya	aneliya
анкара	ankara	ankara
анна	anna	anna
аномалии	anomaliyalar	abnormalities
аномалия	anomaliya	anomaly
анри	genri	henry
ансамбъл	ansambli	ansamble
антантата	entente	entente
антарктида	antarktida	antarctica
антарктика	antarktida	antarctic
антверпен	antveren	antwerp
антициклон	antiklon	antyciclone
античната	qadimiy	ancient
антични	qadimiy	antique
античните	qadimgi	antique
античния	qadimiy	antique
античност	antik davr	antiquity
античността	antik davr	ancient
антон	anton	anton
антоний	entoni	anthony
антоними	antonimlar	antonyms
антонимите	antonimlar	antonyms
антонио	antonio	antonio
антъни	entoni	anthony
анубис	anubis	anubis
анус	anus	anus
ануса	anus	anus
анусът	anus	anus
анхиало	anhialo	anhialo
аорта	aorta	the aorta
аортата	aorta	aorta
апарат	apparati	apparatus
апарата	apparati	apparatus
апарати	qurilmalar	apparatus
апатит	apatit	apatite
аполо	apolo	apollo
аполон	apollon	apollo
аполония	apoloniya	apollo
апостол	havoriy	apostle
апостола	havoriy	apostle
април	aprel	april
априлов	aprel	aprilov
априлското	aprel	the april
ар	ar	hectare
араби	arab	arabs
арабите	arablar	arabs
арабия	arabiston	arabia
арабска	arabcha	arab
арабската	arabcha	arabic
арабски	arabcha	arabian
арабските	arabcha	arab
арабския	arabcha	arab
арарат	ararat	"""ararat"" is name of an summit"
арбалет	krossovka	crossbow
арбалета	krossovka	crossbow
арбалети	krossovkalar	crossbows
арбалетите	krossovkalar	the crossbows
арда	arda	arda
арена	maydon	arena
арес	ares	ares
арестуван	hibsga olingan	detained
аржентина	argentina	argentina
аристократи	aristokratlar	aristocrats
аристокрация	aristokratiya	aristocracy
аристокрацията	aristokratiya	the aristocracy
аристотел	aristotel	aristotle
аристофан	aristofanlar	aristophane
арка	kamon	arch
арки	kamarlar	arches
армейците	armiya	reds
армения	armaniston	armenia
арменската	arman	armenian
арменци	armanlar	armenians
армии	armiya	armies
армиите	qo&#39;shinlar	armies
армия	armiya	army
армията	armiya	the army
арно	arno	arno (river)
арсенал	arsenal	arsenal
артемизия	artemiziya	arthemisia
артерии	arteriyalar	arteries
артериите	arteriyalar	arteries
артерия	arteriya	artery
артилерия	artilleriya	artillery
артър	artur	arthur
арх	kamon	architect
архангел	bosh ruhoniy	archangel
археологически	arxeologik jihatdan	archaeological
археологическите	arxeologik	archaeological
археолозите	arxeologlar	the archaeologists
архиепископ	yepiskop	archbishop
архим	arxim	arhim
архимед	arximed	archimedes
архипелаг	arxipelagi	archipelago
архипелага	arxipelagi	archipelago
архитект	me&#39;mor	architect
архитектура	arxitektura	architecture
архитектурата	arxitektura	architecture
архитектурен	me&#39;moriy	architectural
архитектурни	me&#39;moriy	architectural
ас	sifatida	as
асен	asen	asen
асеневци	asenevtsi	assens
асеновград	asenovgrad	asenovgrad
асирия	ossuriya	assyria
асонанс	undosh	assonance
асоциация	uyushma	association
асоциацията	uyushma	asocciation
аспарух	asparuh	asparuh
аспарухов	asparuxov	asparuhov
аспект	tomoni	aspect
аспекти	jihatlari	aspects
астероиди	asteroidlar	asteroids
астра	aster	astra
астроном	astronom	astronom
астрономи	astronomlar	astronomers
астрономите	astronomlar	astronomers
астрономически	astronomik	astronomical
атака	hujum	attack
атаката	hujum	attack
атаки	hujumlar	attacks
атакува	hujumlar	attacks
атанас	atanas	atanas
атанасов	atanasov	atanasov
атила	attila	attila
атина	afina	athens
атлантически	atlantika	atlantic
атлантическия	atlantika okeanining	atlantic
атлантическият	atlantika okeanining	atlantic
атлетика	atletika	athletics
атмосфера	atmosfera	atmosphere
атмосферата	atmosfera	atmosphere
атол	atoll	athol
атом	atom	atom
атома	atom	atom
атомен	atom	atomic
атоми	atomlari	atoms
атомите	atomlari	the atoms
атомна	atom	nuclear
атомната	atom	nuclear
атомни	atom	nuclear
атомните	atom	the nuclear
атомно	atom	nuclear
атон	aton	aton
ауди	audi	audi
аушвиц	auschwitz	auschwitz
афганистан	afg&#39;oniston	afghanistan
африка	afrika	africa
африканската	afrikalik	the african
африкански	afrika	african
африканските	afrika	african
афродита	afrodita	aphrodite
ахат	agat	ahat
ахейци	axeyanlar	achaean
ахил	axilles	ahil
ахмед	ahmed	ahmed
ашурбанипал	ashurbanipal	ashurpanibal
аякс	ajax	ajax
б	b	b
баал	baal	baal
баба	buvisi	grandma
бавно	sekin	slowly
база	tayanch	base
базата	taglik	base
бази	asoslar	bases
базилика	bazilik	basilica
базиликата	bazilik	basilica
базира	asoslangan	bases
базирана	asoslangan	based
базирани	asoslangan	based
бай	xayr	uncle
байкал	baykal	baikal
бактериалната	bakterial	bacterial
бактерии	bakteriyalar	bacteria
бактериите	bakteriyalar	bacteries
бактрия	bakteriyalar	bactriа
баланс	muvozanat	balance
баланса	muvozanat	balance
балдуин	bo&#39;tqa	baldwin
балзак	balsak	balzac
бали	bali	bales
балкан	bolqonlar	mountain
балкана	bolqon	the balkan
балканите	bolqonlar	the balkan
балканска	bolqon	balkan
балканската	bolqon	balcan
балкански	bolqon	balkan
балканските	bolqonlar	balkan
балканския	bolqon	balkan
балсас	balsa	balsal
балтийско	boltiqbo&#39;yi	baltic
балчик	balchik	balchik
бан	taqiq	ban
банани	banan	bananas
бангладеш	bangladesh	bangladesh
бани	vannalar	baths
банка	bank	bank
банки	banklar	banks
банкноти	banknotalar	banknotes
банско	bansko	bansko
баня	hammom	badroom
бар	bar	bar (city)
бараж	to&#39;siq	brrage
барок	barok	baroque
барока	barok	baroque
барометър	barometr	barometer
барселона	barselona	baercelona
бас	bas	bass
басейн	basseyn	basin
басейна	basseyn	basin
басейни	basseynlar	pools
баскетбол	basketbol	basketball
батак	batak	batak
батенберг	battenberg	battenberg
батерии	batareyalar	batteries
батерия	batareya	battery
батискаф	vannaxona	bathyscaphe
батиста	batista	battista
бах	bach	bach
башибозуците	bashibozouks	turks
баща	otasi	father
бащата	ota	father
бвп	yaim	gdp
бг	bg	bg
бе	bo&#39;lmoq	was
бедна	bechora	poor
бедни	bechora	poor
бедните	bechora	poor
бедствия	ofatlar	disasters
бежанци	qochqinlar	refugees
без	holda	without
безгръбначни	umurtqasizlar	spineless
безплатни	ozod	free
безплатно	tekinga	free
безработица	ishsizlik	unemployement
безработицата	ishsizlik	unemployment
безспорно	shubhasiz	undoubtedly
бей	ko&#39;rfaz	bej
бела	oq	bela
беларус	belarusiyalik	belarus
беласица	belasitsa	belasitsa
белгийски	belgiyalik	belgian
белгия	belgiya	belgium
белград	belgrad	belgrade
белег	belgisi	scar
бележи	belgilari	marks
бележка	eslatma	note
бележки	eslatmalar	notes
белези	yaralar	signs
бели	oq	white
белини	oqartirish	belini (name)
белите	oq	white
белия	oq	white
белоградчик	belogradchik	belogradchik
белоградчишките	belogradchik	belogradchik
белодробния	pulmoner	lung's
беломорска	egey	aegean
белтък	oqsil	protein
белтъци	oqsillar	protein
белтъците	oqsillar	whites
бен	ben	ben
бенковски	benkovski	benkovski
бербатов	berbatov	berbatov
берлин	berlin	berlin
берлинската	berlin	berlin
берлинския	berlin	berlin
берое	beroe	beroe
берон	beron	beron
бесарабия	bessarabiya	bessarabia
бета	beta-versiya	beta
бетховен	betxoven	beethoven
беше	bu bo&#39;lgandi	was
бзнс	bzns	agrarian
би	bo&#39;lardi	will
библиография	bibliografiya	bibliography
библиотека	kutubxonasi	library
библиотеката	kutubxona	library
библиотеки	kutubxonalar	libraries
библията	bibliya	the bible
бива	bo&#39;lib turadi	is
биват	bor	are
бивш	sobiq	former
бивша	sobiq	former
бившата	sobiq	former
бивши	sobiq	former
бившите	sobiq	former
бившия	sobiq	former
бившият	sobiq	former
бидейки	bo&#39;lish	being
бие	uradi	beat
бизнес	biznes	business
бизнеса	biznes	the business
бийтълс	bitlz	the beatles
бил	edi	was
била	edi	was
билбо	bilbo	bilbo
били	ular bo&#39;lgan	were
билки	giyohlar	herbs
билла	hisob-kitob	billa
било	yoki	was
биогеография	biogeografiya	biogeography
биография	tarjimai hol	biography
биологична	biologik	biological
биологични	biologik	biological
биологично	biologik	biological
биология	biologiya	biology
бирма	birma	burma
бисмарк	bismark	bismarck
бистрица	bistrika	bistrica
бит	bit	beaten
бита	bitlar	style of living
битие	bo&#39;lish	being
битка	jang	battle
битката	jang	battle
битки	janglar	battles
битките	janglar	battles
битови	maishiy	household
битоля	bitola	bitola
биха	bo&#39;lardi	would
бият	urmoq	tolls
бкп	bkp	bulgarian communist party
блага	tovarlar	blaga
благодарение	rahmat	thanks
благоевград	blagoevgrad	blagoevgrad
благоприятни	qulay	favorable
благородни	olijanob	precious
блата	botqoqliklar	swamp
блатия	botqoqlik	loosestrife
блекмор	qora	blackmoor
близка	yaqin	close
близката	yaqin	close
близки	yaqin	close
близките	qarindoshlar	close
близкия	yaqin	middle
близко	yaqin	close
близкото	yaqin	close
близнаци	egizaklar	twins
близо	yaqin	close
близост	yaqinlik	proximity
близостта	yaqinlik	closeness
близък	yaqin	close
блог	blog	blog
блок	blok	bloc
блокада	blokada	blockade
блокадата	blokada	blockade
блокове	bloklar	blocks
блян	xayol	henbane
блясък	yorqinlik	shine
боб	dukkaklilar	bob
боби	dukkaklilar	bobi
бог	xudo	god
бога	xudo	god
богат	boy	rich
богата	boy	rich
богатата	boylar	rich
богати	boy	rich
богатите	boylar	the rich
богато	boy	richly
богатства	boylik	treasures
богатство	boylik	treasure
богатството	boylik	wealth
богдан	bogdan	bogdan
богиня	ma&#39;buda	goddess
богинята	ma&#39;buda	goddess
богове	xudolar	gods
боговете	xudolar	gods
богомилите	bogomillar	bogomils
богородица	bokira	mary
богородично	bokira	mary
богословие	ilohiyot	theology
богословски	teologik jihatdan	theological
боеве	janglar	fightings
боевете	janglar	the fights
божества	xudolar	deities
божествена	ilohiy	divine
божествената	ilohiy	divine
божество	xudo	deity
божи	xudodan	god
божидар	bozhidar	bozidar
божие	xudodan	god
божието	xudodan	god
божилов	bojilov	bojilov (name)
божия	xudodan	god
божков	butlar	bozhkov
божур	piongul	poeny
бозайници	sutemizuvchilar	mammals
бозайниците	sutemizuvchilar	mammals
бои	ranglar	paints
бой	jang	battle
бойко	aql bilan	boyko
бойни	jang	martial
бойните	jang	martial
бойното	jang	battle
болен	kasal	ill
болест	kasallik	disease
болести	kasalliklar	diseases
болестите	kasalliklar	diseases
болестта	kasallik	the disease
боливия	boliviya	bolivia
болка	og&#39;riq	grief
болки	og&#39;riq	aches
болни	kasal	ill
болните	kasallar	the sick
болница	kasalxona	hospital
болницата	kasalxona	hospital
болния	kasal	the sick
болният	kasal	patients,ill
болшевишката	bolsheviklar	bolshevik
бомба	bomba	bomb
бонапарт	bonapart	bonaparte
бор	bor	pine
борба	kurash	fight
борбата	kurash	fight
борби	kurashlar	fights
борда	taxta	bord
бори	janjallar	fights
борис	boris	boris
борислав	borislav	borislav
борисов	borisov	borisov
борса	fond birjasi	exchange
борят	jang	fighting
босна	bosniya	bosnia
босфора	bo&#39;g&#39;ozi	bosphorus
ботев	botev	botev
ботевград	botevgrad	botevgrad
бохемия	bohemiya	bohemia
боя	bo&#39;yamoq	paint
боян	bo&#39;yan	bojan
боянската	boyana	boyans
бпц	bpts	bulgarian orthodox church
бр	yo&#39;q	edition
брад	brad	brad
бразда	jo&#39;yak	groove
бразилия	braziliya	brazil
бразилската	braziliyalik	brazilian
бразилското	braziliyalik	brazilian
брак	nikoh	marriage
брака	nikoh	merriage
бракове	nikohlar	marriages
брат	aka	brother
братовчед	amakivachcha	cousin
братство	qardoshlik	brotherhood
братя	aka-uka	brothers
братята	aka-uka	brothers
браузъри	brauzerlar	browsers
браун	jigarrang	brown
брега	sohil	shore
брегова	qirg&#39;oq bo&#39;yida	coastline
бреговата	qirg&#39;oq bo&#39;yida	coast
брегове	sohillari	shores
бреговете	sohillari	shores
бременност	homiladorlik	pregnancy
бри	brie	bree
бригада	brigada	brigade
британия	britaniya	britain
британска	britaniya	british
британската	inglizlar	british
британски	britaniya	british
британските	inglizlar	british
британския	inglizlar	british
британското	inglizlar	british
британците	inglizlar	british
брой	raqam	number
бронз	bronza	bronze
бронзовата	bronza	bronze
бронзови	bronza	bronze
брошови	broshkalar	bedstraws
броя	hisoblash	number
броят	soni	number
брук	irmoq	brook
брус	nur	bruce
брут	yalpi	gross
брутният	yalpi	the gross
брцк	brtsk	brck
брюксел	bryussel	brussels
бряг	plyaj	shore
бряга	sohil	banks
бсп	bsp	bsp (bulgarian socialist party)
бтс	bts	bulgarian tourist union
буда	budda	buddha
будапеща	budapesht	budapest
будизма	buddizm	budism
будизмът	buddizm	buddhism
будизъм	buddizm	buddhism
буенос	buenos	buenos
буква	xat	letter
буквално	so&#39;zma-so&#39;z	literally
буквата	xat	the letter
букви	harflar	letters
буквите	harflar	letters
буколики	bukolik	bucolica
букурещ	buxarest	bucharest
бул	bulon	boulevard
булеварди	xiyobonlar	boulevards
бунт	g&#39;alayon	rising
бунта	isyon	rebellion
бунтове	tartibsizliklar	riots
бургас	burgas	burgas
бургаски	burgas	bulgarian
бургаско	burgas	burgasko
бурдж	burj	burj
буржоазия	burjua	bourgeoisie
бури	bo&#39;ron	storms
буря	bo&#39;ron	storm
буталото	piston	ratio
бутилка	shisha	bottle
буш	buta	bush
бъбреците	buyraklar	kidneys
бъдат	bo&#39;lmoq	be
бъде	bo&#39;lmoq	be
бъдещата	kelajak	future
бъдеще	kelajak	future
бъдещето	kelajak	future
бъдещи	kelajak	future
бъдещите	kelajak	future
бъдещия	kelajak	future
бъдещо	kelajak	future
българи	bolgarlar	bulgarians
българин	bolgar	bulgarian
българите	bolgarlar	bulgarians
българска	bolgar	bulgarian
българската	bolgar	bulgarian
български	bolgar	bulgarian
българските	bolgarlar	bulgarian
българския	bolgar	bulgarian
българският	bolgar	bulgarian
българско	bolgar	bulgarian
българското	bolgar	bulgarian
бърдо	tepalik	hill
бърз	tez	fast
бърза	tez	fast
бързи	tez	busey
бързо	tez	fast
бързото	tez	rapid
бъртън	burton	burton
бюджет	byudjet	budget
бюджета	byudjet	the budget
бюро	stol	bureau
бяга	yuguradi	run
бягат	qochib ketish	flee
бягство	qochish	escape
бягството	qochish	escape
бял	oq	white
бяла	oq	white
бялата	oq	white
бяло	oq	white
бялото	oq	white
бях	men edim	was
в	ichida	in
ва	va	st
вавилон	bobil	babylon
вагината	qin	the vagina
ваджраяна	vajrayana	vajrayana
важен	muhim	important
важи	yaroqli	true
важна	muhim	important
важни	muhim	important
важните	muhim	damp
важно	muhim	important
важност	ahamiyati	importance
важността	ahamiyati	importance
вазов	vazalar	vazov
ваксина	emlash	vaccine
вал	mil	shaft
валежи	yog&#39;ingarchilik	rainfall
валежите	yomg&#39;ir yog&#39;yapti	rainfall
валенсия	valensiya	valencia
валентин	sevishganlar	valentin
валери	valeri	valeri
вали	yomg&#39;ir yog&#39;yapti	rain
валкирии	valkyries	valkirias
валута	valyuta	currency
валутен	valyuta	monetary
вампир	vampir	vampire
вампири	vampirlar	vampires
вампирите	vampirlar	vampires
ван	mikroavtobus	von
ванга	vanga	vanga
вапцаров	vatsparov	vapcarov
варварски	vahshiy	barbarian
вардар	varar	river vardar
вардарска	vardar	vardar
вариант	variant	version
варианти	imkoniyatlari	variants
вариации	o&#39;zgarishlari	variations
вариолата	chechak	smallpox
варира	o&#39;zgaradi	varies
варират	farq qiladi	range
варна	varna	varna
варненска	varna	varna
варненско	varna	varna
варовик	ohaktosh	limestone
варовици	ohaktosh	limestone
вароша	varosha	verosh
варшава	varshava	warsaw
вас	siz	you
васил	reyhan	vasil
василев	vasilev	vassilev
василевс	vasilevs	vasilevs
василевса	vasilevsa	basileos
василий	reyhan	basil
ватикана	vatikanning	vatican
ваше	sizniki	yours
вашингтон	vashington	washington
ввс	havo kuchlari	bbc
вдига	liftlar	lift
вдигане	ko&#39;tarish	lift
вдъхновение	ilhom	inspiration
вдясно	o&#39;ngga	right
вега	vega	vega
веднага	darhol	immediately
веднъж	bir marta	once
везер	ob-havo	weser
везувий	vesuvius	vesuvius
век	asr	century
века	asr	centuries
векове	asrlar	ages
вековете	asrlar	centuries
велбъжд	velbuzhd	velbujd
велик	ajoyib	great
велика	ajoyib	great
великата	buyuk	great
великден	pasxa	easter
велики	ajoyib	great
великите	buyuk	great
великия	buyuk	great
великият	buyuk	great
велико	ajoyib	veliko
великобритания	buyuk britaniya	united kingdom
великолепни	ajoyib	great
великото	buyuk	grand
велинград	velingrad	velingrad
величина	kattalik	value, size
величков	buyuklar	velichkov
вена	tomir	vein
венера	venera	venus
венец	gulchambar	wreath
венеция	venetsiya	venice
венецуела	venesuela	venezuela
вени	tomirlar	veins
вените	tomirlar	veins
верига	zanjir	chain
веригата	zanjir	chain
вериги	zanjirlar	chains
веригите	zanjirlar	chains
вермахта	wehrmacht	wehrmacht
вероизповедание	din	cult
вероизповедания	din	denominations
верона	verona	verona
вероятно	ehtimol	probably
вероятност	ehtimollik	likely
вероятността	ehtimollik	likely
версии	versiyasi	versions
версия	versiyasi	version
вертикални	vertikal	vertical
веселин	quvnoq	veselin
веспасиан	vespasian	vespasian (name)
вестник	gazeta	newspaper
вестници	gazetalar	newspapers
вестниците	gazetalar	newspapers
ветрове	shamollar	winds
ветровете	shamollar	winds
вече	allaqachon	already
вечен	abadiy	eternal
вечер	oqshom	evening
вечерта	kechqurun	in the evening
вечеря	kechki ovqat	dinner
вещества	moddalar	substances
веществата	moddalar	substances
вещество	modda	substance
веществото	modda	substance
вж	qarang	see
взаимно	o&#39;zaro	mutually
взаимодейства	o&#39;zaro ta&#39;sirlar	interact
взаимодействие	o&#39;zaro ta&#39;sir	interaction
взаимодействието	o&#39;zaro ta&#39;sir	interaction
взаимодействия	o&#39;zaro ta&#39;sirlar	interactions
взаимоотношения	munosabatlar	relationships
взел	oldi	taken
взема	oladi	take off
вземат	olmoq	into
вземе	olmoq	take
взета	olingan	taken
взети	olingan	taken
взето	olingan	taken
взима	oladi	take
взимат	olmoq	take
ви	siz	you
виа	orqali	via
вид	mehribon	type
вида	turlari	type
видео	video	video
види	qarang	see
видим	ko&#39;rib turibmiz	visible
видима	ko&#39;rinadigan	visible
видими	ko&#39;rinadigan	visible
видимо	ko&#39;rinadigan	apparently
видин	vidin	vidin
видински	vidin	vidin
видинското	vidin viloyati	vidin
видни	atoqli	prominent
видове	turlari	species
видовете	turlari	tipes
видът	turlari	type
видял	ko&#39;rgan	seen
видят	qarang	see
виена	vena	viena
виетнам	vetnam	viertnam
виетнамската	vetnamcha	vietnam
виж	qarang	look
вижда	ko&#39;radi	sees
виждайки	ko&#39;rish	seeing
виждат	ular ko&#39;rishadi	see
вижте	qarang	see
византийска	vizantiya	byzantine
византийската	vizantiya	bizantinum
византийски	vizantiya	byzantine
византийските	vizantiya	byzantine
византийския	vizantiya	byzantine
византийският	vizantiya	the byzantine
византийско	vizantiya	byzantine
византийското	vizantiya	byzantine
византийци	vizantiya	byzantines
византийците	vizantiyaliklar	byzantines
византия	vizantiya	bysanthia
виктор	viktor	victor
виктория	viktoriya	victoria (name)
вила	villa	vila
вилхелм	vilgelm	wilhelm
вина	aybdorlik	fault
винаги	har doim	always
вината	aybdorlik	guilt
вино	vino	vine
виното	sharob	the wine
винсент	vincent	vincent
винчи	dastgoh	vinci
вироид	viroid	viroid
виртуална	virtual	virtual
вирус	virus	virus
вируса	virus	virus
вируси	viruslar	viruses
вирусите	viruslar	viruses
вирусът	virus	virus
висок	baland	high
висока	baland	high
високата	baland	high
високи	baland	high
високите	baland	high
високо	baland	high
високото	baland	high
височина	balandligi	height
височината	balandligi	height
висш	yuqori	high
висша	yuqori	higher, premier
висше	baland	higher
висши	yuqori	higher
висшите	yuqori	high rank
вит	vit	vit
витамин	vitamin	vitamine
витамини	vitaminlar	vitamines
витлеем	vitamin	vitleem
витоша	vitaminlar	vitosha
вихрен	bo&#39;ron	vihren
вишну	gilos	vishnu
вк	inc	newspaper
вкарва	ballar	gives
вкл	shu jumladan	included
включва	o&#39;z ichiga oladi	includes
включване	yoqish; ishga tushirish	inclusion
включват	o&#39;z ichiga oladi	include
включващ	shu jumladan	containing
включваща	shu jumladan	including
включващи	shu jumladan	include
включен	kiritilgan	included
включена	kiritilgan	included
включени	kiritilgan	included
включително	shu jumladan	including
вкус	ta&#39;mga	taste
вкуса	ta&#39;mga	taste
влага	namlik	moisture
влагалището	qin	the vagina
владее	egalik qiladi	rules
владение	egalik	possession
владения	egalik	possessions
владетел	hukmdori	ruler
владетели	hukmdorlar	rulers
владетелите	hukmdorlar	rulers
владетеля	hukmdor	ruler
владетелят	hukmdor	ruler
владеят	qoida	command
владимир	vladimir	vladimir
владислав	vladislav	vladislav
владичество	qoida	rule
влажен	nam	wet
влажна	ho&#39;l	wet
влажност	namlik	humidity
влак	poezd	train
влакна	tolalar	fibres
власт	quvvat	power
властелинът	xudo	lord
власти	hokimiyat	authorities
властите	hokimiyat	authorities
властта	quvvat	authority
влезе	kirdi	enter
влечуги	sudralib yuruvchilar	reptiles
влечугите	sudralib yuruvchilar	reptiles
влива	infuziya	flows
вливат	quymoq	flow
влиза	kiradi	enters
влизане	kirish	entry
влизането	kirish	enforcement
влизат	kiriting	enter
влияе	ta&#39;sir qiladi	affect
влияние	ta&#39;sir qiladi	influence
влиянието	ta&#39;sir	influence
влияния	ta&#39;sir qiladi	influences
влияят	ta&#39;sir qiladi	affect
влошава	yomonlashadi	worsen
влюбва	oshiq	falls
вместо	o&#39;rniga	instead
вмро	vafot etdi	imro
внася	import	submit
внасят	olib keling	import
внезапно	to&#39;satdan	suddenly
внимание	diqqat	attention
вниманието	diqqat	the attention
внимателно	ehtiyotkorlik bilan	carefully
внос	import	import
во	ichida	in
вода	suv	water
водата	suv	water
водач	qo&#39;llanma	leader
водачи	rahbarlari	leaders
водачите	haydovchilar	leaders
воден	suv	water
водена	led	leaded
водени	hidoyat	water
водещ	etakchi	leading
водеща	etakchi	leading
водещи	etakchi	leading
водещите	etakchi	leading
води	suv	water
водите	suv	the waters
водна	suv	water
водната	suv	water
водни	suv	water
водните	suv	water
водопад	sharshara	waterfall
водопада	sharshara	waterfall
водопади	sharsharalar	waterfalls
водопадът	sharshara	waterfall
водорасли	dengiz o&#39;tlari	algae
водород	vodorod	hydrogen
водорода	vodorod	hydrogen
водят	qo&#39;rg&#39;oshin	link
военачалник	harbiy rahbar	captain
военен	harbiy	military
военна	harbiy	military
военната	harbiy	military
военни	harbiy	military
военните	harbiy	millitary
военния	harbiy	military
военно	harbiy	military
военновъздушни	havo kuchlari	military air
военноморски	dengiz floti	marine
военното	harbiy	military
вожд	rahbar	chief
воин	jangchi	soldier
воини	jangchilar	soldiers
войвода	voivode	chieftain
войводата	gertsog	chieftain
войводство	voivodship	voivodeship
война	urush	war
войната	urush	the war
войни	urushlar	wars
войник	askar	soldier
войните	urushlar	wars
