$ tỉ	বিলিয়ন ডলার	$ billion
bc	খ্রিস্টপূর্ব	bc
bchtư	bchtư	central executive
beat	বীট	beat
beatles	দ্য বিট্লস	the beatles
beauty	সৌন্দর্য	beauty
beckenbauer	বেকেনবাওয়ার	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	বেকহ্যাম	beckam
bedloe	bedloe	bedloe
beethoven	বিটোফেন	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	পিছনে	behind
beijing	বেইজিং	beijing
bel	bel	bel
bell	ঘণ্টা	bell
bella	বেল্লা	bella
bellatrix	বেল্লাট্রিক্স	bellatrix
benedict	বেনেডিক্ট	benedict
benetton	বেনেটন	benetton
benfica	বেনফিকা	benfica
benito	benito	benito
benjamin	বেঞ্জামিন	(proper noun) benjamin
bennington	bennington	bennigton
berber	বর্বরজাতিসংক্রান্ত	berber
bergen	বার্গেন	(proper noun) bergen
berger	বার্জার	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	বার্কলে	(proper noun) the city of berkeley, california
berman	বারম্যান	a name
bermuda	বারমুডা	(proper noun) bermuda
bernard	বার্নার্ড	bernard
bertrand	বারট্রান্ড	bertrand
better	উত্তম	better
betty	বেটি	betty
bhutan	ভুটান	bhutan
bia	বিয়ার	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	বিকিনি	bikini
bill	বিল	(proper noun) bill, as in former president bill clinton
billy	ছোট ডেকচি	billy
bismarck	বিসমার্ক	bismarck, as in otto von bismarck
bitmap	বিটম্যাপ	bitmap
biên	নথি	bien
biếc	ক্ষুদ্র হংস	a bluish-green color (adj.)
biếm	উদ্বেগহীন	"(term should be ""biếm họa"") cartoon (n.)"
biến	আউট	other
biếng	অলস	lose interest in
biếu	শ্রদ্ধা নিবেদন	present
biều	bieu	bieu
biển	সমুদ্র	ocean
biểuthứcđiềukiện	শর্তগুলি জানুন	conditional expression
biện	ক্ষমাপ্রার্থী	"(term should be ""biện pháp"") a method (n.)"
biệt	স্বতন্ত্র	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	ব্ল্যাকওয়েল	this is a name
blair	ব্লেয়ার	blair
blaise	blaise	blaise
blanc	সাদা	blanc
blues	ব্লুজ	blues
bo	ছি-ছি	a curl, as in a biceps curl exercise
bob	দোলক	bob
bobby	লালপাগড়ি	bobby, as in bobby day
boeing	বোয়িং	boeing
bohemia	bohemia	bohemia
bolivia	বোলিভিয়া	(proper noun) bolivia
boltzmann	বোল্টসম্যান	boltzmann
bom	বোমা	bomb
bonaparte	বোনাপার্ট	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool,	bool
boolean	বুলিয়ান	(proper adjective) boolean, as in boolean algebra
boom	গম্ভীর গর্জন	boom
boong	ডেক	a deck (n.)
boongke	বাংকার	bunker
bop	বপ	bop
boris	বরিস	boris
borland	borland	(proper noun) borland
borussia	বরুসিয়া	borussia
bose	বোস	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	বসনিয়া	(proper noun) bosnia
botswana	বোট্স্বানা	botswana
bottom	পাদ	bottom
boulder	নুড়ি	boulder
bourbon	বোরবন	bourbon
boxing	বক্সিং	boxing
brain	মস্তিষ্ক	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	brandt	brandt
braun	ব্রাউন	braun
brazil	ব্রাজিল	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	ব্রেটন	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	ব্রেজনেভ	brezhnev
brian	ব্রায়ান	a name
bridge	সেতু	bridge
britannic	ব্রিানিয়ার	(proper noun) britannic
britney	ব্রিটনি	britney
brooklyn	ব্রুকলিন	brooklyn
brot	brot	this is german not vietnamese
brown	বাদামী	brown
browne	ব্রাউনি	browne
browning	ব্রাউনিং	(proper noun) browning
bruce	ব্রুস	bruce
brunei	ব্রুনেই	brunei
bruno	ব্রুনো	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	ব্রাসেলস	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	বুদাপেস্ট	budapest, the capital of hungary
bulgaria	বুলগেরিয়া	bulgaria
bulletin	বুলেটিন	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	শ্বাসরুদ্ধ করিয়া মারা	(proper noun) burke, as in edmund burke
burkina	বুর্কিনা	burkina
burma	বর্মা	burma
burundi	বুরুন্ডি	burundi
busan	বুসান	a korean city
busby	শিরস্ত্রাণবিশেষ	busby
bush	গুল্ম	bush
bushy	জঙ্গলময়	bushy
buôn	পাইকারি	commerce
buông	যান	to release, to let loose
buýt	বাস	bus
buốt	উত্সাহী	sharp
buồm	পাল	sail
buồn	দু: খিত	sad
buồng	ঘর	chamber
buổi	সেশন	session
byzantine	কনস্ট্যাণ্টিনোপলের	byzantine
bà	নানী	woman or lady (n.)
bài	পোস্ট	articles
bàn	টেবিল	table
bàng	গল	eagle
bành	পেং	armchair
bào	planing	compatriot
bàu	বাকৃবি	bau
bày	উপহার	"(term should be ""trưng bày"") to display (v.)"
bác	চাচা	doctor
bách	সরলবর্গীয় চিরহরিৎ বৃক্ষবিশেষ	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	অর্চনা	to bow (v.)
bám	জডাইয়া ধরিয়া থাকা	cling
bán	বিক্রয়	sell
báng	ঠুং	"(term should be ""phỉ báng"") to defame or slander"
báo	সংবাদপত্র	newspaper (n.)
bát	বাটি	eight (n.)
báu	ধন	valuable
bây	এখন	now
bã	অবশিষ্ট	"(term should be ""buồn bã"") sad (adj.)"
bãi	গজ	beach
bão	ঝড়	storm
bèn	তারপর	then
bé	সামান্য	baby
bén	তীব্র	sharp (adj.)
béo	চর্বি	fat
bên	পাশ	side
bênh	অসুস্থ	advocate
bì	প্যাকেজিং	foreskin (n.)
bìa	আবরণ	cover
bìu	অণ্ডকোষ	sac (n.)
bí	স্কোয়াশ	secret
bính	বিন	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	কুমড়া	biro
bò	গাভী	beef
bó	এর গুচ্ছ	bound (adj.)
bói	ভাগ্য বলা	to foretell (v.)
bón	উর্বর করা	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	বল	sphere or ball
bóp	চাপ	squeeze
bô	পিতা	"(term should be ""bôxit"") the mineral bauxite"
bôi	বিচ্ছুরিত	to apply (as in oil)
bông	কার্পাস	flower
bù	মেক আপ	compensate
bùa	মাদুলি	talisman
bùn	কাদা	mud
bùng	বিস্তারণ	"(term should be ""bùng nổ"") to break out (v.)"
bú	স্তন্যদান করা	to suck
búa	হাতুড়ি	a hammer
búi	tufts	tuft
bún	ভাত নুডল	noodle
búng	flicked	snap
bút	কলম	pseudonym
băm	কুচি-কুচি করিয়া কাটা বস্তু	hash
băn	জ্বালাতন	concerned
băng	বরফ	"(term should be ""băng giá"") freezing (adj.)"
bơ	মাখন	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	সন্তরণ	swim
bơm	পাম্প	pump
bưu	ডাকমাসুল	post office
bước	ধাপ	a step (n.)
bướm	প্রজাপতি	butterfly
bạ	যোগাযোগ	directory
bạc	রূপা	meager
bạch	সাদা	"(should be ""bạch tuộc"") an octopus"
bại	হারান	defeated
bảng	তক্তা	chart
bảo	বাও	protect
bảy	সাত	seventh
bấm	প্রেস	press
bất	বাস্তব	"(term should be ""bất cứ"") any (adj.)"
bấy	যে	contemporary
bần	দরিদ্র	poor
bầu	ভোট	vote
bầy	পশুপালক	servant
bẩm	সহজাত	congenital
bẩn	মলিন	the
bẩy	ফাঁদ	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	ফাঁদ	a trap (n.)
bậc	ডিগ্রী	level or class (n.)
bận	ব্যস্ত	busy
bật	চালু	outstanding
bắc	উত্তর	beijing
bắcnam	উত্তর দক্ষিণ	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	অঙ্কুর	shoot
bắp	ভূট্টা	venter
bắt	ধরা	cross
bằng	সমান	by
bẹp	পিষা	crush
bẻ	বিরতি	break
bẽ	নাকাল	humiliate
bến	ঘাটা	wharf
bếp	একটা রান্নাঘর	kitchen
bề	পৃষ্ঠতল	"(should be ""bề mặt"") a surface"
bền	টেকসই	enduring (v.)
bể	হাপর	tank
bệ	স্তম্ভমূল	base
bện	কাটা	braided (adj.)
bệnh	অসুস্থ	benh
bỉ	বেলজিয়াম	disgust
bỉnh	দুষ্টু	binh
bịch	দুম্ শব্দে আঘাত	ridiculous
bịt	আবৃত	cover
bọ	বাগ	insect
bọc	মোড়ানো	to cover or enclose (v.)
bọn	তাহাদিগকে	a group (n.)
bọng	ফোলা	bladder
bọt	ফেনা	foam
bỏ	রদ করা	to leave (v.)
bỏng	পোড়া	hot
bố	পিতা	"(term should be ""tuyên bố"") to declare"
bốc	বোঝাই	bốc lửa= on fire
bối	বিভ্রান্ত	messy
bốn	চার	four
bồi	ক্ষতিপূরণ	"(term should be ""cao bồi"") cowboy (n.)"
bổn	দায়িত্ব	duty
bổng	বৃত্তি	"with word luong, means ""salary"" or ""wages"""
bỗng	হঠাৎ	suddently
bộ	সেট	part
bộc	বিওসি	"(term should be ""bộc lộ"") to reveal (v.)"
bội	বহু	betray
bột	ময়দা	powder or flour (n.)
bớ	বৃত্তাকার	arrest
bớt	কম	less
bờ	প্রান্ত	coast
bời	পশ্চাদ্দেশ	profuse
bở	দ্বারা	profitable
bởi	দ্বারা	because
bục	মঁচ	platform
bụng	পেট	abdomen
bứt	অজ্ঞাতসারে	"(term should be ""bứt phá"") power (n.)"
bừa	মর্মভেদী	messy, careless, or topsy-turvy (adj.)
bữa	খাবার	meal (n.)
bực	হতাশ	bother
ca	পরিবর্তন	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	কারবন	carbon
cacbonat	অঙ্গারাম্লযুক্তদ্রব্য	carbonate
cacbua	কারবাইড	carbides, carbon ions
caesar	সীজার	caesar
caffein	ক্যাফিন	caffeine
café	কফি	coffee
cai	cai	govern
cairo	কায়রো	cairo, the capital of egypt
cal	ক্যাল	cal, a first name
calculus	পাথুরি	calculus
calvin	calvin	calvin
cam	কমলালেবু	commit
cambodia	কাম্বোজ	(proper noun) the country of cambodia
cambridge	কেমব্রি	cambridge
cameo	খোদাই-করা মূতিযুক্ত মণিবিশেষ	cameo part
cameron	ক্যামেরন	cameron
cameroon	ক্যামেরুন	cameroon
camille	camille	camille
campbell	ক্যাম্পবেল	campbell
campuchia	কাম্বোজ	campuchia
canada	কানাডা	canada
canadian	কানাডিয়ান	canadian
canal	খাল	canal
canary	হলদে	canary
cancer	ক্যান্সার	cancer
canterbury	ক্যাঁতারবেরী	canterbury
canxi	ক্যালসিয়াম	calcium
capello	ক্যাপেলো	capello
capra	capra	capra
carat	ক্যারেট	carat
carbine	বন্দুক	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	ক্যারির	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	ক্যারিবিয়ান	caribbean
carl	কার্ল	carl
carlos	কার্লোস	carlos
carnaval	কার্নিভাল	carnaval
carol	সংকীর্তন	carol
caroline	ক্যারোলিন	(proper noun) caroline
carpathia	carpathia	carpathia
carter	গাড়োয়ান	carter
carxtơ	ক্যারেট	karst topography, a geological term (n.)
casa	সিএ এসএ	casa
casablanca	কাসাব্লাংকা	casablanca
caspia	caspia	caspia
cassini	cassini	cassini
cast	ঢালাই	cast
castries	castries	castries
castro	castro	castro, as in fidel castro
cathay	ক্যাথে	cathay
catherine	ক্যাথরিন	catherine
cau	cau	cau
cbc	সিবিসি	cbc
cbgd	cbgd	educational  officer
cbs	সিবিএস	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	সিসিটিভি	cctv
cd	সিডি	cd
cdot	cdot	cdot
cdrom	সিডি রম	cd-rom
cell	কোষ	cell
celtic	কেল্ট্ জাতির ভাষা	centic
cena	সেনা	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	বাবা	father
chai	বোতল	bottle
chaillot	chaillot	a name
chamberlain	গৃহাধ্যক্ষ	chamberlain
champa	চম্পা	champa
champion	রক্ষক	champion
chamẹ	বাবা	parents
chanel	চ্যানেল	chanel
chanh	লেবু	lemon or lime (n.)
chao	ওহে	(proper noun) chao, a name
charles	চার্লস	charles
charlotte	পুডিংবিশেষ	charlotte
charlton	চার্লটন	charlton
charon	শ্যারন	(proper noun) charon
chase	পশ্চাদ্ধাবন	chase
chay	নিরামিষ	fasting
chdcnd	chdcnd	democratic republic
che	আবরণ	cover
chechnya	chechnya	chechnya
chen	চেন	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	চি	"(term should be ""chi tiết"") details (n.)"
chia	ভাগ	"(term should be ""chia sẻ"") to share"
chiang	চিয়াং	chiang
chicago	শিকাগো	chicago, as in chicago, illinois
chile	চিলি	(proper noun) the country of chile
chim	পাখি	bird
china	চীন	china
ching	চিং	ching
chirac	শিরাক	chirac, as in former french president jacques chirac
chiêm	জ্যোতির্বিদ্যা-সংক্রান্ত	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	ভাজা	fry
chiêng	ঘণ্টা	gong
chiếc	পিসি	the
chiếm	জন্য অ্যাকাউন্টিং	appropriate
chiến	যুদ্ধ	war, fight
chiết	নির্যাস	literal
chiếu	মাদুর	show
chiền	গুচ্ছ	temple
chiều	অপরাহ্ন	length
chlamydia	chlamydia	chlamydia
chloride	ক্লরিনের যৌগিক	chloroauric acid
chnd	chnd	chnd
choi	খেলা	choi
chomsky	চমস্কি	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	অন্তরীপ	coat
choáng	স্তব্ধ	dizzy
chris	ক্রিস	chris, as in chris hughes
christ	খ্রীষ্ট	christ
christian	খ্রীষ্টান	christian
christopher	ক্রিস্টোফার	christopher
chrome	ক্রৌমিয়াম	chrome, as in google chrome
chrysler	ক্রাইসলার	(proper noun) chrysler, the car company
chu	chu	cycle
chua	টক	tomato
chuck	প্রি়	(proper noun) chuck, as in chuck norris
chui	মুছা	underground
chum	অন্তরঙ্গ বন্ধু	pot
chun	চুন	chun
chung	সাধারণ	general
churchill	চার্চিল	churchill
chuyên	বিশেষজ্ঞ	professional
chuyến	যাত্রা	trip
chuyền	পাস	volleyball
chuyển	সরেছিল	to move
chuyện	গল্প	nói chuyện= talk
chuôi	আঁকড়ান	handle
chuông	ঘণ্টা	a bell
chuẩn	মান	standard
chuốc	অকর্মা	incur
chuối	কলা	banana
chuốt	broaching	refine
chuồng	খাঁচা	cage
chuỗi	শৃঙ্খল	series
chuộc	খালাস করা	redeem
chuộng	বিশেষ সুবিধাপ্রাপ্ত	favorite
chuột	মাউস	a mouse (n.)
chà	ঘষা	rub
chài	মাছ ধরা	fish
chàm	বেগনি নীলবর্ণ	indigo
chàng	লোক	"(term should be ""chàng trai"") a young man (n.)"
chào	হ্যালো	welcome
chày	বেসবল	a pestle (n.)
chánh	নেতা	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	জাউ	porridge
cháu	নাতি নাতনিদের	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	আগুন	fire
châm	ফুটা	motto
chân	পা	a leg
châu	ইউরোপ	continental
chè	চা	tea
chèn	সন্নিবেশ	insert
chém	কাটা	to chop
chén	কাপ	bowl
chéo	ক্রস	cross
chép	কপি	written
chê	অভিশাপ	decry
chênh	পার্থক্য	difference
chì	নেতৃত্ব	graphite
chìa	চাবি	"(term should be ""chìa khoá"") a key (n.)"
chìm	ডুবে গেল	to become submerged or sink (v.)
chình	পাঁকাল	eel
chí	উকুন	especially
chích	দংশন	shoot
chín	নয়	ripe
chính	প্রধান	main
chít	চিট	dense
chò	শ্বাসরোধ	a type of plant, typically of the parashorea genus (n.)
chòi	কেবিন	hut
chòm	ঋক্ষ	constellation
chó	কুকুর	dog
chóc	হা হা	killing (giet choc)
chói	একদৃষ্টি	bright
chóng	দ্রুত	"entire term should be ""chong mat""; means ""dizzy"""
chóp	শীর্ষ	the top (n.)
chôm	rambutan	rambutan
chôn	সমাহিত করা	bury
chông	স্বামী	thorn
chùa	মন্দির	pagoda
chùy	দণ্ড	mace
chú	চাচা	uncle (n.)
chúa	সৃষ্টিকর্তা	god
chúc	ইচ্ছে	will
chúi	tuu	drop
chúng	তাহাদিগকে	they
chút	সামান্য পরিমাণ	little
chăm	কঠিন	champa
chămpa	চম্পা	champa
chăng	সাশ্রয়ী মূল্যের	would it
chĩa	কাটাচামচ	point
chơi	খেলা	play
chơn	পা দুটো	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	চু	lower authorities
chưa	এখনো না	not yet
chưng	dist	steamed
chương	অধ্যায়	medal
chướng	বাধা ডিঙ্গানো দৌর	grating
chạ	এলোমেলো	father
chạm	স্পর্শ	touch
chạng	গোধূলি	twilight
chạp	নড়বড়ে	slow
chạy	চালান	to run (v.)
chả	রোলস	no
chảo	চাটু	pan
chảy	চালান	bleeding
chấm	ডট	end
chấp	চ্যালেঞ্জ	"(term should be ""chấp nhận"") to accept (v.)"
chất	ব্যাপার	quality
chấu	চিমটি কাটা	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	blanching	slice
chẩn	লক্ষণ দেখিয়া নির্ণয় করা	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	ধীর	slow
chận	বাধা	block
chật	আঁট	overcrowded
chậu	পাত্র	pelvic
chắc	নিশ্চিত	certainly
chằng	ললাট	ligament
chẵn	এমন কি	even
chặn	নকশা করা	prevent
chặng	পা	journey
chặt	চপ	close
chẻ	বিভক্ত করা	strick
chẽ	আঁট	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	উদ্যতি	produce
chếch	কমানো	oblique
chết	মারা যান	to die (v.)
chệch	ভুল	deviant
chỉ	মাত্র	just (adv.)
chỉnh	সংশোধন	adjust
chịt	বিষ্ঠা	chằn chịt= complex/tangle
chịu	ভালুক	tolerate
chọc	খোঁচাতে	to poke
chọi	যুদ্ধ	oppose
chọn	পছন্দ করা	to choose
chỏ	কনুই	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	মুহূর্ত	single
chối	অস্বীকার করা	refuse
chốn	জায়গা	place
chống	বিরোধী	anti-
chốt	হুড়কা	important
chồi	কান্ড	"(term should be ""đâm chồi"") budding"
chồn	শিয়াল	anxious
chồng	স্বামী	husband
chỗ	জায়গা	where
chội	বিষ্ঠা	cramped
chớ	করো না	not
chớp	বজ্র	flashing (adj.)
chờ	অপেক্ষার	to wait
chở	বহন	for
chợ	বাজার	market
chợt	হঠাৎ	suddenly
chục	ডজন	dozen
chụp	একটি শট নাও	capture
chủ	মনিব	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	প্রজাতির	strain
chứ	বরং	just or only (adv.)
chứa	ধারণ করা	contain
chức	ক্রিয়া	function
chừ	চিঠি	hesitate
chừa	ছোড়	leave
chừng	কিছু	about or roughly (adv.)
chử	শব্দ	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	গর্ভবতী	pregnant
chửi	অভিশাপ	curse
chữ	শব্দ	a letter of the alphabet (n.)
chữa	আরোগ্য	to cure or treat (v.)
chững	সমতলকরণ	to totter (v.)
cia	সিআইএ	cia
cincinnati	সিনসিনাটি	cincinnati
cinderella	সিন্ড্যারেল্যা	cinderrella
cip	সিআইপির	cip
circus	সার্কাস	circus
cities	শহর	cities
clara	clara	clara
clark	ক্লার্ক	clark
claude	ক্লদ	(proper noun) claude
claudius	ক্লডিয়াস	(proper noun) claudius
clinton	ক্লিনটন	clinton, as in former president bill clinton
clip	ক্লিপ	clip
clips	ক্লিপ্স	clips
clo	ক্লরিন	chlorine
clow	ক্লাউ	clow
