$	ps	dollar
అత్యుత్తమ	mejor	extraordinary
అత్యున్నత	el más alto	highest
అత్రి	atri	athri
అదనంగా	adicionalmente,	additional
అదనపు	adicional	extra
అది	eso	adi
అదిలాబాదు	adilabad	adilabad
అదీ	eso es	that too
అదుపు	custodia	control
అదుపులో	controlar	in control
అదృశ్యం	desaparecer	disappeared
అదే	lo mismo	that one only
అద్దం	espejo	mirror
అద్దంకి	planes	adanki
అద్భుత	increíble	wonderful
అద్భుతం	increíble	miracle
అద్భుతంగా	emocionante	amazingly
అద్భుతమైన	excelente	amazing
అద్వైత	advaita	advaita
అద్వైతం	advaitham	philosphy
అధర్వణ	atharva	atharvana
అధిక	más	more
అధికం	incrementar	increase
అధికంగా	más	mostly
అధికభాగం	la mayoría de	most part
అధికమైన	moda	extra
అధికార	poder	official
అధికారం	autoridad	power
అధికారంలో	poder	in power
అధికారంలోకి	poder	came into power
అధికారాన్ని	poder	its authority
అధికారాలు	potestades	powers
అధికారి	oficial	officer
అధికారిక	oficial	official
అధికారికంగా	oficialmente	authoritarian
అధికారుల	oficiales	officer's
అధికారులు	oficiales	officials
అధినేత	cabeza	president
అధిపతి	cabeza	head of the department
అధిపత్యం	dirigir	domination
అధిష్టాన	autoridad	higer
అధీనంలో	bajo la	possession
అధీనంలోకి	custodia	in control
అధునాతన	avanzado	modern
అధ్యక్ష	presidente	president
అధ్యక్షుడిగా	presidente	head
అధ్యక్షుడు	presidente	president
అధ్యక్షులు	presidentes	president
అధ్యయనం	el estudio	study
అధ్యయనాన్ని	estudiar	exercise
అధ్యాయం	capítulo	chapter
అధ్యాయంలో	capítulo	in the chapter
అనంత	infinito	infinite
అనంతం	infinito	infinite
అనంతపురం	anantapur	ananthapuram
అనంతపురానికి	anantapuraniki	ananthapuram
అనంతము	infinito	infinity
అనంతమైన	infinito	infinite
అనంతర	luego,	after
అనంతరం	los	later
అనకాపల్లి	anakapalli	anakapalli
అనగా	es decir	it means
అనడం	ese	telling
అనధికార	no autorizado	unofficial
అనన్య	único	many
అనబడే	conocido	as called
అనవచ్చును	lo que se entiende	can be called
అనాదిగా	originalmente	long ago
అని	ese	it means
అనికూడా	como el	also
అనిన్నీ	todos	all
అనిపిస్తుంది	siente	is felt
అనిబిసెంట్	annie besant	annibesant
అనిల్	añil	anil
అనీ	es	saying
అను	anu	namely
అనుకూలంగా	compatible	as favorable
అనుకూలమైన	amistoso	consquently
అనుగుణంగా	de acuerdo con el	favourable
అనుచరులు	seguidores	followers
అనుత్రికము	anutrikamu	tailbone
అనునది	los	called
అనుబంధ	suplemento	related
అనుబంధం	suplemento	good relation
అనుబంధంగా	adjunto	affectionate
అనుభవ	experiencia	with experience
అనుభవం	experiencia	experience
అనుభవాలను	experiencias	experience
అనుమతి	permiso	anumathi
అనుమతిని	permiso	permission
అనుమతిస్తాయి	permitir	will allow
అనుమతిస్తుంది	permite	giving permission, approved
అనుమానం	sospechoso	doubt
అనుయాయులు	novatos	supporters
అనువదించాడు	traducido por	translated
అనువర్తన	solicitud	application
అనువాద	traducción	translation
అనువాదం	traducción	chapter
అనువాదము	traducción	translation
అనువాదాలు	traducciones	translations
అనువుగా	expuesto	ready
అనువైన	flexible	wish
అనువైనది	ideal	convenient
అనుష్క	anushka	anushka - film actress in andhra
అనుసంధానం	integración	interface
అనుసరించి	siguiendo	followed
అనుసరించే	seguir	following
అనుసరిస్తుంది	sigue	following
అనుసరిస్తూ	siguiendo	following
అనెలిడా	anélido	persons name
అనే	los	said
అనేక	muchos	many
అనేకమంది	muchos	many people
అనేకమైన	muchos	so many
అనేకానేక	más y más	more
అనేది	los	called
అనేవారు	estaba	used to say
అనేవి	los	called
అనొచ్చు	leyes	may call
అనో	ya sea	said
అన్న	anna	said
అన్నం	arroz	rice (food)
అన్నట్టు	dijo	as if
అన్నట్లు	dijo	as if
అన్నదమ్ములు	hermanos	brothers
అన్నది	es	said
అన్నపూర్ణ	annapurna	anapurna
అన్నమయ్య	linkreports	annamayya
అన్నమాచార్య	annamacharya	annamacharya
అన్నమాట	es el	like that
అన్నయ్య	hermano	elder brother
అన్నా	anna	anna
అన్నాడట	annadata	told
అన్నాడు	dijo	he told
అన్నారు	dijo	told, said
అన్ని	todas	all
అన్నింటికంటే	más	best of all
అన్నింటికన్నా	más	annitikanna
అన్నిటి	todo	all
అన్నిటికంటే	más	above all
అన్నీ	todas	all
అన్వేషణ	buscar	search
అపారమైన	enorme	great
అపూర్వ	únicamente	apoorva
అప్పటి	luego	then
అప్పటికి	luego	thattime
అప్పటికే	ya	by that time
అప్పటినుండి	desde entonces,	from then
అప్పటివరకు	hasta este punto	till then
అప్పట్లో	en el momento,	at that time
అప్పారావు	appa rao	appa rao
అప్పు	préstamo	loan
అప్పుడప్పుడూ	de vez en cuando	sometimes
అప్పుడు	luego	then
అప్పుడే	los	then only
అఫ్	arriba	of
అఫ్జల్	afzal	afal
అబివృద్ధి	crecimiento	development
అబూబక్ర్	abu bakr	abubrack
అబొరిజైన్స్	aborijains	aborigines
అబ్దుల్	abdul	abdul
అబ్బాయి	chico	boy
అబ్‌ఖజియా	abjasia	abkhazia
అబ్‌ఖజియాలో	abkhajiyalo	in ab-khajia
అబ్‍ఖజియా	abjasia	ab khajiya
అభిప్రాయ	opinión	opinion
అభిప్రాయం	realimentación	opinion
అభిప్రాయపడ్డారు	escritura	express opinion
అభిప్రాయము	la opinión	opinion
అభిప్రాయాలు	puntos de vista	opinion
అభిమాన	favorito	fans
అభిమానాన్ని	enfermo	like
అభిమానుల	aficionados	fans
అభిమానులు	aficionados	fans
అభిరుచి	pasión	good taste
అభిలాష	aspiración	intensity
అభివర్ణించాడు	descrito	explained
అభివృద్ది	desarrollo de la	development
అభివృద్ధి	desarrollo	improvment
అభివృద్ధికి	desarrollo	development
అభివృద్ధిని	crecimiento	development
అభ్యర్థులు	candidatos	candidates
అభ్యాసం	aprendizaje	training
అభ్యుదయ	prosperidad	popular
అమరజీవి	mártir	deathlessman
అమరాంథేసి	amaranto	amaranthaseae
అమరావతి	amravati	amaravathi
అమరి	calificación	adjust
అమరిక	configuración	america (its a country)
అమర్చి	conjunto	fix
అమలు	correr	execute
అమలులోకి	efecto	in use
అమల్లోకి	efecto	in use
అమావాస్య	luna nueva	moonless night
అమితంగా	borrachera	so much
అమెరికన్	americano	american
అమెరికన్లు	estadounidenses	americans
అమెరికా	estados unidos	america
అమెరికాకు	estados unidos	to america
అమెరికాలో	estados unidos	in america
అమెరికాలోని	estados unidos	in america
అమెరికాలోనే	estados unidos	in america itself
అమ్మ	mamá	amma
అమ్మవారి	amman	mother
అమ్మవారిని	diosa	to mother
అమ్మా	madre	mother
అమ్మాయి	niña	girl
అమ్మాయిలు	muchachas	girls
అమ్మే	vender	ammo
అయన	su	he
అయస్కాంత	magnético	magnet
అయి	y	happen
అయింది	es	became
అయితే	sin embargo,	while
అయిదు	cinco	five
అయిన	los	is
అయినది	era	happened
అయిననూ	sin embargo,	inspite of
అయినప్పటికీ	sin embargo,	even though
అయినప్పుడు	cuando	that
అయినా	alguna	still
అయోధ్యకు	ayodhya	to ayodhya
అయోమయ	desorden	confusion
అయ్యప్ప	ayyappa	ayyappa
అయ్యర్	iyer	ayyar
అయ్యాక	cuando	after it's don
అయ్యాడు	estaba	he was made
అయ్యాయి	son	became
అయ్యి	es	happen
అయ్యింది	es	done
అయ్యే	válido	that
అర	estante	half
అరటి	plátano	banana
అరటిపండు	plátano	banana
అరణ్య	bosque	forest
అరత్ని	olecranon	ulna
అరబిక్	arábica	arabic
అరబ్బీ	arábica	arab
అరబ్బులు	árabes	arabs
అరవై	sesenta	sixty
అరిస్టాటిల్	aristóteles	aristotle
అరుణ	aruna	aruna
అరుణాచల్	arunachal	arunachal
అరుదు	raramente	rare
అరుదుగా	raramente	rarely
అరుదైన	raro	rare
అరెస్టు	detenido	arrest
అరేబియా	arabia	arabia
అర్చకులు	sacerdote	priests
అర్చన	archana	praying the god
అర్జునుడు	arjuna	arjuna
అర్జునుని	arjununi	arjuna's desire
అర్జున్	arjun	arjun
అర్థ	sentido	half
అర్థం	sentido	meaning
అర్థము	explicación	meaning
అర్ధ	medio	economic
అర్ధం	sentido	internet,slum areas,hindu,muslim,lord shiva
అర్ధము	sentido	meaning
అర్ధాలు	definiciones	meanings
అర్ధిక	ardhika	economic
అర్బన్	urbano	urban
అర్హత	elegible	eligibility
అలంకరణ	decoración	decorated
అలంకరించి	adornado	decoration
అలంకరిస్తారు	decorado	decoration
అలల	ola	waves
అలలు	mareas	waves
అలవాటు	hábito	habit
అలవాట్లు	comiendo	habit
అలహాబాదు	allahabad	alahabad
అలా	entonces	in that way
అలాంటి	tal	like that
అలాగే	así como el	alage
అలానే	tanto como	that tipe
అలాస్కా	alaska	alaska (name of the place in america)
అలీ	ali	ali
అలుగు	hierba	pangolin
అలెగ్జాండర్	alejandro	alexander
అలోహం	aloham	nonmetal
అల్	alabama	al
అల్ప	corto	smaller
అల్బేనియా	albania	albania
అల్లం	jengibre	ginger
అల్లసాని	allasani	allasani
అల్లు	girar	allu
అల్లుడు	hijo	son in law
అల్లూరి	guillermo	alluri
అవకాశం	oportunidad	opportunity
అవకాశము	oportunidad	opportunity
అవకాశాన్ని	oportunidad	opportunity
అవగాహన	conciencia	knowledge
అవతరణ	formación	formation
అవతరించింది	se convirtió en el	born
అవతలి	otro	that side
అవతారం	encarnación	god
అవతారమని	avatar	form
అవతారాలు	avatares	embodiments
అవలంబించారు	adoptado	following
అవశేషాలు	los restos	remains
అవసరం	necesitar	need
అవసరమయ్యే	necesario	required
అవసరమైతే	si necesario	if required
అవసరమైన	necesario	needed
అవసరాన్ని	necesitar	need
అవసరాల	requisitos	necessities
అవసరాలను	requisitos	needs
అవసరాలు	requisitos	needs
అవార్డు	premio	award
అవార్డును	premio	award
అవార్డులు	premios	awards
అవి	ellos	avi
అవినీతి	corrupción	uncouth, illegal
అవీ	ajuste	that
అవుట్	fuera	out
అవుతాయి	será	will become
అవుతుంది	será	happen
అవుతున్న	siendo	stopping
అవును	si	yes
అవే	lejos	same
అవ్వటం	como el	become
అశోక	ashoka	ashok
అశోకుడు	asoka	ashoka
అశోకుని	ashoka	ashoke
అశోక్	ashok	ashok
అశ్వమేధ	aswamedha	aswamedha
అష్టలక్ష్మీ	astalaksmi	ashta lakshmi
అష్టాంగ	ashtanga	ashtanga
అష్టాదశ	dieciocho	asthadasha
అష్టోత్తర	astottara	eight
అసంతృప్తి	descontento	notsatisfied
అసమ్మతి	desacuerdo	anti group
అసలు	el original	wishes
అసలైన	realmente	original
అసాధారణ	raro	impossible
అసాధారణంగా	extraordinariamente	narmel
అసాధారణమైన	excepcional	immpossible
అసెంబ్లీ	montaje	lower house
అసోసియేషన్	asociación	association
అస్సాం	assam	assam
అహమ్మదాబాదు	ahmedabad	ahmedabad
అహమ్మద్	ahmad	ahmed
అహింస	no violencia	the avoidance of violence
ఆ	los	after
ఆంగ్ల	inglés	english
ఆంగ్లం	inglés	english
ఆంగ్లంలో	inglés	in english
ఆంగ్లము	inglés	english
ఆంగ్లేయుల	inglés	the english
ఆంగ్లేయులు	inglés	britishers
ఆంజనేయ	anjaneya	anjaneya
ఆంజనేయస్వామి	anjaneyasvami	anjaneya swamy
ఆందోళన	preocupación	discomfort, fear of
ఆంధ్ర	ap	andhra
ఆంధ్రజ్యోతి	nosotros hablamos	andhra jyothi
ఆంధ్రప్రదేశ్	ap	andhra pradesh
ఆంధ్రప్రదేశ్‌లో	ap	andhrapradesh
ఆంధ్రా	andhra	andhra
ఆంధ్రుల	andhrula	andhras
ఆంధ్రులకు	ap	for andhras
ఆంధ్రులు	telugus	andhras
ఆకర్షణ	afinidad	attraction
ఆకర్షణలు	atracciones	attractions
ఆకర్షణీయమైన	atractivo	attracted
ఆకర్షించడం	atrayendo	attractive
ఆకర్షించింది	atrapado	attracted
ఆకర్షించే	llamativo	attractive
ఆకలి	apetito	akali
ఆకారం	forma	shape
ఆకారంలో	forma	shape
ఆకారపు	forma	shape
ఆకారాన్ని	forma	shape
ఆకాశ	cielo	sky
ఆకాశం	el cielo	sky
ఆకాశంలో	el cielo	in the sky
ఆకాశవాణి	tv y radio	unknown voice from sky
ఆకు	hoja	leaf
ఆకుపచ్చ	verde	green
ఆకుల	hojas	leaves
ఆకులను	hojas	leaves
ఆకులు	hojas	leafs
ఆకృతి	forma	attraction
ఆక్రమణ	invasión	conquer
ఆక్రమించారు	invadido	taken
ఆక్రమించి	ocupado	acquired
ఆక్రమించింది	ocupado	invasion
ఆక్సైడ్	óxido	oxide
ఆఖరి	el final	last
ఆగష్టు	agosto	august
ఆగస్టు	agosto	august
ఆగుతాయి	detener	will stop
ఆగ్నేయ	sureste	south-east
ఆగ్నేయాన	sureste	south-east
ఆగ్రా	agra	agra
ఆచరణలో	práctica	in use
ఆచరించే	experto	practiced
ఆచార	poco convencional	tradition
ఆచారం	personalizado	culture
ఆచారాలను	aduana	cultures
ఆచారాలు	aduana	religious practices
ఆచార్య	acharya	scholar
ఆజాద్	azad	aazad
ఆట	juego	game
ఆటంకం	impedancia	objection
ఆటంకాలు	disturbios	blockades
ఆటగాడు	jugador	player
ఆటగాళ్ళు	jugadores	players
ఆటను	los	game
ఆటల	deportes	games
ఆటలలో	juegos	games
ఆటలు	juegos	games
ఆటలో	en el juego	in this game
ఆటో	auto	auto
ఆడ	hembras	female
ఆడపులి	tigresa	female tiger
ఆడపులులు	hembras	female tigers
ఆడవారు	lesbianas	ladies
ఆడిన	ha jugado	dance
ఆడియో	audio	audio
ఆడే	golf	play
ఆతని	su	his
ఆతి	adi	more
ఆతిథ్యం	anfitrión	salutation
ఆతిధ్య	hospitalidad	is a file in computer system
ఆత్మకథ	biografía	autobiography
ఆత్మకూరు	atmakur	athmakuru
ఆత్మను	espíritu	sole
ఆత్మహత్య	suicidio	suicide
ఆత్రేయ	atreya	athreya
ఆదమ్	adán	adam
ఆదరణ	recepción	respect
ఆదరించారు	recibido	respected
ఆదర్శ	ideal	aadarsh
ఆదాము	adán	soil men
ఆదాయ	ingresos	income
ఆదాయం	ingresos	income
ఆదాయంలో	ingresos	income
ఆది	dom	original, first
ఆదికవి	adikavi	aadi kavi (title the poet nannayya)
ఆదిత్య	aditya	aditya
ఆదిమ	aborigen	first
ఆదిలాబాదు	adilabad	adilabad
ఆదిల్‌షా	adilsa	adilsha
ఆదివారం	domingo	sunday
ఆదుర్తి	consternación	adurthi
ఆదేశాల	comandos	orders
ఆదేశాలను	comandos	orders
ఆదేశాలు	direcciones	adheshalu
ఆదేశించాడు	ordenado	ordered
ఆద్యుడు	fundador	main
ఆధార	recurso	used
ఆధారం	evidencia	proof
ఆధారంగా	basado en el	depending
ఆధారంగానే	sobre la base de	depending on
ఆధారపడి	dependiendo de	dependent
ఆధారపడిన	basado en el	depending on
ఆధారముగా	basado en el	based on
ఆధారాల	cartas credenciales	proofs
ఆధారాలు	evidencia	proofs
ఆధారాలున్నాయి	caso	proofs are there
ఆధారిత	motorizado	based on
ఆధిక్యత	mayoria	higher
ఆధిపత్యం	dominado	domination
ఆధిపత్యము	poder	authority
ఆధీనంలో	posesión	in control of
ఆధీనములో	dominio	in their custody
ఆధునిక	moderno	new
ఆధ్యాత్మ	espiritualidad	spiritual
ఆధ్యాత్మిక	espiritual	spiritual
ఆధ్యాత్మికత	espiritualidad	spiritual
ఆధ్వర్యంలో	bajo la	in the leadership
ఆనందం	felicidad	exhilaration
ఆనంద్	anand	anand
ఆనకట్ట	represa	bridge
ఆనవాయితీ	es costumbre	accustom
ఆనాటి	luego	earlier
ఆనాడు	luego	then
ఆనుకొని	adyacente	without knowing
ఆన్	en	on
ఆన్లైన్	en línea	online
ఆపరేటింగు	operando	operating
ఆపరేటింగ్	operando	operating
ఆపరేషన్	operación	operation
ఆపిల్	manzana	apple
ఆపై	y	after that
ఆప్	aap	of
ఆఫీసు	oficina	office
ఆఫీస్	oficina	office
ఆఫ్ఘనిస్తాన్	afganistán	afghanistan
ఆఫ్ఘనిస్తాన్‌	afganistán	afghanistan
ఆఫ్ఘనిస్తాన్‌లో	afganistán	in afghanisthan
ఆఫ్ఘన్	afgano	afghan
ఆఫ్రికన్	africano	african
ఆఫ్రికా	áfrica	africa
ఆఫ్రికాలో	áfrica	in africa
ఆభరణాలు	joyería	jewellery
ఆమె	ella	she
ఆమెకు	ella	to her
ఆమెను	su	her
ఆమోదం	aprobación	granted
ఆమ్ల	ácido	acids
ఆమ్లం	ácido	acid
ఆమ్లజని	oxígeno	oxygen
ఆమ్లాలు	ácidos	acids
ఆయకట్టు	cuenca	dam
ఆయత్	co	aayat
ఆయన	su	he
ఆయనకు	su	he
ఆయనతో	con él	with him
ఆయనను	él	him
ఆయనే	él es el	that person
ఆయన్ని	él	him
ఆయన్ను	él	him
ఆయా	niñera	within those
ఆయిల్	petróleo	oil
ఆయుధ	arma	weapon
ఆయుధాలను	armas	things
ఆయుధాలు	armas	weapons
ఆయుర్వేద	ayurveda	ayurvedic
ఆయుర్వేదం	ayurveda	ayurveda
ఆయుర్వేదంలో	ayurveda	homeopathy
ఆరంభ	comienzo	initial
ఆరంభం	procedencia	start
ఆరంభంలో	temprano	in the beginning
ఆరంభమైంది	empezado	started
ఆరవ	sexto	sixth
ఆరాధన	adoración	adoration
ఆరాధించే	devoto	worship
ఆరాధిస్తారు	adoración	worship
ఆరు	seis	six
ఆరుద్ర	volador	arudra
ఆరోగ్య	salud	health
ఆరోగ్యం	salud	healthy
ఆరోగ్యానికి	salud	for health
ఆరోజు	ese día	that day
ఆర్ఎన్ఎ	arn	rna
ఆర్కిటిక్	ártico	arctic
ఆర్కిమెడిస్	arquímedes	arkimedes
ఆర్గనైజేషన్	organización	organisation
ఆర్టికల్	artículo	article
ఆర్టిసి	rtc	road transport corporation
ఆర్ట్	arte	arts
ఆర్థిక	económico	economocs
ఆర్థికంగా	económicamente	financially
ఆర్థికశాస్త్రం	ciencias económicas	economics
ఆర్థ్రోపోడా	artrópodo	arthropoda
ఆర్ధిక	financiero	economic
ఆర్ధికంగా	económicamente	financially
ఆర్ధికరంగం	economía	finance
ఆర్ధికవ్యవస్థ	economía	economic system
ఆర్మీ	ejército	army
ఆర్య	aria	aryas
ఆర్యులు	arios	sirs
ఆలంపూర్	alampur	alampur
ఆలయ	el templo	temple
ఆలయం	templo	temple
ఆలయంలో	templo	alayamlo
ఆలయము	templo	temple
ఆలయానికి	templo	for temple
ఆలయాన్ని	templo	temple
ఆలయాలు	templos	alayalu
ఆలస్యం	retrasar	late
ఆలీ	ali	aalee
ఆలోచన	pensamiento	thought
ఆలోచనలు	ideas	thought
ఆలోచనా	pensando	think
ఆల్	todas	all
ఆల్చిప్ప	bivalvo	shell
ఆల్డిహైడు	aldehídos	aldihidu
ఆల్ఫా	alfa	alfa
ఆల్బం	álbum	album
ఆవకాయ	avakaya	pickle
ఆవరణ	soporte	atecology
ఆవరణలో	la premisa	lobby
ఆవరించి	abarcando	occupies
ఆవల	más allá	beside
ఆవాసం	asentamiento	home
ఆవిడ	ella	she
ఆవిధంగా	así,	like that
ఆవిరి	vapor	steam
ఆవిర్భవించింది	nació	has born
ఆవిర్భవించిన	formación	took birth
ఆవిర్భావం	la emergencia	creation
ఆవిష్కరణలు	innovaciones	discovers
ఆవు	vaca	cow
ఆవులు	vacas	cows
ఆశయం	ambición	goal
ఆశ్రమం	asilo	asramam
ఆశ్రమంలో	monasterio	in ashram
ఆశ్రమము	ermita	aashram
ఆశ్వయుజ	asvayuja	ashwayuja month
ఆసక్తి	interesar	interest
ఆసియా	asia	asian
ఆసియాలో	asia	in asia
ఆసుపత్రి	hospital	permission
ఆసుపత్రిలో	hospital	in the hospital
ఆస్కారం	alcance	opportunity
ఆస్ట్రియన్	austriaco	austrian
ఆస్ట్రియా	austria	austria
ఆస్ట్రేలియా	australia	australia
ఆస్తి	propiedad	property
ఆహార	comida	food
ఆహారం	comida	food
ఆహారంగా	alimentar	as food
ఆహారంలో	comida	in the food
ఆహారము	comida	food
ఆహారాన్ని	comida	food
ఆహారాలు	alimentos	foods
ఆహ్వానం	invitación	invitation
ఇ	mi	it is the third ovel letter in telugu language
ఇంక	más	and also
ఇంకనూ	más lejos	and also
ఇంకా	más	some
ఇంకొక	otro	another
ఇంకొన్ని	adicional	few more
ఇంకో	otro	another
ఇంగువ	hing	asafoetida (used in cooking)
ఇంగ్లండు	inglaterra	england
ఇంగ్లాండు	inglaterra	england
ఇంగ్లాండులో	inglaterra	in england
ఇంగ్లాండ్	inglaterra	england
ఇంగ్లీషు	inglés	english
ఇంగ్లీషులో	inglés	english
ఇంగ్లీష్	inglés	english
ఇంచుమించు	casi	almost
ఇంజనీరింగు	ingenieria	engineering
ఇంజనీరింగ్	ingenieria	engineering
ఇంజన్	motor	engine
ఇంజినీరింగ్	ingenieria	injeniearing
ఇంట	casa	house
ఇంటర్	enterrar	inter
ఇంటర్నెట్	internet	internet
ఇంటర్నేషనల్	internacional	international
ఇంటర్మీడియట్	intermedio	intermediate
ఇంటి	casa	house
