$ tỉ	milyar dolar	$ billion
bô	lazımlık	"(term should be ""bôxit"") the mineral bauxite"
bôi	ter	to apply (as in oil)
bông	pamuk	flower
bù	makyaj yapmak	compensate
bùa	muska	talisman
bùn	çamur	mud
bùng	patlama	"(term should be ""bùng nổ"") to break out (v.)"
bú	emmek	to suck
búa	çekiç	a hammer
búi	püskül	tuft
bún	erişte	noodle
búng	vurulması	snap
bút	kalem	pseudonym
băm	esrar	hash
băn	merak	concerned
băng	buz	"(term should be ""băng giá"") freezing (adj.)"
bơ	tereyağı	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	yüzmek	swim
bơm	pompa	pump
bưu	posta	post office
bước	adımlar	a step (n.)
bướm	kelebek	butterfly
bạ	rehber	directory
bạc	gümüş	meager
bạch	beyaz	"(should be ""bạch tuộc"") an octopus"
bại	felç	defeated
bảng	tablo	chart
bảo	güvenlik	protect
bảy	yedi	seventh
bấm	basın	press
bất	gerçek	"(term should be ""bất cứ"") any (adj.)"
bấy	sonra	contemporary
bần	darülaceze	poor
bầu	seçildi	vote
bầy	sürü	servant
bẩm	doğuştan	congenital
bẩn	kirli	the
bẩy	tuzak	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	tuzak	a trap (n.)
bậc	derece	level or class (n.)
bận	meşgul	busy
bật	açık	outstanding
bắc	kuzey	beijing
bắcnam	bacnam	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	ateş	shoot
bắp	mısır	venter
bắt	yakalamak	cross
bằng	eşit	by
bẹp	ezilmiş	crush
bẻ	fren	break
bẽ	aşağılanmış	humiliate
bến	iskelelerde	wharf
bếp	ocak	kitchen
bề	yüzey	"(should be ""bề mặt"") a surface"
bền	kalıcı	enduring (v.)
bể	ulaşılabilir	tank
bệ	kürsü	base
bện	örgülü	braided (adj.)
bệnh	hasta	benh
bỉ	belçika	disgust
bỉnh	binh	binh
bịch	çantalar	ridiculous
bịt	dolgu macunu	cover
bọ	böcek	insect
bọc	sargı	to cover or enclose (v.)
bọn	bize	a group (n.)
bọng	şişkinlik	bladder
bọt	köpük	foam
bỏ	pes etmek	to leave (v.)
bỏng	yanmak	hot
bố	baba	"(term should be ""tuyên bố"") to declare"
bốc	yükleme	bốc lửa= on fire
bối	verilmiş	messy
bốn	dört	four
bồi	tazminat	"(term should be ""cao bồi"") cowboy (n.)"
bổn	sorumluluk	duty
bổng	islık	"with word luong, means ""salary"" or ""wages"""
bỗng	aniden	suddently
bộ	bölüm	part
bộc	yükselme	"(term should be ""bộc lộ"") to reveal (v.)"
bội	çoklu	betray
bột	un	powder or flour (n.)
bớ	toparlamak	arrest
bớt	kesim	less
bờ	kenar	coast
bời	boi	profuse
bở	ufalanır	profitable
bởi	tarafından	because
bục	podyum	platform
bụng	göbek	abdomen
bứt	kalem	"(term should be ""bứt phá"") power (n.)"
bừa	tırmık	messy, careless, or topsy-turvy (adj.)
bữa	ulaşılabilir	meal (n.)
bực	üzgün	bother
ca	ilahi	praise
ca-lo	kalori	a unit of measurement
cabo	cabo	cabo
cacbon	karbon	carbon
cacbonat	karbonat	carbonate
cacbua	karbürler	carbides, carbon ions
caesar	sezar	caesar
caffein	kafein	caffeine
café	kafe	coffee
cai	çekme	govern
cairo	kahire	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	hesap	calculus
calvin	kalvin	calvin
cam	portakal	commit
cambodia	kamboçya	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	minyatür	cameo part
cameron	cameron	cameron
cameroon	cameroon	cameroon
camille	camille	camille
campbell	campbell	campbell
campuchia	campuchia	campuchia
canada	kanada	canada
canadian	kanadalı	canadian
canal	kanal	canal
canary	kanarya	canary
cancer	kanser	cancer
canterbury	canterbury	canterbury
canxi	kalsiyum	calcium
capello	capello	capello
capra	capra	capra
carat	kırat	carat
carbine	karabina	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	carey	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	karayip	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	carnaval	carnaval
carol	ilahi	carol
caroline	caroline	(proper noun) caroline
carpathia	karpatlar	carpathia
carter	arabacı	carter
carxtơ	karst	karst topography, a geological term (n.)
casa	casa	casa
casablanca	casablanca	casablanca
caspia	hazar	caspia
cassini	cassini	cassini
cast	dökme	cast
castries	castries	castries
castro	castro	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	okutman	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cdrom	cd-rom
cell	hücre	cell
celtic	kelt	centic
cena	aralığı	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	baba	father
chai	şişe	bottle
chaillot	chaillot	a name
chamberlain	kâhya	chamberlain
champa	champa	champa
champion	şampiyon	champion
chamẹ	chame	parents
chanel	chanel	chanel
chanh	limon	lemon or lime (n.)
chao	chao	(proper noun) chao, a name
charles	charles	charles
charlotte	charlotte	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	kovalamak	chase
chay	vejetaryen	fasting
chdcnd	kuzey	democratic republic
che	kapak	cover
chechnya	çeçenistan	chechnya
chen	chen	chen
cheo	crucian	"(term should be ""cheo reo"") name of a town"
chi	harcama	"(term should be ""chi tiết"") details (n.)"
chia	bölmek	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	şili	(proper noun) the country of chile
chim	kuş	bird
china	çini	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	rüya	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	kızarmış	fry
chiêng	gong	gong
chiếc		the
chiếm	dolu	appropriate
chiến	kavga	war, fight
chiết	çıkarma	literal
chiếu	mat	show
chiền	tapınaklar	temple
chiều	akşam	length
chlamydia	klamidya	chlamydia
chloride	klorid	chloroauric acid
chnd	pdr	chnd
choi	choi	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	trinidad bayrağı	(proper noun) choson
choàng	kül	coat
choáng	şok	dizzy
chris	chris	chris, as in chris hughes
christ	i̇sa	christ
christian	hristiyan	christian
christopher	christopher	christopher
chrome	krom	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	devir	cycle
chua	ekşi	tomato
chuck	atmak	(proper noun) chuck, as in chuck norris
chui	chui	underground
chum	arkadaş	pot
chun	chun	chun
chung	ortak	general
churchill	churchill	churchill
chuyên	ihtisas	professional
chuyến	gezi	trip
chuyền	voleybol	volleyball
chuyển	ileri	to move
chuyện	mesele	nói chuyện= talk
chuôi	yakınma	handle
chuông	çan	a bell
chuẩn	standart	standard
chuốc	isteme	incur
chuối	muz	banana
chuốt	broş	refine
chuồng	kafes	cage
chuỗi	zincir	series
chuộc	atone	redeem
chuộng	popüler	favorite
chuột	fare	a mouse (n.)
chà	ovmak	rub
chài	balık tutma	fish
chàm	çivit	indigo
chàng	adam	"(term should be ""chàng trai"") a young man (n.)"
chào	selam	welcome
chày	beysbol	a pestle (n.)
chánh	baş	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	hapsedilme	porridge
cháu	torunlar	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	yangın	fire
châm	iğne	motto
chân	bacak	a leg
châu	kıta	continental
chè	çay	tea
chèn	insert	insert
chém	kesim	to chop
chén	fincan	bowl
chéo	çapraz	cross
chép	kopya	written
chê	lanet	decry
chênh	fark	difference
chì	kurşun	graphite
chìa	anahtar	"(term should be ""chìa khoá"") a key (n.)"
chìm	denizaltı	to become submerged or sink (v.)
chình	yılanbalığı	eel
chí	bültenleri	especially
chích	iğne	shoot
chín	dokuz	ripe
chính	birincil	main
chít	para makbuzu	dense
chò	cho	a type of plant, typically of the parashorea genus (n.)
chòi	kabin	hut
chòm	takımyıldız	constellation
chó	köpek	dog
chóc	çikolata	killing (giet choc)
chói	canlı	bright
chóng	hızla	"entire term should be ""chong mat""; means ""dizzy"""
chóp	üst	the top (n.)
chôm	chom	rambutan
chôn	gömmek	bury
chông	koca	thorn
chùa	tapınak	pagoda
chùy	panicles	mace
chú	dayı	uncle (n.)
chúa	tanrı	god
chúc	dilemek	will
chúi	dalış	drop
chúng	onlar	they
chút	biraz	little
chăm	kendine iyi bak	champa
chămpa	champa	champa
chăng	satın alınabilir	would it
chĩa	sivri	point
chơi	oyun	play
chơn	chon	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	vasal	lower authorities
chưa	henüz değil	not yet
chưng	damıtma	steamed
chương	gösteri	medal
chướng	engel kursu	grating
chạ	karışıklık	father
chạm	dokunmatik	touch
chạng	chang	twilight
chạp	halsiz	slow
chạy	koşmak	to run (v.)
chả	rulo	no
chảo	tava	pan
chảy	erime	bleeding
chấm	nokta	end
chấp	kabul	"(term should be ""chấp nhận"") to accept (v.)"
chất	mesele	quality
chấu	pim	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	beyazlatılmış	slice
chẩn	tanı	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	yavaş	slow
chận	bloke edilmiş	block
chật	sıkı	overcrowded
chậu	kap	pelvic
chắc	emin	certainly
chằng	kirpikler	ligament
chẵn	parite	even
chặn	engelleme	prevent
chặng	bacak	journey
chặt	pirzola	close
chẻ	ayrık	strick
chẽ	yakın	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	işleme	produce
chếch	çevirmek	oblique
chết	ölü	to die (v.)
chệch	deviate	deviant
chỉ	gösteri	just (adv.)
chỉnh	düzeltme	adjust
chịt	titreşimli	chằn chịt= complex/tangle
chịu	ayı	tolerate
chọc	alay	to poke
chọi	kavga	oppose
chọn	seçmek	to choose
chỏ	dirsek	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	an	single
chối	reddetmek	refuse
chốn	yer	place
chống	kavga	anti-
chốt	mandal	important
chồi	sürgünler	"(term should be ""đâm chồi"") budding"
chồn	tilki	anxious
chồng	koca	husband
chỗ	koltuk	where
chội	nefis	cramped
chớ	yapma	not
chớp	aydınlatma	flashing (adj.)
chờ	bekliyoruz	to wait
chở	taşıma	for
chợ	pazar	market
chợt	aniden	suddenly
chục	düzine	dozen
chụp	çekim	capture
chủ	ana	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	gerginlik	strain
chứ	daha doğrusu	just or only (adv.)
chứa	içermek	contain
chức	yetkililer	function
chừ	zift	hesitate
chừa	bırakın	leave
chừng	bazı	about or roughly (adv.)
chử	chu	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	gebelik	pregnant
chửi	sözlü olarak	curse
chữ	sözcük	a letter of the alphabet (n.)
chữa	kür	to cure or treat (v.)
chững	tesviye	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	külkedisi	cinderrella
cip	cip	cip
circus	sirk	circus
cities	şehirler	cities
clara	clara	clara
clark	clark	clark
claude	claude	(proper noun) claude
claudius	cladius	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	klip	clip
clips	klip	clips
clo	klor	chlorine
clow	clow	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	kapitalizm	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	ko	spasm
coburn	coburn	coburn
cocoa	kakao	cocoa
coen	coen	coen
coffea	coffea	coffee
cohen	cohen	cohen
coi	düşünülmüş	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	e. coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	colleen	colleen
college	kolej	college
collins	collins	(proper noun) collins
collège	collège	college (n.)
colombia	kolombiya	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	columbus	columbus
comic	komik	comic
common	ortak	common
concacaf	concacaf	concacaf
concerto	konçertoları	concerto
concorde	concorde	concorde
condom	prezervatif	condom
cong	kavisli	curved or bent
congo	kongo	congo
congress	kongre	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	koruma	conservation
constantine	konstantin	constantine
contemporary	çağdaş	contemporary
cooper	şarapçı	(proper noun) cooper
copenhagen	kopenhag	copenhagen
copernic	kopernik	corpernic
copperfield	copperfield	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	kopya	copy
cordyceps	cordyceps	cordyceps
core	çekirdek	core
cornell	cornell	cornell
cosin	kosinüs	cosine
costa	kosta	costa
cotang	kotanjant	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	çılgın	crazy
crespo	crespo	(proper noun) crespo
crest	ibik	crest
crew	mürettebat	crew
crimson	kıpkırmızı	crimson
crisis	kriz	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	hırvatistan	croatia
cross	çapraz	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	kristaller	crystal
ctc	ctc	ctc
cua	yengeç	crab (n.)
cullen	cullen	a name
cung	besleme	circle
cunningham	cunningham	cunningham; proper name
cup	fincan	cup
cuả	arasında	of, from, belonging to
cuốc	almak	hoe
cuối	nihai	last or final (adj.)
cuốn	rulo	book
cuống	çiçek sapı	throat
cuồng	coşkulu	crazy (adj.)
cuộc		the
cyanide	siyanür	cyanide
cyber	siber	cyber
cyril	cyril	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	cyworld	cyword
cà	kahve	ca
cài	kurmak	install
càn	baskın	raid
càng	daha fazlası	cang
cành	başak	branch
cào	pençe	scratch
cày	çiftçilik	plow
các		all (adv.)
cách	yol	the
cái		"(term should be ""con cái"") children (n.)"
cán	yuvarlanan	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	kanat	wing
cáo	tilki	report
cáopx|bình	ortalama |	not a word
cáp	kablo	cable (n.)
cáy	kemancı	fiddler
câm	dilsiz	mute (adj.)
cân	terazi	weight
câu	v	saying
cãi	tartışmak	argue
cò	leylek	stork
còn	yine	to have left (v.)
có	var	have
cói	seagrass	machine
cót	bamboomat	cot
cô	teyze	girl
côi	babasız	orphaned
côn	böcek	a stick (n.)
công		worker
côngtenơ	konteyner	container
cõi	realms	entire area
cõng	omzunda	piggyback
cù	çalışkanlık	cu
cùi	cüzamlı	leprosy
cùng	ve	together
cú	atış	old
cúi	pruva	to bow (v.)
cúm	grip	cum
cúng	teklifleri	worship
cúp	fincan	cup (n.)
cút	dışarı çık	to kick someone out (v.)
căm	takılı	detest (cam thu)
căn	daireler	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	gergin	tense
cũ	eski	old
cũi	beşik	kennel
cũng	ayrıca	also
cơm	pirinç	rice
cư	yerleşim	resident
cưa	bıçkı	saw
cưng	sevgilim	also
cước	ücretleri	megaman
cưới	düğün	marry
cướp	soymak	to rob (v.)
cười	kahkaha	smile
cường	yoğunluk	strengthen
cưỡi	binme	ride
cưỡng	zorunlu	force some body to do some thing. cưỡng dâm=rape
cạc	kart	card (n.)
cạn	kuru	shallow
cạnh	kenar	"(term should be ""khía cạnh"") an angle"
cạo	sökülür	shave
cạp	tozluklar	scorpion
cả	her ikisi	both
cải	iyileştirmeler	reform
cảm	soğuk	pleasure
cản	açıklık	prevent
cảng	bağlantı noktaları	port
cảnh	sahne	situation
cảo	çektirmenin	posthumous
cấm	yasak	ban
cấn	kalp	dramatic
cấp	sınıf	level or rank (n.)
cất	inşa	"(term should be ""cất giữ"") to keep safe or store"
cầm	bekletme	to hold (v.)
cần	gerekli	need
cầu	köprü	request
cầy	misk kedisi	farmed
cẩn	dikkatli ol	carefully
cẩu	vinç	"(term should be ""hải cẩu"") a seal (n.)"
cận	giriş	close
cập	güncelleştirme	mention
cậu	onun	a young man (n.)
