aajo	konyol	hospitality
different	berbeda	iyato
din	menggoreng	reduced
dinwoju	menengadah	suitable
divoire	divoire	d'ivoire
doju	tatap muka	face
dojú	tatap muka	turn face (full phrase is doju ko, to face)
dominic	dominikus	dominic
doni	doni	this day
dote	sangat menyayangi	rebel
doublehelix	doublehelix	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	dover	dova
du	du	hustle
due	disebabkan oleh	nitori
dun	lezat	sound
dàbíi	seperti ini	like
dàpò	gantikan mereka	mix
dá	dibuat	intervene
dágbó	usia tua	forest
dájó	baik	pass judgement
dálóríi	terima kasih	about
dáradára	baik	well
dásà	sebuah casa	peculiar way of saying
dáwó	menyumbangkan	undertake
dé	tiba	reach
délànà	pada prinsipnya	delana
dépò	sejauh ini	to a position
dì	lembar	be
dìde	timbul	stand
dìró	di kanan	hang on
dìtẹ̀	bersekongkol	rebel
díè	tegang	few
dóko	baik	upstanding
dólà	baik	dollar
dún	suara	sound
dúró	berdiri	stand (been in existence)
dọ́gba	sama	equal
ea	iya	ea
eba	eba	shore
ebi	keluarga	family
ecomog	ecomog	ecomog
ede	bahasa	language
efrem	efem	efrem
egba	benar	cane
egbe	senjata	group
egberundun	seribu tahun	a thousand year
egbo	sebuah luka	brother
egbé	duka	party
egbò	sebuah luka	chemicals
egbògi	medis	don't know this
eighteen	delapan belas	ejidinlogun
eka	kompleks	branch, department, part
ekeji	yang lain	second
eko	pendidikan	lagos
elede	babi	speaker
eleyi	ini	this
eleyii	seperti ini	this
elláda	penciptaan	ellada
eléde	abstrak	pig
eléré	atlet	performer
elòmírà	rumput laut	freedom
elòmíràn	lain	another person
emerging	muncul	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	semua orang	whoever
enter	memasukkan	wole
enì	gajah	person
eníbá	demam	such person
epa	kacang	groundnut
ernst	pertama	ernst
erofo	endapan	swamp
erékùsù	pulau	island
eréonítàn	akronim	written play
eseese	diagram	step by step
esia	datang	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	pantai	beach
euro	euro	euro
euroasia	euroasia	uro-esia
ewe	daun	ewe
ewé	daun	leaf
ewì	puisi	traditional poem
example	contoh	apere
eya	kategori	tribe
eyin	telur	previous
eyonomba	eyonomba	digit
eléja	penangkapan ikan	fisherman
elòmíràn	orang lain	another person
eka	efek	branches
eléyàmèyà	etnisitas	tribalism
enu	mulut	mouth
esin	agama	horse
esè	hasil	leg
ewà	perilaku	beauty
fagile	dibatalkan	cancel
fail	gagal	padanu
fan	kipas	spread
faramó	melekat	accept
faranse	perancis	french
farsi	arti	farsi
felifeli	beludru	fuming
ferde	ferde	verde
fesèmúlè	sumber sementara	established
fe	ingin	want
fi	menyimpan	by
fifihan	menunjukkan	revealed
fihan	ditunjukkan	shows, to show
fimú	didefinisikan dengan tajam	captivate with
finiki	fisika	finiki
finlandi	finlandia	finland
fitino	percobaan	judgement
five	lima	marun
fodio	fodio	fodio
fofinde	melarang	prohibited
fohùn	berteriak	consent
foniimu	film	phoneme
force	memaksa	agbara
foriko	sebagai contoh	agreed
fourbase	fourbase	onidi-merin
fowobowe	pemesanan	signed
fowó	untuk uang	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	perancis	france
freetown	freetown	freetown
fuji	menghapus	fuji
fulani	pengecut	fulani
fulbe	ful	fulbe
fun	untuk	for
funra	diri	suspect
further	lebih lanjut	si
fé	untuk	like
fé	fé	want
fégbé	lupakan	for peers
fífò	penerbangan	jumping
fífún	memberi	giving
fòye	memahami	rationalise
fẹ́rẹ̀ẹ́	hampir	nearly
galatia	kali ini	galatia
gba	setuju	accept
gbajúgbujà	sangat populer	popular
gbale	kepopuleran	flourished
gbaná	memancar	engulf in flame/rage
gbe	membawa	set up
gbera	berpindah	move
gberasoke	mempercepat	rising
gbese	hutang	debt
gbigbamulo	eksploitasi	adopted
gbigbewo	pembiayaan	examined
gbilè	keluar	gaining ground
gbin	tertanam	farm
gbogbogbo	umum	general
gbongbo	akar	root
gbàgbọ́	percaya	believe
gbàgùrà	mengguncang	gbagura
gbá	menghancurkan	received
gbáradì	bangun	prepare
gbé	hidup	convey
gbédìí	mendirikan	respect
gbékalè	tukang kayu	establish
gbéni	hidup	lift
gbéyèwò	ulasan	examine
gbésè	menawarkan	die
gbìnyànjú	mencoba	endeavour
gbìyànju	berusaha keras	try
gbódò	harus	must
gbónmisi	hukum	strife
gbúnùn	cium itu	hostile
gbọ́dọ̀	harus	must
geesi	inggris	english
geneva	geneva	geneva
genevieve	genvieve	genevieve
georgia	georgia	georgia
german	jerman	german
gfaj	gfaj	gfaj
ghana	ghana	ghana
gidigidi	sangat	significantly
gidí	rumah	real
goemai	goemai	goemai
gomina	gubernur	governor
gorgina	elang	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	yunani	greek
groove	alur	iho
guanínì	guanni	guanine
guinea	guinea	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	panjang	stretch
gunle	senjata	arrive
guusu	selatan	south
gv	gv	gv
gèésì	lem	english
gèésì	permata	english
gégé	betulkah	like
gírámà	kakek	grammar
gòkè	naik	climb
gún	menusuk	properly
gúúsù	selatan	south
gẹ̀ẹ́sì	inggris	english
habsburg	habsburg	habsburg
haggai	panduan	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	keras	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	permen	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	sepakat	hesse
him	dia	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	hp	hp
hugh	hugh	hugh
hun	hun	knit
hungari	kelaparan	hungary
hv	hv	hv
ibalo	perselingkuhan	relationship
ibarepo	asosiasi	friendship
ibeji	kembar	twins
ibewo	telah datang	visit
ibiamusin	suaka	colony
ibile	tradisional	municipality
ibimo	kelahiran	birth
ibise	bekerja	official
ibiti	tempat	where
ibn	ibn	ibn
ibojì	makam	burial ground
ibori	kerudung	conquest
ibujoko	bangku	place of abode
ibuseripadabosi	pengembalian	eternity
ibuso	untuk bertarung	bus stop
ibùdó	kamp	settlement, seat of, area,
ibùjókòó	tempat duduk	settlement
iceland	islandia	iceland
idagbasoke	pengembangan	development
idagbe	mengabaikan	isolation
idaji	setengah	half
idajo	keadilan	judgement
idamita	seri	sector
idari	kontrol	control
ideraa	untuk menulis	comfort
idimule	menangkap	establishment
idoma	gambar	idoma
idupe	terima kasih	thanksgiving
idánwò	percobaan	examination
ifija	penangkapan ikan	weapon
ifilole	meluncurkan	resolution
ifitonileti	informasi	reporting
ifobaje	korupsi	coronating
ifofinde	kongres	prohibition
ifriqiya	stimulasi	ifriqiya
igbeduro	persiapan	institute
igbegun	kemenangan	declaration of war
igberiko	pinggiran kota	region
igbesoke	meningkatkan	upliftment
igbeyawo	pernikahan	marriage
igbowolori	mahal	inflation
igbá	ayam	shell
igbáẹ̀yìn	yang terakhir	shell
igitòròmogbè	broadband	willow tree
ihan	muncul	ray
ihinrere	injil	gospel
ijagun	pertarungan	war
ijakadi	perjuangan	wrestling
ijaya	panik	fear
ije	gerakan	eating
ijinnasi	fisika	the wind open
ijosin	menyembah	worship
ijó	tarian	dance
ikan	satu	one of
ikandinlogun	delapan belas	nineteen
ikaowo	menghormati	finger
ikejidinlogun	delapan belas	eighteen
ikeko	kompilasi	education
ikerin	yang keempat	fourth
iketa	mewarisi	third
ikoenu	untuk menyimpan	union
ikojopo	akumulasi	collection
ikoreokere	panen	migration
iku	kematian	death
ikúgbaèyí	sekarang	death-has-this
ikún	isi	squirrel or wild rodent
ilagbolojo	publisitas	latitude
ilana	prosedur	procedure
ilanaoye	strategi	knowledge procedure
ilaodo	melindungi	cana
ilaorun	matahari terbit	west
ileasofin	legislatif	house of law,
ilegiga	rumah	higher ground or higher plain
ileife	mengabaikan	ile-ife
ileigbimo	persetujuan	house of assembly/congress
ileobaluaye	dunia	high chief
ileru	perapian	volcanic
ilopo	dua kali lipat	times
iluoba	kewarganegaraan	king's town
iluorilejoba	globalisasi	capital city
ilé	rumah	house
iléayé	rumah	earth
iléisé	rumah	workplace
ilélódò	rumah	ile-lodo
iléàtèéré	rumah	ile-ateere
iléńlá	halaman	ile-nla (area)
ilẹ	tanah	land
ilẹ̀ayé	bumi	the world
iminle	menangkap	earthquake
imoero	keringanan	engineering
imojuto	peduli	protection
imusin	seri	colony
imú	hidung	nose
imúnisìn	kebersihan	slavery
inagberingberi	selai kacang	electromagnetic force
indeed	memang	paapa julo
indus	indus	indus
inkosi	untuk membenarkan	inkosi
integration	integrasi	ifowosowopo
inágbéringbérin	tujuh belas	electromagnet
iní	warisan	possession
inúnibíni	penganiayaan	hatred
ioja	ikan	fight
ioniani	miskin	ionian
iowa	di dunia	iowa
ipare	luntur	abolition
ipawo	menggunakan	income
ipele	tingkat	stage
ipin	bab	share
ipinpa	partisipasi	arm of, branch of
ipinu	keputusan	determination
ipo	lokasi	position
ipá	memaksa	effort
iraja	mengejutkan	bargaining
iranlose	pendampingan	mission
ire	penjualan	you
irele	kerendahan hati	irele
iringa	bungkus	iringa
irisi	penampilan	appearance
irorun	sangat sederhana	convenient
irò	isu	iro
irúnmọlẹ̀	petir	apparition
isa	cukup	jesus, isa or yisa is hausa language
isare	percepatan	track race
isedaniloro	keraguan diri	terrorism
iseero	menonton	engineering
isejoba	pemerintahan	governance
iseoba	limabelas	civil service
iseoroayeijoun	arkeologi	archaeology
iseowo	bisnis	business
isepinpin	distribusi	division
iso	datang	unit
isoponomba	isoponomba	addition of numbers
isun	mengalir	spring
isesi	menyerah	conduct
isè	layanan	occupation
itali	italia	italy
itanakole	cerita	ancient
itelentele	terus terang	coming after
itiraka	perjuangan	effort
itobi	untuk menyombongkan diri	size
itokowo	bisnis	economy
itorawo	pembebasan	astrology
itu	untuk melempar	solution
itumo	berarti	meaning
iwadi	penelitian	research
iwasi	mengesankan	behaviour
iwifun	informasi	report
iwoile	rumah	entering
iwosan	penyembuhan	healing
iwulo	berguna	use
iwuwa	praktek	behaviour
iyan	kelaparan	argument
iyato	perbedaan	difference
iyawo	pengantin	wife
iyen	itu adalah	that
iyán	berkilau	pounded yam
iḷẹ̀	kerja	land
iṣẹ́ìwádìí	penelitian	research
jabo	melaporkan	give account
jackson	jackson	jackson
jadide	tahan	emerge
jagbe	enyah	shout
jalè	pencurian	steal
jamaica	youtube	jamaica
jamo	pergi	link
jawaharlal	ayunan	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	geometri	geometry
jesu	yesus	jesus
jfk	jfk	jfk
jije	makhluk	existing as
jijinna	jauh	distance
jiròrò	berkabut	dialogue
jo	kebocoran	days
jogun	mewarisi	inherit
johann	neraka	johann
johanu	maaf	john
jojo	retak	great extent
jopò	bergabunglah	gathered
jo	john	resemble
juneau	juneau	juneau
jàgídíjàgan	kasar	violent
jáde	keluar	out
jé	datang	is
jéésù	yesus	jesus
jìnnàa	jauh	further
jíje	makhluk	eating
jíjuwó	membuat uang	waving hands
jíjéomoléyìnkírísítì	sebagai seorang dermawan	followers of christ
jùlo	lebih dari	most
jùlo	terutama	most
jùló	yang paling	most
jẹ́mánì	jerman	germany
jọ́	silahkan	together
kadara	aset	destiny
kagera	sombong	kagera
kakiri	jejak	all over
kalinga	cinga	kalinga
kalẹ	menyisihkan	established
kampala	gesper	kampala
kan	sebuah	one
kankan	tidak ada	any
kanlè	kanal	established
karbonumarun	centricane	5 carbon
karl	karl	karl
karun	kelima	fifth
karùún	kelima	fifth
kebbi	disesuaikan	kebbi
kekere	kecil	lower
keko	terpelajar	learn
kept	disimpan	fi pamo
khoisan	inferior	khoisan
ki	begitu juga	not
kiakiajulo	tercepat	rapidly
kiko	membawa	gathering
kikojo	kompilasi	gathering
kikopomo	kehangatan	mixed
kikoso	cepat	colonised
kiko	belajar	making
kikuninu	membayangkan	size
kilhar	ketiak	kilhar
kinkinni	hal kecil	small quantity
ko	atau	don't
kodò	di bawah	bow
koidu	koidu	koidu
kojá	menyeberang	pass
kolo	kolo	going
komputa	komputer	computer
kong	kong	kong
kongo	kondom	congo
kookan	ini	one
koto	umpan	pit
koko	belajar	make heap
ko	ko	learn
kori	tidak lagi	not found
krio	krio	krio
ku	kamu	remain
kwara	ditangani	kwara
kàríbẹ́ánì	di wilayah tersebut	carribean
kàyéfì	bertanya-tanya	amazement
ká	dari	we
kánfinkése	kecerdikan	prolonged
kánádà	tentu saja	canada
káyé	dunia	world
kéesì	konyol	keesi
kékéèké	kecil	small
kétu	dipersiapkan	ketu
kémíkà	sebaliknya	chemical
kéyìn	kemudian	come after,
kìnní	pertama	first
kí	menyambut	not
kíko	sedang belajar	written
kíkọ́	untuk mempelajari	learning
kínu	ciuman	greet
kírísìtì	hari natal	christ
kòjòkú	hujan	kojoku
kòkó	si tikus	cocoa
kòmpútà	komputer	computer
kòtò	sebuah lubang	pit
kòòsí	bukan itu	coaching
kòòkan	setiap	each
kógo	kemuliaan	glorious
kóra	mengumpulkan	participate
kùkú	lagipula	eventually
kùrání	alquran	quran
kúkú	lagipula	now
kúkúrú	pendeknya	short
kúrò	jauh	away
kútò	segala sesuatu	kuto (place)
kúùkù	di sisi lain	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	yang keempat	4
kẹsàán	segera	ninth
kẹta	ketiga	third
kẹ́nyà	pemisahan	kenya
kọjá	lulus	pass through
kọ̀mpútà	komputer	computer
kọ́kọ́	pertama	first
kọ́lọ́mú	kolom	breast owner
kọ́ni	kurangnya	teach
laa	pergi	will
laada	tendangan	good fortune
laaka	balik	important
laarin	dalam	between
labalaba	kupu-kupu	butterfly
labee	di bawah	under
lade	memuatkan	crowned
laid	diletakkan	tele
laifi	kesalahan	without
languages	bahasa	ede
lanka	lanka	lanka
lasile	melepaskan	laid out
latibe	dari sana	from there
latigbana	dari dulu	from then on
latini	latin	latin
latvia	latvia	latvia
lay	awam	da
le	bisa	can
leboa	lebo	leboa
lekun	diintensifkan	open door
leo	leo	leo
lese	pos	firmly
less	kurang	okeresi
lewaju	maju	front
lewon	hukuman penjara	imprisonment
leyi	ini dia	mispelled...should be 'leyin', after
leè	mungkin	can
lilelile	hardcore	tightly
lilemo	ganja	sticky
lilongwe	lilongwe	lilongwe
lindi	larutan alkali	lindi
linear	linier	dogba
links	tautan	eka; this is a new word and does not really exist in yoruba
lodo	terjadi	from
lojowaju	di masa depan	the future
lojukokoro	serakah	covetousness
lojúgun	dia hancur	knee
lokunkun	energik	in the dark
loloselu	secara politis	in politics
lopolopo	banyak	so many
loruko	nama	name
louvre	louvre	louvre
lovers	kekasih	awon olufe
low	rendah	diye
lo	lanjutkan	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	sama	more important
lààmi	tanda	sign
lààmì	tanda-tanda	significant
lábé	bobot	under
láfún	diberikan	cassava food
láimo	tanpa	unknown
láké	keras	in ake
lámọ́di	kekayaan	lamodi
lápá	bagian	from
lára	menyakiti	part of
lárúbáwá	alami	arabic
láì	tanpa	without
láíláí	tidak pernah	old
lèe	bisa	can
lèyìn	setelah itu	after
lédè	dalam bahasa	language
léebá	secara kebetulan	catch up with it
lérìnín	salju	erin=laughter; the prefix 'l' is possesive
lérò	alasan	thought
léyin	setelah itu	after
léyìn	kemudian	after
lérú	perbudakan	enslave
lílo	eksploitasi	using
lísa	percepatan	a chieftaincy title
lítésò	pedas	literature
lóde	di luar	modern
lópez	nipez	lopez
lópó	janda	widow
lórì	pelabuhan	on the head
lóríba	lebih	subdue
lóti	lot	have
lóòótò	iya	truly
lóòótọ́	memang	truly
ló	ló	to
lónà	dalam perjalanan	in a way
lórò	besok	become wealthy
lọndọnu	london	london
lọ́dọọdún	setiap tahun	yearly
lọ́jà	di pasar	in the market
maapu	peta	map
madeira	beira	madeira
mahatma	mahatma	mahatma
makedonia	makedonia	macedonia
malabo	madu	malabo
malay	diasumsikan	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	malaysia	malaysia
mali	hari	mali
mango	mangga	mango
manˈdeːla	manˈdelala	mandela
marcellus	marcellus	marcellus
march	maret	march
marku	kali ini	mark
mars	mars	mars
maryland	maryland	maryland
maseru	kecemburuan	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	matematis	mathematics
max	maks	max
maya	tidak	maya
mbabane	negatif	mbabane
means	cara	ona (way)
mediteraneani	mediterania	mediterranean
mefeefa	pemeriksaan	all six
mejidinlogbon	dua puluh delapan	twenty eight
mejila	duabelas	twelve
meksiko	meksiko	mexico
melo	berapa banyak	some
member	anggota	ara
mercosur	mercosur	mercosur
merin	empat	four
methodologies	metodologi	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	meksiko	mexico
michelle	michelle	michelle
micronesia	mikronesia	micronesia
miiràn	meredakan	another
mimoy	mimoy	mimoy
mimuwa	menempel	import
minnesota	minnesota	minnesota
minority	minoritas	awon ara kekere
mohandas	mohanda	mohandas
mokaleladota	padat	51, (mokanleladota)
mokanlelogbon	tiga puluh dua	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	motor	morogoro
mozambique	mozambik	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	pilih lagi	mtwara
mughal	volume	mughal
mulẹ̀	mendirikan	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	tidak masalah	testament
mère	gambar	significant
méjèèjì	kedua	the two
mérindíláàdóta	lima puluh lima	forty-six
méte	lima	lip
mérìndínlógún	enambelas	sixteen
mérìnlélógójì	empat puluh empat	44
méta	tiga	three
métèètà	tukang kayu	the three
méwàá	sepuluh	ten
ménu	menurut mu	verbally contribute; complete phrase= me nu ba
mímọ́	suci	holy
míràn	lain	other
míìrán	lain	other
mííràn	lain	other
mò	pengetahuan	know
mókólà	lem	mokola
móra	menyembuhkan	with themselves
mó	m	with
múlẹ̀	pegang cepat	select land (farmland)
mẹ́fà	enam	6
mẹ́rkúríù	si tikus	mercury
mẹ́ta	tiga	3
mẹ́talọ́kan	trinitas	trinity
namibia	datang	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	membingungkan	highest-spending
nawó	dapatkan uangmu	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nephim	nefimu
neptune	neptune	neptune
nevis	nevis	nevis
ngbero	berencana	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	sana	there
nibere	dini	earlier
nigbakan	terkadang	at one time
nigbà	kemudian	when
nijẹr	nike	niger
nilè	sini	remaining
nisinyi	sekarang	at present
nitoriidieyi	karena ini	because of this
nitoripe	karena	because
nitosi	dekat	nearby
niwaju	di depan	in front of
niyato	membedakan	unlike
niye	cukup	in number
niyi	ini dia	these
nkan	benda	things
nkàn	kanker	something
nnaji	paman	nnaji
nobel	nobel	nobel
nombamewa	mengalikan	decimal
nombáméjì	dua pertama	two-number
novo	novo	novo
nri	makanan	nri
nse	rancangan	acting
nso	dekat	saying
nsolaboraro	keamanan	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	titik	indicates
nu	bersih	in
nukleotidi	nukleotida	nucleotides
nukleotidipupo	nukleotida	cell
numeri	mati rasa	numbers
nwa	bayi	drill
nàìjíríà	di nigeria	nigeria
náwo	biaya	spend money
náà	terlalu	that
nì	gunung	is
nìnú	maaf	in
nìyí	ini dia	this is
ní	memiliki	on
níbè	sana	there
níbè	sana	there
nífẹ̀ẹ́	mencintai	love
nígbàtí	kapan	when
nílè	di bawah	on the ground
nílùú	di kota	in the town
nílẹ̀	di tanah	in the land
nínlá	bagus	large
nínu	kesempatan	in
níní	memiliki	having
nípà	setidaknya	by
nítorípé	karena	because
nítumò	berarti	meaningful
nítòsí	dekat	nearby
nítòótó	persis	truly
nítòótọ́	memang	in truth, truthfully
níwájú	di depan	in front
