aajo	ridicule	hospitality
amazonas	amazonas	amazonas
americas	amériques	americas
amerika	amérique	america
amojeoyipada	convertible	reform
amosi	mosquée	amos
améríkà	américain	america
améríkà	américain	america
an	une	him
anabi	le prophète	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	le sud	southern
apaguusuilaorun	sud-ouest	south-western
apaguusuiwoorun	sud-ouest	part of the south
apailaorun	lever du soleil	east side
apaiwoorun	occidental	eastern side
aparapo	combinaison	confederation
apeja	pêcheur	fisherman
apeere	par exemple	example
apis	apis	apis
apòmù	tablier	apomu
apẹ̀rè	tablier	example
arabu	arabe	arab
aralíle	tropical	healthy body
arinkankan	celui-là	nationalist
ariso	aris	oral tradition
ariwaarin	moyen-orient	mid-north
ariwaguusu	sud-ouest	north-south
arkansas	arkansas	arkansas
aroko	végétation	composition
aruleyin	bonjour	carried on the back
arun	maladie	disease
aryan	l&#39;aryen	aryan
aráa	frère	people from
arábíà	alphabétique	arabia
aráròmí	bonjour	araromi
arópò	corruption	substitute
arúgbó	vieillesse	elderly
arọ	boiteux	cripple
asagun	la victoire	intial, first (referring to the 13 colonies)
ascii	trouver	ascii
aseeto	règlement	unfair
aseyori	succès	success
asipa	déviation	first to kill
assessment	évaluation	ayewo
asìko	absurdité	time; ni asiko=when
asèdá	le naturel	origination
atangbona	atome	emission
atanna	atome	emitter
atigba	admissible	from time
atimo	plan	inland
atinrin	en riant	thin
atun	rembobiner	also
atunse	correction	revision
australia	australie	australia
austriahumgary	autriche	austria-hungary
austronesian	austronésien	austronesian
austríà	australie	austria
avar	avar	avar
awari	découverte	discovery
awo	assiette	of
awonara	émotion	people of
awoòn	modèle	people
awon	leur	they
awuruju	magique	shady
awùjo	courtoisie	society
awújẹ	scandale	root
aya	verset	chest
ayeye	éternité	celebration
ayàfi	c&#39;est bon	only if
ayò	ay	game
azikiwe	bon sens	azikwe
aṣòkan	individuel	united
baa	est	be with
babaláwo	le devin	herbalist
bahrain	bahreïn	bahrain
balẹ̀	qu&#39;il soit	settled
bang	coup	bang
banle	banle	banle
bara	l&#39;année dernière	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	maintenant	like this
bayìí	maintenant	this
bce	une façon	bce
beauharnais	beauharnais	beauharnais
beijing	pékin	beijing
belarus	biélorussie	belarus
belgium	belgique	belgium
bengal	bengale	bengal
bengali	bengali	bengal
benin	banc	benin
berber	berbère	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	reviens	bharata
bibeli	bible	bible
biribiri	a été écrasé	intense
black	noir	dudu
bodies	corps	ara
bojú	regarde	take care
bole	fût	ground
bolt	boulon	bolt
bolívar	bolívar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	bridgeport	bridgeport
britain	bretagne	britain
brítánì	britanique	britain
bu	c&#39;est	give
buenaventura	buenaventura	buenaventura
bujumbura	étendu	bujumbura
burúkú	mal	bad
by	par	does not translate directly, does not exist
bàbá	le père	father
bákannáà	ainsi que	likewise
bálè	ballon	lying on the ground
bárakú	dépendance	habitual
báyìí	maintenant	this
bèrẹ̀	pour commencer	started
béè	juste comme ça	than
bòtswánà	le bus	botswana
búburú	mauvais	bad
búrú	soit brave	wicked
bẹ̀rẹ̀	pour commencer	started
bẹ́	cassé	also
bẹ́ljíọ̀m	béryl	belgium
bẹ́ẹ̀ni	oui	yes
bẹ́ẹ̀sìni	oui	that is it
cairo	rage	cairo
calabar	chewing-gum	calabar
canaria	canaria	canaria
cape	cap	cape
casablanca	casablanca	casablanca
caslon	casino	caslon
cathedral	cathédrale	cathedral (katidral)
catherine	catherine	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	charles	charles
chaskalson	chaskalson	chaskalson
chebbi	pense	chebbi
cherished	chéri	mu lokunkundun
china	chine	china
cipollone	cipollone	cipollone
clear	clair	danmanran
code	code	code
coetsee	coetsee	coetese
coloured	coloré	alawo dudu
coming	à venir	yo jade
compared	par rapport	does not directly translate
computers	des ordinateurs	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	gorge	cunha
da	et	back; but in this form it is unnecessary
dagbasoke	grandir	developing
dandan	obligatoire	a must
dani	en portant	hand-held
darapo	joindre	joinedd
daru	détruire	scattered
dates	rendez-vous	pada si
delhi	ne pas	delhi
denver	denver	denver
des	des	des
describes	décrit	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	développement	idagbasoke
didagba	égalité	growing
didasile	établissement	established
different	différent	iyato
din	frire	reduced
dinwoju	chercher	suitable
divoire	divoire	d'ivoire
doju	face à face	face
dojú	face à face	turn face (full phrase is doju ko, to face)
dominic	dominic	dominic
doni	doni	this day
dote	adorer	rebel
doublehelix	double hélice	hiliksi abara meji
doublestrand	double brin	double-strand
dover	douvres	dova
du	du	hustle
due	en raison de	nitori
dun	délicieux	sound
dàbíi	comme ça	like
dàpò	remplace les	mix
dá	établi	intervene
dágbó	vieillesse	forest
dájó	bien	pass judgement
dálóríi	merci	about
dáradára	bien	well
dásà	une casa	peculiar way of saying
dáwó	faire un don	undertake
dé	arrivée	reach
délànà	en principe	delana
dépò	dans la mesure où	to a position
dì	feuille	be
dìde	survenir	stand
dìró	sur la droite	hang on
dìtẹ̀	conspirer	rebel
díè	tendu	few
dóko	bien	upstanding
dólà	bien	dollar
dún	du son	sound
dúró	se tenir	stand (been in existence)
dọ́gba	égal	equal
ea	oui	ea
eba	eba	shore
ebi	famille	family
ecomog	ecomog	ecomog
ede	langue	language
efrem	effem	efrem
egba	absolument	cane
egbe	pistolet	group
egberundun	mille ans	a thousand year
egbo	une blessure	brother
egbé	malheur	party
egbò	une blessure	chemicals
egbògi	médical	don't know this
eighteen	dix-huit	ejidinlogun
eka	complexe	branch, department, part
ekeji	l&#39;autre	second
eko	éducation	lagos
elede	les cochons	speaker
eleyi	ce	this
eleyii	comme ça	this
elláda	création	ellada
eléde	abstrait	pig
eléré	athlète	performer
elòmírà	l&#39;algue	freedom
elòmíràn	un autre	another person
emerging	émergente	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	toutes les personnes	whoever
enter	entrer	wole
enì	l&#39;éléphant	person
eníbá	fièvre	such person
epa	cacahuète	groundnut
ernst	ernst	ernst
erofo	sédiment	swamp
erékùsù	île	island
eréonítàn	acronyme	written play
eseese	diagramme	step by step
esia	arrive	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	la côte	beach
euro	euro	euro
euroasia	euroasie	uro-esia
ewe	feuille	ewe
ewé	feuille	leaf
ewì	poésie	traditional poem
example	exemple	apere
eya	catégorie	tribe
eyin	des œufs	previous
eyonomba	eyonomba	digit
eléja	pêche	fisherman
elòmíràn	quelqu&#39;un d&#39;autre	another person
eka	effet	branches
eléyàmèyà	l&#39;ethnie	tribalism
enu	bouche	mouth
esin	religion	horse
esè	produit	leg
ewà	de conduite	beauty
fagile	annulé	cancel
fail	échouer	padanu
fan	ventilateur	spread
faramó	adhérer à	accept
faranse	français	french
farsi	arti	farsi
felifeli	velours	fuming
ferde	ferde	verde
fesèmúlè	source provisoire	established
fe	voulait	want
fi	enregistrer	by
fifihan	montrant	revealed
fihan	indiqué	shows, to show
fimú	nettement défini	captivate with
finiki	la physique	finiki
finlandi	finlande	finland
fitino	procès	judgement
five	cinq	marun
fodio	fodio	fodio
fofinde	interdiction	prohibited
fohùn	crier	consent
foniimu	film	phoneme
force	obliger	agbara
foriko	par exemple	agreed
fourbase	fourbase	onidi-merin
fowobowe	réservation	signed
fowó	pour de l&#39;argent	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	français	france
freetown	freetown	freetown
fuji	retirer	fuji
fulani	lâche	fulani
fulbe	plein	fulbe
fun	pour	for
funra	lui-même	suspect
further	plus loin	si
fé	fé	like
fé	fé	want
fégbé	oublie	for peers
fífò	en volant	jumping
fífún	donnant	giving
fòye	comprendre	rationalise
fẹ́rẹ̀ẹ́	presque	nearly
galatia	cette fois	galatia
gba	se mettre d&#39;accord	accept
gbajúgbujà	c&#39;est très populaire	popular
gbale	popularité	flourished
gbaná	tirer	engulf in flame/rage
gbe	porter	set up
gbera	passez	move
gberasoke	accélérer	rising
gbese	dette	debt
gbigbamulo	exploitation	adopted
gbigbewo	financement	examined
gbilè	éclater	gaining ground
gbin	planté	farm
gbogbogbo	général	general
gbongbo	racine	root
gbàgbọ́	croyez	believe
gbàgùrà	secoua	gbagura
gbá	fracasser	received
gbáradì	se lever	prepare
gbé	vivre	convey
gbédìí	établir	respect
gbékalè	charpentier	establish
gbéni	vivre	lift
gbéyèwò	la revue	examine
gbésè	offre	die
gbìnyànjú	essayer	endeavour
gbìyànju	faire un effort	try
gbódò	doit	must
gbónmisi	loi	strife
gbúnùn	sens-le	hostile
gbọ́dọ̀	doit	must
geesi	anglais	english
geneva	genève	geneva
genevieve	genevieve	genevieve
georgia	géorgie	georgia
german	allemand	german
gfaj	gfaj	gfaj
ghana	ghana	ghana
gidigidi	très	significantly
gidí	maison	real
goemai	goemai	goemai
gomina	gouverneur	governor
gorgina	l&#39;aigle	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	grec	greek
groove	rainure	iho
guanínì	guanni	guanine
guinea	guinée	guinea
guineabissau	guinée-bissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	longue	stretch
gunle	pistolet	arrive
guusu	sud	south
gv	gv	gv
gèésì	la colle	english
gèésì	gemme	english
gégé	vraiment	like
gírámà	gramps	grammar
gòkè	monter	climb
gún	percé	properly
gúúsù	sud	south
gẹ̀ẹ́sì	anglais	english
habsburg	habsburg	habsburg
haggai	guider	haggai
haiti	haïti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	dur	lile
haughton	hughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	bonbons	hendu
henny	henny	henny
heraklion	héraklion	heraklion
hesse	d&#39;accord	hesse
him	lui	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidés	hominidae
hosea	osée	hosea
hp	hp	hp
hugh	hugh	hugh
hun	hun	knit
hungari	famine	hungary
hv	hv	hv
ibalo	affaire	relationship
ibarepo	association	friendship
ibeji	jumeaux	twins
ibewo	est venu	visit
ibiamusin	sanctuaire	colony
ibile	traditionnel	municipality
ibimo	naissance	birth
ibise	faire des exercices	official
ibiti	des endroits	where
ibn	ibn	ibn
ibojì	tombeau	burial ground
ibori	voile	conquest
ibujoko	banc	place of abode
ibuseripadabosi	remboursement	eternity
ibuso	combattre	bus stop
ibùdó	camp	settlement, seat of, area,
ibùjókòó	sièges	settlement
iceland	islande	iceland
idagbasoke	développement	development
idagbe	négligence	isolation
idaji	moitié	half
idajo	justice	judgement
idamita	dessiner	sector
idari	contrôles	control
ideraa	pour écrire	comfort
idimule	arrêter	establishment
idoma	dessin	idoma
idupe	merci	thanksgiving
idánwò	procès	examination
ifija	pêche	weapon
ifilole	lancement	resolution
ifitonileti	information	reporting
ifobaje	la corruption	coronating
ifofinde	congrès	prohibition
ifriqiya	stimulation	ifriqiya
igbeduro	préparation	institute
igbegun	la victoire	declaration of war
igberiko	de banlieue	region
igbesoke	améliorer	upliftment
igbeyawo	mariage	marriage
igbowolori	coûteux	inflation
igbá	poulet	shell
igbáẹ̀yìn	le dernier	shell
igitòròmogbè	haut débit	willow tree
ihan	apparaître	ray
ihinrere	gospel	gospel
ijagun	bats toi	war
ijakadi	lutte	wrestling
ijaya	panique	fear
ije	mouvement	eating
ijinnasi	la physique	the wind open
ijosin	culte	worship
ijó	dansant	dance
ikan	une	one of
ikandinlogun	dix-huit	nineteen
ikaowo	le respect	finger
ikejidinlogun	dix-huit	eighteen
ikeko	compilation	education
ikerin	le quatrième	fourth
iketa	hériter	third
ikoenu	sauver	union
ikojopo	accumulation	collection
ikoreokere	récolte	migration
iku	mort	death
ikúgbaèyí	maintenant	death-has-this
ikún	remplissage	squirrel or wild rodent
ilagbolojo	publicité	latitude
ilana	procédure	procedure
ilanaoye	stratégies	knowledge procedure
ilaodo	protéger	cana
ilaorun	lever du soleil	west
ileasofin	législatif	house of law,
ilegiga	accueil	higher ground or higher plain
ileife	négligence	ile-ife
ileigbimo	consentement	house of assembly/congress
ileobaluaye	le monde	high chief
ileru	fourneau	volcanic
ilopo	double	times
iluoba	citoyenneté	king's town
iluorilejoba	mondialisation	capital city
ilé	accueil	house
iléayé	accueil	earth
iléisé	accueil	workplace
ilélódò	la maison	ile-lodo
iléàtèéré	accueil	ile-ateere
iléńlá	cour	ile-nla (area)
ilẹ	sol	land
ilẹ̀ayé	la terre	the world
iminle	arrêter	earthquake
imoero	éclairage	engineering
imojuto	se soucier	protection
imusin	dessiner	colony
imú	nez	nose
imúnisìn	hygiène	slavery
inagberingberi	beurre d&#39;arachide	electromagnetic force
indeed	en effet	paapa julo
indus	indus	indus
inkosi	justifier	inkosi
integration	l&#39;intégration	ifowosowopo
inágbéringbérin	dix-sept	electromagnet
iní	héritage	possession
inúnibíni	persécution	hatred
ioja	poisson	fight
ioniani	nécessiteux	ionian
iowa	sur terre	iowa
ipare	s&#39;estomper	abolition
ipawo	les usages	income
ipele	niveau	stage
ipin	chapitre	share
ipinpa	participation	arm of, branch of
ipinu	décision	determination
ipo	emplacement	position
ipá	obliger	effort
iraja	choquant	bargaining
iranlose	assistance	mission
ire	vente	you
irele	humilité	irele
iringa	emballer	iringa
irisi	apparence	appearance
irorun	très simple	convenient
irò	rumeur	iro
irúnmọlẹ̀	foudre	apparition
isa	assez	jesus, isa or yisa is hausa language
isare	accélération	track race
isedaniloro	doute de soi	terrorism
iseero	regarder	engineering
isejoba	la gouvernance	governance
iseoba	quinze	civil service
iseoroayeijoun	archéologie	archaeology
iseowo	entreprise	business
isepinpin	distribution	division
iso	venir	unit
isoponomba	isoponomba	addition of numbers
isun	couler	spring
isesi	abandon	conduct
isè	un service	occupation
itali	italien	italy
itanakole	récit	ancient
itelentele	clairement	coming after
itiraka	lutte	effort
itobi	se vanter	size
itokowo	entreprise	economy
itorawo	libéral	astrology
itu	lancer	solution
itumo	sens	meaning
iwadi	recherche	research
iwasi	impressionner	behaviour
iwifun	information	report
iwoile	accueil	entering
iwosan	guérison	healing
iwulo	utile	use
iwuwa	entraine toi	behaviour
iyan	famine	argument
iyato	la différence	difference
iyawo	la mariée	wife
iyen	c&#39;est	that
iyán	pétillant	pounded yam
iḷẹ̀	travail	land
iṣẹ́ìwádìí	recherche	research
jabo	rapport	give account
jackson	jackson	jackson
jadide	attendez	emerge
jagbe	foutez le camp	shout
jalè	vol	steal
jamaica	youtube	jamaica
jamo	allez-vous en	link
jawaharlal	oscillations	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	géométrie	geometry
jesu	jésus	jesus
jfk	jfk	jfk
jije	étant	existing as
jijinna	loin	distance
jiròrò	brumeux	dialogue
jo	fuite	days
jogun	hérité	inherit
johann	enfer	johann
johanu	désolé	john
jojo	fissuré	great extent
jopò	se joindre à	gathered
jo	john	resemble
juneau	juneau	juneau
jàgídíjàgan	violent	violent
jáde	sortir	out
jé	viens	is
jéésù	jésus	jesus
jìnnàa	loin	further
jíje	étant	eating
jíjuwó	faire de l&#39;argent	waving hands
jíjéomoléyìnkírísítì	en tant que philanthrope	followers of christ
jùlo	plus que	most
jùlo	surtout	most
jùló	le plus	most
jẹ́mánì	allemand	germany
jọ́	s&#39;il vous plaît	together
kadara	atout	destiny
kagera	vantard	kagera
kakiri	trace	all over
kalinga	cinga	kalinga
kalẹ	mettre de côté	established
kampala	fermoir	kampala
kan	une	one
kankan	aucun	any
kanlè	kanal	established
karbonumarun	le centricane	5 carbon
karl	karl	karl
karun	cinquième	fifth
karùún	le cinquième	fifth
kebbi	ajustable	kebbi
kekere	petit	lower
keko	alphabétisé	learn
kept	conservé	fi pamo
khoisan	inférieur	khoisan
ki	alors faites	not
kiakiajulo	le plus rapide	rapidly
kiko	apportant	gathering
kikojo	compilation	gathering
kikopomo	chaleur	mixed
kikoso	vite	colonised
kiko	apprentissage	making
kikuninu	imaginer	size
kilhar	aisselle	kilhar
kinkinni	la petite chose	small quantity
ko	ou	don't
kodò	au dessous de	bow
koidu	koidu	koidu
kojá	traverser	pass
kolo	kolo	going
komputa	ordinateur	computer
kong	kong	kong
kongo	préservatif	congo
kookan	ce	one
koto	appât	pit
koko	apprentissage	make heap
ko	ko	learn
kori	pas plus	not found
krio	krio	krio
ku	tu	remain
kwara	adressé	kwara
kàríbẹ́ánì	dans la région	carribean
kàyéfì	merveille	amazement
ká	de	we
kánfinkése	ingéniosité	prolonged
kánádà	bien sûr	canada
káyé	monde	world
kéesì	ridicule	keesi
kékéèké	petit	small
kétu	être préparé	ketu
kémíkà	au contraire	chemical
kéyìn	plus tard	come after,
kìnní	première	first
kí	saluer	not
kíko	en train d&#39;étudier	written
kíkọ́	apprendre	learning
kínu	embrasser	greet
kírísìtì	noël	christ
kòjòkú	pluie	kojoku
kòkó	la souris	cocoa
kòmpútà	ordinateur	computer
kòtò	une fosse	pit
kòòsí	ce n&#39;est pas	coaching
kòòkan	chacun	each
kógo	gloire	glorious
kóra	recueillir	participate
kùkú	après tout	eventually
kùrání	le coran	quran
kúkú	après tout	now
kúkúrú	en un mot	short
kúrò	une façon	away
kútò	tout	kuto (place)
kúùkù	au contraire	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	le quatrième	4
kẹsàán	tout de suite	ninth
kẹta	troisième	third
kẹ́nyà	séparation	kenya
kọjá	passer	pass through
kọ̀mpútà	ordinateur	computer
kọ́kọ́	première	first
kọ́lọ́mú	colonnes	breast owner
kọ́ni	manque de	teach
laa	allez-vous en	will
laada	donner un coup	good fortune
laaka	inverser	important
laarin	dans	between
labalaba	papillon	butterfly
labee	sous	under
lade	charger	crowned
laid	posé	tele
laifi	faute	without
languages	langues	ede
lanka	lanka	lanka
lasile	libération	laid out
latibe	de là	from there
latigbana	depuis	from then on
latini	latin	latin
latvia	lettonie	latvia
lay	allonger	da
le	pouvez	can
leboa	lebo	leboa
lekun	intensifié	open door
leo	leo	leo
lese	publier	firmly
less	moins	okeresi
lewaju	en avant	front
lewon	emprisonnement	imprisonment
leyi	c&#39;est ici	mispelled...should be 'leyin', after
leè	mai	can
lilelile	hardcore	tightly
lilemo	cannabis	sticky
lilongwe	lilongwe	lilongwe
lindi	lessive	lindi
linear	linéaire	dogba
links	liens	eka; this is a new word and does not really exist in yoruba
lodo	prend place	from
lojowaju	a l&#39;avenir	the future
lojukokoro	glouton	covetousness
lojúgun	il a ravagé	knee
lokunkun	énergique	in the dark
loloselu	politiquement	in politics
lopolopo	beaucoup	so many
loruko	nom	name
louvre	persienne	louvre
lovers	les amoureux	awon olufe
low	faible	diye
lo	continue	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	égal	more important
lààmi	signe	sign
lààmì	panneaux	significant
lábé	poids	under
láfún	donné	cassava food
láimo	sans pour autant	unknown
láké	bruyant	in ake
lámọ́di	fortune	lamodi
lápá	partie	from
lára	blesser	part of
lárúbáwá	le naturel	arabic
láì	sans pour autant	without
láíláí	jamais	old
lèe	pouvez	can
lèyìn	ensuite	after
lédè	dans la langue	language
léebá	incidemment	catch up with it
lérìnín	la neige	erin=laughter; the prefix 'l' is possesive
lérò	raison	thought
léyin	ensuite	after
léyìn	plus tard	after
lérú	esclavage	enslave
lílo	exploitation	using
lísa	accélération	a chieftaincy title
lítésò	piqûre	literature
lóde	à l&#39;extérieur	modern
lópez	nipez	lopez
lópó	veuve	widow
lórì	port	on the head
lóríba	plus de	subdue
lóti	lot	have
lóòótò	oui	truly
lóòótọ́	en effet	truly
ló	ló	to
lónà	en chemin	in a way
lórò	demain	become wealthy
lọndọnu	londres	london
lọ́dọọdún	annuellement	yearly
lọ́jà	sur le marché	in the market
maapu	carte	map
madeira	beira	madeira
mahatma	le mahatma	mahatma
makedonia	macédoine	macedonia
malabo	mon chéri	malabo
malay	assumé	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	malaisie	malaysia
mali	journée	mali
mango	mangue	mango
manˈdeːla	manˈdelala	mandela
marcellus	marcellus	marcellus
march	mars	march
marku	cette fois	mark
mars	mars	mars
maryland	maryland	maryland
maseru	jalousie	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	mathématique	mathematics
max	max	max
maya	non	maya
mbabane	négatif	mbabane
means	veux dire	ona (way)
mediteraneani	méditerranéen	mediterranean
mefeefa	révision	all six
mejidinlogbon	vingt-huit	twenty eight
mejila	douze	twelve
meksiko	mexique	mexico
melo	combien	some
member	membre	ara
mercosur	mercosur	mercosur
merin	quatre	four
methodologies	méthodologies	anaoniruuru
metropoli	métropole	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	mexique	mexico
michelle	michelle	michelle
micronesia	micronésie	micronesia
miiràn	soulager	another
mimoy	mimoy	mimoy
mimuwa	accroché	import
minnesota	minnesota	minnesota
minority	minorité	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	compact	51, (mokanleladota)
mokanlelogbon	trente deux	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	moteur	morogoro
mozambique	mozambique	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	choisissez encore	mtwara
mughal	le volume	mughal
mulẹ̀	établir	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	ne me dérange pas	testament
mère	dessin	significant
méjèèjì	tous les deux	the two
mérindíláàdóta	cinquante cinq	forty-six
méte	cinq	lip
mérìndínlógún	seize	sixteen
mérìnlélógójì	quarante-quatre	44
méta	trois	three
métèètà	charpentier	the three
méwàá	dix	ten
ménu	penses-tu	verbally contribute; complete phrase= me nu ba
mímọ́	saint	holy
míràn	un autre	other
míìrán	un autre	other
mííràn	un autre	other
mò	connaissance	know
mókólà	la colle	mokola
móra	guérir	with themselves
mó	m	with
múlẹ̀	tenez bon	select land (farmland)
mẹ́fà	six	6
mẹ́rkúríù	la souris	mercury
mẹ́ta	trois	3
mẹ́talọ́kan	trinité	trinity
namibia	venir	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	déroutant	highest-spending
nawó	obtenir votre argent	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	néphim	nefimu
neptune	neptune	neptune
nevis	nevis	nevis
ngbero	prévu	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	là	there
nibere	de bonne heure	earlier
nigbakan	quelquefois	at one time
nigbà	puis	when
nijẹr	nike	niger
nilè	ici	remaining
nisinyi	maintenant	at present
nitoriidieyi	à cause de ce	because of this
nitoripe	car	because
nitosi	proche	nearby
niwaju	devant	in front of
niyato	distinguer	unlike
niye	assez	in number
niyi	c&#39;est ici	these
nkan	chose	things
nkàn	cancer	something
nnaji	oncle	nnaji
nobel	nobel	nobel
nombamewa	multiplier	decimal
nombáméjì	les deux premiers	two-number
novo	novo	novo
nri	aliments	nri
nse	conception	acting
nso	près	saying
nsolaboraro	sécurité	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	point	indicates
nu	nettoyer	in
nukleotidi	nucléotide	nucleotides
nukleotidipupo	nucléotide	cell
numeri	engourdissement	numbers
nwa	bébé	drill
nàìjíríà	au nigeria	nigeria
náwo	frais	spend money
náà	aussi	that
nì	montagne	is
nìnú	désolé	in
nìyí	ça y est	this is
ní	avoir	on
níbè	là	there
níbè	là	there
nífẹ̀ẹ́	aimer	love
nígbàtí	quand	when
nílè	au dessous de	on the ground
nílùú	dans la ville	in the town
nílẹ̀	par terre	in the land
nínlá	génial	large
nínu	chance	in
níní	avoir	having
nípà	au moins	by
nítorípé	car	because
nítumò	sens	meaningful
nítòsí	proche	nearby
nítòótó	exactement	truly
nítòótọ́	en effet	in truth, truthfully
níwájú	devant	in front
níyanjú	positivement	solved
nǹkan	chose	things
nso	bientôt disponible	say
oba	obama	king
obairanderan	cousin	hereditary
obere	petit	started
obínibí	courtoisie	inborn
ododo	droiture	righteousness
ofin	la loi	law
ogbè	région	a divinity
ogun	guerre	war
ogunlogo	foule	hundreds
ojo	ressembler	day
ojojumo	du quotidien	daily
ojoru	chaleur	wednesday
ojukokoro	convoitise	covetousness
ojuoorun	le coucher du soleil	atmosphere
ojuse	responsabilité	responsibility
ojùkòsì	précipitation	ojukosi
ojùkòtúu	précipitation	ojukotuu
ojúlùmọ̀	des connaissances	acquaintance
ojútáyé	viscosité	public
ojúìwé	page	page
okeere	étranger	distant
okhotsk	okhotsk	okhotsk
oko	champ	farm
okunkun	obscurité	darkness
okunrin	l&#39;homme	male person
olodiajodojuko	l&#39;une et l&#39;autre	facing wall
