aajo	nacasnimo	hospitality
dominic	xakamayn	dominic
doni	doni	this day
dote	qadar	rebel
doublehelix	labanlaab	hiliksi abara meji
doublestrand	labajibbaar	double-strand
dover	dover	dova
du	du	hustle
due	sabab u ah	nitori
dun	dhadhan fiican leh	sound
dàbíi	sidan oo kale ah	like
dàpò	beddelo	mix
dá	abuuray	intervene
dágbó	gabow	forest
dájó	hagaag	pass judgement
dálóríi	mahadsanid	about
dáradára	si fiican	well
dásà	casa	peculiar way of saying
dáwó	tabaruc	undertake
dé	yimid	reach
délànà	mabda &#39;ahaan	delana
dépò	ilaa xad	to a position
dì	xaashi	be
dìde	kac	stand
dìró	midigta	hang on
dìtẹ̀	shirqool	rebel
díè	xiisad	few
dóko	wanaagsan	upstanding
dólà	si fiican	dollar
dún	cod	sound
dúró	in la istaago	stand (been in existence)
dọ́gba	isleeg	equal
ea	haa	ea
eba	eba	shore
ebi	reerka	family
ecomog	ecomog	ecomog
ede	af	language
efrem	effem	efrem
egba	gabi ahaanba	cane
egbe	qori	group
egberundun	kun sano	a thousand year
egbo	boog	brother
egbé	hoog	party
egbò	boog	chemicals
egbògi	caafimaad	don't know this
eighteen	siddeed iyo toban	ejidinlogun
eka	adag	branch, department, part
ekeji	tan kale	second
eko	waxbarasho	lagos
elede	doofaarradu	speaker
eleyi	tan	this
eleyii	sidan oo kale ah	this
elláda	abuurista	ellada
eléde	aan muuqan	pig
eléré	orodyahan	performer
elòmírà	badaha	freedom
elòmíràn	mid kale	another person
emerging	soo baxaya	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	qof walba	whoever
enter	gal	wole
enì	maroodiga	person
eníbá	qandho	such person
epa	lowska	groundnut
ernst	ernst	ernst
erofo	qallooc	swamp
erékùsù	jasiirad	island
eréonítàn	koobi	written play
eseese	jaantus	step by step
esia	soo socda	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	xeebta	beach
euro	euro	euro
euroasia	euroasia	uro-esia
ewe	caleen	ewe
ewé	caleen	leaf
ewì	gabay	traditional poem
example	tusaale	apere
eya	qayb	tribe
eyin	ukunta	previous
eyonomba	eyonomba	digit
eléja	kalluumeysiga	fisherman
elòmíràn	qof kale	another person
eka	saamayn	branches
eléyàmèyà	qowmiyadeed	tribalism
enu	afka	mouth
esin	diinta	horse
esè	kasocda	leg
ewà	dhaqanka	beauty
fagile	baajiyay	cancel
fail	fashil	padanu
fan	fan	spread
faramó	u hoggaansanaanta	accept
faranse	faransiis	french
farsi	arti	farsi
felifeli	maro jilicsan	fuming
ferde	furin	verde
fesèmúlè	il ku meelgaar ah	established
fe	rabay	want
fi	badbaadin	by
fifihan	muujinaya	revealed
fihan	tilmaamay	shows, to show
fimú	si adag loo qeexay	captivate with
finiki	fisikiska	finiki
finlandi	finland	finland
fitino	maxkamad	judgement
five	shan	marun
fodio	fodio	fodio
fofinde	mamnuucid	prohibited
fohùn	qaylo	consent
foniimu	filim	phoneme
force	xoog	agbara
foriko	tusaale ahaan	agreed
fourbase	afarbase	onidi-merin
fowobowe	ballansashada	signed
fowó	lacag	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	faransiis	france
freetown	freetown	freetown
fuji	ka saar	fuji
fulani	fulaynimo	fulani
fulbe	buuxa	fulbe
fun	ee	for
funra	lafteeda	suspect
further	dheeraad ah	si
fé	fé	like
fé	fé	want
fégbé	iska iloow	for peers
fífò	duulaya	jumping
fífún	siinta	giving
fòye	fahmay	rationalise
fẹ́rẹ̀ẹ́	ku dhawaad	nearly
galatia	markan	galatia
gba	ogolaado	accept
gbajúgbujà	waa mid aad loo jecel yahay	popular
gbale	caannimo	flourished
gbaná	toogasho	engulf in flame/rage
gbe	qaado	set up
gbera	dhaqaaq	move
gberasoke	xawaare	rising
gbese	deyn	debt
gbigbamulo	dhiig-miirashada	adopted
gbigbewo	maalgelinta	examined
gbilè	kala baxda	gaining ground
gbin	beeray	farm
gbogbogbo	guud	general
gbongbo	xidid	root
gbàgbọ́	aamin	believe
gbàgùrà	ruxay	gbagura
gbá	garaacid	received
gbáradì	kac	prepare
gbé	noolaan	convey
gbédìí	aasaasid	respect
gbékalè	nijaar	establish
gbéni	noolaan	lift
gbéyèwò	dib u eegis	examine
gbésè	bixin	die
gbìnyànjú	isku day	endeavour
gbìyànju	isku day	try
gbódò	waa	must
gbónmisi	sharciga	strife
gbúnùn	urta	hostile
gbọ́dọ̀	waa	must
geesi	ingiriisiga	english
geneva	dhaxal	geneva
genevieve	deeq-bixiye	genevieve
georgia	georgia	georgia
german	german	german
gfaj	gfaj	gfaj
ghana	ghana	ghana
gidigidi	aad	significantly
gidí	guri	real
goemai	goemai	goemai
gomina	gudoomiye	governor
gorgina	gorgorka	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	naxwaha	grammy
griiki	giriig	greek
groove	jeexdin	iho
guanínì	guanni	guanine
guinea	guinea	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	dheer	stretch
gunle	qori	arrive
guusu	koonfur	south
gv	gv	gv
gèésì	koollo	english
gèésì	qurxinta	english
gégé	runtii	like
gírámà	naxwaha	grammar
gòkè	kor u kac	climb
gún	wareemay	properly
gúúsù	koonfur	south
gẹ̀ẹ́sì	ingiriisiga	english
habsburg	habsburg	habsburg
haggai	hage	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	adag	lile
haughton	hargeysa	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	nacnac	hendu
henny	haa	henny
heraklion	heraklion	heraklion
hesse	ogolaaday	hesse
him	isaga	un, this term is sexless
hindu	hindu	hindu
histoni	taariikhyahan	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	hp	hp
hugh	kaftan	hugh
hun	hun	knit
hungari	gaajo	hungary
hv	hv	hv
ibalo	arrin	relationship
ibarepo	urur	friendship
ibeji	mataano	twins
ibewo	ayaa yimid	visit
ibiamusin	meesha quduuska ah	colony
ibile	dhaqan ahaan	municipality
ibimo	dhalasho	birth
ibise	shaqo	official
ibiti	meelaha	where
ibn	ibnu	ibn
ibojì	xabaal	burial ground
ibori	xijaab	conquest
ibujoko	keydka	place of abode
ibuseripadabosi	magdhow	eternity
ibuso	sidey ula dagaalamaan	bus stop
ibùdó	xero	settlement, seat of, area,
ibùjókòó	fadhiga	settlement
iceland	dal baraf ah	iceland
idagbasoke	horumarin	development
idagbe	dayacaad	isolation
idaji	badh	half
idajo	cadaalada	judgement
idamita	sawir	sector
idari	xakamaynta	control
ideraa	si loo qoro	comfort
idimule	qabasho	establishment
idoma	sawirka	idoma
idupe	mahadsanid	thanksgiving
idánwò	maxkamad	examination
ifija	kalluumeysiga	weapon
ifilole	bilaabid	resolution
ifitonileti	macluumaad	reporting
ifobaje	musuqmaasuq	coronating
ifofinde	shir	prohibition
ifriqiya	kicinta	ifriqiya
igbeduro	diyaarinta	institute
igbegun	guul	declaration of war
igberiko	miyiga	region
igbesoke	casriyeyn	upliftment
igbeyawo	aroos	marriage
igbowolori	qaali ah	inflation
igbá	digaag	shell
igbáẹ̀yìn	kii ugu dambeeyay	shell
igitòròmogbè	ballaadhan	willow tree
ihan	si ay u muuqdaan	ray
ihinrere	injiilka	gospel
ijagun	la dagaallama	war
ijakadi	halgan	wrestling
ijaya	cabsi	fear
ije	dhaqdhaqaaq	eating
ijinnasi	fisikiska	the wind open
ijosin	cibaadada	worship
ijó	dhaanto	dance
ikan	mid	one of
ikandinlogun	siddeed iyo toban	nineteen
ikaowo	ixtiraam	finger
ikejidinlogun	siddeed iyo toban	eighteen
ikeko	uruurinta	education
ikerin	afraad	fourth
iketa	si loo dhaxlo	third
ikoenu	si loo badbaadiyo	union
ikojopo	uruurinta	collection
ikoreokere	goosashada	migration
iku	geeri	death
ikúgbaèyí	hadda	death-has-this
ikún	buuxinta	squirrel or wild rodent
ilagbolojo	sumcadda	latitude
ilana	nidaamka	procedure
ilanaoye	xeeladaha	knowledge procedure
ilaodo	ilaali	cana
ilaorun	qorrax soo bax	west
ileasofin	sharci dejinta	house of law,
ilegiga	guriga	higher ground or higher plain
ileife	dayacaad	ile-ife
ileigbimo	ogolaansho	house of assembly/congress
ileobaluaye	aduunka	high chief
ileru	foorno	volcanic
ilopo	labanlaab	times
iluoba	dhalasho	king's town
iluorilejoba	caalamiyeynta	capital city
ilé	guriga	house
iléayé	guriga	earth
iléisé	guriga	workplace
ilélódò	guriga	ile-lodo
iléàtèéré	guriga	ile-ateere
iléńlá	barxadda	ile-nla (area)
ilẹ	dhulka	land
ilẹ̀ayé	dhulka	the world
iminle	in la xidho	earthquake
imoero	hillaacid	engineering
imojuto	daryeel	protection
imusin	sawir	colony
imú	sanka	nose
imúnisìn	nadaafadda	slavery
inagberingberi	subagga looska	electromagnetic force
indeed	dhab ahaantii	paapa julo
indus	indus	indus
inkosi	si loo caddeeyo	inkosi
integration	is-dhexgalka	ifowosowopo
inágbéringbérin	toddoba iyo toban	electromagnet
iní	dhaxal	possession
inúnibíni	cadaadis	hatred
ioja	kalluun	fight
ioniani	baahan	ionian
iowa	dhulka	iowa
ipare	gabaabsi	abolition
ipawo	adeegsanaya	income
ipele	heer	stage
ipin	cutubka	share
ipinpa	kaqeybgal	arm of, branch of
ipinu	go’aan	determination
ipo	goobta	position
ipá	xoog	effort
iraja	naxdin leh	bargaining
iranlose	caawin	mission
ire	iibin	you
irele	is-hoosaysiinta	irele
iringa	isku soo duub	iringa
irisi	muuqaal	appearance
irorun	aad u fudud	convenient
irò	xanta	iro
irúnmọlẹ̀	hillaac	apparition
isa	ku filan	jesus, isa or yisa is hausa language
isare	dardargelinta	track race
isedaniloro	is-shakiye	terrorism
iseero	daawasho	engineering
isejoba	dowladnimada	governance
iseoba	shan iyo toban	civil service
iseoroayeijoun	cilmiga cilmu-nafsiga	archaeology
iseowo	ganacsiga	business
isepinpin	qaybinta	division
iso	inuu yimaado	unit
isoponomba	isoponomba	addition of numbers
isun	qulqulka	spring
isesi	is dhiib	conduct
isè	adeeg	occupation
itali	talyaani	italy
itanakole	sheeko	ancient
itelentele	si cad	coming after
itiraka	halgan	effort
itobi	ku faanid	size
itokowo	ganacsiga	economy
itorawo	xorriyadda	astrology
itu	tuurid	solution
itumo	macnaha	meaning
iwadi	cilmi baaris	research
iwasi	soo jiidasho	behaviour
iwifun	macluumaad	report
iwoile	guriga	entering
iwosan	bogsashada	healing
iwulo	waxtar leh	use
iwuwa	ku dhaqan	behaviour
iyan	abaar	argument
iyato	farqiga u	difference
iyawo	aroosadda	wife
iyen	taasi waa	that
iyán	dhalaalaya	pounded yam
iḷẹ̀	shaqada	land
iṣẹ́ìwádìí	cilmi baaris	research
jabo	warbixin	give account
jackson	jackson	jackson
jadide	xaji	emerge
jagbe	lumiso	shout
jalè	xatooyo	steal
jamaica	youtube	jamaica
jamo	tag	link
jawaharlal	is beddelasho	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	joomatari	geometry
jesu	ciise	jesus
jfk	jfk	jfk
jije	ahaansho	existing as
jijinna	fog	distance
jiròrò	ceeryaamo	dialogue
jo	daadinta	days
jogun	dhaxlay	inherit
johann	cadaabta	johann
johanu	raali ahaw	john
jojo	dillaacday	great extent
jopò	ku soo biir	gathered
jo	john	resemble
juneau	juneau	juneau
jàgídíjàgan	rabshad leh	violent
jáde	soo bax	out
jé	kaalay	is
jéésù	ciise	jesus
jìnnàa	fog	further
jíje	ahaansho	eating
jíjuwó	lacag sameynta	waving hands
jíjéomoléyìnkírísítì	sida mutadawacnimada ah	followers of christ
jùlo	in ka badan	most
jùlo	gaar ahaan	most
jùló	ugu badan	most
jẹ́mánì	jarmalka	germany
jọ́	fadlan	together
kadara	hanti	destiny
kagera	faan	kagera
kakiri	raad raac	all over
kalinga	cinga	kalinga
kalẹ	dhinac dhig	established
kampala	xajin	kampala
kan	a	one
kankan	midna	any
kanlè	kanal	established
karbonumarun	aasaaska	5 carbon
karl	karl	karl
karun	shanaad	fifth
karùún	shanaad	fifth
kebbi	hagaajin kara	kebbi
kekere	yar	lower
keko	wax akhrin	learn
kept	hayaa	fi pamo
khoisan	liita	khoisan
ki	sidaas yeel	not
kiakiajulo	soonka	rapidly
kiko	keenaya	gathering
kikojo	uruurinta	gathering
kikopomo	diirimaad	mixed
kikoso	soon	colonised
kiko	barashada	making
kikuninu	qiyaas	size
kilhar	kilkilaha	kilhar
kinkinni	wax yar	small quantity
ko	ama	don't
kodò	hoosta	bow
koidu	koidu	koidu
kojá	iskutallaabta	pass
kolo	kolo	going
komputa	kumbuyuutar	computer
kong	kong	kong
kongo	cinjirka galmada	congo
kookan	tan	one
koto	sed	pit
koko	barashada	make heap
ko	ko	learn
kori	mar dambe	not found
krio	krio	krio
ku	adiga	remain
kwara	ka hadlay	kwara
kàríbẹ́ánì	ee gobolka	carribean
kàyéfì	yaab	amazement
ká	ee	we
kánfinkése	xariifnimo	prolonged
kánádà	dabcan	canada
káyé	adduunka	world
kéesì	nacasnimo	keesi
kékéèké	yar	small
kétu	diyaar ahaw	ketu
kémíkà	lid ku ah	chemical
kéyìn	goor dambe	come after,
kìnní	marka hore	first
kí	salaan	not
kíko	wax barashada	written
kíkọ́	si loo barto	learning
kínu	dhunkashada	greet
kírísìtì	kirismaska	christ
kòjòkú	roob	kojoku
kòkó	jiirka	cocoa
kòmpútà	kumbuyuutar	computer
kòtò	god	pit
kòòsí	ma ahan	coaching
kòòkan	mid walba	each
kógo	ammaanta	glorious
kóra	ururin	participate
kùkú	ka dib oo dhan	eventually
kùrání	quraanka	quran
kúkú	ka dib oo dhan	now
kúkúrú	si kooban	short
kúrò	ka fog	away
kútò	wax walba	kuto (place)
kúùkù	lid ku ah	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	afraad	4
kẹsàán	isla markiiba	ninth
kẹta	saddexaad	third
kẹ́nyà	kala go &#39;	kenya
kọjá	gudub	pass through
kọ̀mpútà	kumbuyuutar	computer
kọ́kọ́	marka hore	first
kọ́lọ́mú	tiirarka	breast owner
kọ́ni	la&#39;aanta	teach
laa	tag	will
laada	laad	good fortune
laaka	gadaal	important
laarin	gudahood	between
labalaba	balanbaalis	butterfly
labee	hoosta	under
lade	laad	crowned
laid	la dhigay	tele
laifi	qalad	without
languages	luqadaha	ede
lanka	lanka	lanka
lasile	sii deyn	laid out
latibe	halkaas ka	from there
latigbana	ilaa markaa	from then on
latini	latin	latin
latvia	latvia	latvia
lay	jiifay	da
le	karaa	can
leboa	lebo	leboa
lekun	xoojiyay	open door
leo	leo	leo
lese	dhajin	firmly
less	ka yar	okeresi
lewaju	hore	front
lewon	xabsi	imprisonment
leyi	halkan waa	mispelled...should be 'leyin', after
leè	laga yaabaa	can
lilelile	adke	tightly
lilemo	xashiishad	sticky
lilongwe	lilongwe	lilongwe
lindi	lye	lindi
linear	toosan	dogba
links	xiriirada	eka; this is a new word and does not really exist in yoruba
lodo	meel dhig	from
lojowaju	mustaqbalka	the future
lojukokoro	hunguri	covetousness
lojúgun	wuu cararay	knee
lokunkun	firfircoon	in the dark
loloselu	siyaasad ahaan	in politics
lopolopo	wax badan	so many
loruko	magac	name
louvre	louvre	louvre
lovers	kuwa jecel	awon olufe
low	hooseeya	diye
lo	soco	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	isleeg	more important
lààmi	saxeex	sign
lààmì	calaamadaha	significant
lábé	culeys	under
láfún	siiyay	cassava food
láimo	la’aan	unknown
láké	cod dheer	in ake
lámọ́di	nasiib	lamodi
lápá	qayb	from
lára	dhaawacan	part of
lárúbáwá	dabiiciga ah	arabic
láì	la’aan	without
láíláí	waligaa	old
lèe	karaa	can
lèyìn	kadib	after
lédè	luuqad ahaan	language
léebá	shil	catch up with it
lérìnín	barafka	erin=laughter; the prefix 'l' is possesive
lérò	sabab	thought
léyin	kadib	after
léyìn	goor dambe	after
lérú	addoonsiga	enslave
lílo	dhiig-miirashada	using
lísa	dardargelinta	a chieftaincy title
lítésò	xanniban	literature
lóde	banaanka	modern
lópez	nipez	lopez
lópó	carmal	widow
lórì	deked	on the head
lóríba	dhaaftay	subdue
lóti	luud	have
lóòótò	haa	truly
lóòótọ́	dhab ahaantii	truly
ló	jiif	to
lónà	wadada	in a way
lórò	berri	become wealthy
lọndọnu	london	london
lọ́dọọdún	sanadkii	yearly
lọ́jà	suuqa	in the market
maapu	khariidad	map
madeira	beira	madeira
mahatma	mahatma	mahatma
makedonia	makedoniya	macedonia
malabo	malab	malabo
malay	qaatay	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	malaysia	malaysia
mali	maalin	mali
mango	mangoon	mango
manˈdeːla	manˈdelala	mandela
marcellus	marcellus	marcellus
march	socod	march
marku	markan	mark
mars	mars	mars
maryland	maryland	maryland
maseru	masayr	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	xisaab	mathematics
max	max	max
maya	maya	maya
mbabane	diidmo	mbabane
means	macnaheedu	ona (way)
mediteraneani	badda dhexe	mediterranean
mefeefa	isbadal	all six
mejidinlogbon	labaatan iyo sideed	twenty eight
mejila	laba iyo toban	twelve
meksiko	meksiko	mexico
melo	immisa	some
member	xubin	ara
mercosur	mercosur	mercosur
merin	afar	four
methodologies	hababka	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	mexico	mexico
michelle	michelle	michelle
micronesia	nafaqeeyayaalka yar yar	micronesia
miiràn	nasasho	another
mimoy	mimoy	mimoy
mimuwa	xarkaha	import
minnesota	minnesota	minnesota
minority	laga tiro badan yahay	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	is haysta	51, (mokanleladota)
mokanlelogbon	laba iyo soddon	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	wadista gawaarida	morogoro
mozambique	mozambique	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	mar kale dooro	mtwara
mughal	mugga	mughal
mulẹ̀	aasaasid	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	haku mashquulin	testament
mère	sawirka	significant
méjèèjì	labadaba	the two
mérindíláàdóta	konton iyo shan	forty-six
méte	shan	lip
mérìndínlógún	lix iyo toban	sixteen
mérìnlélógójì	afartan iyo afar	44
méta	saddex	three
métèètà	nijaar	the three
méwàá	toban	ten
ménu	ma u malaynaysaa	verbally contribute; complete phrase= me nu ba
mímọ́	qoduus	holy
míràn	mid kale	other
míìrán	mid kale	other
mííràn	mid kale	other
mò	aqoon	know
mókólà	koollo	mokola
móra	daawo	with themselves
mó	m	with
múlẹ̀	ku adkeyso	select land (farmland)
mẹ́fà	lix	6
mẹ́rkúríù	jiirka	mercury
mẹ́ta	saddex	3
mẹ́talọ́kan	midnimada	trinity
namibia	inuu yimaado	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	jahwareer	highest-spending
nawó	lacagtaada hel	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nephim	nefimu
neptune	neptune	neptune
nevis	nevis	nevis
ngbero	qorsheeyay	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	halkaas	there
nibere	goor hore	earlier
nigbakan	mararka qaar	at one time
nigbà	markaa	when
nijẹr	nike	niger
nilè	halkan	remaining
nisinyi	hadda	at present
nitoriidieyi	taas aawadeed	because of this
nitoripe	sababta oo ah	because
nitosi	u dhow	nearby
niwaju	ka hor	in front of
niyato	kala sooc	unlike
niye	ku filan	in number
niyi	halkan waa	these
nkan	shay	things
