$	usd	dollarsign
aap	pērtiķis	monkey
aard	daba	nature
aardappel	kartupeļi	potato
aardappelen	kartupeļi	potatoes
aardappels	kartupeļi	potatoes
aardbeving	zemestrīce	earthquake
aardbevingen	zemestrīces	earthquake
aarde	augsne	earth
aardewerk	keramika	pottery
aardgas	dabasgāze	natural gas
aardkorst	zemes garoza	earth's crust
aardolie	nafta	crude oil
aardoppervlak	zemes virsma	surface of the earth
aardse	zemes	earthly
aartsbisschop	arhibīskaps	arch bishop
ab	ab	ab
abba	abba	abba
abbey	abatija	abbey
abc	abc	abc
abdij	abatija	abbey
abortus	aborts	abortion
abraham	ābrahams	abraham
absolute	absolūts	absolute
absoluut	absolūti	absolutely
abstract	abstrakts	abstract
abstracte	abstrakts	abstract
abu	abu	abu
ac	ac	ac
academie	akadēmija	academy
academisch	akadēmiskais	academic
academische	akadēmiskais	academic
academy	akadēmija	academy
accent	akcents	accent
accepteren	pieņemt	accept
acdc	acdc	acdc
acht	astoņi	eight
achter	aizmugurē	behind
achteraf	pēc tam	in retrospect
achtereenvolgens	pēc kārtas	sequentially
achteren	aizmugurē	back
achtergelaten	pamests	left behind
achtergrond	fons	background
achterkant	aizmugures gals	backside
achterlijf	vēders	backside
achternaam	uzvārds	surname
achterpoten	pakaļkājas	hind legs
achterschip	pakaļgala	backship
achterstand	aizmugurē	falling behind
achterste	aizmugurē	back
achteruit	atpakaļ	backwards
achteruitgang	pagrimums	diminishment
achterzijde	aizmugurē	backside
achtste	astotais	eighth
achttien	astoņpadsmit	eighteen
achttiende	astoņpadsmitā	eighteenth
act	tēlot	act
acteren	tēlot	acting
acteur	aktieris	actor
acteurs	aktieri	actors
actie	darbība	action
actief	aktīvs	active
acties	darbības	actions
actieve	aktīvs	active
activa	aktīvi	activia
activiteit	aktivitāte	activity
activiteiten	aktivitātes	activities
actress	aktrise	actrice
actrice	aktrise	actrice
actuele	pašreizējais	current
acute	akūta	acute
ad	sludinājums	ad
adam	ādams	adam (name)
adams	adams	adams - proper noun - surname
add	pievienot	add
adders	vipers	adders
adel	muižniecība	aristocracy
adelaar	ērglis	eagle
adellijke	cēls	aristocrate
adem	elpa	breath
ademhaling	elpošana	breathing
aders	vēnas	veins
adhd	adhd	adhd
adidas	adidas	adidas
adipocere	adipocere	adipocere
administratie	administrācija	administration
administratieve	administratīvā	administrative
admiraal	admirālis	admiral
adolf	ādolfs	adolf - proper noun - first name
adriaan	adrians	adriaan
adriatische	adrijas jūra	adriatic (coast)
advies	padoms	advice
adviseur	padomnieks	counselor
advocaat	advokāts	attorney
ae	ae	ae
af	izslēgts	of
afbeelding	attēls	illustration
afbeeldingen	attēli	images
afbraak	saplīst	demolition
afc	afc	afc
afdeling	nodaļa	department
afdelingen	departamenti	departments
affaire	dēka	affair
afgebeeld	parādīts	shown
afgebroken	nojaukts	broken down
afgegeven	iesniegts	propagated
afgekort	saīsināti	shortened
afgelegen	nošķirts	remote
afgeleid	apjucis	derivative
afgeleide	atvasinājums	derivative
afgelopen	pagātne	finished (2nd sentence), past (in all other cases in the text)
afgenomen	samazinājās	decreased - 2nd and 4th sentence, taken - 5th sentence
afgerond	noapaļots	completed
afgeschaft	atcelts	dispensed
afgesloten	aizslēgts	locked
afgesproken	piekritu	agreed
afgevaardigden	delegāti	delegates
afgevoerd	izlādēts	drain off
afgewezen	noraidīts	refused
afgezet	nokrita	turned of
afgezien	atsevišķi	apart from
afghanistan	afganistāna	afghanistan
afhankelijk	atkarīgs	dependent
afhankelijkheid	atkarība	dependence
afkeer	nepatika	disgust
afkomst	nolaišanās	background
afkomstig	izcelsme	originating
afkorting	saīsinājums	abbreviation
afleggen	izmest	in this context it means: to travel
aflevering	piegāde	delivery
afleveringen	epizodes	episodes
afloop	beidzas	outcome
afmetingen	izmēri	measures
afname	samazināt	reduction
afneemt	samazinās	decreases
afnemen	samazināt	decline
africa	āfrika	africa
afrika	āfrika	africa
afrikaans	afrikāņu	african
afrikaanse	afrikāņu	african
afschaffing	atcelšana	abolition
afscheid	ardievas	farewell
afscheiding	sekrēcija	separation
afsluiting	slēgšana	closure
afspraak	pieraksts	appointment
afspraken	vienošanās	appointments
afstammelingen	pēcnācēji	descendants
afstamming	nolaišanās	origin
afstand	attālums	distance
afstanden	attālumi	distances
aftreden	atkāpties	stepped down
aftrek	atskaitīšana	deduction
afval	atkritumi	waste
afvalstoffen	atkritumi	waste products
afvoer	notekas	drain
afweersysteem	aizsardzības sistēma	immune
afwezig	prombūtnē	absent
afwezigheid	prombūtne	absence
afwijkend	atšķirīgs	different
afwijkende	novirzoties	different
afwijking	novirze	deviation
afwijkingen	novirzes	deviation
afwijkt	novirzās	differ
afwijzing	noraidīšana	rejection
afwisselend	pārmaiņus	alternately
afzetten	nokrist	depositing - 3rd sentence, push off - 4th sentence, moving away - 7th and 8th sentence.
afzonderlijk	atsevišķi	separately
afzonderlijke	atsevišķi	individual
agaat	ahāts	agate
again	atkal	again
against	pret	against
agenda	darba kārtība	agenda
agent	aģents	agent
agglomeratie	aglomerācija	agglomeration
agnetha	agnetha	agnetha
agnost	agnostiķis	agnost
agrarische	lauksaimniecības	agricultural
agressie	agresija	aggression
agressief	agresīvs	aggressive
agressieve	agresīvs	aggressive
ah	ah	ah
aids	aids	aids
air	gaiss	air
airbus	airbus	airbus
aires	aires	aires
airlines	aviosabiedrības	airlines
airlinesvlucht	aviosabiedrību lidojums	airlines flight
airport	lidosta	airport
airways	elpceļi	airways
ajax	ajax	ajax
aka	aka	aka
akkoord	vienošanās	agreement
akoestische	akustisks	acoustic
akon	akon	akon
al	jau	already
alan	alan	alan
alarmschijf	trauksmes disks	emergency disk
alaska	aļaska	alaska
albanezen	albāņi	albanians
albanië	albānija	albania
albert	alberts	albert
alberto	alberto	aleberto
alberts	alberts	alberts
album	albumu	album
albums	albumus	albums
alcohol	alkohols	alcohol
alcoholgebruik	alkohola lietošana	alcohol use
alcoholische	alkoholiķis	alcoholic
alcoholisme	alkoholisms	alcoholism
alcoholisten	alkoholiķi	alcoholics
aldaar	tur	there
aldus	tādējādi	according to
alejandro	alejandro	alejandro
aleksandr	aleksandrs	aleksandr
alex	alekss	alex
alexander	aleksandrs	alexander
alexandrië	aleksandrija	alexandria
alfabet	alfabēts	alphabet
alfabetische	alfabēta	alfabetic
alfred	alfrēds	alfred
algehele	kopumā	overall
algemeen	vispārīgi	in general
algemene	vispārējs	general salamence
algerije	alžīrija	algeria
algoritmen	algoritmi	algorithms
alhoewel	lai gan	albeit
ali	ali	ali
alias	pseidonīms	alias
alice	alise	alice
align=center	izlīdzināt = centrā	center
align=left	izlīdzināt = pa kreisi	align = left
alignbars	līdzenumi	alignbars
alignleft	līdzīgi	align left
alkmaar	alkmāra	alkmaar
all	visiem	all
alle	visiem	all
allebei	gan	both
alledaagse	katru dienu	everyday
alleen	tikai	only
allemaal	visus	all
allen	visiem	all
aller	no visa	ever
allereerst	pirmkārt	firstly
allereerste	pats pirmais	very first
allerlei	visa veida	all kinds of
alles	viss	everything
alliance	alianse	alliance
alliantie	alianse	alliance
allochtonen	imigranti	immigrants
almere	almere	almere
alois	alois	alois
alpen	alpi	alps
als	kā	as
alsmede	arī	and
alsnog	tomēr	still
alsof	it kā	as if
alsook	arī	also
altaar	altāris	altar
alternatief	alternatīva	alternative
alternatieve	alternatīva	alternative
althans	vismaz	at least
altijd	vienmēr	always
aluminium	alumīnijs	aluminium
alva	alva	alva
alvleesklier	aizkuņģa dziedzeris	pancreas
alvorens	pirms tam	before
alweer	atkal	again
alzheimer	alcheimera slimība	alzheimer's
am	esmu	am
amazone	amazons	amazon
ambassade	vēstniecība	ambassade
ambassadeur	vēstnieks	ambassador
amber	dzintars	amber
ambt	birojs	office
ambtenaren	ierēdņi	officials
america	amerika	america
american	amerikānis	american
amerika	amerika	america
amerikaan	amerikānis	american
amerikaans	amerikāņu	american
amerikaanse	amerikāņu	american
amerikanen	amerikāņi	americans
amersfoort	amersfoort	amersfoort
amfibieën	abinieki	amphibians
aminozuren	aminoskābes	amino acid
amstel	amstel	amstel (river)
amsterdam	amsterdama	amsterdam
amsterdammers	amsterdammers	amsterdam
amsterdamse	amsterdama	amsterdam
anakin	anakins	anakin
anale	anālais	anal
analyse	analīze	analysis
anatolië	anatolija	anatolia
anatomie	anatomija	anatomy
and	un	en
ander	citi	other
andere	citi	other
anderen	citi	others
anderhalf	pusotrs	one and a half
anders	savādāk	different from
andersom	apgriezts	the other way around
anderzijds	no otras puses	on the other hand
andes	andi	andes
andorra	andora	andorra
andrea	andrea	andrea
andreas	andreas	andreas
andrew	iemeta	andrew
andrews	andrews	andrews
andré	andrē	andre
andy	andy	andy (proper noun, first name)
anemie	anēmija	animia
angela	angela	angela
angeles	eņģeļi	angeles
angels	eņģeļi	angels
anglicaanse	anglikāns	anglican
angst	bailes	fear
anime	anime	anime
aniston	anistons	aniston (name)
anjou	anjou	anjou
ann	gada	ann
anna	anna	anna - proper noun - first name
anne	anne	anne
annexatie	aneksija	annexation
anno	anno	anno
anoniem	anonīms	anonymous
another	cits	another
antarctica	antarktīda	antarctica
antenne	antena	antenna
antennes	antenas	antennas
anthony	antonijs	anthony
antibiotica	antibiotikas	antibiotics
antidepressiva	antidepresanti	antidepressive
antieke	antīkās	antique
antillen	antiļas	antilles
antilliaanse	antillean	antillian
antisemitisme	antisemītisms	antisemitism
antistoffen	antivielas	antibodies
antoine	antoine	antoine (anton)
anton	antons	anton
antoni	antoni	antoni
antonio	antonio	antonio
antonius	antonius	antonius
antropologie	antropoloģija	anthropology
antwerpen	antverpene	antwerpen
antwerpse	antverpene	antwerp
antwoord	atbildi	answer
antwoordde	atbildēja	replied
antwoorden	atbildes	answers
anubis	anubis	anubis
anus	tūpļa	anus
apart	atsevišķi	separate -1st and 2nd sentence, individual - 4th sentence.
aparte	atsevišķi	separate
apen	pērtiķiem	apes
aphrodite	afrodīts	aphrodite
apollo	apollo	apollo
apostelen	apustuļi	apostles
apostolische	apustuliskais	apostolic
apothecium	apotecijs	apothecia
apparaat	ierīce	machine
apparaten	ierīces	devices
apparatuur	aprīkojums	equipment
appartement	dzīvoklis	apartment
appel	apple	apple
apple	ābolu	apple
april	aprīlī	april
aquino	akvaino	aquino
arabieren	arābi	arabics
arabisch	arābu valodā	arabic
arabische	arābu	arabic
aragon	aragons	aragon
arbeid	darbaspēks	work
arbeiders	strādnieki	workers
arbeiderspartij	leiboristu partija	labour party
arc	loka	arc
archeologisch	arheoloģisko	archeologic
archeologische	arheoloģisko	archaeological
archief	arhīvs	archive
archieven	arhīvi	archieves
archipel	arhipelāgs	archipelago
architect	arhitekts	architect
architecten	arhitekti	architects
architectuur	arhitektūra	architecture
ardennen	izspiesties	ardennes
are	ir	are
area	platība	area
arena	arēnā	arena
argentijnse	argentīnietis	argentine
argentinië	argentīna	argentina
argument	arguments	argument
argumenten	argumenti	arguments
ari	ari	ari
aristocratie	aristokrātija	aristocracy
aristoteles	aristotelis	aristotle
arizona	arizona	arizona
arm	roka	poor
arme	nabadzīgs	poor
armeense	armēņu	armenian
armen	rokas	poor
armenië	armēnija	armenia
armeniërs	armēņi	arms irish
armoede	nabadzība	poverty
armstrong	ieročos	armstrong
army	armija	army
arnhem	arnhem	arnhem
arnold	arnolds	arnold
around	apkārt	around
arriveerde	ieradās	arrived
arrondissement	iecirknis	district
arsenal	arsenāls	arsenal - proper noun
art	māksla	art
arthur	artūrs	arthur
artiest	mākslinieks	performer
artiesten	mākslinieki	artists
artikel	raksts	article
artikelen	raksti	articles
artillerie	artilērija	artillery
artistiek	māksliniecisks	artistic
artistieke	māksliniecisks	artistic
artrose	artroze	arthrosis
arts	ārsts	doctor
artsen	ārstiem	doctors
aruba	aruba	aruba
as	pelni	axle
aspect	aspekts	aspect
aspecten	aspektiem	aspects
asperger	sparģeļi	asperger
assemblée	montāža	assembly
assen	vārpstas	axles
assistent	palīgs	assistant
associatie	asociācija	association
association	asociācija	association
asterix	zvaigznīte	asterix
astronoom	astronoms	astronomer
at	ēda	at
atelier	darbnīca	workshop
athene	atēnas	athens
atheïsme	ateisms	atheism
atheïst	ateists	atheist
atheïsten	ateisti	atheist
atlantis	atlantīda	atlanta
atlantische	atlanti	atlantic
atmosfeer	atmosfēra	atmosphere
atomen	atomi	atoms
atptoernooi	turnīrs	atp tournament
attractie	piesaiste	attraction
attracties	atrakcijas	attractions
auditie	klausīšanās	audition
august	augusts	august
augustinus	augustīns	augustinus
augustus	augusts	august
auschwitz	auschwitz	auschwitz
australian	austrālietis	australian
australische	austrālietis	australian
australië	austrālija	australia
auteur	autore	author
auteurs	autori	autors
auteursrecht	autortiesības	copyright
authentieke	autentisks	authentic
authority	autoritāte	autority
autisme	autisms	autism
autistische	autists	autistic
auto	auto	car
autochtone	dzimtā	autochthon
automatisch	automātiski	automatic
autonome	autonomi	autonomous
autonomie	autonomija	autonomy
autoritaire	autoritārs	autoritary
autoriteit	autoritāte	authority
autoriteiten	varas iestādes	authorities
autos	automašīnas	cars
autosnelweg	automaģistrāle	highway
autosnelwegen	automaģistrāles	highways
avenue	avēnija	avenue
avond	vakarā	evening
avondmaal	vakariņas	evening meal
avonds	vakarā	evening
avonturen	piedzīvojumi	adventures
award	balvu	award
awards	balvas	awards
away	prom	away
az	az	az
azerbeidzjan	azerbaidžāna	azerbaijan
aziatische	āzijas	asian
azië	āzija	asia
azoren	azoru salas	azores
azteken	acteki	aztecs
b	b	b
ba	ba	ba
baai	līcis	bay
baan	darbs	track
baarmoeder	dzemde	uterus
baarn	baarn	baarn
baas	priekšnieks	boss
baby	bērniņš	baby
babys	mazuļi	babies
bach	bahs	bach
bachelor	bakalaura	bachelor
bachs	bahs	bach's
back	atpakaļ	back
bacterie	baktērijas	bacteria
bacteriële	baktēriju	bacterial
bacteriën	baktērijas	bacterias
bad	vanna	bad
baker	cepējs	baker
bakermat	šūpulis	cradle
baksteen	ķieģelis	brickwork
bal	bumba	ball
balans	līdzsvars	balance
bali	bali	bali
balkan	balkāni	balkans
balkenende	braying	balkenende
ball	bumba	ball
ballet	balets	ballet
ballingschap	trimdā	exile
ballon	balons	balloon
baltische	baltic	baltic
ban	aizliegums	ban
banaan	banāns	banana
bananen	banāni	bananas
band	josla	tie
banden	riepas	bands
bandleden	grupas dalībnieki	bandmembers
bands	joslas	bands
banen	darba vietas	strokes
bang	nemierīgi	scared
bangladesh	bangladeša	bangladesh
bank	banka	bank
bankbiljetten	banknotes	bank notes
banken	bankas	banks
bankwezen	banku darbība	banking
baptisme	kristības	baptist faith
bar	bārs	bar
barack	baraks	barack
barbara	barbara	barbara
barcelona	barselona	barcelona
barok	baroka	baroque
baron	barons	baron
barrett	barrett	barret
barry	barijs	barry
bart	barts	bart (proper noun, first name)
barwikipedias	barwikipedias	barwikipedias
bas	bass	bas
basale	bazāls	basal
base	bāze	base
basgitaar	basģitāra	bass guitar
basiliek	bazilika	basilica
basis	bāze	ground
basisschool	pamatskola	primary school
basket	grozs	basket
basketbal	basketbols	basketball
bassie	bass	this is a name
bassist	basģitārists	bassist
basten	miza	bark
bataafse	batavians	batavian
battle	cīņa	battle
bauxiet	boksīts	bauxite (ore)
bay	līcis	bay
bazel	bāzele	bazel
bbc	bbc	bbc
bbp	ikp	gdp
be	būt	be
beach	pludmale	beach
beagle	bīgls	beagle
beat	pārspēt	beat
beatles	sitieni	beatles
beatrix	beatrix	beatrix
beaufort	buforts	beaufort
beautiful	skaists	beautiful
bebop	bebops	bepop
bebouwing	ēkas	buildings
bed	gulta	bed
bedacht	izdomāju	devised
bedekken	piesegt	cover
bedekt	pārklāts	covered
bedenken	izdomāt	think of
bedenker	veidotājs	creator
bediend	operēja	operated
bedoeld	paredzēts	to intend
bedoeling	nodoms	intention
bedraagt	summas	amounts
bedrag	summa	amount
bedragen	summas	amounts
bedreigd	draudēja	threatened
bedreigde	draudēja	endangered
bedreiging	draudi	threat
bedreigingen	draudiem	threats
bedreven	lietpratīgs	proficient
bedrijf	uzņēmums	company
bedrijfsleven	bizness	businesslife
bedrijven	uzņēmumiem	companies
bedroeg	sasniedza	was
beek	strauts	beek
beeld	statuja	picture
beelden	attēlus	images
beeldende	vizuālais	visual
beeldhouwer	tēlnieks	sculptur
beeldhouwkunst	skulptūra	masonry
beeldhouwwerken	skulptūras	sculpltures
been	kāju	leg
beer	lācis	beer
beet	iekost	bite
beethoven	bēthovens	beethoven
beetje	mazliet	sort of
befaamde	slavens	famous
begaan	izdarīt	commit
begeleid	vadīts	accompanied
begijnhof	beguinage	beguinage
begin	sāc	beginning
beginjaren	pirmajos gados	beginning years
beginnen	sākt	begin
beginnende	iesācējs	beginning
beginperiode	sākuma periods	beginning of period
beginselen	principi	principles
begint	sākas	begins
begon	sākās	began
begonnen	sākās	started
begraafplaats	kapsēta	cemetary
begrafenis	bēres	funeral
begraven	aprakt	bury
begrensd	ierobežots	limited
begrepen	saprata	understood
begrijpen	saprast	understand
begrip	saprašana	term
begrippen	jēdzieni	standards
begroeiing	aizaugšana	flora
begroting	budžets	budget
behaald	sasniegts	obtained
behaalde	sasniegts	obtained
behalen	sasniegt	reached
behalve	izņemot	except
behandeld	apstrādāts	treated
behandelde	apstrādāts	treated
behandelen	lai ārstētu	treat
behandeling	terapija	treatment
behandelingen	procedūras	treatments
behandelt	izturas	treats
beharing	mati	hair
beheer	vadība	management
beheersen	apgūt	control
beheerst	kontrolēts	dominated
beheerste	kontrolēts	controlled
behield	saglabāts	retained
behoefte	vajag	need
behoeften	vajadzībām	needs
behoeve	mērķim	for
behoorde	piederēja	belonged
behoorden	piederēja	belonged
behoorlijk	godīgi	reasonably
behoort	pieder	is
behoren	piederēt	belong
behorende	piederība	belonging
behoud	saglabāšana	perservation
behouden	saglabāt	preserve
behulp	izmantojot	using
beide	gan	both
beiden	gan	reached
beieren	bavārija	bavaria
beierse	bavārietis	biers
bek	knābis	mouth
bekeerde	pārveidots	converted
bekeken	apskatīts	seen
bekend	zināms	known
bekende	zināms	famous
bekendgemaakt	paziņoja	published
bekendheid	slava	fame, famous
bekendst	vispazīstamākais	best known
bekendste	vispazīstamākais	known
beker	kauss	cup
bekeren	konvertēt	to convert
bekering	grēku nožēlošana	conversion
bekijken	redzēt	to look at
bekken	iegurnis	pelvis
bekritiseerd	kritizēja	criticized
bel	zvana	bell
belandde	beidzās	ended up
belang	interese	importance
belangen	intereses	interests
belangrijk	svarīgs	important
belangrijke	svarīgs	important
belangrijker	svarīgāks	more important
belangrijkste	galvenais	most important
belangstelling	interese	interest
belast	uzlādēt	charge - 2nd and 4th sentence, loaded - 6th sentence
belasting	nodoklis	burden
belastingen	nodokļi	taxes
beleefde	pieklājīgs	went through
beleg	papildināšana	siege
belegering	aplenkums	siege
beleid	politika	policy
beleven	pieredze	to see
beleving	pieredze	perception
belgae	belgas	belgae
belgen	beļģi	belgians
belgisch	beļģi	belgium
belgische	beļģi	belgian
belgië	beļģija	belgium
bell	zvans	bell
bella	bella	bella
bellamy	draņķīgs	bellamy
bellen	ciparnīca	bubbles
belofte	solīt	promise
beloofd	apsolīja	promised
beloofde	apsolīja	promised
beloop	protams	course
bemachtigen	dabūt to	obtain
bemanning	apkalpe	crew
bemanningsleden	apkalpes locekļi	crew members
bemoeilijkt	sarežģīts	bemoeiliijkt
ben	esmu	ben
benaderd	tuvojās	approach
benadering	pieeja	approach
benadrukt	uzsver	emphasizes
benaming	vārds	name
benamingen	apzīmējumi	designations
beneden	uz leju	down
benedictus	benedikt	benedictus (proper noun - first name)
benelux	beniluksa	benelux (proper noun)
benen	kājas	legs
benjamin	benjamiņš	benjamin
bennington	benningtona	bennington
benny	benny	benny
benodigde	nepieciešams	required
benoemd	iecelts	famous
benoemde	iecelts	named
benoemen	iecelt	appoint
benoeming	nominācija	nomination
bent	ir	are
benzine	benzīns	petrol
beoefend	praktizē	exerted
beoogde	paredzēts	intended
beoordeeld	novērtēts	judged
beoordeling	pārskats	judgement
bepaald	noteikts	certain
bepaalde	īpaši	defined
bepaalt	nosaka	determines
bepalen	noteikt	to determine
bepalend	noteicošais	determining / guiding
bepaling	apņēmība	condition / rule (in this context)
beperken	ierobežot	restrain
beperking	ierobežojums	limitation
beperkingen	ierobežojumi	limitations
beperkte	ierobežots	limited
bereid	sagatavots	willing
bereiden	sagatavot	prepare
bereik	diapazons	reach
bereikbaar	pieejams	accessible
bereiken	sasniegt	reach
bereikt	sasniedza	to attain or to reach
bereikte	sasniedza	reached
bereikten	sasniedza	reached
berekend	aprēķināts	calculated
berekenen	aprēķināt	calculate
berekening	aprēķins	calculation
berekeningen	aprēķini	calculations
berg	kalns	mountain
bergachtig	kalnains	mountainous
bergen	kalni	mountains
bergketen	kalnu grēda	mountain chain
bergketens	kalnu grēdas	mountain ranges
bericht	ziņa	message
berichten	ziņas	messages
berlijn	berlīns	berlin
berlijnse	berlīns	berliner
berlin	berlīns	berlijn
berliner	berliner	berliner
bern	berns	bern
bernard	bernards	bernard
bernhard	bernhards	bernhard
bernini	bernini	bernini
beroemd	slavens	famous
beroemde	slavens	famous
beroemdheden	slavenības	celebrities
beroemdste	slavenākais	most famous
beroep	profesija	profession
beroepen	profesijas	professions
beroepsonderwijs	profesionālā izglītība	vocational education
berry	oga	berry
bert	bert	bert
berucht	draņķīgi	notorius
beruchte	draņķīgi	infamous
berust	atpūšas	based
beschadigd	bojāts	damaged
beschadigen	bojāt	damage
beschadiging	bojājumi	damage
beschaving	civilizācija	civilization
beschavingen	civilizācijām	civilizations
bescheiden	pieticīgs	modest
beschermd	aizsargāts	protected
beschermde	aizsargāts	protected
beschermen	aizsargāt	protect
beschermheilige	patrons	archangel
bescherming	aizsardzība	protection
beschermt	aizsargā	protects
beschikbaar	pieejams	available
beschikbare	pieejams	available
beschikken	atbrīvoties	to own / be able to use
beschikking	lēmumu	available
beschikt	iespējas	posesses
beschikte	nolēma	have at their disposal
beschouwd	uzskatīts	seen as
beschouwde	uzskatīts	considered
beschouwden	uzskatīts	considered
beschouwen	apsveriet	see
beschouwing	apsvērums	consideration
beschouwt	uzskata	considers
beschreef	aprakstīts	described
beschreven	aprakstīts	described
beschrijft	apraksta	describes
beschrijven	aprakstīt	to describe
beschrijving	apraksts	description
beschrijvingen	apraksti	descriptions
beschuldigd	apsūdzētais	accused
beslaat	vāki	gets covered
beslag	mīkla	batter
beslissen	izlemt	to decide
beslissende	izlēmīgs	decisive
beslissing	lēmumu	decision
beslissingen	lēmumi	decisions
beslist	nolemj	decision
besloot	nolēma	decided
besloten	privāts	decided
besluit	lēmumu	decision
besluiten	izlemt	to decide
besluitvorming	lēmumu	decision-making
besmet	inficēts	infected
besmette	inficēts	contaminated
besmettelijk	infekciozs	contagious
besmetting	piesārņojums	infection
besprekingen	diskusijas	discussions
besproken	apsprieda	discussed
best	labākais	optimal
bestaan	eksistēt	remained - 2nd sentence, exist - 4th and 6th sentence
bestaande	esošie	consist
bestaansmiddelen	iztika	raw goods
bestaat	pastāv	consists
bestand	failu	agreement
bestanddelen	komponenti	constituents
bestanden	failus	files
beste	labākais	best
besteden	tērēt	to spend
besteed	pavadīts	spent
besteedde	pavadīts	payed (attention) / spent (time)
bestemd	paredzēts	destined
bestemming	galapunkts	destination
bestemmingen	galamērķiem	destinations
bestempeld	marķēts	labeled
bestond	pastāvēja	excisted
bestonden	pastāvēja	existed
bestraft	sodīts	punished
bestreden	apstrīdēts	combated
bestrijden	cīnīties	fight against
bestrijding	cīnīties	controversey
bestudeerd	studējis	studied
bestudeert	studijas	study
bestuderen	mācīties	study
besturen	kontrole	govern
besturingssysteem	operētājsistēma	operating system
bestuur	dēlis	management
bestuurd	kontrolēts	controlled
bestuurders	autovadītāji	directors
bestuurlijk	administratīvā	administrative
bestuurlijke	administratīvā	administrative
bestverkochte	labāk pārdotais	best-selling
betaald	samaksāts	paid
betaalde	samaksāts	paid
betaalt	maksā	pays
betalen	maksā	pay
betaling	samaksa	payment
betekende	domāts	ment
betekenen	nozīmē	mean
betekenis	nozīme	importance
betekenissen	nozīmes	meaning
betekent	nozīmē	means
beter	labāk	better
betere	labāk	better
beton	betona	concrete
betonnen	betona	concrete
betreden	lai ievadītu	set foot on
betreffen	bažas	relate
betreffende	kas attiecas uz	concerning
betreft	attiecībā uz	concerns
betrekkelijk	radinieks	particulary
betrekking	darbs	connection
betrekkingen	attiecības	relations
betrof	bažas	concerned
betrokken	iesaistīti	involved
betrokkenheid	iesaistīšanās	involvement
betrouwbaar	uzticama	reliable
betrouwbaarheid	uzticamība	reliability
betrouwbare	uzticama	trustworthy
betwist	apstrīdēts	disputed
