$	dollar təşkil edib	dollars
албумът	albom	album
алгоритъм	alqoritm	algorithm
алдехид	aldehid	aldehyde
александрия	i̇sgəndəriyyə	alexandria
александров	alexandrov-un	alexandrov
александър	i̇skəndər	alexander
алексей	alexey	alexei
алексий	alexius	alexy
алел	allele	allele
алеманда	alemanda	alemanda
алжир	əlcəzair	algeria
али	amma	ali
алкохол	alkoqol	alcohol
аллах	allah	allah
алпийски	alp	alpine
алпите	alp dağları	alps
алтаир	altair	altair
алтерация	dəyişdirmə	aletro
алтернативни	alternativ	alternative
алуминий	alüminium	aluminium
алфа	alfa	alpha
алфред	alfred	alfred
алън	alan	allen
аляска	alyaska	alaska
амадеус	amadeus	amadeus
амазонка	amazon	amazon
амбивалентност	ambivalence	ambivalence
америка	amerika	america
американска	amerika	american
американската	amerikalı	american
американски	amerika	american
американските	amerika	american
американския	amerikalı	american
американският	amerikalı	american
американското	amerikalı	american
американците	amerikalılar	americans
аминокиселини	amin turşuları	amino acids
аминокиселините	amin turşuları	amino acids
амоняк	ammonyak	ammonia
амплитуда	amplitüd	amplitude
амстердам	amsterdam	amsterdam
амфора	amfora	amphora
ан	bir	an
ана	ana	anna
анаконда	anakonda	anacond
анален	anal	anal
анализ	analiz	analysis
анализи	təhlil edir	analysis
ананке	ananke	ananke
анастилоза	anastiloz	anastylosis
анатомия	anatomiya	anatomy
анатомията	anatomiya	anatomy
ангажира	məşğul olur	committed
ангел	mələk	angel
ангелите	mələklər	angels
ангелов	mələklər	angelov
англ	i̇ngilis	engl.
английска	i̇ngilis	english
английската	i̇ngilis	the english
английски	i̇ngilis	english
английските	ingilis	еnglish
английския	i̇ngilis	english
английският	ingilis	english
английското	ingilis	english
англичаните	ingilis	the englishman
англия	i̇ngiltərə	england
ангола	anqola	angola
андерсън	anderson	anderson
анджелис	mələk	angeles
анди	andy	andy
андите	andes	andes
андора	andorra	andorra
андреев	andreev	andreev
андрей	andrey	andrei (name)
андромеда	andromeda	andromeda
анелия	aneliya	aneliya
анкара	ankara	ankara
анна	anna	anna
аномалии	anomaliyaları	abnormalities
аномалия	anomaliya	anomaly
анри	henri	henry
ансамбъл	ansamblı	ansamble
антантата	entente	entente
антарктида	antarktida	antarctica
антарктика	antarktida	antarctic
антверпен	antverpen	antwerp
антициклон	antiklon	antyciclone
античната	qədim	ancient
антични	antik	antique
античните	qədimləri	antique
античния	qədim	antique
античност	antik dövr	antiquity
античността	antik dövr	ancient
антон	anton	anton
антоний	entoni	anthony
антоними	antonimlər	antonyms
антонимите	antonimlər	antonyms
антонио	antonio	antonio
антъни	entoni	anthony
анубис	anubis	anubis
анус	anus	anus
ануса	anus	anus
анусът	anus	anus
анхиало	anhialo	anhialo
аорта	aorta	the aorta
аортата	aorta	aorta
апарат	aparatlar	apparatus
апарата	aparat	apparatus
апарати	qurğular	apparatus
апатит	apatit	apatite
аполо	apolo	apollo
аполон	apollon	apollo
аполония	apoloniya	apollo
апостол	həvari	apostle
апостола	həvari	apostle
април	aprel	april
априлов	aprel	aprilov
априлското	aprel	the april
ар	ar	hectare
араби	ərəb	arabs
арабите	ərəblər	arabs
арабия	ərəbistan	arabia
арабска	ərəb	arab
арабската	ərəb	arabic
арабски	ərəb	arabian
арабските	ərəb	arab
арабския	ərəb	arab
арарат	ararat	"""ararat"" is name of an summit"
арбалет	çarpazlıq	crossbow
арбалета	çarpaz	crossbow
арбалети	keçidlər	crossbows
арбалетите	keçidlər	the crossbows
арда	arda	arda
арена	arena	arena
арес	ares	ares
арестуван	həbs olundu	detained
аржентина	argentina	argentina
аристократи	aristokratlar	aristocrats
аристокрация	aristokratiya	aristocracy
аристокрацията	aristokratiya	the aristocracy
аристотел	aristotel	aristotle
аристофан	aristofanlar	aristophane
арка	arx	arch
арки	tağları	arches
армейците	ordu	reds
армения	ermənistan	armenia
арменската	erməni	armenian
арменци	ermənilər	armenians
армии	ordu	armies
армиите	ordular	armies
армия	ordu	army
армията	ordu	the army
арно	arno	arno (river)
арсенал	arsenal	arsenal
артемизия	artemisiya	arthemisia
артерии	arteriyalar	arteries
артериите	arteriyalar	arteries
артерия	arteriya	artery
артилерия	artilleriya	artillery
артър	artur	arthur
арх	arx	architect
архангел	arxangel	archangel
археологически	arxeoloji cəhətdən	archaeological
археологическите	arxeoloji	archaeological
археолозите	arxeoloqlar	the archaeologists
архиепископ	arxiyepiskop	archbishop
архим	arxim	arhim
архимед	arximed	archimedes
архипелаг	arxipelaq	archipelago
архипелага	arxipelaq	archipelago
архитект	memar	architect
архитектура	memarlıq	architecture
архитектурата	memarlıq	architecture
архитектурен	memarlıq	architectural
архитектурни	memarlıq	architectural
ас	kimi	as
асен	asen	asen
асеневци	asenevtsi	assens
асеновград	asenovgrad	asenovgrad
асирия	assuriya	assyria
асонанс	eşitmə	assonance
асоциация	dərnək	association
асоциацията	dərnək	asocciation
аспарух	asparuh	asparuh
аспарухов	asparuhov	asparuhov
аспект	aspekt	aspect
аспекти	cəhətləri	aspects
астероиди	asteroidlər	asteroids
астра	aster	astra
астроном	astronom	astronom
астрономи	astronomlar	astronomers
астрономите	astronomlar	astronomers
астрономически	astronomik olaraq	astronomical
атака	hücum	attack
атаката	hücum	attack
атаки	hücumlar	attacks
атакува	hücumlar	attacks
атанас	atanas	atanas
атанасов	atanasov	atanasov
атила	attila	attila
атина	afina	athens
атлантически	atlantik	atlantic
атлантическия	atlantik	atlantic
атлантическият	atlantik	atlantic
атлетика	atletika	athletics
атмосфера	atmosfer	atmosphere
атмосферата	atmosfer	atmosphere
атол	atoll	athol
атом	atom	atom
атома	atom	atom
атомен	atom	atomic
атоми	atomları	atoms
атомите	atomları	the atoms
атомна	atom	nuclear
атомната	atom	nuclear
атомни	atom	nuclear
атомните	atom	the nuclear
атомно	atom	nuclear
атон	aton	aton
ауди	audi	audi
аушвиц	auschwitz	auschwitz
афганистан	əfqanıstan	afghanistan
африка	afrika	africa
африканската	afrikalı	the african
африкански	afrika	african
африканските	afrika	african
афродита	afrodita	aphrodite
ахат	agat	ahat
ахейци	axeyanlar	achaean
ахил	axilles	ahil
ахмед	ahmed	ahmed
ашурбанипал	ashurbanipal	ashurpanibal
аякс	ajax	ajax
б	b	b
баал	baal	baal
баба	nənə	grandma
бавно	yavaş-yavaş	slowly
база	baza	base
базата	baza	base
бази	əsaslar	bases
базилика	bazilik	basilica
базиликата	bazilik	basilica
базира	əsaslı	bases
базирана	əsaslı	based
базирани	əsaslı	based
бай	bye	uncle
байкал	baykal	baikal
бактериалната	bakterial	bacterial
бактерии	bakteriya	bacteria
бактериите	bakteriya	bacteries
бактрия	bakteriya	bactriа
баланс	balans	balance
баланса	balans	balance
балдуин	baldwin	baldwin
балзак	balzac	balzac
бали	bali	bales
балкан	balkanlar	mountain
балкана	balkanlar	the balkan
балканите	balkanlar	the balkan
балканска	balkan	balkan
балканската	balkan	balcan
балкански	balkan	balkan
балканските	balkanlar	balkan
балканския	balkan	balkan
балсас	balsa	balsal
балтийско	baltik	baltic
балчик	balçik	balchik
бан	qadağan	ban
банани	banan	bananas
бангладеш	banqladeş	bangladesh
бани	hamam	baths
банка	bank	bank
банки	banklar	banks
банкноти	əskinaslar	banknotes
банско	bansko	bansko
баня	vanna otağı	badroom
бар	bar	bar (city)
бараж	maneə	brrage
барок	barok	baroque
барока	barok	baroque
барометър	barometr	barometer
барселона	barselona	baercelona
бас	bas	bass
басейн	hovuz	basin
басейна	hovuz	basin
басейни	uzguculuk hovuzu	pools
баскетбол	basketbol	basketball
батак	bataq	batak
батенберг	battenberg	battenberg
батерии	batareyalar	batteries
батерия	batareya	battery
батискаф	vanna otağı	bathyscaphe
батиста	batista	battista
бах	baq	bach
башибозуците	bashibozouks	turks
баща	ata	father
бащата	ata	father
бвп	üdm	gdp
бг	bg	bg
бе	olmaq	was
бедна	kasıb	poor
бедни	kasıb	poor
бедните	yoxsul	poor
бедствия	fəlakətlər	disasters
бежанци	qaçqınlar	refugees
без	olmadan	without
безгръбначни	onurğasızlar	spineless
безплатни	sərbəst	free
безплатно	pulsuz	free
безработица	işsizlik	unemployement
безработицата	işsizlik	unemployment
безспорно	mübahisəsiz	undoubtedly
бей	bəy	bej
бела	ağ	bela
беларус	belarusiya	belarus
беласица	беласица	belasitsa
белгийски	belçika	belgian
белгия	belçika	belgium
белград	belqrad	belgrade
белег	işarəsi	scar
бележи	işarələri	marks
бележка	qeyd	note
бележки	qeydlər	notes
белези	yara izləri	signs
бели	ağ	white
белини	ağartma	belini (name)
белите	ağ	white
белия	ağ	white
белоградчик	belogradchik	belogradchik
белоградчишките	belogradchik	belogradchik
белодробния	pulmoner	lung's
беломорска	egey	aegean
белтък	zülal	protein
белтъци	zülallar	protein
белтъците	zülallar	whites
бен	ben	ben
бенковски	benkovski	benkovski
бербатов	berbatov	berbatov
берлин	berlin	berlin
берлинската	berlin	berlin
берлинския	berlin	berlin
берое	beroe	beroe
берон	beron	beron
бесарабия	bessarabiya	bessarabia
бета	beta	beta
бетховен	bethoven	beethoven
беше	idi	was
бзнс	bzns	agrarian
би	olardı	will
библиография	biblioqrafiya	bibliography
библиотека	kitabxana	library
библиотеката	kitabxana	library
библиотеки	kitabxanalar	libraries
библията	bibliya	the bible
бива	baş verir	is
биват	var	are
бивш	ex	former
бивша	əvvəlki	former
бившата	əvvəlki	former
бивши	ex	former
бившите	əvvəlki	former
бившия	əvvəlki	former
бившият	əvvəlki	former
бидейки	olmaq	being
бие	döyür	beat
бизнес	biznes	business
бизнеса	biznes	the business
бийтълс	beatles	the beatles
бил	idi	was
била	idi	was
билбо	bilbo	bilbo
били	onlar idilər	were
билки	otlar	herbs
билла	faktura	billa
било	ya da	was
биогеография	biogeoqrafiya	biogeography
биография	tərcümeyi-hal	biography
биологична	bioloji	biological
биологични	bioloji	biological
биологично	bioloji olaraq	biological
биология	biologiya	biology
бирма	birma	burma
бисмарк	bismark	bismarck
бистрица	bistrica	bistrica
бит	bit	beaten
бита	bitlər	style of living
битие	olmaq	being
битка	döyüş	battle
битката	döyüş	battle
битки	döyüşlər	battles
битките	döyüşlər	battles
битови	məişət	household
битоля	bitola	bitola
биха	olardı	would
бият	qalib gəlmək	tolls
бкп	bkp	bulgarian communist party
блага	mallar	blaga
благодарение	təşəkkür edirəm	thanks
благоевград	blagoevgrad	blagoevgrad
благоприятни	əlverişli	favorable
благородни	nəcib	precious
блата	bataqlıqlar	swamp
блатия	bataqlıq	loosestrife
блекмор	qara	blackmoor
близка	yaxın	close
близката	yaxın	close
близки	yaxın	close
близките	qohumlar	close
близкия	yaxın	middle
близко	yaxın	close
близкото	yaxın	close
близнаци	əkizlər	twins
близо	yaxın	close
близост	yaxınlıq	proximity
близостта	yaxınlıq	closeness
близък	yaxın	close
блог	blog	blog
блок	blok	bloc
блокада	blokada	blockade
блокадата	blokada	blockade
блокове	bloklar	blocks
блян	xəyal	henbane
блясък	parlaqlıq	shine
боб	lobya	bob
боби	lobya	bobi
бог	allah	god
бога	allah	god
богат	zəngin	rich
богата	zəngin	rich
богатата	zənginlər	rich
богати	zəngin	rich
богатите	zənginlər	the rich
богато	zəngin	richly
богатства	sərvət	treasures
богатство	sərvət	treasure
богатството	sərvət	wealth
богдан	bogdan	bogdan
богиня	ilahə	goddess
богинята	ilahə	goddess
богове	tanrılar	gods
боговете	tanrılar	gods
богомилите	bogomils	bogomils
богородица	bakirə	mary
богородично	bakirə	mary
богословие	ilahiyyat	theology
богословски	teoloji cəhətdən	theological
боеве	döyüşlər	fightings
боевете	döyüşlər	the fights
божества	tanrılar	deities
божествена	ilahi	divine
божествената	ilahi	divine
божество	tanrı	deity
божи	allahın	god
божидар	bozhidar	bozidar
божие	allahın	god
божието	allahın	god
божилов	божилов	bojilov (name)
божия	allahın	god
божков	bütlər	bozhkov
божур	peony	poeny
бозайници	məməlilər	mammals
бозайниците	məməlilər	mammals
бои	rənglər	paints
бой	mübarizə	battle
бойко	ağıllıca	boyko
бойни	döyüş	martial
бойните	döyüş	martial
бойното	döyüş	battle
болен	xəstə	ill
болест	xəstəlikdir	disease
болести	xəstəliklər	diseases
болестите	xəstəliklər	diseases
болестта	xəstəlikdir	the disease
боливия	boliviya	bolivia
болка	ağrı	grief
болки	ağrı	aches
болни	xəstə	ill
болните	xəstələr	the sick
болница	xəstəxana	hospital
болницата	xəstəxana	hospital
болния	xəstə	the sick
болният	xəstə	patients,ill
болшевишката	bolşeviklər	bolshevik
бомба	bomba	bomb
бонапарт	bonapart	bonaparte
бор	bor	pine
борба	mübarizə	fight
борбата	mübarizə	fight
борби	mübarizələr	fights
борда	lövhə	bord
бори	döyüşlər	fights
борис	boris	boris
борислав	borislav	borislav
борисов	borisov	borisov
борса	birja	exchange
борят	mübarizə	fighting
босна	bosniya	bosnia
босфора	boğaz	bosphorus
ботев	botev	botev
ботевград	botevgrad	botevgrad
бохемия	bohemiya	bohemia
боя	çəkmək	paint
боян	боян	bojan
боянската	boyana	boyans
бпц	bpts	bulgarian orthodox church
бр	yox	edition
брад	brad	brad
бразда	kələk	groove
бразилия	braziliya	brazil
бразилската	braziliyalı	brazilian
бразилското	braziliyalı	brazilian
брак	evlilik	marriage
брака	evlilik	merriage
бракове	nigahlar	marriages
брат	qardaşı	brother
братовчед	əmiuşağı	cousin
братство	qardaşlıq	brotherhood
братя	qardaşları	brothers
братята	qardaşlar	brothers
браузъри	brauzerlər	browsers
браун	qəhvəyi	brown
брега	sahil	shore
брегова	sahil	coastline
бреговата	sahil	coast
брегове	sahillərində	shores
бреговете	sahillərində	shores
бременност	hamiləlik	pregnancy
бри	brie	bree
бригада	briqada	brigade
британия	britaniya	britain
британска	i̇ngilis	british
британската	i̇ngilislər	british
британски	i̇ngilis	british
британските	i̇ngilislər	british
британския	i̇ngilislər	british
британското	i̇ngilislər	british
британците	i̇ngilislər	british
брой	nömrə	number
бронз	bürünc	bronze
бронзовата	bürünc	bronze
бронзови	bürünc	bronze
брошови	broşlar	bedstraws
броя	saymaq	number
броят	nömrə	number
брук	dərə	brook
брус	şüa	bruce
брут	kobud	gross
брутният	kobud	the gross
брцк	brtsk	brck
брюксел	brüssel	brussels
бряг	çimərlik	shore
бряга	sahil	banks
бсп	bsp	bsp (bulgarian socialist party)
бтс	bts	bulgarian tourist union
буда	budda	buddha
будапеща	budapeşt	budapest
будизма	buddizm	budism
будизмът	buddizm	buddhism
будизъм	buddizm	buddhism
буенос	buenos	buenos
буква	məktub	letter
буквално	eynən	literally
буквата	məktub	the letter
букви	məktublar	letters
буквите	məktubları	letters
буколики	bukolik	bucolica
букурещ	buxarest	bucharest
бул	bul	boulevard
булеварди	bulvarlarda	boulevards
бунт	iğtişaş	rising
бунта	üsyan	rebellion
бунтове	iğtişaşlar	riots
бургас	burqas	burgas
бургаски	burqas	bulgarian
бургаско	burqas	burgasko
бурдж	burj	burj
буржоазия	burjua	bourgeoisie
бури	fırtına	storms
буря	fırtına	storm
буталото	piston	ratio
бутилка	şüşə	bottle
буш	kol	bush
бъбреците	böyrəklər	kidneys
бъдат	olmaq	be
бъде	olmaq	be
бъдещата	gələcək	future
бъдеще	gələcək	future
бъдещето	gələcək	future
бъдещи	gələcək	future
бъдещите	gələcək	future
бъдещия	gələcək	future
бъдещо	gələcək	future
българи	bolqarlar	bulgarians
българин	bolqar	bulgarian
българите	bolqarlar	bulgarians
българска	bolqar	bulgarian
българската	bolqar	bulgarian
български	bolqar	bulgarian
българските	bolqarlar	bulgarian
българския	bolqar	bulgarian
българският	bolqar	bulgarian
българско	bolqar	bulgarian
българското	bolqar	bulgarian
бърдо	təpə	hill
бърз	sürətli	fast
бърза	sürətli	fast
бързи	sürətli	busey
бързо	sürətli	fast
бързото	sürətli	rapid
бъртън	burton	burton
бюджет	büdcə	budget
бюджета	büdcə	the budget
бюро	yazı masası	bureau
бяга	qaçır	run
бягат	qaçmaq	flee
бягство	qaçmaq	escape
бягството	qaçış	escape
бял	ağ	white
бяла	ağ	white
бялата	ağ	white
бяло	ağ	white
бялото	ağ	white
бях	mən idim	was
в	içində	in
ва	və	st
вавилон	babil	babylon
вагината	vajina	the vagina
ваджраяна	vajrayana	vajrayana
важен	vacibdir	important
важи	etibarlıdır	true
важна	vacibdir	important
важни	vacibdir	important
важните	vacibdir	damp
важно	vacibdir	important
важност	əhəmiyyəti	importance
важността	əhəmiyyəti	importance
вазов	vazalar	vazov
ваксина	peyvənd	vaccine
вал	mil	shaft
валежи	yağıntı	rainfall
валежите	yağış yağır	rainfall
валенсия	valensiya	valencia
валентин	sevgilim	valentin
валери	valeri	valeri
вали	yağış yağır	rain
валкирии	valkirlər	valkirias
валута	valyuta	currency
валутен	valyuta	monetary
вампир	vampir	vampire
вампири	vampirlər	vampires
вампирите	vampirlər	vampires
ван	mikroavtobus	von
ванга	vanqa	vanga
вапцаров	vapartsov	vapcarov
варварски	barbar	barbarian
вардар	vardar	river vardar
вардарска	vardar	vardar
вариант	seçim	version
варианти	seçimlər	variants
вариации	dəyişmələr	variations
вариолата	çöp	smallpox
варира	dəyişir	varies
варират	dəyişmək	range
варна	varna	varna
варненска	varna	varna
варненско	varna	varna
варовик	əhəngdaşı	limestone
варовици	əhəngdaşı	limestone
вароша	вароша	verosh
варшава	varşava	warsaw
вас	sən	you
васил	reyhan	vasil
василев	vasilev	vassilev
василевс	vasilevs	vasilevs
василевса	vasilevsa	basileos
василий	reyhan	basil
ватикана	vatikanın	vatican
ваше	sizin	yours
вашингтон	vaşinqton	washington
ввс	hava qüvvələri	bbc
вдига	liftlər	lift
вдигане	qaldırma	lift
вдъхновение	ilham	inspiration
вдясно	sağa	right
вега	vega	vega
веднага	dərhal	immediately
веднъж	bir dəfə	once
везер	hava	weser
везувий	vesuvius	vesuvius
век	əsr	century
века	əsr	centuries
векове	əsrlər	ages
вековете	əsrlər	centuries
велбъжд	velbuzhd	velbujd
велик	əla	great
велика	əla	great
великата	böyük	great
великден	pasxa	easter
велики	əla	great
великите	böyük	great
великия	böyük	great
великият	böyük	great
велико	əla	veliko
великобритания	böyük britaniya	united kingdom
великолепни	möhtəşəm	great
великото	böyük	grand
велинград	velinqrad	velingrad
величина	böyüklük	value, size
величков	böyüklər	velichkov
вена	damar	vein
венера	venera	venus
венец	çələng	wreath
венеция	venesiya	venice
венецуела	venesuela	venezuela
вени	damarlar	veins
вените	damarlar	veins
верига	zəncir	chain
веригата	zəncir	chain
вериги	zəncirlər	chains
веригите	zəncirlər	chains
вермахта	wehrmacht	wehrmacht
вероизповедание	din	cult
вероизповедания	din	denominations
верона	verona	verona
вероятно	yəqin ki	probably
вероятност	ehtimal	likely
вероятността	ehtimal	likely
версии	versiya	versions
версия	versiya	version
вертикални	şaquli	vertical
веселин	şən	veselin
веспасиан	vespasian	vespasian (name)
вестник	qəzet	newspaper
вестници	qəzetlər	newspapers
вестниците	qəzetlər	newspapers
ветрове	küləklər	winds
ветровете	küləklər	winds
вече	onsuz da	already
вечен	əbədi	eternal
вечер	axşam	evening
вечерта	axşam	in the evening
вечеря	şam yeməyi	dinner
вещества	maddələr	substances
веществата	maddələr	substances
вещество	maddə	substance
веществото	maddə	substance
вж	görmək	see
взаимно	qarşılıqlı	mutually
взаимодейства	qarşılıqlı təsir	interact
взаимодействие	qarşılıqlı əlaqə	interaction
взаимодействието	qarşılıqlı əlaqə	interaction
взаимодействия	qarşılıqlı təsir	interactions
взаимоотношения	münasibətlər	relationships
взел	aldı	taken
взема	alır	take off
вземат	götürmək	into
вземе	götürmək	take
взета	qəbul	taken
взети	qəbul	taken
взето	qəbul	taken
взима	alır	take
взимат	götürmək	take
ви	sən	you
виа	vasitəsilə	via
вид	mehriban	type
вида	növlər	type
видео	video	video
види	görmək	see
видим	biz görürük	visible
видима	görünən	visible
видими	görünən	visible
видимо	görünən	apparently
видин	vidin	vidin
видински	vidin	vidin
видинското	vidin bölgəsi	vidin
видни	görkəmli	prominent
видове	növlər	species
видовете	növlər	tipes
видът	növlər	type
видял	gördüm	seen
видят	görmək	see
виена	vyana	viena
виетнам	vyetnam	viertnam
виетнамската	vyetnam	vietnam
виж	görmək	look
вижда	görür	sees
виждайки	görən	seeing
виждат	görürlər	see
вижте	baxmaq	see
византийска	bizans	byzantine
византийската	bizans	bizantinum
византийски	bizans	byzantine
византийските	bizans	byzantine
византийския	bizans	byzantine
византийският	bizans	the byzantine
византийско	bizans	byzantine
византийското	bizans	byzantine
византийци	bizanslılar	byzantines
византийците	bizanslılar	byzantines
византия	bizans	bysanthia
виктор	viktor	victor
виктория	viktoriya	victoria (name)
вила	villa	vila
вилхелм	vilhelm	wilhelm
вина	təqsir	fault
винаги	həmişə	always
вината	təqsir	guilt
вино	şərab	vine
виното	şərab	the wine
винсент	vincent	vincent
винчи	qazan	vinci
вироид	viroid	viroid
виртуална	virtual	virtual
вирус	virus	virus
вируса	virus	virus
вируси	viruslar	viruses
вирусите	viruslar	viruses
вирусът	virus	virus
висок	yüksəkdir	high
висока	yüksəkdir	high
високата	yüksəkdir	high
високи	yüksəkdir	high
високите	yüksəkdir	high
високо	yüksəkdir	high
високото	yüksəkdir	high
височина	hündürlük	height
височината	hündürlüyü	height
висш	ali	high
висша	ali	higher, premier
висше	yüksəkdir	higher
висши	ali	higher
висшите	ali	high rank
вит	vit	vit
витамин	vitamin	vitamine
витамини	vitaminlər	vitamines
витлеем	витлеем	vitleem
витоша	витоша	vitosha
вихрен	qasırğa	vihren
вишну	albalı	vishnu
вк	inc	newspaper
вкарва	ballar	gives
вкл	daxil olmaqla	included
включва	daxildir	includes
включване	işə sal	inclusion
включват	daxildir	include
включващ	daxil olmaqla	containing
включваща	daxil olmaqla	including
включващи	daxil olmaqla	include
включен	daxil edilmişdir	included
включена	daxil edilmişdir	included
включени	daxil edilmişdir	included
включително	daxil olmaqla	including
вкус	dadına baxın	taste
вкуса	dadına baxın	taste
влага	nəm	moisture
влагалището	vajina	the vagina
владее	sahibdir	rules
владение	sahiblik	possession
владения	sahiblik	possessions
владетел	hökmdar	ruler
владетели	hökmdarlar	rulers
владетелите	hökmdarlar	rulers
владетеля	hökmdar	ruler
владетелят	hökmdar	ruler
владеят	qayda	command
владимир	vladimir	vladimir
владислав	vladislav	vladislav
владичество	qayda	rule
влажен	nəm	wet
влажна	nəm	wet
влажност	rütubət	humidity
влак	qatar	train
влакна	liflər	fibres
власт	güc	power
властелинът	hökümdar, kral	lord
власти	səlahiyyətlilər	authorities
властите	səlahiyyətlilər	authorities
властта	güc	authority
влезе	girdi	enter
влечуги	sürünənlər	reptiles
влечугите	sürünənlər	reptiles
влива	infuziya	flows
вливат	infuziya	flow
влиза	girir	enters
влизане	giriş	entry
влизането	giriş	enforcement
влизат	girmək	enter
влияе	təsir edir	affect
влияние	təsir	influence
влиянието	təsir	influence
влияния	təsirləri	influences
влияят	təsir edir	affect
влошава	pisləşdirir	worsen
влюбва	aşiq olur	falls
вместо	əvəzinə	instead
вмро	ölmüş	imro
внася	idxal edir	submit
внасят	gətir	import
внезапно	birdən	suddenly
внимание	diqqət	attention
вниманието	diqqət	the attention
внимателно	diqqətlə	carefully
внос	idxal	import
во	içində	in
вода	su	water
водата	su	water
водач	bələdçi	leader
водачи	liderlər	leaders
водачите	sürücülər	leaders
воден	su	water
водена	rəhbərlik etdi	leaded
водени	rəhbər	water
водещ	aparıcı	leading
водеща	aparıcı	leading
водещи	aparıcı	leading
водещите	aparıcı	leading
води	su	water
водите	su	the waters
водна	su	water
водната	su	water
водни	su	water
водните	su	water
водопад	şəlalə	waterfall
водопада	şəlalə	waterfall
водопади	şəlalələr	waterfalls
водопадът	şəlalə	waterfall
водорасли	dəniz yosunu	algae
водород	hidrogen	hydrogen
водорода	hidrogen	hydrogen
водят	qurğuşun	link
военачалник	hərbi rəhbər	captain
военен	hərbi	military
военна	hərbi	military
военната	hərbi	military
военни	hərbi	military
военните	hərbi	millitary
военния	hərbi	military
военно	hərbi	military
военновъздушни	hava qüvvələri	military air
военноморски	dəniz	marine
военното	hərbi	military
вожд	lider	chief
воин	döyüşçü	soldier
воини	döyüşçülər	soldiers
войвода	voivode	chieftain
войводата	şahzadə	chieftain
войводство	voivodship	voivodeship
война	müharibə	war
войната	müharibə	the war
войни	müharibələr	wars
войник	əsgər	soldier
войните	müharibələr	wars
войници	əsgərlər	soldiers
войниците	əsgərlər	soldiers
войска	ordu	army
войската	ordu	the army
войски	qoşunlar	armies
войските	qoşunlar	the troops
волга	volqa	volga
волейбол	voleybol	volleyball
волен	sərbəst	gusty
волжка	volqa	volga
волфганг	canavar	wolfgang
воля	edəcək	will
волята	iradə	will
вояджър	səyahətçi	voyager
впечатление	təəssürat	impression
впоследствие	nəticə olaraq	subsequently
враг	düşmən	enemy
врагове	düşmənləri	foes
