aajo	löjlig	hospitality
aseyori	framgång	success
asipa	avvikelse	first to kill
assessment	bedömning	ayewo
asìko	dumheter	time; ni asiko=when
asèdá	den naturliga	origination
atangbona	atom	emission
atanna	atom	emitter
atigba	tillåtlig	from time
atimo	planen	inland
atinrin	skrattande	thin
atun	spola tillbaka	also
atunse	korrektion	revision
australia	australien	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	austronesian	austronesian
austríà	australien	austria
avar	avar	avar
awari	upptäckt	discovery
awo	tallrik	of
awonara	känsla	people of
awoòn	mall	people
awon	dem	they
awuruju	magisk	shady
awùjo	artighet	society
awújẹ	skandal	root
aya	vers	chest
ayeye	evighet	celebration
ayàfi	det är okej	only if
ayò	ay	game
azikiwe	sunt förnuft	azikwe
aṣòkan	enskild	united
baa	är	be with
babaláwo	säljaren	herbalist
bahrain	bahrain	bahrain
balẹ̀	låt honom vara	settled
bang	smäll	bang
banle	banle	banle
bara	förra året	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	nu	like this
bayìí	nu	this
bce	bort	bce
beauharnais	beauharnais	beauharnais
beijing	beijing	beijing
belarus	vitryssland	belarus
belgium	belgien	belgium
bengal	bengal	bengal
bengali	bengali	bengal
benin	bänk	benin
berber	berber	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	kom tillbaka	bharata
bibeli	bibel	bible
biribiri	krossades	intense
black	svart	dudu
bodies	kroppar	ara
bojú	ta en titt	take care
bole	bole	ground
bolt	bult	bolt
bolívar	bolívar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	bridge	bridgeport
britain	storbritannien	britain
brítánì	british	britain
bu	det är	give
buenaventura	buenaventura	buenaventura
bujumbura	expanderat	bujumbura
burúkú	ondska	bad
by	förbi	does not translate directly, does not exist
bàbá	fadern	father
bákannáà	också	likewise
bálè	ballong	lying on the ground
bárakú	missbruk	habitual
báyìí	nu	this
bèrẹ̀	till att börja med	started
béè	precis så	than
bòtswánà	bussen	botswana
búburú	dålig	bad
búrú	var modig	wicked
bẹ̀rẹ̀	för att starta	started
bẹ́	pank	also
bẹ́ljíọ̀m	beryll	belgium
bẹ́ẹ̀ni	ja	yes
bẹ́ẹ̀sìni	ja	that is it
cairo	rasa	cairo
calabar	tuggummi	calabar
canaria	canaria	canaria
cape	cape	cape
casablanca	casablanca	casablanca
caslon	kasino	caslon
cathedral	katedral	cathedral (katidral)
catherine	catherine	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	charles	charles
chaskalson	chaskalson	chaskalson
chebbi	tror	chebbi
cherished	omhuldade	mu lokunkundun
china	kina	china
cipollone	cipollone	cipollone
clear	klar	danmanran
code	koda	code
coetsee	coetsee	coetese
coloured	färgad	alawo dudu
coming	kommande	yo jade
compared	jämfört	does not directly translate
computers	datorer	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	hals	cunha
da	och	back; but in this form it is unnecessary
dagbasoke	väx upp	developing
dandan	obligatorisk	a must
dani	innehav	hand-held
darapo	ansluta sig	joinedd
daru	förstöra	scattered
dates	datum	pada si
delhi	låt bli	delhi
denver	denver	denver
des	des	des
describes	beskriver	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	utveckling	idagbasoke
didagba	jämlikhet	growing
didasile	etablering	established
different	annorlunda	iyato
din	fritera	reduced
dinwoju	slå upp	suitable
divoire	divoire	d'ivoire
doju	ansikte mot ansikte	face
dojú	ansikte mot ansikte	turn face (full phrase is doju ko, to face)
dominic	dominic	dominic
doni	doni	this day
dote	dote	rebel
doublehelix	dubbel helix	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	dover	dova
du	du	hustle
due	på grund av	nitori
dun	gott	sound
dàbíi	så här	like
dàpò	byt ut dem	mix
dá	skapad	intervene
dágbó	gammal ålder	forest
dájó	ok	pass judgement
dálóríi	tack	about
dáradára	väl	well
dásà	en casa	peculiar way of saying
dáwó	donera	undertake
dé	anlänt	reach
délànà	i princip	delana
dépò	till omfattningen	to a position
dì	ark	be
dìde	stiga upp	stand
dìró	till höger	hang on
dìtẹ̀	konspirera	rebel
díè	spänd	few
dóko	bra	upstanding
dólà	väl	dollar
dún	ljud	sound
dúró	att stå	stand (been in existence)
dọ́gba	likvärdig	equal
ea	ja	ea
eba	eba	shore
ebi	familj	family
ecomog	ecomog	ecomog
ede	språk	language
efrem	effem	efrem
egba	absolut	cane
egbe	pistol	group
egberundun	tusen år	a thousand year
egbo	ett sår	brother
egbé	ve	party
egbò	ett sår	chemicals
egbògi	medicinsk	don't know this
eighteen	arton	ejidinlogun
eka	komplex	branch, department, part
ekeji	den andra	second
eko	utbildning	lagos
elede	grisar	speaker
eleyi	detta	this
eleyii	så här	this
elláda	skapande	ellada
eléde	abstrakt	pig
eléré	idrottare	performer
elòmírà	tång	freedom
elòmíràn	annan	another person
emerging	framväxande	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	alla	whoever
enter	stiga på	wole
enì	elefant	person
eníbá	feber	such person
epa	jordnöt	groundnut
ernst	ernst	ernst
erofo	sediment	swamp
erékùsù	ö	island
eréonítàn	akronym	written play
eseese	diagram	step by step
esia	kommer	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	kusten	beach
euro	euro	euro
euroasia	euroasia	uro-esia
ewe	blad	ewe
ewé	blad	leaf
ewì	poesi	traditional poem
example	exempel	apere
eya	kategori	tribe
eyin	ägg	previous
eyonomba	eyonomba	digit
eléja	fiske	fisherman
elòmíràn	någon annan	another person
eka	effekt	branches
eléyàmèyà	etnicitet	tribalism
enu	port	mouth
esin	religion	horse
esè	vinning	leg
ewà	av uppförande	beauty
fagile	inställt	cancel
fail	misslyckas	padanu
fan	fläkt	spread
faramó	hålla fast vid	accept
faranse	franska	french
farsi	arti	farsi
felifeli	sammet	fuming
ferde	ferde	verde
fesèmúlè	provisorisk källa	established
fe	efterlyst	want
fi	spara	by
fifihan	som visar	revealed
fihan	indikerade	shows, to show
fimú	tydligt definierat	captivate with
finiki	fysik	finiki
finlandi	finland	finland
fitino	rättegång	judgement
five	fem	marun
fodio	fodio	fodio
fofinde	förbjuda	prohibited
fohùn	skrika	consent
foniimu	filma	phoneme
force	tvinga	agbara
foriko	till exempel	agreed
fourbase	fourbase	onidi-merin
fowobowe	bokning	signed
fowó	för pengar	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	franska	france
freetown	freetown	freetown
fuji	avlägsna	fuji
fulani	feg	fulani
fulbe	ful	fulbe
fun	för	for
funra	sig	suspect
further	ytterligare	si
fé	fé	like
fé	fé	want
fégbé	glöm det	for peers
fífò	flygande	jumping
fífún	ger	giving
fòye	förstå	rationalise
fẹ́rẹ̀ẹ́	nästan	nearly
galatia	den här gången	galatia
gba	hålla med	accept
gbajúgbujà	är mycket populär	popular
gbale	popularitet	flourished
gbaná	skjut ut	engulf in flame/rage
gbe	bära	set up
gbera	gå vidare	move
gberasoke	öka farten	rising
gbese	skuld	debt
gbigbamulo	utnyttjande	adopted
gbigbewo	finansiering	examined
gbilè	bryta ut	gaining ground
gbin	planterade	farm
gbogbogbo	allmän	general
gbongbo	rot	root
gbàgbọ́	tro	believe
gbàgùrà	skakade	gbagura
gbá	smash	received
gbáradì	gå upp	prepare
gbé	leva	convey
gbédìí	slå fast	respect
gbékalè	snickare	establish
gbéni	leva	lift
gbéyèwò	recension	examine
gbésè	erbjudande	die
gbìnyànjú	prova	endeavour
gbìyànju	försök hårt	try
gbódò	måste	must
gbónmisi	lag	strife
gbúnùn	lukta på det	hostile
gbọ́dọ̀	måste	must
geesi	engelsk	english
geneva	geneva	geneva
genevieve	genevieve	genevieve
georgia	georgien	georgia
german	tysk	german
gfaj	gfaj	gfaj
ghana	ghana	ghana
gidigidi	mycket	significantly
gidí	hus	real
goemai	goemai	goemai
gomina	guvernör	governor
gorgina	örnen	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	grekisk	greek
groove	räffla	iho
guanínì	guanni	guanine
guinea	guinea	guinea
guineabissau	guinea-bissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	lång	stretch
gunle	pistol	arrive
guusu	söder	south
gv	gv	gv
gèésì	lim	english
gèésì	pärla	english
gégé	verkligen	like
gírámà	gramps	grammar
gòkè	gå upp	climb
gún	pierced	properly
gúúsù	söder	south
gẹ̀ẹ́sì	engelsk	english
habsburg	habsburg	habsburg
haggai	guide	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	hård	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	godis	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	höll med	hesse
him	honom	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	hk	hp
hugh	hugh	hugh
hun	hun	knit
hungari	svält	hungary
hv	hv	hv
ibalo	affär	relationship
ibarepo	förening	friendship
ibeji	tvillingar	twins
ibewo	har kommit	visit
ibiamusin	fristad	colony
ibile	traditionell	municipality
ibimo	födelse	birth
ibise	träna	official
ibiti	platser	where
ibn	ibn	ibn
ibojì	grav	burial ground
ibori	slöja	conquest
ibujoko	bänk	place of abode
ibuseripadabosi	ersättning	eternity
ibuso	att slåss	bus stop
ibùdó	läger	settlement, seat of, area,
ibùjókòó	sittplatser	settlement
iceland	island	iceland
idagbasoke	utveckling	development
idagbe	försummelse	isolation
idaji	halv	half
idajo	rättvisa	judgement
idamita	dra	sector
idari	kontroller	control
ideraa	att skriva	comfort
idimule	gripa	establishment
idoma	teckning	idoma
idupe	tack	thanksgiving
idánwò	rättegång	examination
ifija	fiske	weapon
ifilole	lansera	resolution
ifitonileti	information	reporting
ifobaje	korruption	coronating
ifofinde	kongress	prohibition
ifriqiya	stimulering	ifriqiya
igbeduro	förberedelse	institute
igbegun	seger	declaration of war
igberiko	förorts	region
igbesoke	uppgradera	upliftment
igbeyawo	bröllop	marriage
igbowolori	dyr	inflation
igbá	kyckling	shell
igbáẹ̀yìn	den sista	shell
igitòròmogbè	bredband	willow tree
ihan	dyka upp	ray
ihinrere	evangeliet	gospel
ijagun	bekämpa	war
ijakadi	kamp	wrestling
ijaya	panik	fear
ije	rörelse	eating
ijinnasi	fysik	the wind open
ijosin	dyrkan	worship
ijó	dans	dance
ikan	ett	one of
ikandinlogun	arton	nineteen
ikaowo	respekt	finger
ikejidinlogun	arton	eighteen
ikeko	kompilering	education
ikerin	den fjärde	fourth
iketa	att ärva	third
ikoenu	att spara	union
ikojopo	ackumulation	collection
ikoreokere	skörd	migration
iku	död	death
ikúgbaèyí	nu	death-has-this
ikún	fyllning	squirrel or wild rodent
ilagbolojo	publicitet	latitude
ilana	procedur	procedure
ilanaoye	strategier	knowledge procedure
ilaodo	skydda	cana
ilaorun	soluppgång	west
ileasofin	lagstiftande	house of law,
ilegiga	hem	higher ground or higher plain
ileife	försummelse	ile-ife
ileigbimo	samtycke	house of assembly/congress
ileobaluaye	världen	high chief
ileru	ugn	volcanic
ilopo	dubbel-	times
iluoba	medborgarskap	king's town
iluorilejoba	globaliseringen	capital city
ilé	hem	house
iléayé	hem	earth
iléisé	hem	workplace
ilélódò	huset	ile-lodo
iléàtèéré	hem	ile-ateere
iléńlá	gård	ile-nla (area)
ilẹ	jord	land
ilẹ̀ayé	jorden	the world
iminle	att arrestera	earthquake
imoero	lighte	engineering
imojuto	vård	protection
imusin	dra	colony
imú	näsa	nose
imúnisìn	hygien	slavery
inagberingberi	jordnötssmör	electromagnetic force
indeed	verkligen	paapa julo
indus	indus	indus
inkosi	att motivera	inkosi
integration	integration	ifowosowopo
inágbéringbérin	sjutton	electromagnet
iní	arv	possession
inúnibíni	förföljelse	hatred
ioja	fisk	fight
ioniani	behövande	ionian
iowa	på jorden	iowa
ipare	blekna	abolition
ipawo	användningar	income
ipele	nivå	stage
ipin	kapitel	share
ipinpa	deltagande	arm of, branch of
ipinu	beslut	determination
ipo	plats	position
ipá	tvinga	effort
iraja	upprörande	bargaining
iranlose	bistånd	mission
ire	försäljning	you
irele	ödmjukhet	irele
iringa	sammanfatta	iringa
irisi	utseende	appearance
irorun	väldigt enkelt	convenient
irò	rykte	iro
irúnmọlẹ̀	blixt-	apparition
isa	tillräckligt	jesus, isa or yisa is hausa language
isare	acceleration	track race
isedaniloro	självtvivel	terrorism
iseero	kolla på	engineering
isejoba	styrning	governance
iseoba	femton	civil service
iseoroayeijoun	arkeologi	archaeology
iseowo	företag	business
isepinpin	distribution	division
iso	att komma	unit
isoponomba	isoponomba	addition of numbers
isun	flöde	spring
isesi	överlämna	conduct
isè	service	occupation
itali	italiensk	italy
itanakole	berättelse	ancient
itelentele	tydligt	coming after
itiraka	kamp	effort
itobi	att skryta	size
itokowo	företag	economy
itorawo	liberal	astrology
itu	att kasta	solution
itumo	menande	meaning
iwadi	forskning	research
iwasi	imponera på	behaviour
iwifun	information	report
iwoile	hem	entering
iwosan	läkning	healing
iwulo	användbar	use
iwuwa	öva	behaviour
iyan	svält	argument
iyato	skillnaden	difference
iyawo	brud	wife
iyen	det är	that
iyán	gnistrande	pounded yam
iḷẹ̀	arbete	land
iṣẹ́ìwádìí	forskning	research
jabo	rapportera	give account
jackson	jackson	jackson
jadide	vänta	emerge
jagbe	försvinn	shout
jalè	stöld	steal
jamaica	youtube	jamaica
jamo	gå bort	link
jawaharlal	gungor	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	geometri	geometry
jesu	ta hand om jesus	jesus
jfk	jfk	jfk
jije	varelse	existing as
jijinna	långt	distance
jiròrò	dimmig	dialogue
jo	läcka	days
jogun	ärvt	inherit
johann	helvete	johann
johanu	förlåt	john
jojo	knäckt	great extent
jopò	var med	gathered
jo	john	resemble
juneau	juneau	juneau
jàgídíjàgan	våldsam	violent
jáde	komma ut	out
jé	komma	is
jéésù	jesus	jesus
jìnnàa	långt	further
jíje	varelse	eating
jíjuwó	tjäna pengar	waving hands
jíjéomoléyìnkírísítì	som filantrop	followers of christ
jùlo	mer än	most
jùlo	framförallt	most
jùló	mest	most
jẹ́mánì	tysk	germany
jọ́	snälla du	together
kadara	tillgång	destiny
kagera	skrytsam	kagera
kakiri	spår	all over
kalinga	cinga	kalinga
kalẹ	avsätta	established
kampala	lås	kampala
kan	en	one
kankan	ingen	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	karl	karl
karun	femte	fifth
karùún	den femte	fifth
kebbi	justerbar	kebbi
kekere	små	lower
keko	rate	learn
kept	hålls	fi pamo
khoisan	sämre	khoisan
ki	så gör	not
kiakiajulo	den snabbaste	rapidly
kiko	föra	gathering
kikojo	kompilering	gathering
kikopomo	värme	mixed
kikoso	snabb	colonised
kiko	inlärning	making
kikuninu	tänka	size
kilhar	armhåla	kilhar
kinkinni	den lilla saken	small quantity
ko	eller	don't
kodò	nedan	bow
koidu	koidu	koidu
kojá	korsa	pass
kolo	kolo	going
komputa	dator	computer
kong	kong	kong
kongo	kondom	congo
kookan	detta	one
koto	bete	pit
koko	inlärning	make heap
ko	ko	learn
kori	inte mer	not found
krio	krio	krio
ku	du	remain
kwara	adresserad	kwara
kàríbẹ́ánì	i regionen	carribean
kàyéfì	undra	amazement
ká	av	we
kánfinkése	påhittighet	prolonged
kánádà	självklart	canada
káyé	värld	world
kéesì	löjlig	keesi
kékéèké	små	small
kétu	var redo	ketu
kémíkà	tvärtom	chemical
kéyìn	senare	come after,
kìnní	först	first
kí	hälsa	not
kíko	studerar	written
kíkọ́	att lära	learning
kínu	kissing	greet
kírísìtì	jul	christ
kòjòkú	regn	kojoku
kòkó	musen	cocoa
kòmpútà	dator	computer
kòtò	en grop	pit
kòòsí	det är det inte	coaching
kòòkan	varenda en	each
kógo	ära	glorious
kóra	samla	participate
kùkú	trots allt	eventually
kùrání	koranen	quran
kúkú	trots allt	now
kúkúrú	i ett nötskal	short
kúrò	bort	away
kútò	allt	kuto (place)
kúùkù	tvärtom	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	den fjärde	4
kẹsàán	direkt	ninth
kẹta	tredje	third
kẹ́nyà	separation	kenya
kọjá	passera	pass through
kọ̀mpútà	dator	computer
kọ́kọ́	först	first
kọ́lọ́mú	kolonner	breast owner
kọ́ni	brist på	teach
laa	gå bort	will
laada	sparka	good fortune
laaka	omvänd	important
laarin	inom	between
labalaba	fjäril	butterfly
labee	under	under
lade	lade	crowned
laid	lagd	tele
laifi	fel	without
languages	språk	ede
lanka	lanka	lanka
lasile	släpp	laid out
latibe	därifrån	from there
latigbana	sedan dess	from then on
latini	latin	latin
latvia	lettland	latvia
lay	lägga	da
le	burk	can
leboa	lebo	leboa
lekun	intensifierat	open door
leo	leo	leo
lese	posta	firmly
less	mindre	okeresi
lewaju	framåt	front
lewon	fängelse	imprisonment
leyi	här är det	mispelled...should be 'leyin', after
leè	maj	can
lilelile	hardcore	tightly
lilemo	cannabis	sticky
lilongwe	lilongwe	lilongwe
lindi	lut	lindi
linear	linjär	dogba
links	länkar	eka; this is a new word and does not really exist in yoruba
lodo	äga rum	from
lojowaju	i framtiden	the future
lojukokoro	girig	covetousness
lojúgun	härjade	knee
lokunkun	energisk	in the dark
loloselu	politiskt	in politics
lopolopo	mycket	so many
loruko	namn	name
louvre	louvre	louvre
lovers	älskande	awon olufe
low	låg	diye
lo	fortsätt	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	likvärdig	more important
lààmi	tecken	sign
lààmì	tecken	significant
lábé	vikt	under
láfún	given	cassava food
láimo	utan	unknown
láké	högt	in ake
lámọ́di	förmögenhet	lamodi
lápá	del	from
lára	ont	part of
lárúbáwá	den naturliga	arabic
láì	utan	without
láíláí	aldrig	old
lèe	burk	can
lèyìn	efteråt	after
lédè	på språk	language
léebá	tillfälligtvis	catch up with it
lérìnín	snön	erin=laughter; the prefix 'l' is possesive
lérò	anledning	thought
léyin	efteråt	after
léyìn	senare	after
lérú	slaveri	enslave
lílo	utnyttjande	using
lísa	acceleration	a chieftaincy title
lítésò	sveda	literature
lóde	utanför	modern
lópez	nipez	lopez
lópó	änka	widow
lórì	hamn	on the head
lóríba	över	subdue
lóti	massa	have
lóòótò	ja	truly
lóòótọ́	verkligen	truly
ló	ló	to
lónà	på väg	in a way
lórò	i morgon	become wealthy
lọndọnu	london	london
lọ́dọọdún	årligen	yearly
lọ́jà	på marknaden	in the market
maapu	karta	map
madeira	beira	madeira
mahatma	mahatma	mahatma
makedonia	makedonien	macedonia
malabo	honung	malabo
malay	antas	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	malaysia	malaysia
mali	dag	mali
mango	mango	mango
manˈdeːla	mandelala	mandela
marcellus	marcellus	marcellus
march	mars	march
marku	den här gången	mark
mars	fördärvar	mars
maryland	maryland	maryland
maseru	svartsjuka	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	matematisk	mathematics
max	max	max
maya	nej	maya
mbabane	negativ	mbabane
means	betyder att	ona (way)
mediteraneani	medelhavs	mediterranean
mefeefa	översyn	all six
mejidinlogbon	tjugoåtta	twenty eight
mejila	tolv	twelve
meksiko	mexico	mexico
melo	hur många	some
member	medlem	ara
mercosur	mercosur	mercosur
merin	fyra	four
methodologies	metoder	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	mexico	mexico
michelle	michelle	michelle
micronesia	micronesia	micronesia
miiràn	lindra	another
mimoy	mimoy	mimoy
mimuwa	klängande	import
minnesota	minnesota	minnesota
minority	minoritet	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	kompakt	51, (mokanleladota)
mokanlelogbon	trettiotvå	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	bilkörning	morogoro
mozambique	moçambique	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	välj igen	mtwara
mughal	volym	mughal
mulẹ̀	slå fast	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	har inget emot	testament
mère	teckning	significant
méjèèjì	både	the two
mérindíláàdóta	femtiofem	forty-six
méte	fem	lip
mérìndínlógún	sexton	sixteen
mérìnlélógójì	fyrtiofyra	44
méta	tre	three
métèètà	snickare	the three
méwàá	tio	ten
ménu	tror du	verbally contribute; complete phrase= me nu ba
mímọ́	helig	holy
míràn	annan	other
míìrán	annan	other
mííràn	annan	other
mò	kunskap	know
mókólà	lim	mokola
móra	bota	with themselves
mó	m	with
múlẹ̀	håll fast	select land (farmland)
mẹ́fà	sex	6
mẹ́rkúríù	musen	mercury
mẹ́ta	tre	3
mẹ́talọ́kan	trinity	trinity
namibia	att komma	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	förbryllande	highest-spending
nawó	få dina pengar	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nephim	nefimu
neptune	neptune	neptune
nevis	nevis	nevis
ngbero	planerad	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	där	there
nibere	tidigt	earlier
nigbakan	ibland	at one time
nigbà	sedan	when
nijẹr	nike	niger
nilè	här	remaining
nisinyi	nu	at present
nitoriidieyi	på grund av detta	because of this
nitoripe	därför att	because
nitosi	närliggande	nearby
niwaju	ett huvud	in front of
niyato	skilja på	unlike
niye	tillräckligt	in number
niyi	här är det	these
nkan	sak	things
nkàn	cancer	something
nnaji	farbror	nnaji
nobel	nobel	nobel
nombamewa	multiplicerande	decimal
nombáméjì	de första två	two-number
novo	novo	novo
nri	mat	nri
nse	design	acting
nso	nära	saying
nsolaboraro	säkerhet	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	punkt	indicates
nu	rena	in
nukleotidi	nukleotid	nucleotides
nukleotidipupo	nukleotid	cell
numeri	domningar	numbers
nwa	bebis	drill
nàìjíríà	i nigeria	nigeria
náwo	bekostnad	spend money
náà	för	that
nì	fjäll	is
nìnú	förlåt	in
nìyí	detta är det	this is
ní	ha	on
níbè	där	there
níbè	där	there
nífẹ̀ẹ́	att älska	love
nígbàtí	när	when
nílè	nedan	on the ground
nílùú	i staden	in the town
nílẹ̀	på marken	in the land
nínlá	bra	large
nínu	chans	in
níní	att ha	having
nípà	minst	by
nítorípé	därför att	because
nítumò	menande	meaningful
nítòsí	närliggande	nearby
nítòótó	exakt	truly
nítòótọ́	verkligen	in truth, truthfully
níwájú	ett huvud	in front
níyanjú	positivt	solved
nǹkan	sak	things
nso	kommer snart	say
oba	obama	king
obairanderan	kusin	hereditary
obere	små	started
obínibí	artighet	inborn
ododo	rättfärdighet	righteousness
ofin	lagen	law
ogbè	område	a divinity
ogun	krig	war
ogunlogo	folkmassan	hundreds
ojo	ser ut som	day
ojojumo	dagligen	daily
ojoru	värme	wednesday
ojukokoro	covetousness	covetousness
ojuoorun	solnedgång	atmosphere
ojuse	ansvar	responsibility
ojùkòsì	nederbörd	ojukosi
ojùkòtúu	nederbörd	ojukotuu
ojúlùmọ̀	bekanta	acquaintance
ojútáyé	viskositet	public
ojúìwé	sida	page
okeere	utomlands	distant
okhotsk	okhotsk	okhotsk
oko	fält	farm
okunkun	mörker	darkness
okunrin	mannen	male person
olodiajodojuko	varandra	facing wall
olohun	ägare	god
olojukanna	omedelbart	same surface
olokunkun	hörlurar	popular
ololugbe	förlorare	occupants
olopon	högdragen	a local game
olora	fett	fertile
oloselukan	hallå	one political
oloye	geni	chief
oluda	skapare	creator
oludase	producent	separatist
olukoitan	instruktör	the writer
olukowe	författare	writer
olumojuto	girig	overseer
