$	dollar təşkil edib	(dollar sign)
actuel	cərəyan	current
actuelle	cərəyan	current
actuellement	hal hazırda	current
actuelles	cərəyan	current
actuels	cərəyan	current
adam	adam	adam
adams	adams	adams
adaptation	uyğunlaşma	adaptation
adaptations	uyğunlaşmalar	adaptations
adapté	uyğunlaşdırılmışdır	adapted
adaptée	uyğunlaşdırılmışdır	adapted
adaptées	uyğunlaşdırılmışdır	suited
adaptés	uyğunlaşdırılmışdır	adapted
adhésion	üzvlük	adhesion
adjoint	köməkçi	assistant
admet	etiraf edir	admits
administratif	inzibati	administrative
administratifs	inzibati	administrative
administration	idarəetmə	administration
administrations	idarələr	administrations
administrative	inzibati	administrative
administratives	inzibati	administration
admiration	heyranlıq	admiration
admis	qəbul etdi	accept
adn	dna	dna
adolescence	yetkinlik	adolescence
adolescent	yeniyetmə	teenager
adolescents	yeniyetmələr	teenagers
adolf	adolf	adolf
adopte	övladlığa götürür	adopt
adopter	övladlığa götürmək	adopt
adopté	qəbul edilmişdir	adopted
adoptée	qəbul edilmişdir	adopted
adresse	ünvanı	address
adresses	ünvanları	addresses
adulte	böyüklər	adult
adultes	böyüklər	adults
adversaire	düşmən	adversary
adversaires	əleyhdarları	adversaries
affaibli	zəiflədi	weakened
affaire	iş	case
affaires	iş	scandals
affecte	təsir edir	affect
affecté	təsirləndi	affects
affiche	afişa	poster
affiches	plakatlar	posters
affiliation	mənsubiyyət	affiliation
affirmant	iddia edir	declaring
affirme	deyir	assert
affirment	iddia	maintain
affirmer	təsdiq etmək	assert
affirmé	təsdiqlədi	declared
affronte	qarşıdurma	fights
affronter	qarşıdurma	confront
afghanistan	əfqanıstan	afghanistan
afin	belə	to
africain	afrika	african
africaine	afrika	african
africaines	afrika	african
africains	afrika	aficans
afrique	afrika	africa
afro-asiatique	afro-asiya	of africa & asia
afroaméricain	afrika amerikan	afro-american
age	yaş	age
agence	agentlik	agency
agences	agentlikləri	agencies
agent	agent	agent
agents	agentlər	agents
agglomération	aqlomerasiya	metropolis
agglomérations	aqlomerasiyalar	settlements
agir	hərəkət etmək	act
agit	fəaliyyət göstərir	acts
agricole	kənd təsərrüfatı	agricultural
agricoles	kənd təsərrüfatı	agricultural
agriculture	əkinçilik	farming
ahmed	ahmed	ahmed
ai	var	have
aide	kömək	aid
aider	kömək etmək	help
aides	köməkçilər	aid
aidé	kömək etdi	helped
aient	var	had
aiguë	kəskin	acute
ailes	qanadlar	wings
ailleurs	başqa yerdə	otherwise or furthermore
aime	sevgi	love
aimé	sevildi	loved
ainsi	belə	also
air	hava	air
airbus	airbus	airbus
aire	sahəsi	saccompagne
aires	sahələr	areas
airs	melodiyalar	sky
aisément	asanlıqla	easily
ait	var	has
ajoutant	əlavə edir	adding
ajoute	əlavə edin	add
ajouter	əlavə edin	add
ajouté	əlavə etdi	added
ajoutée	əlavə etdi	added
akon	akon	akon
al	əl	al
alain	alain	alain
alan	alan	alan
albanais	alban	albanian
albert	albert	albert
alberto	alberto	alberto
albin	albin	albin
album	albom	album
albums	albomlar	albums
alentours	ətrafı	vicinity, environs
alex	alex	alex
alexander	i̇skəndər	alexander
alexandre	i̇skəndər	alexander
alexandrie	i̇sgəndəriyyə	alexandria
alfred	alfred	alfred
alger	cəbhəçilər	alger
algérie	əlcəzair	algeria
algérien	əlcəzair	algerian
algérienne	əlcəzair	algerian
algériens	əlcəzairlilər	algerian
ali	əli	ali
alias	ləqəb	alias
alice	alice	alice
alimentaire	yemək	alimentary
alimentaires	yemək	food
alimentation	yemək	food
aliments	yemək	food
alive	diri	alive
allah	allah	allah
allaient	gedirdilər	were going to
allait	gedirdi	will
allan	allan	allan
allant	gedir	going
allemagne	almaniya	allemagne
allemand	alman	german
allemandes	alman	german
allemands	alman	german
allen	allen	allen
aller	get	go
alliages	ərintilər	alloy
alliance	ittifaq	alliance
alliances	ittifaqlar	alliance
allié	müttəfiq	allied
alliées	müttəfiqlər	allied
alliés	müttəfiqlər	allies
allusion	işarə	allusion
alors	belə	and so
alpes	alplar	alps
alpha	alfa	alpha
alphabet	əlifba	alphabet
alphonse	əlifba	alponse
alsace	elsas	alsace
alsacien	alsatian	alsacian
alsacienne	alsatian	alsacian
alsaciens	alsatians	alsacian
alternatif	alternativ	alternative
alternative	alternativ	alternative
alternatives	alternativlər	alternatives
altitude	hündürlük	altitude
aléatoire	təsadüfi	random
amants	sevənlər	lovers
amateur	həvəskar	amateur
amateurs	sevənlər	amateurs
ambiance	havası	environment
ambitieux	iddialı	ambitious
ambition	iddialı	ambition
amené	gətirdi	brought
america	amerika	america
american	amerikalı	american
ami	dost	friend
amie	dost	friend
aminés	aminlər	amino
amis	dostlar	friends
amitié	dostluq	friendship
amour	sevgi	amour
amoureuse	eşq içində	lovely
amoureux	sevənlər	in love
amours	sevir	love affairs
ampleur	böyüklük	magnitude
amsterdam	amsterdam	amsterdam
amène	gətir	brings
amélioration	təkmilləşdirilməsi	improvement
améliorer	yaxşılaşdırmaq	to improve
aménagements	şəraiti	set-up
américain	amerikalı	american
américaine	amerikalı	american
américaines	amerikalı	u.s.
américains	amerikalı	american
amérindiens	yerli amerikalı	american indians
amérique	amerika	america
amériques	amerika	america
an	il	year
analogue	analoq	analogous
analyse	analiz	analysis
analyses	təhlil edir	analyzes
ancien	köhnə	ancient
ancienne	köhnə	ancient
anciennement	əvvəllər	formerly
anciennes	köhnə	ancient
anciens	köhnə	ancient
ancêtre	ata	ancestor
ancêtres	atalar	ancestors
and	və	and
anderson	anderson	anderson
andes	andlar	andes
andrea	andrea	andrea (man's name)
andrew	andrew	andrew
andromède	andromeda	andromede
andré	andré	andre
andy	andy	andy
anecdotes	lətifələr	anecdotes
angel	mələk	angel
angeles	mələklər	angeles
angelina	angelina	angelina
anges	mələklər	angels
anglais	ingilis	english
anglaise	ingilis	english
anglaises	i̇ngilis	english
angle	bucaq	angle
angles	açılar	angle
angleterre	ingilis	england
anglophone	i̇ngilis dilində danışan	englis-speaking
anglophones	i̇ngilis dilində danışanlar	english-speaking
anglosaxons	anglosaksonlar	anglosaxons
animal	heyvan	animal
animale	heyvan	animal
animales	heyvan	animals
animation	əyləncə	animation
animaux	heyvanlar	animals
anime	anime	animate
animé	canlı	animated
animée	canlı	animated
animés	cizgi	motion
ann	ann	ann
anna	anna	anna
anne	anne	anne
anneaux	üzüklər	rings
annexe	əlavə	annexe
annexes	əlavələr	annexes
annie	anni	annie
anniversaire	ad günü	birthday
annonce	elan	announces
annoncé	elan etdi	announced
annoncée	elan etdi	announced
annuel	illik	yearly
annuelle	illik	yearly
annuelles	illik	annual
annulé	ləğv edildi	cancelled
année	il	years
annéelà	il	that year
années	illər	years
anomalies	anomaliyaları	anormalities
anonyme	anonim	anonymous
anorchidie	anorxidizm	anorchide
ans	illər	years old
antarctique	antarktida	antarctica
antenne	antenna	antenna
antennes	antenalar	antennas
anthony	qarışqa	anthony
anthropologie	antropologiya	anthropology
anticorps	antikor	antibody
antigènes	antigenlər	antigens
antilles	antil	west indies
antique	qədim	ancient
antiques	qədim	antique
antiquité	antik dövr	antiquity
antisémite	anti-semitik	anti-semite
antoine	antuan	anthony
antonio	antonio	antonio (man's name)
antérieure	əvvəlki	previous
antérieurs	əvvəlki	former
août	avqust	august
aphrodite	afrodita	aphrodite
apogée	zirvəsi	highest point
apollo	apollo	apollo
apothécie	apoteya	apothecie
apparaissent	görünür	appear
apparait	görünür	appears
apparaît	görünür	appeared
apparaître	görünür	appear
appareil	cihaz	device
appareils	texnikası	devices
apparemment	yəqin	apparently
apparence	görünüşü	appearance
apparition	görünüşü	appearance
apparitions	görünüşlər	appearances
appartement	mənzil	flat
appartements	mənzillər	apartments
appartenance	aiddir	membership
appartenant	sahibdir	belonging
appartiennent	aiddir	belongs
appartient	aiddir	belongs
apparu	ortaya çıxdı	appeared
apparue	ortaya çıxdı	appeared
apparues	ortaya çıxdı	appeared
apparus	ortaya çıxdı	appeared
appel	zəng edin	call
appeler	zəng edin	call
appellation	apellyasiya	name
appelle	zəng edin	call
appellent	zəng edin	call
appelé	çağırdı	called
appelée	çağırdı	called
appelées	çağırdı	called
appelés	çağırdı	called
apple	alma	apple
application	tətbiqi	application
applications	tətbiqlər	applications
applique	müraciət edin	apply
appliquer	müraciət edin	apply
appliqué	tətbiq olunur	applied
appliquée	tətbiq olunur	applied
appliquées	tətbiq olunur	applied
apport	giriş	contribution
apporte	gətir	brings
apportent	gətir	bring
apporter	gətirmək	bring
apports	töhfələr	contribution
apporté	gətirdi	brought
apportées	gətirdi	brought
apprenant	öyrənmək	learner
apprend	öyrənmək	learns
apprendre	öyrənmək	learn
apprentissage	öyrənmək	learning
appris	öyrəndi	learned
approche	yanaşma	approach
approches	yaxınlaşır	approaches
approximativement	təxminən	approximately
apprécie	zövq alın	appreciate
apprécié	qiymətləndirdi	liked
appui	dəstək	support
après	sonra	after
apôtres	həvarilər	apostles
ar	ar	ar
arabe	ərəb	arab
arabes	ərəb	arab
arabie	ərəb	arabia
aragon	araqon	aragon
arbitraire	ixtiyari	arbitrary
arbre	ağac	tree
arbres	ağaclar	trees
arc	rüku	arc
archaïque	arxaik	archaic
architecte	memar	architect
architectes	memarlar	architects
architectural	memarlıq	architectural
architecture	memarlıq	architecture
archives	arxivlər	archives
archéologique	arxeoloji	archaeological
archéologiques	arxeoloji	archeological
arcs	yaylar	arches
arcsboutants	gövdələr	arch
arctique	arktik	arctic
are	var	are
argent	pul	money
argentin	argentinalı	argentinian
argentine	argentina	argentina
argument	mübahisə	plea
arguments	dəlillər	case
aristote	aristotel	aristotle
armageddon	armageddon	armageddon
armand	armand	armand
arme	silah	weapon
armes	silahlar	weapons
armoiries	gerbi	arms
armstrong	armstrong	armstrong
armé	silahlı	armed
armée	ordu	army
armées	ordular	armies
arménien	erməni	armenian
arnaud	arnaud	arnaud
arnold	zireh	arnold
arrangements	tənzimləmələr	arrangements
arrivant	gələn	arriving
arrive	gəlmək	arrive
arrivent	gəlmək	arrive
arriver	gəlmək	arrive to (achieve)
arrivé	gəldi	arrived
arrivée	gəliş	arrival
arrivés	gəldi	arrives
arrière	geri	back
arrondissement	rayonu	ward
arrondissements	mahallar	wards
arrêt	dayan	stoppage
arrêter	dayan	arrest
arrêté	həbs olundu	decree
arrêtés	həbs olundu	arrested
arsenal	arsenal	arsenal
art	sənət	art
arthur	artur	arthur
article	məqalə	article
articles	məqalələr	articles
artificielle	süni	artificial
artisans	sənətkarlar	artisans
artiste	rəssam	artist
artistes	sənətkarlar	artists
artistique	bədii	artistic
artistiques	bədii	artistic
arts	sənətlər	arts
as	ace	as
asiatique	asiya	asian
asiatiques	asiyalılar	asiatics
asie	asiya	asia
aspect	aspekt	aspect
aspects	cəhətləri	aspects
assassinat	sui-qəsd	murder
assassiné	qətlə yetirildi	murdered
assassinés	öldürüldü	assasinated
assemblée	toplaşmaq	assembly
assemblées	məclislər	assemblies
assez	kifayətdir	enough
assis	oturmuşdur	to sit down
assiste	iştirak etmək	aids
assister	iştirak etmək	witness(1st one) help (2nd) attending (for the german emperor)
assisté	kömək edir	asisted
association	dərnək	partnership
associations	dərnəklər	associations
associe	şərik	associates
associé	şərik	associated
associée	bağlıdır	associated
associées	bağlıdır	associated
associés	şəriklər	associates
assurant	təmin etmək	assuring
assure	təmin edir	ensures
assurent	təmin etmək	assure
assurer	təmin etmək	ensure
assuré	sığortalı	ensured
assurée	arxayın	ensured
astier	astier	astier
astronomique	astronomik	astronomical
asynchrone	asinxron	asynchronous
at	at	at
ateliers	emalatxanaları	workshop
athènes	afina	athens
athéna	atena	athena
atlantique	atlantik	atlantic
atlas	atlas	atlas
atmosphère	atmosfer	atmosphere
atmosphérique	atmosfer	atmospheric
atome	atom	atom
atomes	atomları	atoms
atomique	atom	atomic
atomiques	atom	atomic
atp	atp	atp
attaché	bağlıdır	attached
attachée	bağlıdır	attached
attaquant	hücum edir	attacker
attaque	hücum	attack
attaquer	hücum	attack
attaques	hücumlar	attacks
attaqué	hücum etdi	attack
atteignant	çatmaq	tu atte'ignant
atteignent	çatmaq	reach
atteindre	çatmaq	reach
atteint	çatdı	reached
atteinte	çatdı	danger
atteintes	çatdı	reached
atteints	çatdı	hit
attend	gözləyin	expected
attendant	gözləyir	waiting
attendre	gözləyin	expect
attendu	gözlənilir	expected
attentat	hücum	attack
attentats	hücumlar	attacks
attention	ehtiyatlı olun	attention
attire	cəlb edir	attracts
attirent	cəlb etmək	attract
attirer	cəlb etmək	to attract
attiré	cəlb etmişdir	drawn
attitude	münasibət	attitude
attribue	təyin edir	attribute
attribuer	təyin etmək	granted
attribué	təyin edilmişdir	attributes
attribuée	təyin edilmişdir	attributed
attribuées	təyin edilmişdir	granted
attribués	təyin edilmişdir	assigned
au	at	at
aucun	heç biri	none
aucune	heç biri	none
audelà	kənarda	beyond
audessus	yuxarıda	on top
audience	tamaşaçı	audience
audiences	tamaşaçılar	audience
audio	audio	audio
augmentant	artan	increasing
augmentation	artmaq	increase
augmente	artır	increases
augmentent	artmaq	increase
augmenter	artmaq	increase
augmenté	artdı	raised
augmentée	artdı	raised
auguste	avqust	(man's name)
augustin	augustin	augustine
aujourdhui	bu gün	today
auparavant	əvvəl	previously
auprès	ilə	bp
auquel	hansı	to which
aura	olacaq	aura
auraient	olardı	would have
aurait	olardı	would have
auront	olacaq	will
aurès	aures	aures
aus	aus	aus
auschwitz	auschwitz	auschwitz
aussi	həmçinin	also
aussitôt	dərhal	as soon as
austin	austin	austin
australie	avstraliya	australia
australien	avstraliyalı	australian
australienne	avstraliyalı	australian
australiens	avstraliyalılar	australians
autant	qədər	as much
auteur	müəllif	author
auteurs	müəlliflər	authors
authentique	orijinal	authentic
authority	səlahiyyət	authority
autisme	autizm	autism
autobiographie	tərcümeyi-hal	autobiography
autochtones	doğma	aboriginal
automatique	avtomatik	automatic
automatiquement	avtomatik olaraq	automatically
automne	düşmək	autumn
automobile	avtomobil	motorcar
autonome	muxtar	independent
autonomes	muxtar	autonomous
autonomie	muxtariyyət	autonomy
autorisation	icazə	autorisation
autorise	səlahiyyət verir	authorizes
autorisé	icazə verilir	authorised
autorisée	səlahiyyətli	authorized
autorisés	icazə verilir	authorized
autoritaire	patron	autoritary
autorité	səlahiyyət	authority
autorités	səlahiyyətlilər	authorities
autoroutes	avtomobil yolları	highways
autour	ətrafında	around
autre	digərləri	other - else - another
autrefois	əvvəllər	in the past
autrement	başqa cür	differently
autres	digərləri	other
autriche	avstriya	austria
autrichien	avstriya	austrian
autrichienne	avstriya	austrian
autrichiens	avstriyalılar	austrian
aux	üçün	at the - at the - in the
auxquelles	hansı	to which
auxquels	hansı	to which (here: on which)
avaient	idi	had
avait	idi	had
avance	əvvəlcədən	advance
avancé	qabaqcıl	advances
avancée	qabaqcıl	progress
avancées	qabaqcıl	advanced
avant	əvvəl	before
avantage	üstünlüyü	advantage
avantages	üstünlükləri	benefits
avatar	avatar	avatar
avec	ilə	with
avenir	gələcək	future
aventure	macəra	adventure
aventures	sərgüzəştləri	adventures
avenue	prospekti	avenue
aveugle	kor	blind
avion	təyyarə	plane
avions	təyyarələr	aircraft
avis	bildiriş	opinion
avocat	vəkil	lawyer
avoir	sahib olmaq	to have
avons	bizdə var	have
avoue	etiraf etmək	admits
avril	aprel	april
awards	mükafatlar	awards
axe	ox	axis
axes	baltalar	axis
ayant	olan	with
azoture	azide	azoturia
aérien	hava	aerien
aérienne	hava	aerial
aériennes	hava	aerial
aéronefs	təyyarə	aircraft
aéroport	hava limanı	airport
aéroports	hava limanları	airports
aîné	ağsaqqal	elder
b	b	b
babylone	babil	babylon
bach	baq	bach
back	geri	back
backlash	arxa cərgə	backlash
bacon	donuz	bacon
bactérie	bakteriya	bacteria
bactéries	bakteriya	bacteria
bad	pis	bad
bafta	bafta	bafta
baie	bəy	bay
bain	hamam	bath
bains	hamam	baths
baiser	öpmək	kiss
baisse	düşmək	decrease
bal	top	ball
balance	tərəzi	balance
bali	bali	bali
balkans	balkanlar	balkans
ball	top	ball
ballade	ballada	ballad
balle	güllə	ball
balles	güllələr	balls
ballet	balet	ballet
ballon	balon	balloon
baltique	baltik	baltic
balzac	balzac	balzac
bancaire	bankçılıq	banking
band	lent	band from tv
bande	lent	band
bandes	lentlər	strips
bank	bank	bank
banlieue	şəhərətrafı	suburb
banque	bank	bank
banques	banklar	banks
baptisme	vəftiz	baptist
baptiste	vəftizçi	baptist
baptisé	vəftiz olundu	baptizes
baptisée	vəftiz olundu	baptised
baptême	vəftiz	baptism
bar	bar	bar
barack	barak	barack
barbara	barbar	barbara
barbares	barbarlar	barbarians
barcelone	barselona	barcelona
bardot	hinny	bardot
baromètre	barometr	barometre
baron	baron	baron
baroque	barok	barogue
barrage	bənd	dam
barrages	bəndlər	dam
barre	bar	bar
barres	barlar	bars
barrett	barret	barnett
barrière	maneə	barrier
barry	bərə	barry
barça	barça	barça
bas	aşağı	down
base	baza	base
bases	əsasları	bases
bash	bash	bash
basilique	bazilik	basilica
basketball	basketbol	basketball
basque	bask	basque
basse	bas	bass guitar
basses	bas	low
bassin	çanaq	basin
bassins	hövzələr	basin
bassiste	bas çalğıçı	bassist
bastille	bastille	bastille
basé	əsaslı	base
basée	əsaslı	based
basées	əsaslı	based
basés	əsaslı	based
bat	yarasa	beats
bataille	döyüş	battle
batailles	döyüşlər	combats
bateau	qayıq	ship
bateaux	qayıqlar	boats
batista	batista	batista
batman	batman	batman
battant	uçan	beating
battent	döymək	beat
batterie	batareya	battery
batteur	barabançı	drummer
battle	döyüş	battle
battre	döymək	beat
battu	döyülmüş	beaten
battue	döyülmüş	beaten
baudelaire	bodelaire	baudelaire
bauer	bauer	bauer
bavière	bavariya	bavaria
bayern	bayern	bayern
bbc	bbc	bbc
bd	bd	boulevard
beach	çimərlik	beach
beatles	beatles	beatles
beau	gözəl	beauty
beaucoup	çox	a lot
beauté	gözəllik	beauty
beaux	gözəl	beautiful
beauxarts	təsviri sənət	fine-arts
beethoven	beethoven	beethoven
bel	gözəl	beautiful
belge	belçika	belgian
belges	belçikalılar	belgians
belgique	belçika	belgium
belgrade	belqrad	belgrad
bell	zəng	bell
bella	bella	bella
belle	gözəl	beautiful
belles	gözəl	beautiful
belmondo	belmondo	belmondo
ben	yaxşı	ben
bender	bükmək	bender
benjamin	ən gənc	youngest
benoit	yaxşı	benedict
benoît	xeyir verin	benoit
benzema	benzema	benzema
berbère	berber	berber
berbères	berber	berber
berceau	beşik	cradle
berger	çoban	shepherd
berlin	berlin	berlin
berlusconi	berlusconi	berlusconi
bernard	bernard	bernard
berne	yarı mast	bern
bertrand	bertrand	bertrand
besoin	ehtiyac	need
besoins	ehtiyacları	needs
beurre	kərə yağı	butter
beyoncé	beyonce	beyonce
biais	qərəz	through
bible	müqəddəs	bible
bibliographie	biblioqrafiya	bibliography
bibliothèque	kitabxana	library
bibliothèques	kitabxanalar	libraries
biblique	biblical	biblical
bien	yaxşı	all right
biens	mallar	goods
bientôt	tezliklə	coming soon
bienêtre	rifah	wellbeing
bijoux	zərgərlik	jewelry
bilan	balans hesabatı	balance sheet
bilingue	ikidilli	fluent
bill	faktura	bill
billboard	billboard	billboard
billet	bilet	ticket
billets	biletlər	tickets
billie	billi	billie
biodiversité	biomüxtəliflik	biodiversity
biographes	bioqraflar	biographers
biographie	tərcümeyi-hal	biography
biographies	tərcümeyi-halları	biographies
biologie	biologiya	biology
biologique	üzvi	biological
biologiques	üzvi	biological
bipolaire	bipolyar	bipolar
bière	pivə	beer
black	qara	black
blaise	qarqara	blaise  ( name )
blake	çırpın	blake
blanc	ağ	white
blanche	ağ	white
blanches	ağ	white
blancs	ağ	whites
blason	gerbi	emblem
bleach	ağartma	bleach
blessure	yara	injury
blessures	xəsarətlər	injuries
blessé	yaralananlar	hurt
blessés	yaralananlar	wounded
bleu	mavi	blue
bleue	mavi	blue
bleus	mavi	blue
bloc	blok	bloc
blocs	bloklar	blocks
blocus	blokada	blockade
blog	blog	blog
blogs	bloglar	blogs
blood	qan	blood
blue	mavi	blue
blues	blues	blues
bluray	qaralmaq	blu-ray
blé	buğda	wheat
bob	bob	bob
boeing	boeing	boeing
bohême	bohemiya	bohemia
boire	içmək	drink
bois	odun	wood
boisson	içmək	drink
boissons	içki	drink
boleyn	boleyn	boleyn
bolivie	boliviya	bolivia
bolt	bolt	bolt ( name )
bombardement	bombalama	bombardement
bombardements	bombalama	bombardment
bombe	bomba	bomb
bon	yaxsi	good
bonaparte	bonapart	bonaparte
bond	sıçrayış	bond
bonheur	xoşbəxtlik	happiness
bonne	yaxsi	good
bonnes	yaxsi	good
bono	bono	bono
bons	yaxsi	good
bonus	bonus	extra
booba	booba	booba
bord	kənar	seashore (first) alongside (for the 2nd) edge (for the last)
bordeaux	tünd qırmızı	bordeaux
bords	kənarları	banks
bordure	haşiyə	edge
boris	boris	boris
boston	boston	boston
botanique	botanika	botanical
bouche	ağız	mouth
bouclier	qalxan	shield
bouddha	buddha	budhha
bouddhisme	buddizm	buddhism
bouddhiste	buddist	buddhist
boulevard	bulvara	boulevard
bourbon	burbon	bourbon
bourdieu	burdieu	bourdieau
bourgeois	burjua	middle-class
bourgeoisie	burjua	bourgeoisie
bourgogne	tünd qırmızı	burgundy
bourguignons	burgundians	burgundy
bourse	pul kisəsi	stock exchange
bout	bud	part
boutiques	dükanlar	shops
bovary	bovary	bovarie
bowie	bowie	bowie
box	qutusu	boite
boxe	boks	boxing
boy	oğlan	boy
boyz	boyz	boyz
boîte	qutusu	club
brad	brad	brad
bram	bram	bram
branche	filial	sector
branches	filiallar	branches
bras	qolu	arms
break	stansiya vaqonu	break
bree	çovğun	bree
bref	qısa	bref
bregma	bregma	(medical term)
brel	brel	brel
bretagne	britaniya	brittany
breton	breton	breton
bretonne	breton	breton
bretons	bretonlar	bretons
brevet	patent	patent
brian	brian	brian
bridge	körpü	bridge
brigitte	brigitte	brigitte
brillant	parlaq	brilliant
brillante	parlaq	brilliant
britannique	britaniyalı	britannic
britanniques	britaniyalı	british
britney	britney	britney
brièvement	qısaca	briefly
bronze	bürünc	bronze
brooklyn	brooklyn	brooklyn
brothers	qardaşları	brothers
brown	qəhvəyi	brown
bruce	bruce	bruce
bruit	səs-küy	noise
brun	qəhvəyi	brown
bruno	bruno	bruno
brut	kobud	crude
bruxelles	brüssel	bruxelles
bryan	bryan	bryan
brève	qısa	brief
brésil	braziliya	brazil
brésilien	braziliyalı	brazilian
brûler	yandırmaq	"burn, burn down (to indicate ""eradicate"")"
budapest	budapeşt	budapest
budget	büdcə	budget
budgétaire	büdcə	budgetary
buffy	buffy	buffy
building	bina	constructing
bulgare	bolqar	bulgarian
bulgarie	bulqariya	bulgaria
bull	öküz	bull
bulle	köpük	ball
bulls	öküzlər	bulls
bureau	ofis	office
bureaux	ofislər	offices
burkina	burkina	burkina
burton	burton	burton
bus	avtobus	bus
bush	kol	bush
business	iş	business
buste	büstü	bust (statue)
but	qol	objective
buteur	qol vuran oyunçu	shooter
buts	qollar	goals
bwv	bwv	bwv
byzance	bizans	byzantium
byzantin	bizans	byzantine
byzantins	bizans	byzantine
bâle	bazel	bale
bâti	tikilib	built
bâtiment	bina	building
bâtiments	binalar	building
bébé	bala	baby
bémol	düz	flat
bénin	yaxşı	mild
bénéfice	qazanc	profit
bénéfices	mənfəət	benefits
bénéficie	zövq alır	benefit
bénéficient	fayda	benefit
bénéficier	fayda	benefit
bénéficié	fayda verdi	benefited
bétail	mal-qara	livestock
béton	beton	concrete
bœuf	mal əti	beef
c	c	c
ca	ki	ca
cabine	kabin	boot
cabinet	kabinet	firm
cacao	kakao	cocoa
cache	gizlət	hide
cacher	gizlət	hide
caché	gizli	hidden
cachée	gizli	hidden
cadeaux	hədiyyələr	gifts
cadet	cavan	younger
cadre	çərçivə	through
cadres	çərçivələr	frameworks
café	qəhvə	coffee
caféine	kofein	cafein
cafés	kafelər	coffees
cage	qəfəs	cage
cahier	notebook	notebook
cahiers	noutbuklar	book
caille	bıldırcın	callie
caire	qahirə	cairo
caisse	yoxlama	fund
caisses	sandıqlar	funds
calcaire	əhəngdaşı	limestone
calcium	kalsium	calcium
calcul	hesablama	calculation
calculer	hesablamaq	compute
calculs	hesablamalar	calculus
calculé	hesablanır	calculated
calendrier	təqvim	calendar
califat	xilafət	caliphate
calife	xəlifə	caliph
california	kalifornia	california
californie	kalifornia	california
calme	sakit	peace
camarades	yoldaşlar	comrades
cambodge	kamboca	cambodgia
cambridge	cambridge	cambridge
cameron	kamera	cameron
cameroun	kamera	cameroon
camille	kamil	camille
camp	düşərgə	camp
campagne	kənd	campaign
campagnes	kampaniyaları	campaigns
camps	düşərgələr	sides
campus	şəhərcik	campus
camus	camus	camus
caméra	kamera	camera
caméras	kameralar	cameras
canada	kanada	canada
canadien	kanadalı	canadian
canadienne	kanada	canadian
canadiens	kanadalılar	canadian
canal	kanal	canal
canal+	kanal +	canal+
canard	ördək	duck
canaries	kanareyka	canary islands
canaux	kanallar	channels
cancer	xərçəng	cancer
cancers	xərçəng	cancers
candidat	namizəd	candidate
