$ tỉ	milijardu dolara	$ billion
bùng	flare	"(term should be ""bùng nổ"") to break out (v.)"
bú	sisati	to suck
búa	čekić	a hammer
búi	tufti	tuft
bún	rezanci od riže	noodle
búng	lepršao	snap
bút	olovka	pseudonym
băm	hashed	hash
băn	bijes	concerned
băng	led	"(term should be ""băng giá"") freezing (adj.)"
bơ	puter	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	plivati	swim
bơm	pumpa	pump
bưu	poštarina	post office
bước	korak	a step (n.)
bướm	leptir	butterfly
bạ	kontakti	directory
bạc	srebro	meager
bạch	bijelo	"(should be ""bạch tuộc"") an octopus"
bại	izgubiti	defeated
bảng	ploča	chart
bảo	bao	protect
bảy	sedam	seventh
bấm	pritisnite	press
bất	stvaran	"(term should be ""bất cứ"") any (adj.)"
bấy	to	contemporary
bần	siromašan	poor
bầu	glasanje	vote
bầy	stado	servant
bẩm	kongenitalni	congenital
bẩn	prljav	the
bẩy	zamka	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	zamka	a trap (n.)
bậc	stepen	level or class (n.)
bận	zauzeto	busy
bật	upaljen	outstanding
bắc	sjever	beijing
bắcnam	sjever jug	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	pucati	shoot
bắp	kukuruz	venter
bắt	uhvatiti	cross
bằng	jednak	by
bẹp	zgnječiti	crush
bẻ	odmor	break
bẽ	poniženja	humiliate
bến	wharf	wharf
bếp	kuhinja	kitchen
bề	površina	"(should be ""bề mặt"") a surface"
bền	izdržljiv	enduring (v.)
bể	mehovi	tank
bệ	pijedestal	base
bện	pletenica	braided (adj.)
bệnh	bolestan	benh
bỉ	belgija	disgust
bỉnh	nestašan	binh
bịch	thump	ridiculous
bịt	pokriveno	cover
bọ	bug	insect
bọc	zamotati	to cover or enclose (v.)
bọn	njih	a group (n.)
bọng	natečenost	bladder
bọt	pjena	foam
bỏ	opozvati	to leave (v.)
bỏng	spali	hot
bố	oče	"(term should be ""tuyên bố"") to declare"
bốc	učitavanje	bốc lửa= on fire
bối	zbunjen	messy
bốn	četiri	four
bồi	naknada	"(term should be ""cao bồi"") cowboy (n.)"
bổn	dužnost	duty
bổng	stipendiju	"with word luong, means ""salary"" or ""wages"""
bỗng	odjednom	suddently
bộ	set	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	višestruko	betray
bột	brašno	powder or flour (n.)
bớ	zaokružiti	arrest
bớt	manje	less
bờ	ivica	coast
bời	kvrga	profuse
bở	od	profitable
bởi	od	because
bục	podijum	platform
bụng	želudac	abdomen
bứt	nesvesno	"(term should be ""bứt phá"") power (n.)"
bừa	drljanje	messy, careless, or topsy-turvy (adj.)
bữa	obrok	meal (n.)
bực	frustriran	bother
ca	smjena	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	ugljenik	carbon
cacbonat	karbonat	carbonate
cacbua	karbid	carbides, carbon ions
caesar	cezar	caesar
caffein	kofein	caffeine
café	kafa	coffee
cai	cai	govern
cairo	kairo	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	računica	calculus
calvin	calvin	calvin
cam	narandže	commit
cambodia	kambodža	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	cameo	cameo part
cameron	cameron	cameron
cameroon	cameroon	cameroon
camille	camille	camille
campbell	campbell	campbell
campuchia	kambodža	campuchia
canada	kanada	canada
canadian	kanadski	canadian
canal	kanal	canal
canary	kanarinac	canary
cancer	rak	cancer
canterbury	canterbury	canterbury
canxi	kalcijuma	calcium
capello	capello	capello
capra	capra	capra
carat	karat	carat
carbine	karabina	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	brižni	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	karibi	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	karneval	carnaval
carol	carol	carol
caroline	caroline	(proper noun) caroline
carpathia	karpatija	carpathia
carter	carter	carter
carxtơ	karat	karst topography, a geological term (n.)
casa	ca sa	casa
casablanca	casablanca	casablanca
caspia	caspia	caspia
cassini	cassini	cassini
cast	cast	cast
castries	kastrije	castries
castro	castro	castro, as in fidel castro
cathay	mačkasti	cathay
catherine	katarina	catherine
cau	kaku	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cd rom	cd-rom
cell	ćelija	cell
celtic	keltski	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	tata	father
chai	boca	bottle
chaillot	šalot	a name
chamberlain	komornik	chamberlain
champa	šampanjac	champa
champion	prvak	champion
chamẹ	roditelji	parents
chanel	chanel	chanel
chanh	limun	lemon or lime (n.)
chao	ćao	(proper noun) chao, a name
charles	charles	charles
charlotte	šarlota	charlotte
charlton	charlton	charlton
charon	haron	(proper noun) charon
chase	juriti	chase
chay	vegetarijanski	fasting
chdcnd	chdcnd	democratic republic
che	poklopac	cover
chechnya	chechnya	chechnya
chen	chen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	podeliti	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	čile	(proper noun) the country of chile
chim	ptica	bird
china	kina	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	astrološki	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	pržena	fry
chiêng	gong	gong
chiếc	kom	the
chiếm	računovodstvo	appropriate
chiến	borba	war, fight
chiết	ekstrakt	literal
chiếu	prostirka	show
chiền	gomila	temple
chiều	pm	length
chlamydia	klamidija	chlamydia
chloride	hlorid	chloroauric acid
chnd	chnd	chnd
choi	igra	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	ogrtač	coat
choáng	omamljen	dizzy
chris	chris	chris, as in chris hughes
christ	božić	christ
christian	christian	christian
christopher	christopher	christopher
chrome	hrom	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	chu	cycle
chua	kiselo	tomato
chuck	steznik	(proper noun) chuck, as in chuck norris
chui	obrišite	underground
chum	chum	pot
chun	chun	chun
chung	opšte	general
churchill	churchill	churchill
chuyên	specijalizovani	professional
chuyến	putovanje	trip
chuyền	proći	volleyball
chuyển	krenuli dalje	to move
chuyện	priča	nói chuyện= talk
chuôi	zahvatiti	handle
chuông	zvono	a bell
chuẩn	standardna	standard
chuốc	poke	incur
chuối	banana	banana
chuốt	razvlačenje	refine
chuồng	kavez	cage
chuỗi	lanac	series
chuộc	otkupiti	redeem
chuộng	favorizirao	favorite
chuột	miš	a mouse (n.)
chà	trljati	rub
chài	ribolov	fish
chàm	indigo	indigo
chàng	momak	"(term should be ""chàng trai"") a young man (n.)"
chào	zdravo	welcome
chày	bejzbol	a pestle (n.)
chánh	šefe	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	kaša	porridge
cháu	unuci	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	vatra	fire
châm	uboditi	motto
chân	stopalo	a leg
châu	evropi	continental
chè	čaj	tea
chèn	umetnite	insert
chém	rez	to chop
chén	kup	bowl
chéo	križ	cross
chép	kopiraj	written
chê	prokletstvo	decry
chênh	razlika	difference
chì	olovo	graphite
chìa	ključ	"(term should be ""chìa khoá"") a key (n.)"
chìm	potonuo	to become submerged or sink (v.)
chình	jegulja	eel
chí	uši	especially
chích	ubod	shoot
chín	devet	ripe
chính	glavni	main
chít	govno	dense
chò	gušiti	a type of plant, typically of the parashorea genus (n.)
chòi	kabina	hut
chòm	sazvežđe	constellation
chó	pas	dog
chóc	haha	killing (giet choc)
chói	sjaj	bright
chóng	brzo	"entire term should be ""chong mat""; means ""dizzy"""
chóp	vrh	the top (n.)
chôm	rambutan	rambutan
chôn	zakopati	bury
chông	muž	thorn
chùa	hram	pagoda
chùy	mace	mace
chú	stric	uncle (n.)
chúa	bože	god
chúc	da žele	will
chúi	tuu	drop
chúng	njih	they
chút	malo	little
chăm	teško	champa
chămpa	champa	champa
chăng	pristupačna	would it
chĩa	viljuške	point
chơi	igra	play
chơn	stopala	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	ne još	not yet
chưng	dist	steamed
chương	poglavlje	medal
chướng	kurs prepreka	grating
chạ	dakle	father
chạm	dodir	touch
chạng	sumrak	twilight
chạp	drhtav	slow
chạy	trčati	to run (v.)
chả	rolne	no
chảo	tava	pan
chảy	trčati	bleeding
chấm	tačka	end
chấp	izazov	"(term should be ""chấp nhận"") to accept (v.)"
chất	stvar	quality
chấu	pinča	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	blanširanje	slice
chẩn	dijagnosticirati	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	sporo	slow
chận	blok	block
chật	zbijeno	overcrowded
chậu	lonac	pelvic
chắc	sigurno	certainly
chằng	obrva	ligament
chẵn	čak	even
chặn	skicirati	prevent
chặng	noga	journey
chặt	nasjeckati	close
chẻ	podijeliti	strick
chẽ	zbijeno	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	preparati	produce
chếch	labav	oblique
chết	umro	to die (v.)
chệch	pogrešno	deviant
chỉ	samo	just (adv.)
chỉnh	korekcija	adjust
chịt	sranje	chằn chịt= complex/tangle
chịu	medvjed	tolerate
chọc	pokucati	to poke
chọi	borbe	oppose
chọn	odaberite	to choose
chỏ	lakat	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	momenat	single
chối	zanijekati	refuse
chốn	mesto	place
chống	anti	anti-
chốt	zasun	important
chồi	puca	"(term should be ""đâm chồi"") budding"
chồn	lisica	anxious
chồng	muž	husband
chỗ	mesto	where
chội	sranje	cramped
chớ	nemoj	not
chớp	munje	flashing (adj.)
chờ	sačekaj	to wait
chở	nošenje	for
chợ	tržište	market
chợt	odjednom	suddenly
chục	desetak	dozen
chụp	pucaj	capture
chủ	majstore	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	sojevi	strain
chứ	radije	just or only (adv.)
chứa	sadrže	contain
chức	funkcija	function
chừ	pismo	hesitate
chừa	odlazeći	leave
chừng	neki	about or roughly (adv.)
chử	reč	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	trudna	pregnant
chửi	psovke	curse
chữ	reč	a letter of the alphabet (n.)
chữa	lek	to cure or treat (v.)
chững	izravnavanje	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	pepeljuga	cinderrella
cip	cip	cip
circus	cirkus	circus
cities	gradova	cities
clara	clara	clara
clark	klark	clark
claude	klod	(proper noun) claude
claudius	klaudija	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	isječak	clip
clips	kopče	clips
clo	hlor	chlorine
clow	klau	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	kopriva	coburn
cocoa	kakao	cocoa
coen	coen	coen
coffea	kava	coffee
cohen	cohen	cohen
coi	pazi	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	colleen	colleen
college	fakultet	college
collins	collins	(proper noun) collins
collège	koledž	college (n.)
colombia	kolumbija	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	kolumbus	columbus
comic	komično	comic
common	često	common
concacaf	konkafe	concacaf
concerto	koncert	concerto
concorde	concorde	concorde
condom	kondom	condom
cong	zakrivljena	curved or bent
congo	kongo	congo
congress	kongres	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	očuvanje	conservation
constantine	konstantina	constantine
contemporary	savremeni	contemporary
cooper	cooper	(proper noun) cooper
copenhagen	kopenhagen	copenhagen
copernic	kopernik	corpernic
copperfield	bakreno polje	(proper noun) copperfield, as in magician david copperfield
coppola	kopola	coppola
copy	kopiju	copy
cordyceps	cordyceps	cordyceps
core	jezgra	core
cornell	cornell	cornell
cosin	kosin	cosine
costa	costa	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	luda	crazy
crespo	crespo	(proper noun) crespo
crest	greben	crest
crew	posada	crew
crimson	grimizno	crimson
crisis	kriza	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	hrvatska	croatia
cross	križ	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	kristal	crystal
ctc	ctc	ctc
cua	rak	crab (n.)
cullen	klen	a name
cung	luk	circle
cunningham	cunningham	cunningham; proper name
cup	šolja	cup
cuả	od	of, from, belonging to
cuốc	motike	hoe
cuối	zadnji	last or final (adj.)
cuốn	zavojnica	book
cuống	stabljika	throat
cuồng	luda	crazy (adj.)
cuộc	the the	the
cyanide	cijanid	cyanide
cyber	cyber	cyber
cyril	ćirilica	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	cyworld	cyword
cà	kafa	ca
cài	instalirati	install
càn	potreba	raid
càng	više	cang
cành	ogranak	branch
cào	scratch	scratch
cày	oranje	plow
các	the the	all (adv.)
cách	način	the
cái	the the	"(term should be ""con cái"") children (n.)"
cán	valjani	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	krilo	wing
cáo	lisica	report
cáopx|bình	komentar	not a word
cáp	kabl	cable (n.)
cáy	fiddler	fiddler
câm	glupi	mute (adj.)
cân	vage	weight
câu	rečenica	saying
cãi	rasprava	argue
cò	okidač	stork
còn	još	to have left (v.)
có	imati	have
cói	sedžda	machine
cót	krevet	cot
cô	nedostajati	girl
côi	siroče	orphaned
côn	konus	a stick (n.)
công	posla	worker
côngtenơ	kontejner	container
cõi	carstva	entire area
cõng	piggyback	piggyback
cù	škakljati	cu
cùi	gubavci	leprosy
cùng	i	together
cú	sova	old
cúi	luk	to bow (v.)
cúm	gripa	cum
cúng	ugodan	worship
cúp	šolja	cup (n.)
cút	izaći	to kick someone out (v.)
căm	uključen	detest (cam thu)
căn	radikalan	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	rastezanje	tense
cũ	stari	old
cũi	krevetac	kennel
cũng	takođe	also
cơm	pirinča	rice
cư	naseliti	resident
cưa	pila	saw
cưng	dušo moja	also
cước	teretni	megaman
cưới	oženjen	marry
cướp	opljačkati	to rob (v.)
cười	smijati se	smile
cường	jak	strengthen
cưỡi	jahanje	ride
cưỡng	prisiljeni	force some body to do some thing. cưỡng dâm=rape
cạc	kartica	card (n.)
cạn	plitko	shallow
cạnh	ivica	"(term should be ""khía cạnh"") an angle"
cạo	brijati	shave
cạp	škorpion	scorpion
cả	oboje	both
cải	senf	reform
cảm	hladno	pleasure
cản	muči	prevent
cảng	luka	port
cảnh	scenu	situation
cảo	vuče	posthumous
cấm	zabraniti	ban
cấn	potreba	dramatic
cấp	grant	level or rank (n.)
cất	destilovana	"(term should be ""cất giữ"") to keep safe or store"
cầm	izdržati	to hold (v.)
cần	potreba	need
cầu	most	request
cầy	civet	farmed
cẩn	budi pazljiv	carefully
cẩu	kran	"(term should be ""hải cẩu"") a seal (n.)"
cận	pristup	close
cập	brojač	mention
cậu	dečko	a young man (n.)
cậy	zavisi	reliable
cắm	priključite	to plant (v.)
cắn	ugriz	to bite
cắp	ukrasti	steal
cắt	rez	cut
cằm	brada	chin
cằn	mrzovoljni	exhausted (adj.)
cặp	torba	couple
cọ	trljati	rub
cọc	gomila	pile
cọp	tigar	tiger
cỏ	trava	plant
cố	probaj	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	šolju	cereal
cối	malter	mortar
cốm	nuggets	grilled rice
