aajo	ridicol	hospitality
amojeoyipada	convertibil	reform
amosi	moschee	amos
améríkà	american	america
améríkà	american	america
an	un	him
anabi	profetul	prophet
anc	nan	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	sudul	southern
apaguusuilaorun	sud-vest	south-western
apaguusuiwoorun	sud-vest	part of the south
apailaorun	răsărit	east side
apaiwoorun	vestic	eastern side
aparapo	combinaţie	confederation
apeja	pescar	fisherman
apeere	de exemplu	example
apis	apis	apis
apòmù	şorţ	apomu
apẹ̀rè	şorţ	example
arabu	arab	arab
aralíle	tropical	healthy body
arinkankan	aceasta	nationalist
ariso	aris	oral tradition
ariwaarin	orientul mijlociu	mid-north
ariwaguusu	sud-vestic	north-south
arkansas	arkansas	arkansas
aroko	vegetație	composition
aruleyin	salut	carried on the back
arun	boală	disease
aryan	arianul	aryan
aráa	frate	people from
arábíà	alfabetic	arabia
aráròmí	salut	araromi
arópò	mită	substitute
arúgbó	in varsta	elderly
arọ	șchiop	cripple
asagun	victorie	intial, first (referring to the 13 colonies)
ascii	afla	ascii
aseeto	așezare	unfair
aseyori	succes	success
asipa	deviere	first to kill
assessment	evaluare	ayewo
asìko	prostii	time; ni asiko=when
asèdá	naturalul	origination
atangbona	atom	emission
atanna	atom	emitter
atigba	admisibil	from time
atimo	plan	inland
atinrin	razand	thin
atun	rewind	also
atunse	corecţie	revision
australia	australia	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	austroneziana	austronesian
austríà	australia	austria
avar	avar	avar
awari	descoperire	discovery
awo	farfurie	of
awonara	emoţie	people of
awoòn	șablon	people
awon	lor	they
awuruju	magic	shady
awùjo	curtoazie	society
awújẹ	scandal	root
aya	verset	chest
ayeye	eternitate	celebration
ayàfi	este în regulă	only if
ayò	ay	game
azikiwe	bun simț	azikwe
aṣòkan	individual	united
baa	este	be with
babaláwo	divinatorul	herbalist
bahrain	bahrain	bahrain
balẹ̀	lasa-l în pace	settled
bang	bubuitură	bang
banle	banle	banle
bara	anul trecut	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	acum	like this
bayìí	acum	this
bce	departe	bce
beauharnais	beauharnais	beauharnais
beijing	beijing	beijing
belarus	bielorusia	belarus
belgium	belgia	belgium
bengal	bengalez	bengal
bengali	bengali	bengal
benin	bancă	benin
berber	berber	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	întoarce-te	bharata
bibeli	biblie	bible
biribiri	a fost zdrobit	intense
black	negru	dudu
bodies	organisme	ara
bojú	aruncă o privire	take care
bole	bole	ground
bolt	bolț	bolt
bolívar	bolívar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	bridgeport	bridgeport
britain	marea britanie	britain
brítánì	britanic	britain
bu	acesta este	give
buenaventura	buenaventura	buenaventura
bujumbura	extins	bujumbura
burúkú	rău	bad
by	de	does not translate directly, does not exist
bàbá	tatăl	father
bákannáà	de asemenea	likewise
bálè	balon	lying on the ground
bárakú	dependenta	habitual
báyìí	acum	this
bèrẹ̀	pentru început	started
béè	pur si simplu	than
bòtswánà	autobuzul	botswana
búburú	rău	bad
búrú	fii curajos	wicked
bẹ̀rẹ̀	pentru a incepe	started
bẹ́	rupt	also
bẹ́ljíọ̀m	beril	belgium
bẹ́ẹ̀ni	da	yes
bẹ́ẹ̀sìni	da	that is it
cairo	furie	cairo
calabar	gumă de mestecat	calabar
canaria	canaria	canaria
cape	pelerină	cape
casablanca	casablanca	casablanca
caslon	cazinou	caslon
cathedral	catedrală	cathedral (katidral)
catherine	catherine	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	charles	charles
chaskalson	chaskalson	chaskalson
chebbi	gândi	chebbi
cherished	prețuite	mu lokunkundun
china	china	china
cipollone	cipollone	cipollone
clear	clar	danmanran
code	cod	code
coetsee	coetsee	coetese
coloured	colorat	alawo dudu
coming	venire	yo jade
compared	comparativ	does not directly translate
computers	calculatoare	komputa, ero ayarabiasa
csto	otsc	csto
ct	ct	ct
cunha	gât	cunha
da	și	back; but in this form it is unnecessary
dagbasoke	creștere	developing
dandan	obligatoriu	a must
dani	deținere	hand-held
darapo	a te alatura	joinedd
daru	distruge	scattered
dates	datele	pada si
delhi	nu face	delhi
denver	denver	denver
des	des	des
describes	descrie	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	dezvoltare	idagbasoke
didagba	egalitate	growing
didasile	stabilire	established
different	diferit	iyato
din	prăji	reduced
dinwoju	privește în sus	suitable
divoire	divoire	d'ivoire
doju	față în față	face
dojú	față în față	turn face (full phrase is doju ko, to face)
dominic	dominic	dominic
doni	doni	this day
dote	dote	rebel
doublehelix	doublehelix	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	dover	dova
du	du	hustle
due	din cauza	nitori
dun	gustos	sound
dàbíi	asa	like
dàpò	înlocuiți-le	mix
dá	creată	intervene
dágbó	in varsta	forest
dájó	bine	pass judgement
dálóríi	mulțumesc	about
dáradára	bine	well
dásà	o casă	peculiar way of saying
dáwó	donează	undertake
dé	a sosit	reach
délànà	in principiu	delana
dépò	in masura	to a position
dì	foaie	be
dìde	apărea	stand
dìró	pe dreapta	hang on
dìtẹ̀	conspira	rebel
díè	încordat	few
dóko	bun	upstanding
dólà	bine	dollar
dún	sunet	sound
dúró	a sta	stand (been in existence)
dọ́gba	egal	equal
ea	da	ea
eba	eba	shore
ebi	familie	family
ecomog	ecomog	ecomog
ede	limba	language
efrem	effem	efrem
egba	absolut	cane
egbe	armă	group
egberundun	o mie de ani	a thousand year
egbo	o rana	brother
egbé	vai	party
egbò	o rana	chemicals
egbògi	medical	don't know this
eighteen	optsprezece	ejidinlogun
eka	complex	branch, department, part
ekeji	celălalt	second
eko	educaţie	lagos
elede	porci	speaker
eleyi	acest	this
eleyii	asa	this
elláda	creare	ellada
eléde	abstract	pig
eléré	atlet	performer
elòmírà	alge marine	freedom
elòmíràn	un alt	another person
emerging	în curs de dezvoltare	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	toata lumea	whoever
enter	introduce	wole
enì	elefant	person
eníbá	febră	such person
epa	arahidă	groundnut
ernst	ernst	ernst
erofo	sediment	swamp
erékùsù	insulă	island
eréonítàn	acronim	written play
eseese	diagramă	step by step
esia	vine	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	coasta	beach
euro	euro	euro
euroasia	euroasia	uro-esia
ewe	frunze	ewe
ewé	frunze	leaf
ewì	poezie	traditional poem
example	exemplu	apere
eya	categorie	tribe
eyin	ouă	previous
eyonomba	eyonomba	digit
eléja	pescuit	fisherman
elòmíràn	altcineva	another person
eka	efect	branches
eléyàmèyà	etnie	tribalism
enu	gură	mouth
esin	religie	horse
esè	venituri	leg
ewà	de conduită	beauty
fagile	anulat	cancel
fail	fail	padanu
fan	ventilator	spread
faramó	a adera la	accept
faranse	limba franceza	french
farsi	arti	farsi
felifeli	catifea	fuming
ferde	ferde	verde
fesèmúlè	sursa provizorie	established
fe	dorit	want
fi	salvați	by
fifihan	arătând	revealed
fihan	indicat	shows, to show
fimú	clar definit	captivate with
finiki	fizică	finiki
finlandi	finlanda	finland
fitino	proces	judgement
five	cinci	marun
fodio	fodio	fodio
fofinde	interzicerea	prohibited
fohùn	strigăt	consent
foniimu	film	phoneme
force	forta	agbara
foriko	de exemplu	agreed
fourbase	fourbase	onidi-merin
fowobowe	rezervare	signed
fowó	pentru bani	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	limba franceza	france
freetown	freetown	freetown
fuji	elimina	fuji
fulani	fricos	fulani
fulbe	ful	fulbe
fun	pentru	for
funra	în sine	suspect
further	mai departe	si
fé	fé	like
fé	fé	want
fégbé	uita	for peers
fífò	zbor	jumping
fífún	oferindu-	giving
fòye	a intelege	rationalise
fẹ́rẹ̀ẹ́	aproape	nearly
galatia	de data asta	galatia
gba	de acord	accept
gbajúgbujà	este foarte popular	popular
gbale	popularitate	flourished
gbaná	trage afară	engulf in flame/rage
gbe	transporta	set up
gbera	mergi mai departe	move
gberasoke	accelera	rising
gbese	creanţă	debt
gbigbamulo	exploatare	adopted
gbigbewo	finanțare	examined
gbilè	izbucni	gaining ground
gbin	plantat	farm
gbogbogbo	general	general
gbongbo	rădăcină	root
gbàgbọ́	crede	believe
gbàgùrà	scuturat	gbagura
gbá	lovitura	received
gbáradì	scoală-te	prepare
gbé	trăi	convey
gbédìí	a stabili	respect
gbékalè	dulgher	establish
gbéni	trăi	lift
gbéyèwò	revizuire	examine
gbésè	oferi	die
gbìnyànjú	încerca	endeavour
gbìyànju	incearca din greu	try
gbódò	trebuie sa	must
gbónmisi	lege	strife
gbúnùn	miroase	hostile
gbọ́dọ̀	trebuie sa	must
geesi	engleză	english
geneva	geneva	geneva
genevieve	genevieve	genevieve
georgia	georgia	georgia
german	limba germana	german
gfaj	gfaj	gfaj
ghana	ghana	ghana
gidigidi	foarte	significantly
gidí	casă	real
goemai	goemai	goemai
gomina	guvernator	governor
gorgina	vulturul	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	greacă	greek
groove	canelură	iho
guanínì	guanni	guanine
guinea	guineea	guinea
guineabissau	guineea-bissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	lung	stretch
gunle	armă	arrive
guusu	sud	south
gv	gv	gv
gèésì	lipici	english
gèésì	bijuterie	english
gégé	într-adevăr	like
gírámà	gramps	grammar
gòkè	dute sus	climb
gún	străpunsă	properly
gúúsù	sud	south
gẹ̀ẹ́sì	engleză	english
habsburg	habsburgic	habsburg
haggai	ghid	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	greu	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	bomboane	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	de acord	hesse
him	-l	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	cp	hp
hugh	bău	hugh
hun	hun	knit
hungari	foame	hungary
hv	hv	hv
ibalo	afacere	relationship
ibarepo	asociere	friendship
ibeji	gemenii	twins
ibewo	a venit	visit
ibiamusin	sanctuar	colony
ibile	tradiţional	municipality
ibimo	naștere	birth
ibise	a face exerciții fizice	official
ibiti	locuri	where
ibn	ibn	ibn
ibojì	mormânt	burial ground
ibori	voal	conquest
ibujoko	bancă	place of abode
ibuseripadabosi	rambursare	eternity
ibuso	a lupta	bus stop
ibùdó	tabără	settlement, seat of, area,
ibùjókòó	așezare	settlement
iceland	islanda	iceland
idagbasoke	dezvoltare	development
idagbe	neglijare	isolation
idaji	jumătate	half
idajo	justiţie	judgement
idamita	a desena	sector
idari	controale	control
ideraa	a scrie	comfort
idimule	arestare	establishment
idoma	desen	idoma
idupe	mulțumesc	thanksgiving
idánwò	proces	examination
ifija	pescuit	weapon
ifilole	lansa	resolution
ifitonileti	informație	reporting
ifobaje	corupţie	coronating
ifofinde	congres	prohibition
ifriqiya	stimulare	ifriqiya
igbeduro	preparare	institute
igbegun	victorie	declaration of war
igberiko	suburban	region
igbesoke	actualizare	upliftment
igbeyawo	nuntă	marriage
igbowolori	scump	inflation
igbá	pui	shell
igbáẹ̀yìn	ultimul	shell
igitòròmogbè	în bandă largă	willow tree
ihan	a aparea	ray
ihinrere	evanghelie	gospel
ijagun	luptă	war
ijakadi	lupta	wrestling
ijaya	panică	fear
ije	circulaţie	eating
ijinnasi	fizică	the wind open
ijosin	cult	worship
ijó	dans	dance
ikan	unu	one of
ikandinlogun	optsprezece	nineteen
ikaowo	respect	finger
ikejidinlogun	optsprezece	eighteen
ikeko	compilare	education
ikerin	al patrulea	fourth
iketa	a mosteni	third
ikoenu	a salva	union
ikojopo	acumulare	collection
ikoreokere	recoltat	migration
iku	moarte	death
ikúgbaèyí	acum	death-has-this
ikún	umplere	squirrel or wild rodent
ilagbolojo	publicitate	latitude
ilana	procedură	procedure
ilanaoye	strategii	knowledge procedure
ilaodo	proteja	cana
ilaorun	răsărit	west
ileasofin	legislativ	house of law,
ilegiga	acasă	higher ground or higher plain
ileife	neglijare	ile-ife
ileigbimo	consimţământ	house of assembly/congress
ileobaluaye	lumea	high chief
ileru	cuptor	volcanic
ilopo	dubla	times
iluoba	cetățenie	king's town
iluorilejoba	globalizarea	capital city
ilé	acasă	house
iléayé	acasă	earth
iléisé	acasă	workplace
ilélódò	casa	ile-lodo
iléàtèéré	acasă	ile-ateere
iléńlá	curte	ile-nla (area)
ilẹ	sol	land
ilẹ̀ayé	pământul	the world
iminle	a aresta	earthquake
imoero	trasnet	engineering
imojuto	îngrijire	protection
imusin	a desena	colony
imú	nas	nose
imúnisìn	igienă	slavery
inagberingberi	unt de arahide	electromagnetic force
indeed	intr-adevar	paapa julo
indus	indus	indus
inkosi	să justifice	inkosi
integration	integrare	ifowosowopo
inágbéringbérin	şaptesprezece	electromagnet
iní	moştenire	possession
inúnibíni	persecuţie	hatred
ioja	peşte	fight
ioniani	nevoiaș	ionian
iowa	pe pamant	iowa
ipare	decolorare	abolition
ipawo	utilizări	income
ipele	nivel	stage
ipin	capitol	share
ipinpa	participare	arm of, branch of
ipinu	decizie	determination
ipo	locație	position
ipá	forta	effort
iraja	şocant	bargaining
iranlose	asistenţă	mission
ire	vânzare	you
irele	umilinţă	irele
iringa	învelire	iringa
irisi	aspect	appearance
irorun	foarte simplu	convenient
irò	zvon	iro
irúnmọlẹ̀	fulger	apparition
isa	destul	jesus, isa or yisa is hausa language
isare	accelerare	track race
isedaniloro	îndoială de sine	terrorism
iseero	ceas	engineering
isejoba	guvernare	governance
iseoba	cincisprezece	civil service
iseoroayeijoun	arheologie	archaeology
iseowo	afaceri	business
isepinpin	distribuire	division
iso	a veni	unit
isoponomba	isoponomba	addition of numbers
isun	curgere	spring
isesi	predare	conduct
isè	serviciu	occupation
itali	italiană	italy
itanakole	poveste	ancient
itelentele	clar	coming after
itiraka	lupta	effort
itobi	a se lauda	size
itokowo	afaceri	economy
itorawo	liberal	astrology
itu	a arunca	solution
itumo	sens	meaning
iwadi	cercetare	research
iwasi	impresiona	behaviour
iwifun	informație	report
iwoile	acasă	entering
iwosan	cicatrizare	healing
iwulo	util	use
iwuwa	practică	behaviour
iyan	foamete	argument
iyato	diferența	difference
iyawo	mireasă	wife
iyen	acesta este	that
iyán	spumos	pounded yam
iḷẹ̀	muncă	land
iṣẹ́ìwádìí	cercetare	research
jabo	raport	give account
jackson	jackson	jackson
jadide	stai așa	emerge
jagbe	dispari	shout
jalè	furt	steal
jamaica	youtube	jamaica
jamo	pleacă de aici	link
jawaharlal	leagăne	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	geometrie	geometry
jesu	iisus	jesus
jfk	jfk	jfk
jije	fiind	existing as
jijinna	departe	distance
jiròrò	cețos	dialogue
jo	spărtură	days
jogun	mostenit	inherit
johann	iad	johann
johanu	scuze	john
jojo	cracked	great extent
jopò	alăturați-vă!	gathered
jo	ioan	resemble
juneau	juneau	juneau
jàgídíjàgan	agresiv	violent
jáde	vino afara	out
jé	veni	is
jéésù	iisus	jesus
jìnnàa	departe	further
jíje	fiind	eating
jíjuwó	făcând bani	waving hands
jíjéomoléyìnkírísítì	ca filantrop	followers of christ
jùlo	mai mult decât	most
jùlo	mai ales	most
jùló	cel mai	most
jẹ́mánì	limba germana	germany
jọ́	vă rog	together
kadara	activ	destiny
kagera	lăudăros	kagera
kakiri	urmă	all over
kalinga	cinga	kalinga
kalẹ	pus deoparte	established
kampala	încheietoare	kampala
kan	a	one
kankan	nici unul	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	karl	karl
karun	a cincea	fifth
karùún	al cincilea	fifth
kebbi	reglabil	kebbi
kekere	mic	lower
keko	cu știință de carte	learn
kept	ținut	fi pamo
khoisan	inferior	khoisan
ki	la fel și	not
kiakiajulo	cel mai rapid	rapidly
kiko	aducere	gathering
kikojo	compilare	gathering
kikopomo	căldură	mixed
kikoso	rapid	colonised
kiko	învăţare	making
kikuninu	imagina	size
kilhar	subsuoară	kilhar
kinkinni	micul lucru	small quantity
ko	sau	don't
kodò	de mai jos	bow
koidu	koidu	koidu
kojá	cruce	pass
kolo	kolo	going
komputa	calculator	computer
kong	kong	kong
kongo	prezervativ	congo
kookan	acest	one
koto	momeală	pit
koko	învăţare	make heap
ko	ko	learn
kori	nu mai	not found
krio	krio	krio
ku	tu	remain
kwara	adresat	kwara
kàríbẹ́ánì	în regiunea	carribean
kàyéfì	mirare	amazement
ká	de	we
kánfinkése	ingeniozitate	prolonged
kánádà	desigur	canada
káyé	lume	world
kéesì	ridicol	keesi
kékéèké	mic	small
kétu	fi pregatit	ketu
kémíkà	dimpotrivă	chemical
kéyìn	mai tarziu	come after,
kìnní	primul	first
kí	greet	not
kíko	studiu	written
kíkọ́	a invata	learning
kínu	sărutat	greet
kírísìtì	crăciun	christ
kòjòkú	ploaie	kojoku
kòkó	soarecele	cocoa
kòmpútà	calculator	computer
kòtò	o groapă	pit
kòòsí	nu este	coaching
kòòkan	fiecare	each
kógo	glorie	glorious
kóra	aduna	participate
kùkú	dupa toate acestea	eventually
kùrání	coranul	quran
kúkú	dupa toate acestea	now
kúkúrú	pe scurt	short
kúrò	departe	away
kútò	tot	kuto (place)
kúùkù	dimpotriva	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	al patrulea	4
kẹsàán	imediat	ninth
kẹta	al treilea	third
kẹ́nyà	separare	kenya
kọjá	trece	pass through
kọ̀mpútà	calculator	computer
kọ́kọ́	primul	first
kọ́lọ́mú	coloane	breast owner
kọ́ni	lipsa de	teach
laa	pleacă de aici	will
laada	lovitură	good fortune
laaka	verso	important
laarin	în	between
labalaba	fluture	butterfly
labee	sub	under
lade	lade	crowned
laid	stabilite	tele
laifi	eroare	without
languages	limbi	ede
lanka	lanka	lanka
lasile	eliberare	laid out
latibe	de acolo	from there
latigbana	de atunci	from then on
latini	latin	latin
latvia	letonia	latvia
lay	lay	da
le	poate sa	can
leboa	lebo	leboa
lekun	intensificat	open door
leo	leu	leo
lese	post	firmly
less	mai puțin	okeresi
lewaju	mai departe	front
lewon	pedeapsa cu închisoarea	imprisonment
leyi	aici este	mispelled...should be 'leyin', after
leè	mai	can
lilelile	hardcore	tightly
lilemo	canabis	sticky
lilongwe	lilongwe	lilongwe
lindi	leşie	lindi
linear	liniar	dogba
links	link-uri	eka; this is a new word and does not really exist in yoruba
lodo	avea loc	from
lojowaju	in viitor	the future
lojukokoro	lacom	covetousness
lojúgun	a făcut ravagii	knee
lokunkun	energic	in the dark
loloselu	politic	in politics
lopolopo	mult	so many
loruko	nume	name
louvre	louvre	louvre
lovers	îndrăgostiți	awon olufe
low	scăzut	diye
lo	continua	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	egal	more important
lààmi	semn	sign
lààmì	semne	significant
lábé	greutate	under
láfún	dat	cassava food
láimo	fără	unknown
láké	tare	in ake
lámọ́di	avere	lamodi
lápá	parte	from
lára	rănit	part of
lárúbáwá	naturalul	arabic
láì	fără	without
láíláí	nu	old
lèe	poate sa	can
lèyìn	după aceea	after
lédè	în limbaj	language
léebá	întâmplător	catch up with it
lérìnín	zapada	erin=laughter; the prefix 'l' is possesive
lérò	motiv	thought
léyin	după aceea	after
léyìn	mai tarziu	after
lérú	robie	enslave
lílo	exploatare	using
lísa	accelerare	a chieftaincy title
lítésò	usturător	literature
lóde	in afara	modern
lópez	nipez	lopez
lópó	văduvă	widow
lórì	port	on the head
lóríba	peste	subdue
lóti	lot	have
lóòótò	da	truly
lóòótọ́	intr-adevar	truly
ló	ló	to
lónà	pe drum	in a way
lórò	mâine	become wealthy
lọndọnu	londra	london
lọ́dọọdún	anual	yearly
lọ́jà	la magazin	in the market
maapu	hartă	map
madeira	beira	madeira
mahatma	mahatma	mahatma
makedonia	macedonia	macedonia
malabo	miere	malabo
malay	asumat	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	malaezia	malaysia
mali	zi	mali
mango	mango	mango
manˈdeːla	mandelala	mandela
marcellus	marcellus	marcellus
march	martie	march
marku	de data asta	mark
mars	marte	mars
maryland	maryland	maryland
maseru	gelozie	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	matematic	mathematics
max	max	max
maya	nu	maya
mbabane	negativ	mbabane
means	mijloace	ona (way)
mediteraneani	mediterana	mediterranean
mefeefa	revizie generală	all six
mejidinlogbon	douăzeci și opt	twenty eight
mejila	doisprezece	twelve
meksiko	mexic	mexico
melo	cat de mult	some
member	membru	ara
mercosur	mercosur	mercosur
merin	patru	four
methodologies	metodologii	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	mexic	mexico
michelle	michelle	michelle
micronesia	micronezia	micronesia
miiràn	ușurare	another
mimoy	mimoy	mimoy
mimuwa	agățarea	import
minnesota	minnesota	minnesota
minority	minoritate	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	compact	51, (mokanleladota)
mokanlelogbon	treizeci si doi	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	automobilism	morogoro
mozambique	mozambique	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	alege din nou	mtwara
mughal	volum	mughal
mulẹ̀	a stabili	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	nu te deranjează	testament
mère	desen	significant
méjèèjì	ambii	the two
mérindíláàdóta	cincizeci si cinci	forty-six
méte	cinci	lip
mérìndínlógún	şaisprezece	sixteen
mérìnlélógójì	patruzeci si patru	44
méta	trei	three
métèètà	dulgher	the three
méwàá	zece	ten
ménu	crezi	verbally contribute; complete phrase= me nu ba
mímọ́	sfânt	holy
míràn	un alt	other
míìrán	un alt	other
mííràn	un alt	other
mò	cunoştinţe	know
mókólà	lipici	mokola
móra	vindeca	with themselves
mó	m	with
múlẹ̀	ține rapid	select land (farmland)
mẹ́fà	şase	6
mẹ́rkúríù	soarecele	mercury
mẹ́ta	trei	3
mẹ́talọ́kan	treime	trinity
namibia	a veni	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	încurcat	highest-spending
nawó	ia-ți banii	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nephim	nefimu
neptune	neptun	neptune
nevis	nevis	nevis
ngbero	planificat	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	acolo	there
nibere	din timp	earlier
nigbakan	uneori	at one time
nigbà	apoi	when
nijẹr	nike	niger
nilè	aici	remaining
nisinyi	acum	at present
nitoriidieyi	din cauza asta	because of this
nitoripe	pentru că	because
nitosi	din apropiere	nearby
niwaju	înainte	in front of
niyato	distinge	unlike
niye	destul	in number
niyi	aici este	these
nkan	lucru	things
nkàn	cancer	something
nnaji	unchi	nnaji
nobel	nobel	nobel
nombamewa	inmultirea	decimal
nombáméjì	primii doi	two-number
novo	novo	novo
nri	alimente	nri
nse	proiecta	acting
nso	aproape	saying
nsolaboraro	securitate	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	punct	indicates
nu	curat	in
nukleotidi	nucleotid	nucleotides
nukleotidipupo	nucleotid	cell
numeri	amorţeală	numbers
nwa	bebelus	drill
nàìjíríà	în nigeria	nigeria
náwo	cheltuială	spend money
náà	de asemenea	that
nì	munte	is
nìnú	scuze	in
nìyí	asta este	this is
ní	avea	on
níbè	acolo	there
níbè	acolo	there
nífẹ̀ẹ́	a iubi	love
nígbàtí	cand	when
nílè	de mai jos	on the ground
nílùú	in oras	in the town
nílẹ̀	pe pământ	in the land
nínlá	grozav	large
nínu	şansă	in
níní	a avea	having
nípà	macar	by
nítorípé	deoarece	because
nítumò	sens	meaningful
nítòsí	din apropiere	nearby
nítòótó	exact	truly
nítòótọ́	intr-adevar	in truth, truthfully
níwájú	înainte	in front
níyanjú	pozitiv	solved
nǹkan	lucru	things
nso	in curand	say
oba	obama	king
obairanderan	văr	hereditary
obere	mic	started
obínibí	curtoazie	inborn
ododo	dreptate	righteousness
ofin	legea	law
ogbè	regiune	a divinity
ogun	război	war
ogunlogo	mulțime	hundreds
ojo	arată ca	day
ojojumo	zilnic	daily
ojoru	căldură	wednesday
ojukokoro	lăcomie	covetousness
ojuoorun	apus de soare	atmosphere
ojuse	responsabilitate	responsibility
ojùkòsì	precipitare	ojukosi
ojùkòtúu	precipitare	ojukotuu
ojúlùmọ̀	cunoștințe	acquaintance
ojútáyé	viscozitate	public
ojúìwé	pagină	page
okeere	de peste mări	distant
okhotsk	okhotsk	okhotsk
oko	camp	farm
okunkun	întuneric	darkness
okunrin	omul	male person
