+	+ +	plus sign
กองทัพเรือไทย	থাই নেভি	the royal thai navy
กองทัพแห่งความชอบธรรม	ন্যায়বিচারের সেনা	army of the righteous
กองทัพไทย	থাই সেনা	thai military forces
กองบิน	বিমান বাহিনী	air force
กองบินปีกหมุนที่	উইং স্পিনিং উইং	flight corp number __________
กองพลทหารม้าที่	অশ্বারোহী ব্রিগেড	cavalry division
กองพันทหารช่างที่	ইঞ্জিনিয়ার ব্রিগেড	troop unit number ___________`
กอด	আলিঙ্গন	kord
กอนซาเลซ	গঞ্জালেস	gonzales - a name
กอร์ดอน	গর্ডন	gordon
กอลมเบต์	goreme	glombet - a catholic priest
กอล์ฟ	গলফ	golf
กอล์ฟไมค์	গল্ফ মাইক	golf-mike
กะเหรี่ยง	কারেন	karen
กะโหลก	মাথার খুলি	skull
กะโหลกศีรษะ	মাথার খুলি	skull; cranium
กังหันชัยพัฒนา	চৈতত্তন টারবাইন	chaipattana's windmill
กันดั้ม	gundam	gundam - a cartoon
กันตัง	kantang	kuntun in trung state
กันทรลักษ์	kantharalak	kuntaraluk - an area in thailand
กันฟอร์ม	ফর্ম	gun form
กันอริ	kanori	gan-ari
กันเอง	আপসে	casual
กับนางสุจาริณี	মিসেস সুচরিনির সাথে	with mrs. sujarinee
กัมปูเชีย	kampuchia	kampuchea
กัมพูชา	কাম্বোজ	cambodia
กัมพูชาประชาธิปไตย	গণতান্ত্রিক কম্বোডিয়া	democratic kampuchea
กัมพูชาเป็นประเทศที่มีป่าไม้อุดมสมบูรณ์มากที่สุดหากเปรียบเทียบกับประเทศเพื่อนบ้าน	কম্বোডিয়া প্রতিবেশী দেশগুলির সাথে তুলনা করার সময় সর্বাধিক প্রচুর বনযুক্ত দেশ।	cambodia is the country with nice, healthy forests
กัมพูชาเป็นอดีตประเทศอาณานิคมของฝรั่งเศสในภูมิภาคเอเชียตะวันออกเฉียงใต้เพียงแค่ประเทศเดียวเท่านั้นที่มีการปกครองด้วยระบอบราชาธิปไตยภายใต้รัฐธรรมนูญ	কম্বোডিয়া দক্ষিণ পূর্ব এশিয়ার একমাত্র প্রাক্তন ফরাসী colonপনিবেশিক দেশ যা সংবিধানের অধীনে রাজতন্ত্র রয়েছে।	cambodia was a former french colony
กัมพูชาเป็นอาณานิคมของฝรั่งเศสมาตั้งแต่พศ	কম্বোডিয়া তখন থেকেই ফরাসি উপনিবেশে রয়েছে।	cambodia was a france colony from year
กัวเตมาลา	গুয়াটেমালা	guatemala
กานซู	গানসু	honshu in china
กานต์	kan	kan
กานา	ঘানা	ghana
กานามัยซิน	ক্যানামাইসিন	kanamycin
กาบอง	গাবোনবাদ্যযন্ত্র	baton
กาพย์ฉบัง	মহাকাব্য	poem
กาพย์สุรางคนางค์	কবিতা	gabsuranknang
กาม	অসচ্চরিত্র	lust
กาย	শরীর	body
การ	দ্য	project
การกีฬา	স্পোর্টস	sport
การขัดเกลาทางสังคม	সামাজিকতার	socialization
การขับถ่าย	রেচন	excretion
การขับไล่	উচ্ছেদ	discharge
การคมนาคม	পরিবহন	transportation department
การคลัง	অর্থায়ন	public finance
การค้นพบ	আবিষ্কার	discover
การค้า	ব্যবসা - বাণিজ্য	marketing
การจัดการ	ব্যাবস্থাপনা	project
การจัดการคุณภาพ	গুনমান ব্যবস্থাপনা	quality control
การจัดอันดับ	রাঙ্কিং	ranking
การจัดให้มี	ব্যবস্থা	putting together something
การจูบ	একটি চুমু	kissing
การชัก	পাকড়	the act of pulling the flag wiht string up the pole
การดำเนินการ	একটি কার্যক্রম	progression
การตอบรับ	প্রতিক্রিয়া	welcoming
การตั้งถิ่นฐาน	বন্দোবস্ত	start a project
การต่างประเทศ	বৈদেশিক বিষয়	foreign affairs
การทำงานของ	এর কাজ	function
การทำป่าไม้	বনপালনবিদ্যা	forestry
การท่องเที่ยว	ভ্রমণব্যবস্থা	tourism
การท่าเรือ	বন্দর কর্তৃপক্ষ	port authority
การบริการ	সেবা	customer service
การบริหารการพัฒนา	উন্নয়ন ব্যবস্থাপনা	development
การบริหารการศึกษา	শিক্ষা প্রশাসন	educational administration
การบริหารจัดการ	ম্যানেজমেন্ট	management
การบริหารราชการแผ่นดิน	সরকারি প্রশাসন	administration
การบินไทย	থাই এয়ারওয়েজ	thai airways
การปกครองท้องถิ่น	স্থানীয় সরকার	local administration
การปกครองส่วนท้องถิ่น	স্থানীয় সরকার	local government
การปกครองแบ่งออกเป็น	বিধি বিভক্ত	administration
การปฏิรูประบบจัดเก็บภาษีเงินได้	আয়কর আদায় পদ্ধতির সংস্কার	taxation reform
การปฏิรูปศาสนา	সংস্কার	religious reformation
การปฏิวัติฝรั่งเศส	ফরাসি বিপ্লব	french revolution
การปฏิวัติอุตสาหกรรม	শিল্প বিপ্লব	industrial revolution
การปฏิสนธิ	নিষেক	fertilisation
การประมง	মৎস্য	fishery
การพัฒนา	উন্নতি	development
การพัฒนาประชาธิปไตย	গণতান্ত্রিক উন্নয়ন	democratic development
การพูด	ভাষী	speaking
การยึดครองมะละกาของโปรตุเกสในปี	পর্তুগিজদের মেলাকা দখল ১৯।। সালে	portugal took over malaga
การระบาดของไข้หวัดใหญ่สายพันธุ์ใหม่	ইনফ্লুয়েঞ্জার নতুন স্ট্রেন	flu pandemic
การรักษาพยาบาล	চিকিৎসা	nursing care
การร่วมเพศทางทวารหนัก	পায়ূ চোদা	sodomy
การลดรูป	কে বিকৃত	reduction
การละเล่นพื้นบ้าน	লোক গেম	local game
การวิจัย	গবেষণা	researching
การวิเคราะห์	বিশ্লেষণ	analysis
การศึกษา	শিক্ষা	study of, education
การสังคายนาครั้งที่	শেষ আদেশ	the event of convention of monks
การสั่นพ้อง	অনুরণন	resonance
การสำเร็จความใคร่ด้วยตนเอง	হস্তমৈথুন	masturbation
การสืบพันธุ์	প্রতিলিপি	reproduction
การสื่อสาร	যোগাযোগ	communications
การาจ	গ্যারেজ	garage
การุณ	karun	karoon
การเต้นรำ	নাচ	dance
การเพิ่มสิทธิประโยชน์แก่นักลงทุนต่างประเทศ	বিদেশী বিনিয়োগকারীদের জন্য সুবিধা বাড়ানো	increase benefits for foreign investors
การเล่น	খেলতে	play
การแข่งขัน	প্রতিযোগিতা	competition
การแบ่งพื้นที่	পার্টিশন	land division
การใช้คำ	শব্দ ব্যবহার	terminology
การไฟฟ้าส่วนภูมิภาค	প্রাদেশিক বিদ্যুৎ কর্তৃপক্ষ	distribution electric transformer
การไหว้	সম্মান	thai greeting
การ์ด	কার্ড	guard
กาฬสินธุ์	kalasin	katsin - a thai surname
กาเวน	gawain	gawain
กาเหว่าที่บางเพลง	কিছু গানের রেভেন	the cuckoo's song.
กำกับการแสดงโดย	পরিচালিত	produced by (movie)
กำกับโดยอภิชาติพงศ์	পরিচালনা করেছেন আফিচাট পং	produced by apichartpong - a famous thai movie producer
กำมะถัน	গন্ধক	sulfur
กำลังจะปรับเปลี่ยนเป็น	পরিবর্তন করতে যাচ্ছি	is changing to
กำหนดตามสภาพภูมิศาสตร์	ভূগোল দ্বারা নির্ধারিত	geography estimation
กำแพงเพชร	কামফেং ফেট	kamphaeng phet
กำแพงเมืองจีน	মহা প্রাচীর	the great wall of china
กำแพงแสน	kamphaengsaen	kampangsaen (name of district)
กิจผลิต	উত্পাদনের	kitpalit (last name)
กิมป์	gimb	gimp - gnu image manipulation program
กิโลกรัม	কেজি	kilogram
กิโลไบต์	কিলোবাইট	kilobyte
กิ่งแก้ว	kingkaew	kingkaeo
กิ้งกือ	কেন্নো	millipedes
กิ๊ก	লাথি খাবি	gig
กีฏวิทยา	পতঙ্গবিজ্ঞান	entomology
กีฬา	খেলা	sports
กีฬาทางน้ำ	জলক্রীড়া	water sports
กีฬาแหลมทอง	লায়েম থং স্পোর্ট	seap games
กุดจับ	ছাঁচ	good jub - a place
กุลดิลก	kuldilok	kuldilok
กุลละวณิชย์	kulalawanit	kullawanich
กุหลาบ	গোলাপ	kularb (first name)
กุ้ง	চিংড়ি	shrimp
กุ้งต้ม	সিদ্ধ চিংড়ি	boiled shrimp
กูเกิล	গুগল	google
ก็คือ	কি	which is
ก็ใช้เป็น	হিসাবে ব্যবহার	utilize
ก่อตั้ง	উদিত	founded
ก่อตั้งโดย	প্রতিষ্ঠিত দ্বারা	make by
ก่อนที่	আগে	before
ก่อนที่จะตกเป็นของฝรั่งเศสในเวลาต่อมา	পরে ফ্রান্স হওয়ার আগে	belonging to france, under the control of france
ก่อนหน้านั้น	এর আগে	before
ก้อย	পিংকি	koi
ก้าน	চুপিসাড়ে অনুসরণ করা	thorn
ก้านกล้วย	কলা ডাঁটা	kankluai
ก๊าซธรรมชาติ	প্রাকৃতিক গ্যাস	natural gas
ก๎ล	উপহার	magic
ขขขขขขขขขข	খ খ খ খ খ খ	repeated letter from thai alphabet
ขณะทรงพระเยาว์	তিনি যখন ছোট ছিলেন	having to do with the young prince or princess
ขณะที่	যদিও	while
ขนม	মিছরি	dessert
ขนมกล้วย	কলা	banana dessert
ขนมครก	knmcrk	kind of thai sweetmeat
ขนมปัง	রুটি	bread
ขนมปังขิง	জিনজার ব্রেড	gingerbread
ขนมเปียกปูน	অসমকোণ সমবাহু চতুর্ভুজ ক্ষেত্র	a type of thai dessert with flour and sugar
ขนมไทย	থাই মিষ্টি	thai dessert
ขนสัตว์	উল	fur, animal hair
ขนอม	খানম	kanom - location in thailand
ขนาดหน้าตัก	ল্যাপ সাইজ	length between both knees of buddha statue in posture of meditation
ขนาดใหญ่	বড় আকার	l
ขบวนการอ๊บอ๊บป่วนโลก	পৃথিবীর আন্দোলন	original name is keroro gunso
ขบวนรถสินค้า	রেলগাড়ি	caravan of trucks
ขม	তিক্ত	bitter taste
ขรรค์ชัย	খান চই	kanchai - a male's name
ขลุ่ยหลิบ	বাঁশি	khlui lib
ขวด	বোতল	bottle
ขวัญ	মনোবল	morale
ขวัญใจช่างภาพ	প্রিয় ফটোগ্রাফার	miss photogenic
ขสมก	ভর	an acronym consists of four thai letters
ของ	এর	of
ของทุกปี	প্রত্যেক বছর	every year
ของประเทศจีน	চীন এর	owned by china
ของมหาวิทยาลัย	বিশ্ববিদ্যালয়ের	of university
ของมัน	এর	their
ของร่างกาย	দেহের	of the body
ของสมเด็จฮุน	সোমদেজ হুনের	houssaine of cambodia
ของสิ่งมีชีวิต	জীবন্ত জিনিস	living things
ของสุนทรภู่	সানথর্ন ফু এর	belong to soon thong pu (a thai legend)
ของเหลว	তরল	liquid
ของโลก	বিশ্বের	of world
ขอนแก่น	খন কাenন	khon kan - an area in thailand
ขอบคุณที่รักกัน	আমাকে ভালবাসার জন্য ধন্যবাদ	thank you for loving each other
ขอเช็ดน้ำตา	আসুন চোখের জল মুছে দিন	wipe the tears
ขอให้เด็กสมัยปฏิวัติของข้าพเจ้า	আমার বিপ্লবী সন্তানদের হোক	i hope that the children in my lifetime will ____________
ขั้นที่	ধাপ	level
ขา	পা	leg
ขาย	বিক্রয়	sell
ขิง	আদা	ginger
ขิม	পিয়ানোর আদিরূপ	kim - a thai musical instrument
ขีดเส้นใต้	নিম্নরেখাঙ্কন	underline
ขี้ผึ้ง	মোম	wax
ขึ้นเป็น	পর্যন্ত	to
ขึ้นไป	আপ	next one up
ขุขันธิน	খান টিন	kukuntin
ขุนหาญ	হ্যান	koonhan - a location in thailand
ข้อมูลทั่วไป	সাধারণ জ্ঞাতব্য	general information
ข้อมูลประเทศเดนมาร์ก	ডেনমার্ক সম্পর্কিত তথ্য	information on denmark
ข้อมูลปรากฏการณ์โลกร้อน	বিশ্ব উষ্ণায়নের ঘটনা on	global climate change
ข้อมูลปี	বছরের তথ্য	information from the year ________
ข้อมูลอื่นๆ	অন্যান্য তথ্য	other information
ข้อมูลโดย	দ্বারা ডেটা	information from
ข้อวิพากษ์วิจารณ์	সমালোচনা	critique reports
ข้ามฉาก	দৃশ্য জুড়ে	sin(a)
ข้าวสาลี	গম	wheat
ข้าวหลาม	খাও লাম	bamboo rice
ข้าวเกรียบปากหม้อ	ভাত ক্র্যাকার	a thai snack
ข้าวเจ้า	ধান	white rice
ข้าวโพด	ভূট্টা	corn
ข้าหลวงกำกับราชการเมืองขุขันธ์คนที่	রাজ্যপাল, খুখন শহরের গভর্নর	government worker for ku khan city
ฃ	ฃ	a letter from thai alphabet
คงยิ่ง	খুব সম্ভবত	kongying
คงเจริญ	সম্ভবত সমৃদ্ধি	khongcharoen
คณะครุศาสตร์	শিক্ষা অনুষদ	education department
คณะครุศาสตร์อุตสาหกรรม	শিল্প শিক্ষা অনুষদ	faculty of industrial education
คณะที่	অনুষদ	the current administration
คณะบัญชี	হিসাববিজ্ঞান অনুষদ	accounting department (major)
คณะปฏิรูปการปกครองแผ่นดิน	বিপ্লবী কমিটি	national administrative reform council
คณะประมง	ফিশারি ফ্যাকাল্টি	fishery division of the college of farming and agriculture
คณะพยาบาลศาสตร์	নার্সিং অনুষদ	nursing department
คณะมนุษย์ศาสตร์และสังคมศาสตร์	মানবিক ও সামাজিক বিজ্ঞান অনুষদ	humanity department
คณะรัฐมนตรีคณะที่	মন্ত্রিসভা	council of ministers
คณะวิทยาการจัดการ	ম্যানেজমেন্ট সায়েন্স অনুষদ	management department
คณะวิศวกรรมศาสตร์	প্রকৌশল অনুষদ	engineering department
คณะศิลปกรรมศาสตร์	চারুকলা অনুষদ	faculty of fine arts
คณะสถาปัตยกรรมศาสตร์	আর্কিটেকচার অনুষদ	faculty of architecture
คณะสหเวชศาสตร์	মিত্র স্বাস্থ্য বিজ্ঞান অনুষদ	อังกฤษ   faculty of allied health science
คณะสาธารณสุขศาสตร์	জনস্বাস্থ্য অনুষদ	faculty of public health
คณะเกษตร	কৃষি অনুষদ	faculty of agriculture
คณะแพทยศาสตร์ศิริราชพยาบาล	মেডিসিন অনুষদ সিরিরাজ হাসপাতাল	faculty of medicine siriraj hospital
คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี	মেডিসিন অনুষদ, রামাঠিবোদি হাসপাতাল	the staff of ramatippadee hospital
คณารศ	kanara	kanaros - a surname
คนที่	জনগণ	person number __________________________
คนที่ไปช่วยรุ่นที่	প্রজন্মকে সাহায্যকারী মানুষ	volunteer group number __________
คนแคระ	বামন	dwarf
คนแรก	প্রথম ব্যক্তি	first
คปค	বছর	3 thai letters
คม	তীব্র	sharp
ครอคโคไดล์	কুম্ভীর	crocodile
ครอบครัว	পরিবার	family
ครั้งหนึ่ง	একবার	once upon a time
คราประยูร	prayun	karaprayoon - a thai surname
คราม	বেগনি নীলবর্ণ	indigo
คริส	ক্রিস	christ
คริสตี	ক্রিস্টি	christie - a female name
คริสต์ศาสนา	খ্রীষ্টধর্ম	christainity
ครุฑ	গরুড়	garuda
ครู	শিক্ষক	teacher
ครูพิเศษจอมป่วน	ট্রোল শিক্ষক	kru pisat jom poun  - name of a story
คลอง	খাল	canal
คลองสาน	খ্লং সান	klongsan
คลองเตย	খ্লং তোয়ই	klongtoei
คลับ	ক্লাব	club
คลาวิคอร์ด	শ্রেণী	clavichord
คลิก	ক্লিক	click
คลินิก	ক্লিনিক	clinic
คลิป	ক্লিপ	clip
คลื่นสึนามิ	সুনামি	tsunami wave
ควอน	কোন্দো	kwon - a surname of a korean singer
ควอร์เตอร์	সিকি	quarter
ความกว้าง	প্রস্থ	width
ความงาม	সৌন্দর্য	beauty
ความจำ	স্মৃতি	memory
ความต่างศักย์	সম্ভাব্য পার্থক্য	potential difference in physics
ความถี่	ফ্রিকোয়েন্সি	frequencies
ความนิยม	জনপ্রিয়তা	popular
ความบริสุทธิ์	বিশুদ্ধতা	purity
ความฝันอันสูงสุด	চূড়ান্ত স্বপ্ন	the impossible dream
ความพอประมาณ	বিনয়	estimate
ความยากจน	দারিদ্র্য	poverty
ความยาว	দৈর্ঘ	length
ความยาวคลื่น	তরঙ্গদৈর্ঘ্য	frequencies
ความยาวช่วงคลื่น	aveেউয়ের দৈর্ঘ্য	wave length
ความยาวเพลง	গানের দৈর্ঘ্য	the length of the song
ความรัก	ভালবাসা	love
ความรู้	জ্ঞান	knowledge
ความสว่าง	উজ্জ্বলতা	illumination
ความสัมพันธ์กับประเทศไทย	থাইল্যান্ডের সাথে সম্পর্ক	relationship with thailand
ความสัมพันธ์ระหว่างจีนกับอเมริกา	চীন ও আমেরিকার সম্পর্ক	relationship with china and the usa
ความสูง	উচ্চতা	height
ความส่องสว่าง	উজ্জ্বলতা	luminance
ความหนาแน่นของประชากร	জনসংখ্যা ঘনত্ব	population density
ความหมาย	অর্থ	meaning
ความหมายโดยพยัญชนะ	ব্যঞ্জনবর্ণ অর্থ	definition that derived from translation from another language
ความเข้มของการส่องสว่าง	আলোর তীব্রতা	luminous intensity
ความเข้าใจ	বোধশক্তি	understanding
ความเร่ง	ত্বরণ	acceleration
ความโกรธ	রাগ	anger
ความโน้มถ่วง	মহাকর্ষ	gravity
ควินโต	quinto	quinto
ควีนซี่	রাণী	quincy
คอ	ঘাড়	neck
คอนสตรัคชั่น	নির্মাণ	construction
คอนเวนชัน	কনভেনশন	convention
คอนเสิร์ตประสานเสียงสามสถาบัน	তিনটি প্রতিষ্ঠান কোয়ার কনসার্ট	chulalongkorn kasetsart thammasat choral concert
คอมพิวเตอร์ยุคที่	কম্পিউটার যুগ	_-generation computer (as in frist generation, second generation etc)
คอร์ด	জ্যা	chord
คอลลิงวูด	callingwood	collingwood
คอสตาริกา	কোস্টারিকা	costa rica
คัง	কাং	kan
คัชชินสกี	kutchinski	kaczyński
คัญทัพ	গুরুত্বপূর্ণ সেনা	main army.
คัทลียา	cattleya	kathaleeya (thai first name)
คันธวงศ์	kanthavong	kunntavong - a surname
คัพ	কাপ	cup
คัมภีร์	শাস্ত্র	bible
คั่ว	ভাজা	dry roasting
คาคาชิ	kakashi	cacashi
คางาริ	kagari	kagari
คาซัคสถาน	কাজাকস্থান	kazakhstan
คาถาอัญเชิญ	জাদুমন্ত্রোচ্চারণ	a magic spell
คาบ	কাল	frequency
คาบัคโรเน่	kabakhroone	kyabarrone
คาบูโตะ	kabuto	kabuto
คาปูชิโน่	কাপাচিনো	cappuccino
คามิว	kamui	camus
คาราคุระ	karakura	karakura
คาร์ล	কার্ল	karl
คาวทอง	fishyong	lizard tail
คาเมนไรเดอร์	kamen চড়নদার	kamen rider
คาโรลัส	carolas	carolus linnaeus
คำขวัญวันเด็ก	শিশু দিবসের স্লোগান	quote for kids day
คำถามข้อที่	প্রশ্ন নম্বর	the question number_________
คำนวณ	ক্যালকুলেট	calculate
คำนาม	বিশেষ্য	noun
คำพ้องรูป	প্রতিশব্দ	hemonym
คำมั่นสัญญา	প্রতিশ্রুতি	agreement
คำม่วง	খাম মুয়াং	kham muang
คำวิลัยศักดิ์	kamwilaisak	important words, magic words
คำศัพท์	শব্দতালিকা	word
คำสรรพนาม	সর্বনাম	pronoun
คำสร้อย	শব্দ	kumsoi - a country singer
คำสุดท้ายของวรรคที่	অনুচ্ছেদের শেষ শব্দ	the last word (in a poem)
คำสุภาพ	ভদ্র শব্দ	formal
คำอธิบาย	বিবরণ	explanation
คำเมือง	শহর শব্দ	kum meuong - a location in chiang mai
คำแปล	অনুবাদ	translation
คิง	রাজা	king
คิงส์	কিংস	kings
คิงส์คัพ	কিং কাপ	king's cup
คิงไลเนอร์	kingliner	kingliner
คิชิเนีย	kishinya	kishinia
คิด	মনে	thinking
คินนิคุแมน	kinnikuman	kinkiku man
คิมิฮิโระ	kimihiro	kimihiro
คิระ	kira	kira - japanese name
คิเคียว	kikyo	kikyo
คีตกวี	সুরকার	composer
คือประมาณ	সম্পর্কে	estimated to be
คือเพลง	একটি গান	is the song
คุณ	আপনি	you
คุณครูจอมเวท	যাদুকর শিক্ষক	magister
คุณปลื้ม	খুন প্লুয়েম	kunpleam
คุณหญิงโม	সম্রাজ্ঞী মো	suranaree
คุณากร	আপনি	khunakon
คุราปิก้า	kurapika	kurapika
คุโรซึจิ	kurotsuji	kurochiji - a japanese word
คุ้มค่า	ভালো দাম	worth the money spent on
คูกิมิยะ	kukimiya	kugimiya
คูคาคุ	kuku থেকে	kukaku (japanese last name)
คูเรียม	কিউরিয়াম	"chemical element ""curium"""
คูเวต	কুয়েত	kuwait
คู่กรรม	অংশীদার	soul mate
ค่าความต้านทานตัวที่	প্রতিরোধের মান যে	resistance value of the
ค่าจีดีพี	জিডিপি	gdp - an economics term
ค่าใช้จ่าย	মূল্য	expense
ค่ำแล้ว	কালচে	getting dark, at dusk
ค้างคาว	বাদুড়	bat
ฆ	জুয়ান	a letter from thai alphabet
ฆ้อง	ঘণ্টা	gong
ฆ้องวงใหญ่	বড় গং	a group of thai drum music
งดส่งเข้าประกวด	প্রবেশ নিষেধ	enroll in the contest
งาน	কাজ	work, job
งานอดิเรก	শখ	hobby
งานเขียน	রাইটিংস	writing, composition work
งานเทางามสัมพันธ์	তাও এনগাম সম্পর্ক	public party
งานโมเสก	বিচিত্র	mosaic
งามวงศ์วาน	ngamwongwan	ngamwongwan
งู	সাপ	snake
งูอนาคอนดา	বড় অজগর সাপ	anaconda snake
จดหมายอากาศ	এয়ার মেল	aerogram
จตรัง	ট্রং	trang province (name of province in thailand)
จตุรงค์	chatuchak	jaturong - a surname of a comedian
จนกระทั่ง	পর্যন্ত	until
จนกระทั่งปี	বছর অবধি	until the year
จนกระทั่งเมื่อปี	গত বছর পর্যন্ত	until the year
จนครปฐม	নাখন পাঠোম	nakorn pratom state
