$	$ $	(dollar sign)
augmentation	aumentacion	increase
augmente	aumenta	increases
augmentent	aumentar	increase
augmenter	aumentar	increase
augmenté	aumentado	raised
augmentée	aumentado	raised
auguste	agosto	(man's name)
augustin	agustín	augustine
aujourdhui	hoy	today
auparavant	antes	previously
auprès	con	bp
auquel	a que	to which
aura	tendrá	aura
auraient	tendría	would have
aurait	tendría	would have
auront	tendrá	will
aurès	aurès	aures
aus	aus	aus
auschwitz	auschwitz	auschwitz
aussi	también	also
aussitôt	inmediatamente	as soon as
austin	austin	austin
australie	australia	australia
australien	australiano	australian
australienne	australiana	australian
australiens	australianos	australians
autant	tanto	as much
auteur	autor	author
auteurs	autores	authors
authentique	auténtico	authentic
authority	autoridad	authority
autisme	autismo	autism
autobiographie	autobiografía	autobiography
autochtones	nativo	aboriginal
automatique	automático	automatic
automatiquement	automáticamente	automatically
automne	otoño	autumn
automobile	automóvil	motorcar
autonome	autónomo	independent
autonomes	autónomo	autonomous
autonomie	autonomía	autonomy
autorisation	autorización	autorisation
autorise	autoriza	authorizes
autorisé	permitido	authorised
autorisée	autorizado	authorized
autorisés	permitido	authorized
autoritaire	mandón	autoritary
autorité	autoridad	authority
autorités	autoridades	authorities
autoroutes	carreteras	highways
autour	alrededor	around
autre	otro	other - else - another
autrefois	anteriormente	in the past
autrement	de lo contrario	differently
autres	otros	other
autriche	austria	austria
autrichien	austriaco	austrian
autrichienne	austriaco	austrian
autrichiens	austriacos	austrian
aux	a	at the - at the - in the
auxquelles	los cuales	to which
auxquels	a que	to which (here: on which)
avaient	tenía	had
avait	tenía	had
avance	adelantar	advance
avancé	avanzado	advances
avancée	avanzado	progress
avancées	avanzado	advanced
avant	antes	before
avantage	ventaja	advantage
avantages	ventajas	benefits
avatar	avatar	avatar
avec	con	with
avenir	futuro	future
aventure	aventura	adventure
aventures	aventuras	adventures
avenue	avenida	avenue
aveugle	ciego	blind
avion	avion	plane
avions	aviones	aircraft
avis	aviso	opinion
avocat	abogado	lawyer
avoir	haber	to have
avons	tenemos	have
avoue	admitir	admits
avril	abril	april
awards	premios	awards
axe	eje	axis
axes	hachas	axis
ayant	teniendo	with
azoture	azida	azoturia
aérien	antena	aerien
aérienne	antena	aerial
aériennes	antena	aerial
aéronefs	aeronave	aircraft
aéroport	aeropuerto	airport
aéroports	aeropuertos	airports
aîné	anciano	elder
b	b	b
babylone	babilonia	babylon
bach	bach	bach
back	volver	back
backlash	reacción violenta	backlash
bacon	tocino	bacon
bactérie	bacterias	bacteria
bactéries	bacterias	bacteria
bad	mal	bad
bafta	bafta	bafta
baie	bahía	bay
bain	baño	bath
bains	baños	baths
baiser	beso	kiss
baisse	soltar	decrease
bal	pelota	ball
balance	escamas	balance
bali	bali	bali
balkans	balcanes	balkans
ball	pelota	ball
ballade	balada	ballad
balle	bala	ball
balles	balas	balls
ballet	ballet	ballet
ballon	globo	balloon
baltique	báltico	baltic
balzac	balzac	balzac
bancaire	banca	banking
band	banda	band from tv
bande	banda	band
bandes	cintas	strips
bank	banco	bank
banlieue	suburbio	suburb
banque	banco	bank
banques	bancos	banks
baptisme	bautismo	baptist
baptiste	bautista	baptist
baptisé	bautizado	baptizes
baptisée	bautizado	baptised
baptême	bautismo	baptism
bar	bar	bar
barack	barack	barack
barbara	barbara	barbara
barbares	bárbaros	barbarians
barcelone	barcelona	barcelona
bardot	hinny	bardot
baromètre	barómetro	barometre
baron	barón	baron
baroque	barroco	barogue
barrage	presa	dam
barrages	presas	dam
barre	bar	bar
barres	bares	bars
barrett	barrett	barnett
barrière	barrera	barrier
barry	barry	barry
barça	barça	barça
bas	abajo	down
base	base	base
bases	fundamentos	bases
bash	golpe	bash
basilique	basílica	basilica
basketball	baloncesto	basketball
basque	vasco	basque
basse	bajo	bass guitar
basses	bajo	low
bassin	pelvis	basin
bassins	cuencas	basin
bassiste	bajista	bassist
bastille	bastilla	bastille
basé	basado	base
basée	basado	based
basées	basado	based
basés	basado	based
bat	murciélago	beats
bataille	batalla	battle
batailles	batallas	combats
bateau	barco	ship
bateaux	barcos	boats
batista	batista	batista
batman	batman	batman
battant	volando	beating
battent	latir	beat
batterie	bateria	battery
batteur	baterista	drummer
battle	batalla	battle
battre	batir	beat
battu	golpeado	beaten
battue	maltratadas	beaten
baudelaire	baudelaire	baudelaire
bauer	bauer	bauer
bavière	baviera	bavaria
bayern	bayern	bayern
bbc	bbc	bbc
bd	bd	boulevard
beach	playa	beach
beatles	beatles	beatles
beau	hermoso	beauty
beaucoup	mucho	a lot
beauté	belleza	beauty
beaux	hermosos	beautiful
beauxarts	bellas artes	fine-arts
beethoven	beethoven	beethoven
bel	hermosa	beautiful
belge	belga	belgian
belges	belgas	belgians
belgique	bélgica	belgium
belgrade	belgrado	belgrad
bell	campana	bell
bella	bella	bella
belle	precioso	beautiful
belles	hermosas	beautiful
belmondo	belmondo	belmondo
ben	bien	ben
bender	doblador	bender
benjamin	el mas joven	youngest
benoit	bien	benedict
benoît	benedicto	benoit
benzema	benzema	benzema
berbère	bereber	berber
berbères	bereber	berber
berceau	cuna	cradle
berger	pastor	shepherd
berlin	berlin	berlin
berlusconi	berlusconi	berlusconi
bernard	bernard	bernard
berne	media asta	bern
bertrand	bertrand	bertrand
besoin	necesito	need
besoins	necesidades	needs
beurre	mantequilla	butter
beyoncé	beyoncé	beyonce
biais	sesgo	through
bible	biblia	bible
bibliographie	bibliografía	bibliography
bibliothèque	biblioteca	library
bibliothèques	bibliotecas	libraries
biblique	bíblico	biblical
bien	bien	all right
biens	bienes	goods
bientôt	pronto	coming soon
bienêtre	bienestar	wellbeing
bijoux	joyas	jewelry
bilan	balance general	balance sheet
bilingue	bilingue	fluent
bill	factura	bill
billboard	cartelera	billboard
billet	boleto	ticket
billets	entradas	tickets
billie	billie	billie
biodiversité	biodiversidad	biodiversity
biographes	biógrafos	biographers
biographie	biografía	biography
biographies	biografías	biographies
biologie	biologia	biology
biologique	organico	biological
biologiques	organico	biological
bipolaire	bipolar	bipolar
bière	cerveza	beer
black	negro	black
blaise	blaise	blaise  ( name )
blake	blake	blake
blanc	blanco, blanca	white
blanche	blanca	white
blanches	blanco	white
blancs	blanco	whites
blason	escudo de armas	emblem
bleach	lejía	bleach
blessure	herida	injury
blessures	heridas	injuries
blessé	herido	hurt
blessés	herido	wounded
bleu	azul	blue
bleue	azul	blue
bleus	azul	blue
bloc	bloque	bloc
blocs	bloques	blocks
blocus	bloqueo	blockade
blog	blog	blog
blogs	blogs	blogs
blood	sangre	blood
blue	azul	blue
blues	blues	blues
bluray	bluray	blu-ray
blé	trigo	wheat
bob	bob	bob
boeing	boeing	boeing
bohême	bohemia	bohemia
boire	beber	drink
bois	madera	wood
boisson	beber	drink
boissons	bebidas	drink
boleyn	bolena	boleyn
bolivie	bolivia	bolivia
bolt	perno	bolt ( name )
bombardement	bombardeo	bombardement
bombardements	bombardeo	bombardment
bombe	bomba	bomb
bon	bueno	good
bonaparte	bonaparte	bonaparte
bond	saltar	bond
bonheur	la felicidad	happiness
bonne	buena	good
bonnes	bueno	good
bono	bono	bono
bons	bueno	good
bonus	bono	extra
booba	booba	booba
bord	borde	seashore (first) alongside (for the 2nd) edge (for the last)
bordeaux	borgoña	bordeaux
bords	bordes	banks
bordure	frontera	edge
boris	boris	boris
boston	boston	boston
botanique	botánica	botanical
bouche	boca	mouth
bouclier	escudo	shield
bouddha	buda	budhha
bouddhisme	budismo	buddhism
bouddhiste	budista	buddhist
boulevard	bulevar	boulevard
bourbon	bourbon	bourbon
bourdieu	bourdieu	bourdieau
bourgeois	burguesa	middle-class
bourgeoisie	burguesia	bourgeoisie
bourgogne	borgoña	burgundy
bourguignons	burgundios	burgundy
bourse	monedero	stock exchange
bout	a tope	part
boutiques	tiendas	shops
bovary	bovary	bovarie
bowie	bowie	bowie
box	caja	boite
boxe	boxeo	boxing
boy	chico	boy
boyz	boyz	boyz
boîte	caja	club
brad	brad	brad
bram	bram	bram
branche	rama	sector
branches	ramas	branches
bras	brazo	arms
break	pausa	break
bree	bree	bree
bref	corta	bref
bregma	bregma	(medical term)
brel	brel	brel
bretagne	bretaña	brittany
breton	bretón	breton
bretonne	bretón	breton
bretons	bretones	bretons
brevet	patente	patent
brian	brian	brian
bridge	puente	bridge
brigitte	brigitte	brigitte
brillant	brillante	brilliant
brillante	brillante	brilliant
britannique	británico	britannic
britanniques	británico	british
britney	britney	britney
brièvement	brevemente	briefly
bronze	bronce	bronze
brooklyn	brooklyn	brooklyn
brothers	hermanos	brothers
brown	marrón	brown
bruce	bruce	bruce
bruit	ruido	noise
brun	marrón	brown
bruno	bruno	bruno
brut	asqueroso	crude
bruxelles	bruselas	bruxelles
bryan	bryan	bryan
brève	breve	brief
brésil	brasil	brazil
brésilien	brasileño	brazilian
brûler	quemar	"burn, burn down (to indicate ""eradicate"")"
budapest	budapest	budapest
budget	presupuesto	budget
budgétaire	presupuestario	budgetary
buffy	buffy	buffy
building	edificio	constructing
bulgare	búlgaro	bulgarian
bulgarie	bulgaria	bulgaria
bull	toro	bull
bulle	burbuja	ball
bulls	toros	bulls
bureau	despacho	office
bureaux	oficinas	offices
burkina	burkina	burkina
burton	burton	burton
bus	bus	bus
bush	arbusto	bush
business	negocio	business
buste	busto	bust (statue)
but	objetivo	objective
buteur	goleador	shooter
buts	objetivos	goals
bwv	bwv	bwv
byzance	bizancio	byzantium
byzantin	bizantino	byzantine
byzantins	bizantino	byzantine
bâle	basilea	bale
bâti	construido	built
bâtiment	edificio	building
bâtiments	edificios	building
bébé	bebé	baby
bémol	plano	flat
bénin	benigno	mild
bénéfice	beneficio	profit
bénéfices	ganancias	benefits
bénéficie	disfruta	benefit
bénéficient	beneficio	benefit
bénéficier	beneficiar	benefit
bénéficié	beneficiado	benefited
bétail	ganado	livestock
béton	hormigón	concrete
bœuf	carne de res	beef
c	c	c
ca	eso	ca
cabine	cabina	boot
cabinet	gabinete	firm
cacao	cacao	cocoa
cache	esconderse	hide
cacher	esconder	hide
caché	escondido	hidden
cachée	escondido	hidden
cadeaux	regalos	gifts
cadet	junior	younger
cadre	marco	through
cadres	marcos	frameworks
café	cafe	coffee
caféine	cafeína	cafein
cafés	cafeterías	coffees
cage	jaula	cage
cahier	cuaderno	notebook
cahiers	cuadernos	book
caille	codorniz	callie
caire	el cairo	cairo
caisse	pago	fund
caisses	cajas	funds
calcaire	caliza	limestone
calcium	calcio	calcium
calcul	calculo	calculation
calculer	calcular	compute
calculs	cálculos	calculus
calculé	calculado	calculated
calendrier	calendario	calendar
califat	califato	caliphate
calife	califa	caliph
california	california	california
californie	california	california
calme	calma	peace
camarades	camaradas	comrades
cambodge	camboya	cambodgia
cambridge	cambridge	cambridge
cameron	cameron	cameron
cameroun	camerún	cameroon
camille	camilla	camille
camp	acampar	camp
campagne	campo	campaign
campagnes	campañas	campaigns
camps	campamentos	sides
campus	campus	campus
camus	camus	camus
caméra	camara	camera
caméras	cámaras	cameras
canada	canadá	canada
canadien	canadiense	canadian
canadienne	canadiense	canadian
canadiens	canadienses	canadian
canal	canal	canal
canal+	canal +	canal+
canard	pato	duck
canaries	canario	canary islands
canaux	canales	channels
cancer	cancer	cancer
cancers	cánceres	cancers
candidat	candidato	candidate
candidats	candidatos	candidates
candidature	aplicación	candidacy
candide	sincero	candid
canis	canis	canis
canne	bastón	cane
cannes	bastones	canes
canon	cañón	canon
canot	canoa	dinghy
canots	canoas	lifeboats
canton	cantón	canton
cantons	cantones	districts
cap	capa	cape
capable	capaz	capable
capables	capaz	can
capacité	capacidad	ability or capability
capacités	capacidades	capabilities
capitaine	capitán	captain
capital	capital	capital
capitale	capital	capital city
capitales	capitales	capitals
capitalisme	capitalismo	capitalism
capitaliste	capitalista	capitalist
capitaux	capital	capitals
capitole	capitolio	capitole
capone	capone	capone
capture	capturar	capture
capvert	cabo verde	green-cape
car	porque	as
caractère	personaje	specificity
caractères	personajes	characters
caractérise	caracteriza	characterized
caractéristique	característico	characteristics
caractéristiques	características	characteristic
caractérisé	caracterizado	characterized
caractérisée	caracterizado	characterised
caravage	caravaggio	caravaggio
caraïbes	caribe	carribean
carbone	carbono	carbon
carburant	combustible	fuel
cardiaque	corazon	cardiac
cardiaques	corazon	heart
cardinal	cardenal	cardinal
carl	carl	carl
carlo	carlo	carlo
carlos	carlos	carlos
carnaval	carnaval	carnival
carnets	cuadernos	notebooks
carole	carole	carol (but in this contexte carole as it mention carole king)
caroline	carolina	carolina
carolingienne	carolingio	carolingian
carrefour	encrucijada	crossroad
carrie	carrie	carrie
carrière	carrera	career
carrières	carreras	pits
carroll	carroll	carroll
carré	plaza	square
carrée	plaza	square
carrés	cuadrados	squares
carte	mapa	map
carter	carcasa	(surname)
cartes	tarjetas	maps
carthage	cartago	carthage
cartier	cartier	cartier
cartographie	cartografía	cartography
cas	caso	case
casablanca	casablanca	casablanca
case	choza	hut
casino	el casino	casino
casting	fundición	cast
castro	castro	castro
catalan	catalán	catalan
catalogne	cataluña	catalonia
catalogue	catalogo	catalog
catastrophe	desastre	disaster
catastrophes	desastres	disasters
catch	atrapar	wrestling
catcheur	luchador	catcher
catcheurs	luchadores	wrestlers
catherine	catherine	catherine
catholicisme	catolicismo	catholicism
catholique	catolico	catholic
catholiques	católicos	catholics
cathédrale	catedral	cathedral
cathédrales	catedrales	cathedrals
catégorie	categoría	category
catégorieacteur	categoría de actor	two words : category actor
catégorieactrice	categoría	category: actress
catégorieancien	categorian	category: former
catégoriechanteur	categoría de cantante	category: singer
catégoriechanteuse	categoría de canto	singer's category
catégoriechevalier	categoría de caballero	category : knight
catégoriedécès	categoría de muerte	category died
catégoriefilm	categoriefilm	category: movie
catégoriegroupe	grupo de categorías	category: band
catégoriehistoire	historia de la categoría	category history
catégoriejoueur	categoría de jugador	category: player
catégorielauréat	categoría ganadora	category: winner
