$	dollarni tashkil etadi	dollar
архиепископа	yepiskop	archbishop
архимед	arximed	archimed
архитекта	me&#39;mor	architect
архитекте	me&#39;morlar	architects
архитектонски	me&#39;moriy jihatdan	architectural
архитектура	arxitektura	architecture
архитектуре	arxitektura	achitecture
архитектури	arxitektura	architecture
архитектуру	arxitektura	architecture
асонанца	undosh	assonance
асоцијација	uyushma	association
аспекти	jihatlari	aspects
астронаутика	kosmonavtika	astronautics
астрономија	astronomiya	astronomy
астрономије	astronomiya	astronomy
асурбанипал	asurbanipal	ashurbanipal
атентат	suiqasd	assassination
атентата	suiqasd	assassination
атентату	suiqasd	assassination
атеље	studiya	studio
атила	attila	attila
атина	afina	athens
атине	afina	athens
атини	afina	athens
атлантски	atlantika	atlantic
атлантског	atlantika	atlantic
атмосфера	atmosfera	atmosphere
атмосфере	atmosfera	atmosphere
атмосфери	atmosfera	atmosphere
атмосферу	atmosfera	atmosphere
атол	atoll	soldier
атом	atom	atom
атома	atom	atoms
атон	aton	aten
атп	atp	atp
атракције	diqqatga sazovor joylar	attraction
атрибута	sifatlar	attribute
аугит	avit	augite
аустралија	avstraliya	australia
аустралије	avstraliya	australia
аустралији	avstraliya	australia
аустралијски	avstraliya	australian
аустрија	avstriya	austria
аустријанци	avstriyaliklar	austrians
аустрије	avstriya	austria
аустрији	avstriya	austria
аустријом	avstriya	austria
аустријске	avstriya	austrian
аустријски	avstriya	austrian
аустријског	avstriya	austrian
аустријском	avstriya	austrian
аустрију	avstriya	provinces
аустроугарска	avstriya-vengriya	austro hungarian
аустроугарске	avstriya-vengriya	austro hungarian
аустроугарски	avstriya-vengriya	austro-hungarian
аустроугарског	avstriya-vengriya	austro-hungarian
аустроугарском	avstriya-vengriya	austro hungarian
аустроугарској	avstriya-vengriya	austro-hungarian
ауто	mashina	car
аутобуси	avtobuslar	busses
аутоматски	avtomatik ravishda	automatic
аутоматско	avtomatik ravishda	automatic
аутомобил	mashina	car
аутомобила	mashina	automobiles
аутономије	avtonomiya	autonomy
аутономију	avtonomiya	autonomy
аутономна	avtonom	autonomous
аутономне	avtonom	autonomy
аутопут	avtomagistral	highway road
аутопута	avtomagistral	highway
аутопутева	avtomagistrallar	highways
аутор	muallif	author
аутора	muallif	authors
аутори	mualliflar	the authors
ауторитет	hokimiyat	authority
африка	afrika	africa
африке	afrika	africa
африку	afrika	africa
африци	afrika	africa
афричких	afrika	african
афродита	afrodita	aphrodite
ахат	agat	ahat
ахил	axilles	ahil
ахондроплазија	achondroplaziya	achondroplasia
ајакс	ajax	ajax
ајнштајн	eynshteyn	einstein
ајнштајнијум	eynshteyn	eistenium
б	b	b
баба	buvisi	grandmother
баве	pishirmoq	deal
бави	bitimlar	deals
бавили	o&#39;yin-kulgi	engaged in
бавио	bavio	dealt with
база	tayanch	base
базе	tayanch	bases
базел	bazel	basel
бази	tayanch	base
базу	tayanch	base
бакар	mis	copper
бакра	mis	copper
бакропис	to&#39;qish	engraving
бактерија	bakteriyalar	bactery
бактерије	bakteriyalar	bacteria
балашевић	balasevik	balashevic
балкан	balkon	balkan
балкана	bolqonlar	balkan
балканска	bolqon	balkan
балканске	bolqon	balkan
балкански	bolqon	balcan
балканским	bolqon	balkan
балканских	bolqon	balcan
балканско	bolqon	balkan
балканског	bolqon	balkan
балканском	bolqon	balcan
балкану	bolqonlar	balkans
бан	taqiq	ban
бана	bana	ban
банат	taqiq	banat
баната	banata	banat
банату	banatu	banat
банка	bank	bank
банке	banklar	bank
бановина	banovina	banovina
бановине	banovina	banovina
баптисти	baptistlar	baptist
бар	bar	at least
барбароса	vahshiy	barbarosa
барем	kamida	at least
барок	barok	barok
барока	barok	baroque
барометар	barometr	barometre
барселона	barselona	barselona
бас	bas	bass
басиста	basist	bassist
бастион	podval	bastion
бата	bata	bata
батаљон	batalyon	battalion
батаљона	batalyon	battalion
батискаф	vannaxona	batiskaf
бах	bah	bach
бацио	tashladi	threw
бачка	bachka	bachka
бачке	bachke	bachka
бачки	bachki	bachka
бачкој	bachkoy	bachka
баш	shunchaki	very
башта	bog &#39;	garden
баштина	meros	heritage
баштине	meros	heritage, fortune
бајазит	bayazit	bayazit
бања	kurort	spa
бање	kurort	banja
бањој	banjoj	spa
бдп	bdp	gdp
бдпа	bdpa	gdp
бебек	chaqaloq	bebek
бедем	devor	wall
бедема	rampartlar	wall
бедеми	rampartlar	walls
бежи	qochib ketish	runs
без	holda	without
безбедност	xavfsizlik	security
безбедности	xavfsizlik	security
бел	bel	white
бела	oq rang	white
белгија	belgiya	belgium
белгије	belgiya	belgium
беле	oq	white
бележи	eslatmalar	records
бели	oq	white
бело	oq rang	white
белог	oq	white
белорусија	belarusiya	belarus
белорусије	belarusiya	belarus
бен	ben	ben
бенд	guruh	band
бенда	benda	band
београд	oq shahar	belgrade
београда	belgrad	belgrade
београдом	belgrad	belgrad
београдска	belgrad	belgrade
београдске	belgrad	belgradian
београдски	belgrad	belgrade
београдског	belgrad	belgrade's
београдском	belgrad	belgrade
београдској	belgrad	belgrade's
београду	belgrad	belgrade
беране	berane	berane
берлин	berlin	berlin
берлина	berlina	berlin
берлински	berlin	berlin
берлинског	berlin	berlin
берлину	berlin	berlin
бесплатно	ozod	for free
бета	beta-versiya	beta
бетовен	lavlagi	beethoven
бетон	beton	concrete
беч	vena	austria
беча	vena	viena
бечеј	becej	becej (town)
бечки	vena	viennese
бечког	vena	austrian
бечу	vena	viena
би	bo&#39;lardi	will
библиографија	bibliografiya	bibliography
библиотека	kutubxona	library
библиотеке	kutubxonalar	library
библија	injil	bible
библије	injil	bible
бива	biva	becomes
бивају	ular	become
бивша	sobiq	former
бивше	sobiq	ex
бившег	sobiq	ex
бивши	oldingi	former
бившим	sobiq	former
бивших	sobiq	former
бившој	sobiq	former
бигар	katta	bigar
бизнис	ish	business
била	bo&#39;lgan	was
биле	safro	were
били	edi	were
било	bor edi	was
био	edi	was
биогеографија	biogeografiya	biogeography
биографија	tarjimai hol	biography
биоетика	bioetika	bioethic
биологија	biologiya	biology
биолошки	biologik	biological
биотит	biotit	biotite
бира	pivo	choose
бирају	ular tanlaydilar	choose
бисмо	biz edik	we
бистрица	bistrika	bistrica
битака	jang	battles
битан	muhim	important
бити	bolmoq	be
битка	jang	kingfisher
биткама	janglar	battles
битке	janglar	battle
битку	jang	battle
битна	muhim	important
битно	muhim	substantially
бих	kerak	elements
бици	bibi	battle
бичари	qamchi	paramecium
бијело	oq	white
бијелог	oq	white
бијељина	oqlik	bjelina
биљака	o&#39;simliklar	plants
биљке	o&#39;simliklar	plants
биљни	o&#39;simlik	herbal
бића	mavjudotlar	being
биће	bo&#39;ladi	will be
блага	yumshoq	mild
благе	yumshoq	mild
благо	xazina	slow
бластомера	blastomere	blastomer
бластомикоза	blastomikoz	blastomycosis
бластопор	blastopor	blastophore
блек	qora	black
ближе	yaqinroq	closer
близини	yaqinida	close
близу	ga yaqin	near
блиске	yaqin	close
блиски	yaqin	close
блиским	yaqin	close
блиског	yaqin	close
блиском	yaqin	close
блог	blog	blog
блогова	bloglar	blogs
блогови	bloglar	blogs
блок	blok	bloc
блока	blok	block
блокаду	blokada	blockade
блуз	ko&#39;klar	blues
бог	xudo	god
бога	xudo	god
богат	boy	rich
богата	boy	rich
богате	boy	the rich
богати	boy	rich
богатим	boy	rich
богатих	boy	the rich
богато	boy	richly
богатства	boylik	treasure
богатство	boylik	wealth
богату	boy	rich
богдан	bogdan	bogdan
богдановић	bogdanović	bogdanovic
богиња	ma&#39;buda	goddess
богиње	ma&#39;buda	goddess
богова	xudolarning	gods
богове	xudolar	gods
богови	xudolar	gods
боговима	xudolarga	gods
богом	xudo tomonidan	god
богородица	xudoning onasi	the holy virgin
богородице	bokira	madonna
богословије	ilohiyot	seminary
богу	xudo	god
бодова	ball	points
божанства	xudolar	deities
боже	xudo	god
божидар	bojidar	bozidar
божић	rojdestvo	christmas
божића	rojdestvo	goddess
божур	piongul	paeonia
божји	xudodan	god
бока	boka	boka
боки	kalçalar	boka
бол	og&#39;riq	pain
болест	kasallik	disease
болести	kasalliklar	illness
болница	kasalxona	hospital
болнице	kasalxonalar	hospital
болници	kasalxonalar	hospital
бомбардовања	bombalash	bombardment
бомбардовање	bombalash	bombardment
бомбардовању	bombalash	bombardment
бомбе	bombalar	bomb
бор	qarag&#39;ay daraxti	pine
бора	ajinlar	bora
боравак	turmoq	residence
боравио	qoldi	stayed
боравка	turmoq	stay
борац	qiruvchi	borac
бораца	jangchilar	soldiers
борба	jang	battle
борбама	janjallar	struggles
борбе	janjallar	battle
борбена	jang	combat
борбене	jang	battle
борбени	birikma	military
борбеним	birikma	battle
борбених	jang	battle
борби	janjallar	battles
борбу	jang	fight
боре	g&#39;ov	fight
бори	janjallar	fights
борили	jang qildi	fought
борио	jang qildi	fought
борис	boris	boris
борислав	borislav	borislav
боровница	buta mevasi	blueberry
босанска	bosniya	bosnian
босанске	bosniya	bosnian
босански	bosniya	bosnian
босанског	bosniya	bosnian
босна	bosniya	bosnia
босне	bosniya	bosnia
босни	bosniya	bosnia
босном	bosniya	bosnia
босну	bosniya	bosnia
бошко	boshko	boshko
бошњака	bosniyaliklar	bosnians
бошњаци	bosniyaliklar	the bosniaks
бошњачки	bosniya	bosnian
бој	jang	battle
боја	rangi	color
бојама	ranglar	colors
бојан	bojan	bojan
боје	ranglar	color
боји	ranglar	color
бојом	rangi	color
боју	rangi	battle
боље	yaxshiroq	better
бољи	yaxshiroq	better
бр	yo&#39;q	number
бразил	braziliya	brazil
бразила	braziliya	brazil
бразилу	braziliya	brazil
брак	nikoh	marriage
брака	nikoh	marriage
браку	nikoh	marriage
брана	to&#39;g&#39;on	brana
бране	to&#39;g&#39;on	defend
брани	himoya qilmoq	defends
бранимир	branimir	branimir
бранислав	branislav	branislav
бранка	branka	branko
бранко	branko	branko
бранковић	brankovich	brankovic
бранковића	brankovica	brankovic
брат	aka	brother
брата	aka	brother
братом	aka	brother
братство	qardoshlik	brotherhood
брату	aka	brother
браћа	aka-uka	brothers
браће	aka-uka	brothers
брда	tepaliklar	hills
брдима	tepaliklar	the hills
брдо	tepalik	hill
брду	tepalik	hill
бреговић	bregović	bregovich
брже	tezroq	quicker
бржи	tez	faster
брз	tez	fast
брзе	tez	fast
брзим	tez	fast
брзина	tezlik	speed
брзинама	tezliklar	speed
брзине	tezlik	speed
брзином	tezlik	speed
брзину	tezlik	speed
брзо	tez	fast
брзу	tez	quick
бригада	brigada	brigade
бригаде	brigada	brigades
бригантина	brigantin	brigantina (small military ship)
бригу	parvarish qilish	care
британаца	inglizlarning	britons
британија	britaniya	britain
британије	buyuk britaniyaning	britain
британији	britaniya	britain
британију	britaniya	britain
британска	britaniya	british
британске	britaniya	british
британски	britaniya	britain
британским	britaniya	british
британских	britaniya	british
британског	britaniya	british
британском	britaniya	british
британској	britaniya	british
британску	britaniya	british
британци	inglizlar	british
брод	kema	ship
брода	kema	ship
бродова	kemalar	ships
бродове	kemalar	boats
бродови	kemalar	ships
бродовима	kemalar	boats
броз	broz	broz
броза	broza	broz (middle name of former yugoslavian communist leader)
брокер	vositachi	broker
бронзаног	bronza	bronze
број	raqam	number
број=	soni =	noumber
броја	raqam	number
бројева	raqamlar	numbers
бројеви	raqamlar	numbers
бројем	soni bo&#39;yicha	number of
броји	hisoblaydi	counts
бројна	juda ko&#39;p	number of
бројне	juda ko&#39;p	many
бројни	juda ko&#39;p	many
бројним	juda ko&#39;p	numeral
бројних	juda ko&#39;p	many
бројност	mo&#39;llik	number of
броју	raqam	number
бројчано	soniga qarab	in number
брус	brus	bruce
бруто	yalpi	gross
брчко	brčko	brcko
бугара	bolgar	bulgarians
бугари	bolgarlar	bulgarians
бугарска	bolgariya	bulgaria
бугарске	bolgar	bulgarian
бугарски	bolgar	bulgarian
бугарских	bolgar	bulgarian
бугарског	bolgar	bulgarian
бугарском	bolgar	bulgaria
бугарској	bolgar	bulgarian
бугарску	bolgar	bulgarian
будва	budva	budva,montenegrian town
буде	bo&#39;ladi	be
буди	bo&#39;lmoq	awakensothers
будизам	buddizm	buddhism
будизма	buddizm	buddhism
будимпешта	budapesht	budapest
будимпешти	budapesht	budapest
буду	men qilaman	be
будуће	kelajak	future
будућег	kelajak haqida	future
будући	kelajak	future
