aajo	ridicolo	hospitality
apeja	pescatore	fisherman
apeere	per esempio	example
apis	apis	apis
apòmù	grembiule	apomu
apẹ̀rè	grembiule	example
arabu	arabo	arab
aralíle	tropicale	healthy body
arinkankan	questo	nationalist
ariso	aris	oral tradition
ariwaarin	medio oriente	mid-north
ariwaguusu	sud-occidentale	north-south
arkansas	arkansas	arkansas
aroko	vegetazione	composition
aruleyin	ciao	carried on the back
arun	patologia	disease
aryan	l&#39;ariano	aryan
aráa	fratello	people from
arábíà	alfabetico	arabia
aráròmí	ciao	araromi
arópò	corruzione	substitute
arúgbó	vecchiaia	elderly
arọ	noioso	cripple
asagun	vittoria	intial, first (referring to the 13 colonies)
ascii	scoprire	ascii
aseeto	insediamento	unfair
aseyori	successo	success
asipa	deviazione	first to kill
assessment	valutazione	ayewo
asìko	senza senso	time; ni asiko=when
asèdá	il naturale	origination
atangbona	atomo	emission
atanna	atomo	emitter
atigba	ammissibile	from time
atimo	piano	inland
atinrin	ridendo	thin
atun	riavvolgere	also
atunse	correzione	revision
australia	australia	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	austronesiana	austronesian
austríà	australia	austria
avar	avar	avar
awari	scoperta	discovery
awo	piatto	of
awonara	emozione	people of
awoòn	modello	people
awon	loro	they
awuruju	magico	shady
awùjo	cortesia	society
awújẹ	scandalo	root
aya	versetto	chest
ayeye	eternità	celebration
ayàfi	va bene	only if
ayò	ay	game
azikiwe	buon senso	azikwe
aṣòkan	individuale	united
baa	è	be with
babaláwo	il divinatore	herbalist
bahrain	bahrain	bahrain
balẹ̀	lascialo essere	settled
bang	scoppio	bang
banle	banle	banle
bara	l&#39;anno scorso	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	adesso	like this
bayìí	adesso	this
bce	lontano	bce
beauharnais	beauharnais	beauharnais
beijing	pechino	beijing
belarus	bielorussia	belarus
belgium	belgio	belgium
bengal	bengala	bengal
bengali	bengalese	bengal
benin	panchina	benin
berber	berbero	berber
berlin	berlino	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	ritorno	bharata
bibeli	bibbia	bible
biribiri	è stato schiacciato	intense
black	nero	dudu
bodies	corpi	ara
bojú	guarda	take care
bole	tronco	ground
bolt	bullone	bolt
bolívar	bolívar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	bridgeport	bridgeport
britain	gran bretagna	britain
brítánì	britannico	britain
bu	questo è	give
buenaventura	buenaventura	buenaventura
bujumbura	allargato	bujumbura
burúkú	il male	bad
by	di	does not translate directly, does not exist
bàbá	il padre	father
bákannáà	anche	likewise
bálè	palloncino	lying on the ground
bárakú	dipendenza	habitual
báyìí	adesso	this
bèrẹ̀	iniziare con	started
béè	proprio così	than
bòtswánà	il bus	botswana
búburú	male	bad
búrú	sii coraggioso	wicked
bẹ̀rẹ̀	per iniziare	started
bẹ́	rotto	also
bẹ́ljíọ̀m	berillo	belgium
bẹ́ẹ̀ni	sì	yes
bẹ́ẹ̀sìni	sì	that is it
cairo	rabbia	cairo
calabar	gomma da masticare	calabar
canaria	canaria	canaria
cape	mantellina	cape
casablanca	casablanca	casablanca
caslon	casinò	caslon
cathedral	cattedrale	cathedral (katidral)
catherine	catherine	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	charles	charles
chaskalson	chaskalson	chaskalson
chebbi	pensare	chebbi
cherished	caro	mu lokunkundun
china	cina	china
cipollone	cipollone	cipollone
clear	chiaro	danmanran
code	codice	code
coetsee	coetsee	coetese
coloured	colorato	alawo dudu
coming	in arrivo	yo jade
compared	rispetto	does not directly translate
computers	computer	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	gola	cunha
da	e	back; but in this form it is unnecessary
dagbasoke	cresci	developing
dandan	obbligatorio	a must
dani	tenere	hand-held
darapo	aderire	joinedd
daru	distruggere	scattered
dates	date	pada si
delhi	non	delhi
denver	denver	denver
des	des	des
describes	descrive	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	sviluppo	idagbasoke
didagba	uguaglianza	growing
didasile	istituzione	established
different	diverso	iyato
din	friggere	reduced
dinwoju	consultare	suitable
divoire	divoire	d'ivoire
doju	faccia a faccia	face
dojú	faccia a faccia	turn face (full phrase is doju ko, to face)
dominic	dominic	dominic
doni	doni	this day
dote	essere rimbambito	rebel
doublehelix	doppia elica	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	dover	dova
du	du	hustle
due	a causa di	nitori
dun	gustoso	sound
dàbíi	come questo	like
dàpò	sostituirli	mix
dá	creato	intervene
dágbó	vecchiaia	forest
dájó	tutto a posto	pass judgement
dálóríi	grazie	about
dáradára	bene	well
dásà	a casa	peculiar way of saying
dáwó	donare	undertake
dé	arrivato	reach
délànà	in linea di principio	delana
dépò	nella misura	to a position
dì	foglio	be
dìde	sorgere	stand
dìró	sulla destra	hang on
dìtẹ̀	cospirare	rebel
díè	teso	few
dóko	bene	upstanding
dólà	bene	dollar
dún	suono	sound
dúró	stare in piedi	stand (been in existence)
dọ́gba	pari	equal
ea	sì	ea
eba	eba	shore
ebi	famiglia	family
ecomog	ecomog	ecomog
ede	linguaggio	language
efrem	effem	efrem
egba	assolutamente	cane
egbe	pistola	group
egberundun	millennio	a thousand year
egbo	una ferita	brother
egbé	dolore	party
egbò	una ferita	chemicals
egbògi	medico	don't know this
eighteen	diciotto	ejidinlogun
eka	complesso	branch, department, part
ekeji	l&#39;altro	second
eko	formazione scolastica	lagos
elede	maiali	speaker
eleyi	questo	this
eleyii	come questo	this
elláda	creazione	ellada
eléde	astratto	pig
eléré	atleta	performer
elòmírà	l&#39;alga	freedom
elòmíràn	un altro	another person
emerging	emergente	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	tutti	whoever
enter	accedere	wole
enì	elefante	person
eníbá	febbre	such person
epa	arachide	groundnut
ernst	ernst	ernst
erofo	sedimento	swamp
erékùsù	isola	island
eréonítàn	acronimo	written play
eseese	diagramma	step by step
esia	sta arrivando	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	la costa	beach
euro	euro	euro
euroasia	euroasia	uro-esia
ewe	foglia	ewe
ewé	foglia	leaf
ewì	poesia	traditional poem
example	esempio	apere
eya	categoria	tribe
eyin	uova	previous
eyonomba	eyonomba	digit
eléja	pesca	fisherman
elòmíràn	qualcun altro	another person
eka	effetto	branches
eléyàmèyà	etnia	tribalism
enu	bocca	mouth
esin	religione	horse
esè	ricavo	leg
ewà	di condotta	beauty
fagile	annullato	cancel
fail	fallire	padanu
fan	fan	spread
faramó	aderire a	accept
faranse	francese	french
farsi	arti	farsi
felifeli	velluto	fuming
ferde	ferde	verde
fesèmúlè	fonte provvisoria	established
fe	ricercato	want
fi	salva	by
fifihan	mostrando	revealed
fihan	indicato	shows, to show
fimú	nettamente definito	captivate with
finiki	fisica	finiki
finlandi	finlandia	finland
fitino	prova	judgement
five	cinque	marun
fodio	fodio	fodio
fofinde	divieto	prohibited
fohùn	grido	consent
foniimu	film	phoneme
force	vigore	agbara
foriko	per esempio	agreed
fourbase	fourbase	onidi-merin
fowobowe	prenotazione	signed
fowó	per soldi	sign
fracmv	fracmv	does not translate
francis	francesco	francis
fransi	francese	france
freetown	freetown	freetown
fuji	rimuovere	fuji
fulani	vigliaccamente	fulani
fulbe	ful	fulbe
fun	per	for
funra	si	suspect
further	ulteriore	si
fé	fé	like
fé	fé	want
fégbé	dimenticalo	for peers
fífò	volante	jumping
fífún	dando	giving
fòye	capire	rationalise
fẹ́rẹ̀ẹ́	quasi	nearly
galatia	questa volta	galatia
gba	essere d&#39;accordo	accept
gbajúgbujà	è molto popolare	popular
gbale	popolarità	flourished
gbaná	sparare	engulf in flame/rage
gbe	trasportare	set up
gbera	vai avanti	move
gberasoke	accelerare	rising
gbese	debito	debt
gbigbamulo	sfruttamento	adopted
gbigbewo	finanziamento	examined
gbilè	scoppiare	gaining ground
gbin	piantato	farm
gbogbogbo	generale	general
gbongbo	radice	root
gbàgbọ́	credere	believe
gbàgùrà	scuotere	gbagura
gbá	distruggere	received
gbáradì	alzarsi	prepare
gbé	vivere	convey
gbédìí	stabilire	respect
gbékalè	falegname	establish
gbéni	vivere	lift
gbéyèwò	revisione	examine
gbésè	offrire	die
gbìnyànjú	provare	endeavour
gbìyànju	sforzati	try
gbódò	dovere	must
gbónmisi	legge	strife
gbúnùn	annusalo	hostile
gbọ́dọ̀	dovere	must
geesi	inglese	english
geneva	ginevra	geneva
genevieve	genevieve	genevieve
georgia	georgia	georgia
german	tedesco	german
gfaj	gfaj	gfaj
ghana	ghana	ghana
gidigidi	molto	significantly
gidí	casa	real
goemai	goemai	goemai
gomina	governatore	governor
gorgina	l&#39;aquila	gorgina
gquadruplex	g-quadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	greco	greek
groove	scanalatura	iho
guanínì	guanni	guanine
guinea	guinea	guinea
guineabissau	guinea-bissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	lungo	stretch
gunle	pistola	arrive
guusu	sud	south
gv	gv	gv
gèésì	colla	english
gèésì	gemma	english
gégé	veramente	like
gírámà	gramps	grammar
gòkè	vai su	climb
gún	forato	properly
gúúsù	sud	south
gẹ̀ẹ́sì	inglese	english
habsburg	habsburg	habsburg
haggai	guida	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	difficile	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	caramella	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	concordato	hesse
him	lui	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	osea	hosea
hp	cv	hp
hugh	hugh	hugh
hun	unno	knit
hungari	fame	hungary
hv	hv	hv
ibalo	affare	relationship
ibarepo	associazione	friendship
ibeji	gemelli	twins
ibewo	è arrivato	visit
ibiamusin	santuario	colony
ibile	tradizionale	municipality
ibimo	nascita	birth
ibise	allenarsi	official
ibiti	posti	where
ibn	ibn	ibn
ibojì	tomba	burial ground
ibori	velo	conquest
ibujoko	panchina	place of abode
ibuseripadabosi	delocalizzazione	eternity
ibuso	combattere	bus stop
ibùdó	campo	settlement, seat of, area,
ibùjókòó	posti a sedere	settlement
iceland	islanda	iceland
idagbasoke	sviluppo	development
idagbe	trascurare	isolation
idaji	metà	half
idajo	giustizia	judgement
idamita	disegnare	sector
idari	controlli	control
ideraa	scrivere	comfort
idimule	arresto	establishment
idoma	disegno	idoma
idupe	grazie	thanksgiving
idánwò	prova	examination
ifija	pesca	weapon
ifilole	lanciare	resolution
ifitonileti	informazione	reporting
ifobaje	corruzione	coronating
ifofinde	congresso	prohibition
ifriqiya	stimolazione	ifriqiya
igbeduro	preparazione	institute
igbegun	vittoria	declaration of war
igberiko	suburbano	region
igbesoke	aggiornare	upliftment
igbeyawo	nozze	marriage
igbowolori	costoso	inflation
igbá	pollo	shell
igbáẹ̀yìn	l&#39;ultimo	shell
igitòròmogbè	banda larga	willow tree
ihan	apparire	ray
ihinrere	vangelo	gospel
ijagun	combattimento	war
ijakadi	lotta	wrestling
ijaya	panico	fear
ije	movimento	eating
ijinnasi	fisica	the wind open
ijosin	culto	worship
ijó	danza	dance
ikan	uno	one of
ikandinlogun	diciotto	nineteen
ikaowo	rispetto	finger
ikejidinlogun	diciotto	eighteen
ikeko	compilazione	education
ikerin	la quarta	fourth
iketa	ereditare	third
ikoenu	salvare	union
ikojopo	accumulazione	collection
ikoreokere	raccolta	migration
iku	morte	death
ikúgbaèyí	adesso	death-has-this
ikún	riempimento	squirrel or wild rodent
ilagbolojo	pubblicità	latitude
ilana	procedura	procedure
ilanaoye	strategie	knowledge procedure
ilaodo	proteggere	cana
ilaorun	alba	west
ileasofin	legislativo	house of law,
ilegiga	casa	higher ground or higher plain
ileife	trascurare	ile-ife
ileigbimo	consenso	house of assembly/congress
ileobaluaye	il mondo	high chief
ileru	forno	volcanic
ilopo	doppio	times
iluoba	cittadinanza	king's town
iluorilejoba	globalizzazione	capital city
ilé	casa	house
iléayé	casa	earth
iléisé	casa	workplace
ilélódò	la casa	ile-lodo
iléàtèéré	casa	ile-ateere
iléńlá	cortile	ile-nla (area)
ilẹ	terra	land
ilẹ̀ayé	la terra	the world
iminle	arrestare	earthquake
imoero	alleggerimento	engineering
imojuto	cura	protection
imusin	disegnare	colony
imú	naso	nose
imúnisìn	igiene	slavery
inagberingberi	burro di arachidi	electromagnetic force
indeed	infatti	paapa julo
indus	indus	indus
inkosi	giustificare	inkosi
integration	integrazione	ifowosowopo
inágbéringbérin	diciassette	electromagnet
iní	eredità	possession
inúnibíni	persecuzione	hatred
ioja	pesce	fight
ioniani	bisognoso	ionian
iowa	sulla terra	iowa
ipare	dissolvenza	abolition
ipawo	usi	income
ipele	livello	stage
ipin	capitolo	share
ipinpa	partecipazione	arm of, branch of
ipinu	decisione	determination
ipo	posizione	position
ipá	vigore	effort
iraja	scioccante	bargaining
iranlose	assistenza	mission
ire	vendita	you
irele	umiltà	irele
iringa	incartare	iringa
irisi	aspetto	appearance
irorun	molto semplice	convenient
irò	pettegolezzo	iro
irúnmọlẹ̀	fulmine	apparition
isa	abbastanza	jesus, isa or yisa is hausa language
isare	accelerazione	track race
isedaniloro	insicurezza	terrorism
iseero	orologio	engineering
isejoba	governo	governance
iseoba	quindici	civil service
iseoroayeijoun	archeologia	archaeology
iseowo	attività commerciale	business
isepinpin	distribuzione	division
iso	venire	unit
isoponomba	isoponomba	addition of numbers
isun	flusso	spring
isesi	resa	conduct
isè	servizio	occupation
itali	italiano	italy
itanakole	storia	ancient
itelentele	chiaramente	coming after
itiraka	lotta	effort
itobi	vantarsi	size
itokowo	attività commerciale	economy
itorawo	liberale	astrology
itu	gettare	solution
itumo	senso	meaning
iwadi	ricerca	research
iwasi	impressionare	behaviour
iwifun	informazione	report
iwoile	casa	entering
iwosan	guarigione	healing
iwulo	utile	use
iwuwa	pratica	behaviour
iyan	carestia	argument
iyato	la differenza	difference
iyawo	sposa	wife
iyen	questo è	that
iyán	scintillante	pounded yam
iḷẹ̀	lavoro	land
iṣẹ́ìwádìí	ricerca	research
jabo	rapporto	give account
jackson	jackson	jackson
jadide	resisti	emerge
jagbe	va al diavolo	shout
jalè	furto	steal
jamaica	youtube	jamaica
jamo	va via	link
jawaharlal	altalene	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	geometria	geometry
jesu	gesù	jesus
jfk	jfk	jfk
jije	essere	existing as
jijinna	lontano	distance
jiròrò	nebbioso	dialogue
jo	perdita	days
jogun	ereditato	inherit
johann	inferno	johann
johanu	spiacente	john
jojo	cracked	great extent
jopò	unisciti	gathered
jo	john	resemble
juneau	juneau	juneau
jàgídíjàgan	violento	violent
jáde	vieni fuori	out
jé	venire	is
jéésù	gesù	jesus
jìnnàa	lontano	further
jíje	essere	eating
jíjuwó	fare soldi	waving hands
jíjéomoléyìnkírísítì	come filantropo	followers of christ
jùlo	più di	most
jùlo	particolarmente	most
jùló	più	most
jẹ́mánì	tedesco	germany
jọ́	per favore	together
kadara	risorsa	destiny
kagera	vanagloriosi	kagera
kakiri	traccia	all over
kalinga	cinga	kalinga
kalẹ	accantonare	established
kampala	fermaglio	kampala
kan	un&#39;	one
kankan	nessuna	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	karl	karl
karun	quinto	fifth
karùún	il quinto	fifth
kebbi	regolabile	kebbi
kekere	piccolo	lower
keko	colto	learn
kept	tenuto	fi pamo
khoisan	inferiore	khoisan
ki	così	not
kiakiajulo	il più veloce	rapidly
kiko	portando	gathering
kikojo	compilazione	gathering
kikopomo	calore	mixed
kikoso	veloce	colonised
kiko	apprendimento	making
kikuninu	immaginare	size
kilhar	ascella	kilhar
kinkinni	la piccola cosa	small quantity
ko	o	don't
kodò	sotto	bow
koidu	koidu	koidu
kojá	attraversare	pass
kolo	kolo	going
komputa	computer	computer
kong	kong	kong
kongo	preservativo	congo
kookan	questo	one
koto	esca	pit
koko	apprendimento	make heap
ko	ko	learn
kori	non piu	not found
krio	krio	krio
ku	tu	remain
kwara	indirizzata	kwara
kàríbẹ́ánì	nella regione	carribean
kàyéfì	meraviglia	amazement
ká	di	we
kánfinkése	ingegnosità	prolonged
kánádà	ovviamente	canada
káyé	mondo	world
kéesì	ridicolo	keesi
kékéèké	piccolo	small
kétu	essere preparato	ketu
kémíkà	al contrario	chemical
kéyìn	dopo	come after,
kìnní	primo	first
kí	salutare	not
kíko	studiando	written
kíkọ́	per imparare	learning
kínu	baci	greet
kírísìtì	natale	christ
kòjòkú	pioggia	kojoku
kòkó	il topo	cocoa
kòmpútà	computer	computer
kòtò	un pozzo	pit
kòòsí	non è	coaching
kòòkan	ognuno	each
kógo	gloria	glorious
kóra	raccogliere	participate
kùkú	dopotutto	eventually
kùrání	il corano	quran
kúkú	dopotutto	now
kúkúrú	in poche parole	short
kúrò	lontano	away
kútò	qualunque cosa	kuto (place)
kúùkù	anzi	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	la quarta	4
kẹsàán	al momento	ninth
kẹta	terzo	third
kẹ́nyà	separazione	kenya
kọjá	passaggio	pass through
kọ̀mpútà	computer	computer
kọ́kọ́	primo	first
kọ́lọ́mú	colonne	breast owner
kọ́ni	mancanza di	teach
laa	va via	will
laada	calcio	good fortune
laaka	inversione	important
laarin	entro	between
labalaba	la farfalla	butterfly
labee	sotto	under
lade	imbarcare	crowned
laid	di cui	tele
laifi	colpa	without
languages	le lingue	ede
lanka	lanka	lanka
lasile	pubblicazione	laid out
latibe	da li	from there
latigbana	da allora	from then on
latini	latino	latin
latvia	lettonia	latvia
lay	posare	da
le	può	can
leboa	lebo	leboa
lekun	intensificata	open door
leo	leo	leo
lese	inviare	firmly
less	di meno	okeresi
lewaju	in avanti	front
lewon	reclusione	imprisonment
leyi	ecco qui	mispelled...should be 'leyin', after
leè	maggio	can
lilelile	hardcore	tightly
lilemo	canapa	sticky
lilongwe	lilongwe	lilongwe
lindi	liscivia	lindi
linear	lineare	dogba
links	link	eka; this is a new word and does not really exist in yoruba
lodo	avere luogo	from
lojowaju	nel futuro	the future
lojukokoro	avido	covetousness
lojúgun	ha devastato	knee
lokunkun	energico	in the dark
loloselu	politicamente	in politics
lopolopo	un sacco	so many
loruko	nome	name
louvre	persiana di ventilazione	louvre
lovers	gli amanti	awon olufe
low	basso	diye
lo	vai avanti	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	pari	more important
lààmi	cartello	sign
lààmì	segni	significant
lábé	peso	under
láfún	dato	cassava food
láimo	senza	unknown
láké	forte	in ake
lámọ́di	fortuna	lamodi
lápá	parte	from
lára	male	part of
lárúbáwá	il naturale	arabic
láì	senza	without
láíláí	mai	old
lèe	può	can
lèyìn	in seguito	after
lédè	nella lingua	language
léebá	incidentalmente	catch up with it
lérìnín	la neve	erin=laughter; the prefix 'l' is possesive
lérò	motivo	thought
léyin	in seguito	after
léyìn	dopo	after
lérú	schiavitù	enslave
lílo	sfruttamento	using
lísa	accelerazione	a chieftaincy title
lítésò	pungente	literature
lóde	al di fuori	modern
lópez	nipez	lopez
lópó	vedova	widow
lórì	porto	on the head
lóríba	al di sopra di	subdue
lóti	lotto	have
lóòótò	sì	truly
lóòótọ́	infatti	truly
ló	ló	to
lónà	sulla strada	in a way
lórò	domani	become wealthy
lọndọnu	londra	london
lọ́dọọdún	annualmente	yearly
lọ́jà	sul mercato	in the market
maapu	carta geografica	map
madeira	beira	madeira
mahatma	il mahatma	mahatma
makedonia	macedonia	macedonia
malabo	miele	malabo
malay	presunto	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	malaysia	malaysia
mali	giorno	mali
mango	mango	mango
manˈdeːla	mandelala	mandela
marcellus	marcello	marcellus
march	marzo	march
marku	questa volta	mark
mars	marte	mars
maryland	maryland	maryland
maseru	gelosia	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	matematico	mathematics
max	max	max
maya	no	maya
mbabane	negativo	mbabane
means	si intende	ona (way)
mediteraneani	il mediterraneo	mediterranean
mefeefa	revisione	all six
mejidinlogbon	ventotto	twenty eight
mejila	dodici	twelve
meksiko	messico	mexico
melo	quanti	some
member	membro	ara
mercosur	mercosur	mercosur
merin	quattro	four
methodologies	metodologie	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	messico	mexico
michelle	michelle	michelle
micronesia	micronesia	micronesia
miiràn	alleviare	another
mimoy	mimoy	mimoy
mimuwa	attaccamento	import
minnesota	minnesota	minnesota
minority	minoranza	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	compatto	51, (mokanleladota)
mokanlelogbon	trentadue	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	automobilismo	morogoro
mozambique	mozambico	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	scegli ancora	mtwara
mughal	volume	mughal
mulẹ̀	stabilire	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	non importa	testament
mère	disegno	significant
méjèèjì	tutti e due	the two
mérindíláàdóta	cinquantacinque	forty-six
méte	cinque	lip
mérìndínlógún	sedici	sixteen
mérìnlélógójì	quarantaquattro	44
méta	tre	three
métèètà	falegname	the three
méwàá	dieci	ten
ménu	pensi	verbally contribute; complete phrase= me nu ba
mímọ́	santo	holy
míràn	un altro	other
míìrán	un altro	other
mííràn	un altro	other
mò	conoscenza	know
mókólà	colla	mokola
móra	cura	with themselves
mó	m	with
múlẹ̀	tenetevi forte	select land (farmland)
mẹ́fà	sei	6
mẹ́rkúríù	il topo	mercury
mẹ́ta	tre	3
mẹ́talọ́kan	trinità	trinity
namibia	venire	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	sconcertante	highest-spending
nawó	prendi i tuoi soldi	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nephim	nefimu
neptune	nettuno	neptune
nevis	nevis	nevis
ngbero	pianificato	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	là	there
nibere	presto	earlier
nigbakan	qualche volta	at one time
nigbà	poi	when
nijẹr	nike	niger
nilè	qui	remaining
nisinyi	adesso	at present
nitoriidieyi	a causa di ciò	because of this
nitoripe	perché	because
nitosi	nelle vicinanze	nearby
niwaju	avanti	in front of
niyato	distinguere	unlike
niye	abbastanza	in number
niyi	ecco qui	these
nkan	cosa	things
nkàn	cancro	something
nnaji	zio	nnaji
nobel	nobel	nobel
nombamewa	moltiplicando	decimal
nombáméjì	i primi due	two-number
novo	novo	novo
nri	cibo	nri
nse	design	acting
nso	vicino	saying
nsolaboraro	sicurezza	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	punto	indicates
nu	pulito	in
nukleotidi	nucleotide	nucleotides
nukleotidipupo	nucleotide	cell
numeri	intorpidimento	numbers
nwa	bambino	drill
nàìjíríà	in nigeria	nigeria
náwo	spese	spend money
náà	pure	that
nì	montagna	is
nìnú	spiacente	in
nìyí	questo è	this is
ní	avere	on
níbè	là	there
níbè	là	there
nífẹ̀ẹ́	amare	love
nígbàtí	quando	when
nílè	sotto	on the ground
nílùú	nella città	in the town
nílẹ̀	per terra	in the land
nínlá	grande	large
nínu	opportunità	in
níní	avere	having
nípà	almeno	by
nítorípé	perché	because
nítumò	senso	meaningful
nítòsí	nelle vicinanze	nearby
nítòótó	esattamente	truly
nítòótọ́	infatti	in truth, truthfully
níwájú	avanti	in front
níyanjú	positivamente	solved
nǹkan	cosa	things
nso	prossimamente	say
oba	obama	king
obairanderan	cugino	hereditary
obere	piccolo	started
obínibí	cortesia	inborn
ododo	giustizia	righteousness
ofin	la legge	law
ogbè	regione	a divinity
ogun	guerra	war
ogunlogo	folla	hundreds
ojo	assomiglia a	day
ojojumo	quotidiano	daily
ojoru	calore	wednesday
ojukokoro	cupidigia	covetousness
ojuoorun	tramonto	atmosphere
ojuse	responsabilità	responsibility
ojùkòsì	precipitazione	ojukosi
ojùkòtúu	precipitazione	ojukotuu
ojúlùmọ̀	conoscenti	acquaintance
ojútáyé	viscosità	public
ojúìwé	pagina	page
okeere	all&#39;estero	distant
okhotsk	okhotsk	okhotsk
