aajo	ridículo	hospitality
kiakiajulo	el más rápido	rapidly
kiko	trayendo	gathering
kikojo	compilacion	gathering
kikopomo	calor	mixed
kikoso	rápido	colonised
kiko	aprendizaje	making
kikuninu	imagina	size
kilhar	axila	kilhar
kinkinni	la pequeña cosa	small quantity
ko	o	don't
kodò	abajo	bow
koidu	koidu	koidu
kojá	cruzar	pass
kolo	kolo	going
komputa	computadora	computer
kong	kong	kong
kongo	condón	congo
kookan	esta	one
koto	cebo	pit
koko	aprendizaje	make heap
ko	ko	learn
kori	no más	not found
krio	krio	krio
ku	tú	remain
kwara	dirigido	kwara
kàríbẹ́ánì	en la región	carribean
kàyéfì	preguntarse	amazement
ká	de	we
kánfinkése	ingenio	prolonged
kánádà	por supuesto	canada
káyé	mundo	world
kéesì	ridículo	keesi
kékéèké	pequeña	small
kétu	estar preparado	ketu
kémíkà	de lo contrario	chemical
kéyìn	luego	come after,
kìnní	primero	first
kí	saludar	not
kíko	estudiando	written
kíkọ́	aprender	learning
kínu	besos	greet
kírísìtì	navidad	christ
kòjòkú	lluvia	kojoku
kòkó	el ratón	cocoa
kòmpútà	computadora	computer
kòtò	un pozo	pit
kòòsí	no lo es	coaching
kòòkan	cada uno	each
kógo	gloria	glorious
kóra	reunir	participate
kùkú	después de todo	eventually
kùrání	el koran	quran
kúkú	después de todo	now
kúkúrú	en una palabra	short
kúrò	lejos	away
kútò	todo	kuto (place)
kúùkù	de lo contrario	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	el cuarto	4
kẹsàán	inmediatamente	ninth
kẹta	tercero	third
kẹ́nyà	separación	kenya
kọjá	pasar	pass through
kọ̀mpútà	computadora	computer
kọ́kọ́	primero	first
kọ́lọ́mú	columnas	breast owner
kọ́ni	falta de	teach
laa	vete	will
laada	golpear	good fortune
laaka	contrarrestar	important
laarin	dentro	between
labalaba	mariposa	butterfly
labee	debajo	under
lade	cargar	crowned
laid	puesto	tele
laifi	culpa	without
languages	idiomas	ede
lanka	lanka	lanka
lasile	lanzamiento	laid out
latibe	desde allí	from there
latigbana	desde entonces	from then on
latini	latín	latin
latvia	letonia	latvia
lay	laico	da
le	lata	can
leboa	lebo	leboa
lekun	intensificado	open door
leo	león	leo
lese	enviar	firmly
less	menos	okeresi
lewaju	adelante	front
lewon	prisión	imprisonment
leyi	aquí está	mispelled...should be 'leyin', after
leè	mayo	can
lilelile	duro	tightly
lilemo	canabis	sticky
lilongwe	lilongwe	lilongwe
lindi	lejía	lindi
linear	lineal	dogba
links	enlaces	eka; this is a new word and does not really exist in yoruba
lodo	tener lugar	from
lojowaju	en el futuro	the future
lojukokoro	codicioso	covetousness
lojúgun	él devastó	knee
lokunkun	energético	in the dark
loloselu	políticamente	in politics
lopolopo	mucho	so many
loruko	nombre	name
louvre	lumbrera	louvre
lovers	amantes	awon olufe
low	bajo	diye
lo	seguir	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	igual	more important
lààmi	firmar	sign
lààmì	señales	significant
lábé	peso	under
láfún	dado	cassava food
láimo	sin	unknown
láké	ruidoso	in ake
lámọ́di	fortuna	lamodi
lápá	parte	from
lára	herir	part of
lárúbáwá	lo natural	arabic
láì	sin	without
láíláí	nunca	old
lèe	lata	can
lèyìn	después	after
lédè	en lenguaje	language
léebá	de paso	catch up with it
lérìnín	la nieve	erin=laughter; the prefix 'l' is possesive
lérò	razón	thought
léyin	después	after
léyìn	luego	after
lérú	esclavitud	enslave
lílo	explotación	using
lísa	aceleración	a chieftaincy title
lítésò	escozor	literature
lóde	fuera de	modern
lópez	nipez	lopez
lópó	viuda	widow
lórì	puerto	on the head
lóríba	encima	subdue
lóti	lote	have
lóòótò	si	truly
lóòótọ́	en efecto	truly
ló	ló	to
lónà	en camino	in a way
lórò	mañana	become wealthy
lọndọnu	londres	london
lọ́dọọdún	anualmente	yearly
lọ́jà	en el mercado	in the market
maapu	mapa	map
madeira	beira	madeira
mahatma	el mahatma	mahatma
makedonia	macedonia	macedonia
malabo	miel	malabo
malay	ficticio	malay
malayopolynesian	malayo polinesio	malayo-polynesian
malaysia	malasia	malaysia
mali	día	mali
mango	mango	mango
manˈdeːla	manˈdelala	mandela
marcellus	marcelo	marcellus
march	marzo	march
marku	esta vez	mark
mars	marte	mars
maryland	maryland	maryland
maseru	celos	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	matemático	mathematics
max	max	max
maya	no	maya
mbabane	negativo	mbabane
means	medio	ona (way)
mediteraneani	mediterráneo	mediterranean
mefeefa	revisión	all six
mejidinlogbon	veintiocho	twenty eight
mejila	doce	twelve
meksiko	mexico	mexico
melo	cuántos	some
member	miembro	ara
mercosur	mercosur	mercosur
merin	cuatro	four
methodologies	metodologías	anaoniruuru
metropoli	metrópoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	mexico	mexico
michelle	michelle	michelle
micronesia	micronesia	micronesia
miiràn	aliviar	another
mimoy	mimoy	mimoy
mimuwa	pegajoso	import
minnesota	minnesota	minnesota
minority	minoría	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	compacto	51, (mokanleladota)
mokanlelogbon	treinta y dos	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	automovilismo	morogoro
mozambique	mozambique	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	elige de nuevo	mtwara
mughal	volumen	mughal
mulẹ̀	establecer	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	no importa	testament
mère	dibujo	significant
méjèèjì	ambos	the two
mérindíláàdóta	cincuenta y cinco	forty-six
méte	cinco	lip
mérìndínlógún	dieciséis	sixteen
mérìnlélógójì	cuarenta y cuatro	44
méta	tres	three
métèètà	carpintero	the three
méwàá	diez	ten
ménu	tu crees	verbally contribute; complete phrase= me nu ba
mímọ́	santo	holy
míràn	otro	other
míìrán	otro	other
mííràn	otro	other
mò	conocimiento	know
mókólà	pegamento	mokola
móra	cura	with themselves
mó	m	with
múlẹ̀	agárrate fuerte	select land (farmland)
mẹ́fà	seis	6
mẹ́rkúríù	el ratón	mercury
mẹ́ta	tres	3
mẹ́talọ́kan	trinidad	trinity
namibia	venir	namibia
nathaniel	nathaniel	nathaniel
nato	otan	nato
nawojulo	misterioso	highest-spending
nawó	obtener su dinero	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nephim	nefimu
neptune	neptuno	neptune
nevis	nevis	nevis
ngbero	planificado	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	ahí	there
nibere	temprano	earlier
nigbakan	algunas veces	at one time
nigbà	luego	when
nijẹr	nike	niger
nilè	aquí	remaining
nisinyi	ahora	at present
nitoriidieyi	debido a esto	because of this
nitoripe	porque	because
nitosi	cerca	nearby
niwaju	adelante	in front of
niyato	distinguir	unlike
niye	suficiente	in number
niyi	aquí está	these
nkan	cosa	things
nkàn	cáncer	something
nnaji	tío	nnaji
nobel	nobel	nobel
nombamewa	multiplicando	decimal
nombáméjì	los primeros dos	two-number
novo	novo	novo
nri	comida	nri
nse	diseño	acting
nso	cerca	saying
nsolaboraro	seguridad	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	punto	indicates
nu	limpiar	in
nukleotidi	nucleótido	nucleotides
nukleotidipupo	nucleótido	cell
numeri	entumecimiento	numbers
nwa	bebé	drill
nàìjíríà	en nigeria	nigeria
náwo	gastos	spend money
náà	también	that
nì	montaña	is
nìnú	lo siento	in
nìyí	eso es todo	this is
ní	tener	on
níbè	ahí	there
níbè	ahí	there
nífẹ̀ẹ́	amar	love
nígbàtí	cuando	when
nílè	abajo	on the ground
nílùú	en la ciudad	in the town
nílẹ̀	en el piso	in the land
nínlá	excelente	large
nínu	oportunidad	in
níní	tener	having
nípà	al menos	by
nítorípé	porque	because
nítumò	sentido	meaningful
nítòsí	cerca	nearby
nítòótó	exactamente	truly
nítòótọ́	en efecto	in truth, truthfully
níwájú	adelante	in front
níyanjú	afirmativamente	solved
nǹkan	cosa	things
nso	próximamente	say
oba	obama	king
obairanderan	prima	hereditary
obere	pequeña	started
obínibí	cortesía	inborn
ododo	justicia	righteousness
ofin	la ley	law
ogbè	región	a divinity
ogun	guerra	war
ogunlogo	multitud	hundreds
ojo	parece	day
ojojumo	diario	daily
ojoru	calor	wednesday
ojukokoro	codicia	covetousness
ojuoorun	puesta de sol	atmosphere
ojuse	responsabilidad	responsibility
ojùkòsì	precipitación	ojukosi
ojùkòtúu	precipitación	ojukotuu
ojúlùmọ̀	conocidos	acquaintance
ojútáyé	viscosidad	public
ojúìwé	página	page
okeere	de ultramar	distant
okhotsk	okhotsk	okhotsk
oko	campo	farm
okunkun	oscuridad	darkness
okunrin	el hombre	male person
olodiajodojuko	el uno al otro	facing wall
olohun	propietarios	god
olojukanna	inmediatamente	same surface
olokunkun	auriculares	popular
ololugbe	perdedor	occupants
olopon	arrogante	a local game
olora	grasa	fertile
oloselukan	hola	one political
oloye	genio	chief
