$ tỉ	milliárd dollár	$ billion
bôi	maszatos	to apply (as in oil)
bông	pamut	flower
bù	smink	compensate
bùa	amulett	talisman
bùn	sár	mud
bùng	fellobbanás	"(term should be ""bùng nổ"") to break out (v.)"
bú	szopik	to suck
búa	kalapács	a hammer
búi	kötegek	tuft
bún	rizstészta	noodle
búng	pöckölte	snap
bút	toll	pseudonym
băm	kivonatolt	hash
băn	ingerültség	concerned
băng	jég	"(term should be ""băng giá"") freezing (adj.)"
bơ	vaj	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	úszás	swim
bơm	szivattyú	pump
bưu	postaköltség	post office
bước	lépés	a step (n.)
bướm	pillangó	butterfly
bạ	kapcsolatok	directory
bạc	ezüst	meager
bạch	fehér	"(should be ""bạch tuộc"") an octopus"
bại	elveszít	defeated
bảng	tábla	chart
bảo	bao	protect
bảy	hét	seventh
bấm	nyomja meg	press
bất	igazi	"(term should be ""bất cứ"") any (adj.)"
bấy	hogy	contemporary
bần	szegény	poor
bầu	szavazás	vote
bầy	csorda	servant
bẩm	veleszületett	congenital
bẩn	piszkos	the
bẩy	csapda	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	csapda	a trap (n.)
bậc	fokozat	level or class (n.)
bận	elfoglalt	busy
bật	bekapcsolva	outstanding
bắc	északi	beijing
bắcnam	észak dél	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	lő	shoot
bắp	kukorica	venter
bắt	fogás	cross
bằng	egyenlő	by
bẹp	szétzúz	crush
bẻ	szünet	break
bẽ	megaláztatás	humiliate
bến	rakpart	wharf
bếp	egy konyha	kitchen
bề	felület	"(should be ""bề mặt"") a surface"
bền	tartós	enduring (v.)
bể	fújtató	tank
bệ	talapzat	base
bện	fonott	braided (adj.)
bệnh	beteg	benh
bỉ	belgium	disgust
bỉnh	rossz	binh
bịch	puffanás	ridiculous
bịt	fedett	cover
bọ	bogár	insect
bọc	betakar	to cover or enclose (v.)
bọn	őket	a group (n.)
bọng	puffadtság	bladder
bọt	hab	foam
bỏ	színvétést	to leave (v.)
bỏng	éget	hot
bố	apa	"(term should be ""tuyên bố"") to declare"
bốc	betöltés	bốc lửa= on fire
bối	zavaros	messy
bốn	négy	four
bồi	kártérítés	"(term should be ""cao bồi"") cowboy (n.)"
bổn	kötelesség	duty
bổng	ösztöndíj	"with word luong, means ""salary"" or ""wages"""
bỗng	hirtelen	suddently
bộ	a készlet	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	többszörös	betray
bột	liszt	powder or flour (n.)
bớ	felhajt	arrest
bớt	kevésbé	less
bờ	él	coast
bời	ingyenélő	profuse
bở	által	profitable
bởi	által	because
bục	pódium	platform
bụng	gyomor	abdomen
bứt	tudatlanul	"(term should be ""bứt phá"") power (n.)"
bừa	szívszaggató	messy, careless, or topsy-turvy (adj.)
bữa	étkezés	meal (n.)
bực	frusztrált	bother
ca	váltás	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	szén	carbon
cacbonat	karbonát	carbonate
cacbua	karbid	carbides, carbon ions
caesar	caesar	caesar
caffein	koffein	caffeine
café	kávé	coffee
cai	cai	govern
cairo	kairó	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	számítás	calculus
calvin	calvin	calvin
cam	narancs	commit
cambodia	kambodzsa	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	kámea	cameo part
cameron	cameron	cameron
cameroon	kamerun	cameroon
camille	camille	camille
campbell	campbell	campbell
campuchia	kambodzsa	campuchia
canada	kanada	canada
canadian	kanadai	canadian
canal	csatorna	canal
canary	kanári	canary
cancer	rák	cancer
canterbury	canterbury	canterbury
canxi	kalcium	calcium
capello	capello	capello
capra	capra	capra
carat	karát	carat
carbine	karabély	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	carey	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	karib-	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	farsang	carnaval
carol	ének	carol
caroline	caroline	(proper noun) caroline
carpathia	carpathia	carpathia
carter	kocsis	carter
carxtơ	karát	karst topography, a geological term (n.)
casa	ca sa	casa
casablanca	casablanca	casablanca
caspia	caspia	caspia
cassini	cassini	cassini
cast	öntvény	cast
castries	castries	castries
castro	castro	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cd rom	cd-rom
cell	sejt	cell
celtic	kelta	centic
cena	price	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	apu	father
chai	üveg	bottle
chaillot	chaillot	a name
chamberlain	kamarás	chamberlain
champa	champa	champa
champion	bajnok	champion
chamẹ	szülők	parents
chanel	chanel	chanel
chanh	citrom	lemon or lime (n.)
chao	szia	(proper noun) chao, a name
charles	károly	charles
charlotte	gyümölccsel töltött sütemény	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	üldözés	chase
chay	vegetáriánus	fasting
chdcnd	chdcnd	democratic republic
che	borító	cover
chechnya	csecsenföld	chechnya
chen	chen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	ossza meg	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chile	(proper noun) the country of chile
chim	madár	bird
china	kína	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	asztrológiai	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	sült	fry
chiêng	gong	gong
chiếc	db	the
chiếm	számvitel	appropriate
chiến	harc	war, fight
chiết	kivonat	literal
chiếu	lábtörlő	show
chiền	csokor	temple
chiều	délután	length
chlamydia	chlamydia	chlamydia
chloride	klorid	chloroauric acid
chnd	chnd	chnd
choi	játék	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	choson	(proper noun) choson
choàng	köpeny	coat
choáng	kábult	dizzy
chris	chris	chris, as in chris hughes
christ	krisztus	christ
christian	keresztény	christian
christopher	christopher	christopher
chrome	króm	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	chu	cycle
chua	savanyú	tomato
chuck	tokmány	(proper noun) chuck, as in chuck norris
chui	törlés	underground
chum	pajtás	pot
chun	chun	chun
chung	tábornok	general
churchill	churchill	churchill
chuyên	specializált	professional
chuyến	utazás	trip
chuyền	elhalad	volleyball
chuyển	továbblépett	to move
chuyện	sztori	nói chuyện= talk
chuôi	megragad	handle
chuông	harang	a bell
chuẩn	alapértelmezett	standard
chuốc	bök	incur
chuối	banán	banana
chuốt	üregelő	refine
chuồng	ketrec	cage
chuỗi	lánc	series
chuộc	megvált	redeem
chuộng	helyzetű	favorite
chuột	egér	a mouse (n.)
chà	dörzsölés	rub
chài	halászat	fish
chàm	indigó	indigo
chàng	fickó	"(term should be ""chàng trai"") a young man (n.)"
chào	szia	welcome
chày	baseball	a pestle (n.)
chánh	fő	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	zabkása	porridge
cháu	unokák	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	tűz	fire
châm	pöcs	motto
chân	láb	a leg
châu	európa	continental
chè	tea	tea
chèn	betét	insert
chém	vágott	to chop
chén	csésze	bowl
chéo	kereszt	cross
chép	másolat	written
chê	átkozott	decry
chênh	különbség	difference
chì	vezet	graphite
chìa	kulcs	"(term should be ""chìa khoá"") a key (n.)"
chìm	elsüllyedt	to become submerged or sink (v.)
chình	angolna	eel
chí	tetvek	especially
chích	fullánk	shoot
chín	kilenc	ripe
chính	fő-	main
chít	csíra	dense
chò	fojtás	a type of plant, typically of the parashorea genus (n.)
chòi	kabin	hut
chòm	csillagkép	constellation
chó	kutya	dog
chóc	haha	killing (giet choc)
chói	ragyogás	bright
chóng	gyorsan	"entire term should be ""chong mat""; means ""dizzy"""
chóp	felső	the top (n.)
chôm	rambutan	rambutan
chôn	eltemet	bury
chông	férj	thorn
chùa	templom	pagoda
chùy	buzogány	mace
chú	nagybácsi	uncle (n.)
chúa	isten	god
chúc	kívánni	will
chúi	tuu	drop
chúng	őket	they
chút	kicsit	little
chăm	kemény	champa
chămpa	champa	champa
chăng	megfizethető	would it
chĩa	villa	point
chơi	játék	play
chơn	láb	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	még nem	not yet
chưng	ker	steamed
chương	fejezet	medal
chướng	akadálypályán	grating
chạ	így	father
chạm	érintés	touch
chạng	szürkület	twilight
chạp	ingatag	slow
chạy	fuss	to run (v.)
chả	tekercs	no
chảo	pán	pan
chảy	fuss	bleeding
chấm	pont	end
chấp	kihívás	"(term should be ""chấp nhận"") to accept (v.)"
chất	ügy	quality
chấu	csipet	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	blansírozás	slice
chẩn	diagnosztizál	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	lassú	slow
chận	blokk	block
chật	szoros	overcrowded
chậu	edény	pelvic
chắc	biztos	certainly
chằng	szemöldök	ligament
chẵn	még	even
chặn	blokkolja ki	prevent
chặng	láb	journey
chặt	szelet	close
chẻ	hasított	strick
chẽ	szoros	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	készítmények	produce
chếch	laza	oblique
chết	meghalt	to die (v.)
chệch	rossz	deviant
chỉ	éppen	just (adv.)
chỉnh	javítás	adjust
chịt	marhaság	chằn chịt= complex/tangle
chịu	medve	tolerate
chọc	megbökni	to poke
chọi	harcoló	oppose
chọn	választ	to choose
chỏ	könyök	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	pillanat	single
chối	tagadni	refuse
chốn	hely	place
chống	elleni	anti-
chốt	retesz	important
chồi	hajtások	"(term should be ""đâm chồi"") budding"
chồn	róka	anxious
chồng	férj	husband
chỗ	hely	where
chội	szar	cramped
chớ	nem	not
chớp	villám	flashing (adj.)
chờ	várjon	to wait
chở	könyv	for
chợ	piac	market
chợt	hirtelen	suddenly
chục	tucat	dozen
chụp	lőj fel	capture
chủ	fő-	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	törzsek	strain
chứ	inkább	just or only (adv.)
chứa	tartalmaz	contain
chức	funkció	function
chừ	levél	hesitate
chừa	kilépő	leave
chừng	néhány	about or roughly (adv.)
chử	szó	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	terhes	pregnant
chửi	káromkodás	curse
chữ	szó	a letter of the alphabet (n.)
chữa	gyógymód	to cure or treat (v.)
chững	szintező	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	hamupipőke	cinderrella
cip	cip	cip
circus	cirkusz	circus
cities	városok	cities
clara	clara	clara
clark	clark	clark
claude	claude	(proper noun) claude
claudius	claudius	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	csipesz	clip
clips	klip	clips
clo	klór	chlorine
clow	clow	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	coburn	coburn
cocoa	kakaó	cocoa
coen	coen	coen
coffea	coffea	coffee
cohen	cohen	cohen
coi	néz	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	leány	colleen
college	főiskola	college
collins	collins	(proper noun) collins
collège	főiskola	college (n.)
colombia	colombia	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	columbus	columbus
comic	komikus	comic
common	gyakori	common
concacaf	concacaf	concacaf
concerto	koncert	concerto
concorde	concorde	concorde
condom	óvszer	condom
cong	ívelt	curved or bent
congo	kongó	congo
congress	kongresszus	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	megőrzés	conservation
constantine	constantine	constantine
contemporary	kortárs	contemporary
cooper	kádár	(proper noun) cooper
copenhagen	koppenhága	copenhagen
copernic	copernic	corpernic
copperfield	copperfield	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	másolat	copy
cordyceps	cordyceps	cordyceps
core	mag	core
cornell	cornell	cornell
cosin	cosin	cosine
costa	costa	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	őrült	crazy
crespo	crespo	(proper noun) crespo
crest	címer	crest
crew	legénység	crew
crimson	karmazsinvörös	crimson
crisis	válság	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	horvátország	croatia
cross	kereszt	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	kristály	crystal
ctc	ctc	ctc
cua	rák	crab (n.)
cullen	cullen	a name
cung	íj	circle
cunningham	cunningham	cunningham; proper name
cup	csésze	cup
cuả	nak,-nek	of, from, belonging to
cuốc	kapák	hoe
cuối	utolsó	last or final (adj.)
cuốn	tekercs	book
cuống	szár	throat
cuồng	őrült	crazy (adj.)
cuộc	a	the
cyanide	cianid	cyanide
cyber	cyber	cyber
cyril	cyril	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	cyworld	cyword
cà	kávé	ca
cài	telepítés	install
càn	szükség	raid
càng	a több	cang
cành	ág	branch
cào	karcolás	scratch
cày	szántás	plow
các	a	all (adv.)
cách	út	the
cái	a	"(term should be ""con cái"") children (n.)"
cán	tekercselt	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	szárny	wing
cáo	róka	report
cáopx|bình	cáopx | átlagos	not a word
cáp	kábel	cable (n.)
cáy	hegedűs	fiddler
câm	néma	mute (adj.)
cân	mérleg	weight
câu	a mondat	saying
cãi	érvel	argue
cò	ravasz	stork
còn	még mindig	to have left (v.)
có	van	have
cói	sás	machine
cót	gyermekágy	cot
cô	hiányzik	girl
côi	árva	orphaned
côn	elvékonyodó	a stick (n.)
công	munka	worker
côngtenơ	tartály	container
cõi	birodalmak	entire area
cõng	háton	piggyback
cù	viszket	cu
cùi	leprások	leprosy
cùng	és	together
cú	bagoly	old
cúi	íj	to bow (v.)
cúm	influenza	cum
cúng	kényelmes	worship
cúp	csésze	cup (n.)
cút	kifelé	to kick someone out (v.)
căm	bedugva	detest (cam thu)
căn	radikális	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	kitágít	tense
cũ	régi	old
cũi	gyerekágy	kennel
cũng	is	also
cơm	rizs	rice
cư	benépesít	resident
cưa	fűrész	saw
cưng	az én babám	also
cước	fuvar	megaman
cưới	házas	marry
cướp	rabol	to rob (v.)
cười	nevetés	smile
cường	erős	strengthen
cưỡi	lovaglás	ride
cưỡng	kényszerű	force some body to do some thing. cưỡng dâm=rape
cạc	kártya	card (n.)
cạn	sekély	shallow
cạnh	él	"(term should be ""khía cạnh"") an angle"
cạo	borotválkozás	shave
cạp	skorpió	scorpion
cả	mindkét	both
cải	mustár	reform
cảm	hideg	pleasure
cản	sújtja	prevent
cảng	kikötő	port
cảnh	színhely	situation
cảo	húz	posthumous
cấm	tiltják	ban
cấn	szükség	dramatic
cấp	támogatás	level or rank (n.)
cất	desztillált	"(term should be ""cất giữ"") to keep safe or store"
cầm	tart	to hold (v.)
cần	szükség	need
cầu	híd	request
cầy	cibet	farmed
cẩn	légy óvatos	carefully
cẩu	daru	"(term should be ""hải cẩu"") a seal (n.)"
cận	megközelítés	close
cập	számláló	mention
cậu	fiú	a young man (n.)
cậy	függ	reliable
cắm	csatlakoztat	to plant (v.)
cắn	harapás	to bite
cắp	lop	steal
cắt	vágott	cut
cằm	áll	chin
cằn	zsémbes	exhausted (adj.)
cặp	táska	couple
cọ	dörzsölés	rub
