$	usd	dollar
атентата	slepkavība	assassination
атентату	slepkavība	assassination
атеље	studija	studio
атила	attila	attila
атина	atēnas	athens
атине	atēnas	athens
атини	atēnas	athens
атлантски	atlantijas okeāns	atlantic
атлантског	atlantijas okeāns	atlantic
атмосфера	atmosfēra	atmosphere
атмосфере	atmosfēra	atmosphere
атмосфери	atmosfēra	atmosphere
атмосферу	atmosfēra	atmosphere
атол	atols	soldier
атом	atoms	atom
атома	atoms	atoms
атон	atons	aten
атп	atp	atp
атракције	atrakcijas	attraction
атрибута	atribūti	attribute
аугит	augit	augite
аустралија	austrālija	australia
аустралије	austrālija	australia
аустралији	austrālija	australia
аустралијски	austrālietis	australian
аустрија	austrijā	austria
аустријанци	austrieši	austrians
аустрије	austrijas	austria
аустрији	austrijā	austria
аустријом	austrijā	austria
аустријске	austrietis	austrian
аустријски	austrietis	austrian
аустријског	austrietis	austrian
аустријском	austrietis	austrian
аустрију	austrijā	provinces
аустроугарска	austroungārija	austro hungarian
аустроугарске	austroungārija	austro hungarian
аустроугарски	austroungārija	austro-hungarian
аустроугарског	austroungārija	austro-hungarian
аустроугарском	austroungārija	austro hungarian
аустроугарској	austroungārija	austro-hungarian
ауто	auto	car
аутобуси	autobusi	busses
аутоматски	automātiski	automatic
аутоматско	automātiski	automatic
аутомобил	auto	car
аутомобила	auto	automobiles
аутономије	autonomija	autonomy
аутономију	autonomija	autonomy
аутономна	autonomi	autonomous
аутономне	autonomi	autonomy
аутопут	šoseja	highway road
аутопута	šoseja	highway
аутопутева	šosejas	highways
аутор	autors	author
аутора	autore	authors
аутори	autori	the authors
ауторитет	autoritāte	authority
африка	āfrika	africa
африке	āfrika	africa
африку	āfrika	africa
африци	āfrika	africa
афричких	afrikāņu	african
афродита	afrodīts	aphrodite
ахат	ahāts	ahat
ахил	ahilleja	ahil
ахондроплазија	achondroplasia	achondroplasia
ајакс	ajax	ajax
ајнштајн	einšteins	einstein
ајнштајнијум	einšteins	eistenium
б	b	b
баба	vecmāmiņa	grandmother
баве	bave	deal
бави	darījumi	deals
бавили	izklaidēja	engaged in
бавио	bavio	dealt with
база	bāze	base
базе	bāze	bases
базел	bāzele	basel
бази	bāze	base
базу	bāze	base
бакар	vara	copper
бакра	vara	copper
бакропис	kodināšana	engraving
бактерија	baktērijas	bactery
бактерије	baktērijas	bacteria
балашевић	balasevičs	balashevic
балкан	balkāns	balkan
балкана	balkāni	balkan
балканска	balkāni	balkan
балканске	balkāni	balkan
балкански	balkāni	balcan
балканским	balkāni	balkan
балканских	balkāni	balcan
балканско	balkāni	balkan
балканског	balkāni	balkan
балканском	balkāni	balcan
балкану	balkāni	balkans
бан	aizliegums	ban
бана	bana	ban
банат	banāts	banat
баната	banata	banat
банату	banatu	banat
банка	banka	bank
банке	bankas	bank
бановина	banovina	banovina
бановине	banovina	banovina
баптисти	baptisti	baptist
бар	bārs	at least
барбароса	barbars	barbarosa
барем	vismaz	at least
барок	baroka	barok
барока	baroka	baroque
барометар	barometrs	barometre
барселона	barselona	barselona
бас	bass	bass
басиста	basģitārists	bassist
бастион	bastions	bastion
бата	bata	bata
батаљон	bataljons	battalion
батаљона	bataljons	battalion
батискаф	pirts kafija	batiskaf
бах	bah	bach
бацио	aizmeta prom	threw
бачка	бачка	bachka
бачке	bačke	bachka
бачки	бачки	bachka
бачкој	бачкой	bachka
баш	vienkārši	very
башта	dārzs	garden
баштина	mantojums	heritage
баштине	mantojums	heritage, fortune
бајазит	bayazit	bayazit
бања	spa	spa
бање	spa	banja
бањој	banjoj	spa
бдп	bdp	gdp
бдпа	bdpa	gdp
бебек	bērniņš	bebek
бедем	sienas	wall
бедема	vaļņi	wall
бедеми	vaļņi	walls
бежи	skrien prom	runs
без	bez	without
безбедност	drošība	security
безбедности	drošība	security
бел	bel	white
бела	balts	white
белгија	beļģija	belgium
белгије	beļģija	belgium
беле	balts	white
бележи	piezīmes	records
бели	balts	white
бело	balts	white
белог	balts	white
белорусија	baltkrievija	belarus
белорусије	baltkrievija	belarus
бен	ben	ben
бенд	grupa	band
бенда	benda	band
београд	baltā pilsēta	belgrade
београда	belgrada	belgrade
београдом	belgrada	belgrad
београдска	belgrada	belgrade
београдске	belgrada	belgradian
београдски	belgrada	belgrade
београдског	belgrada	belgrade's
београдском	belgrada	belgrade
београдској	belgrada	belgrade's
београду	belgrada	belgrade
беране	berane	berane
берлин	berlīns	berlin
берлина	berlina	berlin
берлински	berlīne	berlin
берлинског	berlīne	berlin
берлину	berlīns	berlin
бесплатно	bez maksas	for free
бета	beta	beta
бетовен	bietes	beethoven
бетон	betona	concrete
беч	vīne	austria
беча	vīne	viena
бечеј	becejs	becej (town)
бечки	vīnes	viennese
бечког	no vīnes	austrian
бечу	vīne	viena
би	būtu	will
библиографија	bibliogrāfija	bibliography
библиотека	bibliotēka	library
библиотеке	bibliotēkas	library
библија	bībele	bible
библије	bībeles	bible
бива	biva	becomes
бивају	viņi ir	become
бивша	ex	former
бивше	ex	ex
бившег	ex	ex
бивши	bijušais	former
бившим	ex	former
бивших	ex	former
бившој	bijušais	former
бигар	bigars	bigar
бизнис	bizness	business
била	bijis	was
биле	žults	were
били	bija	were
било	tur bija	was
био	bija	was
биогеографија	bioģeogrāfija	biogeography
биографија	biogrāfija	biography
биоетика	bioētika	bioethic
биологија	bioloģija	biology
биолошки	bioloģiskā	biological
биотит	biotīts	biotite
бира	alus	choose
бирају	viņi izvēlas	choose
бисмо	mēs to darītu	we
бистрица	bistrica	bistrica
битака	cīņa	battles
битан	svarīgs	important
бити	būt	be
битка	cīņa	kingfisher
биткама	cīņas	battles
битке	cīņas	battle
битку	cīņa	battle
битна	svarīgs	important
битно	svarīgs	substantially
бих	vajadzētu	elements
бици	bibi	battle
бичари	pātagas	paramecium
бијело	balts	white
бијелог	balts	white
бијељина	baltums	bjelina
биљака	augi	plants
биљке	augi	plants
биљни	augu izcelsmes	herbal
бића	būtnes	being
биће	būs	will be
блага	maiga	mild
благе	maiga	mild
благо	dārgums	slow
бластомера	blastomērs	blastomer
бластомикоза	blastomikoze	blastomycosis
бластопор	blastopore	blastophore
блек	melns	black
ближе	tuvāk	closer
близини	tuvumā	close
близу	tuvu	near
блиске	tuvu	close
блиски	tuvu	close
блиским	tuvu	close
блиског	tuvu	close
блиском	tuvu	close
блог	emuārs	blog
блогова	emuārus	blogs
блогови	emuārus	blogs
блок	bloķēt	bloc
блока	bloķēt	block
блокаду	blokāde	blockade
блуз	blūza	blues
бог	dievs	god
бога	dievs	god
богат	bagāts	rich
богата	bagāts	rich
богате	bagāts	the rich
богати	bagāts	rich
богатим	bagāts	rich
богатих	bagāts	the rich
богато	bagāts	richly
богатства	bagātība	treasure
богатство	bagātība	wealth
богату	bagāts	rich
богдан	bogdan	bogdan
богдановић	bogdanović	bogdanovic
богиња	dieviete	goddess
богиње	dievietes	goddess
богова	no dieviem	gods
богове	dievi	gods
богови	dievi	gods
боговима	pie dieviem	gods
богом	pie dieva	god
богородица	dieva māte	the holy virgin
богородице	jaunava	madonna
богословије	teoloģija	seminary
богу	dievs	god
бодова	punkti	points
божанства	dievības	deities
боже	dievs	god
божидар	božidars	bozidar
божић	ziemassvētki	christmas
божића	ziemassvētki	goddess
божур	peonija	paeonia
божји	no dieva	god
бока	boka	boka
боки	gurniem	boka
бол	sāpes	pain
болест	slimība	disease
болести	slimības	illness
болница	slimnīca	hospital
болнице	slimnīcas	hospital
болници	slimnīcas	hospital
бомбардовања	bombardēšana	bombardment
бомбардовање	bombardēšana	bombardment
бомбардовању	bombardēšana	bombardment
бомбе	bumbas	bomb
бор	priede	pine
бора	krunka	bora
боравак	palikt	residence
боравио	palika	stayed
боравка	palikt	stay
борац	cīnītājs	borac
бораца	cīnītāji	soldiers
борба	cīņa	battle
борбама	cīnās	struggles
борбе	cīnās	battle
борбена	cīnīties	combat
борбене	cīnīties	battle
борбени	apkarojošs	military
борбеним	apkarojošs	battle
борбених	cīnīties	battle
борби	cīnās	battles
борбу	cīņa	fight
боре	nesa	fight
бори	cīnās	fights
борили	cīnījās	fought
борио	cīnījās	fought
борис	boriss	boris
борислав	borislavs	borislav
боровница	melleņu	blueberry
босанска	bosniešu	bosnian
босанске	bosniešu	bosnian
босански	bosniešu	bosnian
босанског	bosniešu	bosnian
босна	bosnija	bosnia
босне	bosnija	bosnia
босни	bosnija	bosnia
босном	bosnija	bosnia
босну	bosnija	bosnia
бошко	boško	boshko
бошњака	bosnieši	bosnians
бошњаци	bosnieši	the bosniaks
бошњачки	bosniešu	bosnian
бој	cīņa	battle
боја	krāsa	color
бојама	krāsas	colors
бојан	bojan	bojan
боје	krāsas	color
боји	krāsas	color
бојом	krāsa	color
боју	krāsa	battle
боље	labāk	better
бољи	labāk	better
бр	nē	number
бразил	brazīlija	brazil
бразила	brazīlija	brazil
бразилу	brazīlija	brazil
брак	laulība	marriage
брака	laulība	marriage
браку	laulība	marriage
брана	aizsprosts	brana
бране	aizsprosts	defend
брани	aizstāvēt	defends
бранимир	branimirs	branimir
бранислав	branislavs	branislav
бранка	branka	branko
бранко	branko	branko
бранковић	brankovic	brankovic
бранковића	brankovica	brankovic
брат	brālis	brother
брата	brālis	brother
братом	brālis	brother
братство	brālība	brotherhood
брату	brālis	brother
браћа	brāļi	brothers
браће	brāļi	brothers
брда	kalni	hills
брдима	kalni	the hills
брдо	kalns	hill
брду	kalns	hill
бреговић	bregović	bregovich
брже	ātrāk	quicker
бржи	ātri	faster
брз	ātri	fast
брзе	ātri	fast
брзим	ātri	fast
брзина	ātrums	speed
брзинама	ātrumi	speed
брзине	ātrums	speed
брзином	ātrums	speed
брзину	ātrums	speed
брзо	ātri	fast
брзу	ātri	quick
бригада	brigāde	brigade
бригаде	brigāde	brigades
бригантина	brigantine	brigantina (small military ship)
бригу	aprūpi	care
британаца	no britiem	britons
британија	lielbritānija	britain
британије	lielbritānijas	britain
британији	lielbritānija	britain
британију	lielbritānija	britain
британска	britu	british
британске	britu	british
британски	britu	britain
британским	britu	british
британских	britu	british
британског	britu	british
британском	britu	british
британској	britu	british
британску	britu	british
британци	briti	british
брод	kuģis	ship
брода	kuģis	ship
бродова	kuģi	ships
бродове	kuģi	boats
бродови	kuģi	ships
бродовима	kuģi	boats
броз	broza	broz
броза	broza	broz (middle name of former yugoslavian communist leader)
брокер	brokeris	broker
бронзаног	bronzas	bronze
број	skaits	number
број=	skaitlis =	noumber
броја	numuru	number
бројева	skaitļi	numbers
бројеви	skaitļi	numbers
бројем	pēc skaita	number of
броји	skaita	counts
бројна	neskaitāmas	number of
бројне	neskaitāmas	many
бројни	neskaitāmas	many
бројним	neskaitāmas	numeral
бројних	neskaitāmas	many
бројност	pārpilnība	number of
броју	numuru	number
бројчано	skaitliski	in number
брус	brus	bruce
бруто	bruto	gross
брчко	brčko	brcko
бугара	bulgāru	bulgarians
бугари	bulgāri	bulgarians
бугарска	bulgārija	bulgaria
бугарске	bulgāru	bulgarian
бугарски	bulgāru	bulgarian
бугарских	bulgāru	bulgarian
бугарског	bulgāru	bulgarian
бугарском	bulgāru	bulgaria
бугарској	bulgāru	bulgarian
бугарску	bulgāru	bulgarian
будва	budva	budva,montenegrian town
буде	būs	be
буди	būt	awakensothers
будизам	budisms	buddhism
будизма	budisms	buddhism
будимпешта	budapešta	budapest
будимпешти	budapešta	budapest
буду	es būšu	be
будуће	nākotne	future
будућег	nākotnes	future
будући	nākotne	future
будућност	nākotne	future
будућности	nākotnes	future
булевар	bulvāris	boulevard
бумбар	kamene	bumble bee
буна	buna	rebellion
буне	kūle	revolts
буњевци	nemiernieki	bunjevci
буџет	budžets	budget
вавилон	babilona	babilone
важан	svarīgs	important
важе	derīgs	are valid
важи	derīgs	stands for
важна	svarīgs	important
важне	svarīgs	important
важни	svarīgs	important
важним	svarīgs	important
важних	svarīgs	important
важнији	svarīgāks	important
важно	svarīgs	important
важност	svarīgs	importance
важности	svarīgums	importance
важну	svarīgs	important
вазал	vasaļa	vassal
ваздух	gaiss	air
ваздуха	gaiss	air
ваздухваздух	gaiss	air-air
ваздухземља	gaiss	air-earth
ваздухопловства	aviācija	aviation
ваздухопловство	aviācija	aviation
ваздуху	gaiss	in the air
ваздушне	gaiss	air
ваздушни	gaisa	aerial
