$	dollarni tashkil etadi	dollars
أراد	xohlamoq	wanted
أرادت	u xohladi	wants to
أراض	erlar	territories
أراضي	erlar	lands
أراضيها	uning hududi	lands
أرباع	chorakliklar	quarters
أربع	to&#39;rt	four
أربعة	to&#39;rtta	four
أربعين	qirq	forty
أرجاء	kechiktirildi	sides
أرخبيل	arxipelag	archipelago
أرخميدس	arximed	archimed
أرسطو	aristotel	aristo
أرسل	yuborish	he sent
أرسلان	arslan	arsalan
أرسلت	men yubordim	sent
أرسله	yubor	sent him
أرض	quruqlik	land
أرضية	qavat	earth
أرقام	raqamlar	numbers
أركان	ustunlar	arkan
أرمينيا	armaniston	armenia
أزمة	inqiroz	crisis
أس	ace	s
أسابيع	hafta	weeks
أساس	asos	basis
أساسا	asosan	originally
أساساً	asosan	base
أساسي	asosiy	main
أساسيا	muhim	essentially
أساسية	asosiy	essential
أساسًا	asosan	principally
أساليب	texnika	methods
أسامة	ossama	osama
أسباب	sabablari	reasons
أسبانيا	ispaniya	spain
أسبوع	bir hafta	week
أستاذ	professor	professor
أستراليا	avstraliya	australia
أسد	arslon	asad
أسر	ushlash	families
أسرار	sirlari	secrets
أسرة	oila	family
أسرته	uning oilasi	his family
أسرع	tezroq	the quickest
أسس	o&#39;rnatmoq	foundations
أسست	topilgan	established
أسسها	uni topdi	founded
أسطورة	afsona	legend
أسطول	flot	fleet
أسعار	narxlar	prices
أسعد	baxtli	as'ad
أسفر	yo&#39;l bering	lead to
أسفرت	tayyor	resulted
أسفل	pastga	under
أسلحة	qo&#39;llar	weapons
أسلم	xavfsiz	converted to islam
أسلوب	uslubi	method
أسماء	ismlar	names
أسمهان	asmaxon	asmahan
أسهم	aktsiyalar	contributed
أسوأ	eng yomoni	worst
أسوار	devorlar	walls
أسواق	bozorlar	markets
أسود	qora	black
أشار	ishora	pointed out
أشارت	u ko&#39;rsatdi	pointed
أشبه	ko&#39;proq o&#39;xshash	like
أشجار	daraxtlar	trees
أشخاص	odamlar	persons
أشد	qattiqroq	the most
أشرف	ashraf	most honorable
أشعة	nurlari	rays
أشكال	shakllar	types
أشهر	oylar	the most popular
أشهرها	eng taniqli	renown
أشياء	narsalar	things
أصابع	barmoqlar	fingers
أصبح	edi	became
أصبحوا	ular bo&#39;lib qoldilar	became
أصحاب	do&#39;stlar	owners
أصحابه	sahobalar	his friends
أصدر	berilgan sana	issued
أصدرت	berilgan sana	issued
أصغر	kichikroq	smallest
أصفر	sariq	yellow
أصل	kelib chiqishi	origin
أصلا	dastlab	originally
أصلاً	dastlab	originally
أصله	uning kelib chiqishi	its origin
أصلها	uning kelib chiqishi	its origin
أصوات	ovozlar	sounds
أصول	kelib chiqishi	assets
أصيب	jabrlangan	injured
أضاف	- deya qo‘shimcha qildi u	added
أضخم	eng kattasi	biggest
أضرار	zararlari	damage
أضعاف	ikki baravar	multiples
أضلاع	iplar	side
أطراف	tomonlar	parts
أطفال	bolalar	children
أطلق	bo&#39;shatish	named
أطلقت	ishga tushirildi	called
أطوال	uzunlik	lengths
أطول	eng uzun	the longest
أظهر	ko&#39;rsatish	emphasized
أظهرت	men ko&#39;rsatdim	showed
أعاد	takrorlang	repeated
أعداء	dushmanlar	enemies
أعدائه	uning dushmanlari	his enemies
أعداد	tayyorlash	numbers
أعراض	sindrom	symptoms
أعضاء	a&#39;zolar	members
أعطى	berdi	give
أعظم	eng katta	the greatest
أعقاب	natijada	after
أعلام	bayroqlar	flags
أعلاه	yuqorida	in the up
أعلم	bilaman	i know
أعلن	reklama	announced
أعلنت	- deb e&#39;lon qildi u	declared
أعلى	yuqoridagi	highest
أعمال	biznes	works
أعماله	uning asarlari	works
أعمالها	uning ishi	tasks
أعمدة	ustunlar	column
أعوام	yillar	years
أعيد	qaytarildi	was re-
أغاني	qo&#39;shiqlar	songs
أغراض	maqsadlar	stuff
أغسطس	avgust	august
أغلب	eng	the most
أغلبها	aksariyati	most of them
أغلبية	ko&#39;pchilik	most
أغنى	eng boy	richest
أغنية	qo&#39;shiq	the song
أفراد	jismoniy shaxslar	members
أفرادها	uning a&#39;zolari	its members
أفرودة	afroda	monograph
أفريقيا	afrika	africa
أفريقية	afrika	african
أفضل	eng yaxshisi	best
أفعال	fe&#39;llar	verbs
أفغانستان	afg&#39;oniston	afghanistan
أفكار	fikrlar	ideas
أفكاره	uning fikrlari	his ideas
أفلاطون	aflotun	aflaton
أفلام	filmlar	films
أفلامه	uning filmlari	his films
أفندي	effendi	effendi
أقاليم	hududlar	regions
أقام	qoling	established
أقبل	qabul qiling	did
أقدم	eng qadimgi	the oldest
أقر	o&#39;tdi	approved
أقرب	yaqinroq	the nearest
أقسام	bo&#39;limlar	divisions
أقصر	qisqartirilgan	shortest
أقصى	maksimal	far
أقطار	diametrlar	countries
أقل	kamroq	less
أقليات	ozchiliklar	minority
أقلية	ozchilik	minority
أقمار	oylar	satellites
أقوال	so&#39;zlar	sayings
أقواله	uning gaplari	his sayings
أقوى	yanada kuchliroq	stronger
أقيم	men turaman	held
أقيمت	o&#39;rnatilgan	held
أكاديمية	akademiya	academy of
أكان	akan	whether it is
أكتوبر	oktyabr	october
أكثر	ko&#39;proq	the most
أكثرها	uning aksariyati	most
أكد	tasdiqlangan	confirmed
أكدت	u tasdiqladi	insured
أكسيد	oksid	oxide
أكل	yedi	eating
أكمل	to&#39;liq	completed
ألا	tashqari	only
ألاسكا	alyaska	alaska
ألبانيا	albaniya	albania
ألبرت	albert	albert
ألبوم	albom	album
ألدهيد	aldegid	aldehyde
ألعاب	o&#39;yinchoqlar	games
ألف	ming	thousand
ألفا	alfa	alpha
ألفًا	alfa	thousand
ألقاب	taxalluslar	titles
ألقى	tashlamoq	thrown
ألكسندر	aleksandr	alexandr
ألكيل	alkil	alkyl
ألمانيا	germaniya	germany
ألمانية	nemis	german
ألوان	ranglar	colors
أم	ona	m
أما	ga kelsak	but
أماكن	joylar	places
أمام	oldin	in front of
أمامه	uning oldida	in front of
أمانة	halollik	secretariat
أمة	uning onasi	nation
أمثال	yoqdi	like
أمثلة	misollar	examples
أمر	buyruq	affair
أمرا	buyurtma	thing
أمراء	shahzodalar	princes
أمراض	kasalliklar	diseases
أمره	uning buyrug&#39;i	his issue
أمرهم	u ularga buyurdi	their fate
أمريكا	aqsh	america
أمريكي	amerikalik	american
أمريكية	amerikalik	american
أمريكيون	amerikaliklar	american
أمرًا	buyurtma	thing
أمطار	yomg&#39;ir	rains
أمفورة	amfora	amphora
أمكن	mumkin	what made possible
أمل	umidvor	hope
أمم	millatlar	nations
أمن	xavfsizlik	insure
أمه	uning onasi	his mother
أموال	mablag&#39;lar	money
أمور	narsalar	affairs
أمية	savodsizlik	omaia
أمير	shahzoda	prince
أمين	ishonchli	ameen
أمّا	ga kelsak	while
أن	bu	that
أنا	menman	i
أنابيب	quvurlar	tubes
أناكوندا	anakonda	onokanda
أنباء	yangiliklar	news
أنبياء	payg&#39;ambarlar	prophets
أنت	siz	you
أنتج	ishlab chiqarilgan	produced
أنتجت	ishlab chiqarilgan	produced
أنثى	ayol	female
أنجبت	tug&#39;ilgan	gave birth
أنجلوسكسونيون	anjelesxion	anglo-saxon
أنحاء	ustida	throughout
أندية	klublar	clubs
أنس	anas	ons
أنسجة	to&#39;qimalar	tissues
أنشأت	ta&#39;sis etilgan	founded
أنشئ	yaratmoq	established
أنشئت	ta&#39;sis etilgan	established
أنشطة	faoliyatlar	activities
أنصار	qo&#39;llab-quvvatlovchilar	supporters of
أنطاكية	antioxiya	antakia
أنظر	qarang	look
أنظمة	tizimlar	systems
أنفسهم	o&#39;zlari	themselves
أنقرة	anqara	ankara
أنك	bu siz	that you
أنماط	naqshlar	patterns
أننا	bu biz	that we
أنه	bu	it is
أنها	bu	that it is
أنهار	u qulab tushdi	collapsed
أنهم	ular	that they are
أنهما	ular	"they ""both"" are"
أنهى	tugatish	finshed
أنواع	turlari	kinds
أنواعها	uning turlari	types
أنوبيس	anubis	anubis
أنور	anvar	anwar
أني	bu menman	that i
أنّ	bu	so
أنّه	bu	it is
أهالي	odamlar	the people of
أهداف	maqsadlar	goals/objectives
أهدافها	uning maqsadlari	its aims
أهل	odamlar	inhabitants
أهله	uning oilasi	his family
أهلها	uning oilasi	it's people
أهلية	muvofiqlik	civil
أهم	eng muhimi	most important
أهمها	eng muhimi	the most important
أهمية	muhimi	importance
أهميتها	uning ahamiyati	importance
أو	yoki	or
أوائل	erta	the early
أواخر	kechikkan	late
أواسط	o&#39;rta	middle
أوامر	buyurtmalar	orders
أوامره	uning buyruqlari	his orders
أوباما	obama	obama
أوبرا	opra	opera
أوج	apogee	the height of
أوجه	maqola	aspects
أوراق	barglari	papers
أورانوس	uran	uranus
أورخان	orxan	orkhan
أورشليم	quddus	jerusalem
أوروبا	evropa	europe
أوروبي	evropa	european
أوروبية	evropa	european
أوساط	oav	among
أوسع	kengroq	wider
أوسلو	oslo	oslo
أوصى	tavsiya qilaman	will
أوضاع	modlar	situations
أوضح	tushuntirish	explained
أوضحت	u tushuntirdi	clarified
أوقات	vaqtlar	times
أوقطاي	mening vaqtim	ogtay
أوكرانيا	ukraina	ukraine
أول	birinchi	first
أولئك	bular	they
أولا	birinchidan	firstly
أولاد	bolalar	sons
أولاده	uning bolalari	for the birth of
أولاً	birinchidan	at first
أولها	ulardan birinchisi	first of them
أولى	birinchi	first
أولية	oldindan	primordial
أوّل	birinchi	first
أى	qaysi	any
أي	qaysi	which
أيام	kunlar	days
أيامه	uning kunlari	his days
أيبك	aybak	aibak
أية	oyat	any
أيدي	qo&#39;llar	hands
أيديهم	qo&#39;llari	their hands
أيرلندا	irlandiya	ireland
أيضا	shuningdek	also
أيضاً	shuningdek	also
أيضًا	shuningdek	also
أيلول	sentyabr	september
أيمن	aymen	ayman
أين	qayerda	where
أينشتاين	eynshteyn	einstein
أيها	hey	o
أيوب	ayoub	jacob
أَنَّ	bu	that
أَنْ	bu	can
إبادة	qirib tashlash	annihilation
إبان	davomida	during
إبراهيم	ibrohim	ibrahim
إثارة	hayajon	excitement
إثبات	isbot	proof
إثر	effekt	because of
إثيوبيا	efiopiya	ethiopia
إجراء	jarayon	procedure
إجراءات	protseduralar	steps
إجماع	kelishuv	agreement
إجمالي	jami	total
إحباط	umidsizlik	abortion
إحداث	voqealar	making
إحدى	bitta	a
إحصاء	hisoblash	counting
إحصاءات	statistika	counts
إحصائيات	statistika	statistics
إحياء	biologiya	recreation
إخراج	rejissor	directed by
إخوته	akalari	his brothers
إدارة	boshqaruv	managing
إداري	ma&#39;muriy	administrative
إدارية	ma&#39;muriy	administrative
إدخال	kirish	introduction of
إدراك	amalga oshirish	recognition
إذ	shuning uchun	in fact
إذا	agar	if
إذاعة	eshittirish	broadcast
إذن	quloq	ann
إرادة	irodasi	will
إرتريا	eritreya	arteria
إرسال	yuborish	sending
إرهابية	terrorist	terrorist
إزالة	olib tashlash	remove
إس	s.	s
إسبانيا	ispaniya	spain
إستراتيجية	strategiya	strategy
إسحاق	ishoq	isaac
إسرائيل	isroil	israel
إسطنبول	istanbul	istanbul
إسقاط	proektsiyalash	projection
إسلام	islom	islam
إسلامه	uning islomi	his conversion to islam
إسلامي	islomiy	islamic
إسلامية	islomiy	islamic
إسماعيل	ismoil	ismail
إشارات	signallar	signs
إشارة	signal	signal
إشعاع	nurlanish	radiation
إصابة	infektsiya	injury
إصدار	berish	issuance of
إصلاح	ta&#39;mirlash	fixing
إصلاحات	ta&#39;mirlash	repairs
إضافة	qo&#39;shimcha	addition
إضافةً	qo&#39;shimcha	in addition
إضافية	qo&#39;shimcha	additional
إطار	ramka	framework
إطلاق	ozod qilish	naming
إعادة	qaytish	repetition
إعداد	tayyorlash	preparation
إعطاء	bering	giving
إعلامية	axborotli	media
إعلان	reklama	announcement
إف	f	f
إفراز	sekretsiya	secretion
إفريقيا	afrika	africa
إفريقية	afrika	africa
إقامة	turar joy	the establishment of
إقليم	viloyati	territory
إقليمية	mintaqaviy	regional
إل	the	l
إلا	tashqari	except
إلاّ	tashqari	except
إلغاء	bekor qilish	cancel
إلقاء	otish	capturing
إله	mashina	god
إلهام	muhim	inspiration
إلى	menga	to
إلي	menga	to
إليك	sizga	to you
إلينا	bizga	elena
إليه	mexanizmi	to him
إليها	unga	for it
إليهم	ularga	for them
إم	ona	m
إما	ga kelsak	either
إمارة	amirlik	emirate
إمام	oldin	emam
إمبراطور	imperator	emperor
إمبراطورية	imperiya	empire
إمكانية	imkoniyat	ability
إنا	menman	we
إنتاج	mahsulot	production
إنتاجه	uni ishlab chiqaring	its production
إنتاجها	ularning ishlab chiqarilishi	preduce
إنترنت	internet	internet
إنجازات	yutuqlar	achievements
إنجلترا	angliya	england
إنجليزية	inglizcha	englishwoman
إنجيل	xushxabar	gospel
إندونيسيا	indoneziya	indonesia
إنسان	kishi	human
إنسانية	insonparvar	human
إنشاء	mustahkamlamoq	founding
إنشائها	ularni yarating	generation
إنفلونزا	gripp	flu
إنكار	rad qilish	denying
إنما	aksincha	rather
إنها	bu	that it is
إنهاء	tugatish	finished
إنهم	ular	they are
إني	menman	i
إنّ	bu	the
إياه	uni	itself
إياها	bu	itself
إيجاد	topish	finding
إيران	eron	iran
إيرث	yer	earth
إيطاليا	italiya	italy
إيفان	ivan	ivan
إيفل	eyfel	eiffel
إيقاف	o&#39;chadi	cut
إيه	oyat	a
إِلا	tashqari	except
إِلَى	menga	to
ا	a	quotation mark
ابتداء	boshlanishi	starting
ابتناء	anabolizm	building
ابن	o&#39;g&#39;il	son
ابنة	qizi	cousin
ابنته	qizi	his daughter
ابنه	qizi	his son
ابي	mening otam	abi
اتباع	quyidagi	followers
اتباعه	uning izdoshlari	his followers
اتبع	davom eting	follow
اتجاه	yo&#39;nalishi	direction
اتجاهات	tendentsiyalari	directions
اتجه	buriling	went
اتحاد	birlashma	union
اتخاذ	oling	taking
اتخذ	qabul qilingan	took
اتخذت	olingan	took (action)
اتساع	kengligi	expansion
اتسعت	kengaytirilgan	widened
اتسمت	belgilangan	characterized by
اتصال	aloqa	connection
اتصالات	telekom	communication
اتفاق	kelishuv	accord
اتفاقيات	shartnomalar	agreements
اتفاقية	kelishuv	agreement
اتفق	kelishilgan	agreed
اتهام	ayblash	accusation
اتهم	ayblash	accused
اثنان	ikkita	two
اثنتين	ikki	two
اثنين	ikki	two
اجتماع	uchrashuv	social
اجتماعات	uchrashuvlar	meetings
اجتماعي	ijtimoiy	social
اجتماعية	ijtimoiy	social
اجتمع	kutib oldim	met
اجتياح	bosqinchilik	invasion
اجل	ha	order / becomes clear
احتراق	yonayotgan	combustion
احترام	hurmat	respect
احتفظ	saqlamoq	kept
احتل	egallab oling	occupied
احتلال	kasb	occupation
احتلت	ishg&#39;ol qilingan	occupied
احتمال	prospekt	the possibility
احتياجات	ehtiyojlar	needs
احتياطي	zaxira	reserves
احمد	ahmad	ahmed
اختار	tanlang	choose
اختبار	sinov	examination
اختبارات	sinovlar	tests
اختراع	kashfiyot	invention
اختراق	yutuq	penetration
اخترع	ixtiro qildi	invented
اختلاف	farq	different
اختلافات	farqlar	differences
اختلفت	farqli	different
اختيار	tanlash	choose
اختياره	uning tanlovi	has been chosen
اخر	yana	the last
اديسون	edison	edison
ارتباط	ishtirok	liaison
ارتبط	ulanmoq	was linked
ارتبطت	unashtirildi	associated with
ارتفاع	balandligi	increase
ارتفاعه	uning balandligi	its attitude
ارتفاعها	uning balandligi	it attitude
ارتفع	ko&#39;tarildi	increased
ارتفعت	atirgul	rise up
ازداد	oshdi	increased
ازدادت	kattalashdi	increased
ازدهار	gullash	prosperity
ازدهر	boqilgan	flourished
ازدهرت	boqilgan	prosperity
ازدياد	o&#39;sish	increase
اس	s.	s
استبدال	almashtiring	replacing
استخدام	foydalanish	using
استخدامات	foydalanadi	used
استخدامه	buni ishlat	use
استخدامها	buni ishlat	usage
استخدم	foydalanish	use
استخدمت	ishlatilgan	used
استخدمها	buni ishlat	used it
استخراج	ekstrakti	extraction
استراتيجية	strategiya	strategical
استرجاع	tiklash	regain
استسلام	taslim bo&#39;lish	surrender
استسلمت	men taslim bo&#39;ldim	surrendered
استضافة	xosting	host
استطاع	mumkin edi	can
استطاعت	u boshqardi	was able
استطلاع	razvedka	scouting
استعادة	qayta tiklash	return
استعداد	tayyor	ready
استعمال	foydalanish	using
استعمالها	buni ishlat	usage
استعمل	foydalanish	use
استغلال	foydalanish	exploitation
استفتاء	referendum	poll
استقالته	uning iste&#39;fosi	his resigning
استقبال	qabul qilish	receiving
استقر	ishga kirishish	settled
استقرار	barqarorlik	stability
استقرت	o&#39;rnatildi	settled down
استقلال	mustaqillik	independence
استقلالها	uning mustaqilligi	independence
استكشاف	razvedka	discovering
استمر	davom eting	continued
استمرار	davomi	continuation
استمرت	davomi	continued to
استنادا	shunga asosan	based on
استنادًا	shunga asosan	based on
استهلاك	iste&#39;mol	consumption
استولى	ushlangan	seized
استيراد	import	importing
اسم	ism	the name
اسمه	uning nomi	his name
اسمها	uning ismi	her name
اشتد	kuchaytiring	intensified
اشتراكية	sotsializm	socialist
اشتهر	eng yaxshi tanilgan	famous
اشتهرت	u mashhur bo&#39;ldi	it was known
اصدار	berish	publishing
اضطر	majburan	had to
اضطراب	bezovtalik	fusses
اضطرابات	bezovtalik	disturbance
اضطهاد	quvg&#39;in	persecution
اعادة	qaytish	review
اعتبار	ko&#39;rib chiqish	considering
اعتبارا	effekt	starting from
اعتباراً	ko&#39;rib chiqaylik	starting
اعتبارها	aql	considering
اعتبر	ko&#39;rib chiqilgan	concidered
اعتبرت	ko&#39;rib chiqilgan	considered
اعتراف	tan olish	confession
اعترف	men tan olaman	confessed
اعتقاد	e&#39;tiqod	belief
اعتقال	hibsga olish	arresting
اعتقد	o&#39;ylab ko&#39;ring	believed
اعتماد	tasdiqlash	approval
اعتمادا	bog&#39;liq	depending
اعتمد	ishonmoq	considered
اعتمدت	qabul qilingan	counted on
اعتناق	qabul qiling	embracement
اعتنق	qabul qilingan	converted to
اغتيال	suiqasd	assassination
اغتياله	uning o&#39;ldirilishi	to assassinate him
افتتاح	ochilish	opening
افتتح	ochildi	started
افتتحت	ochdim	opened
اقتراب	yondashuv	approaching
اقتراح	taklif	decision
اقترح	taklif qilmoq	suggested
اقتصاد	iqtisodiyot	economy
اقتصادها	uning iqtisodiyoti	its economy
اقتصادي	iqtisodiy	economical
اقتصاديا	iqtisodiy	economically
اقتصادية	iqtisodiy	economical
اقرأ	o&#39;qing	read
اكتساب	sotib olish	acquisition
اكتسبت	olingan	gained
اكتشاف	kashfiyot	discovering
اكتشافه	uni kashf eting	his discovery
اكتشافها	ularni kashf eting	discovered
اكتشف	kashf qiling	discovered
اكتشفت	men kashf qildim	discovered
ال	the	the
الآب	ota	father
الآباء	ota-onalar	fathers
الآبار	quduqlar	wells
الآتي	quyidagi	following
الآثار	arxeologiya	the monuments
الآخر	boshqasi	other
الآخرة	bundan keyin	afterworld
الآخرين	boshqalar	others
الآداب	adabiyot	arts
الآر	aar	hectare
الآرامية	aramey	the aramaic
الآستانة	ostona	astana
الآسيوي	osiyo	asian
الآسيوية	osiyo	asiatic
الآشورية	ossuriya	assyrian
الآفات	zararkunandalar	evils
الآلات	mashinalar	machines
الآلاف	minglab	thousands of
الآلام	og&#39;riq	pains
الآلة	xudo	machine
الآلهة	xudolar	gods
الآلي	avtomatlashtirilgan	automatic
الآلية	mexanizm	mechanism
الآن	hoziroq	now
الآونة	yaqinda	period
الآيات	oyatlar	scenes
الآية	oyat	the verse
الأئمة	imomlar	imams
الأب	ota	the father
الأباطرة	imperatorlar	emperors
الأبجدية	alifbo	alphabetic
الأبحاث	izlanishlar	the researches
الأبطال	qahramonlar	champions
الأبعاد	o&#39;lchamlari	dimensions
الأبناء	bolalar	sons
الأبواب	eshiklar	gates
الأبيض	oq	white
الأتراك	turklar	the turkish
الأثار	arxeologiya	ancient ruins
الأثر	ta&#39;sir	impact
الأثرية	arxeologik	archeological
الأثناء	vaqt	while
الأثير	efir	el-asyr
الأجانب	chet elliklar	foreigners
الأجرام	tanalar	celestial
الأجزاء	qismlar	parts
الأجسام	ob&#39;ektlar	bodies
الأجناس	irqlar	races
الأجنبي	chet ellik	foreign
الأجنبية	chet el	foreign
الأجنحة	qanotlar	factions
الأجهزة	qurilmalar	services
الأجيال	avlodlar	generations
الأحاديث	hadislar	ahaadeeth
الأحد	yakshanba	sunday
الأحداث	hodisalar	the events
الأحرار	bepul odamlar	free
الأحرف	belgilar	letters
الأحزاب	tomonlar	party
الأحكام	qoidalar	judgments
الأحماض	kislotalar	acids
الأحمد	al-ahmad	al-ahmad
الأحمر	qizil	red
الأحوال	shartlar	everything
الأحياء	biologiya	neighborhoods
الأحيان	ba&#39;zan	sometimes
الأخ	aka	brother
الأخبار	yangiliklar	news
الأخذ	olmoqda	take
الأخر	boshqasi	other
الأخرى	boshqa	other
الأخضر	yashil rang	the green
الأخطاء	xatolar	mistakes
الأخلاق	ahloqiy	ethics
الأخلاقية	ahloqiy	the morality
الأخوان	birodarlar	the brothers
الأخير	oxirgisi	last
الأخيرة	oxiri	last
الأداء	ishlash	performance
الأدب	adabiyot	literature
الأدباء	yozuvchilar	writer
الأدبي	adabiy	literary
الأدبية	adabiy	the literature
الأدلة	dalillar	evidences
الأدنى	eng pasti	the near
الأدوات	asboblar	gadgets
الأدوار	rollarda	roles
الأدوية	farmatsevtika	the drugs
الأديان	dinlar	religions
الأذربيجانية	ozarbayjoncha	azerbaijan
الأراضي	erlar	the lands
الأرانب	quyonlar	rabbits
الأربع	choragiga	the four
الأربعة	to&#39;rt	four
الأربعين	qirq	fourteen
الأرثوذكس	pravoslav	orthodox
الأرثوذكسية	pravoslav	the orthodox
الأرجح	ehtimol	mostly
الأرجنتين	argentina	argentina
الأردن	iordaniya	jordan
الأردني	iordaniya	joranian
الأردنية	iordaniya	jordan
الأرز	guruch	cedrus
الأرضي	zamin	land
الأرضية	qavat	earth
الأرقام	raqamlar	the numbers
الأرمن	armanlar	armenians
الأرمني	arman	armenian
الأرمنية	arman	armenian
الأرنب	quyon	the rabbit
الأرواح	ruhlar	the spirits
الأزرق	moviy	blue
الأزمات	tangliklar	crises
الأزمة	inqiroz	crisis
الأزهر	al-azhar	azhar
الأزياء	moda	fashion
الأسئلة	savollar	questions
الأساس	poydevor	the basis
الأساسي	birlamchi	mainly
الأساسية	asosiy	essential
الأساطير	miflar	legends
الأساليب	usullari	methods
الأسباب	sabablari	reasons
الأسباني	ispan	the spanish
الأسبانية	ispan	spanish
الأسبرين	aspirin	aspirin
الأسبق	sobiq	the previous
الأسبوع	hafta	week
الأستاذ	professor	professor
الأسترالية	avstraliya	australian
الأسد	sher	lion
الأسر	oilalar	families
الأسرة	oila	family
الأسرى	mahbuslar	captives
الأسطورة	afsona	the legend
الأسطول	filo	navy
الأسعار	narxlar	prices
الأسفل	pastki	down
الأسلحة	qurollar	weapons
الأسلوب	usul	way / style / method
الأسماء	ismlar	the names
الأسماك	baliq	fish
الأسمدة	o&#39;g&#39;itlar	fertilizer
الأسنان	tishlar	teeth
الأسواق	bozorlar	markets
الأسود	qora	the black
الأشجار	daraxtlar	the trees
الأشخاص	shaxslar	persons
الأشراف	nazorat	supervision
الأشرف	ashraf	el ashraf
الأشعة	nurlar	rays
الأشعري	al-ash&#39;ariy	ashari (name)
الأشكال	shakllar	forms
الأشهر	oylar	the most popular
الأشياء	narsalar	things
الأصدقاء	do&#39;stlar	the friends
الأصغر	eng kichik	the smallest
الأصفر	sariq	yellow
الأصل	kelib chiqishi	origin
الأصلي	asl	original
الأصلية	asli	rooted
الأصليون	tubjoy	originals
الأصليين	mahalliy	original
الأصناف	turlar	items
الأصوات	tovushlar	sound
الأصول	kelib chiqishi	assets
الأضحى	al-adha	adhha
الأضرار	zararlari	damages
الأضلاع	iplar	pentagon
الأطباء	shifokorlar	medcins
