$ tỉ	milliard dollar	$ billion
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	aka	english
anhmỹ	britaniya	"(term should be ""anh mỹ"") english or american"
anhpháp	ingliz fransuz	england-france
ankara	ankara	ankara
ankyl	ankil	ankly
anna	anna	anna
annam	nam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorotoz	anorthosit, a type of igneous rock (n.)
anthony	kuydirgi	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	har qanday	any
anđêhít	aldegid	aldehydes
ao	hovuz	pond
aotearoa	aotearoa	aotearoa
apollo	apollon	apollo
apple	olma	apple
aquinas	akvariumlar	a name
arab	arab	(proper noun) arab
archetypal	arxetipal	archetypal
archive	arxiv	archive
arctan	arktan	a function
ares	ares	ares
argentina	argentina	(proper noun) the south american nation of argentina
argo	argo	argo
arias	ariya	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristotel	aristotle
arizona	arizona	arizona, as in the state
ark	kema	ark
arkansas	arkanzas	arkansas
arlington	arlington	(proper noun) arlington
armenia	armenian	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	arsenal	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	kul	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	asiya	asia
asm	asm	asm
asoka	asoka	asoka
association	uyushma	association
assyria	ossuriya	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlantika	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	tinglash	audition
auflage	auflage	auflage
auguste	avgust	auguste
australia	avstraliya	(proper noun) australia
austria	avstriya	(proper noun) the country of austria
austrian	avstriyalik	austrian
avar	avar	a name
aviation	aviatsiya	aviation
awad	avad	awad
award	mukofot	award
axit	kislota	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	ozarbayjon	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	otasi	three
babylon	bobillik	babylon
bacon	bekon	bacon
baden	baden	baden
baghdad	bag&#39;dod	(proper noun) baghdad
bago	bago	bago
bahamas	bahamalar	bahamas
bahrain	bahrayn	bahrain
baháí	baháí	bahai
balearic	balearik	balearic
bali	bali	bali
balkan	balkon	(proper adjective) balkan
balkans	balkonlar	balkans
ballard	qip-qizil	ballard
bamar	bamar	bamar
ban	taqiq	the
bang	portlash	state
banh	to&#39;p	ball
banner	banner	banner
bantam	bantam	bantam
bantu	tu taqiq	bantu
bao	to&#39;rva	bao giờ= ever
barack	barak	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbar	barbara
barbary	vahshiy	barbary
barca	barca	barca
barnes	barlar	barnes
barone	baron	barone
baroque	barok	baroque
barquin	barbekyu	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrikello	barrichello
bartholdi	bartoldi	bartholdi
baryon	bariyon	baryon
barça	barcha	(proper noun) barca
base	tayanch	base
basel	bazel	basel, a city in switzerland
basil	reyhan	basil
baskervilles	baskervilles	baskervilles
bass	bas	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	pashsha	"(should be ""tuyến bay"") an airline"
bayern	bavariya	bayern
bazan	bazalt	basalt (n.)
bazơ	asosiy	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	urmoq	beat
beatles	beatles	the beatles
beauty	go&#39;zallik	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	xayolparast	(proper noun) becker
beckham	bekxem	beckam
bedloe	choyshab	bedloe
beethoven	betovod	beethoven
beethovens	betovvenlar	beethoven's
beginbmatrix	startbmatrix	this is a code
behind	orqasida	behind
beijing	pekin	beijing
bel	bel	bel
bell	qo&#39;ng&#39;iroq	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	oqlangan	benedict
benetton	benetton	benetton
benfica	benfika	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	berber	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkli	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	yaxshiroq	better
betty	yaxshi	betty
bhutan	butan	bhutan
bia	pivo	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	hisob-kitob	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismark	bismarck, as in otto von bismarck
bitmap	bitmap	bitmap
biên	yozib olish	bien
biếc	choy	a bluish-green color (adj.)
biếm	beparvo	"(term should be ""biếm họa"") cartoon (n.)"
biến	chiqdi	other
biếng	dangasa	lose interest in
biếu	soliq to&#39;lash	present
biều	bieu	bieu
biển	dengiz	ocean
biểuthứcđiềukiện	shartlarni bilish	conditional expression
biện	uzr	"(term should be ""biện pháp"") a method (n.)"
biệt	aniq	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	qora tanlilar	this is a name
blair	loyqa	blair
blaise	gulduros	blaise
blanc	bo&#39;sh joy	blanc
blues	ko&#39;klar	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bob	bob
bobby	bobbi	bobby, as in bobby day
boeing	qayiq	boeing
bohemia	bohemiya	bohemia
bolivia	boliviya	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bomba	bomb
bonaparte	bonapart	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	tirik	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	mantiqiy	(proper adjective) boolean, as in boolean algebra
boom	portlash	boom
boong	paluba	a deck (n.)
boongke	bunkerlar	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussiya	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosniya	(proper noun) bosnia
botswana	botsvana	botswana
bottom	pastki	bottom
boulder	toshli tosh	boulder
bourbon	burbon	bourbon
boxing	boks	boxing
brain	miya	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	markali	brandt
braun	qoramtir	braun
brazil	braziliyalik	brazil
bremen	chorvadorlar	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brejnev	brezhnev
brian	brian	a name
bridge	ko&#39;prik	bridge
britannic	britaniyaliklarga oid	(proper noun) britannic
britney	britney	britney
brooklyn	bruklin	brooklyn
brot	brot	this is german not vietnamese
brown	jigarrang	brown
browne	jigarrang	browne
browning	qizarish	(proper noun) browning
bruce	bruce	bruce
brunei	bruney	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	bryussel	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapesht	budapest, the capital of hungary
bulgaria	bulgariya	bulgaria
bulletin	byulleten	thong bao
bungary	bungariy	bungary
bungo	bungo	bungo
buonaparte	buonapart	(proper noun) buonaparte, as in casa buonaparte
burke	burke	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	burma	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	avtobus bekasi	busby
bush	buta	bush
bushy	po&#39;stloq	bushy
buôn	ulgurji	commerce
buông	qo&#39;yib yuboring	to release, to let loose
buýt	avtobus	bus
buốt	o&#39;tkir	sharp
buồm	yelkan	sail
buồn	qayg&#39;uli	sad
buồng	xona	chamber
buổi	sessiya	session
byzantine	vizantiya	byzantine
bà	buvisi	woman or lady (n.)
bài	xabarlar	articles
bàn	jadval	table
bàng	burgut	eagle
bành	peng	armchair
bào	taxlash	compatriot
bàu	bau	bau
bày	taqdimot	"(term should be ""trưng bày"") to display (v.)"
bác	tog&#39;a	doctor
bách	sarimsoq	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	ibodat	to bow (v.)
bám	yopishmoq	cling
bán	sotmoq	sell
báng	portlash	"(term should be ""phỉ báng"") to defame or slander"
báo	gazeta	newspaper (n.)
bát	kosa	eight (n.)
báu	xazina	valuable
bây	hozir	now
bã	qoldiq	"(term should be ""buồn bã"") sad (adj.)"
bãi	hovlilar	beach
bão	bo&#39;ron	storm
bèn	keyin	then
bé	oz	baby
bén	o&#39;tkir	sharp (adj.)
béo	yog &#39;	fat
bên	tomoni	side
bênh	kasal	advocate
bì	qadoqlash	foreskin (n.)
bìa	qopqoq	cover
bìu	qizilo&#39;ngach	sac (n.)
bí	qovoq	secret
bính	binx	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	qovoq	biro
bò	sigir	beef
bó	shamlardan	bound (adj.)
bói	folbinlik	to foretell (v.)
bón	urug&#39;lantirish	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	to&#39;p	sphere or ball
bóp	siqish	squeeze
bô	otasi	"(term should be ""bôxit"") the mineral bauxite"
bôi	bulg&#39;angan	to apply (as in oil)
bông	paxta	flower
bù	pardoz	compensate
bùa	tumor	talisman
bùn	loy	mud
bùng	alanga	"(term should be ""bùng nổ"") to break out (v.)"
bú	emizish	to suck
búa	bolg&#39;a	a hammer
búi	tuflar	tuft
bún	guruch noni	noodle
búng	siltadi	snap
bút	qalam	pseudonym
băm	chiqindi	hash
băn	xafagarchilik	concerned
băng	muz	"(term should be ""băng giá"") freezing (adj.)"
bơ	sariyog &#39;	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	suzmoq	swim
bơm	nasos	pump
bưu	pochta orqali	post office
bước	qadam	a step (n.)
bướm	kapalak	butterfly
bạ	aloqalar	directory
bạc	kumush	meager
bạch	oq rang	"(should be ""bạch tuộc"") an octopus"
bại	yo&#39;qotish	defeated
bảng	taxta	chart
bảo	bao	protect
bảy	yetti	seventh
bấm	bosing	press
bất	haqiqiy	"(term should be ""bất cứ"") any (adj.)"
bấy	bu	contemporary
bần	bechora	poor
bầu	ovoz bering	vote
bầy	podasi	servant
bẩm	tug&#39;ma	congenital
bẩn	iflos	the
bẩy	tuzoq	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	tuzoq	a trap (n.)
bậc	daraja	level or class (n.)
bận	band	busy
bật	yoqilgan	outstanding
bắc	shimolda	beijing
bắcnam	shimoliy janub	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	otmoq	shoot
bắp	makkajo&#39;xori	venter
bắt	qo&#39;lga olish	cross
bằng	teng	by
bẹp	ezib tashlash	crush
bẻ	tanaffus	break
bẽ	xo&#39;rlash	humiliate
bến	kamerada	wharf
bếp	oshxona	kitchen
bề	yuzasi	"(should be ""bề mặt"") a surface"
bền	bardoshli	enduring (v.)
bể	kovaklar	tank
bệ	piyoda	base
bện	to&#39;qilgan	braided (adj.)
bệnh	kasal	benh
bỉ	belgiya	disgust
bỉnh	yaramas	binh
bịch	tomoq	ridiculous
bịt	qoplangan	cover
bọ	xato	insect
bọc	o&#39;rash	to cover or enclose (v.)
bọn	ularni	a group (n.)
bọng	shishish	bladder
bọt	ko&#39;pik	foam
bỏ	bekor qilish	to leave (v.)
bỏng	kuyish	hot
bố	ota	"(term should be ""tuyên bố"") to declare"
bốc	yuklanmoqda	bốc lửa= on fire
bối	chalkash	messy
bốn	to&#39;rtta	four
bồi	tovon puli	"(term should be ""cao bồi"") cowboy (n.)"
bổn	burch	duty
bổng	stipendiya	"with word luong, means ""salary"" or ""wages"""
bỗng	to&#39;satdan	suddently
bộ	to&#39;plam	part
bộc	bok	"(term should be ""bộc lộ"") to reveal (v.)"
bội	ko&#39;p	betray
bột	un	powder or flour (n.)
bớ	o&#39;rab olmoq	arrest
bớt	kamroq	less
bờ	chekka	coast
bời	bukmoq	profuse
bở	tomonidan	profitable
bởi	tomonidan	because
bục	podium	platform
bụng	oshqozon	abdomen
bứt	bilmasdan	"(term should be ""bứt phá"") power (n.)"
bừa	jasurlik	messy, careless, or topsy-turvy (adj.)
bữa	ovqat	meal (n.)
bực	ko&#39;ngli qolgan	bother
ca	siljish	praise
ca-lo	ca-lo	a unit of measurement
cabo	kabo	cabo
cacbon	uglerod	carbon
cacbonat	karbonatli	carbonate
cacbua	karbid	carbides, carbon ions
caesar	sezar	caesar
caffein	kofein	caffeine
café	qahva	coffee
cai	kay	govern
cairo	qohira	cairo, the capital of egypt
cal	kaloriya	cal, a first name
calculus	hisoblash	calculus
calvin	kalvin	calvin
cam	apelsin	commit
cambodia	kambodiya	(proper noun) the country of cambodia
cambridge	kambrij	cambridge
cameo	kamo	cameo part
cameron	kamon	cameron
cameroon	kamerun	cameroon
camille	tuya	camille
campbell	qamish	campbell
campuchia	kambodja	campuchia
canada	kanada	canada
canadian	kanada	canadian
canal	kanal	canal
canary	kanareyka	canary
cancer	saraton	cancer
canterbury	kanterbury	canterbury
canxi	kaltsiy	calcium
capello	kapello	capello
capra	kapra	capra
carat	karat	carat
carbine	karbin	carbine
cardcaptor	kartkaptor	cardcaptor
cardcaptors	kartochkalar	(proper noun) cardcaptors
carey	karey	(proper noun) carey, as in singer mariah carey
caribe	avtoulov	caribbean
caribê	karib dengizi	caribbean
carl	karl	carl
carlos	karlos	carlos
carnaval	karnaval	carnaval
carol	karol	carol
caroline	benzin	(proper noun) caroline
carpathia	karpatiya	carpathia
carter	kartter	carter
carxtơ	karat	karst topography, a geological term (n.)
casa	ca sa	casa
casablanca	kasablanka	casablanca
caspia	kaspiya	caspia
cassini	kassini	cassini
cast	tashlamoq	cast
castries	yozuvlar	castries
castro	kastro	castro, as in fidel castro
cathay	katay	cathay
catherine	ketrin	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	kub	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	kompakt-disk	cd-rom
cell	hujayra	cell
celtic	keltik	centic
cena	kena	(proper noun) cena, as in john cena, the wrestler
centauri	kentauri	centauri
ceres	ceres	ceres
cha	dada	father
chai	shisha	bottle
chaillot	chaylot	a name
chamberlain	kamera	chamberlain
champa	shampa	champa
champion	chempion	champion
chamẹ	ota-onalar	parents
chanel	chanel	chanel
chanh	limon	lemon or lime (n.)
chao	salom	(proper noun) chao, a name
charles	charlz	charles
charlotte	charlotte	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	ketidan quvmoq	chase
chay	vegetarianlar	fasting
chdcnd	chdcnd	democratic republic
che	qopqoq	cover
chechnya	chechen	chechnya
chen	chen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	ulush	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chili	(proper noun) the country of chile
chim	qush	bird
china	chinni	china
ching	ching	ching
chirac	chirak	chirac, as in former french president jacques chirac
chiêm	astrologik	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	qovurilgan	fry
chiêng	gong	gong
chiếc	dona	the
chiếm	buxgalteriya hisobi	appropriate
chiến	jang	war, fight
chiết	ekstrakti	literal
chiếu	mat	show
chiền	shamlardan	temple
chiều	kechqurun	length
chlamydia	xlamidiya	chlamydia
chloride	xlorid	chloroauric acid
chnd	chnd	chnd
choi	o&#39;ynash	choi
chomsky	chomskiy	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	kaput	coat
choáng	hayron bo&#39;lib	dizzy
chris	chris	chris, as in chris hughes
christ	xristian	christ
christian	xristian diniga oid	christian
christopher	xristian	christopher
chrome	xrom	chrome, as in google chrome
chrysler	xrizler	(proper noun) chrysler, the car company
chu	chu	cycle
chua	nordon	tomato
chuck	chuck	(proper noun) chuck, as in chuck norris
chui	artib oling	underground
chum	chum	pot
chun	chun	chun
chung	umumiy	general
churchill	cherkov	churchill
chuyên	ixtisoslashgan	professional
chuyến	sayohat	trip
chuyền	o&#39;tish	volleyball
chuyển	ustida ko&#39;chib o&#39;tdi	to move
chuyện	hikoya	nói chuyện= talk
chuôi	tutmoq	handle
chuông	qo&#39;ng&#39;iroq	a bell
chuẩn	standart	standard
chuốc	poke	incur
chuối	banan	banana
chuốt	broshyuralar	refine
chuồng	qafas	cage
chuỗi	zanjir	series
chuộc	sotib olmoq	redeem
chuộng	ma&#39;qullangan	favorite
chuột	sichqonchani	a mouse (n.)
chà	ishqalamoq	rub
chài	baliq ovlash	fish
chàm	indigo	indigo
chàng	yigit	"(term should be ""chàng trai"") a young man (n.)"
chào	salom	welcome
chày	beysbol	a pestle (n.)
chánh	boshliq	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	porridge	porridge
cháu	nevaralar	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	yong&#39;in	fire
châm	urmoq	motto
chân	oyoq	a leg
châu	evropa	continental
chè	choy	tea
chèn	kiritmoq	insert
chém	kesmoq	to chop
chén	kubok	bowl
chéo	kesib o&#39;tish	cross
chép	nusxalash	written
chê	jin ursin	decry
chênh	farq	difference
chì	qo&#39;rg&#39;oshin	graphite
chìa	kalit	"(term should be ""chìa khoá"") a key (n.)"
chìm	cho&#39;kdi	to become submerged or sink (v.)
chình	ilonbaliq	eel
chí	bit	especially
chích	qoqish	shoot
chín	to&#39;qqiz	ripe
chính	asosiy	main
chít	chit	dense
chò	bo&#39;g&#39;ilish	a type of plant, typically of the parashorea genus (n.)
chòi	idishni	hut
chòm	burj	constellation
chó	it	dog
chóc	haha	killing (giet choc)
chói	yarqirash	bright
chóng	tezda	"entire term should be ""chong mat""; means ""dizzy"""
chóp	tepasida	the top (n.)
chôm	rambutan	rambutan
chôn	dafn qilmoq	bury
chông	er	thorn
chùa	ma&#39;bad	pagoda
chùy	mace	mace
chú	tog&#39;a	uncle (n.)
chúa	xudo	god
chúc	tilamoq	will
chúi	tuu	drop
chúng	ular	they
chút	ozgina	little
chăm	qattiq	champa
chămpa	champa	champa
chăng	maqbul	would it
chĩa	vilkalar	point
chơi	o&#39;ynash	play
chơn	oyoqlari	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	hali emas	not yet
chưng	dist	steamed
chương	bob	medal
chướng	to&#39;siq kursi	grating
chạ	xayoliy	father
chạm	teginish	touch
chạng	alacakaranlık	twilight
chạp	titroq	slow
chạy	yugurish	to run (v.)
chả	rulolar	no
chảo	pan	pan
chảy	yugurish	bleeding
chấm	nuqta	end
chấp	qiyinchilik	"(term should be ""chấp nhận"") to accept (v.)"
chất	materiya	quality
chấu	chimchilamoq	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	siltash	slice
chẩn	tashxis	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	sekin	slow
chận	blok	block
chật	qattiq	overcrowded
chậu	qozon	pelvic
chắc	aniq	certainly
chằng	qosh	ligament
chẵn	hatto	even
chặn	blokirovka	prevent
chặng	oyoq	journey
chặt	chopish	close
chẻ	split	strick
chẽ	qattiq	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	tayyorgarlik	produce
chếch	sust	oblique
chết	vafot etdi	to die (v.)
chệch	noto&#39;g&#39;ri	deviant
chỉ	shunchaki	just (adv.)
chỉnh	tuzatish	adjust
chịt	axmoq	chằn chịt= complex/tangle
chịu	ayiq	tolerate
chọc	qoqmoq	to poke
chọi	jang	oppose
chọn	tanlang	to choose
chỏ	tirsak	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	lahza	single
chối	inkor qilmoq	refuse
chốn	joy	place
chống	anti	anti-
chốt	mandal	important
chồi	kurtaklar	"(term should be ""đâm chồi"") budding"
chồn	tulki	anxious
chồng	er	husband
chỗ	joy	where
chội	baqirish	cramped
chớ	qilma	not
chớp	chaqmoq	flashing (adj.)
chờ	kutmoq	to wait
chở	tashish	for
chợ	bozor	market
chợt	to&#39;satdan	suddenly
chục	o&#39;nlab	dozen
chụp	o&#39;q uzmoq	capture
chủ	usta	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	shtammlari	strain
chứ	o&#39;rniga	just or only (adv.)
chứa	o&#39;z ichiga oladi	contain
chức	funktsiyasi	function
chừ	xat	hesitate
chừa	ketish	leave
chừng	biroz	about or roughly (adv.)
chử	so&#39;z	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	homilador	pregnant
chửi	la&#39;nati	curse
chữ	so&#39;z	a letter of the alphabet (n.)
chữa	davolash	to cure or treat (v.)
chững	tekislash	to totter (v.)
cia	cia	cia
cincinnati	tsincinnati	cincinnati
cinderella	zolushka	cinderrella
cip	cip	cip
circus	sirk	circus
cities	shaharlar	cities
clara	klara	clara
clark	klark	clark
claude	qarsak chalmoq	(proper noun) claude
claudius	klaudius	(proper noun) claudius
clinton	klinton	clinton, as in former president bill clinton
clip	klip	clip
clips	kliplar	clips
clo	xlor	chlorine
clow	plash	clow
clyde	kleyd	(proper noun) clyde, as in bonnie and clyde
cmc	smc	cmc
cmt	smt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	do&#39;mbira	coburn
cocoa	kakao	cocoa
coen	tanga	coen
coffea	qahva	coffee
cohen	cohen	cohen
coi	tomosha	to regard
coleen	koleyn	coleen
coleman	polkovnik	coleman
coli	coli	coli
colin	kolin	(proper noun) colin, as in colin powell
colleen	hamkasbi	colleen
college	kollej	college
collins	kollinzlar	(proper noun) collins
collège	kollaj	college (n.)
colombia	kolumbiya	colombia
colombo	kolombo	(proper noun) colombo
colorado	kolorado	(proper noun) colorado, as in the state
columbus	kolumbus	columbus
comic	kulgili	comic
common	umumiy	common
concacaf	konkav	concacaf
concerto	kontsert	concerto
concorde	kelishuv	concorde
condom	prezervativ	condom
cong	egilgan	curved or bent
congo	kongo	congo
congress	kongress	congress, as in library of congress
connecticut	ulanish	connecticut
conrad	konrad	corrad
conservation	saqlash	conservation
constantine	konstantin	constantine
contemporary	zamondosh	contemporary
cooper	kooperatsiya	(proper noun) cooper
copenhagen	kopengagen	copenhagen
copernic	kopernik	corpernic
copperfield	mis konlari	(proper noun) copperfield, as in magician david copperfield
coppola	kopola	coppola
copy	nusxa ko&#39;chirish	copy
cordyceps	korditseplar	cordyceps
core	yadrosi	core
cornell	kornel	cornell
cosin	kosin	cosine
costa	kosta	costa
cotang	kotang	cotangent
cpt	cpt	cpt
craig	kreyg	(proper noun) craig
crazy	aqldan ozgan	crazy
crespo	krespo	(proper noun) crespo
crest	xarsangtosh	crest
crew	ekipaj	crew
crimson	to&#39;q qizil	crimson
crisis	inqiroz	crisis
cristiano	krishtianu	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	xorvatiya	croatia
cross	kesib o&#39;tish	cross
crs	crs	crs
cruz	krujka	cruz
cruzeiro	kruzeyro	cruzeiro
crystal	kristalli	crystal
ctc	ctc	ctc
cua	dengiz qisqichbaqasi	crab (n.)
cullen	kallen	a name
cung	ta&#39;zim	circle
cunningham	ayyoram	cunningham; proper name
cup	kubok	cup
cuả	ning	of, from, belonging to
cuốc	hoes	hoe
cuối	oxirgi	last or final (adj.)
cuốn	lasan	book
cuống	sopi	throat
cuồng	aqldan ozgan	crazy (adj.)
cuộc	the	the
cyanide	siyanid	cyanide
cyber	kiber	cyber
cyril	kiril	(proper noun) cyril
cyrus	sir	cyrus
cyworld	cyworld	cyword
cà	qahva	ca
cài	o&#39;rnatish	install
càn	kerak	raid
càng	ko&#39;proq	cang
cành	filiali	branch
cào	skretch	scratch
cày	shudgorlash	plow
các	the	all (adv.)
cách	yo&#39;l	the
cái	the	"(term should be ""con cái"") children (n.)"
cán	haddelenmiş	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	qanot	wing
cáo	tulki	report
cáopx|bình	sharh	not a word
cáp	kabel	cable (n.)
cáy	skripkachi	fiddler
câm	soqov	mute (adj.)
cân	tarozi	weight
câu	jumlasi	saying
cãi	bahslashmoq	argue
cò	tetiklash	stork
còn	hanuzgacha	to have left (v.)
có	bor	have
cói	cho&#39;kmoq	machine
cót	karavot	cot
cô	miss	girl
côi	yetim	orphaned
côn	taper	a stick (n.)
công	ishlash	worker
côngtenơ	idish	container
cõi	olamlar	entire area
cõng	cho&#39;chqachilik	piggyback
cù	qichishish	cu
cùi	moxovlar	leprosy
cùng	va	together
cú	boyo&#39;g&#39;li	old
cúi	ta&#39;zim	to bow (v.)
cúm	gripp	cum
cúng	qulay	worship
cúp	kubok	cup (n.)
