$ tỉ	$ r $	$ billion
bênh	ṣàìsàn	advocate
bì	apoti	foreskin (n.)
bìa	ideri	cover
bìu	scrotum	sac (n.)
bí	elegede	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	elegede	biro
bò	maalu	beef
bó	opo ti	bound (adj.)
bói	enikeji	to foretell (v.)
bón	idapọ	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	bọọlu	sphere or ball
bóp	fun pọ	squeeze
bô	baba	"(term should be ""bôxit"") the mineral bauxite"
bôi	smeared	to apply (as in oil)
bông	owu	flower
bù	ifipaju	compensate
bùa	amulet	talisman
bùn	pẹtẹ	mud
bùng	igbunaya ina	"(term should be ""bùng nổ"") to break out (v.)"
bú	muyan	to suck
búa	ju	a hammer
búi	tufts	tuft
bún	ounjẹ iresi	noodle
búng	fọ danu	snap
bút	ikọwe	pseudonym
băm	hashed	hash
băn	fret	concerned
băng	yinyin	"(term should be ""băng giá"") freezing (adj.)"
bơ	bota	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	we	swim
bơm	fifa soke	pump
bưu	ifiweranṣẹ	post office
bước	igbesẹ	a step (n.)
bướm	labalaba	butterfly
bạ	awọn olubasọrọ	directory
bạc	fadaka	meager
bạch	funfun	"(should be ""bạch tuộc"") an octopus"
bại	padanu	defeated
bảng	ọkọ	chart
bảo	bao	protect
bảy	meje	seventh
bấm	tẹ	press
bất	gidi	"(term should be ""bất cứ"") any (adj.)"
bấy	iyẹn	contemporary
bần	talaka	poor
bầu	dibo	vote
bầy	agbo	servant
bẩm	aigba ibatan	congenital
bẩn	dọti	the
bẩy	okùn	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	okùn	a trap (n.)
bậc	ìyí	level or class (n.)
bận	nṣiṣe lọwọ	busy
bật	tan-an	outstanding
bắc	ariwa	beijing
bắcnam	ariwa guusu	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	iyaworan	shoot
bắp	agbado	venter
bắt	yẹ	cross
bằng	dogba	by
bẹp	fifun pa	crush
bẻ	fọ	break
bẽ	idojuti	humiliate
bến	wharf	wharf
bếp	ibi idana	kitchen
bề	dada	"(should be ""bề mặt"") a surface"
bền	tọ	enduring (v.)
bể	elegbe	tank
bệ	àtẹ	base
bện	rudurudu	braided (adj.)
bệnh	ṣàìsàn	benh
bỉ	bẹljiọmu	disgust
bỉnh	alaigbọran	binh
bịch	ajonirun	ridiculous
bịt	ti bo	cover
bọ	kokoro	insect
bọc	fi ipari si	to cover or enclose (v.)
bọn	wọn	a group (n.)
bọng	puppy	bladder
bọt	foomu	foam
bỏ	fagilee	to leave (v.)
bỏng	jona	hot
bố	bàbá	"(term should be ""tuyên bố"") to declare"
bốc	ikojọpọ	bốc lửa= on fire
bối	dapo	messy
bốn	mẹrin	four
bồi	biinu	"(term should be ""cao bồi"") cowboy (n.)"
bổn	iṣẹ	duty
bổng	sikolashipu	"with word luong, means ""salary"" or ""wages"""
bỗng	lojiji	suddently
bộ	awọn ṣeto	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	lọpọlọpọ	betray
bột	iyẹfun	powder or flour (n.)
bớ	ṣe atojọ	arrest
bớt	ti o kere	less
bờ	eti	coast
bời	àá	profuse
bở	nipasẹ	profitable
bởi	nipasẹ	because
bục	podium	platform
bụng	ikun	abdomen
bứt	aimọ	"(term should be ""bứt phá"") power (n.)"
bừa	harrowing	messy, careless, or topsy-turvy (adj.)
bữa	oúnjẹ	meal (n.)
bực	ibanujẹ	bother
ca	yi lọ yi bọ	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	erogba	carbon
cacbonat	kaboneti	carbonate
cacbua	kabu ọkọ ayọkẹlẹ	carbides, carbon ions
caesar	ẹṣẹ	caesar
caffein	kanilara	caffeine
café	kọfi	coffee
cai	oṣu kẹwa	govern
cairo	cairo	cairo, the capital of egypt
cal	kalẹ	cal, a first name
calculus	kalikanu	calculus
calvin	kalfati	calvin
cam	oranges	commit
cambodia	cambodia	(proper noun) the country of cambodia
cambridge	kaadi	cambridge
cameo	wá	cameo part
cameron	akọni	cameron
cameroon	cameroon	cameroon
camille	camiliti	camille
campbell	ibi ipago	campbell
campuchia	kambodia	campuchia
canada	canada	canada
canadian	ilu ilu kanada	canadian
canal	odo odo	canal
canary	gilaasi	canary
cancer	alakan	cancer
canterbury	canterbury	canterbury
canxi	kalisiomu	calcium
capello	ẹyẹ	capello
capra	capra	capra
carat	carat	carat
carbine	carbine	carbine
cardcaptor	onka	cardcaptor
cardcaptors	káàdì káàdì	(proper noun) cardcaptors
carey	alabojuto	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	karibeanu	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	ọkọ ayọkẹlẹ	carnaval
carol	carol	carol
caroline	caroline	(proper noun) caroline
carpathia	carpathia	carpathia
carter	ataja	carter
carxtơ	carat	karst topography, a geological term (n.)
casa	ca sa	casa
casablanca	casablanca	casablanca
caspia	caspia	caspia
cassini	kasẹti	cassini
cast	simẹnti	cast
castries	awọn igbelewọn	castries
castro	ọpọlọ	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cdrom	cd-rom
cell	sẹẹli	cell
celtic	sẹẹli	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	awọn ọkọ ayọkẹlẹ	ceres
cha	baba	father
chai	ìgo	bottle
chaillot	chaillot	a name
chamberlain	iyẹwu	chamberlain
champa	champa	champa
champion	olubori	champion
chamẹ	awọn obi	parents
chanel	shaneli	chanel
chanh	lẹmọnu	lemon or lime (n.)
chao	bawo	(proper noun) chao, a name
charles	awọn ẹru	charles
charlotte	charlotte	charlotte
charlton	ṣaja	charlton
charon	oronu	(proper noun) charon
chase	lepa	chase
chay	ajewebe	fasting
chdcnd	chdcnd	democratic republic
che	ideri	cover
chechnya	chechnya	chechnya
chen	oniye	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	.rún	"(term should be ""chi tiết"") details (n.)"
chia	pin	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chile	(proper noun) the country of chile
chim	eye	bird
china	ṣaina	china
ching	chingi	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	aworawo	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	dín	fry
chiêng	gong	gong
chiếc	pcs	the
chiếm	iṣiro fun	appropriate
chiến	ja	war, fight
chiết	jade	literal
chiếu	ẹni	show
chiền	opo	temple
chiều	irọlẹ	length
chlamydia	kíláidá	chlamydia
chloride	kiloki	chloroauric acid
chnd	ologbo	chnd
choi	mu ṣiṣẹ	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	iho	coat
choáng	yanilenu	dizzy
chris	kilasi	chris, as in chris hughes
christ	kristi	christ
christian	kristiẹni	christian
christopher	christi	christopher
chrome	chrome	chrome, as in google chrome
chrysler	ajé	(proper noun) chrysler, the car company
chu	chu	cycle
chua	ekan	tomato
chuck	chuck	(proper noun) chuck, as in chuck norris
chui	nù	underground
chum	ọra	pot
chun	gba chun	chun
chung	gbogboogbo	general
churchill	churchill	churchill
chuyên	amọja	professional
chuyến	irin ajo	trip
chuyền	rekoja	volleyball
chuyển	gbe lori	to move
chuyện	itan	nói chuyện= talk
chuôi	gripe	handle
chuông	agogo	a bell
chuẩn	boṣewa	standard
chuốc	poke	incur
chuối	ogede	banana
chuốt	koriko	refine
chuồng	ile-ẹyẹ	cage
chuỗi	pq	series
chuộc	irapada	redeem
chuộng	ojurere	favorite
chuột	asin	a mouse (n.)
chà	bi won ninu	rub
chài	ipeja	fish
chàm	indigo	indigo
chàng	eniyan	"(term should be ""chàng trai"") a young man (n.)"
chào	pẹlẹ o	welcome
chày	baseball	a pestle (n.)
chánh	olórí	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	agbon omi	porridge
cháu	ọmọ-ọmọ	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	iná	fire
châm	ibi iyege	motto
chân	ẹsẹ	a leg
châu	yuroopu	continental
chè	tii	tea
chèn	fi sii	insert
chém	ge	to chop
chén	ife	bowl
chéo	rekọja	cross
chép	daakọ	written
chê	gbaga	decry
chênh	iyato	difference
chì	darí	graphite
chìa	bọtini	"(term should be ""chìa khoá"") a key (n.)"
chìm	rì	to become submerged or sink (v.)
chình	eel	eel
chí	lice	especially
chích	ta	shoot
chín	mẹsan	ripe
chính	akọkọ	main
chít	chit	dense
chò	choke	a type of plant, typically of the parashorea genus (n.)
chòi	agọ	hut
chòm	constellation	constellation
chó	aja	dog
chóc	haha	killing (giet choc)
chói	glare	bright
chóng	yarayara	"entire term should be ""chong mat""; means ""dizzy"""
chóp	oke	the top (n.)
chôm	rambutan	rambutan
chôn	sin	bury
chông	ọkọ	thorn
chùa	tẹmpili	pagoda
chùy	obinrin	mace
chú	aburo	uncle (n.)
chúa	ọlọrun	god
chúc	lati fẹ	will
chúi	ileto	drop
chúng	wọn	they
chút	diẹ kekere	little
chăm	lile	champa
chămpa	champa	champa
chăng	ti ifarada	would it
chĩa	forks	point
chơi	mu ṣiṣẹ	play
chơn	ẹsẹ	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	sibẹsibẹ	not yet
chưng	ijinna	steamed
chương	orí	medal
chướng	dajudaju idiwọ	grating
chạ	ṣe itẹlera	father
chạm	fọwọkan	touch
chạng	alẹ́	twilight
chạp	gbọn	slow
chạy	sáré	to run (v.)
chả	yipo	no
chảo	pan	pan
chảy	sáré	bleeding
chấm	aami	end
chấp	ipenija	"(term should be ""chấp nhận"") to accept (v.)"
chất	ọrọ	quality
chấu	fun pọ	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	didi	slice
chẩn	wo aisan	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	lọra	slow
chận	dina	block
chật	fẹẹrẹ	overcrowded
chậu	ikoko	pelvic
chắc	daju	certainly
chằng	atari	ligament
chẵn	ani	even
chặn	dina	prevent
chặng	ẹsẹ	journey
chặt	gige	close
chẻ	pin	strick
chẽ	fẹẹrẹ	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	ipalemo	produce
chếch	rirọ	oblique
chết	kú	to die (v.)
chệch	ti ko tọ	deviant
chỉ	o kan	just (adv.)
chỉnh	atunse	adjust
chịt	inira	chằn chịt= complex/tangle
chịu	jẹri	tolerate
chọc	lati poke	to poke
chọi	ija	oppose
chọn	yan	to choose
chỏ	igbonwo	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	akoko	single
chối	sẹ	refuse
chốn	ibi	place
chống	egboogi	anti-
chốt	latari	important
chồi	abereyo	"(term should be ""đâm chồi"") budding"
chồn	kọlọkọ	anxious
chồng	ọkọ	husband
chỗ	ibi	where
chội	nik	cramped
chớ	ṣe ko	not
chớp	monomono	flashing (adj.)
chờ	duro de	to wait
chở	rù	for
chợ	ọjà	market
chợt	lojiji	suddenly
chục	mejila	dozen
chụp	gba ibọn kan	capture
chủ	ọga	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	awọn igara	strain
chứ	dipo	just or only (adv.)
chứa	ni	contain
chức	iṣẹ	function
chừ	leta	hesitate
chừa	nlọ	leave
chừng	diẹ ninu	about or roughly (adv.)
chử	ọrọ	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	loyun	pregnant
chửi	eegun	curse
chữ	ọrọ	a letter of the alphabet (n.)
chữa	imularada	to cure or treat (v.)
chững	ipele	to totter (v.)
cia	bẹẹ	cia
cincinnati	cincinnati	cincinnati
cinderella	cinderella	cinderrella
cip	cip	cip
circus	circle	circus
cities	awọn ilu	cities
clara	clara	clara
clark	pẹtẹlẹ	clark
claude	robi	(proper noun) claude
claudius	claudius	(proper noun) claudius
clinton	clintoni	clinton, as in former president bill clinton
clip	agekuru	clip
clips	awọn agekuru	clips
clo	kiloraidi	chlorine
clow	gbamu	clow
clyde	iṣupọ	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	igbona	coburn
cocoa	koko	cocoa
coen	coen	coen
coffea	ipanu	coffee
cohen	cohen	cohen
coi	wo	to regard
coleen	coleen	coleen
coleman	ẹlẹgbẹ	coleman
coli	coli	coli
colin	agbọnrin	(proper noun) colin, as in colin powell
colleen	olukọ	colleen
college	kọlẹji	college
collins	collins	(proper noun) collins
collège	collège	college (n.)
colombia	agba	colombia
colombo	colombo	(proper noun) colombo
colorado	agba	(proper noun) colorado, as in the state
columbus	akọmọ	columbus
comic	apanilerin	comic
common	wọpọ	common
concacaf	taakisi	concacaf
concerto	gbimọ	concerto
concorde	konge	concorde
condom	kondomu	condom
cong	te	curved or bent
congo	congo	congo
congress	apejọ alapejọ	congress, as in library of congress
connecticut	asopọmọ	connecticut
conrad	papọ	corrad
conservation	itoju	conservation
constantine	constantine	constantine
contemporary	imusin	contemporary
cooper	konbo	(proper noun) cooper
copenhagen	copenhagen	copenhagen
copernic	copernic	corpernic
copperfield	ejò-irin	(proper noun) copperfield, as in magician david copperfield
coppola	didakọ	coppola
copy	ẹda	copy
cordyceps	cordyceps	cordyceps
core	mojuto	core
cornell	cornell	cornell
cosin	cosin	cosine
costa	idiyele	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	akan	(proper noun) craig
crazy	irikuri	crazy
crespo	crespo	(proper noun) crespo
crest	didimu	crest
crew	atuko	crew
crimson	ẹlẹsẹ	crimson
crisis	rogbodiyan	crisis
cristiano	kristian	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	kroatia	croatia
cross	rekọja	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	ọkọ oju omi kekere	cruzeiro
crystal	kristali	crystal
ctc	ctc	ctc
cua	akan	crab (n.)
cullen	cullen	a name
cung	tẹriba	circle
cunningham	cunningham	cunningham; proper name
cup	ife	cup
cuả	ti	of, from, belonging to
cuốc	hoes	hoe
cuối	kẹhin	last or final (adj.)
cuốn	okun	book
cuống	igi pẹlẹbẹ	throat
cuồng	irikuri	crazy (adj.)
cuộc	awọn	the
cyanide	cyanide	cyanide
cyber	abirun	cyber
cyril	cyril	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	iraye	cyword
cà	kọfi	ca
cài	fi	install
càn	nilo	raid
càng	diẹ sii	cang
cành	ẹka	branch
cào	bibi	scratch
cày	gbingbin	plow
các	awọn	all (adv.)
cách	ọna	the
cái	awọn	"(term should be ""con cái"") children (n.)"
cán	ti yiyi	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	iyẹ	wing
cáo	kọlọkọ	report
cáopx|bình	asọye	not a word
cáp	okun	cable (n.)
cáy	fiddler	fiddler
câm	adití	mute (adj.)
cân	irẹjẹ	weight
câu	awọn gbolohun ọrọ	saying
cãi	jiyan	argue
cò	okunfa	stork
còn	tun	to have left (v.)
có	ni	have
cói	sedge	machine
cót	ọmọ aja	cot
cô	sọnu	girl
côi	orukan	orphaned
côn	taper	a stick (n.)
công	iṣẹ	worker
côngtenơ	gba eiyan	container
cõi	àwọn ohun gidi	entire area
cõng	ẹlẹdẹ	piggyback
cù	kasi	cu
cùi	adẹtẹ	leprosy
cùng	ati	together
cú	owiwi	old
cúi	tẹriba	to bow (v.)
cúm	aisan	cum
cúng	itunu	worship
cúp	ife	cup (n.)
cút	jade	to kick someone out (v.)
căm	edidi sinu	detest (cam thu)
căn	ti ipilẹṣẹ	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	na	tense
