$	dollarni tashkil etadi	dollar
biseri	marvaridlar	pearls
biskup	episkop	bishop
biskupa	episkop	bishop
bit	bit	will
bitaka	jang	battles
bitan	bitan	important
biti	bo&#39;lmoq	be
bitka	jang	battle
bitke	janglar	battles
bitki	janglar	battles
bitku	jang	battle
bitna	muhim	important
bitne	muhim	important
bitno	muhim	important
biva	biva	being
bivaju	ular	are
bivša	sobiq	ex
bivše	sobiq	former
bivšeg	sobiq	former
bivši	sobiq	former
bivših	sobiq	former
bivšoj	sobiq	ex
bića	mavjudotlar	being
biće	bo&#39;lish	being
bjelančevina	oqsil	protein
bjelorusija	belarusiya	bjelorusija
bjelorusije	belarusiya	belarus
bježi	qochib ketish	runs
blagaj	xazina	blagaj
blage	yumshoq	mild
blago	xazina	mild
blaž	blaž	blaž
blaža	yumshoqroq	blazo (name)
blažić	blažić	blazic
bliski	yaqin	close
bliskom	yaqin	close
blizini	yaqinida	close
blizu	yaqin	close
bliže	yaqinroq	closer
blog	blog	blog
blok	blok	bloc
bloka	blok	blocks
blokova	bloklar	blocks
boas	boas	boas
boban	bobon	boban
bobovac	bobovac	bobovac
bodova	ball	points
bog	xudo	god
boga	xudo	god
bogat	boy	rich
bogata	boy	rich
bogate	boy	rich
bogati	boy	rich
bogatih	boy	rich
bogatim	boy	rich
bogato	boy	rich
bogatstva	boylik	wealth
bogatstvo	boylik	wealth
bogatu	boy	rich
boginja	ma&#39;buda	goddess
bogova	xudolarning	gods
bogovi	xudolar	gods
bogovima	xudolarga	gods
bogu	xudo	god
bohemian	bogemiyaga oid	bohemian
boja	rangi	color
bojama	ranglar	colours
boje	ranglar	color
boji	ranglar	color
bojom	rangi	color
boju	rangi	color
boksit	boksit	bauxite
bol	bol	pain
bola	og&#39;riq	pain
bolesnik	kasal	patient
bolesnika	bemorlar	patients
bolest	kasallik	dissease
bolesti	kasalliklar	disease
bolestima	kasalliklar	diseases
boleyn	og&#39;riq	boleyn
boli	og&#39;riyapti	aches
bolja	yaxshiroq	better
bolje	yaxshiroq	better
bolji	yaxshiroq	better
bolnica	kasalxona	hospital
bolova	og&#39;riq	pain
bomba	bomba	bomb
bombe	bombalar	bombs
bonaparte	bonapart	bonaparte
bonus	bonus	bonus
bora	bora	pine
borac	qiruvchi	borac
boraks	boraks	borax
boravak	turmoq	residence
boravka	turmoq	stay
borba	jang	fight
borbama	janjallar	fights
borbe	janjallar	fights
borbeni	birikma	fighter
borbi	janjallar	battle
borbu	jang	battle
bore	g&#39;ov	bora
bori	janjallar	fights
borili	jang qildi	fought
borio	jang qildi	fighted
boris	boris	boris
borić	jang	boric
bos	bos	bosnian
bosanci	bosniyaliklar	bosnians
bosanska	bosniya	bosnian
bosanske	bosniya	bosnian
bosanski	bosniya	bosnian
bosanskih	bosniya	bosnian
bosanskim	bosniya	bosnian
bosansko	bosniya	bosnian
bosanskog	bosniya	bosnian
bosanskoga	bosniya	bosnian
bosanskohercegovačka	bosniya va gertsegovina	bosnian-herzegovinian
bosanskohercegovačke	bosniya	bosnia and herzegovina
bosanskohercegovački	bosniya	bosnian-herzegovinian
bosanskohercegovačkih	bosniya va gertsegovinaning	bosnian
bosanskohercegovačkog	bosniya va gertsegovinaning	bosnian-herzegovinian
bosanskoj	bosniya	bosnian
bosanskom	bosniya	bosnian
bosanskome	bosniya	bosnian
bosansku	bosniya	bosnian
bosančica	bosniya	bosancica
bosančicom	bosniya	bosnian cyrillic script
bosna	bosniya	bosnia
bosne	bosniya	bosnia
bosni	bosniya	bosnia
bosnom	bosniya	bosnia
bosnu	bosniya	bosnia
bozon	boson	boson
bočne	yon tomondagi	sideways
boško	boshko	bosko
bošnjaci	bosniyaliklar	bosnian
bošnjacima	bosniyaliklar	bosnians
bošnjak	bosniya	bosniak
bošnjaka	bosniyaliklar	bosniacs
bošnjake	bosniyaliklar	bosnians
bošnjani	bosniyaliklar	bosnians
bošnjačka	bosniya	bosniac
bošnjačke	bosniya	bosnian
bošnjački	bosniya	bosnian
bošnjačkih	bosniya	bosnian
bošnjačko	bosniya	bosnian
bošnjačkog	bosniya	bosnian
božanstva	xudolar	deity
bože	xudo	god
božiji	xudodan	gods
božić	rojdestvo	bozic
br	yo&#39;q	nr.
brak	nikoh	marriage
braka	nikoh	marriage
braku	nikoh	marriage
brane	to&#39;g&#39;on	defend
brani	himoya qilmoq	defends
branislav	branislav	branislav
branko	branko	branko
brat	aka	brother
brata	aka	brother
bratstvo	qardoshlik	brotherhood
bratu	aka	brother
bratunac	amakivachcha	bratunac
brazil	braziliya	brazil
braća	aka-uka	brothers
braće	aka-uka	brothers
brda	tepaliklar	hills
brdo	tepalik	hill
brdski	tepalik	mountain
brdu	tepalik	hill
bregović	bregović	bregović
breza	qayin	birch
brigade	brigada	brigade
brijeg	tepalik	hill
brijegu	tepalik	hill
brine	tashvishlar	deals
britanaca	inglizlarning	britons
britanci	inglizlar	british
britanija	britaniya	britain
britanije	buyuk britaniyaning	britain
britaniji	britaniya	britain
britannica	britaniya	britannica
britanska	britaniya	british
britanske	britaniya	british
britanski	britaniya	british
britanskih	britaniya	british
britanskog	britaniya	british
brod	kema	boat
broda	kema	ship
brodova	kemalar	ships
brodovi	kemalar	ships
brodu	kema	ship
broj	raqam	number
broja	raqam	number of
brojem	soni bo&#39;yicha	number
brojeva	raqamlar	numbers
brojevi	raqamlar	numbers
brojevima	raqamlar	numbers
broji	hisoblaydi	counts
brojna	juda ko&#39;p	number of
brojne	juda ko&#39;p	numerous
brojni	juda ko&#39;p	many
brojnih	juda ko&#39;p	many
brojnim	juda ko&#39;p	numerous
brojnost	mo&#39;llik	number of
broju	raqam	number
bronhiole	bronxiolalar	bronchi
bronzanog	bronza	bronze
bruno	bruno	giordano
brusnica	klyukva	cranberry
bruto	yalpi	gross
brz	tez	quick
brza	tez	quick
brze	tez	fast
brzi	tez	fast,quick
brzina	tezlik	speed
brzine	tezlik	speed
brzinom	tezlik	speed
brzinu	tezlik	speed
brzo	tez	fast
brčko	brčko	brcko
brže	tezroq	faster
brži	tezroq	faster
bubojedi	qo&#39;ng&#39;izlar	insectivora
bubrega	buyrak	kidneys
bubrezi	buyraklar	kidneys
bude	bo&#39;ladi	be
budi	bo&#39;lmoq	wake
budizam	buddizm	buddhism
budu	men qilaman	be
buduće	kelajak	future
budućeg	kelajak haqida	future
budući	kelajak	since
budućnost	kelajak	future
budućnosti	kelajak haqida	future
buenos	yaxshi	buenos
bugari	bolgarlar	bulgarians
bugarska	bolgariya	bulgarian
bugarske	bolgar	bulgarian
bugarski	bolgar	bulgarian
bugarskoj	bolgar	bulgarian
bugarskom	bolgar	bulgarian
bugojno	bugojno	bugojno
buha	buha	buha
buhe	buhe	fleas
bukal	bukal	bukal
bukvalno	so&#39;zma-so&#39;z	literally
bune	bune	uprising
busenje	burg&#39;ulash	sod
busovača	busovača	busovacha
bužim	bujim	buzim
byron	byron	byron
c	v	c (letter)
ca	q.	ca
california	kaliforniya	california
car	mashina	emperor
cara	kara	king
carem	shoh	king
careva	imperatorlari	tsar`s
carevine	imperiya	kingdom
carigrad	konstantinopol	constantinople
carigrada	konstantinopol	constantinople
carl	karl	carl
carske	qirollik	royal
carski	imperial	regal
carstva	imperiya	empires
carstvo	qirollik	kingdom
carstvom	imperiya	empire
carstvu	qirollik	empire
cazin	kazin	cazin
cd	cd	cd
ce	irodasi	tse
ceca	ko&#39;richak	ceca
celuloza	tsellyuloza	cellulose
centar	markazi	center
centara	markazlari	centers
centar|p|	markazi | p |	center
center	markazi	center
centimetar	santimetr	centimeter
centra	markazi	center
centralna	markaziy	central
centralne	markaziy	central
centralni	markaziy	central
centralnog	markaziy	central
centralnoj	markaziy	central
centralnom	markaziy	central
centre	markazi	centers
centri	markazlari	centers
centrima	markazlari	center
centrom	markazi	center
centru	markazi	center
ceremonija	marosimi	ceremony
cervantes	servantes	cervantes
cesta	yo&#39;l	roads
ceste	yo&#39;llar	roads
cezar	qaysar	caesar
cezara	qaysar	caesar
cezijum	seziy	cesium
charles	charlz	charles
chicago	chicago	chicago
christian	xristian diniga oid	christian
cia	cia	cia
cifara	raqam	numbers
cijela	butun	entire
cijele	butun	entire
cijeli	butun	the whole
cijelim	butun	all
cijelo	butun	whole
cijelog	butun	whole
cijeloj	butun	entire
cijelom	davomida	the whole, full
cijelu	butun	the whole
cijena	narx	price
cijene	narxlar	prices
cijeni	narx	price
cijev	quvur	tube
cijevi	quvurlar	pipes
ciklus	tsikl	cyclus
ciklusa	tsikl	cycle
cilj	maqsad	goal
cilja	maqsad	goal
ciljem	maqsad	to
ciljeva	maqsadlar	goals , objectives, targets
ciljeve	maqsadlar	goals
ciljevi	maqsadlar	objectives
cilju	maqsad	trying
cinabarit	kinovar	cinnabar
cink	rux	zirconium
cinka	rux	zinc
cirkonijum	tsirkoniy	zirconium
civila	tinch fuqarolar	civilians
civilizacija	tsivilizatsiya	civilization
civilizacije	tsivilizatsiya	civilizations
civilizaciju	tsivilizatsiya	civilization
cjelina	butun	whole
cjeline	ulgurji	unity
cjelini	butun	globally
cjelinu	butun	whole
cjelokupne	umuman	entire
cjelokupnu	umuman	whole
co	co	co
columbia	kolumbiya	columbia
cpu	markaziy protsessor	central processing unit
crijeva	ichaklar	bowels
crijevo	shlang	intestine
crkava	cherkovlar	churches
crkva	cherkov	church
crkve	cherkovlar	church
crkvene	ruhoniy	church
crkveni	ruhoniy	canonical
crkvi	cherkov	church
crkvom	cherkov	church
crkvu	cherkov	church
crna	qora	crna
crne	qora	black
crni	qora	black
crnih	qora	black
crnim	qora	black
crno	qora	black
crnog	qora	black
crnogorci	chernogoriya	montenegrins
crnogorski	chernogoriya	montenegrian
crnoj	qora	black
crnom	qora	black
crnomorskom	qora dengiz	black sea
crnu	qora	black
croatia	xoriya	croatia
crossfire	otishma	crossfire
crt	krt	crt
crta	chiziq	line
crvena	qizil	red
crvene	qizil	red
crveni	qizil	red
crvenih	qizil	red
crvenim	qizil	red
crvenog	qizil	red
crvenom	qizil	red
cu	bilan	copper
cup	kubok	cup
cvijet	gul	flower
cvijeta	gul	flower
cvijeće	gullar	flowers
cvjeta	gullaydi	flowers
cvjetovi	gullar	flowers
da	ha	yes
daje	agar bo&#39;lsa	gives
daju	berishadi	give
dajući	berib	giving
dakle	shunday qilib	so
dala	berdi	given
daleko	uzoq	far
dali	yo&#39;qmi	dali
dalje	keyingi	on, beyond
daljem	keyingi	further
dalji	keyingi	further
daljnje	keyingi	further
dalmacija	dalmatiya	dalmatia
dalmacije	dalmatiya	dalmatia
dalmaciji	dalmatiya	dalmatia
dalo	berdi	gave
damir	damir	damir
dan	kun	day
dana	kunlar	days
danas	bugun	today
današnja	bugun	todays
današnje	bugun	todays
današnjeg	bugungi kun	present
današnjem	bugun	todays
današnji	bugun	today
današnjih	bugungi kun	today
današnjim	bugun	today's
današnjoj	bugun	present
dane	ha yo&#39;q	days
dani	kunlar	dani
daniel	daniel	daniel
danima	kunlar	days
danska	daniya	denmark
danske	daniya	denmark
danski	daniya	danish
danskoj	daniya	denmark
dante	dante	dante
dao	berdi	gave
darko	darko	darko
darwin	darvin	darwin
dat	ma&#39;lumotlar	given
date	sana	date
dati	bermoq	to give
datira	tanishuv	dates
datiraju	tanishuv	date
datoteci	fayl	file
datoteka	fayl	file
datoteke	fayllar	files
datoteku	fayl	files
datum	sana	date
datuma	sana	date
davao	berdi	giving
davati	bermoq	give
david	david	david
davis	davis	davis
davnina	antik davr	from long time ago
davno	uzoq vaqt oldin	long ago
davor	davor	davor
davorin	davorin	davorin
daytonskog	dayton of	dayton
dd	dd	"short term for  ""drustvena djelatnost"" which means group activity company"
de	de	de
debelog	qalin	thick
decembra	dekabr	december
decembru	dekabr	december
decenija	o&#39;n yil	decades
decenijama	o&#39;nlab yillar	decades
decenije	o&#39;nlab yillar	decade
dedić	bobosi	dedic
definicija	aniqlash	definition
definicije	ta&#39;riflar	definitions
definiciji	aniqlash	definition
definiciju	aniqlash	definition
definira	belgilaydi	to definite
definisan	belgilangan	defined
definisana	belgilangan	defined
definisati	belgilang	define
definitivno	albatta	definitely
definiše	belgilaydi	define
dei	dei	dei
dejtonski	dayton	dayton
deklaracija	deklaratsiya	declaration
dekonstrukcija	dekonstruktsiya	deconstruction
del	del	part
delfi	delphi	delfi
della	ning	della
delta	delta	delta
delčev	parchalar	delchev
demografija	demografiya	demography
demokratija	demokratiya	democracy
demokratije	demokratiya	democracy
demokratiju	demokratiya	democracy
demokratska	demokratik	democratic
demokratske	demokratik	democratic
demokratski	demokratik	democratic
denominacije	denominatsiyalar	denominations
departmana	bo&#39;lim	department
derivacija	derivatsiya	derive
derivat	lotin	derivative
derivati	sanab chiqing	derivatives
derventa	derventa	dervent
derviš	darvesh	dervish
derviša	darvesh	dervish
deset	o‘n	ten
desetak	o&#39;nlab	ten
desetine	o&#39;nlab	tens
desetljeća	o&#39;nlab yillar	decades
desilo	sodir bo&#39;ldi	occured
desio	desio	happened
desiti	qayerdasiz	happen
desktop	ish stoli	desktop
desne	to&#39;g&#39;ri	right
desno	to&#39;g&#39;ri	right
desnoj	to&#39;g&#39;ri	right
desnom	to&#39;g&#39;ri	right
desnu	to&#39;g&#39;ri	right
detalja	tafsilotlar	details
devedesetih	to&#39;qsoninchi yil	the nineties
dezinflacija	dezinflyatsiya	disinflation
dešava	sodir bo&#39;ladi	happens
dešavanja	voqealar	events
di	di	di
die	the	german word
digitalne	raqamli	digital
digitalni	raqamli	digital
digitalnih	raqamli	digital
dijagnoza	tashxis	diagnosis
dijalekt	lahjasi	dialect
dijalekta	lahjasi	dialect
dijamant	olmos	diamond
dijaspora	diasporasi	diaspora
dijela	qismi	parts
dijele	ulush	divide
dijeli	ulushlar	divide
dijelom	qisman	part
dijelova	qismlari	parts
dijelove	qismlari	parts
dijelovi	qismlari	parts
dijelovima	qismlari	parts
dijelu	qismi	part
dijete	bola	diet
diktature	diktatura	dictature
dimenzija	o&#39;lchov	dimensions
dimenzije	o&#39;lchamlari	dimensions
din	shovqin	din
dinamo	dinamo	dinamo
dinar	dinar	dinar
dinastija	sulolasi	dynasty
dinastije	sulolasi	dynasties
dino	dino	dino
dio	qismi	part
dioksid	dioksid	dioxide
dioksida	dioksid	dioxide
dionica	aksiya	section
dionice	aktsiyalar	stocks
dioničar	aktsiyador	stock holder
direktno	to&#39;g&#39;ridan-to&#39;g&#39;ri	directly
direktor	direktor	director
disanja	nafas olish	breathing
disanje	nafas olish	breathing
disciplina	intizom	discipline
discipline	intizom	discipline
disipacija	tarqalish	dissipation
disk	disk	disk
diska	disk	disk
diskografija	diskografiya	discography
disku	disk	disc
distribucija	tarqatish	distribution
distribucije	tarqatish	distribution
distrikt	tumani	district
distrikta	tumani	district
diuretik	diuretik	diuretic
divizija	bo&#39;linish	division
divizije	bo&#39;linish	division
divlje	yovvoyi	wild
dizajn	dizayn	design
dizajna	dizayn	design
dizdar	dizdar	dizdar
djeca	bolalar	kids
djece	bolalar	kids
djeci	bolalar	children
djecom	bolalar	children
djecu	bolalar	kids
djela	ishlaydi	works
djelatnost	faoliyat	activity
djelatnosti	faoliyati	activities
djelima	amallar	works
djelimično	qisman	partly
djelo	ishlash	deed
djelom	qisman	part
djelomično	qisman	partly
djelovanja	harakatlar	actions
djelovanje	harakat	action
djelovanjem	harakat orqali	acting
djelovanju	harakat	action
djelovima	qismlari	parts
djelu	ishlash	work
djeluje	ishlaydi	works
djeluju	harakat qilmoq	work
djeteta	bola	child
djetinjstva	bolalik	childhood
djetinjstvo	bolalik	childhood
djetinjstvu	bolalik	childhood
djevojka	qiz	girl
djevojčica	qiz	little girl
djevojčice	qizlar	girl
dječja	bolalar	children's
dnevna	kunlik	daily
dnevne	kunlik	daily
dnevnih	kunlik	daily
