$	ps	american dollar symbol
அடையாளம்	identificado	identity
அடையும்	alcanzando	reach
அட்ச	latitud	latitude
அட்டை	tarjeta	card
அட்லாண்டிக்	atlántico	atlantic ocean
அணி	equipo	team
அணிக்கு	equipo	teem
அணிந்து	vistiendo	wear
அணியின்	el equipo	group
அணியில்	equipo	team
அணியும்	desgastado	wearing
அணியை	equipo	team
அணு	nuclear	atom
அணுக	acceso	approach
அணுகல்	acceso	access
அணுகு	acceso	approach
அணுகுண்டு	senado	atom bomb
அணுகுமுறை	acercarse	approaches
அணுகுமுறைகள்	enfoques	approaches
அணுக்கரு	nuclear	nuclear
அணுக்கள்	átomos	atoms
அணுவின்	átomo	atom
அணை	represa	dam
அண்ட	galáctico	near
அண்டங்கள்	galaxias	world
அண்டத்தின்	del universo	world
அண்டமானது	el universo	the universe
அண்டம்	universo	universe
அண்டவியல்	cosmología	day to day
அண்டை	vecinos	neighbour
அண்ட்	y	and
அண்ணன்	hermano	brother
அண்ணல்	nuestro amado	a great man
அண்ணளவாக	aprox.	a thousand year old
அண்ணா	hermano mayor	former chief minister of tamilnadu
அண்ணாதுரை	anna durai	annadurai
அண்ணாமலை	annamalai	annamalai a title
அண்மை	último	very nearly
அண்மைக்	actividad reciente	recently
அண்மைய	reciente	nearest
அதனாலேயே	por consiguiente,	that is why
அதனால்	entonces	because of
அதனுடன்	con eso	with that
அதனுடைய	sus	its
அதனுள்	sí mismo	including all
அதனை	los	that one
அதனைக்	eso	it
அதனைத்	después	that also
அதன்	sus	that
அதன்படி	en consecuencia,	in that way
அதன்பின்	después de esto	after that
அதன்பிறகு	después de esto	next
அதற்காக	para eso	for that
அதற்கான	apropiado	for that
அதற்கு	más	the
அதற்குப்	luego	so
அதவாது	amer	hence
அதாவது	es decir	like that
அதி	más	high
அதிக	más	high
அதிகப்படியாக	aumentado	maximum of
அதிகப்படியான	excesivo	over
அதிகமாக	más	huge
அதிகமாகக்	más	immense
அதிகமாகப்	más	in excess of
அதிகமாகவும்	más	morely
அதிகமாகும்	más	having more
அதிகமான	más	more
அதிகம்	más	excess
அதிகரிக்க	incrementar	increase
அதிகரிக்கச்	creciente	increasing
அதிகரிக்கிறது	aumenta	increasing
அதிகரித்த	aumentado	increased
அதிகரித்தது	aumentado	increased
அதிகரித்தல்	creciente	increase
அதிகரித்து	creciente	increase
அதிகரித்துள்ளது	aumentado	increased
அதிகரிப்பதால்	creciente	increase
அதிகரிப்பால்	aumentado	increase
அதிகரிப்பு	incrementar	increased
அதிகளவான	más	increased
அதிகளவில்	cada vez más	in abundance
அதிகளவு	más	more
அதிகார	autoridad	control
அதிகாரங்களை	potestades	powers
அதிகாரங்கள்	potestades	powers
அதிகாரத்திற்கு	poder	for the powers
அதிகாரத்தில்	en poder	in power
அதிகாரத்தை	poder	ruling
அதிகாரபூர்வ	oficial	authorized
அதிகாரபூர்வமாக	oficialmente	official
அதிகாரப்	poder	authority
அதிகாரப்பூர்வ	oficial	authoritical
அதிகாரப்பூர்வமாக	oficialmente	orderly
அதிகாரப்பூர்வமான	autorización	order
அதிகாரமும்	poder	have power
அதிகாரம்	poder	authority
அதிகாரி	oficial	official
அதிகாரிகளும்	oficiales	sacrifices and satisfying wishes took places in temples in those days. temples were built under the supervision of the pandian king, ministers and officers. caste wars did not exist in those days. in the 17th century caste wars came into existence. kings, ministers and officers celebrated their birthdays in temples as functions. land was allocated for this. devaram and thiruvayum were recited on those days. arts, music, theatre and folk dance events took place. brick temples, bronze statues and stone figures were installed and ornaments were donated. temples existed as places of storing wealth and material things in addition to serving as places of worship. temple wealth was distributed as loan to common people.  free food was given daily in temples. libraries were built within temples. temple rituals were performed by the village authorities and officers. functions of temples and charities were monitored. punishment was served for errors. stone inscriptions in temples served as historical evidence. renovation of temples involved removing stone inscriptions and reinstalling them.
அதிகாரிகள்	oficiales	officials
அதிகாரியான	oficial	officer of the
அதிசய	maravilla	surprise
அதிசயங்கள்	maravillas	surprises
அதிநுண்ணுயிரி	viral	protists
அதிபரவளைவு	hipérbola	hyperbola
அதிபர்	canciller	owner
அதிமுக	aiadmk	admk
அதிர்ச்சி	conmoción	shiver
அதிர்வெண்	frecuencia	wavelength
அதிலும்	más	even
அதிலுள்ள	sus	contained therein
அதில்	en eso	in that
அதீத	demasiado	most
அது	eso	it
அதுவரை	hasta entonces,	yet
அதுவே	ese	that alone
அதே	lo mismo	same
அதேசமயம்	mientras	at the same time
அதேபோல	similar	likethat
அதேபோல்	igualmente	likewise
அதேவேளை	mientras	sametime
அதை	eso	that also
அதைக்	eso	it
அதைச்	eso	that
அதைத்	los	that
அதைப்	eso	like wise
அதோடு	además	and also
அத்தகு	recreativo	that
அத்தகைய	tal	such a
அத்தியாவசிய	esencial	important
அத்துடன்	tanto como	with that
அத்தோடு	además	and
அந்	vestíbulo	that
அந்த	ese	the
அந்தச்	los	that one
அந்தணர்	brahmana	priest
அந்தத்	los	that the
அந்தந்த	respectivo	seperately
அந்தப்	los	those
அந்தமான்	andaman	andhman island
அந்தாதி	biggrin.gif	a grammatical rule
அந்தி	crepúsculo	evening
அந்து	niveles	worm
அந்துவஞ்சேரல்	antuvanceral	anthuvancheral
அந்நாட்டின்	país	that country
அனுபவங்கள்	experiencias	experiences
அனுபவம்	experiencia	experianse
அனுப்ப	mandar	send
அனுப்பப்	al corriente	to send
அனுப்பப்படும்	expedido	will be sent
அனுப்பி	reenviado	to send
அனுப்பிய	expedido	send
அனுப்பும்	transmisor	sends
அனுமதி	permitir	admission
அனுமதிக்கப்பட்ட	permitido	allowed
அனுமதிக்கின்றன	permitir	admitted into
அனுமதிக்கிறது	permite	admitted into
அனுமதிக்கும்	permitir	allows
அனுமதித்தது	permitido	permitted
அனுமன்	hanuman	hanuman
அனேகமாக	probablemente	almost
அனைத்திந்திய	todas	all india
அனைத்திலும்	todas	all over
அனைத்து	todas	all
அனைத்துக்கும்	todas	of all, all
அனைத்துமே	todas	all
அனைத்துலக	internacional	international
அனைத்தையும்	todas	all
அனைவராலும்	aburrir	all
அனைவருக்கும்	todo el mundo	to everyone
அனைவரும்	todas	all of us
அனைவரையும்	todas	all
அன்	añil	and
அன்ட்	y	and
அன்னை	madre	mother
அன்பின்	querido	in love
அன்பு	amor	love
அன்புடன்	saludos	with love
அன்புள்ள	querido	dear
அன்பே	querido	love
அன்றாட	diario	daily
அன்றாடம்	diario	daily
அன்றி	ni	rather
அன்றைய	los	during those days
அபாயகரமான	peligroso	risky
அபாயத்தை	el riesgo	danger
அபாயம்	peligro	danger
அபின்	opio	abin
அபுல்	abul	abul
அபூர்வ	apurva	unbelive
அபூர்வமாக	raramente	rarely
அப்துல்	abdul	abdul
அப்பகுதி	región	that sections
அப்படி	aún así	like that
அப்படியே	intacto	like that
அப்பொருள்	entradas	akapporul
அப்பொழுது	y	at that time
அப்போகொனைடீ	appokonaiti	a family of fish
அப்போது	los	that time
அப்போதைய	luego	for that
அமராவதி	amravati	amaravathy a name in tamil
அமர்ந்த	sentado	sit down
அமர்ந்து	sentado	to sit
அமானுட	paranormal	invisible
அமினோ	aminado	amino acid
அமில	ácido	acid
அமிலம்	ácido	acid
அமீரகத்தின்	emiratos	emirates
அமீரகம்	emiratos	emirates
அமெரிக்க	nos	american
அமெரிக்கக்	americano	america
அமெரிக்கத்	americano	american
அமெரிக்கன்	americano	american
அமெரிக்கப்	nos	america
அமெரிக்கர்	americano	american
அமெரிக்கர்களின்	de los estadounidenses	americans
அமெரிக்கர்களில்	estadounidenses	in america
அமெரிக்கர்கள்	estadounidenses	americans
அமெரிக்கா	estados unidos	america
அமெரிக்காவின்	nos	of america
அமெரிக்காவில்	estados unidos	in america
அமெரிக்காவுக்கு	estados unidos	to america
அமெரிக்காவுடன்	con los estados unidos	with america
அமெரிக்காவும்	nos	america
அமைகின்றது	recepción	is coming
அமைகின்றன	son	formed
அமைகிறது	es	become
அமைக்க	conjunto	set
அமைக்கப்பட்ட	formado	founded
அமைக்கப்பட்டது	conjunto	established
அமைக்கப்பட்டன	puesto	formed
அமைக்கப்பட்டிருக்கும்	está establecido	is organised
அமைக்கப்பட்டுள்ள	arreglado	having that
அமைக்கப்பட்டுள்ளது	conjunto	established
அமைக்கப்பட்டுள்ளன	estructurado	up
அமைக்கும்	conjuntos	to make
அமைச்சரவை	ministerio	cabinet
அமைச்சராக	ministro	minister
அமைச்சர்	ministro	minister
அமைச்சர்கள்	ministros	ministers
அமைதி	paz	peace
அமைதிகாக்கும்	mantenimiento de la paz	peace keeping
அமைதிக்கான	paz	peace
அமைதிப்	paz	piece
அமைதியான	tranquilo	peace
அமைத்தனர்	y formado	create
அமைத்தல்	ajuste	setting up
அமைத்து	conjunto	set up
அமைத்துக்	conjunto	set up
அமைத்துள்ளது	conjunto	set
அமைந்த	los	suituated
அமைந்தது	los	set
அமைந்தன	dentro	having that
அமைந்திருக்கிறது	se encuentra	located
அமைந்திருக்கும்	situado	is located
அமைந்திருந்த	situado	that place
அமைந்திருந்தது	estaba	containing
அமைந்திருந்தன	situado	located
அமைந்திருப்பதால்	situado	situated at
அமைந்து	situado	present
அமைந்துள்ள	situado	situated
அமைந்துள்ளது	situado	located
அமைந்துள்ளன	situado	located
அமைன்	amina	amion
அமைப்பாக	organización	organisational
அமைப்பாகும்	estructura	organization
அமைப்பானது	el sistema	an organization
அமைப்பின்	organización	organization
அமைப்பிலிருந்து	de la organización	from the system
அமைப்பில்	estructura	construction
அமைப்பு	estructura	organisation
அமைப்புகளின்	configuraciones	shape
அமைப்புகளில்	configuraciones	organisation
அமைப்புகளும்	configuraciones	adding
அமைப்புகள்	configuraciones	organisations
அமைப்பும்	formación	organisation
அமைப்பை	diseño	organization
அமைப்பைக்	estructura	organisation
அமைப்பையும்	estructura	make up
அமைய	conforme	to form
அமையும்	posiciones	may be
அமைவது	cómo establecer	to organise
அமைவிடம்	ubicación	accomodated place
அமைவு	preparar	location
அமோனியா	amoníaco	amonia
அம்சங்களை	caracteristicas	sheme
அம்சங்களைக்	caracteristicas	types
அம்சங்களையும்	caracteristicas	features
அம்சமாக	característica	feature
அம்சம்	característica	set
அம்பு	flecha	arrow
அம்பேத்கர்	ambedkar	ambethkar
அம்மனுக்கு	a amman	hindu godess
அம்மன்	amman	female god
அம்மா	madre	mother
அம்மானை	madre	a tamil poetry
அம்மையார்	señora	lady
அயனாதிக்க	ionosférico	ionospheric
அயர்லாந்தின்	irlanda	ireland
அயர்லாந்து	irlanda	ireland a country name
அயல்	doblez	foreign
அயோத்தி	ayodhya	aiyothi
அய்யா	señor	ayya a respectful
அய்யாவழி	ayyavazhi	sir way
அய்யாவழியின்	ayyavazhi	the way of the grand father
அய்யாவழியில்	en ayyavazhi	ayya's path
அரகோனைட்	aragonito	aragonite is a chemical component
அரங்கம்	patio de recreo	auditorium
அரங்கு	teatro	hall in a building
அரச	corona	goverment
அரசனாக	el rey	to become a king
அரசனின்	del rey	kings
அரசனுக்கு	el rey	for the king
அரசன்	el rey	king
அரசமைப்பு	artículo	legislature
அரசரின்	del rey	king's
அரசர்	rey	king
அரசர்களின்	de reyes	kings
அரசர்கள்	reyes	kings
அரசாங்கங்கள்	gobiernos	governments
அரசாங்கத்தால்	por el gobierno	for government
அரசாங்கத்தின்	gobierno	in government
அரசாங்கத்தை	gobierno	government
அரசாங்கமும்	el gobierno	the goverment
அரசாங்கம்	el gobierno	government
அரசாட்சி	reinado	kings rule
அரசால்	por estado	government
அரசி	reina	queen
அரசின்	gobierno	of government
அரசியற்	político	political
அரசியலமைப்பின்	constitución	politics
அரசியலமைப்பில்	en la constitución	in the constitution
அரசியலமைப்பு	constitucional	political structure
அரசியலமைப்புச்	constitución	government organisation
அரசியலில்	política	in politics
அரசியலும்	política	politics
அரசியல்சட்ட	constitucional	politics
அரசியல்வாதிகள்	políticos	politics
அரசில்	en estado	in government
அரசு	gobierno	goverment
அரசுகளின்	gobiernos	government's
அரசுகளை	estados	governments of
அரசுகள்	gobiernos	governments
அரசுக்கு	gobierno	to government
அரசுக்கும்	mercancía	govenment to
அரசுடன்	con el estado	with government
அரசுத்	gobierno	government
அரசும்	gobierno	goverment
அரசுரிமை	soberanía	government rights
அரசை	estado	kings
அரசையும்	estado	goverment
அரண்	baluarte	wall
அரண்மனை	palacio	palace
அரபி	arábica	arab
அரபு	árabe	arabic
அராபிய	árabe	arabic
அரிசி	arroz	rice
அரிதாக	raramente	rarely
அரிதான	raro	rare
அரிது	rareza	rarely
அரிப்பு	picor	itching
அரிய	raro	rare
அரியணை	trono	rulling party
அரியணையில்	en el trono	throne of
அரியானா	hariana	haryana
அரிஸ்டாஃபனீஸ்	aristófanes	aristaphanis
அரிஸ்டாட்டிலின்	aristóteles	aristotlian
அரிஸ்டாட்டில்	aristóteles	aristatil
அருகாமையில்	proximidad	near
அருகிலுள்ள	cerca	near by
அருகில்	más cercano	near
அருகே	cerca	near
அருங்காட்சியகம்	museo	museum
அருச்சுனன்	arjuna	arjunan
அருஞ்சொற்பொருள்	glosario	dictionary
அருண்மொழி	arunmoli	arun mozhi a tamil name
அருள்	gracia	god's wishes
அருள்மிகு	sri	his highness
அருவி	cascadas	falls
அரேபிய	árabe	arabian
அரேபியா	arabia	arabia
அரேபியாவின்	de arabia	in the arabian country
அரை	medio	half
அர்ஜென்டினா	argentina	argentina
அர்த்தம்	sentido	meaning
அறக்கட்டளை	fundación	organization
அறக்கட்டளையின்	fundación	trust
அறம்	moralidad	good things
அறிகுறிகளை	síntomas	symptoms
அறிகுறிகள்	síntomas	infection
அறிக்கை	reporte	report
அறிக்கைகள்	informes	information
அறிக்கையில்	reporte	report
அறிஞர்	erudito	genius
அறிஞர்கள்	eruditos	pandit
அறிதல்	reconocimiento	underfstand
அறிந்த	conocimiento	known well
அறிந்து	saber	known
அறிந்துகொள்ள	aprender	know
அறிமுகப்	introductorio	introduce
அறிமுகப்படுத்தி	introduciendo	intraduce
அறிமுகப்படுத்தினார்	introducido	introduced
அறிமுகப்படுத்தியது	introducido	launched
அறிமுகம்	introducción	introductions
அறிய	aprender	know
அறியப்படவில்லை	desconocido	unknown
அறியப்படாத	desconocido	not known before
அறியப்படுகின்றது	conocido	to be known
அறியப்படுகின்றன	conocido	known
அறியப்படுகிறது	conocido	came to know
அறியப்படுகிறார்	conocido	known
அறியப்படும்	conocido	known
அறியப்பட்ட	conocido	known
அறியப்பட்டது	conocido	founded
அறியப்பட்டுள்ளது	conocido	is known as
அறியலாம்	explorar	to make known
அறியவும்	aprender	to know about
அறியும்	hallazgo	knowing
அறிவதற்கு	aprender	to know
அறிவாற்றல்	ingenioso	intelligence
அறிவிக்கப்பட்ட	notificado	announced
அறிவிக்கப்பட்டது	anunciado	informed
அறிவித்த	anunciando	declare
அறிவித்தது	anunciado	announced
அறிவித்தார்	declarado	he announced
அறிவித்து	anunciando	announced
அறிவித்துள்ளது	anunciado	announced
அறிவின்	conocimiento de la	intellectually
அறிவிப்பு	anuncio	announcement
அறிவிப்பை	notificación	announcement
அறிவியற்	ciencias	science
அறிவியலாளர்கள்	científicos	scientist
அறிவியலின்	ciencias	science
அறிவியலில்	en la ciencia	in science
அறிவியலும்	ciencias	science
அறிவியல்	ciencias	science
அறிவியல்கள்	ciencias	sciences
அறிவு	conocimiento	knowledge
அறிவுறுத்தினார்	exhortado	suggested
அறிவை	conocimiento	knowledge
அறிவையும்	conocimiento	knowledge
அறுதியிடல்	diagnóstico	diagnose
அறுவடை	cosecha	harvesting
அறை	habitación	room
அற்ற	sin senderos	not
அலகின்	apéndice	unit
அலகு	unidad	is a unit
அலகுகள்	unidades	units
அலாஸ்கா	alaska	alaska a state
அலாஸ்காவின்	alaska	in alaska
அலி	ali	ali
அலுவலக	oficina	official
அலுவலகங்கள்	oficinas	office
அலுவலகம்	oficina	office
அலெக்சாண்டர்	alejandro	alexander
அலெக்ஸாண்டரின்	alexander&#39;s	of alexander
அலெக்ஸாண்டர்	alejandro	alexander the great
அலை	ola	wave
அலைகளின்	olas del	waves
அலைகளை	mareas	wave
அலைகள்	olas	waves
அலைநீளம்	longitud de onda	wavelength
அல்	alabama	al
அல்குர்ஆன்	al quran	alkuran
அல்கைல்	alquil	alkyl
அல்மனக்	almanaque	almanac
அல்ல	no es	not that
அல்லது	o	or
அல்லர்	ninguno	not
அல்லாத	no	non
அல்லாமல்	además	apart from
அல்லாஹ்	alá	allah
அல்லி	aliado	ally flower
அளக்க	escalada	scale
அளக்கும்	medición	measuring
அளந்து	medida	tape
அளவற்ற	ilimitado	limited
அளவான	modesto	sized
அளவானது	el grado	amount
அளவிட	medida	to measure
அளவிடப்படுகிறது	medido	measured
அளவிடும்	medición	to measure
அளவின்	nivel de la	of
அளவியல்	metrología	metric
அளவிற்கு	grado	level
அளவிலேயே	limitado	like that measure
அளவில்	cantidades	quantity
அளவீடு	medición	measurement
அளவீடுகளில்	mediciones	measurement index
அளவீடுகளை	mediciones	measurements
அளவீடுகள்	mediciones	measurements
அளவீட்டு	medición	measured
அளவு	talla	measurement
அளவுகளில்	tamaños	levels of
அளவுகளை	niveles	day's mesure
அளவுகள்	dimensiones	levels
அளவுகோல்	escala	a measurement
அளவுக்கு	más	limit
அளவே	camionero	limit
அளவை	redimensionar	limit
அளவைக்	la longitud	measurement
அளிக்க	oferta	give
அளிக்கப்படுகிறது	previsto	given
அளிக்கப்படும்	ofrecido	will be given
அளிக்கப்பட்ட	por	given
அளிக்கப்பட்டது	contribuido	given
அளிக்கலாம்	oferta	provide
அளிக்கிறது	presenta	given
அளிக்கும்	dando	presenting
அளித்த	los	supplied
அளித்தது	previsto	provided
அளித்தல்	proporcionar	to distribute
அளித்தார்	previsto	given
அளித்து	previsto	to give
அளிப்பது	abastecimiento	providing
அளிப்பு	suministro	destroy
அழகான	hermoso	beautiful
அழகிய	hermoso	beautiful
அழகு	belleza	beautiful
அழகூட்டல்	alakuttal	beautificates
அழற்சி	inflamación	allergy
அழிக்க	destruir	destroy
அழிக்கப்பட்ட	destruido	destructed
அழிக்கும்	para destruir	to destroy
அழித்தான்	destruido	erased
அழித்து	destruido	destroyed
அழிப்பு	destrucción	destroy
அழியாத	indestructible	does not disappear
அழியும்	extinción	to be destroyed
அழிவு	destrucción	destroy
அழுத்த	estrés	pressure
அழுத்தங்கள்	presiones	pressure
அழுத்தத்தை	presión	pressure
அழுத்தம்	presión	pressure
அழைக்க	llamada	invite
அழைக்கப்	invitado	called
அழைக்கப்படுகின்றது	conocido	was called
அழைக்கப்படுகின்றன	llamado	known
அழைக்கப்படுகின்றனர்	vocación	call
அழைக்கப்படுகிறது	conocido	is called so
அழைக்கப்படுகிறார்	vocación	called by
அழைக்கப்படும்	conocido	called by
அழைக்கப்பட்ட	retirado del mercado	invited
அழைக்கப்பட்டது	invitado	was called by
அழைக்கப்பட்டன	invitado	called
அழைக்கப்பட்டார்	invitado	called
அழைக்கலாம்	llamada	invited
அழைக்கின்றனர்	llamada	call
அழைத்தனர்	vocación	invited
அழைத்தார்	invitado	invited
அழைத்து	llamada	call
அழைத்துச்	tomar	invited
அழைப்பர்	llamada	caller
அழைப்பு	llamada	invitation
அவசியமான	esenciales	important
அவசியம்	esencial	impotance
அவதானிக்கலாம்	aviso	to be started from
அவதார	adivinar	avatar
அவதாரம்	encarnación	avadhar
அவனது	su	his
அவனிடம்	a él	from his
அவனுக்கு	a él	for him
அவனுடைய	su	his
அவனே	oms	he is
அவன்	él	he or his
அவரவர்	todo el mundo	every one
அவரால்	ella	him
அவரிடம்	a él	to him
அவரின்	ella es	their
அவருக்கு	para él	to him
அவருக்குப்	su	after that
அவருடன்	con él	with him
அவருடைய	su	belonging to him
அவரும்	ella	he and
அவரே	él mismo	he
அவரை	frijoles	that person
அவரைக்	él	that person
அவரைச்	él	for him or by all
அவரைத்	su	a respect
அவரைப்	su	his
அவர்	él	he/she
அவர்களால்	si ellos	their
அவர்களிடம்	a ellos	their
அவர்களின்	su	belonging to them
அவர்களில்	en su	among them
அவர்களுக்கு	ellos	to them
அவர்களுடன்	con ellos	with them
அவர்களுடைய	su	their
அவர்களும்	ellos	they also
அவர்களே	ellos	themself
அவர்களை	ellos	them
அவர்களைக்	ellos	them
அவர்களைத்	ellos	theirs
அவர்களைப்	ellos	them
அவர்கள்	ellos	they are
அவற்றிற்கு	ellos	them
அவற்றிலிருந்து	de ellos	among them
அவற்றில்	los	in their
அவற்றுக்கு	a su	them (between them)
அவற்றுடன்	con ellos	including that
அவற்றுள்	cual	among them
அவற்றை	ellos	of that
அவற்றைக்	ellos	that also
அவற்றைச்	ellos	them
அவற்றைத்	ellos	those
அவற்றைப்	ellos	by that
அவளது	su	on her
அவளை	su	that girl or woman
அவள்	ella	she
அவுட்லுக்	panorama	outlook
அவுஸ்திரேலியா	australia	australia
அவை	ellos	they
அவைகளாவன	canales	that is
அவைகளின்	su	having that
அவைகளில்	en ellos	in that
அவைகளுக்கு	ellos	them
அவைகளை	ellos	that also
அவைகள்	ellos	they are
அவையாவன	éstos incluyen	everything
அவையின்	casa	house
அவையில்	en el cual	in that
அவ்வப்போது	regularmente	regularly
அவ்வளவு	más	not much
அவ்வாறு	entonces	like that
அவ்வாறே	similar	like that
ஆ	vaca	aa
ஆஃப்	apagado	of
ஆக	volverse	so
ஆகத்து	agosto	aakathu
ஆகவும்	más	than
ஆகவே	por lo tanto	so
ஆகஸ்டு	agosto	august
ஆகஸ்ட்	agosto	august
ஆகிய	y	including that
ஆகியன	los	are all
ஆகியனவற்றை	incluso	including that all
ஆகியனவாகும்	incluir la	all those
ஆகியனவும்	incluido	including
ஆகியவற்றால்	por	by
ஆகியவற்றின்	de	belong to
ஆகியவற்றிற்கு	los	including all
ஆகியவற்றில்	remolacha	including that
ஆகியவற்றுக்கு	a	for that
ஆகியவற்றுடன்	con	together
ஆகியவற்றை	los	all
ஆகியவற்றைக்	concentrando	and
ஆகியவற்றைத்	sus	and
ஆகியவற்றையும்	causas	and
ஆகியவை	los	including all
ஆகியவைகள்	bastidor auxiliar	including all
ஆகியவையாகும்	iasb	that also
ஆகியவையும்	bien	and also
ஆகியோரது	por el	including that
ஆகியோரின்	de	including all
ஆகியோருக்கு	al	to
ஆகியோரும்	también	there also
ஆகியோர்	aquellos	there were
ஆகும்	es	is
ஆகையால்	por lo tanto	so that
ஆக்க	enabler	to create
ஆக்கப்பட்ட	hecho	by made
ஆக்கம்	cortar a tajos	development
ஆக்கிரமிக்கும்	invasor	invasive
ஆக்கிரமிப்பு	agresivo	occupy
ஆக்சிசன்	oxígeno	oxcygen
ஆக்சிஜன்	oxígeno	oxygen
ஆக்சைடு	óxido	oxide
ஆக்ஸிஜன்	oxígeno	oxygen
ஆங்காங்கே	aislado	there and there
ஆங்கில	inglés	english
ஆங்கிலக்	inglés	biritish
ஆங்கிலத்திலும்	inglés	in english also
ஆங்கிலத்தில்	en inglés	in english
ஆங்கிலத்தை	inglés	english
ஆங்கிலப்	inglés	english
ஆங்கிலேயரின்	británico	british people
ஆங்கிலேயர்	británico	britishers
ஆங்கிலேயர்களின்	británico	of british
ஆங்கிலேயர்கள்	británico	english
ஆசனம்	asiento	yoga
ஆசாத்	azad	asath
ஆசிய	asiático	asia
ஆசியா	asia	asia
ஆசியாவின்	asia	in asia
ஆசியாவில்	en asia	in asia
ஆசிரியராக	editor	as a teacher
ஆசிரியரான	autor	teacher
ஆசிரியர்	autor	teacher
ஆசிரியர்கள்	profesores	teachers
ஆசை	deseo	desire
ஆட	baile	dance
