$	usd	dollar
అత్త	tante	mother-in-law
అత్యంత		special
అత్యధిక	augstākais	majority
అత్యధికంగా	lielākā daļa	very importantly
అత్యధికులు	lielākā daļa no	superiors
అత్యల్ప	zemākais	least
అత్యవసర	ārkārtas	very important
అత్యవసరం	būtisks	much needed
అత్యాధునిక	izsmalcināts	latest
అత్యుత్తమ	labākais	extraordinary
అత్యున్నత	augstākais	highest
అత్రి	atri	athri
అదనంగా	papildus,	additional
అదనపు	papildu	extra
అది	tā	adi
అదిలాబాదు	adilabad	adilabad
అదీ	tas ir	that too
అదుపు	aizbildnība	control
అదుపులో	kontrole	in control
అదృశ్యం	pazūd	disappeared
అదే	tas pats	that one only
అద్దం	spogulis	mirror
అద్దంకి	plāni	adanki
అద్భుత	satriecošs	wonderful
అద్భుతం	satriecošs	miracle
అద్భుతంగా	aizraujoši	amazingly
అద్భుతమైన	lieliski	amazing
అద్వైత	advaita	advaita
అద్వైతం	advaithams	philosphy
అధర్వణ	atharva	atharvana
అధిక	vairāk	more
అధికం	palielināt	increase
అధికంగా	vairāk	mostly
అధికభాగం	lielākā daļa no	most part
అధికమైన	iedoma	extra
అధికార	jauda	official
అధికారం	autoritāte	power
అధికారంలో	jauda	in power
అధికారంలోకి	jauda	came into power
అధికారాన్ని	jauda	its authority
అధికారాలు	pilnvaras	powers
అధికారి	virsnieks	officer
అధికారిక	oficiālā	official
అధికారికంగా	oficiāli	authoritarian
అధికారుల	ierēdņi	officer's
అధికారులు	ierēdņi	officials
అధినేత	galva	president
అధిపతి	galva	head of the department
అధిపత్యం	svins	domination
అధిష్టాన	autoritāte	higer
అధీనంలో	saskaņā	possession
అధీనంలోకి	aizbildnība	in control
అధునాతన	advanced	modern
అధ్యక్ష	priekšsēdētājs	president
అధ్యక్షుడిగా	priekšsēdētājs	head
అధ్యక్షుడు	priekšsēdētājs	president
అధ్యక్షులు	prezidenti	president
అధ్యయనం	pētījums	study
అధ్యయనాన్ని	pētījums	exercise
అధ్యాయం	nodaļa	chapter
అధ్యాయంలో	nodaļa	in the chapter
అనంత	bezgalība	infinite
అనంతం	bezgalība	infinite
అనంతపురం	anantapur	ananthapuram
అనంతపురానికి	anantapuraniki	ananthapuram
అనంతము	bezgalība	infinity
అనంతమైన	bezgalīgs	infinite
అనంతర	vēlāk	after
అనంతరం		later
అనకాపల్లి	anakapalli	anakapalli
అనగా	ti	it means
అనడం	tas	telling
అనధికార	neatļauta	unofficial
అనన్య	unikāls	many
అనబడే	zināms	as called
అనవచ్చును	kas ir domāts	can be called
అనాదిగా	sākotnēji	long ago
అని	tas	it means
అనికూడా	kā	also
అనిన్నీ	visi	all
అనిపిస్తుంది	jūtas	is felt
అనిబిసెంట్	annija besanta	annibesant
అనిల్	anil	anil
అనీ	ir	saying
అను	anu	namely
అనుకూలంగా	savietojams	as favorable
అనుకూలమైన	draudzīgi	consquently
అనుగుణంగా	saskaņā ar	favourable
అనుచరులు	sekotāji	followers
అనుత్రికము	anutrikamu	tailbone
అనునది		called
అనుబంధ	papildinājums	related
అనుబంధం	papildinājums	good relation
అనుబంధంగా	pievienots	affectionate
అనుభవ	pieredze	with experience
అనుభవం	pieredze	experience
అనుభవాలను	pieredzes	experience
అనుమతి	atļauja	anumathi
అనుమతిని	atļauja	permission
అనుమతిస్తాయి	atļaut	will allow
అనుమతిస్తుంది	ļauj	giving permission, approved
అనుమానం	aizdomas	doubt
అనుయాయులు	fledglings	supporters
అనువదించాడు	tulkojis	translated
అనువర్తన	pieteikums	application
అనువాద	tulkošana	translation
అనువాదం	tulkošana	chapter
అనువాదము	tulkošana	translation
అనువాదాలు	tulkojumi	translations
అనువుగా	atsegts	ready
అనువైన	elastīga	wish
అనువైనది	ideāli	convenient
అనుష్క	anuška	anushka - film actress in andhra
అనుసంధానం	integrācija	interface
అనుసరించి	sekojošs	followed
అనుసరించే	seko	following
అనుసరిస్తుంది	seko	following
అనుసరిస్తూ	sekojošs	following
అనెలిడా	annelīds	persons name
అనే		said
అనేక	daudzi	many
అనేకమంది	daudzi	many people
అనేకమైన	daudzi	so many
అనేకానేక	vairāk un vairāk	more
అనేది		called
అనేవారు	bija	used to say
అనేవి		called
అనొచ్చు	likumi	may call
అనో	arī	said
అన్న	anna	said
అన్నం	rīsi	rice (food)
అన్నట్టు	teica	as if
అన్నట్లు	teica	as if
అన్నదమ్ములు	brāļi	brothers
అన్నది	ir	said
అన్నపూర్ణ	annapurna	anapurna
అన్నమయ్య	linkreports	annamayya
అన్నమాచార్య	annamačarja	annamacharya
అన్నమాట	tas ir	like that
అన్నయ్య	brālis	elder brother
అన్నా	anna	anna
అన్నాడట	annadata	told
అన్నాడు	teica	he told
అన్నారు	teica	told, said
అన్ని	visi	all
అన్నింటికంటే	lielākā daļa	best of all
అన్నింటికన్నా	lielākā daļa	annitikanna
అన్నిటి	viss	all
అన్నిటికంటే	vairāk	above all
అన్నీ	visi	all
అన్వేషణ	meklēt	search
అపారమైన	milzīgs	great
అపూర్వ	unikāli	apoorva
అప్పటి	tad	then
అప్పటికి	tad	thattime
అప్పటికే	gan jau	by that time
అప్పటినుండి	kopš tā laika,	from then
అప్పటివరకు	līdz šim brīdim	till then
అప్పట్లో	tajā laikā	at that time
అప్పారావు	appa rao	appa rao
అప్పు	aizdevums	loan
అప్పుడప్పుడూ	reizēm	sometimes
అప్పుడు	tad	then
అప్పుడే		then only
అఫ్	augšā	of
అఫ్జల్	afzal	afal
అబివృద్ధి	izaugsme	development
అబూబక్ర్	abu bakr	abubrack
అబొరిజైన్స్	aborijains	aborigines
అబ్దుల్	abdula	abdul
అబ్బాయి	zēns	boy
అబ్‌ఖజియా	abhāzija	abkhazia
అబ్‌ఖజియాలో	abhadžialo	in ab-khajia
అబ్‍ఖజియా	abhāzija	ab khajiya
అభిప్రాయ	atzinums	opinion
అభిప్రాయం	atsauksmes	opinion
అభిప్రాయపడ్డారు	raksti	express opinion
అభిప్రాయము	atzinums	opinion
అభిప్రాయాలు	skati	opinion
అభిమాన	mīļākā	fans
అభిమానాన్ని	slims	like
అభిమానుల	fani	fans
అభిమానులు	fani	fans
అభిరుచి	kaislība	good taste
అభిలాష	aspirācija	intensity
అభివర్ణించాడు	aprakstīts	explained
అభివృద్ది	programmas attīstība	development
అభివృద్ధి	attīstība	improvment
అభివృద్ధికి	attīstība	development
అభివృద్ధిని	izaugsme	development
అభ్యర్థులు	kandidāti	candidates
అభ్యాసం	mācīšanās	training
అభ్యుదయ	labklājība	popular
అమరజీవి	moceklis	deathlessman
అమరాంథేసి	amaranthesi	amaranthaseae
అమరావతి	amravati	amaravathi
అమరి	vērtēšana	adjust
అమరిక	konfigurācija	america (its a country)
అమర్చి	komplekts	fix
అమలు	skrien	execute
అమలులోకి	efekts	in use
అమల్లోకి	efekts	in use
అమావాస్య	jauns mēness	moonless night
అమితంగా	iedzeršana	so much
అమెరికన్	amerikāņu	american
అమెరికన్లు	amerikāņi	americans
అమెరికా	savienotās valstis	america
అమెరికాకు	savienotās valstis	to america
అమెరికాలో	savienotās valstis	in america
అమెరికాలోని	savienotās valstis	in america
అమెరికాలోనే	savienotās valstis	in america itself
అమ్మ	mamma	amma
అమ్మవారి	ammāna	mother
అమ్మవారిని	dieviete	to mother
అమ్మా	māte	mother
అమ్మాయి	meitene	girl
అమ్మాయిలు	meitenes	girls
అమ్మే	pārdod	ammo
అయన	viņa	he
అయస్కాంత	magnētisks	magnet
అయి	un	happen
అయింది	ir	became
అయితే	tomēr	while
అయిదు	pieci	five
అయిన		is
అయినది	tas bija	happened
అయిననూ	tomēr	inspite of
అయినప్పటికీ	tomēr	even though
అయినప్పుడు	kad	that
అయినా	jebkurš	still
అయోధ్యకు	ajodja	to ayodhya
అయోమయ	nekārtība	confusion
అయ్యప్ప	ayyappa	ayyappa
అయ్యర్	ījers	ayyar
అయ్యాక	kad	after it's don
అయ్యాడు	bija	he was made
అయ్యాయి	ir	became
అయ్యి	ir	happen
అయ్యింది	ir	done
అయ్యే	derīgs	that
అర	plaukts	half
అరటి	banāns	banana
అరటిపండు	banāns	banana
అరణ్య	mežs	forest
అరత్ని	olecranon	ulna
అరబిక్	arābu valodā	arabic
అరబ్బీ	arābu valodā	arab
అరబ్బులు	arābi	arabs
అరవై	sešdesmit	sixty
అరిస్టాటిల్	aristotelis	aristotle
అరుణ	aruna	aruna
అరుణాచల్	arunachal	arunachal
అరుదు	retums	rare
అరుదుగా	reti	rarely
అరుదైన	reti	rare
అరెస్టు	arestēts	arrest
అరేబియా	arābija	arabia
అర్చకులు	priesteris	priests
అర్చన	archana	praying the god
అర్జునుడు	ardžuna	arjuna
అర్జునుని	arjununi	arjuna's desire
అర్జున్	arjun	arjun
అర్థ	nozīme	half
అర్థం	nozīme	meaning
అర్థము	paskaidrojums	meaning
అర్ధ	puse	economic
అర్ధం	nozīme	internet,slum areas,hindu,muslim,lord shiva
అర్ధము	nozīme	meaning
అర్ధాలు	definīcijas	meanings
అర్ధిక	ardhika	economic
అర్బన్	pilsētas	urban
అర్హత	piemērots	eligibility
అలంకరణ	rotājums	decorated
అలంకరించి	rotā	decoration
అలంకరిస్తారు	rotā	decoration
అలల	vilnis	waves
అలలు	plūdmaiņas	waves
అలవాటు	ieradums	habit
అలవాట్లు	ēšana	habit
అలహాబాదు	allahabadā	alahabad
అలా	tātad	in that way
అలాంటి	tādas	like that
అలాగే	kā arī	alage
అలానే	kā arī	that tipe
అలాస్కా	aļaska	alaska (name of the place in america)
అలీ	ali	ali
అలుగు	nezāle	pangolin
అలెగ్జాండర్	aleksandrs	alexander
అలోహం	alohams	nonmetal
అల్	al	al
అల్ప	īss	smaller
అల్బేనియా	albānija	albania
అల్లం	ingvers	ginger
అల్లసాని	allasani	allasani
అల్లు	spin	allu
అల్లుడు	dēls	son in law
అల్లూరి	viljams	alluri
అవకాశం	iespēja	opportunity
అవకాశము	iespēja	opportunity
అవకాశాన్ని	iespēja	opportunity
అవగాహన	izpratne	knowledge
అవతరణ	veidošanās	formation
అవతరించింది	kļuva par	born
అవతలి	cits	that side
అవతారం	iemiesojums	god
అవతారమని	iemiesojums	form
అవతారాలు	avatāri	embodiments
అవలంబించారు	pieņemts	following
అవశేషాలు	paliek	remains
అవసరం	nepieciešams	need
అవసరమయ్యే	nepieciešams	required
అవసరమైతే	ja nepieciešams	if required
అవసరమైన	nepieciešams	needed
అవసరాన్ని	nepieciešams	need
అవసరాల	prasības	necessities
అవసరాలను	prasības	needs
అవసరాలు	prasības	needs
అవార్డు	balva	award
అవార్డును	balva	award
అవార్డులు	balvas	awards
అవి	viņi	avi
అవినీతి	korupcija	uncouth, illegal
అవీ	iestatīšana	that
అవుట్	ārā	out
అవుతాయి	būs	will become
అవుతుంది	būs	happen
అవుతున్న	būt	stopping
అవును	jā	yes
అవే	prom	same
అవ్వటం	kā	become
అశోక	ašokā	ashok
అశోకుడు	asoka	ashoka
అశోకుని	ašokā	ashoke
అశోక్	ašok	ashok
అశ్వమేధ	asvamedha	aswamedha
అష్టలక్ష్మీ	astalaksmi	ashta lakshmi
అష్టాంగ	aštāna	ashtanga
అష్టాదశ	astoņpadsmit	asthadasha
అష్టోత్తర	astottara	eight
అసంతృప్తి	neapmierinātība	notsatisfied
అసమ్మతి	nesaskaņas	anti group
అసలు	oriģināls	wishes
అసలైన	patiesībā	original
అసాధారణ	neparasti	impossible
అసాధారణంగా	neparasti	narmel
అసాధారణమైన	izņēmuma kārtā	immpossible
అసెంబ్లీ	montāža	lower house
అసోసియేషన్	asociācija	association
అస్సాం	assam	assam
అహమ్మదాబాదు	ahmedabad	ahmedabad
అహమ్మద్	ahmads	ahmed
అహింస	nevardarbība	the avoidance of violence
ఆ		after
ఆంగ్ల	angļu	english
ఆంగ్లం	angļu	english
ఆంగ్లంలో	angļu	in english
ఆంగ్లము	angļu	english
ఆంగ్లేయుల	angļu	the english
ఆంగ్లేయులు	angļu	britishers
ఆంజనేయ	anjāneja	anjaneya
ఆంజనేయస్వామి	anjaneyasvami	anjaneya swamy
ఆందోళన	uztraucies	discomfort, fear of
ఆంధ్ర	ap	andhra
ఆంధ్రజ్యోతి	mēs runājām	andhra jyothi
ఆంధ్రప్రదేశ్	ap	andhra pradesh
ఆంధ్రప్రదేశ్‌లో	ap	andhrapradesh
ఆంధ్రా	andhra	andhra
ఆంధ్రుల	andhrula	andhras
ఆంధ్రులకు	ap	for andhras
ఆంధ్రులు	teluguss	andhras
ఆకర్షణ	affinitāte	attraction
ఆకర్షణలు	atrakcijas	attractions
ఆకర్షణీయమైన	pievilcīgs	attracted
ఆకర్షించడం	piesaista	attractive
ఆకర్షించింది	noķerts	attracted
ఆకర్షించే	uzkrītošs	attractive
ఆకలి	apetīte	akali
ఆకారం	forma	shape
ఆకారంలో	forma	shape
ఆకారపు	forma	shape
ఆకారాన్ని	forma	shape
ఆకాశ	debesis	sky
ఆకాశం	debesis	sky
ఆకాశంలో	debesis	in the sky
ఆకాశవాణి	tv un radio	unknown voice from sky
ఆకు	lapu	leaf
ఆకుపచ్చ	zaļš	green
ఆకుల	lapas	leaves
ఆకులను	lapas	leaves
ఆకులు	lapas	leafs
ఆకృతి	forma	attraction
ఆక్రమణ	iebrukums	conquer
ఆక్రమించారు	iebruka	taken
ఆక్రమించి	aizņemts	acquired
ఆక్రమించింది	aizņemts	invasion
ఆక్సైడ్	oksīds	oxide
ఆఖరి	fināls	last
ఆగష్టు	augusts	august
ఆగస్టు	augusts	august
ఆగుతాయి	pietura	will stop
ఆగ్నేయ	dienvidaustrumos	south-east
ఆగ్నేయాన	dienvidaustrumos	south-east
ఆగ్రా	agra	agra
ఆచరణలో	prakse	in use
ఆచరించే	praktizēts	practiced
ఆచార	netradicionalitāte	tradition
ఆచారం	pielāgots	culture
ఆచారాలను	muita	cultures
ఆచారాలు	muita	religious practices
ఆచార్య	acharya	scholar
ఆజాద్	azāds	aazad
ఆట	spēle	game
ఆటంకం	pretestība	objection
ఆటంకాలు	traucējumi	blockades
ఆటగాడు	spēlētājs	player
ఆటగాళ్ళు	spēlētāji	players
ఆటను		game
ఆటల	sports	games
ఆటలలో	spēles	games
ఆటలు	spēles	games
ఆటలో	spēlē	in this game
ఆటో	automātiski	auto
ఆడ	mātītes	female
ఆడపులి	tigress	female tiger
ఆడపులులు	mātītes	female tigers
ఆడవారు	lesbietes	ladies
ఆడిన	spēlējuši	dance
ఆడియో	audio	audio
ఆడే	golfs	play
ఆతని	viņa	his
ఆతి	adi	more
ఆతిథ్యం	saimnieks	salutation
ఆతిధ్య	viesmīlība	is a file in computer system
ఆత్మకథ	biogrāfija	autobiography
ఆత్మకూరు	atmakur	athmakuru
ఆత్మను	gars	sole
ఆత్మహత్య	pašnāvība	suicide
ఆత్రేయ	atreja	athreya
ఆదమ్	ādams	adam
ఆదరణ	uzņemšana	respect
ఆదరించారు	saņemts	respected
ఆదర్శ	ideāli	aadarsh
ఆదాము	ādams	soil men
ఆదాయ	ieņēmumi	income
ఆదాయం	ienākumi	income
ఆదాయంలో	ieņēmumi	income
ఆది	saule	original, first
ఆదికవి	adikavi	aadi kavi (title the poet nannayya)
ఆదిత్య	aditya	aditya
ఆదిమ	aborigēns	first
ఆదిలాబాదు	adilabad	adilabad
ఆదిల్‌షా	adilsa	adilsha
ఆదివారం	svētdien	sunday
ఆదుర్తి	izbailes	adurthi
ఆదేశాల	komandas	orders
ఆదేశాలను	komandas	orders
ఆదేశాలు	norādījumi	adheshalu
ఆదేశించాడు	pasūtīts	ordered
ఆద్యుడు	dibinātājs	main
ఆధార	resurss	used
ఆధారం	pierādījumi	proof
ఆధారంగా	pamatojoties uz	depending
ఆధారంగానే	pamatojoties uz	depending on
ఆధారపడి	atkarībā no	dependent
ఆధారపడిన	pamatojoties uz	depending on
ఆధారముగా	pamatojoties uz	based on
ఆధారాల	akreditācijas dati	proofs
ఆధారాలు	pierādījumi	proofs
ఆధారాలున్నాయి	lieta	proofs are there
ఆధారిత	darbina	based on
ఆధిక్యత	vairums	higher
ఆధిపత్యం	dominēja	domination
ఆధిపత్యము	jauda	authority
ఆధీనంలో	valdīšana	in control of
ఆధీనములో	domēns	in their custody
ఆధునిక	mūsdienu	new
ఆధ్యాత్మ	garīgums	spiritual
ఆధ్యాత్మిక	garīgais	spiritual
ఆధ్యాత్మికత	garīgums	spiritual
ఆధ్వర్యంలో	saskaņā	in the leadership
ఆనందం	laime	exhilaration
ఆనంద్	anand	anand
ఆనకట్ట	dam	bridge
ఆనవాయితీ	tas ir ierasts	accustom
ఆనాటి	tad	earlier
ఆనాడు	tad	then
ఆనుకొని	blakus	without knowing
ఆన్	ieslēgts	on
ఆన్లైన్	tiešsaistē	online
ఆపరేటింగు	darbojas	operating
ఆపరేటింగ్	darbojas	operating
ఆపరేషన్	darbība	operation
ఆపిల్	apple	apple
ఆపై	un	after that
ఆప్	aap	of
ఆఫీసు	birojs	office
ఆఫీస్	birojs	office
ఆఫ్ఘనిస్తాన్	afganistāna	afghanistan
ఆఫ్ఘనిస్తాన్‌	afganistāna	afghanistan
ఆఫ్ఘనిస్తాన్‌లో	afganistāna	in afghanisthan
ఆఫ్ఘన్	afgāņu	afghan
ఆఫ్రికన్	afrikāņu	african
ఆఫ్రికా	āfrika	africa
ఆఫ్రికాలో	āfrika	in africa
ఆభరణాలు	rotaslietas	jewellery
ఆమె	viņa	she
ఆమెకు	viņa	to her
ఆమెను	viņai	her
ఆమోదం	apstiprinājums	granted
ఆమ్ల	skābi	acids
ఆమ్లం	skābi	acid
ఆమ్లజని	skābeklis	oxygen
ఆమ్లాలు	skābes	acids
ఆయకట్టు	baseins	dam
ఆయత్	co	aayat
ఆయన	viņa	he
ఆయనకు	viņa	he
ఆయనతో	ar viņu	with him
ఆయనను	viņu	him
ఆయనే	viņš ir	that person
ఆయన్ని	viņš	him
ఆయన్ను	viņš	him
ఆయా	auklīte	within those
ఆయిల్	eļļa	oil
ఆయుధ	ierocis	weapon
ఆయుధాలను	ieroči	things
ఆయుధాలు	ieroči	weapons
ఆయుర్వేద	ajūrvēda	ayurvedic
ఆయుర్వేదం	ajūrvēda	ayurveda
ఆయుర్వేదంలో	ajūrvēda	homeopathy
ఆరంభ	sākt	initial
ఆరంభం	provenance	start
ఆరంభంలో	agri	in the beginning
ఆరంభమైంది	sākās	started
ఆరవ	sestā	sixth
ఆరాధన	dievkalpojums	adoration
ఆరాధించే	veltīts	worship
ఆరాధిస్తారు	adorācija	worship
ఆరు	seši	six
ఆరుద్ర	lido	arudra
ఆరోగ్య	veselība	health
ఆరోగ్యం	veselība	healthy
ఆరోగ్యానికి	veselība	for health
ఆరోజు	tajā dienā	that day
ఆర్ఎన్ఎ	rns	rna
ఆర్కిటిక్	arktika	arctic
ఆర్కిమెడిస్	arhimēdi	arkimedes
ఆర్గనైజేషన్	organizācija	organisation
ఆర్టికల్	raksts	article
ఆర్టిసి	rtc	road transport corporation
ఆర్ట్	art	arts
ఆర్థిక	ekonomiskais	economocs
ఆర్థికంగా	ekonomiski	financially
ఆర్థికశాస్త్రం	ekonomika	economics
ఆర్థ్రోపోడా	posmkāju	arthropoda
ఆర్ధిక	finanšu	economic
ఆర్ధికంగా	ekonomiski	financially
ఆర్ధికరంగం	ekonomika	finance
ఆర్ధికవ్యవస్థ	ekonomika	economic system
ఆర్మీ	armija	army
ఆర్య	ārija	aryas
ఆర్యులు	ārieši	sirs
ఆలంపూర్	alampur	alampur
ఆలయ	templis	temple
ఆలయం	templis	temple
ఆలయంలో	templis	alayamlo
ఆలయము	templis	temple
ఆలయానికి	templis	for temple
ఆలయాన్ని	templis	temple
ఆలయాలు	deniņi	alayalu
ఆలస్యం	kavēšanās	late
ఆలీ	ali	aalee
ఆలోచన	domāju	thought
ఆలోచనలు	idejas	thought
ఆలోచనా	domā	think
ఆల్	visi	all
ఆల్చిప్ప	gliemenes	shell
ఆల్డిహైడు	aldehīdi	aldihidu
ఆల్ఫా	alfa	alfa
ఆల్బం	albums	album
ఆవకాయ	avakaya	pickle
ఆవరణ	kronšteins	atecology
ఆవరణలో	priekšnoteikums	lobby
ఆవరించి	visaptveroša	occupies
ఆవల	tālāk	beside
ఆవాసం	izlīgums	home
ఆవిడ	viņa	she
ఆవిధంగా	tādējādi	like that
ఆవిరి	tvaiks	steam
ఆవిర్భవించింది	piedzima	has born
ఆవిర్భవించిన	veidošanās	took birth
ఆవిర్భావం	parādīšanās	creation
ఆవిష్కరణలు	jauninājumi	discovers
ఆవు	govs	cow
ఆవులు	govis	cows
ఆశయం	ambīcijas	goal
ఆశ్రమం	patvērums	asramam
ఆశ్రమంలో	klosteris	in ashram
ఆశ్రమము	ermitāža	aashram
ఆశ్వయుజ	asvajuja	ashwayuja month
ఆసక్తి	interese	interest
ఆసియా	āzija	asian
ఆసియాలో	āzija	in asia
ఆసుపత్రి	slimnīca	permission
ఆసుపత్రిలో	slimnīca	in the hospital
ఆస్కారం	darbības joma	opportunity
ఆస్ట్రియన్	austrietis	austrian
ఆస్ట్రియా	austrijā	austria
ఆస్ట్రేలియా	austrālija	australia
