$	usd	dollars
أرباع	ceturtdaļas	quarters
أربع	četri	four
أربعة	četri	four
أربعين	četrdesmit	forty
أرجاء	atlikts	sides
أرخبيل	arhipelāgs	archipelago
أرخميدس	arhimēdi	archimed
أرسطو	aristotelis	aristo
أرسل	sūtīt	he sent
أرسلان	arslans	arsalan
أرسلت	es nosūtīju	sent
أرسله	nosūtiet to	sent him
أرض	zeme	land
أرضية	grīda	earth
أرقام	skaitļi	numbers
أركان	pīlāri	arkan
أرمينيا	armēnija	armenia
أزمة	krīze	crisis
أس	ace	s
أسابيع	nedēļas	weeks
أساس	pamats	basis
أساسا	pamatā	originally
أساساً	pamatā	base
أساسي	pamata	main
أساسيا	būtisks	essentially
أساسية	pamata	essential
أساسًا	pamatā	principally
أساليب	metodes	methods
أسامة	osama	osama
أسباب	iemesli	reasons
أسبانيا	spānija	spain
أسبوع	nedēļa	week
أستاذ	profesors	professor
أستراليا	austrālija	australia
أسد	lauva	asad
أسر	notveršana	families
أسرار	noslēpumi	secrets
أسرة	ģimene	family
أسرته	viņa ģimene	his family
أسرع	ātrāk	the quickest
أسس	nodibināt	foundations
أسست	dibināta	established
أسسها	to nodibināja	founded
أسطورة	leģenda	legend
أسطول	flote	fleet
أسعار	cenas	prices
أسعد	laimīgākais	as'ad
أسفر	raža	lead to
أسفرت	iedeva	resulted
أسفل	uz leju	under
أسلحة	rokas	weapons
أسلم	drošāks	converted to islam
أسلوب	stils	method
أسماء	vārdi	names
أسمهان	asmahan	asmahan
أسهم	krājumi	contributed
أسوأ	sliktākais	worst
أسوار	žogi	walls
أسواق	tirgi	markets
أسود	melns	black
أشار	norādīja	pointed out
أشارت	viņa norādīja	pointed
أشبه	vairāk kā	like
أشجار	koki	trees
أشخاص	cilvēki	persons
أشد	grūtāk	the most
أشرف	ašrafs	most honorable
أشعة	stari	rays
أشكال	formas	types
أشهر	mēneši	the most popular
أشهرها	slavenākais	renown
أشياء	lietas	things
أصابع	pirksti	fingers
أصبح	bija kluvis	became
أصبحوا	viņi kļuva	became
أصحاب	draugi	owners
أصحابه	biedri	his friends
أصدر	izdots	issued
أصدرت	izdots	issued
أصغر	mazāks	smallest
أصفر	dzeltenā krāsā	yellow
أصل	izcelsme	origin
أصلا	sākotnēji	originally
أصلاً	sākotnēji	originally
أصله	tās izcelsme	its origin
أصلها	tās izcelsme	its origin
أصوات	balsis	sounds
أصول	izcelsme	assets
أصيب	ievainots	injured
أضاف	viņš pievienoja	added
أضخم	lielākais	biggest
أضرار	bojājumi	damage
أضعاف	dubultā	multiples
أضلاع	ribas	side
أطراف	ballītes	parts
أطفال	bērni	children
أطلق	atlaidiet	named
أطلقت	palaiž	called
أطوال	garumi	lengths
أطول	ilgākais	the longest
أظهر	parādīties	emphasized
أظهرت	es parādīju	showed
أعاد	atkārtot	repeated
أعداء	ienaidnieki	enemies
أعدائه	viņa ienaidnieki	his enemies
أعداد	sagatavošana	numbers
أعراض	sindroms	symptoms
أعضاء	dalībnieki	members
أعطى	deva	give
أعظم	vislielākais	the greatest
أعقاب	pēcspēles	after
أعلام	karogi	flags
أعلاه	virs	in the up
أعلم	es zinu	i know
أعلن	reklāma	announced
أعلنت	viņa paziņoja	declared
أعلى	tops	highest
أعمال	bizness	works
أعماله	viņa darbi	works
أعمالها	tā bizness	tasks
أعمدة	kolonnas	column
أعوام	gadi	years
أعيد	tika atdots	was re-
أغاني	dziesmas	songs
أغراض	mērķi	stuff
أغسطس	augusts	august
أغلب	lielākā daļa	the most
أغلبها	lielākā daļa no tā	most of them
أغلبية	vairums	most
أغنى	bagātākais	richest
أغنية	dziesma	the song
أفراد	privātpersonas	members
أفرادها	tās locekļi	its members
أفرودة	afroda	monograph
أفريقيا	āfrika	africa
أفريقية	afrikāņu	african
أفضل	labākais	best
أفعال	darbības vārdi	verbs
أفغانستان	afganistāna	afghanistan
أفكار	domas	ideas
أفكاره	viņa domas	his ideas
أفلاطون	platons	aflaton
أفلام	filmas	films
أفلامه	viņa filmas	his films
أفندي	effendi	effendi
أقاليم	teritorijas	regions
أقام	paliec	established
أقبل	piekrītu	did
أقدم	vecākā	the oldest
أقر	pagājis	approved
أقرب	tuvāk	the nearest
أقسام	sadaļas	divisions
أقصر	īsāk	shortest
أقصى	maksimālais	far
أقطار	diametrs	countries
أقل	mazāk	less
أقليات	mazākumtautības	minority
أقلية	mazākums	minority
أقمار	mēneši	satellites
أقوال	teicieni	sayings
أقواله	viņa teicieni	his sayings
أقوى	jaudīgāks	stronger
أقيم	es palieku	held
أقيمت	izbūvēts	held
أكاديمية	akadēmija	academy of
أكان	akan	whether it is
أكتوبر	oktobris	october
أكثر	vairāk	the most
أكثرها	lielākā daļa no tā	most
أكد	apstiprināts	confirmed
أكدت	apstiprināts	insured
أكسيد	oksīds	oxide
أكل	ēda	eating
أكمل	pabeigts	completed
ألا	izņemot	only
ألاسكا	aļaska	alaska
ألبانيا	albānija	albania
ألبرت	alberts	albert
ألبوم	albums	album
ألدهيد	aldehīds	aldehyde
ألعاب	rotaļlietas	games
ألف	tūkstoš	thousand
ألفا	alfa	alpha
ألفًا	alfa	thousand
ألقاب	mīļvārdiņi	titles
ألقى	nomest	thrown
ألكسندر	aleksandrs	alexandr
ألكيل	alkilgrupa	alkyl
ألمانيا	vācija	germany
ألمانية	vācu	german
ألوان	krāsas	colors
أم	māte	m
أما	kas attiecas uz	but
أماكن	vietas	places
أمام	iepriekš	in front of
أمامه	tā priekšā	in front of
أمانة	godīgums	secretariat
أمة	viņa mamma	nation
أمثال	patīk	like
أمثلة	piemēri	examples
أمر	pavēle	affair
أمرا	pasūtījums	thing
أمراء	prinči	princes
أمراض	slimības	diseases
أمره	viņa pavēle	his issue
أمرهم	viņš pavēlēja viņiem	their fate
أمريكا	asv	america
أمريكي	amerikāņu	american
أمريكية	amerikāņu	american
أمريكيون	amerikāņi	american
أمرًا	pasūtījums	thing
أمطار	lietus	rains
أمفورة	amphora	amphora
أمكن	iespējams	what made possible
أمل	cerīgi	hope
أمم	tautas	nations
أمن	drošība	insure
أمه	viņa mamma	his mother
أموال	fondi	money
أمور	lietas	affairs
أمية	analfabētisms	omaia
أمير	princis	prince
أمين	uzticams	ameen
أمّا	kas attiecas uz	while
أن	ka	that
أنا	es esmu	i
أنابيب	caurules	tubes
أناكوندا	anaconda	onokanda
أنباء	ziņas	news
أنبياء	pravieši	prophets
أنت	tu esi	you
أنتج	ražo	produced
أنتجت	ražo	produced
أنثى	sieviete	female
أنجبت	piedzima	gave birth
أنجلوسكسونيون	angelesxionion	anglo-saxon
أنحاء	beigās	throughout
أندية	klubi	clubs
أنس	anas	ons
أنسجة	audu	tissues
أنشأت	izveidota	founded
أنشئ	izveidot	established
أنشئت	izveidota	established
أنشطة	aktivitātes	activities
أنصار	atbalstītāji	supporters of
أنطاكية	antiohija	antakia
أنظر	skaties	look
أنظمة	sistēmas	systems
أنفسهم	paši	themselves
أنقرة	ankara	ankara
أنك	ka tu tāds esi	that you
أنماط	raksti	patterns
أننا	ka esam	that we
أنه	tas ir	it is
أنها	tā	that it is
أنهار	tas sabruka	collapsed
أنهم	ka viņi	that they are
أنهما	viņi ir	"they ""both"" are"
أنهى	pabeigt	finshed
أنواع	sugas	kinds
أنواعها	tās veidi	types
أنوبيس	anubis	anubis
أنور	anwar	anwar
أني	tāds es esmu	that i
أنّ	ka	so
أنّه	tas ir	it is
أهالي	cilvēki	the people of
أهداف	mērķi	goals/objectives
أهدافها	tās mērķi	its aims
أهل	cilvēki	inhabitants
أهله	viņa ģimene	his family
أهلها	viņas ģimene	it's people
أهلية	atbilstība	civil
أهم	svarīgākā	most important
أهمها	svarīgākā	the most important
أهمية	svarīgums	importance
أهميتها	tā nozīme	importance
أو	vai	or
أوائل	agri	the early
أواخر	vēlu	late
أواسط	vidū	middle
أوامر	rīkojumi	orders
أوامره	viņa pavēles	his orders
أوباما	obama	obama
أوبرا	oprah	opera
أوج	apogejs	the height of
أوجه	ation	aspects
أوراق	lapas	papers
أورانوس	urāns	uranus
أورخان	orhan	orkhan
أورشليم	jeruzaleme	jerusalem
أوروبا	eiropa	europe
أوروبي	eiropietis	european
أوروبية	eiropietis	european
أوساط	plašsaziņas līdzekļi	among
أوسع	plašāks	wider
أوسلو	oslo	oslo
أوصى	es iesaku	will
أوضاع	režīmi	situations
أوضح	izskaidroja	explained
أوضحت	viņa paskaidroja	clarified
أوقات	laiki	times
أوقطاي	mans laiks	ogtay
أوكرانيا	ukraina	ukraine
أول	vispirms	first
أولئك	tie	they
أولا	pirmkārt	firstly
أولاد	bērni	sons
أولاده	viņa bērni	for the birth of
أولاً	pirmkārt	at first
أولها	pirmais no tiem	first of them
أولى	vispirms	first
أولية	iepriekšējs	primordial
أوّل	vispirms	first
أى	kura	any
أي	kura	which
أيام	dienas	days
أيامه	viņa dienas	his days
أيبك	aybak	aibak
أية	vārsma	any
أيدي	rokas	hands
أيديهم	viņu rokas	their hands
أيرلندا	īrija	ireland
أيضا	arī	also
أيضاً	arī	also
أيضًا	arī	also
أيلول	septembrī	september
أيمن	aimen	ayman
أين	kur	where
أينشتاين	einšteins	einstein
أيها	ei	o
أيوب	ayoub	jacob
أَنَّ	ka	that
أَنْ	ka	can
إبادة	iznīcināšana	annihilation
إبان	laikā	during
إبراهيم	ibrahims	ibrahim
إثارة	uztraukums	excitement
إثبات	pierādījums	proof
إثر	efekts	because of
إثيوبيا	etiopija	ethiopia
إجراء	procedūra	procedure
إجراءات	procedūras	steps
إجماع	vienprātība	agreement
إجمالي	kopā	total
إحباط	vilšanās	abortion
إحداث	notikumi	making
إحدى	viens	a
إحصاء	skaitīšana	counting
إحصاءات	statistika	counts
إحصائيات	statistika	statistics
إحياء	bioloģija	recreation
إخراج	režisēja	directed by
إخوته	viņa brāļi	his brothers
إدارة	pārvaldība	managing
إداري	administratīvā	administrative
إدارية	administratīvā	administrative
إدخال	ievadiet	introduction of
إدراك	realizācija	recognition
إذ	tāpēc	in fact
إذا	ja	if
إذاعة	raidīšana	broadcast
إذن	auss	ann
إرادة	būs	will
إرتريا	eritreja	arteria
إرسال	sūtīt	sending
إرهابية	terorists	terrorist
إزالة	noņemšana	remove
إس	s.	s
إسبانيا	spānija	spain
إستراتيجية	stratēģija	strategy
إسحاق	īzaks	isaac
إسرائيل	izraēla	israel
إسطنبول	stambula	istanbul
إسقاط	projekcija	projection
إسلام	islāms	islam
إسلامه	viņa islāms	his conversion to islam
إسلامي	islami	islamic
إسلامية	islāma	islamic
إسماعيل	ismaila	ismail
إشارات	signāli	signs
إشارة	signāls	signal
إشعاع	starojums	radiation
إصابة	infekcija	injury
إصدار	izsniegšana	issuance of
إصلاح	remonts	fixing
إصلاحات	remonts	repairs
إضافة	papildinājums	addition
إضافةً	papildinājums	in addition
إضافية	papildu	additional
إطار	ietvars	framework
إطلاق	atbrīvot	naming
إعادة	atgriezties	repetition
إعداد	sagatavošana	preparation
إعطاء	dot	giving
إعلامية	informatīvs	media
إعلان	reklāma	announcement
إف	f	f
إفراز	sekrēcija	secretion
إفريقيا	āfrika	africa
إفريقية	afrikāņu	africa
إقامة	izmitināšana	the establishment of
إقليم	province	territory
إقليمية	reģionālās	regional
إل		l
إلا	izņemot	except
إلاّ	izņemot	except
إلغاء	atcelšana	cancel
إلقاء	mest	capturing
إله	mašīna	god
إلهام	svarīgs	inspiration
إلى	man	to
إلي	man	to
إليك	tev	to you
إلينا	mums	elena
إليه	mehānisms	to him
إليها	viņai	for it
إليهم	viņiem	for them
إم	māte	m
إما	kas attiecas uz	either
إمارة	emirāts	emirate
إمام	iepriekš	emam
إمبراطور	imperators	emperor
إمبراطورية	impērija	empire
إمكانية	iespēja	ability
إنا	es esmu	we
إنتاج	ražo	production
إنتاجه	izgatavojiet to	its production
إنتاجها	viņu produkcija	preduce
إنترنت	internets	internet
إنجازات	sasniegumi	achievements
إنجلترا	anglija	england
إنجليزية	angļu	englishwoman
إنجيل	evaņģēlijs	gospel
إندونيسيا	indonēzija	indonesia
إنسان	cilvēks	human
إنسانية	humāns	human
إنشاء	veidot	founding
إنشائها	izveidojiet tos	generation
إنفلونزا	gripa	flu
إنكار	noliegums	denying
إنما	drīzāk	rather
إنها	tā	that it is
إنهاء	beidzas	finished
إنهم	ka viņi	they are
إني	es esmu	i
إنّ	ka	the
إياه	viņu	itself
إياها	tā	itself
إيجاد	atrašana	finding
إيران	irāna	iran
إيرث	zeme	earth
إيطاليا	itālijā	italy
إيفان	īvāns	ivan
إيفل	eifeļa	eiffel
إيقاف	izslēdzot	cut
إيه	vārsma	a
إِلا	izņemot	except
إِلَى	man	to
ا	a	quotation mark
ابتداء	sākums	starting
ابتناء	anabolisms	building
ابن	dēls	son
ابنة	meita	cousin
ابنته	viņa meita	his daughter
ابنه	meita	his son
ابي	mans tēvs	abi
اتباع	sekojošs	followers
اتباعه	viņa sekotāji	his followers
اتبع	seko	follow
اتجاه	virziens	direction
اتجاهات	tendences	directions
اتجه	pagriezieties	went
اتحاد	savienība	union
اتخاذ	ņem	taking
اتخذ	tika paņemts	took
اتخذت	paņemts	took (action)
اتساع	platums	expansion
اتسعت	paplašināts	widened
اتسمت	tika atzīmēts	characterized by
اتصال	sazinieties	connection
اتصالات	telekomunikācijas	communication
اتفاق	vienošanās	accord
اتفاقيات	vienošanās	agreements
اتفاقية	vienošanās	agreement
اتفق	vienojos	agreed
اتهام	apsūdzība	accusation
اتهم	apsūdzēt	accused
اثنان	divi	two
اثنتين	divas	two
اثنين	divas	two
اجتماع	tikšanās	social
اجتماعات	sanāksmes	meetings
اجتماعي	sabiedriskā	social
اجتماعية	sociālais	social
اجتمع	met	met
اجتياح	iebrukums	invasion
اجل	jā	order / becomes clear
احتراق	dedzināšana	combustion
احترام	cieņu	respect
احتفظ	saglabāt	kept
احتل	aizņemt	occupied
احتلال	nodarbošanās	occupation
احتلت	aizņemts	occupied
احتمال	perspektīva	the possibility
احتياجات	vajadzības	needs
احتياطي	rezerves	reserves
احمد	ahmeds	ahmed
اختار	izvēlieties	choose
اختبار	pārbaude	examination
اختبارات	pārbaudes	tests
اختراع	izgudrojums	invention
اختراق	izrāviens	penetration
اخترع	izdomāts	invented
اختلاف	atšķirība	different
اختلافات	atšķirības	differences
اختلفت	atšķirīgi	different
اختيار	atlase	choose
اختياره	viņa izvēle	has been chosen
اخر	cits	the last
اديسون	edisons	edison
ارتباط	iesaistīšanās	liaison
ارتبط	pievienojieties	was linked
ارتبطت	saderinājās	associated with
ارتفاع	augstums	increase
ارتفاعه	tā augstums	its attitude
ارتفاعها	tā augstums	it attitude
ارتفع	ir cēlies	increased
ارتفعت	roze	rise up
ازداد	ir palielinājies	increased
ازدادت	palielināts	increased
ازدهار	uzplaukt	prosperity
ازدهر	uzplaukusi	flourished
ازدهرت	uzplaukusi	prosperity
ازدياد	palielināt	increase
اس	s.	s
استبدال	aizvietot	replacing
استخدام	izmantošana	using
استخدامات	lietojumi	used
استخدامه	lieto to	use
استخدامها	lieto to	usage
استخدم	izmantot	use
استخدمت	ir izmantojuši	used
استخدمها	lieto to	used it
استخراج	ekstrakts	extraction
استراتيجية	stratēģija	strategical
استرجاع	atgūšana	regain
استسلام	padošanās	surrender
استسلمت	es padevos	surrendered
استضافة	hostings	host
استطاع	varētu	can
استطاعت	viņai izdevās	was able
استطلاع	iepazīšanās	scouting
استعادة	atgūšana	return
استعداد	gatavs	ready
استعمال	izmantot	using
استعمالها	lieto to	usage
استعمل	izmantot	use
استغلال	izmantojiet	exploitation
استفتاء	tautas nobalsošana	poll
استقالته	viņa atkāpšanās	his resigning
استقبال	pieņemšana	receiving
استقر	apmesties	settled
استقرار	stabilitāte	stability
استقرت	apmetās	settled down
استقلال	neatkarība	independence
استقلالها	tā neatkarība	independence
استكشاف	izpēte	discovering
استمر	turpināt	continued
استمرار	turpinājums	continuation
استمرت	turpinājums	continued to
استنادا	balstoties uz	based on
استنادًا	balstoties uz	based on
استهلاك	patēriņš	consumption
استولى	konfiscēts	seized
استيراد	importēt	importing
اسم	lietvārds	the name
اسمه	tā vārds	his name
اسمها	viņas vārds	her name
اشتد	pastiprināt	intensified
اشتراكية	sociālisms	socialist
اشتهر	vispazīstamākais	famous
اشتهرت	viņa kļuva slavena	it was known
اصدار	izdošana	publishing
اضطر	piespiedu kārtā	had to
اضطراب	traucējumi	fusses
اضطرابات	traucējumi	disturbance
اضطهاد	vajāšanas	persecution
اعادة	atgriezties	review
اعتبار	apsvērums	considering
اعتبارا	efekts	starting from
اعتباراً	apsveriet	starting
اعتبارها	prāts	considering
اعتبر	apsver	concidered
اعتبرت	apsver	considered
اعتراف	atzīšana	confession
اعترف	es atzīstu	confessed
اعتقاد	ticība	belief
اعتقال	arestēšana	arresting
اعتقد	padomā	believed
اعتماد	apstiprinājums	approval
اعتمادا	atkarībā	depending
اعتمد	paļauties	considered
اعتمدت	pieņemts	counted on
اعتناق	apskauj	embracement
اعتنق	apskāvušies	converted to
اغتيال	slepkavība	assassination
اغتياله	viņa slepkavība	to assassinate him
افتتاح	atvēršana	opening
افتتح	atvērta	started
افتتحت	es atvēru	opened
اقتراب	pieeja	approaching
اقتراح	ieteikums	decision
اقترح	ieteikt	suggested
اقتصاد	ekonomika	economy
اقتصادها	tā ekonomika	its economy
اقتصادي	ekonomiskais	economical
اقتصاديا	ekonomiski	economically
اقتصادية	ekonomisks	economical
اقرأ	lasīt	read
اكتساب	iegūšana	acquisition
اكتسبت	iegūts	gained
اكتشاف	atklājums	discovering
اكتشافه	atklājiet to	his discovery
اكتشافها	atklājiet tos	discovered
اكتشف	atklājiet	discovered
اكتشفت	es atklāju	discovered
ال		the
الآب	tēvs	father
الآباء	vecākiem	fathers
الآبار	wells	wells
الآتي	sekojošs	following
الآثار	arheoloģija	the monuments
الآخر	cits	other
الآخرة	turpmāk	afterworld
الآخرين	citi	others
الآداب	literatūra	arts
الآر	ārs	hectare
الآرامية	aramiešu	the aramaic
الآستانة	astana	astana
الآسيوي	āzijas	asian
الآسيوية	āzijas	asiatic
الآشورية	asīriešu	assyrian
الآفات	kaitēkļi	evils
الآلات	mašīnas	machines
الآلاف	tūkstošiem	thousands of
الآلام	sāpes	pains
الآلة	dievs	machine
الآلهة	dievi	gods
الآلي	automatizēts	automatic
الآلية	mehānisms	mechanism
الآن	tieši tagad	now
الآونة	nesen	period
الآيات	panti	scenes
الآية	dzejolis	the verse
الأئمة	imāmi	imams
الأب	tēvs	the father
الأباطرة	imperatori	emperors
الأبجدية	alfabēts	alphabetic
الأبحاث	pētījumi	the researches
الأبطال	varoņi	champions
الأبعاد	izmēri	dimensions
الأبناء	bērni	sons
الأبواب	durvis	gates
الأبيض	baltie	white
الأتراك	turki	the turkish
الأثار	arheoloģija	ancient ruins
الأثر	ietekme	impact
الأثرية	arheoloģiskā	archeological
الأثناء	tikmēr	while
الأثير	ēteris	el-asyr
الأجانب	ārzemnieki	foreigners
الأجرام	ķermeņi	celestial
الأجزاء	daļas	parts
الأجسام	objekti	bodies
الأجناس	sacensības	races
الأجنبي	ārzemnieks	foreign
الأجنبية	ārzemju	foreign
الأجنحة	spārni	factions
الأجهزة	ierīces	services
الأجيال	paaudzes	generations
الأحاديث	hadīti	ahaadeeth
الأحد	svētdien	sunday
الأحداث	notikumi	the events
الأحرار	brīvi cilvēki	free
الأحرف	rakstzīmes	letters
الأحزاب	puses	party
الأحكام	uzkrājumi	judgments
الأحماض	skābes	acids
الأحمد	al-ahmad	al-ahmad
الأحمر	sarkanais	red
الأحوال	nosacījumi	everything
الأحياء	bioloģija	neighborhoods
الأحيان	dažreiz	sometimes
الأخ	brālis	brother
الأخبار	jaunumi	news
الأخذ	ņemot	take
الأخر	cits	other
الأخرى	otrs	other
الأخضر	zaļais	the green
الأخطاء	kļūdas	mistakes
الأخلاق	morāle	ethics
الأخلاقية	morāle	the morality
الأخوان	brāļi	the brothers
الأخير	pēdējais	last
الأخيرة	pēdējais	last
الأداء	uzstāšanās	performance
الأدب	literatūra	literature
الأدباء	rakstnieki	writer
الأدبي	literāri	literary
الأدبية	literāri	the literature
الأدلة	pierādījumi	evidences
الأدنى	zemākais	the near
الأدوات	rīki	gadgets
الأدوار	lomas	roles
الأدوية	farmācijas	the drugs
الأديان	reliģijas	religions
الأذربيجانية	azerbaidžāņi	azerbaijan
الأراضي	zemes	the lands
الأرانب	truši	rabbits
الأربع	ceturksnis līdz	the four
الأربعة	četri	four
الأربعين	četrdesmit	fourteen
الأرثوذكس	pareizticīgo	orthodox
الأرثوذكسية	pareizticīgo	the orthodox
الأرجح	iespējams	mostly
الأرجنتين	argentīna	argentina
الأردن	jordānija	jordan
الأردني	jordānijas	joranian
الأردنية	jordānijas	jordan
الأرز	rīsi	cedrus
الأرضي	zeme	land
الأرضية	grīda	earth
الأرقام	cipari	the numbers
الأرمن	armēņi	armenians
الأرمني	armēņu	armenian
الأرمنية	armēņu	armenian
الأرنب	trusis	the rabbit
الأرواح	stiprie alkoholiskie dzērieni	the spirits
الأزرق	zils	blue
الأزمات	krīzes	crises
الأزمة	krīze	crisis
الأزهر	al-azhar	azhar
الأزياء	mode	fashion
الأسئلة	jautājumiem	questions
الأساس	pamats	the basis
الأساسي	primārais	mainly
الأساسية	pamata	essential
الأساطير	mīti	legends
الأساليب	metodes	methods
الأسباب	iemesli	reasons
الأسباني	spāņi	the spanish
الأسبانية	spāņu valoda	spanish
الأسبرين	aspirīns	aspirin
الأسبق	bijušais	the previous
الأسبوع	nedēļa	week
الأستاذ	profesors	professor
الأسترالية	austrālietis	australian
الأسد	lauva	lion
الأسر	ģimenes	families
الأسرة	ģimene	family
الأسرى	ieslodzītie	captives
الأسطورة	leģenda	the legend
الأسطول	autoparks	navy
الأسعار	cenas	prices
الأسفل	zemāks	down
الأسلحة	ieroči	weapons
الأسلوب	metode	way / style / method
الأسماء	vārdi	the names
الأسماك	zivis	fish
الأسمدة	mēslošanas līdzekļi	fertilizer
الأسنان	zobi	teeth
الأسواق	tirgi	markets
الأسود	melnais	the black
الأشجار	koki	the trees
الأشخاص	personas	persons
الأشراف	uzraudzība	supervision
الأشرف	ašrafs	el ashraf
الأشعة	stari	rays
الأشعري	al-ash&#39;ari	ashari (name)
الأشكال	formas	forms
الأشهر	mēneši	the most popular
الأشياء	lietas	things
الأصدقاء	draugi	the friends
الأصغر	mazākais	the smallest
الأصفر	dzeltens	yellow
الأصل	izcelsme	origin
الأصلي	oriģināls	original
الأصلية	oriģināls	rooted
الأصليون	vietējie	originals
الأصليين	vietējie iedzīvotāji	original
الأصناف	šķirnes	items
الأصوات	izklausās	sound
الأصول	izcelsme	assets
الأضحى	al-adha	adhha
الأضرار	bojājumi	damages
الأضلاع	ribas	pentagon
الأطباء	ārstiem	medcins
الأطباق	trauki	dishes
الأطراف	puses	the ends
الأطرش	atraška	alatrash
الأطعمة	pārtika	food
الأطفال	bērni	children
الأطلس	atlants	atlas
الأطلسي	atlantijas okeāns	atlantic
الأعداء	ienaidnieki	enemies
الأعداد	sagatavošana	numbers
الأعراض	simptomi	symptoms
الأعراق	etniskās piederības	etchnic groups
الأعشاب	garšaugi	grass
الأعصاب	nervi	nerves
الأعضاء	dalībnieki	members
الأعظم	labākais	the greatest
الأعلام	mediji	flags
الأعلى	augšējais	upper
الأعمال	bizness	acts
الأعمدة	kolonnas	columns
الأعوام	gados	the years
الأغالبة	aghlabis	el-aghaleba
الأغاني	dziesmas	songs
الأغذية	ēdiens	food
الأغراض	sīkumi	purposes
الأغلب	pārsvarā	mainly
الأغلبية	vairākums	majority
الأغنية	dziesma	song
الأفراد	privātpersonas	of the individuals
الأفريقي	afrikāņu	african
الأفريقية	afrikāņu	african
الأفضل	labākais	the best
الأفعال	darbības	acts
الأفغاني	afgāņu	afghani
الأفكار	idejas	ideas
الأفلام	filmas	the films
الأفيون	opijs	opium
